"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"23","15","Less: Statistical discrepancy","A030RC1",0.8,2.6,2.4,3.3,0.7,-1.3,-0.4,-1.1,0.6,1.2,2.3,3.2,3.7,1.3,0.6,-0.1,2.5,3.9,5,2.9,3.5,2.2,2.1,3.2,3.4,3.5,3.3,5.6,2.9,2.7,3.7,3.1,4,1.7,2.4,1.4,-1,-1.8,-1.9,-2.5,-0.5,-1.4,0.9,0.6,-1.7,0.4,2.8,2.4,0.6,-1.5,2.3,0.6,0.3,-1.1,0.4,-3.4,-1.2,-0.4,0.3,-1,1,1.5,1.5,-2.8,-1.1,-2.8,0.9,-0.3,3.1,1.7,1.2,-2.9,-1.5,-1,3.3,5.2,7.5,5.5,5.8,5.9,9,4.9,3,1.1,5.8,7.7,2.7,1.1,6.6,3.3,2.4,-0.8,5.1,7.5,7.8,7.1,15,13.6,13.2,2.2,7,19.5,11.1,-1.8,7.6,16.1,5.4,3.1,2.9,12.8,4.5,19.1,19.1,17.3,11.7,17.1,21.4,24,20.4,28.1,32.8,23.4,20.7,8,4.6,23.8,31.7,44.1,28.3,45.7,61.7,52.2,62,58.2,39.5,21.4,58.4,35.9,26,26,-3,-0.6,2.1,20.6,23.2,44.1,65.1,66.4,41.2,36.3,30.3,18.3,24,34.1,52,59.3,56.1,63.3,80.3,71.3,59.7,38.4,9.6,23.8,-7,0.2,-15,-16.3,4.1,58.4,78.4,83.6,97.1,82.3,89.4,68.1,52.7,77.6,92,96.7,71.4,90.3,136.8,141.5,153,124.6,141.8,123.8,114.3,126.7,99.3,95,76.3,57.6,34.7,41.5,23.3,36.7,29.2,14.5,-9.2,17.1,-13.7,-50.1,-60.8,-106,-120.1,-54.4,-96,-86.7,-53.8,-47.8,-220.9,-86.9,-153.6,-74.6,-211.6,-109,-89.6,-3.2,-43.2,-45.3,20.6,-20.4,-7.2,-29.6,61.4,41.7,29.9,0,-38.7,-22.6,-29,-67.7,-67.5,-154.5,-192.2,-190.7,-253.4,-246,-121.1,-97.1,64.9,94,69.8,126.7,68.3,139.4,185.4,161.7,253.3,236.2
"24","16","Equals: National income","A032RC1",211.8,212.7,216.1,224.6,233,241.8,246.9,248.7,241.5,237.1,237.5,233.9,243.6,255.2,272.8,283.8,295.5,301.1,306.2,312.3,314.3,316,321.7,332.9,339,342,340.8,332.7,334.5,334.8,338.3,347.3,359.3,369.4,376.4,382.9,386.6,392.1,396.3,404.5,411.1,413.4,417.4,411.5,406,407.5,417.9,431,442.7,457.3,454.2,459.8,473.5,473.8,475.1,473.3,475.3,484.9,494.3,508.2,519,525.6,531.7,539.2,545.8,555.3,563.8,574.1,586.5,596.2,607.6,615.5,633.8,644.8,655.8,674.4,694.1,703.8,715.1,727.5,733.6,740.5,755.9,771.6,792.2,813,831.6,848,864.9,881,899.6,908.4,912.7,924.4,939.8,941.1,976.6,996.4,1013.9,1035.6,1067.8,1088.6,1118.8,1166.1,1203.6,1228.6,1256.5,1295.6,1307.6,1328.7,1357.2,1372.3,1379.7,1411.2,1470.3,1514.9,1564.8,1591.4,1624.2,1658.7,1704.4,1774.2,1831.4,1879.7,1917.4,2012.6,2059,2122.6,2177.4,2216.8,2270.1,2328.8,2374.1,2367.7,2430.2,2559.9,2649,2690.8,2784.2,2795.4,2801.9,2851.2,2869.1,2883.4,2946.6,3026.5,3106.9,3203.6,3339.2,3436.9,3505.5,3563.6,3626.2,3669.2,3721.1,3768.5,3824,3841.8,3886.7,3933.3,4007.1,4100.7,4197.8,4294.6,4385.5,4476.5,4562.7,4664.5,4743.4,4771.9,4823.5,4863.2,4964.4,5059.7,5091.7,5122.5,5151.6,5190,5236.9,5293.1,5411.3,5492,5533.7,5631.4,5666.2,5755.2,5799.4,5918.2,6028.1,6129.3,6230.2,6337.3,6411.5,6468.6,6562.7,6646.5,6757.1,6886.9,6972.4,7110.3,7225.8,7333.4,7476.6,7588.1,7689.5,7815.4,7949,8048.4,8204.2,8284,8379.7,8563.9,8809.8,8896,9005.7,9044,9184.4,9209.9,9157.3,9189.2,9304.7,9380.5,9418,9530.9,9614.2,9757.3,9899.4,10089.8,10281.2,10444.7,10641.6,10768.7,11019.6,11156.6,11360.2,11559,11838.2,11965.9,12093,12227.9,12253.9,12421.1,12482.2,12635.4,12661.5,12664.4,12781,12433.9,12208.9,12218.1,12259.7,12465.6
"25","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",20.7,23.9,23.8,25.5,29.4,31.2,30.7,32.3,30.7,28.3,29.5,26.2,29.8,33.4,38.1,41.3,40.2,40.2,40.7,42.1,39.5,37.4,37.1,41.3,42,41.2,40.2,33.1,35.5,36.8,38.7,42.4,47.5,48.7,49.4,50.4,48.4,48.2,47.4,48.1,49.7,48.5,48,44.3,38.4,39.2,43.3,49,52.6,57.6,52.3,52.8,57,53.2,52.3,49.9,48.9,53.2,55.4,59.3,61.7,61,62.2,64.5,64.7,68.1,69.5,71,75.2,75.1,76.3,75.4,83.3,85.4,86.7,90.7,93.9,92.8,91.1,92.4,89.6,88.5,89.7,92.9,93.9,97.7,97.9,99.4,99.4,96.4,93.6,88.5,80.6,84.4,84.6,80.4,92.7,94.6,96.7,100.2,106.2,107.9,112.1,119.5,126,122.8,123.2,126,118.8,117.4,114.1,110.3,111.8,124.5,144.8,152.2,164.9,160.3,160.9,160.4,170.3,191.5,206.2,199.5,192.5,220.2,225.1,235.9,226.1,228,226.2,221.1,216.5,186.3,192.6,210.2,221,217.2,235.4,219.6,197.3,211.6,210.1,203.9,225.2,256.1,273.3,284.6,311.5,323.2,316.6,323.1,325.6,327.4,346,331.2,324.4,315.1,307.5,309.5,323.3,363.1,389.7,395.2,405.1,421.4,428.3,451.7,431.4,423.9,428.6,418.4,427.3,452.4,426.9,431.2,462.4,455.8,453.2,457.7,491,498.7,480.5,514.7,509.3,533.6,543.4,588.4,590.5,610,643.2,669.2,674.8,702.2,737.7,750,783.2,795.9,802.1,824.8,855.7,878.8,912,892.9,817.7,811.5,820.1,800.3,859.7,859.4,848.4,857.6,840.5,831.7,814.7,790,782.8,812.3,765,776.6,830.3,852,869.8,936.7,917.5,950.1,992.7,1050.9,1187.2,1226.9,1292.2,1281.4,1408.2,1429,1454.7,1532.5,1590.9,1597.7,1655.1,1589.6,1535.4,1594.9,1537.1,1499.4,1459.7,1403.7,1454.6,1123.6,1182.7,1226.5,1358.9,1467.6
"26","18","      Taxes on production and imports less subsidies \1\","W254RC1",17.4,17.5,17.9,18.9,18.8,19.6,19.6,19.6,20,20.7,21,20.9,21.1,21.9,23.9,22.6,24.2,23.2,23.9,24.6,25.6,26.5,26.9,27.8,28.4,29.1,29,29.4,29,28.6,28.9,29.6,30.4,31.3,32.3,32.7,33.1,33.4,34.1,34.9,35.3,35.8,36.4,36.2,36.2,36.5,36.8,37.8,38.6,39.4,40.6,41.4,42.7,43.1,43.8,44.1,44.2,44.5,45.1,46.1,47.1,47.5,48.7,49.1,50,50.8,51.6,52.3,52.9,53.9,55.2,56.1,57.3,57.4,57.5,58.7,57.8,58.9,59.7,60.7,61.6,63,65.1,66.9,69.3,71.2,73.5,74.9,76.2,78.4,80.5,82.1,83.7,85.7,87.8,89.3,92.9,94.1,97.2,99.1,98.5,100.6,101.7,104.4,108.7,110.5,113.7,115.1,117.3,121.2,123.9,124.1,124.6,128.7,133.6,136.2,136.5,140,142.6,145.9,149,152.2,155.1,154,158.2,164.7,161.4,163.5,168.1,169.7,172.8,175.7,180.3,187.3,194.2,200.3,220.3,224.8,226.3,225.3,223.4,224.7,228.7,226.9,230.8,239.7,245.3,252.2,260.4,266.8,271.3,276.4,279.9,284.7,290.5,291.9,294.4,295.3,300.7,303.5,307.8,313.9,321.1,326.3,334.7,342.7,348.4,354,363.1,370,376.7,375.9,392.2,392.6,399.9,407.3,417.1,424.4,433.7,443.2,447.7,451.8,455.5,458.1,454.3,460.4,467.3,483.8,498.3,511.8,518.2,522.5,520.9,519.1,524,528.4,535.3,542.3,546.4,558.1,561.3,576.6,583.1,590.2,595.3,600.5,606.2,610.4,615,622,632.6,643.9,653.5,661.8,665.5,670,668.8,662.1,654.2,690.7,702.6,717.1,730.7,735.2,743,742.4,766,779.6,798.7,812.1,822.9,834.3,848.7,864.2,877.5,886.6,916,931.9,941.9,952.1,966,966.9,976.1,986.8,989.3,997.9,1005.7,982.1,963.2,964.6,955.4,973.8
"27","19","      Contributions for government social insurance, domestic","A061RC1",6.3,6,5.2,4.8,4.8,4.6,4.6,4.5,5.2,5.1,4.8,4.5,5.3,5.3,5.5,5.8,6.6,6.7,6.6,6.7,6.9,6.8,6.9,7.1,7.1,7.1,7.2,7.1,8.1,8,8.1,8.1,8.9,9,9.2,9.3,9.9,10,10,10.1,11.4,11.4,11.5,11.3,11.3,11.3,11.4,11.5,13.7,13.9,13.9,13.9,16.4,16.5,16.5,16.4,16.7,16.9,17.1,17.3,18.9,19.1,19.2,19.3,21.3,21.5,21.8,22,22,22.3,22.5,22.7,22.9,23.2,23.6,24,30.4,30.8,31.9,32.2,33.6,34.6,35.2,36,37.6,38.4,39.1,39.7,42.9,43.7,44.6,45.3,46,46.3,46.7,46.5,50.5,51,51.3,51.9,58.1,58.8,59.5,60.4,73.6,74.7,76.1,77.6,83.1,84.7,86.4,86.6,87.6,88,89.8,91.8,98.9,100.4,102.2,103.8,109.3,112.1,114.3,116.7,126.2,130.1,132.8,136,148.8,150.9,154.2,157.1,163.1,163.2,166.6,171.8,191.6,194.1,197.7,199.4,207.2,208.4,209.8,210.2,220.4,223.6,227.2,232.6,251,255.8,259.9,263.1,275.4,278.8,282.8,288.4,297.9,300.7,305.1,310.1,316.5,320.2,324.5,331.2,352.1,359.1,364.4,370.3,379.8,382.8,386.4,391.8,404.1,408.3,414.1,413.9,424.5,427.7,432.6,435.9,448.7,453.7,457.8,459.6,467.5,475.6,480.1,486.6,498.4,506.4,510.6,517.4,525.7,530.1,535.3,540,544.2,552.1,558.7,565.4,575.5,582.2,590.2,601,611.8,620.4,629,637.4,652.5,656.4,662.2,674.1,697.5,698.9,711.2,715.8,735.5,734,731.5,731.7,746.6,752.3,752.7,754.2,766.7,774.9,781.8,792.3,812.3,821.6,833.1,842.2,861,865.8,879,885,915.4,917.4,920.8,933.8,952.5,953.7,958.6,972.6,985.3,988.9,994.9,993.3,969.7,970.9,962.5,964.7
"28","20","      Net interest and miscellaneous payments on assets","W255RC1",2.3,2.4,2.6,2.6,2.5,2.6,2.6,2.6,2.7,2.8,2.9,3,3.1,3.2,3.2,3.2,3.4,3.6,3.8,3.8,3.9,4,4.1,4.2,4.5,4.6,4.8,5,5.2,5.5,5.7,6,6.1,6.3,6.2,6.3,6.6,6.8,7.1,7,7.7,8,8.2,8.2,9,9.5,9.8,9.9,8.8,9.8,9.8,10.1,10.2,10.1,10.7,11.2,11.6,12.2,12.6,13.4,13.1,14.1,14.6,15,14.6,14.8,15.3,15.8,16.6,17.1,17.9,18.1,19,19.5,20,20,21.1,21.9,22.7,23.8,24.7,25.5,25.8,26.2,26.6,27,27.1,27.7,30.5,32.1,33.7,34.6,36,38.1,40.5,41.9,43.1,44,44.1,44.3,45.2,46.5,48.9,51.1,51.3,52.8,56.8,60,64.4,69.1,72.4,77.3,80.7,80.8,82.2,82.8,82.5,85.2,86.6,87.9,90.5,98.6,105.1,110.1,111.3,113.9,115.3,119.6,126.6,132.8,140.8,155.4,171.3,176.9,180.1,199,201.9,221.4,251,255.1,266.4,278.3,271.4,268.4,274.8,275.6,290,300.8,303.3,321.7,340,343.2,343,341.3,334.8,346.7,365,368.9,370.5,364,362.1,361.9,368.6,374,379.4,373.6,385.6,402.6,426.5,434.7,439.7,435.4,438.8,443.5,442.8,451.7,429,421.5,418.6,403.9,396.3,389.6,382.1,382.9,380.2,370.5,357.9,349.8,351,354.7,366.1,377.1,371,358.1,351.9,352.3,354.1,366.4,375.3,388.6,397.3,401.6,408.5,422.8,458.5,480.8,491.2,486.8,469,477,483.6,495.9,532.1,543.9,543.2,537.8,541.8,547.7,544.3,543.6,529.1,505.7,494.2,496.5,511.9,511.5,501,492.1,467.7,460.6,454,464.2,509.4,528,558,576.9,608.9,654.4,661.6,684,690.6,711.3,756,798.9,790.7,809,806.1,854.7,826.2,784.4,759.7,782.6
"29","21","      Business current transfer payments (net)","B029RC1",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.2,1.1,1,1,1,1,1.2,1.3,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2,2.1,2.2,2.2,2.3,2.3,2.6,2.6,2.7,2.8,2.9,2.9,3.3,3.4,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.6,3.7,3.8,3.9,4.1,4.3,4.4,4.6,4.9,5,5,5,4.8,4.6,4.4,4.3,4.3,4.3,4.3,4.4,4.7,4.8,5,5.2,5.7,6.1,5.9,6.1,6.6,6.9,7.3,7.7,8.7,9.5,9.7,9.8,9.9,9.8,9.4,8.9,8.5,8.2,8.4,8.7,9.8,10.5,11.2,11.8,12.8,13.2,13.6,13.7,13.9,14.1,14.5,16.5,17.2,17.4,18.2,18.8,20,20.6,20.8,21,21.2,21.8,22.8,24.6,27.7,29.8,31.3,32.4,33.4,39.3,33.9,34.2,43,35.4,34.1,34.8,34.8,35.1,33.2,33.1,31.9,32.5,34,36,38.2,38.6,40,39.9,40.2,39.9,39.8,40.5,40.8,39.7,39.5,39.7,39.6,39.3,39.8,44,41.2,40.4,39.8,40.5,41.9,40.9,42.4,42.4,44.7,45.7,46.8,46.2,48.1,49.2,49.9,67.8,48.4,48.6,54.5,53.7,60.3,61.4,63.8,75.3,66.3,67.2,69.1,73.2,80.8,84.6,88.9,93.5,99.9,102.8,102.6,99.8,90.3,84.2,79.4,75.6,77.3,75.8,75.8,75.7,77.8,80,79,89.9,96.5,99.6,95.2,92.3,82.8,79.3,83.6,86.1,97.8,99,105,107,114.8,112.6,116,131.8,137.9,145.4,124.8,128.2
"30","22","      Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.9,1,1.1,1,1,0.9,0.9,0.8,0.8,0.8,1,0.9,0.9,0.9,0.9,1.3,1.3,1.4,1.5,1.4,1.4,1.1,1.5,1.4,1.5,1.3,1.2,1.1,1,0.8,1,0.9,1.1,1,0.7,1.2,1.2,1.2,1.1,0.9,1,1,1.2,0.5,-0.3,-0.1,-0.2,-0.6,0,-0.3,-0.2,0,0.4,0.5,1,0.1,-0.3,-0.5,-0.8,-0.7,-0.2,-1.1,-1.8,-2.8,-3,-3.6,-3.6,-1.7,-1.8,-1.8,-2,-2.3,-2.5,-3,-3,-3,-2.5,-1.6,-1.8,-2.1,-2.6,-3.2,-3.7,-4.1,-4.6,-5.5,-6.2,-6.5,-4.9,-6.6,-4.3,-4.2,-4.2,-5.2,-4.3,-3.7,-3.2,-3.5,-2.3,-2.1,-1.9,-2.1,-1.6,-0.7,0.9,1,1,1,1,0.8,0.7,0.5,0.2,-0.1,0,-0.7,3.3,3.6,4.1,4.5,5,5.1,5.1,3,1.5,1.1,0.7,3.3,5.9,6.2,7.3,7.6,8.2,8.9,8.1,7.6,9.4,8.8,9,9.7,9.8,9.6,9.4,13.2,13,13.1,13.2,13.9,14,14.6,14.9,13.9,14.7,14,13.8,12.9,13.5,13.7,13,15.1,14.7,14.2,12.4,12.5,11,7.7,5.3,4.4,3,7.9,0.9,4.3,4.4,9.1,7.6,9.4,7.9,6.3,4.3,3.7,1.9,0.3,-0.9,-1.8,-3.1,-4.5,-4.5,-2.4,-3.8,-4.7,-6,-8.4,-6.9,-4.9,-6,-5.6,-6.3,-6.9,-8.9,-10.7,-8.8,-6.3,-6.5
"31","23","      Wage accruals less disbursements","A062RC1",0,0,0,0,0.1,0.1,-0.2,0.1,0.1,-0.3,0,0,0,0,0,0.1,0.2,-0.1,0.8,-0.6,0.1,0.1,-0.3,0,0,-0.1,-0.1,-0.1,0,0,0,0,0.1,0.5,-0.6,0,0,0,0,0,0,0,0,0,0.6,0.6,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-2.1,-0.4,0,0,0.2,0.6,1.5,-1.4,-0.4,-0.2,2.1,0,-0.3,0,0,0,-0.6,-1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.1,-0.9,-0.1,0.2,-0.2,0,0.5,-0.5,0,0,0.3,0,-0.1,0,0,0,0,-1.3,-0.4,0,0.2,0.2,0,0.6,0.1,-1,0,0,0,0,0,0,0,0,0.2,-0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,-0.4,0,0,0,0,0,-63,72.1,1.9,1.9,-50.2,56.4,4.7,4.7,4.7,16.4,16.4,16.4,16.4,3.6,3.6,3.6,3.6,-2.9,-2.9,-2.9,-2.9,-0.7,-0.7,-0.7,-0.7,5.2,5.2,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,11.4,13.6,25,10,-3.5,-21.5,-25,-10,0,0,0,20,-20,0,0,25,-25,0,0,0,0,0,0,-20,20,0,0,0
"32","24","Plus: Personal income receipts on assets","W210RC1",13.4,13.8,14.2,14.2,14.9,14.7,15.2,15.6,15.7,15.9,16,16.5,17.7,18,19,19.6,18.6,19.1,19.2,19.5,19.1,19.8,20,20.5,20.6,21.7,21.9,22.1,23,22.7,23.4,23.9,24.7,25.2,26.1,26.7,27.4,27.9,28.3,29.2,29.8,30.5,31,31.1,31.3,31.8,32.1,32.2,33,34,35.1,36.3,37.4,37.5,38.1,38.5,38.7,39.5,40.5,41.9,42,43.6,44.9,45.9,46.1,47.1,48.4,49.9,51.5,53.1,54.6,55.8,57.1,58.8,60.3,61.4,62.6,63.6,64.5,65.5,67.5,68.7,69.8,70.1,72.4,74.7,76,77.6,80.5,83,85.3,87.7,89.6,91.9,95.4,97.1,99.5,100.3,101.7,102.4,105.2,107.6,111.1,114.6,117.2,121.1,127.6,132.6,137.7,144,149.1,154.7,159,159.9,163.1,166.7,170.4,176.3,180.8,186.2,190.2,201,210.5,219.5,224.9,230.6,237.4,246.2,257.1,267,277.7,297.2,324,334.6,336,360.1,378.2,405.6,445.5,458.5,474.7,491.7,492.3,494.7,506.4,514.4,539.3,558.2,569.7,596,627.1,638.9,646,653.7,647.6,665.5,687.7,696.4,697.7,696.1,698.3,703.3,720.9,740.7,745.3,750.4,773,799.5,846.9,871.8,885,895.4,908.3,919.3,927.7,927.9,927.3,931.3,931.5,924.2,915.5,912.8,906.3,904.3,907.2,902.5,895.3,896.8,909.2,932.8,962,986.6,993,998.3,1007,1023.1,1041.7,1067.9,1093.6,1119.7,1134.3,1152.2,1173.8,1201.5,1245.4,1276.8,1286.2,1268.3,1229.5,1236.2,1245.4,1276,1334.3,1363.1,1375.9,1369.4,1357.8,1350.6,1340.6,1334.8,1319.1,1315.4,1303.8,1300,1299.2,1306.2,1312.4,1333.8,1350,1372.9,1395.5,1515.5,1459.7,1507.1,1560.4,1640.8,1711.1,1817.2,1881.3,1909,1968.2,2022,2065.8,2069.8,2020.8,1997.3,2001.4,1958.1,1845.5,1773.4,1763.1,1788.5
"33","25","      Personal current transfer receipts","A577RC1",9.7,9.6,13.5,10.5,10.7,10.4,10.1,9.8,10.5,11,11.5,11.8,20.2,13.8,10.8,11.1,11.1,11.4,11.6,11.6,11.4,11.5,12.3,12.3,12.4,12.3,12.5,12.9,13.5,14.1,14.5,15.2,15.3,15.6,15.9,16,16.3,16.6,17.1,17.3,18.2,19.4,19.6,20.8,22.1,23.9,24.2,23.7,24,23.9,24.2,24.8,24.6,25.3,26,27,28.8,29.7,29.9,29.4,30,30,30.4,31.2,32.6,31.7,32,32.5,33.6,33.2,33.5,33.7,35,34.6,38.1,36.9,37.8,37.9,39.6,43.1,46.1,47.2,48.7,50,52.4,55.9,57.3,58.7,60.4,61.5,62.9,64.3,66.1,76.1,76.3,80.1,82,89.6,89.6,91.3,94.3,94.9,96,106.4,109.1,111.5,113.3,116.5,121.9,129.9,137.1,144.3,155.9,171.5,174.8,177.6,181.4,179.7,186.4,188.5,190.6,191.1,196.2,199,203.1,204.9,213.6,216.9,222.5,227.1,242.7,248.9,258.7,263.9,295.9,299.3,305.9,309.3,327.9,330.4,335.7,344.9,361.5,377.3,380.2,386.4,381.9,386.5,393.4,397.8,400.5,408.9,419.6,422.1,427.5,430.4,442.6,448.5,455.5,457.2,462.6,467.6,468.6,471.6,488.9,492.5,498.6,505.8,529.8,537.2,546.2,557.2,577.5,588.5,598,615.5,639.4,659.1,668.5,696.5,724.7,743.3,755.3,759.7,779.4,783.8,797.7,802.1,815.6,820.3,824.3,845.4,869.4,879,885.9,881.5,910.9,931.3,926.7,927.5,944.6,944.3,950.5,957.4,968.7,975.1,978.5,989.4,1010,1013.2,1026.3,1036.8,1052.4,1079.4,1093.7,1106.5,1150,1182.6,1188.2,1231.7,1257.7,1280.4,1288.6,1301.9,1318.1,1333.7,1355.6,1359.6,1392.5,1411,1418.5,1440.1,1481.3,1506.4,1516.7,1529.8,1569,1597.9,1620.7,1632.4,1693.8,1699.1,1725.5,1753.7,1794.1,1937,1874.3,1898,1987.3,2140.3,2137.5,2153.9
"34","26","Equals: Personal income","A065RC1",187.5,185.5,193.6,196.9,202.1,208.1,214.2,214.3,208.2,206.8,206.1,206.8,221.5,222.3,231.1,240.5,249.5,256.8,260,265.3,267.4,271.3,278.1,284.1,288.8,292.8,292.9,292.1,292.2,291.8,293.9,299.3,305.1,313,320.4,325.4,330.8,336.6,341.5,349.1,353.1,357.6,362,361.4,362,364.2,372.5,377,383.4,392,394.1,399.9,406.4,411,413.2,414.5,418.6,424.6,431.6,440.4,447.1,454.5,459.1,465,470.1,474.8,481.9,491.2,500.6,509.8,519.1,527.8,538.4,547.6,561.5,574.6,586.7,596.3,609.5,622.6,633.1,640.2,653.8,665.1,684.3,703.8,721.7,736.9,751,769.1,789.4,803.9,814.4,835.8,848,856.1,875.2,898.2,911.1,927.9,956.1,972.5,998.4,1043.5,1064.4,1094.8,1122.3,1160.7,1177.8,1204.1,1241.9,1267.1,1283.9,1314,1351.7,1389.9,1425.4,1453.4,1491.4,1528.4,1559.9,1606.1,1651.8,1712.2,1750.3,1811.1,1865.4,1920.1,1976.7,2019.7,2086.4,2155.4,2216,2242.9,2319,2428.2,2487.6,2535.7,2635.3,2670.4,2702.3,2748.5,2787.1,2829.2,2864.6,2914.9,2973.4,3055.7,3150.2,3235.1,3316,3374.2,3434.9,3473.6,3507,3571,3628.6,3670.2,3721.3,3763.9,3823.2,3877,3949.9,4047.4,4117.1,4186.8,4269.9,4351.1,4476.5,4525.9,4578.2,4649.3,4744.5,4829.3,4892.6,4920.4,4941,5005.8,5053.1,5126.1,5220.7,5306.8,5370.7,5490.9,5420.5,5549.7,5593.1,5709.2,5706.7,5844.1,5921.8,6026.6,6107.2,6161.3,6230.4,6304.7,6427.3,6562.7,6642,6734.3,6855.6,6930.4,7041.5,7175.5,7347.7,7479.8,7590.4,7683.6,7760.9,7831.6,7936.2,8114.7,8379.6,8506.6,8644.2,8707.3,8859,8881.2,8880.6,8912.3,8978.3,9060.7,9074.6,9126.8,9194.5,9321.1,9418.7,9578.3,9679.8,9847.1,9999.1,10223.1,10238.6,10386.7,10577.5,10740.8,11026.7,11204,11336.9,11504.8,11706.9,11823.4,11945.6,12100.3,12142.2,12292.9,12286.6,12233.5,11952.7,12048.8,12005.2,12097.7
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
