"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"23","15","          Compensation of general government employees","B568RA3",72.19,66.938,66.573,64.871,66.663,66.031,69.213,71.784,71.51,71.341,70.492,67.902,66.549,70.1,74.444,90.103,95.75,110.953,121.515,122.19,125.172,127.109,127.062,124.385,124.16,123.162,121.973,118.761,116.247,114.842,114.152,113.253,111.9,109.406,109.338,109.004,108.313,107.187,108.095,108.298,108.086,108.233,108.32,104.356,102.434,102.064,103.433,103.186,100.888,100.623,100.516,100.542,101.149,103.583,102.153,102.002,102.257,102.852,104.451,108.141,109.502,109.733,109.365,107.882,108.126,109.228,109.867,109.153,108.861,109.563,110.31,110.03,108.933,109.206,110.428,112.586,114.835,117.589,121.665,125.072,128.788,128.715,130.011,129.51,130.4,132.135,132.349,130.148,130.774,131.723,132.543,131.559,127.331,125.397,123.708,122.145,121.007,119.086,117.563,116.127,113.894,111.969,112.022,112.471,110.354,108.65,107.247,107.377,108.892,108.787,108.503,108.71,108.547,108.142,108.034,108.019,108.237,108.22,108.284,108.357,108.127,108.243,108.648,108.537,109.36,109.878,110.204,109.736,109.399,109.149,109.174,108.829,109.486,111.181,111.213,110.306,111.238,111.547,112.066,112.164,112.206,112.607,113.113,113.479,114.201,114.528,114.971,114.517,115.014,115.607,116.09,116.071,116.666,117.297,117.909,117.419,117.513,117.174,117.168,117.099,117.808,117.941,119,119.618,119.084,117.897,117.981,118.562,118.234,118.295,118.762,118.883,119.847,119.713,119.94,119.482,121.674,120.134,118.407,117.217,116.569,115.631,114.748,113.749,113.719,112.586,111.435,109.55,109.096,107.655,106.557,104.542,103.669,103.247,102.345,97.543,97.75,99.06,98.329,96.76,96.416,95.934,95.585,94.13,94.202,94.039,94.097,93.929,93.808,92.698,92.296,92.213,93.019,95.533,93.12,92.435,93.558,94.084,94.204,93.745,95.073,95.857,96.598,96.947,98.47,99.407,99.385,99.244,99.731,99.458,99.827,100.476,100.471,99.939,99.653,99.937,98.79,98.608,99.476,99.294,98.793,98.403,99.372,99.607,100.594,101.701,103.577,105.429,106.597,108.806,110.59,111.341
"24","16","          Consumption of general government fixed capital \2\","B995RA3",56.886,53.731,50.997,48.493,46.408,44.27,42.379,40.56,39.303,37.967,36.633,35.291,34.134,33.292,32.582,32.117,31.923,32.095,32.486,33.221,34.274,35.346,36.256,37.31,38.375,39.399,40.098,40.853,41.743,42.227,42.692,42.923,43.105,43.207,43.291,43.276,43.333,43.418,43.615,43.609,43.633,43.716,43.724,43.74,43.718,43.714,43.845,43.878,44.195,44.485,44.694,45.085,45.418,45.675,45.94,46.228,46.318,46.635,46.763,47.185,47.73,48.032,48.518,48.875,49.248,49.526,49.87,50.279,50.483,50.703,50.817,50.986,51.025,51.159,51.356,51.399,51.647,51.877,52.208,52.537,52.96,53.316,53.732,54.085,54.369,54.596,54.816,54.911,54.906,54.848,54.818,54.763,54.607,54.442,54.178,53.74,53.319,52.708,52.157,51.329,50.813,50.237,49.764,49.283,48.702,48.285,47.871,47.597,47.251,47.003,46.849,46.689,46.612,46.577,46.52,46.617,46.724,46.76,46.84,46.901,47.01,47.146,47.283,47.425,47.487,47.679,47.836,47.989,48.139,48.397,48.698,48.933,49.263,49.639,50.004,50.378,50.77,51.158,51.604,52.051,52.566,53.118,53.675,54.32,55.002,55.766,56.539,57.443,58.403,59.401,60.489,61.6,62.825,64.084,65.4,66.794,68.077,69.418,70.782,72.172,73.565,74.818,76.027,77.187,78.295,79.342,80.34,81.309,82.198,83.108,84.052,84.945,85.894,86.8,87.635,88.416,89.198,89.89,90.505,91.067,91.598,92.003,92.382,92.664,92.944,93.099,93.192,93.192,93.115,93.064,92.929,92.777,92.55,92.412,92.321,92.238,92.217,92.126,92.115,92.058,92.046,92.014,91.961,91.882,91.775,91.801,91.868,92.019,92.254,92.492,92.694,92.907,93.127,93.305,93.48,93.582,93.568,93.683,93.787,93.924,94.126,94.344,94.567,94.814,95.09,95.446,95.769,96.194,96.604,97.086,97.662,98.267,98.917,99.602,100.35,101.131,101.963,102.809,103.657,104.45,105.195,106.16,107.314,108.653,110.217,111.369,112.105,112.49,114.097,115.975,118.152,121.705
"25","17","        Intermediate goods and services purchased \3\","W113RA3",3.506,5.967,5.627,4.985,5.631,8.588,9.477,11.291,11.732,13.351,12.371,10.941,11.528,12.838,7.799,9.55,17.346,19.168,24.646,25.634,29.643,33.017,34.568,36.288,38.501,40.268,38.123,39.74,34.124,30.779,28.759,28.706,28.105,28.817,29.194,27.188,25.763,28.945,24.295,27.941,31.003,30.684,30.279,33.151,29.405,33.713,29.439,31.786,27.808,30.771,32.607,32.667,27.718,27.354,29.503,30.045,27.146,28.797,29.929,29.874,32.279,33.413,36.001,36.451,35.905,34.07,38.501,37.272,36.926,35.979,34.98,33.004,33.122,33.798,37.533,40.201,40.332,44.412,44.523,43.707,50.608,50.335,50.101,50.887,54.363,53.036,52.202,53.578,50.333,51.42,50.209,49.324,46.811,44.133,43.472,43.154,42.375,42.341,41.78,41.193,44.871,46.61,41.832,40.365,41.02,41.619,38.519,37.99,40.385,38.757,39.028,39.193,38.602,39.165,37.676,37.748,36.387,37.755,36.274,35.505,37.183,39.112,40.16,39.026,39.173,40.753,40.824,40.966,42.188,43.669,40.736,43.195,44.249,47.523,46.16,45.831,48.03,50.469,50.178,50.386,51.579,50.254,52.97,55.788,55.829,57.525,60.806,53.841,53.685,57.8,57.614,59.227,60.591,61.868,65.023,65.093,64.113,68.582,71.399,68.909,69.698,69.644,67.972,71.396,68.805,67.293,65.806,70.461,66.301,70.663,70.258,70.013,71.036,70.088,68.42,71.041,72.295,71.41,70.12,66.803,67.167,66.927,69.816,69.55,65.472,63.913,63.818,64.968,62.684,63.188,65.874,64.22,63.199,62.527,62.882,60.16,61.161,62.772,61.444,63.68,61.645,65.198,62.852,64.61,58.915,62.566,63.05,62.26,61.279,61.391,65.06,68.291,61.892,67.128,65.165,66.131,68.752,71.045,71.951,74.81,77.773,79.909,82.315,85.422,84.099,93.596,93.016,94.232,96.789,97.714,101.047,97.384,99.339,98.368,103.692,98.601,105.539,102.699,102.176,100.928,98.802,101.912,106.371,107.054,109.964,111.069,117.155,117.425,114.402,117.853,120.205,119.661
"26","18","          Durable goods","W114RA3",7.778,7.31,7.582,7.171,13.416,12.307,13.634,16.742,14.8,16.475,18.543,16.909,24.341,24.786,29.45,32.147,42.825,58.461,69.94,87.613,100.204,111.639,117.356,125.718,133.163,141.926,120.488,112.806,98.125,100.867,85.974,86.534,82.117,85.316,77.84,69.617,70.51,79.802,72.153,75.685,75.967,80.722,78.148,76.939,80.351,85.098,77.863,78.883,55.23,57.284,59.63,58.289,49.945,47.859,50.114,48.658,39.139,40.232,42.149,42.458,49.971,51.138,52.344,51.413,53.268,52.005,51.799,52.473,46.808,45.998,44.363,45.204,45.449,50.602,46.943,49.832,57.284,69.739,65.968,79.871,68.119,66.741,66.33,65.874,77.254,74.763,75.576,75.554,68.265,63.303,62.951,58.958,58.192,56.386,55.484,55.759,46.575,41.635,40.143,36.448,53.637,54.442,51.743,48.905,50.262,49.677,44.408,47.228,42.184,46.763,35.269,41.497,43.763,42.736,43.782,42.02,37.89,43.082,35.278,39.617,44.972,56.116,46.656,48.88,54.26,57.921,54.662,53.884,55.557,62.247,57.982,63.96,63.245,64.262,65.665,59.4,68.916,75.255,70.206,76.6,72.928,77.497,79.802,86.34,91.439,95.994,94.396,95.426,98.52,98.371,88.916,96.398,95.324,99.655,109.4,105.042,98.14,112.607,116.709,109.419,109.565,113.444,122.418,119.253,119.408,117.275,116.834,124.433,114.761,119.792,117.103,109.461,113.883,111.475,109.859,112.488,109.328,110.914,106.671,101.9,98.705,94.922,97.843,98.053,89.307,102.735,82.628,81.337,76.631,75.347,81.38,73.893,72.822,65.957,78.572,63.954,66.08,74.46,74.133,67.512,69.57,74.49,69.441,71.011,68.374,69.876,75.213,73.264,68.986,77.939,83.004,75.365,76.594,76.345,76.881,74.152,72.255,78.109,82.786,74.518,76.449,80.461,85.743,81.807,79.423,90.381,91.207,91.564,92.976,99.326,100.951,98.172,95.799,98.687,102.625,102.889,105.737,105.289,108.913,112.987,109.1,115.289,122.775,125.698,129.253,137.31,144.256,147.636,137.721,149.868,160.331,153.241
"27","19","          Nondurable goods","W115RA3",3.475,11.548,9.285,8.365,5.062,17.96,22.672,27.926,36.682,33.232,34.802,33.854,26.325,34.794,2.165,5.113,28.226,27.818,32.91,30.426,36.236,41.283,44.517,50.549,87.108,98.309,87.931,89.491,71.376,62.608,57.647,79.831,39.862,54.845,52.993,43.03,34.093,35.167,21.801,27.246,41.898,22.538,23.106,49.225,19.323,36.848,33.017,43.737,45.738,65.902,68.932,61.578,29.175,34.798,39.395,43.486,20.524,34.573,39.466,38.302,33.221,50.731,68.29,63.589,49.433,35.91,60.937,44.191,50.5,49.907,52.989,40.791,37.985,38.902,64.783,66.889,54.642,77.161,53.784,47.233,100.646,100.011,94.592,96.966,116.822,116.977,114.265,119.419,116.024,121.147,126.256,106.155,90.48,78.938,74.347,77.772,64.447,70.419,75.366,69.787,80.822,81.545,68.889,66.12,58.72,55.416,52.939,58.397,60.634,48.564,59.295,57.572,54.685,56.461,41.595,47.723,49.051,47.56,47.084,45.784,46.32,45.82,53.509,53.374,46.26,49.255,54.203,54.877,51.947,49.671,52.491,52.835,54.777,65.146,57.267,62.893,65.157,78.535,75.12,73.296,67.565,65.713,63.909,65.752,63.632,76.888,101.296,37.208,34.132,63.223,62.986,63.201,65.279,67.305,64.308,61.511,68.956,83.065,90.338,97.663,75.435,66.463,42.854,70.464,42.417,37.36,29.495,53.874,63,70.03,69.013,58.557,55.659,56.986,57.043,69.238,76.158,62.655,58.232,52.07,55.621,65.531,64.48,61.724,65.43,63.753,65.761,60.01,55.44,55.384,51.532,58.732,58.6,53.915,56.619,53.271,54.386,55.115,55.55,53.262,60.704,59.12,61.288,61.087,64.672,64.248,67.368,65.365,53.806,56.97,62.133,55.15,64.54,63.101,61.313,63.167,67.309,78.139,70.733,76.971,74.821,81.438,77.516,81.022,82.602,88.36,81.518,88.523,96.523,95.156,96.821,90.993,102.622,95.037,101.827,100.514,100.094,94.485,99.246,89.825,93.766,95.326,100.256,94.436,98.997,102.043,104.57,106.327,107.619,113.263,109.076,103.888
"28","20","          Services","W116RA3",2.668,4.207,4.271,3.743,4.308,5.5,5.565,6.391,5.344,7.904,6.099,4.922,6.311,6.558,5.25,5.14,9.903,10.153,14.542,13.662,15.615,17.069,17.473,17.264,12.928,11.921,14.334,17.341,15.667,12.476,13.185,9.011,16.228,13.866,15.863,16.365,15.984,18.448,15.985,19.237,20.655,22.773,22.587,22.075,21.629,23.563,19.817,20.931,19.565,19.508,21.1,22.871,23.743,22.545,24.262,24.553,26.757,26.216,26.519,26.58,29.366,27.598,27.887,29.549,30.921,30.97,32.828,33.906,33.491,32.424,30.808,29.998,30.59,30.339,31.863,34.622,35.458,34.74,39.706,37.087,39.822,39.83,40.473,41.236,40.674,39.287,38.428,39.473,36.991,38.566,36.263,38.823,37.991,36.516,36.491,35.495,38.119,38.108,36.915,37.575,37.833,39.843,35.884,34.854,36.578,37.977,35.17,33.16,36.829,35.861,36.241,35.759,35.107,35.716,36.216,35.494,34.099,35.361,34.743,33.204,34.487,35.314,36.929,35.04,35.608,36.589,36.357,36.567,38.471,39.764,35.946,38.271,39.467,41.571,41.241,40.528,41.536,40.814,42.045,41.676,45.255,43.024,46.835,49.283,48.913,47.686,47.456,50.634,50.342,50.399,51.927,52.73,54.492,55.111,58.273,59.681,58.153,59.185,61.119,58.018,62.59,63.244,63.178,63.794,64.753,63.844,63.13,64.756,59.53,63.284,63.237,65.668,66.768,65.762,63.874,65.076,66.205,66.777,66.395,63.675,64.135,63.071,66.493,66.489,62.092,58.178,60.964,63.405,61.783,62.642,65.659,63.761,62.629,63.42,61.606,60.761,61.577,62.285,60.571,64.757,60.819,64.88,62.334,64.38,57.026,61.508,60.977,60.504,61.274,59.769,63.07,69.17,59.573,66.495,64.165,65.513,68.534,69.193,70.715,74.612,78.356,79.684,82.54,86.506,84.93,94.747,94.802,95.36,97.333,97.88,101.65,98.196,99.288,98.828,104.102,97.783,106.36,103.672,101.805,101.201,98.348,101.33,105.361,106.853,109.409,109.383,116.021,115.693,112.803,114.951,117.395,118.315
"29","21","      Less: Own-account investment \4\","W117RA3",11.642,13.661,13.082,12.822,15.638,18.048,25.065,29.885,23.727,26.097,32.438,31.581,25.48,26.152,43.121,41.602,44.146,57.496,72.266,74.022,79.452,88.371,96.132,96.681,105.695,96.737,90.717,81.947,87.988,84.857,79.835,71.806,72.745,67.652,66.401,62.699,60.265,67.743,74.219,65.403,69.748,72.624,76.978,79.326,73.532,76.813,82.831,93.714,83.684,92.683,87.716,88.914,82.49,87.72,82.648,89.17,93.154,85.858,85.827,92.039,81.031,87.75,94.719,95.142,64.207,86.244,94.489,81.076,79.571,77.984,78.114,80.754,74.312,85.04,85.117,82.643,87.166,90.078,89.846,94.142,79.809,73.174,74.658,70.374,71.004,67.477,64.293,66.074,63.451,64.687,63.921,60.938,62.28,64.931,65.517,66.363,67.417,66.54,68.979,66.083,76.318,67.267,66.147,73.861,66.942,63.298,65.084,68.815,51.678,63.88,64.004,66.419,60.287,58.996,62.412,65.927,59.405,61.727,60.266,61.293,53.535,54.708,55.661,52.504,53.872,58.934,64.423,62.276,63.23,66.409,70.761,68.979,69.22,71.653,74.776,73.302,70.975,72.245,73.842,75.053,75.897,79.614,83.795,82.615,84.389,85.839,90.333,88.445,90.402,94.528,100.304,103.613,106.585,109.3,112.678,111.187,110.231,111.401,112.6,114.597,118.132,123.2,124.001,125.627,124.451,125.837,128.773,127.85,129.591,135.557,144.564,150.965,152.757,148.291,143.703,140.168,142.862,150.879,152.958,153.765,160.259,152.446,149.87,137.5,144.013,147.549,149.505,141.162,132.827,130.842,140.327,132.016,139.591,132.072,139.305,120.573,120.791,124.547,132.231,122.447,135.676,126.646,113.809,101.196,121.745,135.297,124.866,95.452,71.762,126.544,122.015,107.162,83.276,86.349,89.364,89.373,107.118,110.246,104.926,104.965,108.671,109.698,113.777,110.48,104.063,105.671,100.964,107.866,97.372,100.577,103.224,100.723,98.256,99.847,101.48,100.417,96.821,97.41,99.321,99.347,95.234,94.112,95.085,92.205,98.385,99.598,103.023,104.328,111.259,109.98,112.759,112.401
"30","22","            Sales to other sectors","W118RA3",110.788,84.686,23.048,20.831,53.338,22.209,20.732,42.998,14.882,14.336,25.231,16.311,16.161,84.953,11.814,12.473,150.011,19.945,18.734,16.104,12.412,27.328,13.323,18.752,18.915,16.395,16.695,17.121,17.375,46.063,16.612,23.18,45.682,191.501,45.309,44.673,35.133,62.18,30.975,33.054,55.49,69.426,72.638,73.588,50.412,111.198,35.136,59.4,67.875,33.875,38.023,58.232,46.667,45.991,45.331,39.992,38.571,43.165,39.801,34.041,42.395,45.84,43.03,41.867,76.612,35.503,45.662,40.619,63.518,35.858,51.383,48.426,51.856,44.54,63.503,56.525,86.599,100.045,64.607,56.677,52.883,52.03,56.4,48.259,45.598,48.31,50.172,56.12,47.521,55.847,54.886,51.17,57.157,50.979,43.431,46.99,42.861,46.423,51.003,49.155,79.525,93.078,82.681,96.646,90.517,117.111,100.975,92.011,124.735,124.451,105.996,103.897,122.71,110.932,59.371,67.142,59.833,90.178,100.384,50.306,89.946,102.619,116.148,81.132,89.042,102.697,119.308,113.352,109.891,108.77,104.502,147.852,100.678,111.766,118.081,105.533,102.147,93.938,119.433,86.745,98.165,90.497,90.013,100.664,82.077,76.758,94.924,100.797,89.25,92.401,107.545,87.28,88.681,90.758,98.212,95.938,88.137,101.435,98.034,103.589,105.735,102.845,112.009,103.626,110.112,118.919,134.496,102.095,112.458,119.532,120.237,98.359,107.558,96.906,123.968,146.726,143.837,108.005,151.529,113.312,132.318,126.852,137.048,82.153,111.768,115.394,117.201,80.953,130.238,175.956,108.624,139.604,107.482,85.178,84.158,116.848,90.064,98.186,122.221,102.329,72.614,77.609,65.335,71.256,71.663,43.852,182.079,47.98,50.009,70.959,76.087,60.413,90.544,70.378,76.54,105.33,72.175,54.176,57.63,73.766,66.716,45.986,77.009,52.441,54.938,78.667,72.348,57.771,57.091,61.444,87.103,76.92,103.214,81.057,108.426,107.302,86.927,97.431,90.72,68.261,83.709,82.347,94.237,75.112,71.227,73.225,100.437,76.351,84.741,90.371,93.406,94.463
"31","23","    Defense consumption expenditures \1\","A997RA3",40.066,37.39,38.05,38.023,37,36.355,36.012,37.349,37.465,37.33,37.008,35.024,35.139,35.492,37.151,42.311,51.073,60.6,70.54,73.179,77.403,82.58,84.284,85.845,86.805,86.065,85.549,86.543,78.268,76.064,74.384,71.846,72.254,67.729,71.156,69.848,68.738,71.445,69.006,72.486,74.052,75.889,75.81,75.07,73.98,74.769,72.628,72.806,66.796,67.126,68.872,69.076,68.104,68.154,69.638,69.245,69.126,69.378,70.992,72.465,74.946,74.884,75.79,75.758,75.499,75.246,77.072,76.854,75.476,74.361,74.357,72.531,71.751,72.427,74.785,78.781,80.005,83.401,87.214,89.143,94.478,96.033,96.967,96.957,100.917,101.234,99.278,99.425,96.214,97.143,95.853,95.936,91.237,87.354,86.387,85.218,84.215,81.428,78.859,78.484,78.232,78.009,74.174,72.863,72.459,71.698,68.517,68.646,68.995,69.487,67.026,66.758,66.599,66.569,66.304,66.033,65.197,66.216,64.897,64.646,65.152,66.208,66.847,65.413,66.165,66.928,67.106,66.277,67.227,68.623,66.493,67.489,69.149,69.918,70.563,70.748,72.536,73.888,74.323,75.574,77.021,77.765,79.992,81.41,81.993,83.244,83.189,84.596,84.657,85.485,85.575,87.471,88.601,89.564,92.462,93.193,92.935,95.743,97.045,94.733,96.86,98.311,99.2,100.179,100.501,99.382,98.355,100.818,96.962,99.679,99.701,99.843,99.642,98.713,96.519,98.646,101.047,99.946,97.366,94.759,92.771,92.424,93.796,93.763,90.916,89.414,88.684,89.063,85.793,85.135,87.202,83.989,83.528,83.297,82.954,80.05,80.922,82.161,80.748,81.347,79.212,81.218,79.668,80.19,75.843,78.594,78.671,78.634,78.21,77.287,79.31,81.857,76.407,80.486,78.36,78.529,80.282,80.872,81.428,82.601,84.633,85.772,86.719,89.262,88.456,96.38,94.719,96.552,98.203,98.485,100.79,98.265,99.548,99.751,102.339,98.362,100.843,100.214,100.367,101.869,99.958,101.436,104.084,104.248,105.927,106.525,111.499,112.401,111.005,114.258,116.468,116.092
"32","24","      Gross output of general government","W085RA3",39.686,37.037,37.685,37.636,36.798,36.184,35.876,37.202,37.221,37.107,36.782,34.819,34.907,35.293,36.93,42.064,53.728,60.138,70.023,72.663,76.827,81.953,83.699,85.245,86.234,85.49,84.931,85.878,77.756,75.604,73.906,71.383,72.279,67.776,71.21,69.905,68.582,71.546,68.854,72.311,73.986,75.748,75.977,75.25,74.236,75.145,72.562,73.321,66.632,66.981,68.678,68.979,68.083,68.173,69.57,69.102,68.937,69.338,70.738,72.176,74.67,74.818,75.639,75.631,75.027,75.058,76.914,76.613,75.314,74.141,74.231,72.516,71.662,72.4,75.023,78.833,80.494,84.308,87.459,89.247,94.133,95.816,96.267,96.285,100.173,100.505,98.534,98.774,95.525,96.532,95.174,95.208,90.688,86.789,85.776,84.571,83.566,80.815,78.406,77.919,78.066,78.091,74.112,72.95,72.488,72.24,69.065,68.909,69.668,70.212,67.658,67.249,67.518,67.141,66.01,65.838,64.985,66.032,64.721,64.385,65.019,66.276,66.781,65.134,65.962,66.758,67.029,66.31,67.175,68.453,66.311,67.433,69.042,69.764,70.597,70.839,72.665,73.742,74.484,75.472,77.124,77.749,79.804,81.651,81.783,82.969,82.826,84.419,84.454,85.253,85.652,87.206,88.289,89.358,92.365,92.974,92.587,95.51,96.864,94.573,96.704,98.134,99.123,99.866,100.295,99.233,98.489,100.542,96.854,99.539,99.588,99.643,99.553,98.547,96.719,99.114,101.04,100.074,97.614,94.626,92.998,92.893,94.157,93.655,91.174,89.73,89.294,89.086,86.503,86.158,87.668,85.013,83.862,83.369,82.994,80.291,81.04,82.377,81.152,81.615,79.302,81.402,79.726,80.187,76.029,78.358,78.95,78.374,77.811,77.267,79.54,81.759,76.66,80.244,78.342,78.24,80.517,80.68,81.303,82.568,84.57,85.628,87.156,89.221,88.434,96.44,94.793,96.388,98.013,98.379,100.883,98.088,99.58,99.775,102.41,98.235,100.842,100.413,100.446,101.693,100.117,101.398,104.253,104.118,105.727,106.345,111.26,112.152,110.813,114.043,116.255,115.874
"33","25","        Value added","W086RA3",93.633,85.84,84.272,85.481,79.749,76.753,76.862,76.898,76.545,75.022,73.33,70.821,68.373,68.9,70.77,80.697,89,100.33,110.163,112.674,115.585,118.016,118.775,117.852,119.406,120.058,120.382,118.888,117.858,117.033,117.303,116.362,115.556,113.745,113.35,113.054,112.394,111.732,112.464,112.382,112.014,111.995,112.188,109.512,107.073,106.716,107.62,107.466,106.076,105.979,106.009,106.378,106.22,107.584,107.247,107.491,107.546,108.009,109.121,112.581,113.869,113.955,113.616,112.692,112.309,113.155,113.754,113.577,113.168,113.562,114.092,113.862,112.832,112.878,113.575,115.386,117.687,119.748,122.801,125.787,129.42,129.114,130.049,130.164,130.701,132.128,132.405,130.834,130.902,131.686,132.302,131.351,126.766,124.794,123.193,121.28,118.759,116.594,114.734,112.784,109.42,107.116,106.893,106.851,104.265,102.439,101.086,100.798,100.606,100.267,99.772,100.041,99.566,98.827,98.507,98.186,97.89,97.409,97.035,96.889,96.667,96.669,96.885,96.881,97.147,97.339,97.628,97.352,97.039,96.841,97.026,97.074,97.084,97.534,98.266,98.694,99.673,100.31,101.246,101.805,102.345,103.242,103.699,104.235,105.163,105.504,106.069,106.442,107.345,108.186,108.976,109.693,110.736,111.722,112.892,113.325,113.955,114.368,115.202,115.928,116.402,117.417,118.717,119.012,118.615,118.393,118.554,118.707,118.926,119.681,120.498,120.647,120.402,120.396,120.572,121.324,123.704,122.416,120.585,118.605,117.759,117.243,116.424,115.547,115.039,113.833,113.008,111.359,110.43,109.596,108.664,107.079,106.041,105.1,104.095,102.223,101.61,101.395,100.855,99.587,98.893,98.092,97.788,96.745,96.157,95.38,95.23,94.245,93.593,93.207,93.348,93.185,92.504,92.8,92.766,92.53,92.777,92.861,92.947,92.947,94.029,94.686,95.018,94.744,96.408,97.456,97.707,97.781,98.744,98.541,99.363,99.9,100.077,99.802,99.945,100.176,99.072,98.94,99.895,100.112,99.455,99.322,100.442,100.882,101.856,102.893,104.945,106.4,107.59,109.803,112.011,113.7
"34","26","          Compensation of general government employees","B237RA3",83.473,74.548,76.287,83.647,75.97,73.979,77.833,81.38,83.118,82.657,81.78,79.333,76.734,79.257,84.235,104.98,122.122,144.648,163.78,167.375,171.169,173.989,173.612,169.602,170.612,169.892,169.142,164.53,160.827,158.11,157.789,155.386,153.415,149.61,148.727,148.141,146.668,145.201,146.265,146.105,145.276,145.132,145.5,140.118,135.441,134.7,136.268,135.861,132.618,131.924,131.587,131.624,130.725,132.913,131.763,131.822,131.737,132.122,134.014,140.074,141.68,141.389,140.036,137.795,136.619,137.913,138.623,137.869,136.909,137.521,138.482,138.006,136.316,136.425,137.669,141.109,145.24,148.862,154.088,159.184,165.314,164.404,165.666,165.479,166.202,168.501,168.804,166.034,166.237,167.765,168.961,167.414,159.65,156.501,154.159,151.402,147.661,144.695,142.237,139.881,134.87,131.673,131.842,132.297,128.633,126.115,124.344,124.188,124.246,124.009,123.369,124.022,123.341,122.236,121.808,121.239,120.696,119.907,119.256,118.983,118.563,118.493,118.763,118.747,119.203,119.421,119.815,119.312,118.747,118.29,118.4,118.366,118.183,118.683,119.644,120.13,121.484,122.273,123.49,124.076,124.591,125.638,125.98,126.369,127.398,127.414,127.786,127.714,128.492,129.164,129.673,130.053,130.842,131.529,132.46,132.184,132.302,132.049,132.431,132.631,132.466,133.229,134.449,134.191,132.923,131.968,131.637,131.319,131.148,131.785,132.511,132.247,131.357,130.867,130.718,131.45,134.655,132.391,129.358,126.159,124.678,123.754,122.431,121.048,120.234,118.428,117.227,114.864,113.609,112.484,111.251,109.062,107.74,106.526,105.202,102.602,101.87,101.752,101.119,99.437,98.585,97.596,97.332,96.02,95.377,94.43,94.37,93.08,92.256,91.806,92.111,91.973,91.089,91.599,91.62,91.377,91.834,92.013,92.19,92.226,93.738,94.626,95.054,94.621,96.8,98.099,98.33,98.285,99.42,98.988,99.89,100.408,100.43,99.862,99.817,99.891,98.23,97.83,98.853,98.918,97.844,97.391,98.511,98.678,99.471,100.475,102.919,104.697,105.774,108.072,110.269,111.391
