"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"11","3","  Durable goods manufacturing industries","PK30D3",92.279,92.032,91.669,91.333,91.052,90.671,90.403,90.146,89.802,89.697,89.603,89.669,89.783,89.713,89.774,89.63,89.494,89.422,89.312,88.872,88.847,88.795,88.704,88.676,88.591,88.403,88.529,88.869,89.569,91.052,91.874,92.666,93.418,93.358,93.488,93.923,94.936,96.049,96.849,97.323,97.696,98.231,97.849,98.147,99.092,101.405,102.988,102.092,100.373,99.465,99.68,100.445,100.935,101.799,101.356,101.944,103.207,104.339,104.549,104.417,104.835,105.024,104.763,105.07,105.363,105.404,105.277,105.907,106.327,106.473,106.84,107.187,107.156,106.688,106.295
"12","4","    Wood product manufacturing","PK3213",93.951,95.134,94.965,95.8,95.604,94.499,94.726,94.276,94.945,96.456,98.76,96.508,96.742,94.695,92.844,93.092,92.24,94.577,93.807,92.219,92.504,92.362,92.213,92.361,92.428,92.615,96.84,100.519,101.77,106.467,106.538,104.49,106.187,105.709,105.896,107.005,107.347,106.423,104.229,103.55,104.297,104.408,104.726,103.497,102.609,104.623,105.649,104.292,100.876,98.852,100.249,100.023,100.504,104.911,101.761,101.495,102.714,102.088,102.701,103.62,104.133,106.52,108.259,109.657,114.331,115.315,113.937,116.058,117.37,118.82,121.443,121.07,118.728,117.298,117.502
"13","5","    Nonmetallic mineral product manufacturing","PK3273",74.682,74.902,74.968,75.167,74.936,75.596,76.312,76.647,77.085,77.595,78.076,78.493,78.804,78.897,78.767,78.65,78.96,79.121,79.334,79.732,79.436,79.655,79.986,80.127,80.104,80.263,80.377,80.674,81.14,82.099,83.609,84.708,86.28,87.416,88.942,90.499,93.241,94.578,95.691,95.778,96.437,96.806,96.415,96.464,97.017,97.716,98.972,100.117,100.887,100.421,99.692,98.973,98.932,98.895,98.916,98.971,99.249,99.893,100.42,100.469,101.996,102.642,103.211,103.573,105.108,106.014,106.558,106.833,107.951,108.801,109.746,110.19,111.622,112.434,112.859
"14","6","    Primary metal manufacturing","PK3313",74.704,75.091,75.029,75.014,74.268,73.273,71.91,70.554,68.99,68.621,69.118,70.284,71.893,72.17,72.021,71.421,70.578,69.562,68.875,68.091,68.019,68.786,70.057,70.87,71.069,70.468,70.675,72.336,77.354,84.126,88.385,92.727,95.505,92.428,89.811,94.474,99.451,105.151,111.089,112.587,110.696,116.827,114.043,111.586,116.477,131.352,137.453,117.241,100.156,94.205,99.508,105.234,110.384,116.733,113.261,116.795,124.128,129.237,127.995,123.341,123.463,121.861,117.808,116.749,116.527,114.839,114.083,114.973,115.933,116.537,118.4,117.88,114.319,109.593,105.942
"15","7","    Fabricated metal product manufacturing","PK3323",72.283,72.52,72.768,72.976,73.159,73.376,73.476,73.582,73.563,73.646,73.765,74.053,74.318,74.587,74.769,74.925,75.168,75.296,75.351,75.42,75.497,75.574,75.749,75.834,75.902,75.916,76.067,76.319,77.797,80.497,82.048,83.094,84.299,85.018,85.24,85.925,86.95,88.055,89.549,90.448,91.57,92.459,92.759,93.42,95.374,98.796,101.855,102.239,101.5,99.9,99.185,99.344,99.831,100.594,100.893,100.859,102.309,103.97,104.66,104.769,105.265,105.937,105.631,105.81,106.084,106.26,106.248,106.253,106.784,107.171,107.364,107.371,107.726,107.937,107.732
"16","8","    Machinery manufacturing","PK3333",78.151,78.383,78.596,78.755,78.996,79.209,79.439,79.629,79.89,80.096,80.204,80.334,80.506,80.658,80.923,81.047,81.345,81.603,81.801,81.961,82.096,82.197,82.352,82.562,82.643,82.791,82.952,83.169,83.584,84.276,84.952,85.643,86.686,87.458,88.045,88.607,89.435,90.01,90.784,91.63,92.576,93.154,93.563,94.212,95.147,96.428,98.508,99.638,100.048,99.946,99.963,100.039,99.959,100.147,100.286,100.582,101.404,102.383,103.198,103.825,104.429,104.907,105.192,105.564,105.982,106.287,106.535,106.873,107.473,107.961,108.242,108.563,108.999,109.339,109.555
"17","9","    Computer and electronic product manufacturing","PK3343",162.729,159.468,156.474,153.985,151.546,148.674,146.449,144.485,142.314,140.483,138.292,137.1,135.315,134.146,134.037,133.15,131.964,130.487,128.781,127.881,126.941,125.824,124.348,122.765,120.4,119.605,117.43,115.864,114.77,114.302,113.573,112.785,111.864,111.25,110.859,109.703,109.021,109.441,109.389,108.951,107.558,106.005,104.105,102.723,102.038,101.977,101.718,101.349,100.438,99.959,99.929,99.677,98.896,98.56,98.068,96.897,96.591,96.586,96.131,95.74,95.918,96.02,95.592,95.223,95.238,95.729,95.827,95.762,95.322,95.318,95.375,95.501,95.446,95.171,95.049
"18","10","    Electrical equipment, appliance, and component manufacturing","PK3353",81.183,81.469,81.346,81.167,81.065,81.147,81.2,81.044,80.797,80.706,80.973,81.099,81.295,81.38,81.491,81.428,81.424,81.411,81.252,81.13,81.133,80.959,80.915,80.753,80.553,80.447,80.409,80.552,81.164,82.623,83.077,83.689,85,85.577,86.006,87.436,88.815,91.504,93.355,93.512,93.423,95.007,96.083,96.799,98.022,99.372,100.603,99.785,99.077,99.651,100.214,101.093,101.798,102.36,102.38,103.51,104.697,105.708,106.333,106.18,106.989,107.316,107.234,107.45,107.616,107.265,107.256,107.529,107.57,107.204,107.579,107.59,107.181,107.109,106.612
"19","11","    Transportation equipment manufacturing","PK3363",90.23,89.99,89.728,89.25,89.362,89.338,89.415,89.615,89.567,89.66,89.608,89.99,90.272,90.545,90.736,90.619,90.627,90.776,91.28,90.376,90.613,90.57,90.237,90.327,90.804,90.486,90.987,91.535,91.681,92.274,92.592,93.431,93.632,93.509,94.005,93.323,93.879,94.402,94.058,94.567,95.548,95.256,95.1,96.789,97.15,97.614,97.916,100.496,100.188,99.926,99.45,100.412,100.669,100.681,100.351,101.297,101.825,102.37,102.549,103.358,103.537,103.667,103.952,104.993,104.966,104.897,104.616,105.976,106.396,106.017,105.842,106.89,107.486,107.276,107.118
"20","12","      Motor vehicle and parts manufacturing","PK3MV3",97.576,97.247,96.8,96.124,96.214,95.953,96.146,96.232,96.151,96.315,96.141,96.49,96.515,96.677,96.752,96.395,96.178,96.243,96.787,95.319,95.549,95.481,94.791,94.784,95.227,94.582,95.052,95.524,95.499,96.09,96.086,96.889,96.674,96.271,96.73,95.432,95.672,96.111,95.398,95.795,96.87,96.17,95.486,97.783,97.51,97.326,96.901,100.752,100.009,100.076,99.174,100.691,100.681,100.199,99.482,100.467,100.685,100.906,100.898,102.619,102.744,102.727,102.928,104.342,104.085,103.59,103.073,105.011,105.35,104.686,104.265,105.841,106.516,106.308,105.956
"21","13","      Other transportation equipment manufacturing","PK3OT3",73.707,73.653,73.77,73.709,73.859,74.303,74.159,74.576,74.609,74.553,74.755,75.193,76.045,76.552,76.984,77.39,77.875,78.202,78.632,78.863,79.128,79.152,79.689,80.006,80.547,81.037,81.617,82.373,82.978,83.582,84.711,85.64,86.892,87.447,88.033,88.828,90.148,90.893,91.448,92.213,92.994,93.541,94.449,94.976,96.47,98.013,99.451,100.115,100.406,99.766,99.814,100.005,100.634,101.402,101.724,102.581,103.656,104.781,105.291,104.451,104.739,105.136,105.573,105.951,106.315,107.019,107.161,107.472,108.042,108.179,108.453,108.553,109.007,108.794,109.003
"22","14","    Furniture and related product manufacturing","PK3373",78.065,78.276,78.508,78.743,79.034,79.238,79.34,79.598,79.856,80.087,80.518,80.801,81.092,81.476,81.757,82.032,82.306,82.601,82.797,82.899,82.975,83.101,83.543,83.804,83.936,84.149,84.174,84.24,84.547,85.091,85.854,86.842,87.76,88.505,89.131,89.879,90.724,91.18,91.627,92.084,92.678,93.009,93.124,93.573,94.369,95.9,98.187,99.489,100.113,99.981,99.916,99.984,99.7,99.999,100.44,100.385,100.983,101.686,102.636,103.349,104.289,104.687,104.988,105.352,105.512,106.083,106.346,106.586,107.013,107.634,108.83,108.835,109.15,109.394,109.647
"23","15","    Miscellaneous durable goods manufacturing","PK3393",81.789,82.01,82.171,82.242,82.315,82.363,82.616,82.874,82.923,83.112,83.063,83.314,84.086,84.026,84.685,84.966,85.502,85.787,86.123,86.311,86.419,86.655,86.886,87.2,87.708,88.043,88.311,88.396,88.607,89.009,89.657,89.942,90.629,91.084,91.534,91.526,92.048,92.623,93.048,93.561,94.948,95.348,95.476,96.099,96.99,97.824,99.001,99.255,100.012,100.105,99.751,100.133,100.227,101.057,102.007,103.437,104.652,106.019,106.545,106.351,106.894,107.009,107.111,107.076,107.491,107.959,107.947,107.996,108.274,108.435,108.6,108.676,109.344,109.399,109.241
"24","16","  Nondurable goods manufacturing industries","PK30N3",68.143,67.306,67.059,67.328,66.599,66.319,65.951,65.736,65.726,66.695,67.993,69.327,71.047,71.711,72.455,73.333,73.535,73.786,72.707,70.819,70.299,71.36,72.354,73.383,76.151,74.687,75.391,76.525,78.11,79.88,80.982,83.734,85.169,86.132,89.122,92.526,92.447,94.144,94.364,93.39,93.511,98.879,99.796,102.556,106.656,114.983,119.897,103.264,95.918,99.03,101.636,103.363,106.541,109.031,109.186,112.518,118.275,125.606,125.684,124.082,126.149,126.761,126.466,125.927,126.64,126.341,126.724,124.968,126.536,128.788,128.409,122.239,113.367,115.234,113.804
"25","17","    Food manufacturing","PK3113",76.779,77.362,76.642,76.182,75.15,75.21,75.605,75.108,74.71,74.046,74.509,74.813,74.809,75.865,75.394,75.782,76.978,78.331,79.005,78.031,77.497,76.853,77.812,77.578,79.303,80.145,81.497,84.39,84.126,88.157,86.037,85.651,86.668,87.24,86.867,87.557,86.801,86.168,87.628,88.67,91.533,93.858,95.133,96.855,100.307,102.885,106.901,103.177,99.62,100.026,99.663,100.697,102.271,103.091,104.195,107.298,110.469,113.719,116.104,116.563,116.792,116.642,118.752,120.73,119.982,119.612,120.09,119.994,121.604,125.368,126.444,125.837,121.592,119.921,119.102
"26","18","    Beverage and tobacco product manufacturing","PK3123",60.4,61.232,61.501,62.1,62.621,64.061,64.937,67.665,72.232,72.454,73.772,75.737,75.921,76.481,77.377,77.899,80.459,81.808,82.512,83.182,82.96,84.39,84.582,84.141,82.671,82.557,82.642,83.262,84.037,84.113,84.103,84.533,86.687,87.192,87.744,87.943,88.592,89.094,88.623,88.942,90.216,91.08,91.671,92.639,93.649,94.832,96.068,97.087,99.18,99.751,100.024,101.067,101.643,102.586,102.696,104.05,104.917,104.867,106.505,107.717,108.36,109.02,109.897,110.844,111.541,111.191,111.324,112.336,113.059,113.714,114.068,114.033,115.476,115.922,117.186
"27","19","    Textile mills","PK3133",93.412,93.688,94.034,94.039,93.985,93.844,93.461,92.486,91.429,90.566,89.983,90.066,90.176,90.167,90.479,90.456,90.424,90.115,89.326,88.655,87.787,87.889,88.03,87.818,87.61,87.811,87.748,87.842,88.001,88.833,89.255,89.571,90.721,91.507,92.201,93.434,94.744,95.166,95.474,95.824,95.843,95.875,97.08,97.611,98.626,99.41,101.417,101.302,99.866,99.92,99.822,100.364,101.279,102.892,103.824,106.088,110.886,115.207,114.897,113.812,112.64,112.074,111.635,111.784,112.302,111.977,112.129,112.745,113.21,113.413,113.595,113.297,112.621,111.968,111.573
"28","20","    Textile product mills","PK3143",83.936,83.517,84.01,84.46,84.543,84.557,84.383,84.312,83.925,84.058,84.098,84.269,84.345,85.05,85.131,85.405,85.921,86.02,85.974,86.034,85.973,85.946,86.341,86.034,85.926,86.81,87.068,87.377,86.536,87.219,88.301,89.449,89.936,90.866,91.247,92.249,93.403,92.948,93.768,94.35,94.567,94.734,95.232,95.527,95.799,96.32,98.16,98.99,98.945,100.092,100.259,100.755,100.752,101.321,101.831,101.991,103.438,105.506,107.262,107.533,107.796,107.974,108.799,108.066,108.212,108.866,109.797,109.589,114.215,114.47,114.212,114.855,114.529,114.546,115.757
"29","21","    Apparel manufacturing","PK3153",95.603,95.752,96.057,96.153,96.356,96.4,96.599,96.791,96.831,96.854,96.783,96.997,97.007,97.127,97.339,97.384,97.373,97.221,97.205,97.122,96.765,96.45,96.491,96.703,96.422,96.329,96.242,96.422,96.29,96.393,96.365,97.006,96.655,96.34,96.489,96.29,96.525,96.609,96.692,97.084,97.661,97.707,97.735,97.956,98.229,98.618,99.044,99.742,100.069,99.921,99.868,100.132,100.002,100.202,100.244,100.108,100.807,101.901,102.766,103.011,103.548,103.721,103.852,104.557,104.984,105.093,105.818,106.023,106.05,106.09,106.352,106.386,106.682,106.932,107.09
"30","22","    Leather and allied product manufacturing","PK3163",88.435,88.11,87.62,88.461,88.057,87.666,87.775,87.424,86.908,86.973,87.338,87.694,88.131,88.07,88.493,89.561,90.757,92.611,92.129,90.88,90.668,91.088,92.382,92.697,93.013,93.187,93.378,94.115,94.461,94.256,94.337,94.353,94.559,94.674,94.801,94.869,95.174,95.972,96.202,96.629,97.579,97.99,98.161,98.845,99.875,100.149,101.029,101.06,100.858,100.03,99.825,99.302,99.512,100.881,101.653,103.034,104.6,106.186,107.751,106.855,107.113,108.865,109.185,110.288,112.86,115.012,115.476,115.733,118.022,119.839,120.142,121.85,120.85,119.079,115.548
"31","23","    Paper manufacturing","PK3223",75.139,74.174,75.072,77.006,78.094,77.585,76.984,75.663,75.029,76.116,77.651,79.246,80.374,83.053,83.557,83.662,83.529,83.312,82.469,81.651,80.946,80.471,80.892,81.651,81.555,81.631,81.457,81.197,80.772,82.321,84.776,86.056,86.892,87.547,87.181,87.644,89.664,91.599,93.002,93.484,93.772,93.926,94.329,95.989,97.462,98.756,101.863,103.918,102.735,100.293,98.527,98.493,99.887,103.328,105.425,106.223,106.642,107.462,108.035,107.74,108.186,108.139,107.756,109.057,109.673,110.392,111.842,113.083,112.797,113.207,113.075,113.191,113.475,112.978,112.512
"32","24","    Printing and related support activities","PK3233",84.286,84.438,84.835,85.838,86.203,86.527,86.685,86.946,86.774,86.993,87.204,87.621,87.994,89.017,89.776,90.26,90.595,90.918,90.707,90.559,90.545,90.53,90.554,90.553,90.822,90.993,90.988,91.097,91.316,91.874,92.449,93.024,93.453,93.68,94.359,94.81,95.603,96.106,96.538,97.091,97.102,97.505,98.009,98.514,99.321,100.094,101.069,101.325,100.828,100.348,99.233,99.537,99.389,99.697,100.128,100.673,101.308,101.816,102.213,102.46,102.421,102.582,102.597,102.869,103.084,103.131,103.358,103.72,103.732,104.141,104.237,104.458,104.648,104.766,104.997
"33","25","    Petroleum and coal product manufacturing","PK3243",43.816,38.46,37.191,37.712,33.782,31.066,28.804,28.364,28.205,33.403,37.674,41.513,49.826,49.678,52.311,55.746,53.037,52.268,47.631,40.076,38.974,44.339,46.78,51.667,63.284,51.249,54.199,56.175,63.326,64.797,69.064,79.081,80.824,82.939,97.246,107.979,104.89,113.6,111.223,103.846,100.029,123.165,124.023,132.233,142.599,174.913,183.768,104.154,79.17,96.218,109.877,115.239,124.932,132.275,130.082,140.1,158.208,184.968,178.886,170.158,177.482,178.759,175.808,170.066,171.336,168.787,170.514,162.609,165.233,169.407,165.84,137.582,103.758,114.306,108.569
"34","26","    Chemical manufacturing","PK3253",66.847,66.843,66.952,67.097,67.358,67.946,67.843,67.59,67.294,67.499,68.256,69.296,69.55,70.077,70.86,71.211,72.133,72.062,70.808,70.298,70.129,70.46,71.289,71.834,73.052,74.22,73.762,74.002,75.043,76.277,78.092,80.427,82.234,83.093,83.555,86.503,87.599,87.546,88.166,88.43,88.933,89.975,91.005,92.807,95.855,99.291,105.031,103.794,100.487,99.233,99.727,100.531,102.416,103.652,103.936,105.141,108.577,111.772,113.141,113.063,114.543,115.526,114.578,114.455,116.026,116.766,115.917,115.045,116.922,118.052,118.318,117.706,115.989,116.05,115.944
"35","27","    Plastics and rubber product manufacturing","PK3263",77.283,77.412,77.346,77.257,77.251,77.124,76.799,76.58,76.498,76.883,77.362,77.837,78.157,78.446,79.075,79.435,79.683,79.937,79.621,79.297,78.935,79.357,79.723,79.774,80.627,81.72,81.412,81.288,81.732,82.409,83.328,85.09,86.997,87.945,88.46,91.317,92.841,92.792,93.352,93.623,93.155,93.222,94.053,94.927,96.701,98.299,101.772,102.493,100.311,99.769,99.596,100.313,101.211,102.976,103.449,104.348,106.766,109.484,110.646,110.677,111.198,112.123,111.767,111.784,113.02,113.944,114.242,114.398,114.767,115.027,114.985,114.873,114.665,114.169,113.768
"36","28","Merchant wholesale industries","PK42W3",88.457,87.311,86.532,86.248,84.795,83.637,82.421,81.795,81.388,81.927,82.613,83.362,84.678,84.806,84.765,85.338,84.646,84.19,83.287,81.542,81.477,81.973,82.784,83.427,85.136,83.698,84.18,85.535,87.123,88.254,89.034,90.804,91.392,91.703,93.304,94.871,95.084,96.638,96.92,96.723,97.897,99.4,100.165,104.018,107.348,111.194,113.27,102.257,97.546,98.554,100.224,103.655,106.557,105.349,104.931,110.163,115.312,116.549,116.312,117.655,118.936,116.759,117.321,118.486,118.541,117.188,117.481,116.912,117.515,118.3,117.565,114.875,109.818,110.338,109.349
"37","29","  Durable goods merchant wholesale industries","PK42WD3",111.159,110.292,109.277,108.263,106.893,105.35,103.803,102.574,101.636,101.016,100.806,100.766,100.647,100.222,99.623,99.058,97.589,97.107,96.415,95.365,94.986,94.89,94.598,94.438,94.199,93.896,93.952,94.496,95.62,96.482,97.462,98.181,98.223,97.647,97.411,97.665,98.403,99.304,99.293,99.407,99.904,100.176,100.133,100.418,101.38,103.913,105.153,101.288,99.66,99.126,100.115,101.05,102.231,102.64,102.069,103.282,104.421,104.892,105.427,105.591,105.772,105.388,104.94,105.123,105.098,104.709,104.639,105.281,105.543,105.516,105.717,105.496,104.749,104.083,103.538
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",100.309,99.809,98.982,97.997,98.168,97.965,98.273,98.669,98.515,98.785,98.83,99.313,99.184,99.531,99.557,99.622,99.401,99.168,99.717,98.204,98.205,97.746,96.798,96.845,97.363,96.343,96.134,96.398,96.176,96.448,96.34,97.66,97.645,97.75,98.715,96.715,97.47,98.048,95.468,95.871,96.109,96.147,96.601,96.727,97.163,97.763,98.68,99.366,99.015,99.894,100.508,100.434,101.466,101.58,102.087,100.872,100.607,101.806,102.948,102.728,103.218,103.903,104.744,103.673,103.398,103.394,103.255,104.742,105.015,104.699,104.373,104.87,105.517,105.884,105.82
"39","31","    Furniture and home furnishings wholesalers","PK42123",80.837,80.769,81.082,81.27,81.427,81.519,81.345,81.528,81.433,81.614,81.758,81.97,82.263,82.622,82.897,83.183,83.33,83.433,83.282,83.409,83.542,83.502,83.939,84.098,84.143,84.588,84.758,84.926,84.706,85.529,86.489,87.587,88.317,89.197,89.635,90.438,91.53,91.578,92.32,92.801,93.591,93.982,94.23,94.729,95.293,96.337,97.911,98.995,99.499,100.023,100.12,100.394,99.924,100.147,100.576,100.715,101.925,103.508,104.486,105.367,105.962,106.705,106.952,106.759,106.769,107.256,107.874,108.045,110.08,110.585,110.919,111.311,111.628,111.784,112.637
"40","32","    Lumber and other construction materials wholesalers","PK42133",95.2,96.282,95.601,94.764,93.161,91.486,91.063,91.092,92.759,94.63,97.192,95.792,95.888,93.838,91.799,92.318,91.087,93.641,93.204,91.818,92.28,92.128,92.059,92.576,92.184,91.987,94.552,96.862,99.164,104.364,106.915,104.477,105.314,104.47,103.857,105.918,107.563,106.344,103.772,102.504,102.624,101.603,102.036,101.758,99.786,101.139,103.453,103.601,100.225,98.507,99.904,101.481,104.206,107.078,104.307,105.077,106.067,105.514,106.352,106.638,106.141,108.17,109.378,111.244,115.744,116.838,116.599,119.663,120.781,121.372,123.056,123.09,120.735,118.97,118.973
"41","33","    Professional and commercial equipment wholesalers","PK42143",298.545,287.299,276.03,266.62,253.375,240.558,229.119,218.761,209.535,202.034,196.215,191.818,188.068,184.373,181.793,178.545,168,164.018,159.174,154.012,151.022,148.897,145.974,143.298,140.25,138.554,137.006,135.939,135.176,133.929,131.919,129.999,127.798,125.225,122.759,120.322,118.251,116.046,114.102,112.813,111.12,110.065,108.325,107.162,105.642,104.817,103.98,102.955,101.816,100.503,99.443,98.43,97.879,97.102,96.936,96.962,96.104,95.039,94.354,94.114,94.106,93.711,93.438,92.634,92.111,91.733,91.493,91.148,91.016,91.197,91.001,90.685,90.436,89.872,89.703
"42","34","      Computers and software wholesalers","PK42433",784.027,732.742,685.841,646.123,592.877,545.203,504.173,466.975,435.684,410.063,390.74,376.498,364.517,352.479,343.36,333.062,301.692,289.076,273.772,257.977,248.866,243.082,234.135,225.934,216.168,210.897,206.151,201.657,198.23,194.447,188.571,182.957,175.58,168.434,161.366,154.717,149.047,142.981,137.633,134.033,130.503,126.245,121.678,118.603,114.36,111.779,109.409,107.095,104.168,100.937,98.899,96.868,95.926,94.521,93.785,93.644,91.577,89.592,87.922,86.983,86.926,85.821,85.253,83.564,82.595,81.919,81.495,80.911,80.434,80.467,79.956,79.478,79.004,77.992,77.613
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",88.019,88.269,88.063,88.202,88.242,88.11,88.062,88.158,88.159,88.501,88.716,88.822,88.803,88.962,89.381,89.508,89.259,89.498,89.767,89.947,90.071,89.848,90.071,90.298,90.674,90.808,90.921,91.623,92.31,92.494,92.655,92.813,93.613,93.852,94.299,94.56,94.817,95.153,95.516,95.847,95.468,96.652,96.981,97.278,97.901,98.505,99.006,99.17,99.687,100.148,100.05,100.116,99.994,99.959,100.503,100.719,101.446,101.642,102.335,103.072,103.585,103.783,103.708,104.14,104.419,104.588,104.687,104.715,105.063,105.434,105.708,105.638,105.737,105.863,106.019
