"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"30","22","    Railroad equipment","B283RA",99.37,100.15,22.88,12.88,6.39,29.38,25.38,51.67,89.65,34.72,40.1,71.84,90.56,79.61,51.38,66.72,64.01,62.23,101.7,158.2,163.41,117.96,154.68,137.08,123.19,70.62,80.02,101.78,128.65,54.55,61.35,81.89,55.21,84.58,88.57,126.65,154.93,180.37,158.14,112.71,149.26,114.24,120.19,108.17,121.17,141.34,128.41,98.68,109.7,136.57,184.73,160.9,93.25,55.68,37.15,55.1,48.41,42.78,33.47,52.23,73.63,73.98,67.45,63.46,71.99,94.07,101.01,100,112.04,131.87,144.35,133.56,88.67
"31","23","  Other equipment","B682RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.48,25.14,30.05,25.3,26.92,27.12,27.32,26.71,25.03,29.71,30.8,29,29.18,31.51,29.22,29.21,31.17,36.41,40.47,45.04,50.64,47.74,48.07,51.4,53.46,53.17,60.32,70.95,71.31,65.97,66.96,75.31,83.75,86.83,77.1,79.01,67.27,64.58,73.76,74.14,72.81,75.28,78.13,86.96,85.41,74.15,74.56,84.16,90.09,95.05,100,110.83,121.16,121.81,127.54,124.07
"32","24","    Furniture and fixtures","B667RA",10.77,8.67,5.98,3.77,3.37,4.72,5.27,6.37,7.72,6.59,7.21,8.54,10.51,7.16,5.85,6.15,8.5,13.65,15.75,14.49,13.53,14.22,17.11,16.57,16.02,17.85,20.61,21.94,20.4,20.5,21.07,21.67,21.03,22.22,24.97,27.05,29.65,33.18,33.13,32.37,35.67,34.58,32.26,40.35,43.18,38.65,32.71,35.54,43.64,48.77,52.62,55.64,57.35,61.23,65.55,75.93,79.28,81.61,87.07,84.31,93.5,87.79,77.56,85.06,87.56,90.68,96.63,100,114.81,127.22,134.38,141.94,123
"33","25","    Tractors","B669RA",16.13,14.69,9.98,5.1,2.56,6.24,11.83,19.19,24.57,18.82,19.08,23.85,33.63,18.09,8.16,30.11,32.5,24.72,44.58,58.26,61.02,64.13,65.93,62.94,57.76,46.38,61.26,57.76,47.97,53.8,62.59,39.98,46.06,49.8,60.34,73.87,78.58,99.84,85.88,87.23,79.88,83.77,77.25,103.4,133.27,125.66,124.03,119.05,134.13,144.72,147.34,109.24,110.34,71.61,73.79,89.32,76.44,70.57,79,80.88,90.95,94.21,80.44,67.66,83.24,96,101.48,100,131.93,139.12,118.02,126.54,133.37
"34","26","    Agricultural machinery, except tractors","B268RA",29.02,27.36,12.27,6.79,4.9,7.33,15.29,19.44,24.65,24.04,19.53,22.12,32.44,28.23,18.15,35.18,41.41,32.61,55.4,70.59,67.77,67.87,66.49,65.11,58.15,54.5,56.93,49.58,47.36,63.15,61.65,54.51,52.53,55.23,69.05,70.81,79.7,86.51,92.53,83.73,92.48,106.68,101.96,112.04,143.85,141.9,148.89,137.5,139.53,146.5,153.96,122.17,116.78,82.48,67.23,68.26,58.5,56.61,58.25,75.37,94.8,102.82,81.49,69.08,81.48,90.27,95.74,100,105.49,109.69,83.24,90.44,98.86
"35","27","    Construction machinery, except tractors","B269RA",11.02,8.69,5.26,0.99,0.91,2.08,3.85,6.71,8.09,6.78,6.23,8.41,8.49,6.67,5.82,3.37,22.87,31.53,32.81,38.49,24.5,27.2,29.4,32.85,30.59,24.88,32.37,37.63,31.49,31.92,36.89,32.03,29.38,31.81,42.33,50.13,56.07,60.92,58.66,61.29,64.47,62.98,61.82,73.45,86.18,91.66,71.66,69.75,87.65,107.87,102.19,81.59,72.62,49.36,53.75,73.04,81.08,77.01,68.01,67.22,80.48,80.6,52.82,53.9,69.52,79.87,88.83,100,103.75,116.81,117.79,117.51,106.98
"36","28","    Mining and oilfield machinery","B270RA",95.12,58.69,28.45,22.45,23.94,36.47,55.03,84.9,79.16,49.78,58.24,74.01,124.05,63.68,59.58,84.45,146.16,95.34,96.98,121.37,91.01,105.29,128,128.86,118.64,106.45,139.9,144.85,137.55,90.87,107.01,96.79,88.19,86.02,109.73,122.47,137,143.5,106.73,109.67,115.53,153.95,172.76,139.78,170.22,226.4,276.24,278.81,293.96,274.96,265.68,260.25,378.31,255.45,151.88,134.36,116.51,62.1,58.29,69.32,80.91,73.34,58.16,51.36,98.64,96.08,95.91,100,160.83,163.29,191.97,178.42,213.3
"37","29","    Service industry machinery","B570RA",7.63,6.12,5.04,3.37,3.41,4.05,5.1,7.79,8.91,6.54,7.49,8.29,8.31,6.24,7.03,9.71,13.44,17.9,27.77,38.23,26.44,27.93,23.89,25.57,30.25,28.99,33.06,37.27,38.55,33.83,33.7,33.84,33.54,35.5,35.04,38.67,45.91,52.23,51.74,53.65,59.11,58.55,59.83,60.18,64.03,60.97,50.25,55.34,59.11,66.28,72.13,69.79,68.4,67.32,67.85,80.02,84.58,84.43,92.62,94.05,96.08,87.16,78.85,77.63,85.14,92.81,96.82,100,97.06,105.69,112.37,110.86,107.76
"38","30","    Electrical equipment, n.e.c.","B670RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,8.52,7.96,7.51,9.44,8.57,7.8,7.08,6.79,8.51,9.38,9.16,7.17,7.75,8.84,9.46,10.55,14.27,15.7,17.46,18.83,16.18,15.93,17.24,18.66,19.64,25.98,28.92,32.79,32.6,35.24,40.6,49.9,49.81,46.7,49.56,49.99,53.07,64.01,64.54,64.74,66.26,68.69,76.56,81.53,84.24,90.05,93.51,91.44,92.22,100,116.51,136.63,140.83,163.63,179.2
"39","31","    Other","B286RA",4.88,4.19,3.29,2.54,2.58,2.85,3.23,3.86,3.39,2.94,3.32,4.11,5.03,3.79,3.35,3.63,4.31,6.72,8.36,9.31,8.34,8.84,7.85,8.2,8.64,8.59,10.11,10.36,10.58,12,14.53,15.69,16.93,18.72,20.59,22.4,24.22,26.95,23,25.27,28.54,29.1,32.03,34.28,41.11,43.32,37.88,42.28,47.17,53.87,61.55,58.2,58.26,61.59,58.27,60.74,62.99,66.61,69.14,75.1,78.77,76.09,73.79,76.93,86.07,91.23,94.6,100,103.91,111.67,119.34,125.11,122.11
