"","Table 5#10A# Change in Private Inventories by Industry Group","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"11","4","    Change in book value \1\","B016RC",1,-4,-4.6,-3.8,1.4,0.9,0.7,2.9,1.8,-2.2,1.2,2.1,7,2.2,0.4,-0.2,0,13.2,8.6,5.6,-4.4,11.9,10.4,1,2.4,-1.8,7.5,8.1,2.5,-2,5.8,2.8,1.8,5.5,5.1,6.6,9.8,16.5,10.7,11.7,15.5,9.9,11.3,16.1,36.1,62.1,3.1,34,35.7,51.9,60.8,48.4,50.9,-12.8,14.2,63.8,13.1,-5.3,51.6,58.5,50,28,-6.6,13,30.7,66.4,65.4,21.5,47.6
"12","5","    Inventory valuation adjustment \2\","B017RC",0.6,4,3,1.3,-2.7,-0.7,-0.3,-0.9,-0.1,1.2,-0.9,-0.2,-3.1,-1.6,-0.9,-0.4,-0.7,-7,-7.4,-2.6,2.3,-6.1,-1.5,1.2,-1.2,-0.4,-1.9,-3.2,-1.8,-0.3,-0.3,-0.1,0.3,0,0,-0.6,-1.4,-2.3,-1.8,-4.1,-6.3,-7,-4.7,-7.3,-21.8,-45.3,-12.7,-16,-17.9,-27.5,-46.4,-48.6,-29.8,-7.9,-4.6,-4.1,3,13.3,-18.1,-28.2,-22.3,-15.8,7.5,-3,-3.7,-14.7,-23.2,0.7,12.3
"13","6","  Manufacturing","A150RC",0.9,0.7,-0.6,-1.2,-0.6,0.1,0.2,1.1,1.3,-0.6,0.2,1.2,2.6,1.6,0.2,-0.8,-1.6,2.9,0.5,1.3,-1.6,2.2,7.9,1.9,1.2,-2.6,2.6,3.8,-0.3,-2.1,2.5,0.7,1.5,3.3,2,3.1,4.2,8.5,5.8,3.7,4,0,-1.2,2.7,7.9,10.9,-4.2,8,5.2,9.3,9.3,0,4,-14.1,-0.3,27.4,-6,-4,7.9,16.4,14.1,8.8,-6.8,-4.7,3.5,11.9,14.2,10.1,15.1
"14","7","    Durable goods","A624RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,-0.2,-1.4,1.5,5.3,1.6,1.1,-2.3,1.6,2.6,-0.2,-2,1.5,0.2,0.4,2,1.3,2.5,3.4,6.8,4.3,2.1,3.2,-0.5,-2.1,2.3,7.8,6.9,-4.7,4.8,2.7,8.5,9.9,-0.1,1.6,-11.9,-2,22,-5.8,-5.2,5.2,12.4,10.7,5,-9.6,-8,3.7,9.1,11,9.5,9.4
"15","8","    Nondurable goods","A625RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1.5,-0.2,0.7,2.6,0.3,0,-0.2,1.1,1.2,-0.1,0,0.9,0.5,1.1,1.3,0.7,0.6,0.7,1.8,1.5,1.6,0.8,0.5,0.9,0.3,0.1,4,0.6,3.2,2.5,0.8,-0.6,0.1,2.4,-2.2,1.8,5.3,-0.2,1.1,2.7,3.9,3.4,3.8,2.8,3.4,-0.2,2.8,3.2,0.6,5.8
"16","9","  Wholesale trade","A658RC",0,0.1,-0.4,-0.2,-0.1,0.1,0,0.3,0.2,-0.2,0.1,0.2,0.2,-0.6,-0.2,0.2,0.6,0.8,0,0.6,0,1.4,0.3,0.3,0.1,0.3,1.1,0.4,-0.2,0,1.7,0.5,0.4,0.8,1.5,1.2,1.5,3.1,2.1,1.1,2.2,2.7,2.1,2,1.5,5.4,-2.9,4.7,6.1,7.4,5.2,3.6,4.1,-1.6,0.4,14.4,6.2,7.1,6.7,8.5,4.1,8.2,4.5,8.3,6.3,16.4,14.1,3.1,24.9
"17","10","    Durable goods","A661RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.5,-0.1,0.8,0.6,-0.3,0,0,0.8,-0.1,0,0,0.9,0.5,0.2,0.7,0.7,0.8,1,2.1,1.1,0.7,1.5,1.3,1.7,1.9,1.8,3.4,-1.2,2.8,3.5,6.1,3.3,3.1,3.5,-2.2,-0.9,10.6,2,3.9,4.3,5.8,2.5,3.8,0.8,3.5,4.3,12.6,13.2,4.2,16.3
"18","11","    Nondurable goods","A664RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,0.1,0.1,0.6,-0.2,0.6,0.1,0.2,0.4,0.6,-0.2,0,0.8,0,0.2,0.1,0.8,0.4,0.4,1,1,0.3,0.7,1.3,0.4,0.1,-0.4,2,-1.7,1.9,2.6,1.4,1.9,0.5,0.6,0.6,1.3,3.8,4.1,3.2,2.3,2.7,1.6,4.3,3.7,4.8,2,3.8,0.9,-1,8.6
"19","12","      Merchant wholesalers","A151RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.3,0.2,0.4,1.2,1.1,1.3,2.6,1.6,0.8,1.8,2.5,2.3,1.9,1.1,4.5,-3.1,3.9,6.2,7.7,4.5,4.7,2.8,-1.1,0.7,12.7,7,7,7.2,7.3,3.4,7.2,4.6,8.4,6.3,14.5,11.2,2.4,22.8
"20","13","        Durable goods","A626RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.3,0.1,0.4,0.5,0.8,0.9,1.7,0.8,0.6,1.2,1.3,1.8,1.7,1.5,3,-1.4,2,3.9,5.7,2.8,3.5,2.5,-1.9,-0.6,9.6,2.5,4,4.5,4.9,2,3.5,1,4.2,4,11.1,11,3.5,15
"21","14","        Nondurable goods","A627RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,-0.1,0.1,0,0.7,0.3,0.4,0.9,0.8,0.2,0.6,1.2,0.4,0.2,-0.4,1.6,-1.7,1.9,2.3,2.1,1.7,1.2,0.2,0.7,1.3,3.1,4.5,3,2.7,2.4,1.4,3.7,3.6,4.2,2.2,3.5,0.3,-1.1,7.9
"22","15","      Nonmerchant wholesalers","A152RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.4,0.3,0.1,0.2,0.5,0.6,0.3,0.4,0.1,-0.1,0.1,0.4,0.9,0.1,0.8,0,-0.3,0.8,-1.1,1.3,-0.4,-0.3,1.7,-0.9,0.1,-0.5,1.2,0.7,0.9,-0.1,-0.2,0.1,1.8,2.9,0.7,2.1
"23","16","        Durable goods","A628RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.1,0.3,0.2,0.1,0.1,0.4,0.4,0.1,0.3,0,-0.2,0.2,0.4,0.5,0.1,0.8,-0.4,0.4,0.5,-0.4,1,-0.3,-0.3,1,-0.5,-0.1,-0.2,0.9,0.5,0.3,-0.2,-0.7,0.3,1.5,2.3,0.7,1.3
"24","17","        Nondurable goods","A629RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.2,0,-0.1,0.1,0.4,0,-0.1,0.3,-0.7,0.3,-0.7,0.3,-0.1,0,0.7,-0.4,0.2,-0.4,0.3,0.3,0.6,0.2,0.6,-0.2,0.3,0.6,0.1,0.8
"25","18","  Retail trade","A153RC",0.3,-0.5,-0.3,-0.7,-0.5,0,0.3,0.7,0.1,-0.2,0.1,0.5,0.9,-0.4,-0.5,-0.1,0.3,2,0.6,1.2,-0.4,2.1,0,0,0.4,0.1,2.1,0.2,0.8,-0.2,1.1,1.4,-0.4,1.5,1.2,1.3,2.5,2.3,0,2.6,2.4,0,5.2,3.5,4.1,-0.8,-3.2,5,4.3,5.6,0,-3,6.3,-2.8,10.2,17,12.2,2.6,17.3,6.6,12.7,-1.6,0.5,4.3,14.5,19.8,12,7.4,11.3
"26","19","    Durable goods","A630RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.7,-0.3,1.4,0.2,-0.1,0.3,-0.2,1.1,-0.3,0.7,-0.7,0.3,1,-0.9,0.6,0.7,0.5,1.7,1.2,-0.7,2,1.2,-1,3.5,2,3,0.5,-1.4,3.3,3.2,3.2,-0.3,-5.2,2.1,-2.7,5.9,8.7,8.5,0.1,13.2,4.7,6.4,-1.2,-4.5,1.2,8.9,13.5,9.3,5,6.5
"27","20","      Motor vehicle dealers \3\","A631RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,-0.6,0.5,0.5,0.1,1.5,0.6,-0.8,1.4,0.7,-1.2,2.8,0.3,2.2,0.2,-1.4,1.7,2.8,1.7,0,-4.6,0.2,-1.8,3.3,5.2,6.1,-1.2,9.1,1.8,4.2,-1.4,-3.6,1.3,3.7,7.4,5.7,2.6,4.2
"28","21","      Other \3\","A632RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,-0.3,0.2,0.1,0.4,0.2,0.6,0.2,0.6,0.5,0.2,0.7,1.7,0.8,0.3,0,1.5,0.4,1.5,-0.3,-0.6,1.9,-0.8,2.6,3.5,2.4,1.3,4.1,2.9,2.2,0.2,-0.9,-0.1,5.2,6.1,3.6,2.4,2.2
"29","22","    Nondurable goods","A633RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,0.5,0,0.8,-0.2,0.1,0.1,0.4,1,0.5,0.1,0.5,0.7,0.4,0.5,0.8,0.5,0.8,0.8,1.1,0.7,0.7,1.1,1,1.7,1.5,1.1,-1.3,-1.8,1.8,1.1,2.4,0.2,2.1,4.2,-0.2,4.3,8.3,3.7,2.6,4.1,1.8,6.3,-0.4,5,3.1,5.7,6.3,2.7,2.4,4.8
"30","23","  Other","A154RC",0.5,-0.3,-0.2,-0.4,-0.1,0,-0.1,0,0.1,0,-0.1,0,0.3,0.1,-0.1,0.1,0.1,0.4,0.2,-0.1,-0.2,0.2,0.7,0,-0.5,0,-0.3,0.5,0.4,0,0.3,0.2,0.6,0,0.4,0.4,0.3,0.2,1.1,0.3,0.6,0.2,0.5,0.7,0.8,1.3,0.7,0.2,2.2,2.1,-0.1,-0.8,6.7,-2.2,-0.8,1,3.7,2.4,1.7,-1.1,-3.3,-3.2,2.7,2.2,2.6,3.7,2,1.5,8.7
"31","24","    Durable goods","A636RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.2,0.1,0,0.1,0.1,-0.1,0.1,-0.3,0,-0.1,-0.2,0.1,0.4,0,-0.1,-0.1,0.1,0.5,0,-0.2,0.1,0.7,-0.6,0.1,-0.3,-0.6,0.2,-0.3,0.4,0,-0.3,0.4,0.3,0.5,0,0.4,0.9
"32","25","    Nondurable goods","A637RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.4,-0.1,0.5,0.4,0.2,0.3,0.9,0.5,0.6,0.2,0.7,0.6,0.4,1.3,0.8,0.3,2.1,1.6,0,-0.6,6.5,-2.8,-0.2,0.9,4.1,3,1.5,-0.8,-3.7,-3.2,3,1.7,2.4,3.2,1.9,1.1,7.7
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34"," 1. Beginning with 1982, this series is derived from the Census Bureau series ``current cost inventories.''  For earlier periods, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","it is derived from the Census Bureau ``book value inventories'' series.  The series differ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","in the treatment of inventories reported on a last-in, first-out (LIFO) basis:  The series prior to 1982 is a mix of LIFO and ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","non-LIFO inventories; the series beginning with 1982 is entirely on a non-LIFO basis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38"," 2. Beginning with 1973, the inventory valuation adjustment (IVA) shown in this table differs from the IVA that adjusts business ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","incomes.  The IVA in this table reflects the mix of methods (first-in, first-out;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","last-in, first-out; etc.) underlying inventories derived primarily from Census Bureau statistics (see footnote 1).  This mix ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","differs from that underlying business income derived primarily from Internal Revenue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Service statistics.  Prior to 1973, the two IVA's are the same because information required for separate estimates is not ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44"," 3. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.  Beginning with 1981, these ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","inventories are included in ``other durable goods.''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","  Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods are based on the 1972 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Standard Industrial Classification (SIC).  Manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","estimates for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","estimates for these industries are based on the 1987 SIC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","The resulting discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
