"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","Equals: Gross national product","B001RA3",32.6,32.663,33.756,35.538,37.619,37.475,37.312,39.364,41.207,43.472,44.984,44.869,45.952,45.104,47.156,50.517,52.494,54.217,56.073,58.47,60.619,61.858,61.759,63.933,65.684,68.244,70.126,72.798,75.98,79.295,83.072,86.541,87.496,89.018,91.643,95.247,98.412,100.815,102.992,102.986,100,102.752,104.607,106.846,109.147,111.624
"12","5","Less: Consumption of fixed capital","A262RA3",20.294,21.176,21.91,22.744,23.897,24.928,25.73,26.523,27.562,28.818,30.27,31.632,32.862,34.152,35.316,36.844,38.896,40.874,42.85,44.711,46.572,48.34,49.783,51.103,52.654,54.453,56.626,59.081,62.066,65.684,69.813,74.12,77.77,80.439,82.921,85.824,89.132,92.655,96.042,98.735,100,100.591,101.88,103.705,105.818,108.155
"13","6","  Private","A024RA3",17.172,18.055,18.869,19.834,21.157,22.31,23.164,23.98,25.076,26.408,27.937,29.322,30.529,31.777,32.82,34.203,36.095,37.838,39.58,41.244,42.975,44.624,45.965,47.26,48.916,50.946,53.45,56.268,59.708,63.849,68.533,73.422,77.504,80.384,82.956,85.947,89.393,93.067,96.54,99.13,100,100.139,101.211,103.11,105.514,108.06
"14","7","  Government","A264RA3",35.958,36.803,37.107,37.255,37.539,37.97,38.512,39.18,39.901,40.72,41.707,42.896,44.208,45.672,47.442,49.684,52.519,55.67,58.812,61.657,64.146,66.49,68.425,69.855,70.848,71.465,71.973,72.625,73.379,74.45,75.923,77.483,79.105,80.789,82.853,85.349,88.019,90.846,93.839,97,100,102.548,104.761,106.274,107.156,108.604
"15","8","    General government","A265RA3",37.507,38.322,38.533,38.556,38.711,39.026,39.474,40.074,40.754,41.54,42.485,43.635,44.915,46.367,48.164,50.477,53.422,56.723,60.021,62.989,65.549,67.928,69.836,71.16,71.987,72.436,72.792,73.299,73.927,74.864,76.163,77.567,79.091,80.674,82.6,84.999,87.67,90.573,93.668,96.94,100,102.544,104.732,106.241,107.07,108.483
"16","9","    Government enterprises","A266RA3",22.829,23.973,25.127,26.389,27.815,29.265,30.602,31.828,32.887,33.973,35.3,36.787,38.346,39.906,41.446,43.102,45.018,46.939,48.79,50.625,52.527,54.574,56.732,59.02,61.372,63.364,65.114,66.954,68.73,70.899,73.798,76.64,79.044,81.552,84.708,87.977,90.633,92.881,95.112,97.445,100,102.577,104.982,106.519,107.779,109.483
"17","10","Equals: Net national product","A027RA3",35.357,35.222,36.395,38.394,40.685,40.257,39.856,42.204,44.231,46.729,48.238,47.743,48.773,47.379,49.634,53.42,55.361,57.007,58.819,61.326,63.529,64.638,64.185,66.541,68.33,71.049,72.862,75.573,78.789,82.034,85.732,89.024,89.426,90.716,93.369,97.112,100.248,102.428,104.362,103.819,100,103.168,105.131,107.449,109.785,112.289
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Net domestic product","A362RA3",35.485,35.352,36.508,38.508,40.712,40.219,39.926,42.227,44.22,46.751,48.096,47.602,48.729,47.292,49.591,53.453,55.598,57.4,59.25,61.726,63.946,64.967,64.576,66.974,68.78,71.63,73.424,76.143,79.487,82.841,86.499,89.735,90.004,91.35,93.869,97.469,100.642,103.094,104.576,103.672,100,102.911,104.621,107.153,109.567,112.221
"20","12","  Net domestic purchases","W367RA3",35.234,34.971,36.191,38.251,40.085,39.267,38.591,41.316,43.596,46.036,47.002,45.647,46.802,45.749,48.674,53.277,55.589,57.518,59.199,61.046,62.834,63.527,62.694,65.04,67.205,70.273,71.908,74.664,78.169,82.451,86.926,90.884,91.367,93.343,96.247,100.464,103.921,106.39,107.14,104.951,100,103.345,105.018,107.406,109.466,112.305
