"","Table 1#11# Percentage Shares of Gross Domestic Income          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"14","7","Taxes on production and imports","W056RE1",8.2,8.5,8.7,8.5,8.2,8.1,8.1,7.9,7.7,7.3,7,7.1,7.4,7.2,7.3,7.2,7.2,7.2,7.2,7.1,7.1,7.2,7.5,7.5,7.5,7.6,7.4,7.2,7.1,7,6.9,6.8,6.8,6.9,7,7,7.1,7,7.2,7.1,7.2,7.1,7.1,6.9,6.8
"15","8","Less: Subsidies \1\","A107RE1",0.4,0.4,0.4,0.5,0.4,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"16","9","Net operating surplus","W271RE1",22.4,20.7,21.3,21.9,22.3,21,21.3,21.8,22.1,22.5,21.8,20.4,21.1,20.5,21.4,23,22.9,21.9,21.9,22.4,22.2,21.4,20.9,20.9,21.3,22.2,22.7,23.6,24,23.5,23.2,22.6,22.4,22.8,23.1,23.5,24.2,24.7,22.9,21.7,22.4,23.9,24.3,25.4,25.9
"17","10","  Private enterprises","W260RE1",22.4,20.9,21.4,22,22.5,21.2,21.6,22,22.3,22.7,21.9,20.6,21.3,20.6,21.5,23.1,22.9,21.8,21.9,22.3,22.1,21.3,20.7,20.7,21.1,22,22.5,23.4,23.8,23.4,23,22.5,22.4,22.7,23.1,23.5,24.2,24.8,23,21.9,22.5,24,24.5,25.5,26.1
"18","11","    Net interest and miscellaneous payments, domestic industries","W272RE1",3.3,3.8,3.9,3.9,4.2,4.9,5.2,4.8,5.1,5.1,5.6,6.6,7.4,8.2,8.1,8.4,8.4,8.6,8.3,8.2,8.6,8.3,7.4,6.6,6.1,5.8,5.8,5.6,5.7,6.1,5.9,6.4,6.3,5.4,4.8,4.2,4.8,5.4,6.1,6.3,5.3,4.5,4.2,4,3.9
"19","12","    Business current transfer payments (net)","B029RE1",0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.8,0.9,0.7,0.7,0.7,0.7,0.6,0.7,0.8,0.9,0.9,0.8,0.7,0.7
"20","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RE1",7.6,7.3,7.2,7.5,7.9,7.3,7.1,7.1,7,7.1,6.9,6.1,5.7,5.1,5.2,5.7,5.6,5.7,5.9,6.2,6.1,6,5.8,6.3,6.4,6.4,6.4,6.8,6.8,7,7.2,7.3,7.8,7.9,7.8,7.8,7.5,7.5,6.8,7,6.8,6.9,7.4,7.7,7.9
"21","14","    Rental income of persons with capital consumption adjustment","A048RE1",2,1.9,1.9,1.8,1.6,1.5,1.3,1.1,0.8,0.7,0.6,0.7,0.8,0.8,0.8,0.7,0.7,0.5,0.4,0.5,0.4,0.5,0.7,1,1.4,1.6,1.7,1.8,1.8,1.9,1.9,1.8,1.9,2,2.1,2.1,1.8,1.5,1.3,1.8,2.3,2.7,3.1,3.3,3.5
"22","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RE1",9,7.4,8,8.4,8.3,7,7.4,8.5,9,9.2,8.3,6.7,6.9,5.9,6.8,7.5,7.4,6.3,6.6,6.8,6.2,5.8,6.2,6.3,6.6,7.6,8.1,8.5,8.8,7.7,7.3,6.1,5.4,6.8,7.7,8.8,9.4,9.9,8.1,6,7.2,9.1,9,9.9,10
"23","16","      Taxes on corporate income","A054RE1",3.9,3.2,3.3,3.3,3.5,3.4,3.1,3.5,3.6,3.6,3.5,3.1,2.7,2,2.3,2.4,2.3,2.4,2.7,2.7,2.6,2.5,2.3,2.3,2.5,2.7,2.9,2.9,2.9,2.7,2.7,2.6,1.9,1.7,2.1,2.5,3.1,3.4,3.1,2.1,1.9,2.5,2.4,2.8,2.8
"24","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RE1",5.1,4.1,4.7,5.1,4.8,3.6,4.3,5,5.4,5.6,4.8,3.6,4.2,3.9,4.6,5.1,5.1,3.9,3.9,4.1,3.6,3.3,3.9,3.9,4.1,4.9,5.2,5.6,6,5,4.6,3.6,3.5,5,5.6,6.3,6.3,6.5,5,3.9,5.4,6.6,6.5,7.1,7.2
"25","18","        Net dividends","A449RE1",2,1.9,1.8,1.7,1.6,1.5,1.6,1.6,1.6,1.7,1.6,1.7,1.8,1.8,2,2,2,2,2,1.9,2.3,2.4,2.6,2.5,2.7,2.8,3,3.3,3.4,3.4,3.2,3.4,3.1,3.2,3.5,4.1,2.4,4.6,4.7,4.3,3.2,3,3.5,4.2,4.9
"26","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RE1",3.1,2.2,3,3.4,3.2,2.1,2.8,3.4,3.8,3.9,3.2,1.9,2.4,2.1,2.6,3.1,3.1,1.9,1.9,2.3,1.3,0.9,1.3,1.4,1.3,2.1,2.2,2.4,2.6,1.5,1.5,0.1,0.5,1.8,2.1,2.2,3.9,1.9,0.4,-0.4,2.2,3.6,3,3,2.4
"27","20","  Current surplus of government enterprises \1\","A108RE1",0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0,0.1,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2
"28","21","Consumption of fixed capital","A262RE1",12.3,12.8,12.9,12.6,12.5,13.4,14.2,14,14,13.9,14.3,15.1,15.3,16,15.6,14.9,14.8,15.1,15.1,14.9,14.9,15.1,15.3,14.9,14.9,14.7,14.8,14.6,14.4,14.3,14.4,14.6,14.9,15,15,14.9,15.1,15.2,15.7,16.2,16.5,16,15.8,15.5,15.5
"29","22","  Private","A024RE1",8.8,9.2,9.3,9.2,9.2,9.9,10.7,10.6,10.7,10.8,11.2,11.9,12,12.6,12.2,11.6,11.6,11.8,11.7,11.6,11.6,11.7,11.9,11.6,11.6,11.5,11.7,11.6,11.5,11.5,11.7,11.9,12.3,12.4,12.3,12.3,12.5,12.5,12.9,13.2,13.4,12.9,12.7,12.4,12.5
"30","23","  Government","A264RE1",3.5,3.6,3.6,3.4,3.3,3.4,3.5,3.4,3.3,3.1,3.1,3.2,3.2,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.3,3.2,3.2,3,2.9,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.8,2.9,3.1,3.1,3.1,3,3
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
