"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"21","14","    Manufacturing","A400RC1",41.6,32,40,47.6,55,51,63,82.5,91.5,105.8,107.1,97.6,112.5,89.6,97.3,114.2,107.1,75.6,101.8
"22","15","      Durable goods","A406RC1",22.2,13.5,19.9,26.6,30.6,21.8,25.8,38.8,46.1,55.9,49,32,33.8,19.4,33.4,54.1,45.6,39.7,51.4
"23","16","        Primary metal industries","A407RC1",1.5,0.9,1,1.9,2.7,5.6,3.2,2.9,1.8,4.5,4.6,3.7,4.2,-4,-4.4,-0.1,-0.5,0.9,2.2
"24","17","        Fabricated metal products","A408RC1",2.1,1.2,1.6,2.4,2.9,2.1,3.5,4.3,4.9,5.5,5.8,5,5.2,3.4,3.8,5.4,5.6,5.5,5.4
"25","18","        Machinery,except electrical","A409RC1",3.9,3.4,3.4,5,5.6,4.2,5.9,8,9.8,12.1,11.1,9.7,11.1,5.3,5.6,7.6,7.3,2,6.1
"26","19","        Electric and electronic equipment","A410RC1",3.5,2.5,3.3,4.4,5,2.7,4.5,6,8.1,9.5,8.9,9.3,9.9,6.1,8.1,10.1,7.3,7.1,10.5
"27","20","        Motor vehicles and equipment","A411RC1",5.3,1.8,5.9,6.9,7.4,2.2,3.3,9.1,11.4,11.7,7.3,-1.4,2.4,2.1,7.4,11.5,10.2,7.1,5.5
"28","21","        Other","A412RC1",5.8,3.7,4.7,6.1,7,5,5.4,8.5,10.1,12.6,11.2,5.7,1,6.5,12.9,19.7,15.8,17,21.5
"29","22","      Nondurable goods","A401RC1",19.4,18.5,20.1,21,24.3,29.2,37.2,43.7,45.3,49.9,58.1,65.6,78.7,70.2,63.8,60.1,61.5,35.9,50.4
"30","23","        Food and kindred products","A402RC1",3.1,3.4,3.7,3.2,2.8,3,8.8,7.4,7.2,6.7,6.4,6.7,9.7,8.1,6.9,7.5,9.5,7.9,10.9
"31","24","        Chemicals and allied products","A403RC1",5.2,4.6,5.2,6,7.1,6.5,7.7,9.9,9.4,10.2,9.5,8.2,10.9,8.5,10.7,11.7,9.9,10,17.6
"32","25","        Petroleum and coal products","A404RC1",3.6,3.9,4,3.5,5.6,11.4,10.4,14.1,13.8,16.7,26,36,41.7,36.8,25.6,19.4,20.2,-4.2,-1.4
"33","26","        Other","A405RC1",7.5,6.7,7.2,8.3,8.8,8.3,10.3,12.3,14.9,16.3,16.3,14.7,16.4,16.8,20.6,21.6,22,22.2,23.3
"34","27","    Transportation and public utilities","A416RC1",11.1,8.8,9.6,10.4,10.2,9.1,11.7,17.5,21.2,25.5,21.6,22.2,25.1,28.1,34.3,44.7,39.1,39.3,42
"35","28","      Transportation","A417RC1",0.6,-0.3,0.6,1.5,1.3,2,0.5,2.8,3.3,4.2,3.9,2.7,1.5,-0.5,2.9,5.3,2.2,2.6,1.2
"36","29","      Communication","A418RC1",5.9,5.3,4.8,4.8,5.3,5.4,5.3,7.8,9.2,11.6,11,10.8,12.9,13.2,14.5,17.7,18.7,22,22
"37","30","      Electric, gas, and sanitary services","A419RC1",4.7,3.7,4.2,4.2,3.7,1.8,5.9,6.9,8.7,9.7,6.6,8.7,10.7,15.4,16.9,21.7,18.2,14.7,18.9
"38","31","    Wholesale trade","A414RC1",4.9,4.6,5.4,7.2,8.8,12.2,14.3,13.7,16.4,16.7,20,18.5,23.7,20.7,21.9,30.4,24.6,24.4,18.9
"39","32","    Retail trade","A415RC1",6.4,6.1,7.3,7.5,7,2.8,8.4,10.9,12.8,13.1,10.7,7,10.7,14.3,19.3,21.5,22.8,23.4,23.3
"40","33","    Other","A420RC1",6.5,5.8,6.7,7.6,9.6,10,11.8,15.3,19.2,22,25.2,24.6,20.1,12.3,12.3,12.1,11.4,14.7,20.3
"41","34","Rest of the world","B394RC1",6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
