"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"28","20","  Government social benefits","W063RC1",57.7,58.8,60.1,61.6,63.6,73.8,74.3,78.1,80.1,87.8,87.7,89.3,92.3,92.8,93.8,104.2,106.6,108.7,110.4,113.5,118.5,126.7,133.7,140.6,151.6,166.6,169.8,172.6,176.7,175.1,182.3,184.9,187.6,188.6,194,196.6,200.1,201.4,209.7,212.5,217.5,221.9,237.5,243.6,253.8,259,290.9,293.9,299.6,302.5,320.8,323,327.7,336.8,353.2,368.5,371.1,376.8,371.5,374.8,379.3,382.2,383.6,391.2,401.6,404,409.2,411.9,423.6,429.3,436.6,440.1,445.6,451.2,453.2,456.6,473.8,477,482.5,488.5,511.4,518.9,528.4,539.6,560.2,571.8,582.5,601,626.3,647.2,657.4,687.1,713.9,733.8,745.4,749.7,769.9,775.8,790.4,795.5,809.4,814.2,817.9,838.4,859.5,868.1,873.2,867.2,895.7,915.2,911,913.1,932.6,933.6,939.3,944.9,954,958.3,959.5,968.7,987.2,988.9,1000.1,1008.3,1021.1,1046.7,1059.2,1070.1,1112.6,1143.9,1150.2,1196.3,1226.1,1251.8,1264.7,1280.7,1299.6,1318,1341.8,1347.4,1387.1,1406.8,1414.8,1433.6,1472.1,1493,1506.9,1518.1,1574.5,1591.4,1615.9,1620.5,1688.1,1686.7,1708.8,1738.3,1776.1,1923.2,1856.9,1895,2010,2148.8,2147.9,2163.4,2229,2235.5,2261.8,2275.7,2279.1,2275.2,2267.3,2277.5,2299.9,2323.5,2330.8,2348.6,2371.5,2381,2403.1,2408.7,2446.8,2487.2,2520.5,2536.7,2589.3
"29","21","    To persons","A063RC1",57.2,58.2,59.5,61,63,73.1,73.5,77.4,79.3,86.9,86.9,88.5,91.4,91.9,92.9,103.1,105.4,107.6,109.2,112.3,117.5,125.4,132.2,139.1,149.8,164.6,167.7,170.4,174.4,172.7,179.7,182.4,185.1,186.1,191.3,194,197.4,198.7,206.9,209.7,214.6,218.9,234.3,240.4,250.6,255.6,287.2,290,295.5,298.3,316.4,318.6,323.6,332.6,349,364.5,367.4,373.2,368,371.2,375.8,378.5,379.9,387.4,397.6,400,405.1,407.8,419.3,425,432.5,435.3,441.3,447,448.9,452.3,469.3,472.4,477.8,483.9,506.5,514,523,534.1,554.3,565.6,576.2,594.9,620.2,641.2,651.5,680,708.2,726.9,739.1,743.8,764.3,769.5,784.1,789.1,802.8,807.5,811.1,831.2,853.4,861.1,866.2,860.1,888.1,907.7,903.4,905.5,924.8,925.6,931.6,937,945.8,950,951.4,960.5,978.8,980.4,991.5,999.7,1012.6,1038,1050.4,1061.3,1103.3,1134.6,1140.7,1186.8,1216.5,1242.1,1255,1271,1289.6,1308,1331.7,1337.1,1376.5,1396.2,1404.2,1422.7,1461,1481.9,1495.6,1506.7,1562.3,1579,1603.5,1607.8,1674.9,1673.4,1695.4,1725,1762.4,1903.7,1842.8,1880.4,1994.6,2132,2132,2147.4,2212.7,2219,2245.1,2259,2262.1,2258.2,2250.1,2260.3,2282.1,2305.5,2312.6,2330.3,2352.9,2362.2,2384,2389.7,2427.8,2468,2500.8,2517.3,2569.5
"30","22","    To the rest of the world \3\","W016RC1",0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.2,1,1.3,1.5,1.6,1.8,1.9,2,2.2,2.4,2.5,2.6,2.6,2.5,2.5,2.6,2.7,2.7,2.7,2.8,2.9,2.8,3,3.1,3.2,3.3,3.4,3.7,3.8,4.1,4.2,4.4,4.5,4,4.2,4.1,4,3.7,3.6,3.6,3.6,3.5,3.7,3.7,3.8,4,4,4.1,4.1,4.3,4.3,4.1,4.8,4.2,4.2,4.3,4.3,4.5,4.5,4.6,4.7,4.9,4.9,5.3,5.5,6,6.2,6.3,6.2,6.1,6,5.9,7.1,5.7,7,6.3,5.9,5.7,6.3,6.4,6.4,6.6,6.7,6.8,7.1,6.1,7,7,7.1,7.6,7.5,7.6,7.6,7.8,8,7.8,7.9,8.2,8.3,8.1,8.2,8.4,8.5,8.6,8.6,8.5,8.7,8.7,8.7,9.4,9.3,9.5,9.5,9.6,9.7,9.7,9.7,10,10.1,10.1,10.2,10.5,10.6,10.6,10.9,11.1,11.2,11.3,11.4,12.3,12.4,12.4,12.7,13.2,13.3,13.4,13.3,13.7,19.5,14.1,14.6,15.3,16.8,15.9,16,16.3,16.5,16.6,16.7,17,17.1,17.1,17.1,17.8,18,18.2,18.3,18.7,18.9,19,19,18.9,19.2,19.7,19.4,19.8
"31","23","  Other current transfer payments to the rest of the world (net) \3\","W017RC1",3.6,5.3,4.1,5.1,4.2,4.9,5.1,5,5.7,5.9,5.6,6.9,7.8,6.6,8,6.3,5,6.6,5.8,4.2,4.7,8.5,5.4,5.4,7.1,9.1,3.6,4.8,3.4,3.9,7.3,3.5,3.8,4.7,4.5,4,4.9,5.1,5,5.1,5.3,5.6,5.7,6.7,7.9,5.7,6.5,9.2,6.2,6.3,7.3,6.9,8.2,6.9,7.5,10,6.5,7.5,8.9,12.8,8.5,8.7,11.6,16,11.4,12.9,14.9,15.9,10.7,15.4,16.2,14.4,10.9,11.5,11.4,17.1,11.8,10.6,12.2,18.1,12.3,10.6,14,17.2,13.3,17.6,15.5,7.7,-74.3,-29.6,-3.3,4.7,16.3,18.4,16.9,30.6,16.6,18.5,21.1,30.6,14.3,16.2,20,29.4,16.3,14.5,15.3,15.5,23,15.3,16.1,27.1,13.6,13.6,14.4,26.2,14.1,13.5,16.3,27.9,14.9,17,15.8,26.7,15,18.1,19.9,33.4,15,15.6,17.4,22.9,31.6,18.7,18,23.1,29.5,29.3,28.1,24.9,37.7,26.2,26.6,30.3,44.4,30.5,37.7,48.1,29.2,35.3,37.7,33.5,49.6,30.6,35.7,49.1,49.6,37.5,40.2,40.1,38.1,53.3,61.7,44.4,54.7,42.6,48.8,52.8,54.4,60.1,54.1,53.8,53.8,50.6,50.8,40.1,45.6,49.6,51.1,39.2,43,2.6,49.6,48.7,51.8
"32","24","Interest payments \1\","A180RC1",31.9,33.1,34.5,36.6,38.7,40.4,42.1,42.9,43.5,43.9,45,46.1,47.1,48.2,49.2,50.5,52.7,54.6,56.5,58.1,59.5,61.2,63.4,64.7,66.3,68.1,70.1,72.3,74.1,75.5,77,79.1,80.5,82.7,85.3,89.4,94.2,98,102.2,106.1,110.2,113.1,116.1,120.3,126.9,132.5,133.9,139.2,153.7,158.3,165.5,173.4,179,184.4,190.7,193.3,196.6,202.2,210.2,216.9,224.6,231.1,242.4,249.9,253.8,259.8,262.4,268.1,273,275.8,277.1,278.2,280.3,282.7,286.8,293.6,297.7,298.7,304.2,311.4,323.6,331.6,334.7,338,342.2,346.3,354.8,360.2,365.6,370.7,372.9,378.5,378.8,381.6,382,379.7,384.1,384.4,384.4,381.9,380,387.6,395.9,407,420.2,429.2,432.9,433.5,433.2,429.7,432.7,433.7,434,436.1,437.1,436.1,432.7,429.5,426.3,419.5,412.7,411.7,407.4,408,407,406.6,404.5,405.1,405.7,400,393.9,387,377.2,386,388.4,396.6,400.7,406.8,410.2,413.6,413.6,410.4,418.7,423.6,430.7,452.8,455.7,485.7,472.2,494.8,511.4,491.4,514,552.8,533,519.2,515.7,520.2,542.2,482,476.2,560.5,570.1,562.8,553.9,577.8,573,586,597.5,645.2,611.9,610.9,613,660.4,602.8,645.4,592.2,641.6,624.6,612.3,618.6,671.9,641.8,612,557.6
"33","25","  To persons and business \1\","A204RC1",31.2,32.3,33.7,35.8,38,39.5,41.1,41.7,42.3,42.5,43.1,43.7,44.7,45.8,46.6,47.6,49.5,51,52.6,54.2,55.8,57.2,59.2,60.4,61.8,63.9,65.7,68.1,70.1,71.4,72.6,74.6,76,77.9,80,83,86.8,90.1,94.1,96.5,99.7,102.8,105.7,109.4,115.4,121.4,122.6,125.7,138.5,141.8,148.9,156.6,161.3,167.2,172.2,174.7,178.7,184.3,192.2,198.4,205.8,211.7,221.8,228,231.7,237.8,240.1,245.8,249.6,252.7,253.6,254.9,256.2,258.5,263.3,268.9,271.5,270.5,274.3,280.6,290,297.3,299.5,302.9,306.7,310.6,318.6,323.3,328.5,334.5,336.7,343.7,344.4,347.2,347.7,345.7,350.1,350.5,349.7,347.7,346,352.8,359.6,366.6,379.6,383.2,383,381.7,379.8,374.7,376.2,371.6,367.9,367.2,366.1,363.3,360.4,356.7,354.5,348.1,342.9,344.1,342,343.9,343.1,341,340.3,341.4,343.9,340.7,339.3,334.5,327.1,336.9,339.8,347.1,352.1,360.5,362.9,366,364.4,355.9,362.1,364.6,367.4,386.5,387.1,411.9,393.6,409.6,423.8,399.2,417.3,451.7,434.4,419.4,414.5,418.8,444.3,382.2,378.3,469.4,482,474.3,463.4,485.4,476,486.4,497.9,545.1,510.8,511.5,516.1,564.9,503.2,542.5,486,534.4,517.2,503,507.1,561.4,529,498.1,444.4
"34","26","  To the rest of the world","Y712RC1",0.8,0.8,0.8,0.8,0.7,0.9,1,1.1,1.2,1.5,1.9,2.4,2.3,2.4,2.6,2.9,3.2,3.6,3.9,3.9,3.7,4,4.1,4.4,4.5,4.2,4.4,4.3,4,4.1,4.4,4.5,4.5,4.8,5.3,6.4,7.4,7.9,8.1,9.5,10.5,10.3,10.4,10.9,11.5,11,11.4,13.5,15.2,16.4,16.7,16.8,17.7,17.1,18.5,18.6,17.9,17.8,18,18.5,18.8,19.4,20.6,21.8,22,22,22.3,22.3,23.5,23.1,23.5,23.3,24.1,24.2,23.5,24.7,26.2,28.2,29.9,30.8,33.6,34.2,35.2,35.1,35.5,35.7,36.2,36.9,37.1,36.2,36.2,34.8,34.4,34.4,34.3,34,34,33.8,34.7,34.2,34.1,34.8,36.2,40.3,40.6,46,49.9,51.8,53.4,55,56.5,62.1,66,69,71,72.8,72.4,72.8,71.8,71.4,69.8,67.6,65.4,64.2,64,65.6,64.2,63.8,61.8,59.3,54.7,52.5,50.1,49.1,48.5,49.5,48.6,46.3,47.3,47.6,49.3,54.5,56.5,59,63.2,66.3,68.6,73.8,78.6,85.2,87.5,92.1,96.7,101.2,98.6,99.7,101.3,101.3,97.8,99.8,97.9,91.1,88.1,88.4,90.5,92.4,97,99.6,99.6,100.1,101,99.4,96.9,95.5,99.6,102.9,106.2,107.2,107.4,109.3,111.5,110.6,112.8,113.8,113.2
"35","27","Subsidies \2\","A107RC1",4.3,4.5,4.7,4.7,4.7,4.8,4.7,4.8,4.8,4.8,4.5,4.6,6.1,6.2,7.2,7.1,5.9,5.7,4.7,4.6,3.6,2.9,3.2,3.6,4.2,4.3,4.6,4.9,5.1,4.8,5.1,5.5,5.8,5.9,6.4,10.3,8.7,8.4,8.3,10.4,8.4,8.8,8.1,8.9,9.2,9.6,10.1,10.3,10.6,10.7,11.1,13.5,14,13.6,13,19.4,19.9,21.6,22.2,21.5,21.2,21,20.9,21.2,21.1,21,21.3,22,23.1,24.2,25.5,26.8,28.3,30.4,31.3,31.1,30.4,29.8,29.2,28.6,28,27.4,27.1,27.3,27.1,26.9,26.9,27,27.1,27.2,27.5,28.1,28.6,29.2,30.4,32.2,35.5,37.6,37.7,36,33.6,32.4,31.9,32.2,34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.4,41.7,45,57.1,47,47.2,44.7,43.7,45.1,52,56.5,60.7,62.1,64.3,55.7,51.5,49.9,48.7,49.5,58.2,55.9,54.7,51.9,51.6,52.1,54.7,55.2,55.4,67.1,55.7,54.9,55.5,56.2,56.9,58.6,59.9,61,60.8,57.9,58,56.8,59.4,60,61.1,60.6,58.9,57.7,57.5,57.4,57,57.2
"36","28","    Net government saving","A922RC1",5.9,2.4,-4.1,-8.3,-18,-28.9,-36.5,-43.8,-45.5,-51.9,-51.5,-52,-43.3,-40.2,-38.1,-40.3,-27.6,-31,-27.9,-25.7,-29.9,-34,-33.4,-56,-82.7,-138.4,-94.3,-94.9,-80.9,-74.4,-77.2,-75.8,-66.9,-59.1,-62.3,-65.6,-66.3,-40.8,-42.4,-36,-31,-31.5,-35.6,-47.3,-56.6,-85.4,-96.1,-85.3,-63.4,-71,-78.3,-114,-136.7,-143.5,-181.4,-217.4,-217.7,-201.6,-211.1,-184.5,-160.6,-165.3,-177.1,-182.6,-145.2,-195.3,-176.6,-184.3,-175.9,-204.7,-207.7,-180.6,-187.7,-122,-141.8,-152.8,-149.4,-142.4,-130,-139.6,-117.8,-144.6,-156.3,-178.2,-192.8,-205.1,-204.6,-227,-205,-269.1,-292.3,-318.8,-356.1,-367.4,-387,-370.1,-388.6,-346.5,-356.4,-304.6,-296,-266.4,-274.9,-285.3,-283.5,-286.1,-277.2,-242.8,-238.9,-196.8,-179.9,-148.2,-125.5,-105.1,-62.2,-65.1,-8.7,2.2,35.9,43,59.6,66.7,80.3,96.9,198.2,168.6,160.2,138.7,105.3,39.3,-206.7,-141.2,-345.3,-389.8,-393,-437.5,-488.2,-538.6,-579.5,-490.8,-556.2,-524.8,-482.3,-467.1,-379.5,-380.7,-377.7,-347.4,-269,-265.6,-283.7,-247.4,-279.8,-307.3,-361.8,-404.6,-526.3,-901.4,-846.9,-921.7,-1307.2,-1601.4,-1626.5,-1547.9,-1612.2,-1601.3,-1540.8,-1509.7,-1451.5,-1513.6,-1458.1,-1417,-1308.3,-1336.1,-1336.2,-1266.2,-964.2,-782.3,-979.7,-770.9,-801,-825.7,-827.8,-766.4,-685.7
"37","29","Social insurance funds","A221RC1",5.3,5.6,6.1,6.4,6.7,-1.2,0.6,-1.6,1.5,-4.8,-3.8,-4,0.4,1.1,2.2,-5.2,6.5,6.1,6.1,6,9.5,4.5,2.2,-1.8,-8.7,-14.5,-20.8,-19.2,-14.7,-12.2,-17.1,-17.6,-13.9,-11.3,-13.9,-13.2,-4.4,-0.1,-4.9,-3.5,6.5,6,-2.6,-2.9,-1.1,-7.2,-26.5,-23,-6.3,-5.3,-19.1,-21.2,-18,-24.9,-38.3,-51.4,-41.1,-43.6,-32.8,-29.1,-12.2,-8.6,-4.5,-6.5,-1.4,1.5,2,6.7,7.7,7.1,5.9,9.4,12.6,13,17.2,23.8,33.1,40.3,44.1,48.8,43.8,44.6,44.7,46.8,45.3,44.8,47.1,40.2,30.9,26.3,28.5,22.4,10.4,6.4,8.6,8.6,2.2,6.7,7.7,11.4,15.1,19.5,21.6,23.8,20.8,18.4,19.5,19.9,10.3,13.7,18.2,20.8,20.5,25,32.5,42.6,46.5,55.7,63.4,74.3,84.9,89.3,95.7,107,120,108.9,118.8,117.3,110.3,99.2,82,71.4,65,48.4,46.9,44.2,42.6,38,39.6,44.1,48.8,58.2,66.3,60.7,53.4,51.7,58.9,58.8,21.2,16.1,11.7,16.6,12.7,1,-9,-10.3,-19.7,-33.6,-65.1,-94.5,-199.7,-242.3,-274.2,-287.7,-299,-285,-282.1,-284.9,-261.1,-265.3,-260.7,-279,-282.2,-285.9,-289.8,-275.8,-290.2,-277.9,-281.8,-281.7,-263.2,-266,-263.1,-255.2,-265.7
"38","30","Other","A391RC1",0.7,-3.2,-10.2,-14.6,-24.7,-27.7,-37.2,-42.2,-47,-47,-47.7,-48.1,-43.7,-41.3,-40.3,-35.1,-34.1,-37.1,-34,-31.7,-39.4,-38.5,-35.5,-54.2,-73.9,-123.8,-73.5,-75.7,-66.2,-62.1,-60,-58.2,-53,-47.8,-48.4,-52.4,-61.9,-40.7,-37.6,-32.6,-37.4,-37.5,-32.9,-44.4,-55.5,-78.2,-69.6,-62.3,-57.1,-65.7,-59.2,-92.8,-118.6,-118.6,-143.2,-165.9,-176.6,-158,-178.3,-155.4,-148.5,-156.7,-172.6,-176.1,-143.8,-196.8,-178.6,-191,-183.6,-211.9,-213.6,-190,-200.3,-135,-159,-176.7,-182.5,-182.7,-174,-188.4,-161.6,-189.2,-201,-225,-238,-249.9,-251.8,-267.2,-235.9,-295.4,-320.8,-341.2,-366.6,-373.8,-395.7,-378.7,-390.8,-353.2,-364.2,-316.1,-311.1,-286,-296.5,-309,-304.3,-304.5,-296.7,-262.7,-249.2,-210.5,-198.1,-169,-146,-130,-94.7,-107.7,-55.2,-53.5,-27.5,-31.3,-25.3,-22.7,-15.4,-10.1,78.2,59.7,41.4,21.3,-5,-60,-288.7,-212.6,-410.3,-438.2,-439.9,-481.8,-530.9,-576.5,-619.1,-535,-605,-583,-548.5,-527.8,-432.9,-432.4,-436.6,-406.2,-290.3,-281.7,-295.4,-264,-292.6,-308.3,-352.8,-394.3,-506.6,-867.8,-781.8,-827.2,-1107.5,-1359.1,-1352.4,-1260.2,-1313.2,-1316.4,-1258.7,-1224.8,-1190.4,-1248.3,-1197.4,-1138,-1026.2,-1050.2,-1046.4,-990.3,-674,-504.5,-697.9,-489.2,-537.8,-559.6,-564.7,-511.3,-420
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","31","  Total receipts","W066RC1",281.6,287.4,287.9,291.7,288.6,291.7,290.3,291.1,299.2,305.2,309.2,318.2,342,347.6,353.6,365.6,384.9,390.1,396.8,408.8,418.1,432.9,448.6,445.6,441.1,412.7,462,473.8,495.3,506.3,517.9,529.5,556.3,569.4,581.1,597,610,647.5,664.2,688.8,710.9,725.6,745.8,762.1,784.8,782.3,812.1,850.7,904.8,919.5,945.5,939.4,940.8,953,950.1,956.2,968.9,1008.6,1016.8,1043.3,1092.1,1115.3,1128.2,1153.6,1218.3,1190.7,1238.4,1252.3,1279.7,1281.1,1304.9,1341.1,1348.6,1435.7,1428.8,1451.3,1478.3,1496.4,1529.5,1562.4,1622.5,1635.1,1649.7,1661.6,1691,1716.4,1740.3,1758.8,1751.7,1762.8,1785.5,1806.6,1823.9,1851.5,1864.8,1906.9,1897.1,1954.6,1973.9,2045.4,2052.3,2107.3,2132.5,2164.7,2200.3,2224.8,2250.6,2277.4,2328.3,2396.5,2418,2478.7,2516.5,2560.4,2618.1,2650.2,2698.7,2738.1,2784.5,2835,2871.9,2905.4,2956.1,3026.9,3129.8,3164.3,3178.5,3202.5,3240.2,3235.6,3025.8,3120.8,2980.7,2980.3,3012.8,3025,3037.9,3055.2,3033.1,3156.9,3184,3248.2,3342.5,3406.7,3598.5,3646,3725.4,3813.6,3957.3,4016.1,4063,4102.6,4210.9,4244.4,4229.6,4250.8,4212.3,4017.8,4087,3985.4,3692.7,3677.1,3705.2,3780.5,3802.3,3856.6,3952.6,4007.3,4069.2,4085.9,4089.4,4123.3,4275.8,4309.8,4295,4409.9,4673.3,4921.4,4743,4921.3,4956.4,4991.9,5083.6,5102.8,5178
"41","32","    Current receipts","W021RC1",277.1,282.6,283.4,287.1,283.8,287,285.7,286.3,294.2,300.1,303.8,310.4,334.3,341.6,347.1,358.6,377.7,383.9,390.5,402.1,411.4,426.5,442.4,439.7,435.1,406.2,455.3,467.2,488.5,499.2,510.8,521.6,542.2,561.5,573.4,589.6,602.8,640.4,657,681.5,703.5,718.3,738.4,754.2,776.6,773.6,802.8,841.7,896.1,910.4,936,929.7,929.3,942.7,940.1,947.6,960.6,1000.2,1007.9,1035.7,1083.4,1107.1,1120,1145.3,1209.4,1182.1,1229,1243.5,1270.2,1271.2,1294.4,1331,1337.9,1425.2,1417.9,1441.2,1467.7,1486,1517.8,1550.6,1610.9,1622.5,1637.4,1648.3,1677.4,1697.7,1724.8,1743.7,1736.1,1747.8,1769,1791.2,1808.1,1836.5,1848.7,1890.5,1880.6,1937.3,1956.3,2026.2,2031.9,2086,2112.8,2145.1,2181,2205.8,2230,2256.2,2306.7,2373.5,2393.9,2454.9,2490.8,2534.1,2590.5,2621.9,2668.1,2706,2751.7,2801,2836.6,2868.7,2919.8,2988.3,3093.9,3128.4,3143.1,3167.2,3204.1,3197.7,2984.8,3086.2,2946.1,2947.7,2979.1,2995.2,3009,3028.6,3006.5,3127.2,3154.7,3218.3,3310.2,3377.1,3568.3,3616.5,3686.8,3782.6,3920.6,3984.4,4030.8,4071.5,4181.4,4212.8,4198.7,4216.7,4179.5,3981.8,4054.6,3951.2,3664.9,3651.2,3681.4,3758.4,3780.5,3836.2,3933.2,3989.9,4054.2,4071.5,4075.5,4109.1,4259.2,4292,4275.3,4377.4,4648.8,4896,4715.6,4894.1,4929.5,4965.6,5057.8,5077.5,5152.5
"42","33","    Capital transfer receipts","W067RC1",4.6,4.8,4.5,4.6,4.8,4.8,4.7,4.8,5,5,5.5,7.7,7.7,6,6.4,7,7.3,6.1,6.3,6.7,6.7,6.4,6.2,5.9,5.9,6.5,6.7,6.7,6.8,7.1,7.2,7.9,14.2,7.9,7.7,7.4,7.2,7.1,7.2,7.3,7.4,7.3,7.5,7.9,8.2,8.7,9.3,8.9,8.7,9.1,9.5,9.8,11.5,10.3,10,8.6,8.3,8.4,8.9,7.6,8.7,8.2,8.2,8.3,8.9,8.6,9.4,8.9,9.5,10,10.5,10.1,10.7,10.6,10.9,10.1,10.6,10.4,11.7,11.8,11.5,12.6,12.3,13.3,13.6,18.7,15.6,15.1,15.5,15,16.5,15.4,15.7,15,16,16.4,16.5,17.3,17.6,19.1,20.4,21.3,19.6,19.6,19.3,19.1,20.6,21.2,21.6,23,24.1,23.8,25.7,26.3,27.5,28.4,30.6,32.1,32.8,34,35.3,36.6,36.4,38.6,35.9,35.9,35.4,35.3,36.2,37.8,41,34.7,34.6,32.6,33.7,29.7,28.9,26.6,26.6,29.7,29.3,29.9,32.3,29.6,30.2,29.6,38.6,31,36.7,31.8,32.2,31.1,29.5,31.5,30.9,34.1,32.8,36,32.4,34.3,27.8,25.9,23.9,22.1,21.8,20.4,19.3,17.4,15,14.4,14,14.2,16.5,17.8,19.7,32.5,24.5,25.4,27.4,27.2,26.9,26.3,25.8,25.3,25.6
"43","34","  Total expenditures","W068RC1",299.5,306,312.7,316.9,324.4,337.4,344.6,352.3,356.7,371.2,375,381.1,397,401.8,402.3,416.1,423,435.2,433,446.1,460.8,472.9,502,516.1,545,567.1,577.8,593.9,602.4,599.5,611,621.5,637,649.1,660,679.7,694.1,712.8,738.4,757.9,766.9,789.7,817.4,842.4,882.4,907.6,941.4,960.5,1010.1,1022.1,1044.9,1086.8,1105.1,1131.2,1165.7,1204,1226.3,1236.2,1268.2,1276,1300.1,1328.9,1357.6,1399.2,1428.9,1460.1,1489.7,1513.2,1531.9,1557.7,1600.4,1598.7,1619.7,1644.9,1659.2,1690.1,1705.7,1721.1,1733.1,1778.2,1815.5,1853.4,1885.5,1917.2,1969.3,1999.3,2025.1,2098.7,2037.2,2110.7,2168.5,2199.4,2258.2,2293.5,2320,2340.1,2345.4,2360.5,2386.2,2404.9,2389.3,2421.7,2466.5,2502.7,2538.7,2566.6,2552.9,2571.4,2622,2649.4,2654.5,2672.6,2703.6,2698.2,2735.8,2766,2753.1,2783,2811,2858.7,2881.1,2910.8,2949.8,3029.9,3018.9,3077.7,3102.9,3151.1,3221.7,3304.1,3321.4,3374,3446.3,3495.5,3536.7,3613.6,3678,3755.1,3779.8,3807.6,3900.6,3939.1,4008.8,4034.9,4142.9,4188.7,4326,4351.2,4393.7,4463.1,4522.1,4479.4,4684.6,4750.4,4795.8,4845.4,4923.3,5104.2,5151.8,5342.9,5400.5,5626,5598.7,5618.5,5678.6,5755.2,5726.5,5734.3,5713.5,5813.9,5749,5758.4,5741.9,5786.7,5761.3,5810.3,5728,5791.1,5803.6,5766.5,5810.8,5883,5969,5939.8,5916.9
"44","35","    Current expenditures","W022RC1",271.2,280.2,287.4,295.3,301.8,315.9,322.2,330.1,339.8,352,355.3,362.5,377.6,381.8,385.2,398.9,405.3,414.9,418.4,427.8,441.3,460.5,475.8,495.7,517.8,544.6,549.5,562.1,569.4,573.6,587.9,597.4,609.1,620.6,635.7,655.1,669.1,681.2,699.4,717.5,734.4,749.8,773.9,801.5,833.3,859,898.9,927,959.5,981.4,1014.3,1043.7,1066,1086.1,1121.5,1164.9,1178.3,1201.8,1219.1,1220.2,1244,1272.5,1297.1,1327.9,1354.6,1377.4,1405.6,1427.8,1446.1,1475.9,1502.1,1511.6,1525.6,1547.2,1559.7,1594,1617.2,1628.4,1647.8,1690.2,1728.7,1767.1,1793.7,1826.4,1870.2,1902.8,1929.4,1970.7,1941.1,2016.9,2061.3,2110,2164.2,2203.9,2235.8,2260.6,2269.1,2283.8,2312.8,2330.9,2327.9,2352.5,2387.7,2430.4,2464.5,2491.9,2507.2,2499,2545.7,2570.3,2573.8,2603.2,2616.4,2639.1,2652.8,2687,2676.8,2703.8,2715.8,2757.9,2777,2802.1,2839.5,2891.4,2895.7,2959.8,2982.9,3028.6,3098.8,3158.5,3191.5,3227.3,3291.4,3337.4,3372.1,3432.8,3497.3,3567.1,3586.1,3618,3710.9,3743,3792.5,3844.2,3947.8,3997.2,4064.6,4130,4189.6,4250,4314.5,4318.9,4461.2,4520.1,4560.5,4621.3,4705.8,4883.1,4901.5,4872.8,4972.1,5252.6,5307.9,5306.2,5392.8,5437.6,5474,5499.6,5505.7,5585.1,5533.6,5526.1,5567.5,5628.1,5611.5,5643.5,5612.9,5678.4,5695.3,5665,5730.5,5791.3,5885.6,5843.9,5838.1
