"","Table.1.15..Price..Costs..and.Profit.Per.Unit.of.Real.Gross.Value.Added.of.Nonfinancial.Domestic.Corporate.Business","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77"
"11","5","  Taxes on production and imports less subsidies plus business current transfer payments","W330RD3",0.011,0.012,0.012,0.015,0.018,0.018,0.017,0.015,0.015,0.016,0.015,0.014,0.014,0.013,0.012,0.014,0.016,0.019,0.021,0.022,0.023,0.022,0.023,0.024,0.024,0.023,0.023,0.024,0.025,0.027,0.026,0.028,0.028,0.028,0.028,0.028,0.028,0.027,0.028,0.03,0.032,0.035,0.037,0.037,0.038,0.041,0.045,0.046,0.047,0.048,0.049,0.055,0.063,0.067,0.07,0.071,0.073,0.078,0.079,0.079,0.081,0.085,0.093,0.094,0.097,0.1,0.097,0.097,0.095,0.092,0.092,0.093,0.094,0.099,0.101,0.101
"12","6","  Net interest and miscellaneous payments","A471RD3",0.004,0.006,0.007,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.006,0.006,0.008,0.01,0.01,0.01,0.011,0.014,0.015,0.013,0.013,0.014,0.017,0.023,0.027,0.032,0.03,0.031,0.032,0.032,0.031,0.033,0.042,0.043,0.04,0.032,0.029,0.027,0.029,0.027,0.028,0.03,0.032,0.036,0.039,0.032,0.031,0.029
"13","7","Corporate profits with IVA and CCAdj (unit profits from current production)","A463RD3",0.029,0.023,0.009,-0.004,-0.004,0.008,0.013,0.017,0.018,0.012,0.016,0.022,0.03,0.037,0.04,0.039,0.034,0.029,0.037,0.045,0.041,0.047,0.05,0.045,0.042,0.041,0.048,0.044,0.043,0.039,0.046,0.042,0.042,0.045,0.048,0.05,0.053,0.053,0.05,0.05,0.045,0.037,0.042,0.045,0.046,0.04,0.052,0.059,0.064,0.066,0.062,0.056,0.067,0.062,0.076,0.089,0.085,0.075,0.083,0.093,0.084,0.081,0.077,0.083,0.095,0.11,0.114,0.125,0.128,0.114,0.107,0.09,0.068,0.081,0.097,0.114
"14","8","  Taxes on corporate income","A465RD3",0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.004,0.007,0.016,0.021,0.024,0.021,0.019,0.016,0.019,0.019,0.015,0.025,0.03,0.024,0.023,0.02,0.023,0.022,0.021,0.018,0.021,0.019,0.019,0.018,0.019,0.019,0.02,0.02,0.018,0.021,0.02,0.017,0.017,0.018,0.021,0.022,0.022,0.026,0.028,0.029,0.029,0.028,0.026,0.02,0.024,0.027,0.025,0.026,0.03,0.031,0.03,0.029,0.026,0.027,0.03,0.035,0.035,0.036,0.036,0.034,0.034,0.032,0.021,0.018,0.023,0.029
"15","9","  Profits after tax with IVA and CCAdj","A466RD3",0.026,0.021,0.008,-0.005,-0.007,0.005,0.009,0.013,0.014,0.009,0.012,0.015,0.014,0.015,0.016,0.018,0.015,0.012,0.018,0.026,0.026,0.022,0.021,0.021,0.019,0.021,0.025,0.022,0.022,0.021,0.025,0.023,0.023,0.027,0.028,0.031,0.034,0.033,0.031,0.029,0.025,0.02,0.025,0.027,0.025,0.018,0.03,0.033,0.037,0.037,0.032,0.027,0.041,0.042,0.052,0.062,0.06,0.049,0.053,0.061,0.054,0.052,0.051,0.056,0.065,0.075,0.078,0.088,0.092,0.08,0.073,0.058,0.047,0.063,0.074,0.085
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. The implicit price deflator for gross value added of nonfinancial corporate business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","divided by 100. Estimates for nonfinancial corporate business for 2000 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","are based on the 1987 Standard Industrial Classification (SIC); later estimates for these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","industries are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Note. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","IVA Inventory valuation adjustment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CCAdj Capital consumption adjustment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
