"","Table.1.3.4..Price.Indexes.for.Gross.Value.Added.by.Sector................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77","NA..78","NA..79","NA..80","NA..81","NA..82","NA..83","NA..84","NA..85","NA..86","NA..87","NA..88","NA..89","NA..90","NA..91","NA..92","NA..93","NA..94","NA..95","NA..96","NA..97","NA..98","NA..99","NA..100","NA..101","NA..102","NA..103","NA..104","NA..105","NA..106","NA..107","NA..108","NA..109","NA..110","NA..111","NA..112","NA..113","NA..114","NA..115","NA..116","NA..117","NA..118","NA..119","NA..120","NA..121","NA..122","NA..123","NA..124","NA..125","NA..126","NA..127","NA..128","NA..129","NA..130","NA..131","NA..132","NA..133","NA..134","NA..135","NA..136","NA..137","NA..138","NA..139","NA..140","NA..141","NA..142","NA..143","NA..144","NA..145","NA..146","NA..147","NA..148","NA..149","NA..150","NA..151","NA..152","NA..153","NA..154","NA..155","NA..156","NA..157","NA..158","NA..159","NA..160","NA..161","NA..162","NA..163","NA..164","NA..165","NA..166","NA..167","NA..168","NA..169","NA..170","NA..171","NA..172","NA..173","NA..174","NA..175","NA..176","NA..177","NA..178","NA..179","NA..180","NA..181","NA..182","NA..183","NA..184","NA..185","NA..186","NA..187","NA..188","NA..189","NA..190","NA..191","NA..192","NA..193","NA..194","NA..195","NA..196","NA..197","NA..198","NA..199","NA..200","NA..201","NA..202","NA..203","NA..204","NA..205","NA..206","NA..207","NA..208","NA..209","NA..210","NA..211","NA..212","NA..213","NA..214","NA..215","NA..216","NA..217","NA..218","NA..219","NA..220","NA..221","NA..222","NA..223","NA..224","NA..225","NA..226","NA..227","NA..228","NA..229","NA..230","NA..231","NA..232","NA..233","NA..234","NA..235","NA..236"
"11","4","  Farm","B359RG3",114.011,116.416,97.698,127.828,120.537,118.746,118.606,101.376,101.953,97.382,91.902,90.214,85.267,90.175,101.96,108.279,123.042,120.897,111.437,117.457,111.309,107.674,109.556,102.772,98.662,92.158,91.333,86.732,90.233,87.546,85.942,83.489,83.05,82.586,80.668,75.81,77.05,81.03,80.422,79.839,79.361,79.342,84.941,84.994,90.487,91.765,89.978,85.644,81.122,82.152,83.007,80.589,79.712,82.819,80.482,81.871,81.339,78.918,80.753,84.01,83.827,81.82,82.913,84.368,81.738,80.545,82.7,79.357,79.242,78.228,77.629,79.216,79.888,86.837,84.64,88.08,94.382,91.75,94.362,86.884,82.887,81.177,82.628,82.217,83.686,85.781,88.656,89.104,85.169,92.489,95.617,100.129,96.539,93.082,96.107,91.307,93.828,95.115,94.219,100.668,103.259,105.189,113.809,126.219,148.679,173.178,206.369,186.195,196.089,148.904,167.492,179.963,145.723,139.684,152.736,160.679,154.556,149.032,147.288,139.896,147.4,144.548,144.542,130.032,159.103,176.229,171.057,178.288,197.414,190.572,183.464,175.994,160.04,125.226,172.883,203.117,178.058,162.976,154.233,138.284,139.507,141.228,146.767,132.767,152.315,168.306,171.906,175.601,185.973,176.521,165.193,162.736,154.163,137.78,120.668,130.056,121.394,127.247,137.734,143.028,136.575,136.929,132.982,134.366,136.068,139.413,162.703,160.999,162.611,156.604,154.97,160.039,162.775,159.687,153.999,145.325,140.896,144.985,134.792,138.161,139.524,136.524,136.302,135.799,133.042,140.418,139.97,144.074,147.012,138.114,124.287,127.192,130.354,130.331,139.945,152.14,156.637,166.44,169.86,153.315,143.574,139.665,131.877,132.558,131.096,132.701,123.526,125.125,120.766,110.354,104.308,102.044,96.423,104.942,95.976,102.659,107.291,115.52,120.836,102.239,117.394,90.202,95.676,100.854,99.424,104.314,117.186,142.417,144.551,161.207,143.649,141.75,134.561,133.924,124.847
"12","5","Households and institutions","B193RG3",9.833,10.395,10.677,10.754,10.559,10.79,11.055,11.099,11.11,11.142,11.138,11.353,11.368,11.379,11.584,11.711,11.932,11.998,12.188,12.274,12.263,12.575,12.876,12.915,12.964,13.212,13.44,13.492,13.519,13.608,13.674,13.807,13.821,13.773,13.881,14.001,14.055,14.097,14.247,14.335,14.381,14.522,14.683,14.754,14.755,14.967,15.019,15.07,15.154,15.233,15.36,15.539,15.559,15.656,15.795,15.86,15.897,16.002,16.066,16.122,16.263,16.33,16.392,16.486,16.613,16.696,16.736,16.819,16.953,16.994,17.122,17.189,17.172,17.36,17.481,17.67,17.68,17.875,18.036,18.236,18.421,18.522,18.61,18.749,18.927,19.001,19.121,19.386,19.692,19.964,20.298,20.718,20.993,21.355,21.718,21.971,22.314,22.635,22.896,23.215,23.559,23.71,23.873,24.241,24.664,24.998,25.351,25.777,26.082,26.449,26.821,27.344,27.76,28.047,28.402,28.98,29.551,30.033,30.503,31.178,31.771,32.402,33.023,33.649,34.248,34.732,35.384,35.988,36.545,37.152,38.045,39.067,39.775,40.63,41.558,42.743,43.742,44.744,45.824,46.817,47.592,48.168,49.109,49.981,50.613,51.345,52.031,52.668,53.341,54.322,55.242,55.86,56.653,57.637,58.513,59.18,59.751,60.757,61.852,61.445,63.459,63.624,63.833,65.693,65.887,67.071,67.686,68.461,68.997,69.633,70.476,71.363,72.165,73.231,74.405,74.524,75.403,76.132,76.508,77.392,78.046,79.044,79.381,79.838,80.287,80.734,81.014,81.579,82.611,83.214,83.868,84.504,85.365,85.928,86.505,87.312,88.18,88.699,89.188,89.853,90.33,90.742,91.333,91.911,92.5,93.372,94.434,95.642,96.007,97.062,97.166,98.23,98.897,99.421,100.443,101.24,102.757,103.766,104.734,105.902,106.966,107.791,108.726,109.564,111.11,111.844,112.571,113.391,113.425,114.549,115.734,117.13,117.886,118.461,119.413
"13","6","  Households","B701RG3",12.359,12.593,13.06,13.207,13.219,13.393,13.614,13.632,13.632,13.703,13.734,14.09,14.11,14.066,14.237,14.276,14.654,14.705,14.97,14.956,14.927,15.452,15.892,15.853,15.883,16.268,16.565,16.598,16.623,16.716,16.792,17.01,16.926,16.852,17.02,17.219,17.24,17.231,17.361,17.417,17.493,17.636,17.787,17.822,17.808,18.109,18.159,18.191,18.217,18.332,18.502,18.649,18.708,18.777,18.878,18.939,18.979,19.083,19.134,19.158,19.268,19.307,19.395,19.445,19.527,19.584,19.621,19.699,19.766,19.826,19.892,19.931,19.992,20.094,20.149,20.226,20.354,20.437,20.507,20.671,20.787,20.846,20.934,21.095,21.287,21.479,21.612,21.804,21.991,22.172,22.419,22.667,22.94,23.185,23.437,23.729,24.028,24.322,24.607,24.784,25.026,25.193,25.437,25.655,26.034,26.3,26.55,26.851,27.04,27.277,27.655,28.086,28.666,29.056,29.484,30.043,30.551,30.985,31.522,32.195,33.062,33.682,34.231,34.715,35.141,35.62,36.132,36.831,37.368,37.956,38.838,39.916,40.425,41.104,42.044,43.278,44.261,45.295,46.513,47.759,48.692,49.347,50.391,51.369,52.016,52.827,53.338,53.779,54.421,55.364,56.199,56.78,57.483,58.655,59.527,60.285,61.167,62.125,62.718,63.447,64.138,65.108,65.482,66.489,67.448,68.015,68.728,69.511,70.2,70.903,71.881,72.901,73.631,74.738,75.926,76.09,76.651,76.793,76.908,77.762,78.428,78.747,79.181,79.741,80.65,81.37,81.642,82.134,82.88,83.462,84.077,84.653,85.51,86.264,87.052,88.009,88.796,89.377,89.851,90.477,91.062,91.531,92.309,93.012,94.13,94.849,95.821,96.902,96.934,97.369,97.722,98.296,99.242,99.694,100.151,100.912,102.139,103.562,104.968,106.428,107.258,107.929,108.82,109.687,111.066,110.981,111.335,111.934,111.788,112.533,113.068,113.537,113.755,114.127,114.686
"14","7","  Nonprofit institutions serving households \3\","B702RG3",5.943,6.987,6.99,6.963,6.48,6.783,7.099,7.178,7.205,7.182,7.128,7.137,7.141,7.229,7.479,7.735,7.722,7.808,7.882,8.123,8.137,8.124,8.208,8.369,8.447,8.483,8.604,8.684,8.715,8.798,8.848,8.849,9.02,9.014,9.027,9.02,9.127,9.254,9.439,9.583,9.579,9.721,9.901,10.033,10.059,10.13,10.186,10.272,10.454,10.475,10.531,10.766,10.724,10.867,11.073,11.144,11.178,11.286,11.371,11.48,11.676,11.789,11.812,11.979,12.183,12.312,12.358,12.451,12.697,12.709,12.94,13.056,12.91,13.241,13.471,13.849,13.671,14.045,14.351,14.609,14.908,15.079,15.17,15.276,15.435,15.328,15.429,15.799,16.284,16.69,17.156,17.83,18.109,18.644,19.175,19.37,19.779,20.142,20.368,20.903,21.403,21.529,21.568,22.166,22.658,23.096,23.608,24.229,24.714,25.286,25.647,26.315,26.481,26.612,26.86,27.466,28.133,28.69,29.06,29.74,29.924,30.574,31.303,32.145,33.008,33.504,34.376,34.836,35.427,36.065,36.978,37.919,38.942,40.083,40.996,42.106,43.138,44.094,44.957,45.555,46.084,46.541,47.33,48.044,48.655,49.272,50.222,51.158,51.88,52.918,53.972,54.649,55.583,56.28,57.167,57.699,57.801,58.883,60.723,58.645,62.594,61.593,61.563,64.656,63.758,65.819,66.297,67.06,67.381,67.924,68.579,69.285,70.187,71.197,72.352,72.412,73.719,75.243,75.973,76.897,77.535,79.436,79.643,79.963,79.811,79.906,80.197,80.855,82.256,82.888,83.593,84.309,85.174,85.485,85.788,86.401,87.374,87.813,88.321,89.037,89.373,89.712,90.061,90.479,90.398,91.462,92.638,94.006,94.795,96.654,96.431,98.142,98.438,99.059,100.828,101.675,103.577,104.039,104.422,105.202,106.579,107.61,108.605,109.414,111.174,112.923,114.111,115.206,115.466,117.076,119.11,121.727,123.196,124.042,125.513
"15","8","General government \4\","B765RG3",7.48,7.545,7.23,7.306,7.389,7.478,7.614,7.706,7.894,7.86,7.82,7.922,7.873,7.766,7.91,7.876,8.276,8.138,8.164,8.267,8.403,8.507,8.615,8.703,8.724,8.794,8.72,8.804,8.851,9.019,9.073,9.15,9.227,9.477,9.545,9.629,9.799,9.955,10.058,10.116,10.268,10.392,10.493,10.596,10.799,10.952,11.08,11.143,11.276,11.323,11.355,11.387,11.514,11.545,11.74,11.813,11.859,11.954,12.019,12.099,12.249,12.282,12.342,12.547,12.692,12.749,12.771,13.023,13.165,13.237,13.363,13.44,13.561,13.622,13.792,14.03,14.213,14.36,14.602,14.7,14.852,15.062,15.247,15.64,15.835,16.035,16.41,16.659,16.793,17.01,17.593,17.841,18.569,18.919,19.208,19.47,20.193,20.583,20.869,21.184,22.014,22.254,22.551,23.092,23.578,23.988,24.389,24.867,25.2,25.682,26.279,27.1,27.671,28.294,28.842,29.581,30.045,30.523,30.882,31.551,32.214,32.763,33.209,34.122,34.538,34.983,35.411,36.093,36.806,37.421,38.35,39.347,40.103,41.001,41.919,43.76,44.749,45.464,45.899,47.263,48.145,48.928,49.649,50.656,51.204,51.917,52.429,52.944,55.116,55.766,56.428,57.022,58.194,58.62,58.877,59.607,60.102,60.628,61.211,62.007,62.711,63.252,63.726,64.087,64.944,65.728,66.253,66.721,67.805,68.325,68.862,69.435,70.615,71.56,72.202,73.164,74.561,75.101,75.882,76.504,77.722,78.463,78.899,79.151,80.415,80.964,81.675,82.224,83.265,83.897,84.147,84.787,85.853,85.982,86.324,87.406,88.688,88.228,88.913,89.512,90.407,90.717,91.034,91.593,92.389,92.895,93.466,94.076,95.167,95.911,96.676,97.515,99.036,99.291,100.579,101.095,102.08,102.78,103.802,104.966,107.022,107.725,108.433,109.736,112.099,112.913,113.844,114.426,116.51,117.687,118.456,119.177,120.826,121.735,122.947
"16","9","  Federal","B766RG3",8.291,8.339,7.767,7.756,7.738,7.764,7.807,7.846,8.205,8.217,8.127,8.336,8.237,7.972,8.082,7.908,8.437,8.143,8.076,8.16,8.341,8.442,8.514,8.607,8.58,8.686,8.583,8.665,8.689,8.832,8.826,8.916,9.034,9.414,9.49,9.553,9.698,9.904,9.974,9.987,10.16,10.251,10.362,10.492,10.782,10.977,11.182,11.239,11.368,11.4,11.429,11.434,11.484,11.459,11.747,11.814,11.823,11.848,11.855,11.873,11.964,11.968,12.056,12.353,12.486,12.515,12.515,12.867,13.068,13.119,13.281,13.375,13.438,13.503,13.709,14.08,14.164,14.223,14.456,14.41,14.358,14.526,14.633,15.195,15.353,15.499,16.012,16.197,16.228,16.299,17.113,17.256,18.278,18.56,18.789,19.021,20.051,20.502,20.809,21.363,22.582,22.749,22.872,23.654,24.02,24.32,24.776,25.502,25.708,26.111,26.727,27.942,28.575,28.971,29.426,30.527,30.772,31.123,31.483,32.648,33.43,33.846,33.996,35.418,35.598,35.873,36.22,37.447,37.858,38.36,38.861,40.685,41.247,41.869,42.427,45.546,46.132,46.719,47.031,49.371,50.029,50.651,50.958,52.067,52.234,52.837,53.109,53.295,57.344,57.791,58.29,58.522,60.121,60.137,59.777,60.674,60.842,61.188,61.434,61.765,62.641,62.741,62.744,62.91,64.291,65.19,65.602,65.7,67.41,67.647,67.835,67.534,68.758,69.551,69.654,70.915,72.722,73.165,73.98,74.502,76.473,77.305,77.598,77.126,78.746,79.366,80.3,80.803,81.675,82.673,82.37,83.178,84.694,84.402,84.698,87.192,89.042,88.219,88.679,89.504,90.895,91.052,91.181,91.787,92.762,92.903,92.997,93.224,95.297,95.976,96.535,97.129,99.648,98.894,100.605,100.853,101.634,101.998,102.974,104.279,109.064,108.843,108.38,110.3,114.441,115.252,115.568,115.925,120.741,122.025,122.206,122.553,125.296,125.757,126.357
"17","10","  State and local","B767RG3",6.105,6.201,6.32,6.537,6.781,6.967,7.244,7.416,7.342,7.244,7.274,7.234,7.256,7.353,7.54,7.703,7.905,8.022,8.208,8.347,8.402,8.515,8.687,8.766,8.87,8.875,8.852,8.939,9.026,9.235,9.387,9.441,9.449,9.493,9.549,9.662,9.873,9.954,10.106,10.227,10.348,10.514,10.601,10.667,10.756,10.854,10.885,10.954,11.094,11.158,11.196,11.258,11.472,11.568,11.655,11.736,11.824,11.995,12.125,12.273,12.488,12.552,12.581,12.684,12.841,12.928,12.973,13.119,13.2,13.293,13.381,13.44,13.617,13.673,13.808,13.918,14.194,14.426,14.675,14.913,15.264,15.516,15.777,16.003,16.233,16.484,16.725,17.034,17.263,17.614,17.986,18.329,18.8,19.209,19.547,19.834,20.306,20.648,20.916,21.053,21.601,21.895,22.315,22.688,23.253,23.734,24.099,24.415,24.829,25.36,25.944,26.517,27.05,27.81,28.414,28.933,29.527,30.079,30.436,30.807,31.397,32.024,32.644,33.254,33.807,34.351,34.825,35.187,36.072,36.751,37.925,38.443,39.307,40.361,41.484,42.578,43.799,44.585,45.091,45.878,46.889,47.763,48.728,49.671,50.446,51.224,51.88,52.596,53.608,54.384,55.145,55.961,56.866,57.545,58.184,58.809,59.505,60.139,60.927,62.006,62.604,63.414,64.177,64.658,65.19,65.904,66.496,67.186,67.894,68.583,69.325,70.413,71.563,72.595,73.552,74.336,75.49,76.087,76.847,77.528,78.315,79.003,79.518,80.171,81.234,81.744,82.333,82.907,84.039,84.48,85.014,85.567,86.404,86.739,87.102,87.507,88.524,88.233,89.024,89.517,90.186,90.565,90.967,91.506,92.225,92.89,93.669,94.443,95.112,95.884,96.735,97.676,98.778,99.458,100.568,101.196,102.266,103.105,104.145,105.249,106.19,107.269,108.456,109.504,111.132,111.948,113.137,113.814,114.755,115.888,116.903,117.781,118.972,120.067,121.534
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009G3",12.487,12.848,13.137,13.367,13.549,13.698,13.822,13.933,14.037,14.139,14.244,14.356,14.475,14.609,14.756,14.915,15.102,15.272,15.44,15.607,15.744,15.926,16.124,16.333,16.584,16.784,16.961,17.114,17.235,17.34,17.426,17.495,17.536,17.595,17.658,17.727,17.812,17.891,17.97,18.051,18.129,18.217,18.309,18.406,18.514,18.602,18.676,18.738,18.779,18.906,18.982,19.094,19.143,19.188,19.284,19.361,19.401,19.506,19.572,19.582,19.682,19.716,19.797,19.828,19.912,19.974,20.013,20.098,20.138,20.179,20.242,20.276,20.325,20.39,20.433,20.499,20.608,20.689,20.738,20.885,20.992,21.065,21.153,21.275,21.413,21.572,21.707,21.875,22.04,22.228,22.475,22.702,22.944,23.176,23.414,23.709,24.011,24.309,24.579,24.762,24.976,25.152,25.394,25.621,25.973,26.229,26.489,26.778,26.966,27.129,27.416,27.861,28.439,28.854,29.284,29.827,30.307,30.696,31.207,31.807,32.59,33.282,33.889,34.41,34.818,35.235,35.685,36.344,36.841,37.42,38.311,39.425,40.029,40.729,41.734,43.005,43.926,44.919,46.126,47.378,48.322,49.025,50.072,51.053,51.749,52.542,53.075,53.518,54.152,55.106,55.933,56.59,57.398,58.589,59.518,60.395,61.229,62.311,62.941,63.666,64.356,65.215,65.677,66.636,67.603,68.125,68.839,69.609,70.304,71.01,71.949,72.957,73.744,74.82,75.964,76.279,76.841,77.101,77.359,78.221,79.056,79.45,79.891,80.44,81.233,81.862,82.131,82.644,83.408,83.954,84.521,85.099,85.839,86.517,87.203,88.047,88.809,89.336,89.828,90.41,91.009,91.481,92.22,92.916,93.916,94.643,95.615,96.654,96.792,97.228,97.62,98.252,99.156,99.632,100.192,101.02,102.17,103.58,104.949,106.373,107.185,107.896,108.781,109.646,110.906,110.953,111.385,111.98,112.094,112.67,113.021,113.132,113.438,113.666,114.266
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
