"","Table.3.1..Government.Current.Receipts.and.Expenditures...................................................................................................................................................................................................","NA.","NA..1","NA..2","NA..3","NA..4","NA..5","NA..6","NA..7","NA..8","NA..9","NA..10","NA..11","NA..12","NA..13","NA..14","NA..15","NA..16","NA..17","NA..18","NA..19","NA..20","NA..21","NA..22","NA..23","NA..24","NA..25","NA..26","NA..27","NA..28","NA..29","NA..30","NA..31","NA..32","NA..33","NA..34","NA..35","NA..36","NA..37","NA..38","NA..39","NA..40","NA..41","NA..42","NA..43","NA..44","NA..45","NA..46","NA..47","NA..48","NA..49","NA..50","NA..51","NA..52","NA..53","NA..54","NA..55","NA..56","NA..57","NA..58","NA..59","NA..60","NA..61","NA..62","NA..63","NA..64","NA..65","NA..66","NA..67","NA..68","NA..69","NA..70","NA..71","NA..72","NA..73","NA..74","NA..75","NA..76","NA..77"
"11","5","  Taxes on corporate income","W025RC1","1.4","0.8","0.5","0.4","0.5","0.7","1","1.4","1.5","1","1.4","2.8","7.6","11.4","14.1","12.9","10.7","9.1","11.3","12.4","10.2","17.9","22.6","19.4","20.3","17.6","22","22","21.4","19","23.6","22.7","22.8","24","26.2","28","30.9","33.7","32.7","39.4","39.7","34.4","37.7","41.9",49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.1,239.2,248.8,255,194.9,182.6,221.9,258.9
"12","6","  Taxes from the rest of the world","W008RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.4","0.4",0.4,0.4,0.5,0.7,0.7,1,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2,2.4,2.7,3,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.1,7.3,8.5,9.2
"13","7","Contributions for government social insurance","A061RC1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.3","1.5","1.6","1.8","1.9","2.3","2.9","3.8","4.3","5.3","6.6","5.6","4.6","4.9","5.5","6.6","6.9","7.1","8.1","9.1","10","11.4","11.4","13.8","16.4","17","19.1","21.7","22.4","23.4","31.3","34.9","38.7","44.1","46.4","51.2","59.2",75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.7,508.2,532.8,555.2,587.2,624.2,661.4,702.7,731.1,750,776.6,822.2
"14","8","Income receipts on assets","W058RC1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.3","2.7","2.9","3.2","3.4","3.7","4.1","4.7","5.5","6.4","7","8.2","9","9.5",11.6,14.4,16.1,16.3,18.4,23.2,30.8,39.9,50.2,58.9,65.3,74.3,84,89.8,86.1,90.5,94.3,98.7,98.1,90.5,87.6,86.6,92.1,100.2,103.7,102.4,106.8,117.4,113.7,98.4,97.6,99
"15","9","  Interest and miscellaneous receipts \1\","W059RC1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.3","2.7","2.9","3.2","3.4","3.7","4.1","4.7","5.5","6.4","7","8.2","9","9.5",11.5,14.3,16,16.3,18.3,23.1,30.7,39.8,50.1,58.7,65.1,74.1,83.8,89.7,85.9,90.3,94.1,98.4,97.7,90,87,85.8,91.1,98.8,102.2,100.7,105,115.6,111.7,96.4,95.4,96.6
"16","10","  Dividends","B081RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.4
"17","11","Current transfer receipts","W060RC1","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.6","0.7","0.5","0.5","0.6","0.7","0.6","0.7","0.7","0.8","0.9","0.9","1","1.1","1.1","0.8","0.9","1.1","1.2","1.3","1.6","1.9","2.2","2.5","2.6","2.7","2.9","3.1","3.6",3.9,4.5,5.1,5.8,6.8,8,9.1,10.7,12.3,14.8,16.8,19.6,23,25.6,26.8,28.2,32.2,35.6,44.6,50.5,55.1,59.5,59.1,66,67.9,75.5,80.6,93.7,101.8,104.9,110.9,120.1
"18","12","  From business (net)","W061RC1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.3","0.3","0.4","0.4","0.3","0.3","0.4","0.4","0.4","0.4","0.5","0.5","0.6","0.4","0.5","0.7","0.7","0.8","0.9","1.4","1.4","1.5","1.5","1.6","1.6","1.6","1.8",2,2.4,2.6,2.8,3.3,4.1,4.8,5.7,6.4,7.8,8.7,10.4,12.6,13.6,13.6,13.4,15.7,17.2,22,24.5,26.6,28.6,26.5,31.1,29.7,35,35.9,43.7,47.5,46.6,48.9,51.5
"19","13","  From persons","W062RC1","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.5","0.6","0.6","0.3","0.3","0.5","0.5","0.5","0.6","0.6","0.8","1","1","1.1","1.3","1.5","1.8",1.8,2.1,2.5,3,3.5,3.9,4.3,5,6,7.1,8.1,9.2,10.4,12,13.2,14.8,16.5,18.4,22.6,26,28.5,30.9,32.6,34.9,38.2,40.6,44.7,50,54.2,58.2,62.1,68.6
"20","14","Current surplus of government enterprises \2\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1","0.9","0.8","0.9","1.4","1.3","1.3","1","0.9","1.2","1","0","-0.2","0.5",-0.4,-0.9,-3.2,-1.8,-2.6,-1.9,-2.6,-4.8,-4.9,-4,-3.1,-1.9,0.8,1.3,1.2,2.5,4.9,1.6,5.7,7.6,7.2,8.6,11.4,12.7,12.6,10.3,10.1,5.3,-1.4,0.9,1.3,-3
"21","15","    Current expenditures","W022RC1","8","8.4","9.8","8.8","9.2","10.7","11.2","12.8","12","13.2","14.3","15","19.6","38.4","60.2","74.7","78.7","53.9","48.7","51.9","57.8","59.3","69.7","79.7","85.5","84.3","87.4","92.2","102.3","110.6","115.8","122.9","132.1","142.8","151.1","159.2","170.4","192.8","220","246.8","266.7","294.8","325.3","355.5",385.6,435.8,508.2,549.9,597.7,653.4,726.5,842.8,962.9,1072.6,1167.5,1256.6,1366.1,1459.1,1535.8,1618.7,1735.6,1872.6,1976.7,2140.4,2218.4,2290.8,2397.6,2492.1,2568.6,2633.4,2741,2886.5,3061.6,3240.8,3424.7,3620.6
"22","16","Consumption expenditures","A955RC1","6.5","6.8","6.9","6.5","6.7","7.8","8.1","9","9","9.6","10.3","10.7","15.7","34.2","55.8","68.7","68.9","36.2","31.8","33.5","37","37","50.5","61.3","66.6","63.7","65.5","68.5","75.3","79.5","80.7","83.3","88.2","96.8","102.7","108.6","115.9","132","149.7","165.8","178.2","190.2","204.7","220.8",234.8,261.7,294.6,316.6,346.6,376.5,412.3,465.9,520.6,568.2,610.6,657.6,720.2,776.1,815.2,852.8,901.4,964.4,1014.1,1047.8,1072.2,1104.1,1136.5,1171.1,1216.6,1256,1334,1417.1,1501.6,1616.9,1736.7,1843.4
"23","17","Current transfer payments","A084RC1","0.8","0.9","2","1.3","1.3","1.4","1.6","2.7","1.7","2.2","2.3","2.4","2.3","2.4","2","2.6","5.5","12.4","12.4","13.7","16","17","13.7","13.1","13.7","15.6","16.8","17.5","20","24.1","26.8","28","31.8","32.6","34.1","34.9","37.8","41.8","50.1","58.1","63.7","76.8","91.6","102.2",114.2,134.7,169.2,181.9,193.3,207.9,232.6,278,314.2,350.5,378.4,390.9,415.7,441.9,459.7,488.8,533.1,586.1,622.5,749.5,796.3,831.2,872.5,921.4,947.8,969.6,1005.5,1062.4,1160.6,1270.4,1340,1423.4
"24","18","  Government social benefits","W063RC1","0.8","0.9","1.9","1.3","1.3","1.3","1.6","2.7","1.6","2.1","2.2","2.4","2.3","2.3","2.1","2.7","5.1","10.1","10.4","9.9","10.9","13.4","10.5","11","11.7","13.7","14.8","15.6","18.1","22.2","22.9","24.6","28.3","29.1","30.6","31.6","34.3","37.8","46.2","53.7","59.3","72.2","85.9","95.3",109.2,129.2,163.8,178.1,189.9,204.1,228.1,271.9,308.5,343.6,371.3,381.6,403.9,429.6,448.9,477.6,521.6,574.8,650.7,731.7,777.6,814.3,860.3,904.3,933.9,954.9,990.4,1044.1,1146.6,1251.6,1316.4,1397.5
"25","19","    To persons","A063RC1","0.8","0.9","1.9","1.3","1.3","1.3","1.6","2.7","1.6","2.1","2.2","2.4","2.3","2.3","2.1","2.7","5.1","10.1","10.4","9.9","10.9","13.4","10.5","11","11.7","13.7","14.8","15.6","18.1","22.2","22.9","24.4","28.1","28.8","30.3","31.3","33.9","37.5","45.8","53.3","59","71.7","85.4","94.8",108.6,128.6,163.1,177.3,189.1,203.2,227.1,270.8,307.2,342.4,369.9,380.4,402.6,428,447.4,476,519.9,573.1,648.5,729.8,775.7,812.2,858.4,902.1,931.8,952.6,988,1041.6,1143.9,1248.9,1313.5,1394.5
"26","20","    To the rest of the world \3\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.5","0.5",0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.3,1.2,1.3,1.2,1.2,1.6,1.5,1.6,1.6,1.8,2.2,1.9,1.9,2.1,1.9,2.2,2.2,2.3,2.4,2.5,2.7,2.7,2.8,3
"27","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0.1","-0.1","-0.1","0.4","2.3","2","3.9","5.1","3.6","3.1","2.1","2","1.8","2.1","1.9","1.8","1.8","3.9","3.4","3.5","3.6","3.5","3.3","3.5","3.9","4","4.4","4.4","4.6","5.7","6.9",5,5.5,5.4,3.8,3.4,3.9,4.5,6,5.7,6.9,7.1,9.3,11.8,12.3,10.8,11.2,11.5,11.3,-28.1,17.8,18.7,16.9,12.1,17.1,13.9,14.6,15.1,18.3,13.9,18.8,23.6,25.9
"28","22","Interest payments \1\","A180RC1","0.7","0.7","0.9","0.9","1","1.1","1","0.9","1.1","1.1","1.1","1.3","1.3","1.5","2","2.6","3.3","4.2","4.3","4.4","4.5","4.7","4.8","4.9","5","5.2","5.3","5.8","6.3","6.1","7.3","10.4","10.2","11.1","12","12.9","13.7","15.1","16.4","18.8","20.2","23.1","24.5","26.3",31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,208.8,216.3,230.8,247.7,274,295.3,312.7,313.2,313.6,323.4,354.6,365.3,371.4,372.4,357.3,362.8,344.1,315.1,301.4,310.3
"29","23","  To persons and business \1\","A204RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10.1","9.9","10.7","11.6","12.5","13.2","14.5","15.8","18.1","19.4","22","22.6","23.6",27.4,31.3,35.4,41.8,45.3,51.6,61.8,76.4,99.4,119.6,137.9,166.1,185.6,191.7,204.6,216,235.6,254.6,271.8,274.1,274.2,279.2,300.8,300.1,292.8,293.2,282.7,279.8,261.7,238.5,227.9,220.6
"30","24","  To the rest of the world","B093RC1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.2","0.2","0.1","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.5","0.6","0.7","0.8","1","1.8","2.7",3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,53.8,65.3,78.6,79.3,74.5,83,82.4,76.6,73.5,89.7
"31","25","Subsidies \2\","A107RC1","0","0","0.1","0.1","0.1","0.4","0.5","0.2","0.2","0.4","0.7","0.6","0.3","0.4","0.4","0.9","1","1.2","0.2","0.3","0.3","0.6","0.7","0.4","0.1","-0.1","-0.2","0.4","0.7","0.9","1.1","1.1","2","2.3","2.2","2.7","3","3.9","3.8","4.2","4.5","4.8","4.7","6.6",5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.2,21,21.3,24.8,30.2,29.4,27.2,26.8,27.3,29.9,36.4,32.2,34,34.3,32.9,35.4,44.2,44.3,55.3,38.4,46.7,43.5
"32","26","Less: Wage accruals less disbursements","A184RC1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.3",0,-0.5,0.1,0.1,0.1,0.3,-0.2,0,0.1,0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","27","    Net government saving","A922RC1","2.6","1.6","-1.1","-0.7","-0.5","-1","-0.7","-0.9","2.2","0.6","-0.1","1.6","4.1","-7.2","-12.6","-25.3","-27.4","-3.5","6.7","4.8","-4.2","6.8","12.2","6.7","5.3","1.6","9.2","12","7.5","-2.5","7.1","11.5","6.9","7.8","11.1","7.4","9.9","10","-2.4","5.2","16.7","-8.1","-21.9","-8.8",4.4,-4.4,-66.6,-44.4,-31,-7.8,1.7,-44.8,-45.7,-134.1,-168.1,-144.1,-152.6,-169.9,-132.6,-116.6,-109.3,-164.8,-217.9,-296.7,-272.6,-201.9,-184.9,-116,-16.7,90.8,154,239.4,51.5,-282.1,-406.5,-412.3
"34","28","Social insurance funds","A221RC1","0.1","0.1","0.1","0","0","0","0","0.2","1.4","1","1","1","1.6","2.2","3.3","3.9","4.3","3.3","3.2","2.5","1.6","-0.2","2.7","2.7","2.2","1.3","1.6","1.8","1.2","-2.6","-0.7","0.4","-2.3","-0.6","0.9","1.3","0.5","6.1","4.3","3.4","5.9","1.2","-2.8","-0.4",6.1,3.6,-15.7,-15,-12.9,-3.1,1.9,-14.2,-12.5,-32.6,-36.1,-7.3,3.1,8.3,17.3,42.2,45.4,45,28,9.7,9.8,22.6,23,16.8,31.7,60.7,95.8,114.4,89.6,50.6,42,54
"35","29","Other","A391RC1","2.5","1.5","-1.2","-0.7","-0.6","-1","-0.8","-1.2","0.9","-0.4","-1.1","0.6","2.5","-9.4","-15.9","-29.2","-31.6","-6.8","3.4","2.3","-5.8","7","9.5","4","3.1","0.3","7.6","10.2","6.3","0.2","7.8","11.1","9.2","8.3","10.2","6.1","9.3","3.9","-6.6","1.9","10.9","-9.3","-19.1","-8.4",-1.7,-8,-50.9,-29.3,-18.1,-4.7,-0.2,-30.7,-33.2,-101.5,-132,-136.8,-155.7,-178.1,-149.9,-158.8,-154.8,-209.8,-245.9,-306.4,-282.4,-224.4,-208,-132.7,-48.4,30.1,58.2,125.1,-38.1,-332.7,-448.6,-466.3
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","30","  Total receipts","W066RC1","10.8","10.2","8.9","8.3","8.8","9.9","10.8","12.4","14.8","14.4","14.7","17.1","24.3","31.8","48.2","50.1","52.2","51.3","56.4","57.8","54.5","66.9","82.9","87.5","91.9","87.1","97.9","105.7","111.6","109.9","124.8","136.6","141.5","153.2","165","169.9","183.9","206.7","221.6","256.1","288.1","291.5","309.2","353.6",396.6,437.6,448.1,512.7,576.1,652.8,735.8,806.7,926.5,948.6,1007.7,1120.9,1222.4,1299.3,1413.8,1513.3,1638.8,1723.6,1774.4,1859.5,1963.4,2109.2,2232.7,2399.2,2578.9,2756.6,2931.7,3161.6,3148.8,2991.5,3046.1,3238.4
"38","31","    Current receipts","W021RC1","10.5","10","8.7","8.2","8.6","9.7","10.5","11.9","14.3","13.9","14.2","16.6","23.8","31.2","47.6","49.4","51.4","50.4","55.4","56.8","53.6","66.1","81.9","86.4","90.8","85.9","96.7","104.1","109.8","108.2","123","134.4","139","150.6","162.2","166.6","180.3","202.8","217.6","252","283.4","286.7","303.4","346.8",390,431.3,441.6,505.5,566.8,645.6,728.2,798,917.2,938.5,999.4,1112.5,1213.5,1289.3,1403.2,1502.2,1626.3,1707.8,1758.8,1843.7,1945.8,2089,2212.6,2376.1,2551.9,2724.2,2895,3125.9,3113.1,2958.7,3018.1,3208.2
"39","32","    Capital transfer receipts","W067RC1","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.7","0.8","0.9","1","1.1","0.9","0.8","0.9","1.1","1.1","1.2","1.3","1.6","1.8","1.7","1.8","2.2","2.5","2.6","2.9","3.3","3.6","3.9","4","4.1","4.6","4.8","5.8","6.8",6.6,6.3,6.4,7.2,9.3,7.2,7.5,8.8,9.3,10.1,8.3,8.4,8.9,10,10.6,11.1,12.4,15.8,15.6,15.8,17.6,20.2,20,23.1,27,32.4,36.7,35.7,35.7,32.7,28,30.2
"40","33","  Total expenditures","W068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","137.6","149.5","161.4","169","177.7","188.9","214.6","242.7","268","286.4","312.6","340.1","369.9",399.7,452.6,533.1,573.2,619.9,682.1,759.6,879.2,996.4,1106.4,1206.1,1307.7,1434.1,1533.5,1617.2,1695,1815.5,1969.6,2069.1,2225.1,2292.4,2361,2464.9,2570,2645,2718.7,2852.7,3002.6,3188.2,3388.2,3589.4,3792
"41","34","    Current expenditures","W022RC1","8","8.4","9.8","8.8","9.2","10.7","11.2","12.8","12","13.2","14.3","15","19.6","38.4","60.2","74.7","78.7","53.9","48.7","51.9","57.8","59.3","69.7","79.7","85.5","84.3","87.4","92.2","102.3","110.6","115.8","122.9","132.1","142.8","151.1","159.2","170.4","192.8","220","246.8","266.7","294.8","325.3","355.5",385.6,435.8,508.2,549.9,597.7,653.4,726.5,842.8,962.9,1072.6,1167.5,1256.6,1366.1,1459.1,1535.8,1618.7,1735.6,1872.6,1976.7,2140.4,2218.4,2290.8,2397.6,2492.1,2568.6,2633.4,2741,2886.5,3061.6,3240.8,3424.7,3620.6
"42","35","    Gross government investment","A782RC1","2.8","3.2","3","2.1","1.9","2.7","2.8","4.1","3.8","4.2","4.5","4.4","10.8","28.5","39.1","36.6","24.1","3.5","4.6","7","9.7","9.8","17.6","22.3","24","22.5","21","22.9","24.4","26.5","29.3","28.3","31.3","33.3","33.6","34.6","35.6","39.8","43","43.6","43.3","43.6","41.8","42.6",46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219,221.4,232.7,244.9,252.2,262.4,286.8,304.5,324,344.3,355.3,372.5
"43","36","    Capital transfer payments","W069RC1",".....",".....",".....",".....",".....",".....",".....",".....","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0.2,7.2,5.1,0.1,0.7,1.1,0.4,0,0.2,0,4.2,0,0,3.8,16.9,16.3
