"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",117.299,116.584,117.689,117.271,116.356,116.871,116.911,116.539,117.44,117.099,118.222,117.408,117.106,116.545,117.106,116.832,115.449,113.773,112.67,111.813,111.022,109.638,109.191,107.861,107.547,105.977,104.535,104.396,102.623,103.42,102.691,101.931,101.158,100.012,98.939,99.891,101.168,99.832,99.35,99.084,98.367,97.453,96.42,96.238,94.541,94.12,94.476,93.174,93.945,95.402,94.461,93.722,93.061,92.023,93.371,92.941,92.348,94.337
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.731,99.922,100.123,100.192,100.336,100.428,100.478,100.719,100.378,100.757,100.896,100.599,100.298,100.29,100.498,100.617,100.753,100.718,100.38,100.689,100.984,101.343,100.948,100.75,100.669,100.588,100.656,100.376,100.052,100.32,100.18,100.16,99.882,100.043,100.069,100.006,100.131,99.815,99.618,99.342,99.047,98.901,98.443,97.909,97.253,96.702,96.306,96.017,96.024,96.051,95.461,95.573,95.248,95.108,94.497,94.259,93.925,93.851
"32","24","S1 PN4521ZZMG     Department stores","T070243",104.69,104.802,104.922,104.918,104.982,104.915,105.02,105.195,104.678,105.067,104.996,104.503,103.985,103.808,103.907,103.942,103.876,103.619,102.992,103.206,103.511,103.967,103.33,102.973,102.725,102.444,102.418,101.838,101.133,101.42,101.035,100.89,100.276,100.111,99.895,99.717,99.648,98.83,98.24,97.856,97.358,97.013,96.327,95.593,94.589,93.89,93.465,93.003,92.841,92.791,92.003,92.101,91.813,91.466,90.678,90.361,89.903,89.95
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",90.755,91.126,91.509,91.74,92.057,92.49,92.424,92.811,92.834,93.198,93.774,93.875,94.01,94.339,94.772,95.06,95.593,95.988,96.206,96.701,96.972,97.151,97.208,97.302,97.523,97.784,98.007,98.213,98.494,98.731,98.963,99.129,99.333,99.954,100.311,100.402,100.781,101.079,101.346,101.189,101.109,101.168,100.943,100.605,100.275,99.856,99.483,99.345,99.496,99.588,99.158,99.283,98.927,98.946,98.46,98.275,98.027,97.867
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",89.865,90.579,91.329,91.86,92.198,91.527,90.746,91.53,91.341,91.243,92.929,93.319,93.143,93.279,93.212,92.978,94.447,95.901,95.001,96.114,96.612,94.757,94.753,94.785,92.683,91.766,91.466,90.927,90.339,93.104,94.924,96.134,98.833,99.926,100.622,100.619,99.973,101.121,99.018,95.069,93.938,96.854,97.058,97.507,100.855,98.027,98.697,98.132,100.861,103.07,103.017,104.981,104.645,106.373,110.523,109.893,109.244,112.635
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",84.868,85.676,86.015,86.384,86.86,87.186,87.669,87.857,88.039,88.602,88.912,89.248,89.149,89.106,89.602,90.149,90.534,90.854,91.27,91.499,91.83,92.171,92.01,92.249,92.778,93.601,94.117,94.701,95.456,96.525,97.522,98.392,98.934,99.584,100.394,101.089,102.397,103.464,104.725,105.637,106.435,107.355,108.225,109.136,109.711,109.969,110.599,111.094,112.156,113.444,114.006,114.722,115.025,115.804,116.725,117.985,118.871,119.991
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",74.688,75.483,76.785,77.746,78.155,76.392,74.468,75.915,75.192,74.461,78.121,79.052,78.578,78.794,78.051,77.168,80.023,83.728,82.004,84.171,85.608,81.529,82.491,82.975,77.674,75.164,75.206,74.482,73.411,80.517,85.773,89.137,96.133,99.663,102.103,102.101,100.472,105.026,99.095,88.289,86.68,95.792,96.884,99.298,109.628,102.718,107.101,105.474,113.333,120.315,120.604,125.913,126.141,132.187,146.966,144.714,144.295,156.517
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",106.553,106.948,106.943,107.367,107.251,106.935,107.196,107.859,107.587,108.052,108.301,107.892,107.857,107.577,107.55,107.612,108.193,108.185,107.75,107.811,107.654,106.799,106.95,106.752,106.405,106.012,105.294,104.438,103.663,103.22,101.817,101.007,100.419,100.276,99.776,99.529,98.829,98.757,98.539,98.078,97.502,96.865,96.164,95.546,94.924,94.089,93.656,93.362,93.064,92.632,91.736,91.759,91.072,90.672,90.171,89.545,88.831,88.573
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",110.406,110.741,110.606,111.126,110.803,110.297,110.557,111.415,110.998,111.664,111.836,111.36,111.275,110.82,110.968,110.66,111.163,111.333,110.55,110.607,110.372,109.857,109.709,109.357,108.788,107.763,106.73,105.663,104.567,103.951,102.772,101.304,100.557,100.404,99.693,99.346,98.361,98.072,97.696,97.034,96.373,95.428,94.329,93.394,92.866,92.131,91.853,91.608,91.299,90.721,89.857,89.894,89.243,88.782,88.363,87.806,87.135,87.031
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",98.912,99.438,99.698,99.94,100.231,100.289,100.558,100.826,100.847,100.912,101.313,101.036,101.1,101.153,100.799,101.564,102.297,101.95,102.172,102.241,102.236,100.735,101.459,101.55,101.613,102.449,102.353,101.91,101.777,101.689,99.835,100.37,100.115,99.998,99.956,99.931,99.85,100.249,100.375,100.368,99.98,100.041,100.258,100.395,99.563,98.499,97.7,97.289,97.013,96.935,95.964,95.952,95.183,94.945,94.231,93.429,92.601,91.894
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",96.53,96.975,96.866,97.001,97.449,97.804,97.519,97.665,98.191,98.438,98.664,99.131,99.887,100.368,101.218,101.765,101.664,101.232,100.592,100.453,100.735,101.147,100.608,100.653,101.254,101.593,100.937,100.992,101.1,101.135,100.703,100.386,100.429,100.7,99.721,99.15,98.913,98.78,98.4,97.877,96.702,96.624,96.438,95.632,94.965,93.708,91.897,91.599,91.942,91.665,91.108,92.36,91.654,91.122,90.012,89.552,88.428,88.249
"41","33","S3 PN4531ZZMG       Florists","T070333",99.94,102.877,101.69,99.578,100.462,99.721,97.608,99.111,98.329,98.32,100.125,101.627,101.706,101.894,103.149,102.5,100.116,101.097,99.461,98.479,98.852,99.752,95.518,95.073,99.79,99.216,98.264,96.813,97.765,98.491,94.9,95.082,97.036,102.033,100.802,100.177,103.187,103.265,102.186,102.359,103.461,103.621,101.942,102.105,102.187,101.658,101.591,101.876,103.83,104.51,103.67,104.655,102.732,103.227,104.293,104.664,104.238,104.409
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",105.515,105.562,105.608,105.821,105.68,106.095,105.936,106.19,106.602,106.376,106.267,106.66,108.059,109.425,110.738,111.181,110.703,109.405,108.571,108.205,108.18,108.343,107.899,107.685,107.613,107.615,106.128,105.443,103.992,103.486,102.801,101.972,101.548,100.788,99.272,98.392,97.307,96.286,95.115,94,92.007,91.175,90.377,89.143,88.117,86.407,83.627,82.705,82.45,81.591,80.724,81.323,80.295,79.409,77.585,76.677,75.265,74.222
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",108.345,108.471,108.306,108.654,108.703,108.632,108.737,108.501,108.35,108.512,108.298,107.556,106.846,106.433,106.854,107.266,107.307,106.493,105.332,105.099,105.373,105.931,105.324,105.048,104.873,105.135,104.42,104.056,102.884,102.98,102.266,101.785,101.136,100.504,99.441,98.918,98.498,97.808,97.022,96.509,95.107,94.733,94.365,93.708,92.583,91.176,89.079,88.639,88.692,88.041,86.921,88.427,87.412,86.444,84.789,84.236,82.687,82.348
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",86.547,86.788,86.812,87.428,88.287,88.928,88.861,88.697,89.727,90.42,90.653,91.173,91.816,91.863,92.371,93.23,93.803,93.786,93.558,93.755,94.243,94.724,94.765,95.132,95.663,96.409,96.438,97.399,98.853,99.191,99.574,99.617,99.861,100.42,100.002,99.717,99.722,100.508,101.091,101.009,100.289,100.971,101.655,101.08,100.748,99.873,98.865,99.151,99.951,100.251,100.215,102.127,102.02,101.841,101.353,101.301,100.518,101.263
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",108.792,109.443,110.295,110.203,110.336,110.274,109.919,110.201,110.349,110.412,110.737,110.243,109.909,110.034,110.168,109.778,110.887,110.772,109.789,111.156,110.379,108.514,107.069,106.092,104.581,103.729,102.354,100.639,99.008,99.166,99.151,99.221,100.768,99.895,99.737,99.6,98.307,96.16,94.384,91.999,89.542,89.204,88.353,87.167,88.191,86.147,84.494,84.039,84.78,84.815,84.529,84.99,84.006,83.838,83.763,83.42,81.921,81.552
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",131.495,132.774,133.472,132.907,132.962,132.357,132.481,133.022,132.937,133.238,132.862,132.096,131.388,131.085,130.833,130.184,129.173,127.174,125.641,124.406,122.698,121.317,119.113,117.275,115.597,114.335,111.975,109.635,107.368,106.43,104.961,103.569,102.297,100.883,99.334,97.826,95.495,93.125,90.947,88.973,86.515,85.158,83.629,81.301,79.924,78.246,76.204,75.53,74.937,74.631,73.478,72.216,70.97,69.842,68.211,66.96,65.59,64.374
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",83.137,83.168,83.748,84.011,84.332,84.935,84.963,85.3,85.549,85.898,86.663,86.826,87.3,88.031,88.262,88.839,89.339,90.309,91.293,92.14,92.411,92.58,92.911,93.461,93.975,94.543,95.061,95.961,96.973,97.258,97.736,98.336,98.902,99.702,100.551,100.898,101.855,102.726,103.736,104.193,104.597,105.054,105.345,105.535,106.053,106.642,107.382,108.346,109.062,110.118,110.675,111.193,111.361,112.418,112.741,113.334,114.001,114.349
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",84.611,84.94,85.815,85.967,86.104,86.277,85.609,85.674,85.94,85.784,86.482,86.135,85.998,86.33,86.726,86.432,89.168,90.47,89.775,93.503,93.6,91.092,90.306,90.135,88.528,87.987,87.625,86.359,85.218,86.964,89.104,91.505,98.282,98.127,100.536,103.055,103.543,101.39,100.023,96.202,93.195,95.181,95.838,97.323,104.573,101.266,100.371,100.265,104.631,105.499,107.804,113.694,113.662,116.646,122.119,125.127,123.151,126.22
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",82.821,83.187,83.501,83.83,84.263,84.721,85.07,85.345,85.657,86.038,86.34,86.836,87.334,87.899,88.369,88.826,89.275,89.922,90.53,91.379,91.986,92.396,92.989,93.67,94.268,94.703,95.316,95.951,96.602,97.137,97.745,98.307,98.986,99.587,100.364,101.063,101.889,102.728,103.649,104.471,105.102,105.609,106.253,106.852,107.241,107.803,108.39,109.13,110.069,110.924,111.982,112.676,113.693,114.447,115.287,116.127,117.11,118.113
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",82.494,82.883,83.2,83.534,83.964,84.428,84.78,85.049,85.376,85.758,86.047,86.546,87.038,87.622,88.096,88.551,89.003,89.662,90.262,91.11,91.727,92.145,92.749,93.43,94.034,94.611,95.224,95.965,96.739,97.216,97.797,98.289,98.885,99.58,100.454,101.091,101.973,102.825,103.745,104.49,104.955,105.607,106.169,106.828,107.28,107.83,108.427,109.08,109.955,110.717,111.719,112.498,113.519,114.136,114.9,115.717,116.775,117.981
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",83.653,83.909,84.19,84.481,84.905,85.324,85.662,85.955,86.215,86.589,86.918,87.406,87.913,88.419,88.859,89.317,89.737,90.337,90.971,91.818,92.416,92.8,93.363,94.047,94.619,94.911,95.493,95.987,96.476,97.07,97.696,98.351,99.13,99.632,100.233,101.006,101.769,102.572,103.472,104.382,105.226,105.529,106.255,106.745,107.037,107.615,108.188,109.02,110.046,110.974,112.098,112.68,113.684,114.603,115.543,116.396,117.254,117.987
"52","44","S4 PN7223ZZMG   Special food Services","T070443",82.829,83.135,83.458,83.783,84.216,84.677,85.026,85.324,85.604,85.993,86.338,86.833,87.346,87.882,88.34,88.804,89.24,89.856,90.49,91.326,91.911,92.317,92.881,93.553,94.127,94.777,95.334,96.077,96.837,97.295,97.833,98.346,98.933,99.647,100.4,101.02,101.937,102.752,103.605,104.313,104.811,105.449,106.001,106.61,107.051,107.599,108.219,108.823,109.701,110.404,111.369,112.145,113.14,113.753,114.524,115.329,116.323,117.447
"53","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",79.084,80.072,80.559,81.114,81.601,82.274,82.682,82.834,83.511,83.932,84.077,84.623,85.064,86.001,86.666,87.104,87.725,88.679,89.111,89.998,90.694,91.284,92.104,92.774,93.541,93.611,94.547,95.293,96.056,96.704,97.529,98.014,98.769,99.237,100.688,101.427,102.089,103.156,104.374,105.289,105.786,106.6,107.37,108.366,108.916,109.436,109.993,110.906,111.766,113.008,114.106,114.94,116.042,116.724,117.413,118.398,119.859,121.353
