"","Table 1AU2# Real Manufacturing and Trade Inventories, Seasonally","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","3","Durable goods","WKSMD0",131240,133321,135751,137930,138802,140212,142360,143300,145868,147067,148517,151291,150316,149613,151269,149980,149796,148339,147198,145255,145615,146235,148894,150537,153719,157373,162565,167354,169551,171883,175222,179577,179768,178004,174486,171641,171468,173320,175554,179213,179786,180133,182063,183211,185101,188747,191728,195158,198867,202463,204252,207592,209525,210123,207223,207590,209585,208866,211083,209326,205773,204700,202498,197437,190908,191695,192062,195364,199422,206295,213312,216217,215101,214978,213726,210771,209595,208901,207180,205891,205431,206434,207936,210799,212724,214895,217069,222203,226339,229367,231041,231785,233926,235051,236567,236333,234114,230636,229375,227575,224982,223213,222745,220154,220368,221821,223414,223647,225535,228070,229563,232129,235059,237233,239934,242276,245980,246501,249534,251298,253803,257960,261759,265075
"12","4"," Lumber & wood products","WKS240",7403,7686,7418,7405,7245,7102,7038,7211,7115,7779,8359,8524,8523,8755,9309,9496,9454,9505,9635,9155,9448,9513,9073,9074,8761,8835,8761,9132,8859,9457,10138,9811,9363,9249,9352,9034,9281,9540,9785,9937,10185,9892,9648,9874,9929,9945,9745,9991,10200,10322,10096,10446,10520,10191,10385,10547,10412,10685,10618,10056,9427,9358,9346,9199,9561,9711,9937,10023,10343,10254,10477,10613,10340,10517,10536,10675,11161,10858,10922,10941,11087,11063,10671,10618,10886,10900,10654,10842,10399,10616,10663,10259,10269,10425,10952,10563,10243,9880,9910,9760,9757,9892,9579,9447,9697,9646,9948,10138,10469,10587,10361,10304,10166,10054,10510,10754,10771,10907,10911,10688,10620,10708,11075,11182
"13","5"," Furniture & fixtures","WKS250",3103,3099,3076,3216,3243,3282,3327,3276,3375,3517,3681,3706,3775,3784,3848,3949,3942,4114,4111,4073,4209,4299,4407,4499,4657,4780,4807,4859,4946,4934,4948,4904,4692,4382,4280,4413,4576,4697,4606,4767,4712,4878,4920,4925,4989,5081,5287,5259,5409,5382,5355,5394,5442,5427,5364,5320,5342,5403,5482,5506,5408,5410,5260,5165,5057,5222,5425,5606,5772,5863,6083,6182,6280,6251,6283,6204,6169,6177,6002,6296,6304,6435,6507,6610,6954,6858,6916,6728,6795,6811,6840,6731,6726,6858,6709,6768,6510,6302,6314,6430,6320,6453,6452,6443,6586,6649,6707,6601,6808,6710,6760,6850,6926,6955,6867,6851,6612,6684,6764,6812,6794,6915,6870,6894
"14","6"," Stone clay glass prod.","WKS320",5536,5610,5488,5385,5042,4883,4971,5501,5965,6046,5918,5688,5896,5854,6036,5954,5953,5999,5916,5891,5836,5949,6105,6129,6151,6353,6451,6682,6892,7272,7540,7570,7728,7510,7382,7533,7181,7392,7522,7756,7464,7618,7713,7732,8059,8019,8242,8348,8364,8553,8400,8485,8707,8687,8321,8434,8541,8441,8715,8386,8217,8019,7933,7811,7767,7786,7839,8018,8101,8403,8675,8776,8917,9034,8908,8755,8667,8750,8655,8769,8886,8841,8804,8826,8738,8755,8940,9005,9113,9209,9237,9132,9062,9093,9241,9425,9303,9214,9084,9141,9038,9157,9205,9122,9061,8937,8836,8785,8799,8509,8587,8800,8971,9371,9549,9296,9359,9292,9359,9574,9708,9905,9800,9761
"15","7"," Primary metals","WKS330",19986,20951,20989,21040,20882,20232,20260,20377,20238,20488,20737,20669,20644,21350,21770,22442,23332,22409,22270,22200,22923,23327,23783,23436,22644,22227,22197,22053,21766,21719,22543,24184,26563,27738,27238,27355,27879,28059,28675,29214,29429,29457,29334,28730,27611,28141,28502,28766,27710,28215,28504,28944,28599,29228,27893,27968,29205,28736,29796,30246,29846,28209,27342,25932,24590,24454,24020,24172,24493,25235,25598,24720,23605,22972,22514,21788,21283,21094,20062,20339,19468,19331,19673,20075,20565,20328,20832,21205,21717,22300,22125,21931,21711,21807,22099,21977,22174,21891,21670,21460,21198,21186,21280,20906,20924,21020,21309,21471,21242,21200,21142,21434,21453,21594,21370,21161,21553,21524,21863,22165,21859,21905,22140,22633
"16","8"," Fabricated metals","WKS340",18972,18971,19134,19609,19892,21093,21272,21743,21415,21482,20797,21043,20738,20064,20484,20192,20370,21373,21013,20030,19743,19674,19918,20460,21369,22046,22578,23121,23625,24469,24810,26149,26210,25715,25307,24843,24659,24744,25223,25984,25825,26052,26720,26740,27300,27618,27845,27977,28464,28743,28613,28592,28665,27952,27330,27747,27312,26944,27208,26783,26266,26143,25898,24168,23684,23984,24405,24559,24926,25421,25632,25969,25674,25224,25159,25731,25526,25909,25805,25686,25948,25631,25823,25830,25853,25918,26479,26547,26934,26684,27105,26585,26899,26366,26352,26148,26056,25376,25291,25338,25427,25578,25878,25355,25441,25186,25553,25227,25080,25324,25855,26193,26788,27127,26936,26612,27066,26853,27466,27843,28092,28498,28608,29045
"17","9"," Industrial machinery","WKS350",16468,16682,16739,16942,16707,16886,17085,17256,17958,18355,18935,19412,19771,19967,20284,20517,20307,20138,19866,19561,19240,19309,19878,20609,21981,23393,24621,25717,26557,27362,28390,29386,29570,28828,28254,26958,26685,26661,26856,27305,27377,27323,27315,28088,28729,29542,30131,31214,32080,32846,33552,34299,35007,35802,35874,35785,35882,35705,36298,36395,35997,35927,35051,33654,32492,32296,31993,31932,32029,32910,33800,34257,34183,34082,33552,32770,32454,31881,31747,31505,31340,31704,31528,32188,32709,33345,34090,34650,35143,35625,35833,35980,36043,36078,35878,35741,35910,35459,35322,34906,34633,34758,35575,35658,35173,36124,37119,38146,39503,40457,41534,42385,44533,45752,47095,49039,50607,50410,50914,50625,51414,52899,53454,54236
"18","10"," Electronic machinery","WKS360",9694,9772,9976,10255,10356,10548,10648,10747,11151,11517,11650,11734,11713,11687,11893,11820,11416,11245,11019,10969,10989,11065,11410,11531,12326,13136,14037,14813,15353,15501,15485,15309,14690,14153,13564,13285,13330,13781,14178,14796,15215,15724,16020,16448,16998,17742,18230,18404,19126,19596,20096,20997,21430,21387,21248,21197,21598,22045,22443,22170,21719,21621,21448,21202,20647,21021,21156,22105,22429,23141,24124,24627,24598,24567,24052,23283,22962,23078,22964,22472,22608,22753,22802,23111,22913,22832,22933,23363,23500,23512,23907,24323,24451,24360,24411,24103,23758,23591,23480,23438,23696,23860,24077,24103,24433,24827,25030,25362,26074,26919,27814,28781,29957,30530,31782,32346,32468,33077,33389,33692,34771,36148,37521,38035
"19","11"," Transportation equipment","WKS370",48471,49365,51887,53101,54807,55702,57490,56651,57349,56156,56387,58974,56687,54836,54526,52207,51873,50157,49873,49245,49438,49013,50061,50121,50061,50259,52439,53398,53103,52169,51874,52380,51239,51242,50137,49537,49127,49653,49544,50023,49708,48957,50181,49933,50447,51316,52059,53279,55563,56895,57702,58578,58793,58178,57359,57250,57801,57255,56431,54908,53523,54455,55026,56196,53446,53446,53343,54918,57397,60298,63748,65072,64271,64726,65136,64173,64561,64154,63240,61944,62029,62142,63479,64638,65910,68381,68275,70519,72605,74418,75244,77607,78639,80357,81539,82901,81659,79863,78872,76922,74309,71132,68892,67068,67119,67147,66680,65421,64969,65665,64334,64047,62490,61262,60565,59713,60368,60305,60573,61826,62436,62250,62831,63009
"20","12","   Motor vehicles","WKS3710",13017,12094,13031,12927,13335,13427,14314,13708,13804,13453,13526,13777,13288,12359,12781,13092,12860,13414,13027,12910,13171,12961,13623,13748,13697,14426,15410,15679,15168,14394,14471,14901,13905,13794,13194,12954,13442,14248,14547,15719,15905,16521,16957,16981,16927,17134,17569,17573,19128,18584,18326,17049,16046,14973,14127,14091,13797,13301,13039,12164,11714,11580,11262,10800,10800,11173,11546,12410,12845,13119,13539,13702,13462,13590,13689,13432,13163,12933,12528,12761,12792,12785,12858,13084,12955,13044,12873,13088,13379,13396,13463,13019,12806,13126,13144,13774,13641,13304,13312,13473,13435,13513,14033,13455,13675,13848,13996,14295,14378,14831,15069,15538,15603,15646,15346,15674,16120,15505,15635,15642,15929,15983,16400,15936
"21","13","   Other","WKS37X0",35023,36889,38441,39771,41056,41861,42720,42519,43120,42291,42447,44788,43001,42129,41364,38685,38597,36254,36389,35877,35783,35582,35918,35841,35835,35231,36364,37043,37314,37228,36845,36881,36855,36990,36542,36202,35206,34815,34352,33491,32950,31454,32214,31929,32526,33187,33445,34709,35251,37273,38416,40848,42259,42882,43020,42945,43856,43869,43319,42762,41863,42976,43918,45625,42823,42422,41916,42595,44650,47314,50379,51551,50995,51319,51631,50926,51618,51453,50960,49380,49433,49556,50843,51782,53225,55655,55732,57790,59603,61441,62209,65109,66397,67806,68993,69696,68568,67097,66076,63915,61294,57984,55158,53912,53733,53579,52950,51360,50813,51047,49451,48671,47029,45741,45350,44150,44352,44925,45059,46319,46625,46360,46514,47184
"22","14"," Instruments","WKS380",7843,7868,7949,7984,7967,7933,7962,8103,8277,8350,8327,8300,8465,8569,8546,8377,8375,8362,8414,8514,8578,8549,8677,8721,8778,8873,9032,9308,9556,9869,10007,10125,9926,9792,9803,9790,9769,9877,10006,10220,10206,10230,10438,10525,10719,10821,10975,11094,11344,11490,11475,11466,11710,11738,11691,11822,11890,11929,11913,11913,11805,11850,11861,11626,11285,11474,11734,12030,12436,13124,13590,14044,14493,14852,15091,15219,15165,15387,15598,15631,15466,15764,16093,16301,16056,15824,15906,16964,17745,18043,18020,17475,18100,18090,18161,17949,17621,17830,17932,18222,18126,18144,18220,18162,18110,17923,17778,17492,17275,17449,17444,17545,17821,18340,18893,19748,20277,20440,21027,20865,20918,21450,22078,22602
"23","15"," Other manufacturing","WKS390",3752,3724,3773,3857,3824,3901,4014,4195,4446,4527,4774,4695,4786,4884,4977,5083,5197,5446,5496,5512,5389,5835,5699,5811,6009,5757,5728,6151,6258,6223,6486,6639,6222,5999,5676,5700,5787,5919,6115,6158,6424,6501,6487,6509,6421,6443,6584,6686,6638,6482,6256,6062,6026,6237,6033,5862,5940,5819,5922,6059,6293,6458,6442,5958,5830,5803,5853,5879,5992,6268,6530,6745,6915,6795,6797,6726,6524,6445,6581,6822,6981,7112,6996,6910,6912,6974,7032,7233,7150,7131,7142,7097,7348,7324,7384,7265,7118,6912,7013,7193,7281,7424,7362,7216,7238,7555,7482,7695,7683,7316,7440,7271,6917,6914,6675,6713,6794,6815,7027,7054,6974,6944,6917,7140
"24","16","Nondurable goods","WKSMN0",88752,89572,90414,91319,91761,93549,95540,96798,97467,98035,99734,99487,99785,101257,100760,101194,101754,102652,102807,103904,104016,105163,105958,105003,105794,106260,104153,105533,107166,110670,111445,113952,113431,111249,111795,115111,116666,118893,120840,121339,121517,123684,125863,125969,125116,125801,126403,127386,126414,126043,126588,126203,129440,130313,127740,126611,128113,128871,129096,129521,130000,126746,127138,126783,124936,125629,128440,128858,131347,135159,137388,135187,134009,133850,132984,134949,134401,135687,134677,137009,137603,137536,138566,140320,141750,143010,143350,144934,145115,147689,149348,148811,150685,151426,152832,153028,154324,153870,154110,156214,156641,156946,159481,160008,160476,161426,160970,159763,160369,160746,161790,162792,165029,166552,166805,166080,166477,165059,165382,166692,167996,169811,171376,174091
"25","17"," Food and kindred product","WKS200",21681,21788,22004,22611,22536,22840,23793,23675,23270,23708,24106,23518,23846,24023,23312,23655,23572,23999,24127,24530,24354,25108,25218,24213,24169,24270,23182,24280,25015,26132,25198,24820,24597,24256,24902,26696,26994,27761,28542,28491,28655,29266,29778,28486,28039,28120,28303,28590,28825,29264,29116,29110,29507,29320,28965,28622,28977,29184,29347,29059,28343,27656,28378,28704,28331,27632,28052,27787,28146,28180,28064,27997,28061,28125,28385,28487,28210,28230,28036,28322,28641,29239,29304,29252,29247,29717,29043,29914,29826,30252,30950,31275,31311,31552,32473,32508,32615,32388,32766,33112,33325,33653,34181,34099,34022,34385,33648,33424,33357,33825,34479,34346,34813,34779,35021,35174,35150,34640,35038,35574,35344,35818,36292,36991
"26","18"," Tobacco products","WKS210",7097,7123,7199,7202,7134,7180,6863,6845,6766,6727,6760,6531,6301,6216,6130,5965,5987,5947,5801,5952,5982,6004,6229,6469,6227,6381,6377,6442,6694,6764,6879,7350,7383,7519,7483,7779,8032,7964,8061,7810,7741,7724,7753,7661,7443,7382,7155,7395,7271,7287,7160,6715,6710,6737,6865,6687,6834,6528,6866,7157,7583,8203,8151,8165,7706,8194,8251,7841,7460,7328,7537,7435,7289,7010,6930,6932,6904,6611,6504,6732,6754,6980,6740,6568,6605,6542,6534,6469,6303,6520,6660,6760,6963,6881,6922,6952,7138,7224,7236,7199,7257,7185,7356,7426,7532,7676,7555,7086,6934,6897,6595,6537,6398,6364,6761,6620,6562,6466,6568,6772,6717,6838,6856,6827
"27","19"," Textile mill products","WKS220",6445,6536,6639,6614,6892,7028,7083,7249,7295,7310,7381,7359,7361,7450,7533,7608,7752,7742,7791,7717,7754,7822,7675,7680,7813,7700,7400,7260,7396,7495,7744,7805,7379,7152,7187,7272,7353,7441,7471,7464,7722,7980,8034,8132,8098,8092,8239,8023,8010,7813,7745,7777,7971,7871,7562,7711,7767,7668,7525,7436,7155,6837,6709,6607,6730,7098,7457,7703,7873,8013,8030,7783,7662,7441,7552,7662,7642,7839,7665,7730,8098,8075,8186,8175,8140,8250,8095,8289,8072,8229,8265,8213,8318,8250,8333,8213,8042,7982,8164,8160,8247,8401,8589,8510,8613,8744,8837,9083,9384,9353,9305,9384,9388,9399,9324,9261,9120,9042,9116,9227,9160,9265,9296,9295
"28","20"," Apparel products","WKS230",5646,5554,5779,5617,5605,5946,5909,6144,6307,6188,6284,6393,6062,6441,6668,6599,6881,6901,6858,6860,6965,6959,7153,7376,7848,7691,7519,7403,6914,6726,6861,7072,6616,6479,6638,6954,7495,7980,7830,7563,7404,7497,7567,7905,7863,7978,8212,8314,8559,8191,8134,7794,7911,8029,7901,7792,7819,7813,7743,8152,8063,7885,7778,7674,7466,7641,8020,8352,8898,9337,9411,9331,9057,9264,9261,9495,9681,9550,9512,9386,9537,9380,9438,9721,9879,10243,10071,9781,9322,9214,9461,9450,9633,9501,9459,9249,8862,8864,8933,9489,9710,9716,9685,9820,10254,10554,10786,10735,10656,10826,10994,11162,11670,11532,11310,11037,10649,10173,9913,9667,9841,10177,10329,10343
"29","21"," Paper & allied products","WKS260",6331,6376,6323,6229,6339,6486,6419,6393,6263,6191,6332,6511,6844,7104,7194,7409,7328,7355,7409,7518,7487,7424,7549,7461,7481,7635,7556,7826,7961,8543,9026,9630,9719,9260,9236,9123,9220,9473,9548,9587,9656,9755,9939,9983,9976,10171,10237,10140,10085,10252,10140,10411,10773,11119,10968,10802,10986,10909,11077,11216,11448,11387,11441,11291,11188,11331,11399,11641,11818,12226,12640,12796,13029,12832,12724,12927,12961,13103,13220,13214,13634,13634,13626,13685,13463,13505,13771,14049,13831,14228,14593,14596,14685,14840,14767,14841,15234,15120,15039,15546,15695,15683,15838,15704,15762,15606,15614,15618,15628,15787,15674,15390,15551,15972,16039,16125,16507,16411,16485,16268,16728,16330,16538,16880
"30","22"," Printing & publishing","WKS270",6863,7159,7073,7167,6947,7004,7345,7651,7936,7888,8295,8064,8014,7831,7703,7472,7497,7519,7571,7536,7735,7586,7709,7737,7815,8183,8339,8543,8556,8572,8643,8858,9113,8881,8846,8865,8506,8695,8988,9260,9282,9125,9161,9414,9519,9763,9523,9584,9795,9907,10012,10036,10150,10177,10058,9886,9982,10084,10239,10178,10140,10156,9980,9928,9681,9853,9977,10378,10580,11030,11436,11477,11668,11587,11667,11616,11492,11563,11584,11721,11960,11972,11965,12209,12312,12675,12944,12947,13014,13191,13146,13130,13192,13301,13357,13381,13759,13433,13065,13100,12946,12798,13201,13018,12841,12918,12885,12642,12587,12511,12627,12874,13542,13664,13471,13101,12983,13088,12676,13074,13113,13411,13389,13737
"31","23"," Chemical & allied prod","WKS280",17776,17935,18104,18395,18550,18674,19295,19746,20582,21021,21419,21640,21526,22234,22550,22703,22850,23121,23050,23307,23286,23553,23662,23642,23533,23585,23351,23280,23828,24306,24696,26293,26339,26163,25617,25785,26088,26439,27214,27362,26948,27391,28240,28751,28950,29220,29547,29767,28933,28588,28854,28884,30155,30457,29287,29520,29707,30247,30368,30571,30483,29762,29226,28478,28105,28292,28973,29529,30263,31878,33046,32184,31696,32361,32639,32243,32134,32624,32326,33268,32500,32064,32568,33317,34083,33799,34379,35032,35898,36690,37147,36682,36758,37376,37775,38264,38922,38807,38753,39214,39424,39386,40179,40658,40740,40704,40975,40640,40885,40734,40601,40948,40828,41910,42529,42351,42661,42738,43001,43437,43680,44216,44740,45744
"32","24"," Petroleum products","WKS290",8188,8610,8872,9079,9249,9490,9863,9708,9421,9101,9116,9669,10126,10323,9840,9811,9741,9954,10288,10318,9943,9728,9741,9339,9057,8795,8626,8332,8646,10204,11041,11176,11989,11370,11358,11643,11789,11684,11755,12052,12118,12761,13070,13222,12677,12317,12190,12496,11735,11586,12198,12614,13222,13761,13769,13256,13478,13795,13271,13245,14351,12869,13530,13938,13872,13464,13905,13241,13626,14069,14178,13493,13110,12834,11378,12779,12165,13523,13171,14013,13565,13152,13640,14360,15101,15138,14990,14684,14785,15461,14894,14487,15890,15434,14981,14891,15224,15655,15813,15795,15638,15474,15615,15521,15578,15457,15144,15029,15326,15051,15271,15890,16120,16087,15560,15717,15895,15609,15480,15294,16061,16097,16379,16515
"33","25"," Rubber & plastic product","WKS300",5716,5767,5641,5746,5739,6018,6122,6386,6430,6534,6824,6848,7059,6995,7036,7057,7084,7172,7082,7358,7506,7687,7847,7948,8093,8328,8582,8649,8845,8957,8945,9054,8944,8850,8898,8953,9024,9064,9109,9503,9777,9921,10149,10263,10318,10464,10613,10782,10819,10902,10984,10658,10698,10276,9901,10080,10263,10305,10510,10328,10059,9944,9697,9648,9429,9748,9950,10139,10436,10971,11037,10828,10796,10866,11057,11125,11324,11197,11058,11233,11287,11304,11528,11562,11619,11878,12129,12283,12715,12693,12865,12725,12728,12938,13322,13480,13473,13563,13568,13674,13391,13528,13745,14087,13974,14211,14297,14340,14548,14544,15006,15193,15595,15645,15504,15555,15858,15834,15998,16190,16388,16592,16564,16724
