"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"11","4","  Manufacturing","A150RX1",12.6,0,-3.4,7.7,21.3,23.3,-8.4,15.5,9.5,16,14,0.4,5.1,-17.2,-0.5,32,-7,-4.2,9.3,18.6,15.6,9.8,-7.4,-5.2,4,13.3,15.5,11.1,24.9
"12","5","    Durable goods","C624RX1",8.7,-1.4,-5.1,5.7,18.2,13.3,-8.6,8.2,4.3,13,13.5,0,1.9,-12.9,-2.2,22.6,-5.9,-5.3,5.3,12.4,10.4,4.9,-9.5,-8,3.8,9.2,11,9.8,15.5
"13","6","    Nondurable goods","C625RX1",3.2,2.1,3.3,1.3,0.6,10.1,1.4,7.5,5.6,1.7,-1.4,0.5,3.5,-3.3,2.5,7.6,-0.3,2.5,4,5.5,4.7,5.1,3.8,4.6,-0.3,3.6,4,0.7,9.1
"14","7","  Wholesale trade","A658RX1",8.2,9,6.8,6.1,3.9,13.5,-6.8,10.1,13.1,14,9.4,5.3,5.8,-2.6,-0.9,16.5,6.3,8.6,7.7,9.5,3.6,8.7,4.2,8.8,6.3,16.2,13.5,2.7,28.5
"15","8","    Durable goods","A661RX1",5.1,3.8,4.8,5.3,4.8,8.6,-2.8,5.8,7,11.1,5.8,4.2,4.7,-3.4,-2.6,10.7,0.7,3.4,4.1,5.4,1.4,3.2,-0.2,3,3.5,10.8,11.4,3.2,17.8
"16","9","    Nondurable goods","A664RX1",2.8,5.4,1.7,0.4,-1.1,4.7,-3.9,4.2,6,2.5,3.4,1,1.1,1,1.9,5.4,6.1,5.6,3.7,4,2.3,5.9,5.1,6.3,2.7,4.8,1,-0.9,9.2
"17","10","      Merchant wholesalers","A151RX1",6.7,8.5,7.3,5.7,2.6,11.1,-7.2,8.4,13.2,15.1,8.3,7.1,4,-2,-0.5,14.5,7.6,8.3,8.4,8.1,2.7,7.8,4.3,9,6.1,14.2,10.4,1.9,25.5
"18","11","        Durable goods","C626RX1",4.3,4,5.6,5,3.9,7.8,-3.2,4.1,8.1,10.6,5.1,5,3.4,-3.1,-2.3,9.8,1.3,3.6,4.4,4.6,0.9,3,0,3.8,3.2,9.5,9.4,2.6,16
"19","12","        Nondurable goods","C627RX1",2.3,4.5,1.5,0.6,-1.2,3.3,-3.8,4.2,4.9,4.2,3.2,2,0.5,1.2,2,4.6,6.9,5.1,4.2,3.6,2,5.2,4.9,5.5,3,4.4,0.3,-1,9.4
"20","13","      Nonmerchant wholesalers","A152RX1",1.5,0.5,-0.5,0.3,1.3,2.3,0.4,1.6,0,-0.9,1.1,-1.4,1.7,-0.5,-0.4,2.1,-1.1,0.3,-0.7,1.4,0.9,1,-0.1,-0.2,0.1,2,3.2,0.8,3
"21","14","        Durable goods","C628RX1",0.8,-0.1,-0.5,0.4,0.8,0.9,0.2,1.4,-0.7,0.6,0.7,-0.5,1.1,-0.3,-0.3,1.1,-0.5,-0.1,-0.2,0.8,0.4,0.3,-0.2,-0.6,0.3,1.3,2,0.6,1.9
"22","15","        Nondurable goods","C629RX1",0.6,0.9,0.2,-0.4,0.2,1.7,0.1,-0.2,1.1,-2.3,0.3,-1,0.6,-0.2,0,1,-0.7,0.6,-0.7,0.5,0.5,0.9,0.2,0.9,-0.4,0.5,0.9,0.1,0.9
"23","16","  Retail trade","A153RX1",7.3,0.1,15.2,9.9,11.1,-2.2,-7.4,10.7,8.6,10.5,-0.1,-4.8,9.1,-3.9,13.8,22.3,15.8,3.5,21.8,7.9,14.9,-1.7,0.6,4.8,15.8,21.1,12.5,7.6,12.9
"24","17","    Durable goods","C630RX1",3.6,-2.7,9.8,5.4,7.9,0.9,-3.2,6.7,6.2,5.6,-0.3,-7.6,2.8,-3.5,7.3,10.5,10.1,0.1,15.3,5.2,6.9,-1.2,-4.8,1.2,8.9,13,8.8,4.7,8.1
"25","18","      Motor vehicle dealers \2\","C631RX1",2.4,-3.9,9,1,6.8,0.2,-3.6,4,6,3.3,0.1,-7.8,0.3,-2.6,4.5,6.8,7.8,-1.6,11.3,2,4.8,-1.6,-4,1.4,4,7.4,5.6,2.5,4.3
"26","19","      Other \2\","A632RX1",1.3,0.6,1.7,3.9,1.8,0.6,-0.1,2.7,0.7,2.3,-0.4,-0.7,2.3,-1,3,3.9,2.7,1.4,4.4,3,2.2,0.2,-0.9,-0.1,4.9,5.7,3.3,2.2,3.8
"27","20","    Nondurable goods","C633RX1",3.6,3,5,4.3,3,-3.1,-4.1,3.8,2.2,4.8,0.3,3.4,6.3,-0.2,6.2,11.5,5.1,3.6,5.5,2.4,7.9,-0.4,5.9,3.6,6.5,7.2,3,2.6,4.7
"28","21","  Other","A154RX1",2.9,0.6,2.1,3,3.3,4.4,1.9,0.8,5.6,4.8,-0.1,-1.4,9.3,-2.9,-1.1,1.3,5.1,3.5,2.5,-1.5,-4.5,-3.7,3.7,2.9,3.5,4.9,2.5,1.8,7.2
"29","22","    Durable goods","C636RX1",0,-0.2,-0.9,0.5,1.4,0.1,-0.3,-0.2,0.3,1.1,0,-0.4,0.3,1.1,-0.9,0.1,-0.5,-1,0.3,-0.4,0.6,-0.1,-0.5,0.6,0.3,0.7,0.1,0.4,1.1
"30","23","    Nondurable goods","C637RX1",2.9,0.9,3.2,2.5,1.7,4.3,2.2,0.9,5.3,3.7,0,-1.1,9,-3.7,-0.3,1.2,5.5,4.4,2.2,-1.2,-5.1,-3.6,4.1,2.3,3.1,4.2,2.5,1.4,6.1
"31","24","Residual","A969RX1",0.2,-2.4,-2.1,0.5,0,-5.7,1.2,-0.5,-1.9,0.5,2.4,-1.5,-0.3,-2.2,-2.5,1.8,-3,-2.4,1.6,1.8,1.3,0.2,-3.4,-3.2,1.4,1.9,3,1,0.9
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Prior to 1981, inventories of auto and home supply stores are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","motor vehicle dealers. Beginning with 1981, these inventories are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates for nonfarm industries other than manufacturing and trade for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1986 and earlier periods are based on the 1972 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","(SIC). Manufacturing estimates for 1981 and earlier periods and trade estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","for for 1966 and earlier periods are based on the 1972 SIC; later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","for these industries are based on the 1987 SIC. The resulting discontinuities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Chained (2005) dollar series for real change in private inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","calculated as the period-to-period change in chained-dollar end-of-period inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Quarterly changes in end-of-period inventories are stated at annual rates. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","formula for the chain-type quantity indexes uses weights of  more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
