"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"16","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",5.271,5.686,5.389,6.207,8.302,9.857,9.47,9.253,9.445,12.869,17.445,19.477,23.468,24.237,23.53,30.018,29.299,31.148,34.008,40.098,45.555,44.598,38.74,33.565,33.242,42.016,51.313,54.076,63.698,66.452,70.955,81.349,63.161,60.721,63.91,77.885,100,131.877,147.659,131.395,93.298,96.827,98.217
"17","10","Equals: Command-basis gross national product \1,3\","CB22RA3",34.484,34.512,35.643,37.495,39.665,39.069,38.938,41.083,42.851,45.183,46.526,45.797,46.95,46.26,48.525,52.064,54.159,55.875,57.518,59.929,62.069,63.183,63.14,65.231,67.166,69.837,71.595,74.347,77.769,81.458,85.384,88.698,90.105,91.861,94.178,97.394,100,102.304,104.562,103.483,100.889,103.816,105.589
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Command-basis net domestic product \4\","C362RA3",36.707,36.574,37.748,39.767,41.987,41.011,40.791,43.099,44.936,47.463,48.576,47.429,48.617,47.474,49.955,53.904,56.154,57.962,59.551,61.988,64.139,65.019,64.769,66.992,68.939,71.79,73.366,76.069,79.567,83.235,86.91,89.859,90.708,92.317,94.432,97.512,100,102.369,103.988,101.977,98.911,101.834,103.131
"20","12","  Net domestic product","A362RA3",35.789,35.701,36.902,38.931,41.209,40.74,40.468,42.754,44.756,47.311,48.668,48.217,49.34,47.953,50.205,54.031,56.165,58.007,59.748,62.197,64.364,65.393,64.948,67.206,69.078,71.907,73.532,76.156,79.427,82.658,86.408,89.668,90.124,91.533,93.806,97.086,100,102.512,104.184,103.34,98.966,102.271,103.981
"21","13","  Command-basis net national product \4\","C027RA3",36.639,36.505,37.701,39.725,42.045,41.127,40.799,43.17,45.048,47.55,48.834,47.674,48.776,47.671,50.116,53.996,56.064,57.716,59.284,61.769,63.922,64.888,64.571,66.755,68.702,71.439,73.058,75.752,79.127,82.695,86.445,89.462,90.437,91.996,94.269,97.511,100,102.106,104.12,102.465,99.288,102.46,104.144
"22","14","  Net national product","A027RA3",35.748,35.658,36.879,38.912,41.283,40.88,40.497,42.838,44.879,47.407,48.933,48.479,49.508,48.159,50.373,54.132,56.081,57.771,59.487,61.984,64.147,65.256,64.748,66.976,68.835,71.549,73.212,75.828,78.982,82.122,85.945,89.271,89.855,91.22,93.648,97.089,100,102.246,104.313,103.828,99.359,102.929,105.026
"23",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","    Real gross domestic product","A191RL1",3.1,0.2,3.4,5.3,5.8,-0.6,-0.2,5.4,4.6,5.6,3.1,-0.3,2.5,-1.9,4.5,7.2,4.1,3.5,3.2,4.1,3.6,1.9,-0.2,3.4,2.9,4.1,2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.5,3.1,2.7,1.9,-0.3,-3.5,3,1.7
"25","16","    Command-basis gross domestic product","C191RL1",3.1,0.1,3.2,5.2,5.6,-1.6,-0.1,5.4,4.2,5.5,2.7,-1.5,2.7,-1.5,5,7.4,4.3,3.4,3,4.1,3.6,1.7,0,3.4,3,4.1,2.5,3.8,4.7,4.8,4.7,3.8,1.5,2,2.4,3.3,2.7,2.5,1.9,-1.3,-2.4,2.7,1.4
"26","17","    Real gross national product","A001RL1",3.1,0.2,3.4,5.3,6,-0.4,-0.5,5.5,4.7,5.5,3.4,-0.3,2.4,-1.9,4.4,7.1,3.8,3.2,3.2,4.2,3.6,2,-0.3,3.4,2.8,3.9,2.6,3.7,4.3,4.3,4.9,4.2,1.2,1.8,2.7,3.6,3.1,2.4,2.3,0,-3.6,3.3,2.1
"27","18","    Command-basis gross national product","CB22RL1",3.1,0.1,3.3,5.2,5.8,-1.5,-0.3,5.5,4.3,5.4,3,-1.6,2.5,-1.5,4.9,7.3,4,3.2,2.9,4.2,3.6,1.8,-0.1,3.3,3,4,2.5,3.8,4.6,4.7,4.8,3.9,1.6,1.9,2.5,3.4,2.7,2.3,2.2,-1,-2.5,2.9,1.7
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
