"","Table 5#7#9A# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"30","22","    Nondurable goods","A384RD3",32.034,32.438,32.519,32.817,33.308,33.351,33.263,33.394,33.765,33.977,34.038,34.09,34.437,34.768,35.091,35.812,37.692,39.39,39.341,40.514,40.776,41.352,42.887,43.554,43.818,44.838,45.638,45.898,46.048,46.962,47.132,47.768,48.955,49.383,49.243,49.728,50.784,52.002,52.768,53.864,55.79,57.081,58.553,60.224,63.072,64.297,66.098,65.401,66.546,67.166,67.587,67.819,68.105,68.645,68.904,69.016,69.586,70.054,70.657,71.182,71.825,71.835,71.868,72.077,72.003,72.234,72.278,72.981,72.146,72.621,73.197,73.289,74.119,75.064,75.515,76.188,76.59,77.663,78.574,79.07,80.239,81.157,81.191,81.835,82.678,83.093,84.549,85.133,84.72,84.743,85.066,85.557,85.952,86.53,86.895,87.034,87.285,87.415,86.884,86.909,86.901,87.257,87.678,87.708,88.503,89.213,89.473,89.884,90.582,90.846,91.151,91.536,91.465,91.204,91.279,91.23
"31","23","  Other","A385RD3",19.507,19.713,20.194,20.699,21.198,21.564,21.958,21.988,22.011,22.152,22.379,22.562,22.624,22.683,22.965,23.291,23.846,24.32,24.853,26.479,28.691,31.56,33.539,34.582,34.319,34.524,34.748,35.355,35.753,36.388,37.666,38.429,39.91,40.539,41.254,41.795,42.525,43.844,44.753,45.97,47.836,50.129,53.074,55.268,60.16,60.248,62.371,65.277,68.835,70.233,71.222,72.151,72.82,73.651,74.315,74.73,73.513,73.386,73.849,73.792,74.496,75.111,74.957,74.625,73.9,73.329,72.97,73.346,70.216,67.968,67.038,67.446,68.607,69.215,69.726,69.368,69.009,68.962,69.011,70.01,71.692,72.837,72.973,73.94,74.076,73.432,76.15,77.919,74.858,74.266,74.554,74.381,73.317,74.715,75.727,76.001,75.317,76.234,75.693,75.59,76.002,75.726,76.142,75.926,77.172,78.328,77.567,78.821,80.844,80.908,80.458,83.402,83.789,82.325,82.561,83.377
"32","24","    Durable goods","A386RD3",23.698,22.752,22.579,22.757,22.834,22.897,23.111,23.442,23.961,24.195,25.188,25.547,25.551,25.756,26.173,26.775,27.882,28.484,28.662,29.881,31.049,33.18,34.682,34.761,35.125,35.614,35.809,36.903,37.711,37.975,39.337,40.687,40.747,41.396,43.347,43.913,45.399,46.825,47.749,49.13,50.482,51.303,52.619,52.884,54.214,54.096,55.256,56.702,57.167,58.364,58.405,58.956,58.8,59.173,59.232,59.467,60.35,61.039,61.608,62.178,62.692,62.54,63.155,63.536,63.266,64.1,63.464,63.577,63.165,63.476,63.641,63.404,63.888,64.187,65.307,66.56,67.491,68.146,68.711,69.491,70.265,70.671,70.824,70.558,70.664,70.603,70.781,70.713,70.892,71.71,71.065,71.01,72.475,72.419,72.66,73.073,76.337,75.448,76.285,77.626,78.393,78.741,79.742,80.638,81.865,82.058,82.531,81.574,82.486,82.686,83.542,83.235,83.567,84.066,83.99,83.502
"33","25","    Nondurable goods","A387RD3",19.064,19.372,19.913,20.452,20.988,21.38,21.787,21.792,21.772,21.906,22.074,22.245,22.312,22.36,22.632,22.937,23.445,23.905,24.464,26.121,28.426,31.355,33.371,34.496,34.181,34.363,34.588,35.154,35.517,36.182,37.448,38.166,39.753,40.38,40.994,41.535,42.204,43.511,44.416,45.617,47.517,49.933,53.014,55.365,60.554,60.66,62.852,65.869,69.672,71.08,72.142,73.095,73.83,74.697,75.411,75.842,74.44,74.242,74.697,74.59,75.308,75.995,75.769,75.377,74.619,73.94,73.604,74,70.688,68.277,67.284,67.732,68.933,69.559,70.035,69.584,69.149,69.063,69.083,70.095,71.83,73.02,73.155,74.202,74.337,73.65,76.545,78.439,75.17,74.497,74.836,74.653,73.425,74.922,75.983,76.246,75.315,76.336,75.708,75.509,75.899,75.58,75.956,75.663,76.911,78.136,77.289,78.697,80.801,80.852,80.309,83.488,83.866,82.256,82.523,83.428
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","periods are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1972 SIC; later estimates for these industries are based on the 1987 SIC.  The resulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
