"","Table 5#7#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"13","5","  Durable goods industries","N377RD3",NA,NA,NA,104.985,104.438,103.538,102.768,102.33,101.071,100.401,99.389,98.073,97.481,97.748,98.401,99.302,100.239,99.79,100.287,99.644,99.633,98.926,98.382,97.503,98.203,98.333,98.281,98.154,99.051,98.804,98.862,99.874,102.347,104.465,107.605,108.961,109.518,107.879,108.993
"14","6","  Nondurable goods industries","N378RD3",NA,NA,NA,98.994,97.485,97.21,96.918,96.817,95.094,94.565,93.86,92.692,91.782,92.494,94.501,96.325,98.655,100.081,100.817,102.189,102.42,101.523,99.134,95.429,95.961,97.164,99.166,100.968,104.325,103.26,103.602,106.158,107.349,110.957,114.829,116.978,119.611,122.319,127.724
"15","7","Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.804,98.37,99.836,99.788,101.117,100.447,101.147,102.938,105.018,106.17,107.254,108.277,109.426,109.488,111.549
"16","8","  Durable goods industries","N380RD3",NA,NA,NA,108.373,107.656,106.769,105.993,105.14,103.879,102.717,101.484,100.672,100.084,99.901,99.97,100.442,100.437,100.225,99.705,99.166,98.314,98.082,97.628,97.073,97.079,97.437,97.539,97.458,97.707,97.65,98.034,99.046,101.141,102.153,103.917,104.891,105.088,104.215,105.014
"17","9","  Nondurable goods industries","N381RD3",NA,NA,NA,97.876,97.722,96.287,96.288,95.872,94.92,94.137,92.425,92.766,92.932,93.904,95.532,96.829,99.769,99.967,100.132,101.936,101.797,100.987,100.166,98.11,99.001,99.872,103.304,103.311,106.214,104.653,105.812,108.731,110.793,112.16,112.205,113.308,115.94,117.466,121.515
"18","10","Retail trade","N382RD3",NA,NA,NA,100.868,100.599,99.89,99.5,99.106,98.918,98.839,98.764,98.807,98.378,98.74,99.368,99.553,99.708,100.04,100.136,100.455,100.499,100.544,100.444,99.83,99.717,99.717,99.846,99.684,100.343,100.078,100.007,99.995,100.606,101.447,102.206,102.91,103.585,103.927,104.825
"19","11","  Motor vehicle and parts dealers","N864RD3",NA,NA,NA,100.339,99.953,99.017,98.316,97.713,97.771,97.977,98.533,98.857,97.943,98.581,99.528,99.674,99.32,100.009,100.206,101.024,100.63,100.475,100.459,99.683,99.021,98.822,98.491,97.608,98.399,97.604,96.608,95.4,95.736,96.301,97.159,97.817,97.828,98.124,98.678
"20","12","  Food and beverage stores","N239RD3",NA,NA,NA,96.708,96.965,96.409,96.75,96.586,96.686,96.825,97.374,98.077,97.876,98.33,99.284,98.812,99.293,100.174,100.41,100.973,102.654,103.308,103.838,103.343,104.068,103.099,103.279,103.367,104.508,105.665,107.341,108.886,109.547,111.379,111.118,111.748,113.099,113.365,113.363
"21","13","  General merchandise stores","N240RD3",NA,NA,NA,98.478,98.463,98.492,98.563,98.699,99.1,99.257,99.431,99.518,99.332,99.375,99.662,99.764,99.909,100.005,100.081,100.176,100.653,100.85,100.907,100.733,100.453,100.452,100.584,100.872,101.166,101.441,101.613,102.011,102.432,102.964,103.157,103.692,104.402,104.793,105.203
"22","14","  Other retail stores","N865RD3",NA,NA,NA,103.034,102.636,101.753,101.25,100.749,100.095,99.677,98.941,98.648,98.426,98.696,99.165,99.534,100.001,100.056,100.06,100.039,99.955,99.983,99.644,98.968,99.162,99.489,99.955,100.149,100.733,100.449,100.75,101.322,102.225,103.244,104.292,105.104,106.206,106.579,108.075
"23","15","Other industries","N385RD3",NA,NA,NA,99.287,98.861,98.385,98.527,98.626,98.07,97.691,97.43,96.703,96.215,96.688,97.35,98.204,99.444,99.734,100.092,100.557,100.915,100.97,100.004,98.888,98.142,98.357,98.609,99.22,100.51,99.977,100.223,100.259,100.232,101.026,101.79,102.908,103.859,104.502,106.107
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,102.625,102.479,101.525,101.016,100.515,99.259,98.378,97.178,96.525,96.266,96.633,97.538,98.498,99.769,99.889,99.988,101.004,101.336,100.661,99.416,97.944,98.278,98.732,99.566,100.424,101.906,101.476,102.505,103.452,105.181,106.937,107.923,109.106,111.243,111.369,113.398
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,105.495,104.946,104.038,103.24,102.613,101.599,100.914,100.09,99.249,98.621,98.801,99.258,99.79,100.136,100.009,100.038,99.72,99.345,98.976,98.576,97.883,98.073,98.226,98.198,97.919,98.508,98.276,98.238,98.71,100.47,101.924,103.947,104.968,105.397,104.557,105.338
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,100.073,100.267,99.275,99.014,98.62,97.157,96.105,94.579,94.091,94.157,94.69,95.992,97.336,99.439,99.783,99.946,102.186,103.159,102.202,100.2,98.045,98.504,99.216,100.796,102.645,104.916,104.313,106.284,107.654,109.356,111.386,111.425,112.757,116.461,117.475,120.649
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,102.035,101.532,100.652,100.239,99.929,98.879,98.356,97.575,96.964,96.438,96.904,97.826,98.622,99.549,99.881,100.211,100.687,100.805,100.118,99.12,97.782,98,98.555,99.222,99.597,101.245,100.717,100.886,101.815,103.39,105.039,106.748,108.06,109.118,109.479,111.696
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.804,98.37,99.836,99.788,101.117,100.447,101.147,102.938,105.018,106.17,107.254,108.277,109.426,109.488,111.549
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,104.571,104.286,103.329,102.818,102.191,101.225,100.223,98.784,98.49,98.099,98.171,98.663,99.288,100.23,100.144,99.778,100.129,99.69,99.271,98.805,97.941,98.17,98.672,100.125,99.926,100.898,100.634,101.271,103.001,105.071,106.032,106.742,107.641,108.611,108.495,109.798
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,108.063,107.399,106.555,105.818,104.999,103.769,102.626,101.402,100.596,100.017,99.843,99.937,100.438,100.443,100.232,99.707,99.163,98.327,98.085,97.646,97.102,97.114,97.5,97.613,97.543,97.8,97.747,98.141,99.189,101.332,102.342,104.157,105.152,105.329,104.418,105.242
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,98.832,99.142,98.008,97.86,97.542,96.996,96.221,94.435,94.975,94.897,95.377,96.531,97.362,99.87,99.992,99.896,101.759,101.977,101.256,100.737,99.374,99.933,100.611,104.025,103.645,105.677,105.101,106.1,108.834,110.807,111.701,110.68,111.436,113.678,114.845,116.923
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,102.752,101.095,99.166,98.91,97.92,95.781,94.7,93.39,92.606,92.872,94.246,95.947,97.714,99.902,100.022,100.4,100.729,99.325,98.7,97.329,94.402,95.591,96.557,98.094,98.991,102.57,99.34,100.436,102.615,104.767,107.133,110.573,112.396,114.692,115.891,122.826
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
