"","Table 3#11#3# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138"
"11","3","  Gross output of general government","W085RA3",100.055,100.07,94.968,93.453,92.879,92.565,88.506,88.305,89.271,89.959,86.694,86.193,86.514,86.027,84.598,84.362,83.262,84.599,82.924,82.507,83.303,84.92,85.562,83.458,84.522,85.537,85.874,84.962,86.081,87.73,84.973,86.401,88.476,89.389,90.452,90.778,93.105,94.484,95.441,96.704,98.816,99.618,102.252,104.61,104.797,106.307,106.136,108.177,108.208,109.239,109.743,111.74,113.127,114.499,118.352,119.122,118.635,122.379,124.119,121.171,123.892,125.739,127.009,127.957,128.509,127.146,126.186,128.818,124.098,127.537,127.588,127.662,127.541,126.245,123.908,126.995,129.44,128.205,125.067,121.239,119.149,119.008,120.627,119.981,116.743,114.837,114.024,113.177,110.251,110.049,111.815,108.565,106.942,106.512,106.07,102.436,103.199,104.765,102.999,104.093,101.531,103.923,102.005,101.553,97.583,99.922,100.282,100.452,99.51,98.525,101.626,104.245,98.007,101.857,99.817,100.32,102.994,102.895,103.231,106.76,107.798,109.853,111.137,115.594,114.129,124.19,121.659,123.776,127.285,127.517,130.808,128.416,131.351,131.656,134.665
"12","4","    Value added","W086RA3",118.144,115.633,115.388,115.301,112.535,110.575,109.13,108.807,108.604,108.212,107.686,108.02,107.461,106.659,106.355,105.989,105.645,105.125,104.729,104.58,104.327,104.332,104.556,104.575,104.855,105.064,105.357,105.065,104.758,104.554,104.732,104.776,104.801,105.276,106.057,106.542,107.588,108.264,109.283,109.881,110.456,111.427,111.925,112.498,113.524,113.877,114.508,114.905,115.86,116.777,117.619,118.407,119.525,120.601,121.864,122.31,123.006,123.45,124.359,125.122,125.618,126.739,128.148,128.457,128.039,127.791,127.948,128.122,128.357,129.175,130.04,130.213,129.933,129.918,130.111,130.945,133.492,132.094,130.138,128.007,127.072,126.517,125.64,124.694,124.126,122.829,121.939,120.162,119.161,118.241,117.23,115.528,114.425,113.384,112.28,110.278,109.592,109.384,108.79,107.417,106.667,105.792,105.47,104.352,103.716,102.873,102.717,101.664,100.97,100.543,100.717,100.55,99.83,100.154,100.132,99.884,100.269,100.409,100.555,100.567,101.721,102.415,102.762,102.462,104.233,105.365,105.625,105.679,106.715,106.503,107.363,107.932,108.095,107.811,107.908
"13","5","      Compensation of general government employees","B237RA3",147.507,144.009,144.194,144.693,140.684,137.931,135.995,135.824,135.888,135.627,134.927,135.642,134.896,133.689,133.221,132.598,132.005,131.141,130.429,130.131,129.671,129.595,129.89,129.872,130.371,130.609,131.041,130.49,129.872,129.373,129.494,129.456,129.256,129.802,130.854,131.385,132.866,133.729,135.061,135.701,136.264,137.409,137.783,138.209,139.334,139.352,139.759,139.68,140.531,141.266,141.822,142.237,143.101,143.852,144.87,144.57,144.697,144.421,144.838,145.058,144.878,145.712,147.045,146.763,145.377,144.332,143.971,143.624,143.436,144.133,144.926,144.635,143.665,143.127,142.964,143.767,147.269,144.796,141.479,137.979,136.361,135.349,133.901,132.388,131.49,129.518,128.205,125.626,124.252,123.02,121.671,119.276,117.832,116.501,115.044,112.213,111.412,111.274,110.581,108.75,107.818,106.734,106.45,105.02,104.315,103.279,103.215,101.806,100.904,100.412,100.751,100.597,99.635,100.187,100.222,99.956,100.465,100.66,100.849,100.892,102.557,103.526,103.992,103.548,105.911,107.354,107.6,107.539,108.778,108.303,109.269,109.839,109.854,109.239,109.188
"14","6","        Military","B4080A3",151.86,146.107,146.285,147.258,143.935,139.909,137.49,136.634,135.879,134.987,133.289,134.031,133.32,132.095,131.005,130.172,129.385,128.719,127.933,127.645,127.52,127.39,127.47,126.982,126.621,125.89,126.267,125.626,124.72,123.756,123.854,124.111,124.151,124.635,126.055,126.715,128.187,128.723,130.131,130.705,131.195,131.497,132.05,132.176,133.715,133.851,134.244,134.119,135.093,135.495,135.923,136.039,137.139,137.566,138.195,137.602,138.034,138.414,139.372,139.846,140.295,139.886,140.936,141.398,140.518,139.103,139.156,139.505,138.737,138.385,138.955,139.406,138.626,137.989,138.262,141.889,148.083,143.513,137.697,133.676,131.369,129.068,127.755,126.669,124.367,122.738,121.581,119.655,118.502,117.182,115.712,113.444,112.257,111.069,109.338,108.045,107.318,106.264,105.958,104.999,104.079,103.12,103.367,102.542,101.857,100.872,101.045,100.008,99.066,98.646,99.552,99.315,99.164,99.199,100.582,101.056,101.83,102.122,101.718,102.461,105.289,105.876,106.15,105.844,109.583,112.704,112.317,111.591,113.439,112.338,112.239,113.298,113.316,111.969,111.47
"15","7","        Civilian","W090RA3",138.896,139.658,139.853,139.45,134.144,133.823,132.814,133.964,135.627,136.609,137.881,138.537,137.727,136.556,137.279,137.061,136.844,135.599,135.029,134.715,133.64,133.664,134.349,135.19,137.27,139.305,139.838,139.461,139.39,139.771,139.936,139.334,138.679,139.343,139.688,139.964,141.453,142.949,144.121,144.885,145.582,148.453,148.451,149.494,149.765,149.539,149.964,149.968,150.514,152.001,152.838,153.943,154.24,155.744,157.669,158.082,157.468,155.63,154.767,154.388,152.745,156.471,158.439,156.432,153.896,153.709,152.427,150.55,151.653,154.654,155.912,154.003,152.59,152.263,151.175,146.106,144.201,145.944,147.696,145.308,145.15,146.925,145.202,142.817,144.775,142.121,140.511,136.664,134.876,133.822,132.706,130.074,128.144,126.542,125.596,119.904,118.958,120.546,119.114,115.623,114.681,113.365,112.093,109.553,108.81,107.68,107.178,105.085,104.254,103.628,102.933,102.933,100.489,101.985,99.559,97.966,97.995,98.007,99.27,98.024,97.551,99.215,100.046,99.351,99.088,97.296,98.792,100.038,100.091,100.808,103.831,103.456,103.465,104.266,105.077
"16","8","      Consumption of general government fixed capital \2\","B432RA3",65.555,64.635,63.859,63.018,62.209,61.52,60.893,60.408,59.876,59.36,59.124,58.921,58.67,58.497,58.444,58.461,58.489,58.484,58.55,58.616,58.664,58.776,58.88,58.946,58.904,59.052,59.129,59.208,59.347,59.559,59.789,59.938,60.265,60.591,60.924,61.295,61.629,61.98,62.463,62.941,63.477,64.107,64.728,65.448,66.236,67.032,67.919,68.945,69.975,71.118,72.355,73.685,75.149,76.706,78.31,79.974,81.601,83.254,84.971,86.646,88.315,89.918,91.43,92.788,94.117,95.326,96.432,97.554,98.569,99.605,100.597,101.627,102.634,103.596,104.448,105.32,106.026,106.677,107.336,107.864,108.302,108.682,108.975,109.173,109.257,109.298,109.243,109.056,108.79,108.487,108.143,107.792,107.358,106.892,106.486,106.128,105.688,105.346,104.959,104.541,104.171,103.742,103.339,102.889,102.4,101.981,101.625,101.35,101.117,100.837,100.644,100.448,100.277,100.078,99.926,99.719,99.809,99.819,99.864,99.802,99.683,99.674,99.721,99.807,99.984,100.263,100.561,100.934,101.392,101.939,102.496,103.066,103.656,104.331,104.859
"17","9","    Intermediate goods and services purchased \3\","W087RA3",77.402,80.759,69.207,65.747,68.087,69.917,62.401,62.329,64.793,66.837,60.194,58.679,60.064,59.967,57.18,57.105,55.068,58.695,55.452,54.709,56.795,60.386,61.534,56.824,58.855,60.853,61.238,59.572,62.402,66.264,60.044,63.07,67.509,68.913,70.272,70.412,74.161,76.309,77.157,79.154,83.051,83.629,88.75,93.196,92.373,95.251,94.126,98.119,97.012,98.188,98.254,101.803,103.516,105.27,112.536,113.728,111.669,119.848,122.702,114.734,120.457,123.278,124.349,126.152,128.036,125.152,122.649,128.673,117.057,124.171,123.065,123,123.094,120.029,114.226,120.371,122.694,121.711,116.921,110.695,106.9,107.348,112.623,112.398,105.291,102.492,101.793,102.312,96.554,97.424,103.296,97.774,95.39,95.869,96.404,90.337,93.272,97.541,93.975,98.84,93.503,100.946,96.558,97.125,87.969,95.279,96.439,98.516,97.192,95.321,103.081,110.099,95.09,104.57,99.322,101.017,107.329,106.85,107.487,116.697,117.516,121.871,124.731,137.161,130.182,155.647,148.261,153.936,161.766,162.801,170.383,162.787,170.602,171.952,180.068
"18","10","      Durable goods","B998RA3",75.392,76.53,72.082,68.499,70.979,70.159,62.319,66.855,59.578,66.145,49.417,58.612,61.256,60.511,61.951,59.055,53.177,60.542,48.843,55.396,63.089,79.216,65.23,68.521,75.833,80.952,76.449,75.104,77.347,87.05,80.142,88.727,87.225,88.646,91.222,82.22,96.083,105.139,97.654,108.316,101.216,110.139,113.089,122.168,128.092,134.58,132.018,133.372,137.982,137.475,123.699,134.572,133.007,139.344,153.253,147.03,137.26,158.096,163.846,152.909,153.237,158.632,171.428,166.772,167.075,163.855,163.199,174.15,160.059,167.034,162.873,151.613,157.643,154.038,151.537,155.301,150.777,153.057,146.805,139.661,134.638,129.483,133.275,133.703,122.054,140.887,110.961,109.304,104.058,101.943,109.796,98.969,97.507,88.314,106.122,85.004,87.024,99.767,98.576,88.622,90.485,99.071,91.629,94.314,90.271,91.868,101.202,96.38,89.808,102.673,110.451,100.123,101.843,100.969,100.995,96.193,94.262,102.537,109.708,96.933,99.062,104.51,111.342,104.093,102.002,119.146,116.408,115.822,119.131,128.421,128.974,130.917,124.954,131.005,136.033
"19","11","        Aircraft","B999RA3",92.555,91.473,77.166,69.381,76.29,69.028,66.032,64.81,54.98,62.471,41.475,55.648,54.166,42.226,54.65,46.706,37.906,46.635,35.857,45.166,56.25,71.587,63.433,61.586,60.897,66.221,61.311,69.91,68.25,89.591,74.6,89.158,88.04,84.737,89.449,87.071,109.528,111.952,99.492,129.125,118.498,125.947,135.417,146.691,155.718,160.815,160.461,163.735,157.468,154.5,141.921,151.842,155.36,156.239,171.469,167.713,155.577,192.183,191.337,180.661,180.425,167.075,208.243,214.961,204.476,196.273,192.651,204.565,194.503,193.956,186.087,178.013,169.26,163.795,153.982,174.04,153.804,148.726,144.42,144.457,134.353,130.544,122.875,128.059,111.301,136.655,95.619,103.481,91.847,89.634,100.173,97.819,102.477,71.926,106.278,81.034,87.488,89.839,93.077,88.332,93.524,104.64,87.178,97.975,93.757,98.969,102.658,111.531,97.725,111.613,118.168,102.215,106.87,97.339,103.396,92.395,88.975,97.154,113.544,94.919,93.039,99.677,102.984,100.314,94.011,113.938,103.64,106.845,104.549,109.702,118.269,117.133,109.87,111.721,112.304
"20","12","        Missiles","B277RA3",126.729,122.92,188.775,156.233,148.832,143.912,151.274,174.109,161.945,150.095,120.498,133.692,147.382,156.414,154.775,143.311,123.907,182.875,122.73,116.85,117.985,176.739,129.217,131.166,178.693,205.698,165.283,161.054,158.854,160.603,149.195,148.987,157.151,162.197,166.726,143.128,163.383,175.21,178.865,176.074,170.326,203.982,182.471,188.628,180.945,204.272,183.059,199.703,187.655,174.972,147.375,203.916,144.218,145.519,178.522,200.689,177.256,204.382,211.772,186.967,194.776,227.03,199.278,189.505,208.52,222.376,197.888,269.96,206.828,236.996,230.164,202.984,250.768,208.471,243.299,211.848,210.193,240.074,235.38,210.099,191.99,190.581,207.929,182.328,183.038,153.404,177.677,148.592,145.618,134.528,154.222,119.624,95.272,122.137,134.527,103.933,95.993,118.252,117.652,92.828,89.678,98.614,93.767,94.957,86.679,75.973,128.361,84.186,87.239,88.674,93.478,94.435,88.994,100.197,99.694,111.114,113.353,109.88,109.172,100.204,96.187,88.039,110.508,111.219,87.639,106.671,105.878,122.101,109.182,141.246,114.186,111.502,125.42,143.825,121.387
"21","13","        Ships","B278RA3",25.869,40.098,30.76,32.669,37.066,40.002,27.258,25.33,22.36,24.855,26.603,28.769,26.754,34.086,31.922,37.042,33.284,34.847,28.462,58.788,104.145,107.368,51.971,86.37,116.268,110.764,86.321,92.024,105.485,124.46,113.658,117.325,112.925,111.756,104.771,48.245,65.542,96.048,105.569,79.635,53.841,83.437,96.596,113.291,127.508,137.732,132.755,108.9,146.986,129.2,132.664,76.659,82.903,71.849,81.42,60.037,65.54,77.567,78.635,57.551,65.559,97.32,126.767,61.248,89.066,88.732,86.416,103.992,75.761,98.064,86.962,85.307,115.198,141.24,131.314,150.064,132.161,154.208,170.695,147.25,156.218,149.146,163.934,186.741,149.949,277.805,129.509,137.925,125.771,122.621,120.754,106.551,84.921,97.502,116.66,53.352,50.888,95.648,68.72,56.719,72.392,72.744,73.887,65.716,70.53,61.528,64.357,64.233,78.062,95.731,102.205,86.54,101.342,106.397,101.234,91.027,89.301,100.786,98.82,80.669,95.774,98.235,109.969,87.365,92.359,98.365,100.751,93.205,91.421,110.161,118.321,95.877,95.173,100.326,111.208
"22","14","        Vehicles","B288RA3",186.095,266.072,176.375,214.04,162.725,264.491,151.299,154.223,159.034,209.705,116.087,154.604,207.923,261.333,274.545,285.314,253.561,222.262,194.887,250.234,222.438,299.482,271.312,323.036,314.18,352.047,438.619,361.31,355.381,280.523,357.274,399.766,330.52,440.648,450.493,372.222,348.587,453.874,367.858,401.762,391.313,289.838,346.445,370.33,455.985,457.244,450.405,439.949,580.724,633.96,553.723,529.627,650.622,769.455,730.262,641.065,662.42,711.143,722.408,671.909,672.163,768.435,592.59,497.295,524.709,614.862,652.46,495.633,430.411,471.094,410.76,400.768,355.626,405.539,386.544,385.199,361.534,514.97,349.788,304.373,278.391,292.036,286.616,299.289,255.851,299.612,208.179,184.065,173.153,171.311,165.339,158.188,191.233,197.73,211.802,145.577,154.808,157.864,176.237,155.212,189.562,206.703,175.887,173.073,152.07,149.543,145.027,137.443,117.34,119.784,112.654,111.318,77.582,112.664,103.059,106.695,101.183,100.305,117.678,102.43,98.806,103.135,104.562,108.154,99.969,112.02,111.227,112.601,99.145,91.819,106.449,116.272,116.409,131.94,171.211
"23","15","        Electronics","B388RA3",55.484,49.46,43.096,50.317,48.312,47.142,37.65,47.015,41.054,53.272,34.067,39.841,44.43,49.581,30.73,37.911,33.409,35.097,28.647,27.331,31.888,35.798,31.688,39.909,42.761,42.256,45.497,35.687,39.356,40.928,38.832,44.685,44.092,49.815,55.396,49.226,54.25,59.972,57.002,57.094,59.809,62.324,64.906,70.187,72.25,75.966,76.698,77.501,80.109,87.019,75.83,93.555,94.06,99.126,110.591,102.899,100.143,106.835,108.501,111.128,114.688,120.427,116.186,114.912,114.541,116.187,107.631,121.467,115.071,115.422,127.749,110.467,124.693,103.859,127.437,102.254,110.187,119.03,99.422,85.733,96.122,94.095,108.012,101.181,108.58,119.037,105.479,91.399,98.139,94.461,93.746,79.27,78.545,72.105,80.937,65.121,68.184,87.858,83.987,69.862,76.157,79.74,82.645,74.337,78.89,76.369,78.547,74.954,79.889,91.339,98.653,88.654,100.624,104.475,93.083,101.818,98.512,104.729,107.39,105.311,109.529,116.409,122.334,103.463,123.75,136.616,151.012,129.81,145.509,161.557,162.612,167.618,167.6,188.916,220.366
"24","16","        Other durable goods","B389RA3",29.333,31.465,29.054,30.43,37.929,39.148,30.881,34.757,32.034,34.505,40.283,38.884,37.714,40.582,41.238,39.143,47.718,39.72,43.945,44.484,43.115,47.372,41.867,37.596,41.132,39.366,42.172,36.299,44.927,47.412,47.675,47.295,47.932,41.388,37.513,41.317,45.169,50.961,50.186,43.213,40.259,55.218,45.626,50.618,46.751,50.569,51.056,48.91,62.971,66.756,58.803,62.067,65.248,81.363,89.398,73.942,65.315,55.897,80.842,73.45,65.78,81.729,83.569,80.185,83.999,68.084,88.693,78.434,85.946,92.828,92.977,86.235,92.004,111.531,89.207,95.947,118.478,94.69,104.329,105.749,105.206,91.877,102.446,104.53,94.206,97.769,90.191,92.889,93.687,97.963,103.952,91.869,90.92,96.799,89.866,95.621,93.458,109.694,105.703,97.541,84.761,92.375,97.623,95.652,88.493,94.921,102.073,88.235,80.535,98.003,112.369,107.424,103.03,103.09,101.035,92.846,93.154,109.089,105.302,97.959,107.405,117.444,123.554,112.023,115.783,132.467,132.778,128.959,149.268,151.979,145.454,159.571,140.425,138.917,144.957
"25","17","      Nondurable goods","B725RA3",257.672,254.365,225.3,209.975,201.457,197.071,147.85,157.465,153.714,171.884,144.176,138.466,139.675,140.366,100.643,123.127,106.653,100.491,107.33,96.655,96.155,85.746,104.806,97.386,90.949,94.862,108.263,93.055,94.15,99.604,104.038,101.02,113.686,101.642,110.012,110.717,110.984,116.778,112.98,120.437,112.644,115.289,114.778,116.377,108.723,130.982,126.677,114.416,103.282,115.604,115.421,120.808,125.845,110.598,110.76,100.064,129.045,151.503,137.089,146.57,128.785,131.342,141.852,150.873,137.885,139.849,122.159,133.034,133.545,132.837,132.054,117.683,112.826,116.543,100.592,130.743,135.053,113.995,111.658,108.429,103.41,118.97,112.177,99.396,99.524,100.695,104.522,93.355,88.814,85.534,89.752,98.217,76.12,77.423,76.158,67.641,79.774,85.914,85.952,76.663,84.984,78.824,84.216,82.678,82.871,80.911,92.026,86.628,84.239,92.571,111.03,93.463,110.466,106.456,92.182,90.896,95.402,105.532,100.381,117.54,120.939,136.963,115.414,129.132,140.808,150.202,123.315,130.928,165.904,152.421,161.088,146.86,168.407,171.676,164.918
