"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"11","4","Equals: Gross national product","A001RX1",872.6,797.8,745.7,648.4,639.5,707.8,771.1,870.3,915.9,884.7,955.9,1038.5,1217,1441.3,1676.7,1812.6,1791.6,1596.1,1583.5,1654,1644.5,1788.2,1928.4,2002.1,2092.8,2079.4,2228.5,2273.1,2319.2,2294.7,2457.4,2519.4,2579.3,2736.9,2857.2,3023.6,3217.3,3423.7,3510.1,3680,3792,3798.2,3927.8,4136.2,4383.6,4367.5,4348.4,4585.3,4800.3,5064.4,5240.1,5227.6,5349.7,5249.7,5482.5,5869.3,6093.4,6290.6,6500.9,6775.2,7015.4,7155.2,7136.8,7371.8,7568.6,7864.2,8069.8,8365.3,8737.5,9088.7,9504.7,9855.9,9933.6,10079,10385.2,10805.7
"12","5","Less: Consumption of fixed capital","A262RX1",74.7,76.8,76.7,75,72.7,71.2,70.9,72.2,74.3,75.7,76.6,78.7,83.5,93.7,110.3,129.5,141.7,142.8,139.3,138.2,138.8,141,146.1,153,161.3,168.8,175.1,181,186.6,193.6,194.5,202.6,208.6,215,225.1,233.3,245.3,260.9,273.3,285.5,302.3,314,321.6,339.7,356,373.4,384.4,396.8,415.4,438.8,461.7,479.2,494.6,514.1,531.4,561.2,595.3,612.2,639.6,662,697.6,724.1,757.4,784.6,800.3,848.5,881.1,921.4,978,1041.1,1113.1,1187.8,1275.2,1287.6,1320,1391.6
"13","6","        Private","A024RX1",72.1,73.9,73.4,71.2,68.4,66.4,65.7,66.3,68.1,68.9,69.2,70.6,72.9,73.1,71.2,70.4,71.4,75.3,81.4,87.7,93,98.1,103,106.5,111,115.6,120.3,125.1,129.7,135.5,134.9,140.9,145.1,148.9,156.5,162.4,172.2,185.3,194.6,204,218.7,229.2,236.8,255.3,271.5,288.1,297.9,308.6,325.5,346.8,367.2,382,394.5,410.8,424.3,448.9,476.5,486.5,506.8,523,551.8,571.8,599,621,632.7,677.2,707.2,744.3,797,855.6,921.9,990.9,1071.6,1080.1,1107.7,1174
"14","7","        Government","A264RX1",7.4,7.7,8.2,8.5,8.8,9.1,9.5,10.1,10.6,11.2,11.8,12.5,15.1,24.8,43.4,64.5,76.9,73.7,62.9,54.2,48.7,45.1,45,48.8,53.1,56.3,57.8,58.8,59.9,60.9,62.7,64.9,66.8,69.6,72.2,74.6,76.6,79,82.1,85,86.8,87.8,87.6,86.7,86.5,87,88.3,89.9,91.5,93.1,95.3,98,100.8,103.9,107.8,112.9,119.5,126.8,134,140.6,147.4,153.9,160.1,165.3,169.4,172.6,174.9,177.9,181.4,185.7,191.3,197,203.6,207.5,212.3,217.7
"15","8","          General government","A265RX1",6,6.3,6.6,6.9,7.1,7.3,7.7,8.2,8.6,9.1,9.6,10.2,12.6,22,39.9,60.4,72.4,69.2,58.7,50.3,44.8,41.1,40.9,44.4,48.4,51.4,52.7,53.6,54.4,55.2,56.8,58.6,60.3,62.6,65,66.9,68.6,70.6,73.3,75.7,77.1,77.7,77.1,75.9,75.1,75.2,75.9,77.1,78.2,79.5,81.1,83.2,85.4,87.9,91.2,95.7,101.5,108,114.4,120.3,126,132,137.3,141.5,144.7,146.8,148.7,151,153.9,157.3,161.7,166.4,170.9,175.4,179,183.2
"16","9","          Government enterprises","A266RX1",1.7,1.8,2,2.1,2.2,2.2,2.3,2.3,2.5,2.6,2.7,2.9,3,3,3,3,3,3,3.1,3.2,3.3,3.5,3.6,3.9,4,4.2,4.4,4.6,4.8,5,5.3,5.6,6,6.3,6.6,7,7.4,7.8,8.2,8.7,9.2,9.6,10.1,10.6,11.1,11.7,12.3,12.8,13.2,13.6,14.2,14.8,15.4,16,16.6,17.3,18.1,18.8,19.6,20.3,21.3,21.9,22.8,23.7,24.6,25.8,26.1,26.8,27.6,28.4,29.5,30.6,32.7,32.2,33.3,34.5
"17","10","Equals: Net national product","A027RX1",801.5,723.9,671.3,574.6,568.1,639.3,704.2,803.7,847.7,814.1,886.1,968.4,1145.8,1363.8,1584.8,1700.2,1663.4,1462.2,1453.5,1527.5,1516.9,1662.4,1800.6,1867.7,1950.5,1926.7,2072.6,2110.8,2150.9,2116,2283.3,2336.5,2390.6,2545,2656.1,2817.3,3001.5,3194.3,3267.3,3426.8,3520.7,3512.2,3636,3827.6,4061.7,4022.9,3988.6,4217.3,4415.1,4657.3,4808.4,4771.4,4877.1,4746.3,4964.2,5324.4,5511.7,5693.1,5874.8,6128.2,6330.7,6442,6384.4,6592.2,6773.8,7019.7,7191.9,7446.4,7761.1,8048.4,8391.8,8668.1,8659.1,8792,9065.4,9415.5
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RX1",858.7,794.2,732.4,640.3,629.2,699.8,769.1,854.2,911.3,872.6,937.2,1023,1207.8,1443.2,1686,1785.2,1755.2,1581,1560,1646.1,1623.3,1768.7,1894.6,1972.9,2057.4,2048.2,2199.8,2264.5,2301,2274.2,2439,2506.2,2562.6,2713.5,2837.5,2994.7,3184.1,3372.1,3465.3,3634.4,3753.2,3745.3,3858.4,4074.7,4314.3,4288.3,4264.6,4478.4,4698.4,4956.9,5080.5,5085,5239.4,5188.8,5353.6,5792,6029.8,6197.7,6445.4,6768.5,6931,7031.3,7014.6,7217.7,7374.7,7677.6,7921.8,8229.1,8629.4,9082.1,9506.8,9944.1,9978.2,10069,10276.3,10685.2
"20","12","  Gross national income \2\","A023RX1",866.2,801.4,738.2,645,633.3,703.4,773.3,857.8,916.1,877.5,942.4,1027.4,1213.6,1449,1691.8,1791.2,1760.5,1587.7,1569,1657,1633.1,1779.6,1908,1986.6,2070.7,2062.1,2215.4,2281.7,2319.2,2289.7,2455.2,2523.7,2581.9,2735.2,2860.8,3019.7,3210.2,3396.6,3490.6,3661.8,3779.8,3771.6,3887.7,4105.9,4356.5,4336.3,4301.7,4522.7,4748.2,5006.3,5147.1,5150.9,5297.3,5249.2,5412.4,5847.7,6069.5,6224.7,6471.2,6801,6964.9,7074,7050.9,7252.9,7410.8,7706.4,7960,8265.4,8663.4,9103.9,9541.2,9983.1,10021.2,10099.2,10340.9,10735.3
"21","13","  Net domestic product","A362RX1",794,716.7,665.4,569.9,564,635.7,699.9,800.1,842.9,809.2,880.8,964,1140,1357.8,1579,1694.1,1658.2,1455.5,1444.5,1516.7,1506.9,1651.4,1787.1,1853.8,1937.2,1912.5,2056.7,2093.3,2132.6,2100.2,2267.1,2318.8,2371,2523.1,2632.5,2791.9,2975,3169.3,3241.5,3399.2,3493.9,3485.7,3606.5,3796,4018.8,3974.1,3950.9,4172.3,4364.4,4607.2,4740.4,4704.1,4818.2,4684.8,4904.5,5267.9,5471.6,5666.1,5849,6095.6,6296.7,6399.1,6348,6556.8,6737.8,6991,7153.6,7409.9,7727.1,8026.6,8357.4,8629.1,8616.2,8761.8,9001,9365.5
"22","14","  Net domestic income \3\","W256RX1",787.5,720.2,657.8,566.4,557.7,631.3,702.1,787.4,843.1,801.8,866.9,952.5,1136.6,1365.8,1594.6,1672.2,1626.3,1446.9,1429.5,1519.8,1495.3,1642.7,1766,1837.8,1914.3,1894.7,2043.1,2102.3,2132.5,2095,2264.8,2323.4,2373.7,2521.4,2636.1,2787.9,2967.8,3141.4,3221.6,3380.3,3481.4,3458.3,3565.2,3764.8,3990.9,3941.8,3902.7,4107.6,4310.4,4547,4644,4624.4,4763.8,4684.3,4831.9,5245.7,5447.1,5598.3,5818.7,6122,6245.1,6316.4,6260.7,6436.1,6577.9,6831.3,7042.6,7309.3,7652.7,8041.8,8394,8756.3,8703.5,8781.8,8957,9295.6
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Note. Except as noted in footnotes 1, 2 and 3, chained (2000) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","as the product of the chain-type quantity index and the 2000 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
