"","Table 6#4A# Full-Time and Part-Time Employees by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"12","5","      Farms","B4205C0",3403,3190,3103,2894,2865,2862,2878,2981,2924,2807,2727,2679,2652,2555,2436,2231,2119,2189,2267,2337
"13","6","      Agricultural services, forestry, and fisheries","H4206C0",153,147,149,134,130,124,135,125,159,142,132,130,127,137,127,141,140,154,160,161
"14","7","    Mining","H4207C0",993,932,813,672,693,822,840,897,955,859,832,927,975,985,917,879,829,871,933,981
"15","8","      Metal mining","B4208C0",124,107,79,50,50,60,71,92,119,95,103,118,131,132,132,107,89,88,98,100
"16","9","      Anthracite mining","B4292C0",151,144,128,104,92,106,99,98,98,89,88,91,92,89,84,80,73,82,80,533
"17","10","      Bituminous and other soft coal mining \1\","H4209C0",471,452,418,358,373,431,443,457,470,416,381,439,452,480,434,415,388,391,429,NA
"18","11","      Crude petroleum and natural gas","H4210C0",159,148,118,105,124,163,165,180,192,192,187,196,204,183,177,198,206,221,231,251
"19","12","      Nonmetallic mining and quarrying","B4211C0",88,81,70,55,54,62,62,70,76,67,73,83,96,101,90,79,73,89,95,97
"20","13","    Contract construction","H4212C0",1484,1366,1198,907,703,806,866,1104,1082,1055,1219,1285,1774,2131,1566,1110,1135,1739,2062,2278
"21","14","    Manufacturing","H4213C0",10428,9309,7895,6678,7204,8364,8904,9645,10591,9131,9967,10882,13137,15284,17402,17050,15186,14493,15205,15276
"22","15","      Durable goods","H4214C0",5238,4457,3497,2724,2893,3587,3941,4460,5130,4085,4609,5367,6999,8846,10924,10722,8933,7742,8330,8309
"23","16","        Lumber and basic timber products","H4215C0",604,469,303,225,270,320,360,415,459,398,431,500,609,633,585,559,524,578,658,1228
"24","17","        Furniture and finished lumber products \2\","H4216C0",437,371,321,261,279,289,329,364,398,342,384,406,460,444,421,406,402,486,552,NA
"25","18","        Stone, clay, and glass products","H4217C0",397,345,277,204,212,262,281,317,356,310,343,369,433,436,413,386,381,474,503,523
"26","19","        Iron and steel and their products, including ordnance","H4218C0",1217,1092,857,687,749,917,996,1147,1317,1026,1155,1331,1641,1960,2460,2424,2072,1670,1862,3345
"27","20","        Nonferrous metals and their products \3\","H4219C0",325,269,222,175,182,220,249,277,313,256,284,328,410,461,508,492,457,498,482,NA
"28","21","        Machinery, except electrical","H4220C0",764,671,509,373,392,505,577,664,791,626,661,792,1087,1363,1457,1405,1331,1393,1548,1560
"29","22","        Electric and electronic equipment","H4221C0",519,430,332,242,251,319,338,385,461,353,398,455,607,757,960,1037,925,847,928,887
"30","23","        Motor vehicles and equipment","H4222C0",540,403,352,299,300,433,464,492,580,363,467,543,655,575,325,341,308,667,749,766
"31","24","        Other transportation equipment \3\","H4223C0",150,147,105,80,71,101,105,137,171,141,186,301,675,1749,3271,3175,2044,593,512,NA
"32","25","        Miscellaneous manufacturing, including instruments and miscellaneous plastic products \3\","H4225C0",285,260,219,178,187,221,242,262,284,270,300,342,422,468,524,497,489,536,536,NA
"33","26","      Nondurable goods","H4226C0",5190,4852,4398,3954,4311,4777,4963,5185,5461,5046,5358,5515,6138,6438,6478,6328,6253,6751,6875,6967
"34","27","        Food and kindred products","H4227C0",1041,1020,914,841,939,1085,1106,1157,1223,1166,1175,1223,1303,1385,1405,1441,1431,1500,1529,1527
"35","28","        Tobacco manufactures","B4228C0",145,133,120,108,102,112,108,109,111,108,107,104,103,96,102,100,102,104,100,99
"36","29","        Textile mill products","H4229C0",1262,1095,1025,907,1081,1139,1196,1218,1263,1092,1215,1223,1383,1388,1321,1217,1163,1313,1327,1366
"37","30","        Apparel and other textile products","H4230C0",772,722,672,593,632,699,768,829,843,807,903,918,1043,1079,1073,1049,1021,1117,1128,1175
"38","31","        Paper and allied products","B4231C0",284,277,250,226,244,280,289,300,325,301,314,336,378,380,393,390,394,449,464,470
"39","32","        Printing and publishing","B4232C0",615,617,548,481,449,492,510,554,604,578,577,568,581,555,550,550,569,668,705,720
"40","33","        Chemicals and allied products","H4233C0",397,377,329,291,321,369,379,393,431,383,414,469,580,780,849,790,776,705,722,723
"41","34","        Petroleum and coal products","H4234C0",128,125,105,97,99,115,121,124,132,131,135,151,168,183,186,197,207,219,224,230
"42","35","        Rubber products","H4235C0",176,142,120,110,124,141,134,142,154,127,146,156,189,189,224,239,234,265,270,254
"43","36","        Leather and leather products","H4236C0",370,344,315,300,320,345,352,359,375,353,372,367,410,403,375,355,356,411,406,403
"44","37","    Transportation and public utilities","A4237C0",3989,3742,3282,2826,2684,2774,2808,2973,3140,2837,2943,3064,3311,3458,3652,3822,3926,4113,4173,4212
"45","38","      Transportation","A4238C0",2958,2711,2352,1998,1899,1974,2004,2121,2240,1973,2073,2164,2357,2512,2741,2932,3012,3009,2994,2941
"46","39","        Railroad transportation","B4239C0",1845,1659,1405,1155,1084,1122,1113,1194,1251,1061,1114,1160,1285,1429,1534,1616,1628,1564,1543,1503
"47","40","        Local and interurban passenger transit","H4240C0",413,389,359,326,303,295,296,300,303,281,277,272,273,296,335,348,357,406,410,388
"48","41","        Trucking and warehousing","B4241C0",303,299,282,263,258,278,305,322,346,324,347,385,451,477,474,469,477,528,553,578
"49","42","        Water transportation","H4242C0",176,167,152,137,141,152,155,149,158,141,148,150,151,112,146,216,260,210,170,166
"50","43","        Transportation by air","H4243C0",2,4,5,6,6,6,8,10,12,13,15,19,24,34,46,47,53,82,82,79
"51","44","        Pipelines, except natural gas","B4244C0",25,24,21,17,20,22,23,25,26,23,22,23,24,25,25,26,25,27,28,30
"52","45","        Transportation services","H4245C0",194,169,128,94,87,99,104,121,144,130,150,155,149,139,181,210,212,192,208,197
"53","46","      Communication","A4246C0",538,530,467,421,392,391,390,410,442,420,425,435,478,503,520,519,536,653,687,743
"54","47","        Telephone and telegraph","B4247C0",534,524,459,412,383,379,376,393,422,400,402,410,450,474,490,486,500,613,642,692
"55","48","        Radio and television broadcasting","B4248C0",4,6,8,9,9,12,14,17,20,20,23,25,28,29,30,33,36,40,45,51
"56","49","      Electric, gas, and sanitary services","B4249C0",493,501,463,407,393,409,414,442,458,444,445,465,476,443,391,371,378,451,492,528
"57","50","        Utilities: electric and gas","B4293C0",465,473,437,384,371,386,392,418,437,423,423,443,454,422,373,353,359,429,469,NA
"58","51","        Local utilities and public services, n.e.c.","B4294C0",28,28,26,23,22,23,22,24,21,21,22,22,22,21,18,18,19,22,23,NA
"59","52","    Wholesale trade","H4250C0",1757,1693,1530,1380,1377,1492,1507,1612,1770,1767,1833,1899,2014,1916,1808,1828,1927,2286,2480,2573
"60","53","    Retail trade and automobile services","H4251C0",4684,4469,4148,3688,3699,4075,4200,4543,4904,4780,4992,5321,5754,5623,5570,5529,5717,6769,7061,7223
"61","54","    Finance, insurance, and real estate","H4252C0",1520,1491,1423,1358,1309,1332,1352,1401,1445,1436,1470,1518,1559,1531,1475,1447,1477,1692,1744,1811
"62","55","      Banking","B4253C0",387,377,347,313,281,286,279,278,287,288,290,298,311,321,330,338,345,376,394,409
"63","56","      Security and commodity brokers, and services","H4255C0",156,126,107,97,109,101,89,103,101,82,76,71,61,50,47,47,52,64,61,58
"64","57","      Credit agencies (other than banks) and holding and other investment companies","H4254C0",153,151,143,135,128,126,129,135,138,122,117,124,135,125,101,92,95,112,121,129
"65","58","      Insurance carriers","B4256C0",367,376,369,363,348,355,372,376,392,405,423,435,445,437,415,401,413,484,524,559
"66","59","      Insurance agents, brokers, and service","H4257C0",145,148,144,142,136,137,136,138,139,142,144,143,144,145,142,138,142,172,177,184
"67","60","      Real estate","H4258C0",312,313,313,308,307,327,347,371,388,397,420,447,463,453,440,431,430,484,467,472
"68","61","    Services","H4260C0",5677,5472,5049,4534,4374,4766,4936,5267,5538,5310,5497,5813,5907,6108,5770,5712,5727,6073,6373,6579
"69","62","      Hotels and other lodging places","H4261C0",398,384,344,296,281,331,346,370,397,398,405,416,433,433,440,448,445,491,489,480
"70","63","      Personal services","B4262C0",661,649,607,564,553,590,618,658,694,661,642,709,769,802,808,779,795,912,915,903
"71","64","      Commercial and trade schools and employment agencies \4\","B4295C0",24,22,18,15,14,15,17,20,22,21,21,19,28,48,60,43,25,30,37,NA
"72","65","      Business services","H4263C0",189,185,164,169,176,207,207,241,246,249,265,265,281,272,260,273,292,354,380,401
"73","66","      Miscellaneous repair services","B4265C0",76,74,73,72,72,72,72,72,73,73,74,72,79,82,95,100,102,130,139,134
"74","67","      Motion pictures","B4266C0",158,160,156,135,133,147,159,178,193,187,191,192,204,215,226,237,238,253,253,249
"75","68","      Amusement and recreation services","B4267C0",313,290,261,205,183,193,190,205,224,201,215,230,250,253,238,242,244,289,291,304
"76","69","      Health services","H4268C0",429,434,419,399,390,403,420,455,491,516,522,549,580,614,655,665,661,701,767,832
"77","70","      Legal services","B4269C0",98,103,108,109,110,109,113,114,118,122,126,126,128,122,114,105,100,114,116,113
"78","71","      Educational services, n.e.c.","H4270C0",224,228,232,233,233,234,240,244,251,259,265,271,276,282,288,292,296,313,337,437
"79","72","      Membership organizations","H4273C0",453,460,450,442,432,438,434,441,424,424,419,469,514,538,539,565,571,648,665,705
"80","73","      Miscellaneous professional services","H4274C0",35,37,29,21,21,23,25,29,31,33,37,41,53,78,63,59,66,82,93,133
"81","74","      Private households","B4275C0",2619,2446,2188,1874,1776,2004,2095,2240,2374,2166,2315,2454,2312,2369,1984,1904,1892,1756,1891,1888
"82","75","  Government","A4276C0",3611,3779,4133,4373,5901,6820,7150,8050,7192,8197,8020,7917,8572,10486,15293,17527,17431,9311,7483,7894
"83","76","    Federal","A4277C0",981,1034,1019,1006,1470,2227,2209,4993,4085,4987,4754,4652,5281,7252,12155,14405,14258,5902,3808,4007
"84","77","      General government","A4278C0",644,695,683,673,1135,1868,1835,4612,3698,4583,4342,4227,4829,6765,11611,13885,13722,5294,3268,3437
"85","78","        Civilian, except work relief","B4279C0",267,310,296,290,294,357,449,521,517,507,560,642,944,1702,2497,2520,2420,1822,1436,1428
"86","79","        Military \5\","B4280C0",377,385,387,383,370,371,396,438,474,504,566,793,1693,4154,9029,11365,11302,3472,1832,2009
"87","80","        Work relief","B4296C0",NA,NA,NA,NA,471,1140,990,3653,2707,3572,3216,2792,2192,909,85,NA,NA,NA,NA,NA
"88","81","      Government enterprises","B4281C0",337,339,336,333,335,359,374,381,387,404,412,425,452,487,544,520,536,608,540,570
"89","82","    State and local","A4282C0",2630,2745,3114,3367,4431,4593,4941,3057,3107,3210,3266,3265,3291,3234,3138,3122,3173,3409,3675,3887
"90","83","      General government","A4283C0",2509,2618,2984,3249,4317,4473,4815,2922,2967,3070,3123,3104,3119,3063,2965,2956,3007,3236,3481,3657
"91","84","        Public education","B4284C0",1067,1095,1105,1093,1069,1069,1097,1118,1149,1180,1207,1194,1256,1264,1256,1256,1273,1347,1445,1504
"92","85","        Nonschool, except work relief","B4285C0",1442,1503,1580,1564,1524,1570,1621,1713,1762,1871,1877,1872,1846,1794,1709,1700,1734,1889,2036,2153
"93","86","        Work relief","B4297C0",NA,20,299,592,1724,1834,2097,91,56,19,39,38,17,5,NA,NA,NA,NA,NA,NA
"94","87","      Government enterprises","B4286C0",121,127,130,118,114,120,126,135,140,140,143,161,172,171,173,166,166,173,194,230
"95","88","Rest of the world","A4287C0",0,0,1,1,1,1,1,1,1,1,1,2,3,5,-21,-55,-66,-47,-5,7
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","1. For 1948, included in anthracite mining (line 9).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. For 1948, included in lumber and basic timber products (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","3. For 1948, included with iron and steel and their products, including ordnance (line 19).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","4. For 1948, included with educational services, n.e.c. (line 71).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","5. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
