"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"19","11","        Domestic","ETRPDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120819,113894,130690,122910,116773,133752,138233,135233,134533,131691,135355,129976,122169,136567,139149,102678,107975,107732,111151,109442,115004,114997,114823,109521,98284,80392,84210,69392,72546,75881,82850,80401,84026,93272,93515,101726,100756,96629,103139,113481,109160,112364,113260,117010,119228,121548,120018,119163,124952,132811,134562,136619,138825,142911
"20","12","        Foreign","ETRPMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17514,16613,17486,17572,20272,22863,23627,21658,22052,21268,21372,21986,20217,21718,21189,18273,19564,20851,20697,22752,22845,22632,22035,22639,20484,18513,17116,16213,18515,15319,17594,14678,15428,15515,17156,18400,18940,16825,17294,18487,19328,19750,19300,19908,20179,21204,22065,22654,22969,23190,24123,23139,24880,28755
"21","13","    Net purchases of used autos and used light trucks","W240RX0",90289,101965,100580,87621,101627,87798,90268,99772,96383,91929,98186,91699,90474,101629,101896,94341,95161,92455,96245,97420,95554,100526,102123,104070,105237,97179,94875,93630,94881,95424,96345,98267,94952,100554,103885,100844,99681,98845,96106,93019,102464,102823,99953,93399,90371,89871,90785,93112,89430,80035,78155,76754,78903,80026,84116,86363,90413,89014,86481,86014,87383,93018,97053,100274,98704,101699
"22","14","      Used autos","A137RX0",52356,58708,57948,48814,58183,48378,49285,58142,53407,51943,53600,48021,48881,53929,53313,49052,50038,48650,51012,52103,50623,53982,54289,55036,55439,51229,49420,48783,48889,48775,48387,47706,44940,46763,48037,47431,48218,48021,45372,41149,44169,43530,42633,40307,38516,37892,39383,41774,40758,36700,35215,34789,35788,35515,36711,37915,39918,39500,38844,38819,39410,42128,44199,45660,44656,46157
"23","15","        Margin","GAP570",23790,25779,25723,23534,26113,23934,24953,26135,26593,27869,26572,25651,25438,23726,21788,22077,23622,22240,23793,23509,21386,24128,24161,24183,26154,24120,22424,22676,23273,23273,23927,23962,22072,23002,23881,23774,24336,23374,22014,19461,19943,19124,18366,18152,18064,17960,18642,19240,20006,19550,20070,20379,21192,21147,21776,21996,22897,22440,21601,21391,21190,22006,23060,23635,23013,23970
"24","16","        Net transactions","GAP600",30755,35013,34365,27628,34249,26925,26961,34084,29492,27237,29742,25284,26116,32344,33467,29122,28747,28611,29535,30858,31510,32143,32446,33201,31571,29333,29207,28241,27733,27625,26585,25759,24880,25813,26136,25643,25880,26550,25313,23624,26007,26130,25970,23887,22207,21706,22488,24285,22500,18812,16785,16046,16288,16025,16595,17592,18646,18714,18892,19072,19786,21704,22772,23635,23225,23776
"25","17","        Employee reimbursement","GAP630",-2170,-2117,-2122,-2048,-2074,-2047,-2042,-2051,-2067,-2130,-2193,-2159,-2051,-1992,-1988,-2070,-2087,-2050,-2036,-2017,-2079,-2085,-2113,-2145,-2100,-2101,-2082,-2016,-2015,-2020,-2042,-1941,-1946,-1991,-1921,-1931,-1898,-1827,-1885,-1913,-1782,-1727,-1694,-1737,-1783,-1820,-1783,-1761,-1805,-1784,-1786,-1773,-1829,-1782,-1779,-1792,-1731,-1772,-1777,-1775,-1697,-1722,-1774,-1749,-1721,-1720
"26","18","      Used light trucks (including utility vehicles)","W241RX0",38239,43571,42942,38954,43721,39517,41043,42016,43103,40197,44650,43569,41608,47642,48473,45169,45042,43730,45177,45286,44872,46506,47780,48974,49734,45890,45388,44778,45922,46579,47886,50503,49988,53802,55870,53411,51451,50811,50725,51882,58302,59292,57317,53088,51857,51990,51396,51320,48652,43317,42925,41951,43102,44495,47384,48427,50474,49495,47621,47181,47959,50877,52843,54602,54033,55529
"27","19","        Margin","W491RX0",10823,12054,12026,11382,12457,11486,12035,12034,12248,12823,12447,12753,12627,12378,11622,12114,12925,12662,13751,13587,12524,13987,14275,14065,14978,13645,12762,13024,13354,13231,13799,14307,13439,14251,14899,13991,13630,12613,12454,12045,12470,12574,11779,11951,12452,12707,12733,12472,12073,11060,11515,11533,11927,12353,13153,13186,13922,13863,13385,13653,14063,14871,15806,16382,16137,16786
"28","20","        Net transactions","W492RX0",27440,31560,30960,27613,31305,28067,29050,30023,30902,27454,32243,30826,28921,35438,37153,33131,32106,31056,31388,31676,32482,32434,33434,34937,34685,32209,32687,31767,32577,33380,34104,36225,36633,39663,41086,39561,37969,38295,38372,39870,45808,46719,45565,41133,39396,39264,38631,38822,36552,32222,31356,30360,31114,32080,34165,35177,36482,35561,34167,33458,33827,35933,36959,38139,37817,38664
"29","21","  Private fixed investment","AB62RX0",145321,149180,159151,156535,159454,149694,144186,134727,135913,132988,123866,123665,123721,123820,128118,118201,114021,119119,126006,123566,125153,130812,144482,154765,150864,156317,170625,166805,185165,176757,173155,175310,169995,158137,154956,155509,147793,124949,104016,66730,35223,36796,39691,50331,82124,103836,113636,120031,131080,133674,150151,156570,166844,173615,175829,177509,186240,192645,192273,199792,204933,215005,219918,218009,226141,228076
"30","22","    New motor vehicles","AB68RX0",195085,196847,208348,206848,212653,199750,196265,182177,188614,182787,175366,170334,168960,179459,184939,174570,164346,163789,176812,179478,177018,185442,200291,207205,200174,207456,222867,217725,236519,224458,223497,228736,227435,215978,218903,214994,206785,189115,173680,133127,102891,112076,119422,138622,151872,162152,170045,171591,182639,178516,193055,196696,207072,209896,211527,221534,230848,233176,233990,239915,244898,260609,265181,264932,276852,280839
"31","23","      Autos","B139RX0",76880,79770,82170,81146,86563,80642,79669,78277,82364,81243,76334,71296,73159,80951,81726,76628,73819,70120,73568,70909,69079,73347,74355,77454,75465,75705,79851,81286,85340,79876,79537,81366,82814,82809,84131,82660,77272,77708,75284,55596,42339,49945,53007,61558,65884,69915,71019,66583,70709,69936,70599,71706,85801,81845,82259,88920,92363,90542,92447,92102,90956,96062,96369,97573,95912,97960
"32","24","        Domestic","GAP660",65089,66478,68532,65763,69283,63270,62219,60366,62792,60370,55993,48784,47921,56217,56149,51765,48530,46814,49571,47612,46004,49670,51790,52535,52248,51625,54651,56801,60747,53407,52782,53600,53016,53163,55601,53387,49065,46458,48749,35465,23031,30458,29159,41211,42517,45387,44746,40398,42960,42776,44370,44638,56698,54378,54974,59850,61041,59528,59950,58517,56750,61204,62842,65652,64495,67621
"33","25","        Foreign","GAP690",11791,13293,13639,15383,17280,17374,17451,17912,19573,20875,20342,22512,25238,24734,25577,24863,25289,23306,23997,23297,23075,23677,22565,24918,23216,24080,25200,24485,24593,26469,26755,27766,29797,29646,28529,29273,28207,31249,26535,20131,19303,19489,23845,20355,23372,24533,26275,26184,27748,27159,26231,27068,29112,27475,27295,29082,31330,31022,32503,33589,34207,34862,33535,31933,31428,30356
"34","26","      Trucks","B705RX0",118380,117239,126358,125882,126267,119274,116757,104033,106383,101667,99159,99174,95924,98615,103341,98072,90661,93791,103365,108658,108013,112181,125977,129803,124772,131778,143023,136475,151200,144597,143975,147391,144647,133196,134802,132365,129531,111436,98388,77550,60567,62124,66408,77062,85994,92253,99013,104889,111798,108467,122283,124814,121246,127930,129143,132548,138406,142482,141439,147606,153611,164166,168363,166975,180232,182195
"35","27","        Light trucks (including utility vehicles)","B196RX0",79095,78291,85790,84934,86730,81966,82671,74760,77735,74873,74151,74812,72863,72744,75089,70869,68367,69208,76877,80393,77716,80667,91286,93010,86301,93049,103678,97379,109316,102834,102413,105581,105829,101458,106351,104989,103157,85298,74104,53498,42868,45538,48260,55749,64446,69709,74202,79982,82955,78085,89831,89402,84614,89807,92684,97370,103125,104871,104774,108837,114325,121271,122252,121168,132021,131924
"36","28","          Domestic","BTRLDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63263,63092,65813,61572,57697,58571,64989,68763,66179,68800,78292,79042,73464,79897,89373,82047,91851,85345,85516,86506,87495,83840,88311,86017,84345,68443,60502,42506,33143,37149,38972,46426,53878,59061,62072,67062,69178,65929,76320,76321,71326,75721,78490,82547,87548,88582,87793,90664,95790,102472,102880,102710,111066,109023
"37","29","          Foreign","BTRLMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610,9662,9287,9306,10675,10642,11893,11638,11544,11874,13004,13976,12844,13163,14318,15339,17473,17494,16903,19077,18338,17622,18045,18974,18814,16853,13603,10990,9721,8390,9289,9326,10570,10652,12132,12923,13779,12160,13517,13087,13291,14090,14200,14828,15583,16294,16985,18174,18538,18805,19377,18465,20961,22901
"38","30","        Other trucks, buses, and truck trailers","B197RX0",42050,41691,43008,43570,41631,39270,35152,29848,28796,26736,24584,23740,22318,25785,28511,27561,21815,24491,26212,28078,30681,31918,34973,37297,39595,39518,39710,39737,42419,42537,42300,42415,39102,31651,28124,27083,26176,26156,24340,24043,17698,16591,18144,21313,21532,22531,24807,24902,28842,30397,32450,35423,36639,38131,36470,35189,35289,37621,36668,38774,39294,42902,46123,45819,48223,50284
"39","31","    Net purchases of used autos and used light trucks","W242RX0",-60163,-58817,-61349,-61962,-64757,-60899,-61898,-56859,-61280,-58544,-58666,-54675,-53465,-62163,-63649,-62032,-56326,-52097,-58211,-62727,-59084,-62249,-64461,-62193,-58929,-61089,-63407,-61858,-63989,-59882,-61903,-64862,-68035,-67414,-72945,-68944,-67931,-70485,-73686,-67844,-67876,-75420,-79614,-88060,-73863,-65716,-64903,-61236,-62800,-57203,-57666,-56023,-57298,-54498,-54192,-62032,-63656,-60694,-61758,-61195,-61661,-68070,-68326,-69663,-74199,-76366
"40","32","      Used autos","B140RX0",-32891,-32706,-32599,-32249,-34703,-31474,-31880,-30518,-31174,-30624,-29061,-25815,-26339,-30332,-30630,-29929,-28026,-25935,-28135,-29701,-28953,-31976,-31678,-31254,-30546,-30259,-30788,-32161,-30377,-29534,-30751,-31590,-32008,-31134,-33053,-30889,-32051,-33375,-35150,-30838,-28322,-32897,-35766,-40575,-35361,-30311,-29231,-26771,-30447,-29622,-28162,-26910,-29540,-26212,-25413,-28934,-30037,-29224,-30239,-29567,-29340,-32739,-32556,-33543,-33657,-34546
"41","33","        Margin","GAP720",1040,1127,1125,1029,1142,1046,1091,1143,1166,1210,1142,1146,1096,1035,960,978,1034,973,1040,1028,935,1055,1056,1057,1143,1055,981,991,1017,1018,1046,1048,965,1006,1044,1040,1064,1022,963,851,872,836,803,794,790,786,815,841,875,855,877,891,926,925,952,962,1001,981,944,935,926,962,1008,1033,1006,1048
"42","34","        Net transactions","GAP750",-33971,-33848,-33738,-33314,-35876,-32546,-32988,-31649,-32326,-31804,-30179,-26914,-27408,-31369,-31604,-30918,-29055,-26899,-29168,-30726,-29886,-33028,-32733,-32310,-31689,-31315,-31767,-33148,-31393,-30550,-31796,-32636,-32965,-32139,-34091,-31923,-33104,-34388,-36110,-31688,-29192,-33736,-36570,-41366,-36149,-31098,-30049,-27618,-31325,-30481,-29045,-27807,-30473,-27142,-26369,-29901,-31044,-30211,-31190,-30509,-30273,-33709,-33572,-34585,-34672,-35602
"43","35","      Used light trucks (including utility vehicles)","W243RX0",-27211,-26039,-28703,-29676,-29999,-29393,-29987,-26293,-30080,-27883,-29595,-28873,-27117,-31830,-33028,-32111,-28289,-26154,-30079,-33043,-30128,-30238,-32779,-30922,-28348,-30818,-32613,-29669,-33610,-30336,-31137,-33260,-36022,-36278,-39895,-38060,-35878,-37107,-38534,-37005,-39553,-42522,-43848,-47487,-38506,-35404,-35671,-34464,-32356,-27585,-29508,-29117,-27765,-28289,-28780,-33099,-33621,-31474,-31524,-31631,-32323,-35334,-35773,-36123,-40541,-41818
"44","36","        Margin","W493RX0",2264,2521,2516,2381,2606,2403,2517,2517,2542,2670,2579,2725,2658,2578,2446,2512,2703,2649,2877,2842,2620,2926,2986,2942,3133,2855,2670,2725,2794,2768,2887,2993,2812,2981,3117,2927,2851,2639,2605,2520,2609,2630,2464,2500,2600,2649,2655,2606,2524,2311,2405,2409,2492,2581,2749,2756,2909,2897,2797,2853,2938,3107,3303,3423,3372,3508
"45","37","        Net transactions","W494RX0",-29428,-28526,-31177,-32016,-32564,-31756,-32462,-28763,-32577,-30501,-32128,-31567,-29767,-34336,-35372,-34549,-30982,-28796,-32939,-35830,-32695,-33161,-35724,-33840,-31508,-33642,-35224,-32360,-36358,-33075,-33997,-36225,-38802,-39224,-42968,-40941,-38680,-39720,-41129,-39513,-42159,-45157,-46311,-49987,-41109,-38063,-38337,-37082,-34894,-29916,-31931,-31545,-30280,-30895,-31557,-35878,-36557,-34399,-34347,-34511,-35289,-38471,-39107,-39578,-43948,-45361
"46","38","  Gross government investment","AB64RX0",12875,11905,13817,15748,14562,14195,13909,14089,15625,14452,14104,13891,14194,14574,15501,14797,17222,15174,16169,14354,16090,15602,15973,14981,16276,15668,18528,16214,16273,17636,19638,19879,16932,16949,21675,20320,19821,19790,21535,15708,18069,16455,17983,17578,17724,16688,17793,16456,17268,15953,16100,13375,13266,14593,16935,14943,12932,14084,16379,15597,13811,15682,17500,18083,17929,17216
"47","39","    Autos","B144RX0",3765,3571,3724,4202,3490,3550,4101,3636,3349,3954,4182,3862,3567,3380,3589,3827,3933,3552,3432,3558,3726,3518,3341,3957,4386,3741,4122,3862,3951,4513,4694,4621,4319,4835,4277,4875,4629,4256,4347,4044,3953,3266,3560,3454,3207,3820,3253,3347,3445,3594,3343,2906,2732,2749,3016,2840,2748,2710,2759,2922,3026,3221,3243,3193,2811,2633
"48","40","      New autos","GAP810",2200,2036,2197,3019,2052,2164,2756,2284,1819,2499,2691,2330,2167,1995,2221,2528,2553,2040,1903,2140,2292,2042,1754,2415,2949,2138,2556,2305,2386,2938,3086,3082,2702,3193,2647,3277,3041,2740,2817,2465,2542,1827,2259,2060,1718,2417,1782,1944,2023,2244,1970,1476,1219,1347,1731,1516,1456,1330,1388,1545,1691,1884,1837,1779,1347,1130
"49","41","      Net transactions in used autos","GAP840",-514,-485,-510,-792,-533,-562,-639,-599,-438,-596,-631,-544,-555,-512,-538,-672,-624,-457,-423,-516,-562,-513,-417,-530,-623,-423,-469,-410,-409,-440,-441,-417,-333,-374,-298,-361,-332,-324,-365,-331,-374,-288,-391,-342,-290,-418,-309,-353,-377,-430,-401,-321,-285,-345,-460,-427,-401,-355,-369,-370,-345,-369,-352,-321,-240,-199
"50","42","      Employee reimbursement","GAP870",2170,2117,2122,2048,2074,2047,2042,2051,2067,2130,2193,2159,2051,1992,1988,2070,2087,2050,2036,2017,2079,2085,2113,2145,2100,2101,2082,2016,2015,2020,2042,1941,1946,1991,1921,1931,1898,1827,1885,1913,1782,1727,1694,1737,1783,1820,1783,1761,1805,1784,1786,1773,1829,1782,1779,1792,1731,1772,1777,1775,1697,1722,1774,1749,1721,1720
"51","43","    Trucks","B708RX0",9092,8314,10081,11535,11079,10647,9782,10446,12290,10485,9904,10014,10621,11200,11921,10965,13297,11629,12755,10794,12369,12088,12636,11042,11909,11936,14410,12359,12331,13136,14954,15269,12628,12142,17389,15454,15198,15534,17183,11681,14120,13190,14422,14121,14509,12885,14526,13109,13819,12375,12763,10480,10537,11831,13894,12092,10192,11367,13584,12662,10803,12468,14238,14857,15059,14522
"52","44","      New trucks (including utility vehicles)","W495RX0",9816,8993,10894,12385,11949,11366,10503,11265,13028,11244,10683,10831,11450,12090,12664,11820,14172,12333,13691,11688,13312,13235,13614,11931,13044,12777,15304,13339,13330,14094,15866,16194,13515,13264,18441,16489,16198,16371,18255,12584,15281,14284,15830,15314,15447,14432,15814,14660,15283,13737,14219,11879,11810,13284,15434,13517,11570,12822,14910,14024,12134,13779,15483,16394,16500,15689
"53","45","        Light trucks","GOVLTD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3332,3277,3440,3492,3861,3584,4459,3871,4094,4700,4111,3901,4819,3741,4322,4676,4866,4917,5049,5073,4709,5898,5795,5766,5934,4972,5890,4261,4838,3947,4560,4160,3462,5106,4146,4585,4197,3950,4303,4007,3686,4457,4875,4608,4553,4987,4707,5048,5114,5286,5238,6424,6011,4758
"54","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8242,9017,9436,8443,10537,8884,9250,7819,9305,8470,9601,8051,8128,9142,11140,8647,8419,9164,10867,11178,8806,7261,12669,10703,10227,11405,12366,8327,10445,10335,11268,11156,11995,9318,11669,10072,11087,9787,9913,7867,8121,8824,10555,8903,7008,7824,10203,8969,7012,8484,10240,9955,10477,10924
"55","47","      Net transactions in used light trucks","W496RX0",-709,-661,-793,-849,-855,-734,-720,-804,-783,-761,-764,-794,-816,-872,-775,-842,-895,-733,-934,-876,-934,-1113,-970,-877,-1097,-845,-916,-968,-984,-957,-936,-949,-894,-1103,-1072,-1043,-1008,-863,-1087,-903,-1158,-1089,-1408,-1200,-970,-1512,-1294,-1520,-1446,-1340,-1428,-1354,-1242,-1417,-1513,-1395,-1340,-1419,-1310,-1339,-1300,-1289,-1235,-1515,-1423,-1158
"56","48","  Net exports","AB63RX0",-94637,-96819,-102981,-103907,-110119,-108439,-112614,-111126,-111909,-108523,-108015,-105413,-108554,-110806,-113978,-114760,-106676,-111038,-105335,-111211,-113387,-116434,-111052,-107434,-102138,-104586,-106149,-112793,-116081,-116231,-109971,-118114,-105150,-96951,-103518,-91604,-94197,-87227,-65845,-59123,-40545,-42073,-59958,-70475,-65275,-80608,-80171,-78185,-80143,-57432,-79017,-83395,-94344,-91073,-98310,-96166,-89713,-97647,-108568,-106829,-102110,-108017,-102522,-112250,-126215,-130847
"57","49","    Exports","AB69RX0",28544,29309,28287,29185,31008,29934,27715,27462,25203,28193,29511,28895,29237,31435,31849,33073,33755,35784,32284,36373,34514,36778,40787,41410,44623,44231,44934,47807,50231,49101,51173,50818,55227,62289,63060,66564,66163,68955,72008,56629,34205,33056,42489,50144,52853,53671,54061,57596,61259,64598,66880,67073,71231,70703,68226,70616,73367,74312,71679,72147,70263,76463,79746,73735,64616,68180
"58","50","      Autos","B142RX0",13026,13387,12459,13050,13741,13520,12680,12626,12030,13948,15428,14837,14650,16186,16211,15938,16971,16552,15342,16969,15801,16816,16959,18427,20534,20104,20352,22443,23790,23246,24643,25399,27708,31278,33256,35825,37080,39209,41174,32410,17639,17467,22148,26090,27043,26832,27155,30391,31877,33048,33267,35301,38514,37849,36216,39507,40341,41064,40220,41943,41400,45626,47033,43557,38268,40993
"59","51","      Trucks","B706RX0",15590,15995,15932,16229,17376,16500,15101,14898,13200,14244,14027,14021,14573,15209,15609,17153,16766,19282,16969,19448,18766,20019,23953,23072,24163,24204,24660,25431,26506,25919,26588,25458,27556,31053,29820,30748,29074,29732,30819,24210,16566,15589,20341,24055,25807,26833,26902,27212,29387,31548,33590,31796,32767,32893,32036,31222,33104,33338,31580,30414,29105,31140,32993,30443,26587,27493
"60","52","    Imports","AB70RX0",123181,126127,131268,133092,141127,138374,140328,138588,137112,136716,137526,134308,137791,142241,145827,147833,140431,146821,137619,147584,147901,153212,151839,148844,146761,148816,151083,160601,166312,165332,161145,168933,160377,159240,166578,158168,160360,156182,137853,115752,74751,75129,102448,120619,118128,134279,134231,135781,141402,122030,145897,150469,165574,161777,166536,166781,163080,171959,180247,178976,172373,184480,182268,185986,190831,199026
