"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234"
"11","3","          Value added","W102RG3",7.48,7.545,7.23,7.306,7.389,7.478,7.614,7.706,7.894,7.86,7.82,7.922,7.873,7.766,7.91,7.876,8.276,8.138,8.164,8.267,8.403,8.507,8.615,8.703,8.724,8.794,8.72,8.804,8.851,9.019,9.073,9.15,9.227,9.477,9.545,9.629,9.799,9.955,10.058,10.116,10.268,10.392,10.493,10.596,10.799,10.952,11.08,11.143,11.276,11.323,11.355,11.387,11.514,11.545,11.74,11.813,11.859,11.954,12.019,12.099,12.249,12.282,12.342,12.547,12.692,12.749,12.771,13.023,13.165,13.237,13.363,13.44,13.561,13.622,13.792,14.03,14.213,14.36,14.602,14.7,14.852,15.062,15.247,15.64,15.835,16.035,16.41,16.659,16.793,17.01,17.593,17.841,18.569,18.919,19.208,19.47,20.193,20.583,20.869,21.184,22.014,22.254,22.551,23.092,23.578,23.988,24.389,24.867,25.2,25.682,26.279,27.1,27.671,28.294,28.842,29.581,30.045,30.523,30.882,31.551,32.214,32.763,33.209,34.122,34.538,34.983,35.411,36.093,36.806,37.421,38.35,39.347,40.103,41.001,41.919,43.76,44.749,45.464,45.899,47.263,48.145,48.928,49.649,50.656,51.204,51.917,52.429,52.944,55.116,55.766,56.428,57.022,58.194,58.62,58.877,59.607,60.102,60.628,61.211,62.007,62.711,63.252,63.726,64.087,64.944,65.728,66.253,66.721,67.805,68.325,68.862,69.435,70.615,71.56,72.202,73.164,74.561,75.101,75.882,76.504,77.722,78.463,78.899,79.151,80.415,80.964,81.675,82.224,83.265,83.897,84.147,84.787,85.853,85.982,86.324,87.406,88.688,88.228,88.913,89.512,90.407,90.717,91.034,91.593,92.389,92.895,93.466,94.076,95.167,95.911,96.676,97.515,99.036,99.291,100.579,101.095,102.08,102.78,103.802,104.966,106.578,107.372,108.166,109.421,111.075,111.644,112.534,113.035,114.64,115.391,115.982
"12","4","            Compensation of general government employees","A194RG3",6.333,6.375,5.852,5.896,6.017,6.106,6.194,6.293,6.48,6.501,6.512,6.634,6.608,6.497,6.613,6.474,6.845,6.684,6.696,6.791,6.946,7.044,7.126,7.227,7.242,7.315,7.264,7.368,7.425,7.569,7.622,7.673,7.771,8.047,8.069,8.115,8.24,8.379,8.466,8.501,8.621,8.736,8.823,8.931,9.207,9.362,9.469,9.517,9.665,9.719,9.749,9.785,9.925,9.955,10.172,10.251,10.295,10.399,10.461,10.542,10.692,10.728,10.762,10.953,11.108,11.154,11.178,11.466,11.622,11.702,11.842,11.917,12.038,12.083,12.255,12.507,12.7,12.824,13.035,13.124,13.281,13.498,13.672,14.076,14.25,14.456,14.85,15.076,15.183,15.368,15.983,16.207,16.951,17.276,17.533,17.752,18.481,18.861,19.144,19.453,20.288,20.53,20.805,21.325,21.791,22.165,22.531,22.981,23.209,23.542,23.971,24.704,25.257,25.901,26.442,27.179,27.61,28.078,28.418,29.083,29.701,30.24,30.699,31.6,31.939,32.332,32.702,33.38,34.071,34.594,35.451,36.392,37.081,37.855,38.693,40.504,41.385,41.987,42.312,43.653,44.456,45.175,45.874,46.955,47.536,48.307,48.789,49.347,51.694,52.382,53.114,53.736,55.032,55.532,55.775,56.573,57.159,57.674,58.278,59.128,59.872,60.5,61.009,61.377,62.269,63.117,63.668,64.122,65.296,65.838,66.389,66.964,68.229,69.247,69.888,70.881,72.408,72.99,73.835,74.535,75.972,76.779,77.272,77.468,78.79,79.353,80.111,80.684,81.815,82.429,82.605,83.182,84.309,84.39,84.753,85.951,87.436,86.901,87.669,88.356,89.39,89.715,90.103,90.682,91.673,92.252,92.888,93.569,94.8,95.582,96.421,97.303,98.984,99.185,100.631,101.2,102.315,103.092,104.296,105.677,107.532,108.451,109.373,110.805,112.742,113.398,114.423,115.042,116.878,117.512,118
"13","5","            Consumption of general government fixed capital \2\","A265RG3",16.961,17.179,17.724,18.021,17.958,18.102,18.584,18.68,18.925,18.531,18.121,18.083,17.833,17.732,18.078,18.936,19.547,19.692,19.857,20.007,19.89,20.02,20.353,20.28,20.343,20.371,20.099,19.992,19.946,20.296,20.36,20.643,20.534,20.548,20.996,21.382,21.92,22.199,22.431,22.673,23.08,23.255,23.467,23.525,23.105,23.226,23.516,23.699,23.697,23.687,23.738,23.731,23.746,23.782,23.786,23.806,23.864,23.875,23.962,24.028,24.173,24.169,24.447,24.752,24.808,24.948,24.953,24.89,24.917,24.918,24.92,25.003,25.125,25.308,25.445,25.551,25.623,25.955,26.44,26.602,26.688,26.813,27.075,27.321,27.674,27.8,27.947,28.366,28.721,29.199,29.413,29.835,30.32,30.841,31.37,31.986,32.55,32.973,33.241,33.567,34.222,34.408,34.864,35.51,36.092,36.765,37.419,38.066,39.328,41.114,43.198,44.696,45.333,45.628,46.146,46.765,47.455,47.929,48.405,48.991,49.949,50.489,50.73,51.597,52.655,53.509,54.412,55.001,55.787,57.159,58.6,59.935,61.175,63.072,64.565,66.388,68.211,69.829,71.188,72.559,74.009,75.244,76.058,76.288,76.489,76.617,77.317,77.412,77.916,78.19,78.217,78.532,78.623,78.433,78.779,78.938,78.705,79.275,79.667,80.031,80.397,80.285,80.487,80.782,81.355,81.662,81.992,82.547,82.972,83.331,83.757,84.302,84.875,85.311,85.952,86.68,87.202,87.464,87.826,87.947,87.774,88.094,88.171,88.766,89.662,90.123,90.544,90.947,91.444,92.185,92.871,93.88,94.578,94.987,95.2,95.605,95.706,95.677,95.882,95.97,96.073,96.296,96.209,96.652,96.347,96.44,96.648,96.858,97.168,97.707,98.068,98.669,99.315,99.865,100.292,100.528,100.811,101.093,101.137,101.135,101.45,101.574,101.692,102.006,102.163,102.27,102.458,102.337,102.741,104.096,105.211
"14","6","          Intermediate goods and services purchased \3\","W104RG3",14.246,14.535,15.107,15.371,15.889,15.67,16.067,15.925,16.133,15.997,15.803,15.842,16.055,16.361,16.366,16.889,17.589,17.329,17.502,17.801,16.665,17.125,17.257,17.694,17.346,17.393,17.395,17.624,17.981,17.787,18.041,18.133,18.621,18.75,18.873,19.122,19.158,19.347,19.392,19.428,20.03,20.056,20.071,20.19,20.375,20.44,20.404,20.466,19.8,19.522,19.075,19.198,19.15,19.377,19.443,19.862,19.768,19.772,19.681,19.795,20.129,20.216,20.248,20.091,20.14,20.103,20.017,20.325,20.358,20.375,20.789,20.695,20.805,20.88,21.107,21.409,21.368,21.268,22.03,22.089,22.141,22.358,22.618,22.627,22.876,23.207,23.297,23.664,23.784,24.303,24.522,24.888,24.875,25,25.464,25.698,25.969,26.412,26.829,27.157,27.224,27.489,27.733,27.971,28.576,29.186,29.845,30.329,31.417,32.656,34.174,35.304,35.944,36.45,37.302,37.9,38.375,38.878,39.645,40.361,41.115,41.809,42.321,43.052,43.672,44.425,45.287,46.273,47.325,48.487,50.277,52.131,54.186,55.87,57.236,58.625,60.38,61.588,62.58,63.533,64.279,64.909,65.583,66.377,66.583,66.912,67.643,68.006,68.781,69.484,69.868,69.803,70.237,70.609,70.853,71.659,71.317,70.62,70.783,71.286,72.089,72.59,73.256,73.132,73.604,74.216,74.497,74.79,75.873,76.522,76.859,77.572,78.857,79.275,80.505,82.672,82.255,81.898,82.473,83.036,82.994,83.6,84.491,84.804,85.045,85.605,85.657,85.927,86.279,86.645,87.468,87.977,88.797,89.62,89.927,90.239,90.917,91.661,91.995,92.826,93.331,93.017,93.141,93.736,93.153,93.199,93.287,93.477,93.662,94.726,95.828,96.902,98.847,99.404,100.365,101.384,102.032,102.237,101.886,100.87,101.34,102.42,103.399,104.138,107.012,106.144,106.802,107.3,108.849,110.483,111.762
"15","7","            Durable goods","W105RG3",17.067,17.189,18.307,18.423,18.485,18.534,19.382,19.385,19.757,19.041,18.958,19.043,19.456,19.642,19.878,21.269,21.173,21.208,21.203,21.398,21.548,21.761,22.008,22.252,22.163,22.318,22.221,22.397,22.268,22.532,23.166,23.622,23.176,23.315,23.834,24.614,24.982,25.246,25.325,25.637,26.27,26.385,26.643,27.001,26.941,26.842,27.041,27.288,27.296,27.494,27.615,27.71,27.714,27.698,27.786,27.759,27.883,27.954,28.039,28.217,28.235,28.337,28.506,28.908,29.103,29.358,29.176,29.157,29.174,29.291,29.216,29.265,29.268,29.434,29.48,29.509,29.683,29.898,30.084,30.344,30.263,30.484,30.846,30.76,31.393,31.733,31.949,32.326,32.477,32.9,33.193,33.673,34.101,34.563,34.935,35.484,36.09,36.503,36.64,36.621,36.08,36.098,36.104,36.228,37.004,37.823,38.252,38.457,39.219,40.26,42.189,43.723,45.041,45.581,46.35,47.321,47.758,48.733,50.3,51.409,52.275,52.608,52.451,54.876,55.296,56.292,57.374,58.847,60.089,61.095,62.869,64.336,65.327,66.694,67.805,69.13,70.982,72.358,74.423,75.604,77.982,79.164,80.26,82.061,83.773,84.83,85.922,86.937,88.65,90.615,91.152,90.74,90.713,90.954,91.255,91.948,91.932,92.578,93.163,93.987,93.244,93.396,93.468,93.017,91.602,91.53,91.374,91.582,91.717,91.99,92.28,92.867,93.574,94.207,94.676,95.317,96.551,96.632,97.023,97.386,97.919,98.22,98.641,99.012,99.495,99.797,100.062,100.539,100.873,100.862,100.793,101.065,101.236,101.439,101.545,101.898,101.856,101.495,101.074,101.11,101.081,100.83,100.501,100.301,100.07,99.898,99.553,99.797,99.839,99.572,99.417,99.789,99.967,99.958,99.922,100.153,100.1,100.344,100.245,100.311,100.505,100.606,100.502,100.571,100.819,100.893,100.901,101.065,101.484,101.999,102.327
"16","8","            Nondurable goods","W106RG3",18.552,19.456,19.409,20.131,21.611,20.974,20.849,20.43,20.57,20.333,19.922,20.101,20.254,20.838,20.628,20.797,20.974,21.45,21.597,21.939,20.559,20.599,20.628,20.544,20.07,20.077,20.113,20.215,21.67,21.656,21.564,21.599,22.898,22.83,22.625,22.832,22.828,22.886,23.088,22.8,23.575,23.786,23.442,23.518,23.279,23.018,22.944,22.915,23.094,22.708,22.172,22.137,22.286,22.494,22.552,22.615,22.953,22.416,22.341,22.31,22.611,22.574,22.656,22.676,22.441,22.373,22.571,22.384,22.473,22.521,22.945,22.983,23.038,22.9,23.163,23.483,23.806,23.82,24.39,24.366,24.214,24.302,24.42,23.96,24.538,24.759,24.912,25.056,25.186,25.367,25.564,25.718,25.955,26.087,26.203,26.211,26.416,26.715,26.829,27.058,27.062,27.443,27.835,28.139,29.429,30.487,31.848,32.935,35.113,37.03,39.63,41.746,41.908,42.247,43.739,44.098,44.284,44.884,45.454,45.94,47.053,48.038,48.425,49.051,49.582,50.472,51.206,52.541,54.276,56.739,60.288,63.903,67.997,71.105,72.704,74.122,77.507,78.967,78.655,79.07,78.684,78.393,78.731,79.301,78.273,78.021,79.011,78.063,78.194,78.411,78.26,77.895,77.829,78.165,77.596,78.869,75.193,70.23,68.806,69.218,71.144,72.997,74.911,74.677,73.978,74.829,74.398,72.753,76.306,78.698,77.992,79.547,82.135,80.705,83.599,90.232,85.447,81.934,81.964,82.321,80.7,82.359,83.417,82.939,83.091,83.807,82.06,81.984,81.887,82.121,83.915,84.28,85.389,86.957,86.645,86.831,88.74,90.421,90.221,92.41,92.162,89.708,89.061,89.613,87,86.349,85.344,84.87,84.627,87.764,90.786,93.014,98.029,98.656,100.638,102.677,101.237,101.553,99.013,93.645,93.483,96.168,98.303,100.164,108.286,102.09,103.119,104.112,107.656,111.217,113.43
"17","9","            Services","W107RG3",13.096,13.1,13.963,14.007,14.218,14.105,14.737,14.701,14.991,15.019,14.947,14.89,15.093,15.381,15.385,15.832,17.217,16.441,16.709,17.072,15.154,16.034,16.191,17.1,16.62,16.66,16.726,17.129,17.062,16.411,16.701,16.65,17.243,17.499,17.64,17.729,17.635,17.85,17.832,17.861,18.462,18.414,18.431,18.504,18.916,19.135,19.038,19.092,17.811,17.44,16.85,17.081,16.944,17.243,17.312,17.972,17.676,17.831,17.705,17.862,18.273,18.409,18.398,18.063,18.2,18.12,17.956,18.491,18.508,18.499,18.986,18.824,18.97,19.104,19.352,19.695,19.496,19.301,20.247,20.293,20.438,20.713,21.02,21.231,21.289,21.683,21.724,22.205,22.318,23.028,23.251,23.705,23.516,23.591,24.215,24.5,24.76,25.264,25.837,26.247,26.419,26.672,26.892,27.117,27.435,27.861,28.309,28.617,29.354,30.391,31.486,32.214,32.953,33.518,34.158,34.796,35.385,35.799,36.557,37.32,37.925,38.563,39.219,39.782,40.474,41.149,42.045,42.837,43.61,44.316,45.462,46.722,48.2,49.418,50.755,52.164,53.306,54.414,55.786,56.934,57.85,58.739,59.476,60.198,60.587,61.012,61.605,62.316,63.147,63.807,64.362,64.455,65.124,65.529,66.03,66.722,67.4,67.902,68.543,69.033,69.69,69.814,70.21,70.172,71.321,71.989,72.547,73.411,73.93,74.11,74.814,75.298,76.283,77.226,78.06,79.054,79.773,80.344,81.113,81.773,82.159,82.478,83.385,83.944,84.175,84.718,85.342,85.701,86.204,86.659,87.271,87.854,88.65,89.294,89.83,90.181,90.522,91.075,91.679,92.139,92.956,93.361,93.797,94.493,94.582,94.897,95.42,95.841,96.195,96.671,97.229,97.977,99.019,99.611,100.315,101.054,102.524,102.684,103.103,103.534,104.25,104.849,105.527,105.948,107.287,108.148,108.751,109.119,110.115,111.221,112.292
"18","10","        Less: Own-account investment \4\","W108RG3",8.305,8.425,8.629,8.894,9.027,9.181,9.423,9.565,9.69,9.59,9.655,9.712,9.762,9.808,10,10.043,10.679,10.611,10.696,10.818,11.048,11.166,11.272,11.445,11.527,11.64,11.534,11.71,11.775,11.988,12.088,12.168,12.272,12.417,12.378,12.472,12.684,12.827,12.975,13.087,13.255,13.428,13.561,13.705,14.006,14.19,14.223,14.281,14.098,14.188,14.223,14.278,14.388,14.435,14.645,14.737,14.803,14.852,14.901,14.963,15.107,15.107,15.126,15.297,15.391,15.448,15.44,15.547,15.66,15.703,15.818,15.908,16.02,16.083,16.193,16.354,16.485,16.639,16.851,16.991,17.196,17.361,17.505,17.813,18.025,18.226,18.489,18.761,18.979,19.233,19.643,19.898,20.348,20.689,21.025,21.3,21.755,22.131,22.422,22.571,22.786,23.032,23.368,23.652,24.116,24.565,24.974,25.477,26.183,27,27.899,28.699,29.354,29.945,30.568,31.136,31.673,32.21,32.765,33.35,34.027,34.72,35.364,36.083,36.691,37.343,37.88,38.404,39.201,39.99,41.156,41.916,43.023,44.11,45.15,46.424,47.701,48.565,49.163,49.994,50.801,51.594,52.351,53.257,53.958,54.7,55.384,56.021,56.754,57.378,57.997,58.501,59.153,59.719,60.181,60.769,61.085,61.368,61.849,62.591,63.088,63.597,64.337,64.943,65.696,66.832,67.646,68.249,69.128,69.987,70.763,71.431,72.283,73.153,74.068,75.114,76.06,76.364,76.987,77.445,78.28,78.974,79.683,80.184,81.09,81.67,82.298,82.745,83.878,84.495,84.978,85.565,86.949,87.433,87.868,88.64,89.505,89.384,89.783,90.403,91.18,91.398,91.781,92.288,92.699,93.113,93.61,93.977,94.62,95.629,96.602,97.431,98.861,99.408,100.55,101.181,101.905,102.631,103.296,103.682,104.422,105.299,106.079,106.802,108.36,108.564,109.316,109.745,111.243,112.183,113.057
"19","11","              Sales to other sectors","W109RG3",6.502,7.607,7.346,7.6,7.606,7.677,7.863,7.716,7.768,7.684,7.636,7.665,7.718,7.785,7.966,8.151,8.411,8.434,8.46,8.519,8.569,8.633,8.662,8.666,8.688,8.746,8.843,8.838,8.927,8.847,8.863,8.921,9.017,9.091,9.055,9.106,9.167,9.278,9.354,9.452,9.599,9.649,9.697,9.732,9.847,9.872,9.924,9.967,10.023,10.094,10.154,10.3,10.367,10.551,10.659,10.735,10.801,10.73,10.752,10.796,10.898,10.93,11.028,11.07,11.103,11.146,11.263,11.357,11.421,11.465,11.555,11.619,11.684,11.784,11.898,12.006,12.105,12.215,12.39,12.465,12.524,12.626,12.803,12.926,13.123,13.321,13.546,13.786,14.002,14.241,14.394,14.66,14.882,15.051,15.275,15.483,15.627,15.857,16.057,16.253,16.341,16.497,16.779,16.974,17.241,17.706,18.394,18.445,18.918,19.496,20.05,20.423,20.692,21.115,21.988,22.194,22.471,22.944,23.437,23.58,24.145,24.714,25.287,25.541,26.11,26.719,27.28,27.957,28.662,29.212,29.885,30.51,31.678,32.3,33.414,34.493,35.408,36.051,36.979,38.054,38.867,39.62,40.493,41.361,42.088,42.736,43.431,44.315,45.206,45.826,46.522,47.166,47.854,48.365,48.861,49.5,50.12,50.535,51.275,52.224,52.861,53.745,54.54,55.243,56.295,57.421,58.447,59.428,60.821,62.078,63.295,64.498,65.735,66.861,68.462,70.009,71.068,72.216,73.537,74.975,76.219,77.446,78.585,79.913,81.139,82.103,82.735,83.47,84.22,84.996,85.836,86.555,87.504,88.225,88.832,89.685,90.257,90.892,91.5,92.218,92.746,93.314,93.572,93.867,94.292,94.766,95.05,95.647,96.376,96.911,97.328,97.96,98.993,99.489,100.449,101.069,101.909,102.566,103.398,104.093,105.073,105.97,107.119,108.42,110.014,111.322,112.706,114.303,115.958,117.332,118.381
"20","12","Federal consumption expenditures \1\","A957RG3",11.276,11.194,10.647,10.642,10.704,10.698,10.801,10.825,11.271,11.268,11.116,11.336,11.292,11.115,11.163,11.066,11.777,11.402,11.399,11.559,11.318,11.562,11.66,11.892,11.739,11.828,11.739,11.882,12.033,12.082,12.165,12.265,12.525,12.889,12.999,13.129,13.25,13.476,13.533,13.542,13.876,13.955,14.049,14.196,14.483,14.664,14.797,14.859,14.665,14.55,14.377,14.41,14.436,14.486,14.741,14.962,14.916,14.943,14.908,14.966,15.165,15.209,15.285,15.451,15.571,15.572,15.527,15.933,16.091,16.134,16.435,16.446,16.55,16.608,16.846,17.238,17.275,17.236,17.731,17.719,17.691,17.902,18.087,18.475,18.661,18.898,19.281,19.547,19.559,19.813,20.468,20.705,21.383,21.605,21.944,22.146,23.016,23.489,23.854,24.399,25.337,25.55,25.708,26.36,26.851,27.255,27.803,28.435,28.841,29.505,30.49,31.778,32.489,32.927,33.582,34.581,34.945,35.345,35.895,37.027,37.771,38.239,38.437,39.79,40.095,40.491,41.037,42.219,42.831,43.456,44.353,46.384,47.295,48.368,49.186,51.914,52.744,53.515,54.032,56.05,56.798,57.426,57.905,59.047,59.397,59.821,60.236,60.38,63.274,63.932,64.463,64.57,65.723,65.876,65.743,66.709,66.737,66.756,66.999,67.358,67.925,68.217,68.546,68.635,69.521,70.133,70.221,70.329,71.708,71.915,72.337,72.366,73.483,74.232,74.711,76.15,77.33,77.472,78.173,78.786,79.936,80.535,81.156,80.933,81.926,82.505,83.288,83.721,84.306,85.169,85.184,85.882,86.988,87.004,87.352,89.078,90.352,89.962,90.43,91.171,92.191,92.316,92.514,93.075,93.505,93.68,93.886,94.138,95.454,96.062,96.706,97.426,99.416,99.115,100.505,100.963,101.58,101.865,102.578,103.232,105.38,105.817,106.371,107.884,110.455,110.556,110.888,111.217,113.189,113.983,114.496
"21","13","      Gross output of general government","W110RG3",11.156,11.238,10.658,10.664,10.7,10.704,10.809,10.82,11.272,11.268,11.111,11.329,11.288,11.116,11.165,11.069,11.78,11.417,11.413,11.571,11.333,11.576,11.671,11.901,11.751,11.841,11.751,11.894,12.046,12.091,12.174,12.276,12.538,12.896,12.995,13.126,13.246,13.474,13.531,13.544,13.876,13.954,14.047,14.191,14.483,14.661,14.789,14.851,14.662,14.552,14.383,14.419,14.444,14.494,14.746,14.962,14.919,14.945,14.91,14.968,15.167,15.21,15.285,15.451,15.571,15.572,15.53,15.932,16.089,16.135,16.433,16.443,16.547,16.604,16.839,17.227,17.262,17.228,17.714,17.703,17.676,17.885,18.071,18.461,18.647,18.885,19.269,19.541,19.562,19.812,20.449,20.687,21.354,21.574,21.912,22.116,22.983,23.459,23.83,24.37,25.269,25.482,25.644,26.29,26.79,27.207,27.76,28.389,28.79,29.471,30.441,31.71,32.411,32.843,33.495,34.49,34.87,35.28,35.825,36.953,37.717,38.179,38.408,39.761,40.088,40.49,41.04,42.225,42.842,43.479,44.413,46.386,47.39,48.439,49.283,51.998,52.833,53.604,54.095,56.086,56.819,57.432,57.908,59.044,59.384,59.811,60.206,60.359,63.198,63.83,64.363,64.467,65.597,65.737,65.615,66.566,66.569,66.526,66.766,67.16,67.741,68.038,68.387,68.482,69.363,69.984,70.075,70.179,71.563,71.812,72.238,72.28,73.382,74.11,74.612,76.109,77.184,77.348,78.07,78.7,79.837,80.436,81.059,80.863,81.903,82.494,83.241,83.68,84.27,85.134,85.144,85.836,86.939,86.956,87.31,89.023,90.289,89.913,90.373,91.152,92.181,92.294,92.486,93.068,93.507,93.686,93.887,94.146,95.459,96.071,96.721,97.431,99.41,99.116,100.501,100.973,101.589,101.875,102.586,103.233,105.38,105.819,106.376,107.874,110.435,110.544,110.88,111.21,113.185,113.975,114.49
"22","14","        Value added","W111RG3",8.291,8.339,7.767,7.756,7.738,7.764,7.807,7.846,8.205,8.217,8.127,8.336,8.237,7.972,8.082,7.908,8.437,8.143,8.076,8.16,8.341,8.442,8.514,8.607,8.58,8.686,8.583,8.665,8.689,8.832,8.826,8.916,9.034,9.414,9.49,9.553,9.698,9.904,9.974,9.987,10.16,10.251,10.362,10.492,10.782,10.977,11.182,11.239,11.368,11.4,11.429,11.434,11.484,11.459,11.747,11.814,11.823,11.848,11.855,11.873,11.964,11.968,12.056,12.353,12.486,12.515,12.515,12.867,13.068,13.119,13.281,13.375,13.438,13.503,13.709,14.08,14.164,14.223,14.456,14.41,14.358,14.526,14.633,15.195,15.353,15.499,16.012,16.197,16.228,16.299,17.113,17.256,18.278,18.56,18.789,19.021,20.051,20.502,20.809,21.363,22.582,22.749,22.872,23.654,24.02,24.32,24.776,25.502,25.708,26.111,26.727,27.942,28.575,28.971,29.426,30.527,30.772,31.123,31.483,32.648,33.43,33.846,33.996,35.418,35.598,35.873,36.22,37.447,37.858,38.36,38.861,40.685,41.247,41.869,42.427,45.546,46.132,46.719,47.031,49.371,50.029,50.651,50.958,52.067,52.234,52.837,53.109,53.295,57.344,57.791,58.29,58.522,60.121,60.137,59.777,60.674,60.842,61.188,61.434,61.765,62.641,62.741,62.744,62.91,64.291,65.19,65.602,65.7,67.41,67.647,67.835,67.534,68.758,69.551,69.654,70.915,72.722,73.165,73.98,74.502,76.473,77.305,77.598,77.126,78.746,79.366,80.3,80.803,81.675,82.673,82.37,83.178,84.694,84.402,84.698,87.192,89.042,88.219,88.679,89.504,90.895,91.052,91.181,91.787,92.762,92.903,92.997,93.224,95.297,95.976,96.535,97.129,99.648,98.894,100.605,100.853,101.634,101.998,102.974,104.279,107.722,107.97,107.938,110.129,113.701,113.999,114.24,114.406,117.357,117.617,117.753
"23","15","          Compensation of general government employees","B568RG3",6.578,6.604,5.636,5.555,5.59,5.612,5.555,5.587,5.956,6.048,6.028,6.268,6.154,5.859,5.933,5.627,6.125,5.837,5.765,5.833,6.011,6.105,6.146,6.225,6.202,6.287,6.22,6.302,6.316,6.432,6.405,6.455,6.575,6.98,7.016,7.024,7.101,7.291,7.34,7.316,7.422,7.499,7.57,7.683,8.055,8.255,8.429,8.456,8.606,8.638,8.649,8.647,8.696,8.658,8.977,9.047,9.045,9.072,9.06,9.067,9.145,9.16,9.196,9.462,9.6,9.606,9.61,10.023,10.246,10.305,10.488,10.58,10.638,10.682,10.889,11.291,11.375,11.395,11.555,11.489,11.42,11.574,11.655,12.231,12.363,12.507,13.027,13.177,13.16,13.182,14.034,14.143,15.192,15.438,15.616,15.795,16.834,17.264,17.555,18.124,19.336,19.493,19.556,20.314,20.631,20.861,21.261,22.009,22.123,22.396,22.817,23.963,24.575,24.929,25.281,26.344,26.457,26.738,26.994,28.131,28.803,29.16,29.315,30.704,30.677,30.841,31.076,32.369,32.751,33.104,33.44,35.289,35.776,36.167,36.628,39.824,40.208,40.623,40.756,43.176,43.653,44.132,44.328,45.536,45.663,46.271,46.344,46.517,50.97,51.409,51.994,52.17,54.052,54.189,53.722,54.794,55.146,55.475,55.75,56.177,57.178,57.452,57.479,57.627,59.176,60.177,60.612,60.56,62.555,62.78,62.9,62.389,63.758,64.652,64.643,65.965,68.032,68.532,69.393,69.979,72.506,73.453,73.78,72.939,74.678,75.325,76.364,76.863,77.861,78.853,78.28,78.909,80.709,80.238,80.6,83.771,86.271,85.19,85.764,86.854,88.753,88.938,89.168,89.851,91.274,91.363,91.499,91.766,94.41,95.183,95.797,96.421,99.598,98.545,100.769,101.089,102.104,102.45,103.765,105.65,110.153,110.505,110.438,113.183,118.061,118.402,118.612,118.886,122.572,122.536,122.548
"24","16","          Consumption of general government fixed capital \2\","B995RG3",18.343,18.507,19.09,19.36,19.158,19.249,19.772,19.88,20.254,19.864,19.399,19.423,19.346,19.253,19.554,20.413,20.868,20.85,20.958,21.107,21.073,21.116,21.411,21.531,21.492,21.677,21.354,21.377,21.477,21.733,21.899,22.228,22.262,22.253,22.586,23.009,23.565,23.796,23.985,24.253,24.819,24.968,25.303,25.496,25.114,25.199,25.531,25.777,25.717,25.748,25.887,25.935,25.978,26.038,26.049,26.078,26.151,26.157,26.283,26.363,26.511,26.448,26.839,27.253,27.317,27.482,27.454,27.331,27.346,27.337,27.329,27.421,27.504,27.682,27.831,27.915,27.96,28.241,28.881,28.985,29.081,29.277,29.527,29.774,30.05,30.158,30.423,30.779,31.123,31.512,31.754,32.081,32.561,32.996,33.487,33.995,34.632,35.072,35.384,35.659,36.551,36.735,37.205,37.902,38.472,39.137,39.803,40.162,40.895,42.022,43.727,44.996,45.552,46.098,47.083,48.069,49.108,49.807,50.73,51.698,52.941,53.614,53.681,54.858,56.335,57.258,58.229,58.618,59.092,60.4,61.816,62.922,63.787,65.698,66.709,68.417,70.117,71.618,72.956,74.159,75.751,77.083,77.99,78.221,78.591,79.025,80.4,80.615,81.504,81.897,81.824,82.317,82.124,81.498,81.755,81.63,80.858,81.244,81.324,81.169,81.363,80.66,80.56,80.79,81.316,81.706,81.997,82.723,83.139,83.409,83.867,84.429,84.998,85.341,85.885,86.848,87.559,87.761,88.371,88.635,88.498,88.885,89.049,89.895,91.049,91.559,92.113,92.621,93.069,94.077,94.67,96.046,96.615,96.888,96.958,97.32,97.172,97.138,97.238,97.254,97.119,97.189,97.016,97.394,97.044,97.34,97.311,97.427,97.837,98.25,98.649,99.157,99.795,99.905,100.128,100.172,100.293,100.706,100.71,100.36,100.764,100.705,100.771,101.346,101.102,101.275,101.608,101.455,102.247,103.377,103.878
