"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"13","6","Equals: Net private domestic investment","A557RA3",2.572,-1.748,-4.718,-8.006,-6.899,-4.792,-1.176,0.887,3.087,-1.166,1.11,4.999,7.899,-0.465,-4.046,-2.636,-0.58,12.997,11.27,16.578,9.166,17.403,16.83,13.421,14.128,12.161,18.25,17.134,15.052,11.576,17.697,16.88,16.086,20.078,21.754,24.491,29.664,32.55,28.671,30.602,32.013,26.579,32.085,37.17,43.362,35.253,20.852,31.709,40.5,47.79,48.049,35.359,41.684,26.217,31.987,54.898,50.131,48.009,48.773,49.352,50.276,43.406,29.983,35.992,45.064,56.723,57.309,65.802,79.329,89.782,96.78,100,70.754,63.129,67.787
"14","7","  Fixed investment","A007RA3",7.12,5.456,3.784,2.202,1.946,2.516,3.26,4.34,5.088,4.031,4.838,5.812,6.632,3.743,2.889,3.547,4.856,8.971,10.792,11.885,10.865,12.976,12.429,12.195,13.048,13.251,14.977,15.034,14.872,13.806,15.736,15.87,15.82,17.248,18.584,20.378,22.459,23.745,23.306,24.935,26.486,25.931,27.894,31.246,34.101,31.971,28.541,31.356,35.863,40.205,42.473,39.708,40.591,37.737,40.491,47.331,49.823,50.403,50.682,52.352,53.928,52.803,49.379,52.312,56.788,62.079,66.09,72.018,78.657,86.657,93.884,100,97.047,92.253,96.924
"15","8","  Less: Consumption of fixed capital","B024RA3",7.278,7.458,7.406,7.181,6.903,6.703,6.627,6.695,6.874,6.952,6.979,7.129,7.358,7.375,7.188,7.106,7.202,7.597,8.214,8.854,9.383,9.898,10.395,10.75,11.201,11.665,12.144,12.629,13.085,13.678,13.616,14.221,14.641,15.032,15.794,16.385,17.379,18.703,19.644,20.592,22.073,23.127,23.902,25.764,27.401,29.081,30.063,31.145,32.846,34.997,37.062,38.552,39.812,41.457,42.82,45.303,48.085,49.095,51.15,52.78,55.693,57.712,60.45,62.669,63.859,68.344,71.375,75.122,80.436,86.347,93.044,100,108.147,110.067,113.44
"16","9","  Equals: Net fixed investment","A560RA3",6.892,2.573,-1.431,-4.967,-5.192,-3.513,-1.588,0.949,2.516,-0.175,1.755,3.916,5.587,-1.487,-3.301,-1.578,1.478,10.949,14.504,16.249,12.999,17.408,15.358,14.276,15.708,15.535,19.056,18.497,17.445,13.99,18.789,18.244,17.518,20.439,22.601,26.128,29.774,31.005,28.579,31.189,32.84,29.969,33.642,39.14,43.748,36.132,26.349,31.66,40.207,47.704,50.264,41.373,41.713,32.38,37.137,50.251,52.326,52.286,50.008,51.736,51.387,45.734,33.438,37.399,46.606,53.058,58.48,67.548,76.095,87.103,95.094,100,81.064,66.602,73.142
"17","10","    Nonresidential","A008RA3",5.742,4.732,3.1,1.857,1.676,2.134,2.703,3.654,4.377,3.209,3.581,4.433,5.219,3.072,2.568,3.41,4.791,7.065,8.222,8.652,7.858,8.581,8.977,8.803,9.595,9.389,10.43,11.025,11.193,9.964,10.76,11.371,11.299,12.284,12.966,14.504,17.031,19.16,18.9,19.746,21.246,21.134,21.135,23.072,26.429,26.653,24.022,25.2,28.045,32.243,35.489,35.388,37.398,35.981,35.518,41.788,44.561,43.287,43.259,45.52,48.063,48.302,45.712,47.179,51.287,55.999,61.885,67.661,75.82,84.232,91.98,100,95.817,87.302,90.157
"18","11","    Less: Consumption of fixed capital","A753RA3",6.353,6.524,6.458,6.221,5.938,5.732,5.649,5.713,5.89,5.96,5.971,6.106,6.322,6.32,6.123,6.044,6.159,6.565,7.163,7.767,8.248,8.705,9.137,9.428,9.823,10.229,10.637,11.045,11.429,11.965,11.78,12.304,12.635,12.931,13.613,14.098,15.014,16.299,17.183,18.066,19.514,20.496,21.142,22.81,24.461,26.112,27.04,28.054,29.713,31.846,33.853,35.291,36.517,38.194,39.536,42.122,44.957,45.823,47.819,49.34,52.166,54.359,57.198,59.106,60.581,64.846,68.556,72.565,78.345,84.828,92.1,100,109.239,111.119,114.58
"19","12","    Equals: Net nonresidential","A593RA3",4.493,1.07,-3.763,-7.062,-7.035,-5.219,-3.318,-0.554,1.285,-2.413,-1.304,1.014,2.965,-3.566,-4.698,-1.973,1.995,8.087,10.386,10.461,7.061,8.328,8.65,7.526,9.129,7.672,10.007,10.984,10.711,5.874,8.675,9.464,8.569,10.962,11.644,15.334,21.153,25.007,22.409,23.18,24.786,22.438,21.121,23.607,30.451,27.759,17.854,19.367,24.636,33.054,38.833,35.586,39.199,31.458,27.306,41.105,43.752,38.104,33.939,37.713,39.677,35.923,22.237,22.803,32.292,37.918,48.251,57.638,70.659,83.014,91.735,100,68.385,38.625,40.242
"20","13","      Structures","B009RA3",27.415,23.456,15.098,9.257,7.193,8.101,8.978,11.773,14.932,11.942,12.599,14.312,16.994,10.506,7.635,9.998,13.48,26.624,24.223,25.483,24.638,26.406,28.421,28.313,30.831,31.886,34.176,37.76,37.743,35.68,36.53,39.433,39.966,41.775,42.239,46.626,54.058,57.751,56.284,57.102,60.189,60.364,59.37,61.201,66.2,64.785,57.984,59.39,61.841,70.769,79.731,84.35,91.074,89.528,79.865,91.016,97.502,86.817,84.34,84.885,86.583,87.867,78.091,73.423,72.891,74.18,78.903,83.354,89.432,94.019,93.619,100,97.737,80.346,75.81
"21","14","      Less: Consumption of fixed capital","B188RA3",22.678,23.192,23.282,22.929,22.394,21.973,21.716,21.637,21.752,21.841,21.867,21.993,22.244,22.425,22.45,22.588,22.866,23.135,23.65,24.119,24.603,25.107,25.738,26.439,27.2,27.981,28.785,29.715,30.68,31.49,33.15,32.989,33.851,34.772,35.74,36.817,38.171,39.748,41.316,42.817,44.374,45.951,47.49,49.623,52.835,54.044,55.353,56.665,58.13,59.706,61.975,64.356,67.338,70.538,72.971,75.312,78.154,80.416,82.037,83.592,86.073,86.704,88.164,89.901,90.205,93.41,92.043,93.037,94.64,96.494,98.92,100,109.064,106.206,106.845
"22","15","      Equals: Net structures","A594RA3",32.886,23.761,5.646,-6.533,-10.363,-7.92,-5.734,0.381,7.055,0.509,1.895,5.441,10.931,-3.26,-9.475,-4.543,2.64,30.654,24.885,27.058,24.678,27.906,31.52,30.477,35.025,36.396,40.402,47.051,45.9,40.519,40.434,46.875,47.028,49.863,49.745,57.955,72.407,78.543,73.571,73.6,78.454,77.01,73.091,74.573,81.636,77.19,61.023,62.537,66.127,83.546,100.238,107.442,118.488,111.46,87.827,109.153,119.848,94.21,87,86.378,87.172,89.21,66.457,54.392,52.894,51.97,63.727,72.171,83.417,91.161,87.497,100,84.655,50.479,39.966
"23","16","      Equipment and software","B010RA3",2.597,2.059,1.374,0.805,0.824,1.139,1.552,2.129,2.475,1.723,1.989,2.577,3.022,1.733,1.557,2.082,2.982,3.718,5.055,5.32,4.663,5.147,5.297,5.144,5.611,5.296,6.022,6.182,6.343,5.418,6.065,6.322,6.2,6.917,7.5,8.457,10.007,11.609,11.532,12.25,13.334,13.201,13.332,15.052,17.812,18.268,16.529,17.562,20.208,23.284,25.318,24.407,25.445,24.122,25.42,30.462,32.397,33.011,33.463,35.987,38.624,38.636,37.643,40.387,45.428,50.846,56.93,62.981,71.641,81.137,91.437,100,95.136,89.947,95.679
"24","17","      Less: Consumption of fixed capital","B189RA3",4.037,4.155,4.082,3.887,3.664,3.505,3.448,3.517,3.68,3.74,3.749,3.868,4.056,4.037,3.841,3.751,3.837,4.214,4.767,5.338,5.782,6.194,6.568,6.79,7.113,7.446,7.776,8.094,8.383,8.845,8.48,9.028,9.274,9.478,10.069,10.448,11.238,12.383,13.12,13.864,15.19,16.033,16.527,18.035,19.391,21.03,21.866,22.794,24.413,26.549,28.451,29.698,30.612,31.999,33.132,35.688,38.452,39.069,41.071,42.546,45.361,47.768,50.782,52.681,54.329,58.715,63.327,67.887,74.494,81.987,90.405,100,109.284,112.498,116.774
"25","18","      Equals: Net equipment and software","A747RA3",-1.063,-3.268,-5.509,-7.028,-6.394,-4.875,-3.267,-1.399,-0.588,-3.404,-2.484,-0.704,0.394,-4.123,-4.248,-2.16,0.809,2.457,5.787,5.274,1.819,2.486,2.067,0.96,1.793,-0.169,1.564,1.322,1.158,-3.292,-0.073,-0.556,-1.613,0.408,0.97,3.397,6.878,9.642,7.496,8.148,8.617,6.003,5.211,7.47,13.799,11.248,2.964,4.264,9.52,14.985,17.355,10.959,12.312,4.101,5.819,17.179,17.007,17.614,14.126,19.316,21.501,15.425,4.248,9.14,22.805,30.846,40.671,50.512,64.39,78.977,94.06,100,59.176,32.63,42.063
"26","19","    Residential","A011RA3",13.092,7.958,6.656,3.515,2.871,3.931,5.499,6.964,7.573,7.614,10.786,12.164,12.925,6.538,3.884,3.345,3.933,16.564,21.348,25.543,23.613,32.308,27.046,26.562,27.502,29.782,34.607,31.79,29.846,30.159,37.82,35.129,35.227,38.604,43.154,45.662,44.329,40.362,39.092,44.421,45.733,42.998,54.789,64.526,64.112,50.877,44.271,54.698,66.44,70.623,68.032,53.636,49.336,40.378,57.093,65.566,66.604,74.776,76.269,75.496,73.204,66.887,60.46,68.825,74.446,81.621,79.005,85.331,86.947,93.597,99.254,100,100.357,105.178,114.392
"27","20","    Less: Consumption of fixed capital","A754RA3",13.343,13.556,13.642,13.629,13.553,13.506,13.525,13.614,13.743,13.866,14.029,14.272,14.558,14.735,14.711,14.624,14.538,14.775,15.448,16.286,17.122,18.031,18.974,19.799,20.628,21.494,22.476,23.517,24.493,25.432,26.517,27.692,28.803,29.952,31.226,32.625,34.045,35.366,36.576,37.871,39.323,40.767,42.482,45.612,46.884,48.571,49.842,51.3,53.068,55.079,57.346,59.08,60.457,61.675,63.05,64.536,66.681,68.646,70.971,73.252,76.584,77.309,79.208,83.405,82.667,88.405,87.119,89.2,91.713,94.348,97.917,100,102.74,104.843,107.8
"28","21","    Equals: Net residential","A748RA3",12.947,4.727,2.623,-2.323,-3.295,-1.596,0.866,3.125,4.011,4.005,8.914,10.947,11.982,1.806,-2.366,-3.166,-2.189,17.597,24.754,30.887,27.36,40.55,31.706,30.466,31.47,34.566,41.61,36.566,32.936,32.888,44.345,39.422,38.935,43.598,50.04,53.188,50.266,43.246,40.544,48.202,49.433,44.286,61.893,75.444,74.057,52.208,41.055,56.66,74.159,79.596,74.201,50.493,42.916,28.084,53.654,66.161,66.56,78.315,79.327,76.791,71.253,60.871,49.638,60.409,69.7,77.705,74.321,83.098,84.196,93.163,100.026,100,98.981,105.371,118.197
"29","22","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","23","Gross government investment \1\","A782RA3",6.568,7.808,8.192,7.189,5.741,6.927,7.34,10.247,9.154,10.17,11.125,10.763,24.153,63.058,85.73,86.032,61.104,8.044,9.221,12.873,17.779,18.27,29.421,36.414,39.774,37.527,34.371,34.442,35.032,38.174,41.89,40.647,44.755,46.787,46.688,47.556,48.225,52.397,55.043,53.722,50.163,46.701,41.728,38.957,40.092,42.043,42.822,43.449,42.171,45.431,48.242,49.637,48.132,47.556,51.22,57.544,65.422,71.401,75.458,75.035,78.019,83.078,83.454,84.195,80.964,79.9,81.691,84.919,86.857,89.85,96.545,100,104.87,111.203,113.527
"31","24","Less: Consumption of fixed capital","A264RA3",3.732,3.924,4.139,4.323,4.455,4.608,4.827,5.11,5.364,5.667,5.985,6.342,7.663,12.603,22.045,32.767,39.049,37.397,31.913,27.536,24.748,22.888,22.852,24.779,26.944,28.574,29.34,29.853,30.402,30.911,31.839,32.943,33.935,35.314,36.656,37.846,38.882,40.104,41.701,43.127,44.066,44.596,44.469,44.038,43.897,44.18,44.831,45.637,46.444,47.279,48.36,49.729,51.169,52.756,54.723,57.325,60.67,64.381,68.047,71.393,74.813,78.148,81.289,83.911,85.98,87.641,88.778,90.301,92.108,94.274,97.1,100,103.379,105.124,107.804
"32","25","Equals: Net government investment","A889RA3",11.763,14.923,15.617,12.439,8.097,11.175,11.944,19.657,16.097,18.419,20.541,18.862,54.361,155.485,202.393,183.607,101.506,-45.727,-32.348,-13.988,5.013,9.81,41.455,57.728,63.277,53.928,43.587,42.848,43.514,51.479,60.302,54.76,64.576,67.804,65.065,65.344,65.34,74.916,79.484,73.131,61.332,50.557,36.707,29.649,33.122,38.128,39.142,39.441,34.343,42.046,48.026,49.468,42.569,38.03,44.803,57.945,74.127,84.261,89.034,81.707,83.892,92.109,87.42,84.715,71.775,65.719,68.708,75.06,77.238,81.746,95.528,100,107.601,122.339,124.011
"33","26","          Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","            National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","28","            Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","          State and local","B893RA3",19.191,23.158,23.165,17.118,8.126,10.435,9.139,21.081,16.658,20.577,25.074,18.245,10.236,1.412,-4.335,-5.325,-4.291,0.814,6.792,11.195,18.568,22.111,22.785,23.117,25.699,32.626,35.882,36.324,39.186,43.75,44.561,44.389,48.306,49.629,54.665,58.892,63.273,67.617,71.816,74.684,68.654,60.831,56.792,52.497,51.676,51.105,48.934,46.181,39.854,46.246,49.488,48.646,39.412,33.026,33.002,41.637,49.752,54.626,55.298,58.884,62.459,69.45,69.656,68.804,64.737,65.867,69.739,73.666,82.035,83.348,93.517,100,105.805,113.278,110.946
"37","30","  Structures","A760RA3",19.786,24.018,24.982,21.893,16.933,19.328,20.225,30.262,26.357,28.926,31.675,30.227,46.511,77.369,41.454,20.025,15.245,9.04,13.646,18.913,26.16,30.129,35.782,40.337,42.487,45.445,45.055,45.89,48.703,54.59,55.613,55.426,60.044,60.896,64.202,66.972,70.833,74.675,76.286,78.554,74.262,68.769,68.09,64.969,64.845,64.246,63.926,62.966,59.664,65.5,66.802,67.106,61.331,56.335,56.299,61.474,67.48,71.808,74.185,74.606,74.679,79.84,81.699,83.055,81.586,81.71,84.264,88.057,91.423,91.199,96.817,100,104.831,110.493,111.107
"38","31","  Less: Consumption of fixed capital","B894RA3",12.152,12.809,13.589,14.252,14.773,15.223,15.711,16.483,17.317,18.177,19.048,19.954,21.184,23.592,25.797,26.716,27.046,27.02,26.828,26.871,27.28,27.856,28.673,29.694,30.863,32.143,33.433,34.684,35.922,37.342,38.822,40.343,41.867,43.538,45.253,47.017,48.827,50.77,52.754,54.785,56.775,58.508,60.109,61.577,62.966,64.278,65.522,66.691,67.776,68.877,70.111,71.353,72.473,73.398,74.203,75.095,76.2,77.473,78.837,80.219,81.867,82.994,84.557,86.134,87.684,89.616,90.683,92.407,94.36,96.162,98.021,100,103.384,104.051,106.41
"39","32","  Equals: Net structures","A895RA3",26.615,34.046,35.174,28.729,18.865,23,24.263,42.589,34.444,38.542,42.971,39.417,69.168,125.478,55.461,14.039,4.688,-7.045,1.853,11.794,25.158,32.162,42.142,49.858,52.886,57.345,55.452,55.915,60.137,70.02,70.634,68.919,76.305,76.424,81.154,84.824,90.519,96.06,97.338,99.818,89.906,77.948,75.23,68.003,66.526,64.217,62.498,59.634,52.407,62.479,63.842,63.307,51.363,41.071,40.282,49.289,59.679,66.74,70.023,69.585,68.249,77.018,79.142,80.301,76.131,74.637,78.522,84.166,88.796,86.759,95.74,100,106.125,116.256,115.309
"40","33","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","            State and local","B899RA3",23.631,29.468,29.24,21.413,9.899,13.063,11.327,27.07,20.665,25.676,31.301,22.92,12.962,1.709,-5.592,-6.996,-5.726,0.282,7.372,12.664,22.358,27.142,28.035,28.33,31.643,40.495,45.117,45.26,48.105,54.395,55.292,54.564,59.812,61.387,67.239,72.094,77.658,82.829,88.418,92.16,83.906,73.732,68.822,62.389,60.409,59.114,57.273,54.529,47.169,54.868,58.056,56.542,45.587,37.207,35.617,44.227,52.361,57.725,59.038,62.89,63.954,71.916,74.835,74.05,69.712,69.092,72.63,77.887,85.451,83.696,93.076,100,106.394,115.063,113.373
"44","37","  Equipment and software","A871RA3",0.792,0.745,0.865,0.769,0.794,1.373,1.552,1.386,1.518,1.837,1.996,2.101,13.154,53.726,107.311,120.086,84.655,6.422,5.091,7.208,9.928,7.96,21.56,29.519,33.4,27.627,22.922,22.461,21.449,22.337,27.395,25.613,28.846,31.376,29.056,28.556,26.993,30.918,34.012,30.24,27.562,25.937,18.035,15.736,17.641,21.482,23.174,25.113,25.569,26.548,30.473,32.788,35.252,38.837,45.935,53.271,62.845,70.396,76.199,74.833,81.131,86.02,84.654,84.664,79.376,76.888,77.715,80.187,80.174,87.789,96.114,100,104.933,112.452,117.928
"45","38","  Less: Consumption of fixed capital","B900RA3",1.055,1.1,1.141,1.178,1.195,1.251,1.368,1.485,1.556,1.674,1.806,1.972,3.117,8.197,19.38,32.841,40.873,38.72,31.55,25.661,21.725,19.015,18.623,20.814,23.268,24.928,25.419,25.59,25.812,25.904,26.535,27.385,28.088,29.242,30.33,31.199,31.843,32.678,33.994,35.062,35.482,35.44,34.518,33.207,32.316,32.038,32.342,32.928,33.561,34.226,35.19,36.597,38.199,40.147,42.745,46.251,50.796,55.874,60.912,65.475,70.012,74.76,78.912,82.201,84.6,86.079,87.258,88.639,90.336,92.772,96.352,100,103.373,106.069,109.04
