"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"22","15","      Equipment and software","A873RX1",64.2,61.8,58.7,51.1,46.8,43.7,43.8,38.9,40.1,42.5,43.8,46.4,52.5,56.8
"23","16","  Nondefense","A825RX1",178.6,182.8,195.4,194.1,191.7,191,189.6,194.5,195.9,201.5,208.5,216.5,232,237.6
"24","17","    Consumption expenditures","A542RX1",156.5,158.4,168.2,166,167.3,164.7,161.1,166.6,164.8,168.1,177.8,185.8,199,204
"25","18","    Gross investment","A798RX1",23.1,25,27.6,28.2,25.2,26.7,28.6,28.2,31.2,33.4,30.7,30.7,32.9,33.5
"26","19","      Structures","A830RX1",10.6,11.8,13.2,14.1,12.7,12.6,12.7,10.9,11.5,11.1,8.3,8,9.3,9.4
"27","20","      Equipment and software","B880RX1",12.9,13.7,15,15,13.3,14.7,16.4,17.5,19.8,22.3,22.3,22.7,23.6,24.1
"28","21","State and local","A829RX1",868.4,886.8,906.5,919.5,943.3,968.3,990.5,1025.9,1063,1113.2,1142.8,1179,1211.4,1219.8
"29","22","  Consumption expenditures","A991RX1",714.2,729,746.5,761.4,780.6,798.4,812.8,834.9,866.4,900.3,917.8,941.2,962.2,969
"30","23","  Gross investment","A799RX1",154.6,158.2,160.3,158.7,163.2,170.4,178,191.1,196.7,212.9,225,237.8,249.2,250.9
"31","24","    Structures","A842RX1",132.1,136.5,137,133.9,134.9,139.5,146.3,155.8,155.6,167,176,186,195.7,196.1
"32","25","    Equipment and software","B881RX1",25,24.8,25.9,26.8,29.5,31.7,32.7,36.1,41.2,45.9,49,51.7,53.5,54.8
"33","26","Residual","A979RX1",1,0.4,0.3,-0.8,-1.5,-1.1,-0.8,-1.2,-0.3,-0.1,0.1,0,-0.3,0.1
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
