"","Table 5#6#3# Real Private Fixed Investment in Intellectual Prope","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","5","  Own account","Y005RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","6","Research and development \2,3\","Y006RA3",0.89,0.988,1.195,1.192,1.207,1.372,1.473,1.497,1.505,1.703,1.625,1.876,2.745,2.575,1.684,1.659,1.69,2.607,2.994,3.041,2.632,3.097,3.285,4.467,5.624,5.967,6.166,7.87,8.023,8.492,9.161,10.095,10.708,11.596,12.451,13.422,15.039,16.762,18.523,20.035,21.347
"14","7","  Business","Y007RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.38,10.353,10.921,11.758,12.57,13.522,15.144,16.88,18.661,20.215,21.638
"15","8","    Manufacturing","Y027RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.164,12.306,12.876,13.924,14.897,16.035,17.917,19.972,22.006,23.876,25.506
"16","9","      Pharmaceutical and medicine manufacturing","Y009RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.338,1.389,1.557,1.679,1.825,1.746,2.13,2.542,2.842,3.264,3.515
"17","10","      Chemical manufacturing, excluding pharmaceutical and medicine","Y010RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.984,33.874,36.686,39.216,41.977,46.77,50.136,51.73,54.152,56.138,57.139
"18","11","      Semiconductor and other electronic component manufacturing","Y012RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771,0.956,1.172,1.291,1.414,1.622,1.946,2.2,2.496,2.631,2.781
"19","12","      Other computer and electronic product manufacturing","Y013RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.109,11.81,13.991,15.493,17.319,18.833,21.326,24.298,26.21,28.858,32.429
"20","13","      Motor vehicles, bodies and trailers, and parts manufacturing","Y014RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.759,28.785,30.329,30.81,34.325,36.754,38.995,43.182,42.848,47.552,51.677
"21","14","      Aerospace products and parts manufacturing","Y015RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.387,15.514,16.719,19.355,19.324,19.446,27.807,34.203,48.249,51.086,54.167
"22","15","      Other manufacturing","Y016RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.791,23.267,22.306,24.221,25.281,27.391,29.408,32.36,34.989,38.196,40.214
"23","16","    Nonmanufacturing","Y028RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705,0.85,1.413,1.221,1.252,1.301,1.654,1.839,2.387,2.405,2.819
"24","17","      Scientific research and development services","Y029RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","18","      All other nonmanufacturing","Y008RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","  Nonprofit institutions serving households","Y017RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.029,6.406,7.671,9.301,10.778,12.02,13.581,15.111,16.603,17.52,17.273
"27","20","    Universities and colleges \4\","Y018RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.081,4.295,4.582,4.864,5.12,6.245,8.395,10,11.124,11.572,11.328
"28","21","    Other nonprofit institutions","Y019RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.425,6.835,8.291,10.186,11.905,13.172,14.616,16.129,17.693,18.706,18.459
"29","22","Entertainment, literary, and artistic originals","Y020RA3",6.747,6.455,5.292,5.054,5.378,6.232,7.042,8.373,9.058,9.461,9.388,9.14,10.76,10.434,11.636,11.701,14.063,14.497,12.73,11.886,12.94,12.889,11.52,12.595,14.128,14.688,17.083,16.752,17.955,18.353,20.29,18.888,22.798,21.86,23.51,22.263,24.793,27.014,26.81,28.058,26.456
"30","23","  Theatrical movies","Y021RA3",12.16,12.729,10.246,10.965,13.264,15.287,17.335,21.503,23.166,24.209,23.665,21.949,26.001,23.376,26.646,25.551,31.36,33.406,28.092,25.901,29.83,26.995,18.633,19.115,21.603,19.921,23.339,16.569,18.463,20.178,22.075,14.836,25.774,20.558,23.928,21.004,24.946,21.986,22.594,29.396,21.702
"31","24","  Long-lived television programs","Y022RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482,1.396,2.956,4.497,5.73,7.389,9.247,11.26,12.108,11.909,13.199,13.593,13.84,13.878,14.466,13.691,15.416,18.431,16.044,14.691,15.084
"32","25","  Books","Y023RA3",21.642,19.178,18.053,16.014,13.067,15.588,17.426,18.772,20.985,21.154,20.23,22.459,24.235,27.803,28.333,32.343,35.106,27.337,28.603,27.119,26.11,26.702,26.654,26.143,26.491,26.932,29.376,32.008,32.993,33.837,37.148,39.804,42.663,46.178,49.766,56.165,57.073,62.396,65.718,64.86,65.814
"33","26","  Music","Y024RA3",7.406,5.714,3.024,1.523,1.367,1.727,2.139,2.355,2.436,2.934,3.804,3.828,5.858,6.355,7.629,7.694,11.117,14.116,11.395,10.595,10.428,11.798,12.867,14.156,14.957,15.179,16.83,18.95,19.97,19.588,23.032,24.248,28.147,29.968,30.288,25.337,27.908,37.672,45.873,45.309,50.166
"34","27","  Other","Y025RA3",11.878,10.529,10.096,9.285,8.648,9.18,9.795,10.347,10.83,11.478,12.16,12.908,13.917,15.299,16.684,18.115,19.165,21.038,22.221,22.415,23.008,24.008,24.566,24.571,25.759,27.424,28.404,29.375,29.889,30.173,30.981,31.47,31.911,33.102,34.067,36.074,36.851,38.733,40.376,41.398,42.521
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Research and development (R&D) asset types are defined by the type of funder.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. R&D investment excludes expenditures for software development. Software development expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","are included in software investment on line 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4. Includes R&D investment by private universities and colleges. R&D investment by public universities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and colleges is included in state and local government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
