"","Table 5#4#4AU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159"
"23","15","    Petroleum and natural gas","B319RG3",14.259,14.721,15.093,15.183,15,14.722,14.442,14.348,14.351,14.258,14.165,14.257,14.536,14.63,14.63,14.35,14.257,14.071,13.885,13.703,13.885,13.977,13.977,14.072,14.074,14.171,14.358,14.449,14.728,15.098,15.373,15.562,15.557,15.651,15.743,16.02,16.114,16.387,16.574,16.847,16.845,17.118,17.396,17.493,17.777,18.34,18.532,18.345,18.069,18.528,18.989,19.259,19.532,19.992,20.363,20.455,20.736,21.018,21.373,21.993,22.973,26.079,28.474,30.153,31.862,33.007,33.85,35.138,35.128,35.785,37.043,38.316,40.288,42.644,44.92,46.669,47.883,50.64,52.775,55.205,58.205,59.91,61.812,61.864,60.269,60.492,60.904,63.672,72.113,79.025,84.768,92.468,96.299,97.066,95.27,91.372,82.16,76.788,74.197,71.217,68.938,69.935,69.29,69.282,69.993,69.091,69.212,68.995,68.294,67.039,64.92,62.536,57.58,55.356,54.343,55.318,58.896,60.772,62.115,63.175,63.56,63.934,64.499,64.777,64.659,65.78,67.322,69.541,74.047,73.356,70.538,64.811,64.64,64.856,65.242,65.843,65.426,65.671,66.142,66.584,66.635,66.339,67.764,68.816,69.728,70.112,75.243,78.825,74.755,74.286,78.852,80.664,84.791,87.596,89.353,92.156
"24","16","    Mining","B320RG3",15.095,15.095,15.028,15.031,15.162,15.093,15.027,14.899,14.893,14.962,15.026,15.092,15.091,15.158,15.16,15.293,15.359,15.426,15.491,15.554,15.498,15.764,15.763,16.091,16.1,16.232,16.234,16.629,16.494,16.958,16.961,17.229,17.28,17.35,17.413,17.685,17.925,18.122,18.255,18.859,19.191,19.523,19.787,20.184,20.331,21.058,20.926,21.33,21.916,22.448,22.978,23.435,23.991,24.257,24.647,25.307,25.601,26.131,26.867,27.339,27.813,28.756,29.957,31.121,31.973,32.354,32.427,32.633,32.678,33.343,33.76,34.089,34.668,35.326,36.158,36.908,37.866,38.795,39.624,40.63,41.415,42.861,44.241,45.393,46.425,47.578,48.849,50.25,51.423,52.37,53.228,54.129,55.171,55.987,56.646,57.08,57.327,57.639,58.005,58.551,59.185,59.729,60.454,60.96,61.475,61.823,62.259,62.802,63.317,63.982,64.63,65.36,65.763,66.326,66.817,67.444,68.219,68.714,69.235,69.879,70.477,71.318,71.766,72.259,73.001,73.487,74.04,74.315,74.585,74.782,75.042,74.76,74.665,74.973,75.338,76.016,76.775,77.299,78.033,78.789,79.498,80.061,81.109,82.321,83.313,83.796,84.219,84.583,84.928,85.353,86.268,86.779,87.44,88.061,89.092,90.06
"25","17","  Other structures","W004RG3",15.567,15.555,15.49,15.509,15.625,15.57,15.501,15.374,15.374,15.433,15.498,15.548,15.56,15.622,15.628,15.765,15.822,15.877,15.929,15.991,15.948,16.181,16.196,16.491,16.51,16.634,16.657,17.011,16.916,17.318,17.352,17.604,17.665,17.734,17.827,18.06,18.359,18.55,18.675,19.242,19.558,19.928,20.177,20.593,20.751,21.382,21.387,21.827,22.357,22.843,23.334,23.823,24.325,24.589,24.948,25.545,25.934,26.443,27.121,27.654,28.411,29.628,31.1,32.416,33.136,33.641,33.791,34.06,34.238,34.791,35.103,35.429,36.704,37.119,37.745,38.273,39.028,39.87,40.698,41.588,42.565,43.873,45.286,46.455,47.897,48.973,50.153,51.598,52.814,54.004,54.923,55.89,56.848,57.778,58.486,58.953,59.456,59.763,60.138,60.538,60.969,61.569,62.111,62.538,62.921,63.253,63.576,64.011,64.406,64.959,65.51,66.129,66.666,67.237,67.777,68.454,69.238,69.692,70.162,70.719,71.235,72.035,72.525,73.079,73.825,74.331,74.871,75.143,75.453,75.794,76.046,75.824,75.764,76.073,76.386,76.947,77.628,78.414,79.056,79.682,80.329,80.865,81.774,82.857,83.819,84.392,84.924,85.469,86.039,86.427,87.253,87.802,88.415,89.053,89.924,90.846
"26","18","    Religious","C309RG3",15.094,15.095,15.028,15.031,15.16,15.091,15.025,14.897,14.893,14.963,15.026,15.092,15.093,15.16,15.162,15.295,15.361,15.428,15.493,15.556,15.494,15.76,15.759,16.088,16.091,16.224,16.226,16.62,16.493,16.957,16.959,17.227,17.288,17.358,17.421,17.693,17.953,18.149,18.281,18.885,19.216,19.548,19.812,20.209,20.351,21.078,20.945,21.349,21.945,22.477,23.008,23.465,24.006,24.272,24.661,25.322,25.663,26.192,26.926,27.394,27.927,28.866,30.066,31.232,31.986,32.366,32.439,32.645,32.707,33.371,33.787,34.114,34.675,35.333,36.165,36.915,37.733,38.65,39.468,40.464,41.371,42.815,44.194,45.345,46.631,47.775,49.034,50.423,51.469,52.414,53.272,54.176,55.069,55.872,56.515,56.932,57.292,57.602,57.967,58.513,59.207,59.75,60.475,60.981,61.404,61.748,62.178,62.71,63.202,63.846,64.472,65.181,65.741,66.303,66.793,67.42,68.258,68.752,69.272,69.916,70.512,71.353,71.8,72.292,73.023,73.508,74.061,74.336,74.587,74.784,75.044,74.762,74.672,74.981,75.345,76.023,76.795,77.336,78.076,78.825,79.508,80.05,81.082,82.283,83.27,83.755,84.183,84.554,84.924,85.349,86.252,86.741,87.358,87.958,88.975,89.94
"27","19","    Educational","C310RG3",15.097,15.098,15.031,15.034,15.167,15.098,15.031,14.904,14.897,14.966,15.03,15.096,15.095,15.162,15.164,15.297,15.359,15.427,15.492,15.555,15.502,15.768,15.766,16.095,16.101,16.233,16.234,16.629,16.505,16.97,16.973,17.242,17.294,17.364,17.426,17.699,17.964,18.161,18.295,18.898,19.22,19.552,19.816,20.214,20.36,21.089,20.957,21.361,21.925,22.457,22.988,23.443,24.012,24.279,24.668,25.329,25.692,26.222,26.958,27.431,27.968,28.913,30.122,31.288,31.998,32.377,32.45,32.657,32.753,33.42,33.838,34.172,34.699,35.358,36.19,36.941,37.763,38.675,39.492,40.489,41.295,42.744,44.125,45.279,46.545,47.685,48.945,50.338,51.506,52.452,53.316,54.221,55.094,55.896,56.539,56.956,57.341,57.651,58.016,58.564,59.236,59.781,60.504,61.013,61.423,61.765,62.194,62.726,63.236,63.881,64.507,65.214,65.77,66.331,66.824,67.449,68.283,68.781,69.302,69.945,70.515,71.356,71.802,72.294,73.033,73.519,74.072,74.346,74.626,74.823,75.088,74.802,74.724,75.032,75.401,76.088,76.778,77.305,78.044,78.812,79.554,80.123,81.169,82.374,83.331,83.802,84.213,84.569,84.931,85.345,86.24,86.725,87.342,87.952,88.992,89.99
"28","20","    Other buildings\3\","B312RG3",15.097,15.097,15.029,15.032,15.164,15.095,15.029,14.901,14.898,14.967,15.031,15.097,15.095,15.161,15.164,15.297,15.35,15.419,15.484,15.548,15.511,15.779,15.779,16.11,16.088,16.221,16.223,16.617,16.506,16.971,16.974,17.244,17.285,17.355,17.418,17.69,17.949,18.145,18.277,18.881,19.197,19.53,19.793,20.19,20.357,21.086,20.953,21.358,21.9,22.432,22.963,23.421,23.965,24.23,24.625,25.285,25.677,26.205,26.941,27.411,28.016,28.967,30.188,31.372,31.998,32.379,32.452,32.658,32.706,33.37,33.786,34.113,34.68,35.338,36.17,36.92,37.774,38.687,39.502,40.502,41.183,42.64,44.036,45.203,46.613,47.756,49.013,50.402,51.416,52.359,53.221,54.122,55.075,55.878,56.521,56.938,57.282,57.591,57.957,58.504,59.212,59.756,60.481,60.987,61.431,61.774,62.204,62.735,63.222,63.867,64.492,65.201,65.747,66.31,66.8,67.427,68.244,68.738,69.257,69.901,70.501,71.341,71.788,72.28,73.032,73.517,74.071,74.346,74.598,74.796,75.057,74.777,74.661,74.97,75.334,76.012,76.728,77.282,78.026,78.773,79.515,80.057,81.089,82.29,83.229,83.712,84.143,84.522,84.915,85.34,86.244,86.733,87.409,88.006,89.025,89.992
"29","21","    Railroads","B573RG3",17.619,17.577,17.6,17.822,17.861,17.934,17.818,17.589,17.606,17.555,17.583,17.48,17.571,17.488,17.416,17.585,17.538,17.504,17.409,17.43,17.449,17.496,17.593,17.734,17.729,17.734,17.79,17.943,18.008,17.939,18.115,18.247,18.214,18.263,18.533,18.506,19.081,19.25,19.356,19.727,19.886,20.34,20.467,20.932,20.929,21.072,21.493,22.056,22.433,22.68,23.03,23.592,23.874,24.127,24.213,24.427,24.985,25.346,25.872,26.673,28.231,30.471,33.029,34.864,35.147,36.367,36.745,37.243,37.811,38.176,38.276,38.686,42.878,42.28,42.235,41.796,42.372,43.093,44.026,44.615,46.292,47.206,48.928,49.913,52.243,52.415,52.711,54.345,55.694,57.822,58.606,59.11,59.836,61.156,62.227,63.139,65.014,66.135,67.412,67.645,67.5,69.278,69.632,69.937,70.063,70.314,69.766,69.501,69.028,68.649,68.413,68.313,68.263,68.416,69.092,71.15,72.308,72.803,72.768,72.75,73.137,74.174,74.846,74.993,75.454,75.966,76.124,75.849,76.766,77.25,77.532,77.149,77.179,77.363,77.922,78.93,80.39,83.514,84.952,85.4,85.581,85.832,86.099,86.934,87.825,87.988,88.223,89.076,90.908,91.304,92.338,93.779,93.771,93.837,94.037,94.189
"30","22","    Farm","B316RG3",15.095,15.096,15.029,15.032,15.159,15.09,15.024,14.896,14.894,14.963,15.027,15.093,15.09,15.157,15.16,15.292,15.36,15.427,15.493,15.555,15.497,15.763,15.762,16.091,16.1,16.233,16.235,16.63,16.486,16.95,16.953,17.221,17.285,17.356,17.419,17.69,17.951,18.146,18.279,18.883,19.196,19.528,19.792,20.188,20.335,21.062,20.93,21.334,21.951,22.483,23.015,23.473,23.984,24.249,24.639,25.3,25.592,26.126,26.862,27.333,27.868,28.806,30.004,31.168,31.982,32.362,32.435,32.641,32.712,33.376,33.792,34.119,34.662,35.32,36.152,36.902,37.799,38.716,39.533,40.53,41.466,42.915,44.3,45.46,46.662,47.809,49.071,50.463,51.488,52.434,53.294,54.199,55.152,55.965,56.617,57.042,57.317,57.627,57.992,58.538,59.247,59.791,60.519,61.029,61.484,61.84,62.282,62.823,63.184,63.829,64.456,65.166,65.752,66.314,66.804,67.431,68.245,68.739,69.259,69.902,70.501,71.342,71.788,72.28,73.027,73.513,74.066,74.34,74.588,74.785,75.045,74.763,74.645,74.954,75.32,75.998,76.768,77.312,78.051,78.802,79.538,80.082,81.111,82.318,83.278,83.763,84.191,84.562,84.953,85.377,86.281,86.77,87.377,87.976,88.993,89.959
"31","23","    Other\4\","B317RG3",16.919,16.736,16.541,16.375,16.29,16.215,16.211,16.228,16.289,16.296,16.394,16.478,16.596,16.718,16.793,16.896,16.989,17.106,17.188,17.318,17.352,17.354,17.372,17.417,17.541,17.727,17.87,17.97,18.104,18.425,18.675,18.775,18.925,19.039,19.269,19.485,19.858,20.047,20.105,20.538,20.729,21.297,21.482,21.986,22.433,22.872,23.484,24.053,24.391,24.801,25.16,25.71,26.128,26.329,26.676,27.215,27.648,28.104,28.533,29.439,31.021,33.232,35.425,37.085,38.054,38.467,38.802,39.175,39.638,39.718,39.576,39.644,41.631,41.908,42.101,42.351,42.631,43.138,43.696,44.316,45.012,46.092,47.533,49.191,51.103,53.016,54.992,56.868,58.547,60.086,61.499,63.06,64.639,65.788,66.49,66.663,66.566,66.079,65.68,65.451,65.172,65.125,65.031,65.043,65.291,65.61,66.045,66.489,67.074,67.717,68.358,68.996,69.519,70.161,70.72,71.012,71.473,71.657,71.962,72.287,72.506,73.013,73.612,74.457,75.308,75.921,76.675,77.15,77.383,78.158,78.36,78.384,78.413,78.728,78.786,78.93,79.26,79.748,79.876,80.384,80.977,81.603,82.487,83.376,84.244,85.228,86.244,87.298,88.3,88.629,89.113,89.581,90.501,91.692,92.1,93.201
"32","24","    Brokers' commissions on sale of structures","B321RG3",15.398,15.394,15.33,15.33,15.46,15.392,15.327,15.24,15.209,15.278,15.36,15.403,15.392,15.439,15.452,15.567,15.622,15.691,15.742,15.944,15.931,15.98,16.108,16.144,16.265,16.313,16.538,16.728,16.847,17.189,17.226,17.475,17.644,17.586,17.695,17.768,18.112,18.281,18.49,18.978,19.652,20.008,20.385,20.766,20.991,21.569,21.524,21.982,22.611,23.17,23.594,24.091,24.543,24.849,25.353,25.881,26.159,26.926,27.628,27.927,28.541,29.686,30.915,32.063,32.864,33.186,33.24,33.398,33.712,34.164,34.628,35.237,36.059,36.577,37.347,38.46,39.027,39.862,41.13,42.11,43.237,44.462,45.584,46.833,48.264,49.538,50.688,51.206,52.821,53.593,54.141,56.006,56.869,58.035,58.48,59.041,59.865,60.403,61.312,61.788,62.37,63.262,63.891,65.606,65.951,66.475,67.27,68.331,69.274,70.273,71.087,71.526,72.63,73.774,74.884,76.074,77.214,77.978,79.145,80.052,80.388,81.248,81.799,83.149,84.23,84.727,84.749,85.009,85.507,86.073,86.276,85.824,86.049,86.089,86.484,86.988,86.975,88.194,88.291,87.773,89.22,90.014,90.434,91.034,91.854,92.636,92.98,93.477,93.731,94.225,94.598,94.817,95.045,96.385,96.574,96.576
"33","25","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","Residential","B012RG3",16.168,16.179,16.175,16.187,16.238,16.301,16.306,16.328,16.276,16.342,16.348,16.335,16.366,16.365,16.362,16.34,16.346,16.281,16.096,16.206,16.053,16.318,16.366,16.73,16.716,16.738,16.727,17.21,16.959,17.592,17.483,17.877,17.914,17.975,18.077,18.428,18.747,18.924,18.928,19.689,20.073,20.372,20.447,20.759,20.737,21.529,20.938,21.11,21.686,22.135,22.559,22.915,23.246,23.352,23.75,24.494,24.827,25.451,26.338,26.812,27.427,28.071,28.973,29.748,30.511,31.05,31.342,31.912,32.082,33.04,33.578,34.183,35.017,35.983,37.192,38.326,39.474,40.667,41.725,42.838,43.679,45.204,46.683,47.821,49.092,50.251,51.411,52.693,53.846,54.689,55.373,56.196,57.016,57.857,58.344,58.614,58.9,59.045,59.332,59.858,60.228,60.721,61.333,61.808,62.131,62.278,62.724,63.464,64.25,64.867,65.721,66.509,67.213,67.733,68.318,68.95,69.585,70.214,70.662,71.328,71.856,72.753,72.989,73.434,74.063,74.366,74.721,74.841,75.074,75.439,75.885,75.647,75.387,76.101,76.648,77.691,78.608,79.343,80.073,80.43,81.371,81.837,82.728,83.841,84.899,85.312,85.671,86.147,86.466,86.879,87.85,88.286,88.734,89.187,89.979,90.667
"35","27","  Permanent site","B943RG3",15.794,15.794,15.793,15.793,15.847,15.913,15.913,15.925,15.848,15.916,15.916,15.931,15.981,15.98,15.98,15.979,15.978,15.91,15.66,15.772,15.586,15.901,15.921,16.373,16.337,16.385,16.331,16.954,16.609,17.367,17.186,17.646,17.618,17.7,17.776,18.196,18.478,18.672,18.6,19.512,19.781,19.979,19.975,20.26,20.141,21.102,20.259,20.379,21.012,21.496,21.974,22.355,22.743,22.842,23.298,24.107,24.425,24.989,25.958,26.487,27.021,27.535,28.325,29.036,29.784,30.457,30.74,31.296,31.285,32.403,32.925,33.435,34.104,35.183,36.484,37.623,38.892,40.199,41.152,42.232,42.965,44.649,46.205,47.257,48.523,49.467,50.729,52.319,53.284,54.044,54.639,55.365,56.238,57.063,57.689,57.94,58.136,58.19,58.322,58.757,59.312,59.596,60.285,60.568,60.887,61.038,61.487,62.178,62.844,63.753,64.562,65.454,66.19,66.617,66.932,67.527,68.571,68.904,69.279,69.935,70.489,71.469,71.609,71.805,72.462,72.725,73.161,73.108,73.155,73.304,73.774,73.346,73.193,73.787,74.372,75.431,76.51,77.083,78.039,79.011,79.751,80.222,81.433,82.874,83.869,84.156,84.511,84.819,85.045,85.297,86.546,86.985,87.594,87.888,89.034,89.938
"36","28","    Single-family structures","B944RG3",16.043,16.043,16.043,16.043,16.109,16.176,16.176,16.176,16.109,16.176,16.176,16.175,16.242,16.241,16.242,16.242,16.242,16.176,15.91,16.044,15.844,16.176,16.176,16.64,16.574,16.64,16.573,17.236,16.905,17.701,17.502,17.966,17.899,17.965,18.031,18.43,18.761,18.96,18.894,19.822,20.087,20.286,20.285,20.618,20.484,21.479,20.617,20.749,21.346,21.81,22.274,22.672,23.07,23.203,23.667,24.528,24.86,25.457,26.451,26.982,27.511,28.041,28.836,29.566,30.296,30.96,31.224,31.756,31.754,32.882,33.412,33.942,34.751,35.769,37.044,38.183,39.474,40.836,41.867,43.049,43.907,45.725,47.407,48.55,49.818,50.813,52.129,53.771,54.81,55.538,56.04,56.615,57.226,57.818,58.211,58.247,58.238,58.174,58.238,58.648,59.295,59.584,60.256,60.493,60.693,60.764,61.132,61.745,62.313,63.174,63.963,64.863,65.481,66.07,66.478,67.102,68.089,68.435,68.852,69.58,70.248,71.349,71.624,71.942,72.76,73.096,73.562,73.489,73.409,73.494,73.915,73.452,73.29,73.876,74.462,75.534,76.671,77.309,78.337,79.38,80.202,80.737,82.014,83.514,84.536,84.843,85.202,85.499,85.671,85.906,87.144,87.566,88.162,88.41,89.5,90.277
"37","29","    Multifamily structures","B292RG3",15.809,15.809,15.808,15.807,15.808,15.881,15.88,15.951,15.808,15.879,15.88,15.952,15.95,15.951,15.951,15.952,15.95,15.879,15.666,15.737,15.594,15.879,15.951,16.378,16.378,16.379,16.378,16.948,16.663,17.375,17.232,17.66,17.589,17.66,17.731,18.23,18.443,18.657,18.586,19.511,19.796,20.01,20.009,20.223,20.152,21.078,20.224,20.295,20.935,21.434,21.933,22.289,22.716,22.787,23.285,24.069,24.425,24.995,25.991,26.561,27.131,27.629,28.413,29.054,29.765,30.407,30.69,31.334,31.26,32.397,32.897,33.328,33.266,34.82,36.424,37.704,38.966,40.13,40.836,41.6,41.991,43.331,44.583,45.415,46.679,47.514,48.679,50.194,51.065,51.951,52.806,53.908,55.336,56.692,57.885,58.705,59.561,60.015,60.4,60.954,61.267,61.573,62.36,62.807,63.509,63.911,64.618,65.563,66.512,67.598,68.505,69.432,70.799,70.549,70.452,70.926,72.231,72.502,72.645,72.914,72.886,73.232,72.687,72.237,71.968,71.806,72.078,72.131,72.842,73.337,74.125,73.936,73.823,74.479,75.043,75.992,76.38,76.201,76.407,76.655,76.696,76.552,77.181,78.114,78.782,78.889,79.192,79.574,80.232,80.612,81.938,82.526,83.256,83.874,85.422,87.224
"38","30","  Other structures","A863RG3",16.898,16.94,16.927,16.973,17.011,17.068,17.084,17.128,17.132,17.195,17.215,17.139,17.122,17.122,17.11,17.034,17.058,17.003,16.988,17.091,17.034,17.158,17.277,17.404,17.444,17.4,17.503,17.609,17.619,17.914,17.98,18.246,18.415,18.434,18.596,18.776,19.18,19.311,19.507,19.885,20.552,21.103,21.362,21.732,21.927,22.347,22.329,22.623,23.068,23.43,23.708,23.992,24.151,24.278,24.487,25.021,25.382,26.185,26.788,27.119,27.966,28.923,30.07,30.964,31.709,32.014,32.306,32.892,33.364,34.058,34.631,35.425,36.57,37.296,38.302,39.414,40.29,41.244,42.506,43.675,44.716,45.92,47.238,48.528,49.804,51.279,52.291,53.151,54.562,55.519,56.324,57.268,58.027,58.883,59.187,59.469,59.868,60.156,60.719,61.418,61.429,62.333,62.791,63.636,63.956,64.091,64.526,65.345,66.335,66.439,67.366,67.963,68.608,69.288,70.342,71.042,70.975,72.091,72.659,73.342,73.824,74.577,74.972,75.823,76.399,76.771,77.001,77.399,77.917,78.589,79.008,79.06,78.635,79.53,80.017,81.032,81.708,82.679,83.074,82.534,83.764,84.22,84.613,85.228,86.396,86.999,87.373,88.088,88.537,89.185,89.749,90.18,90.399,91.078,91.37,91.755
"39","31","    Manufactured homes","B945RG3",43.075,42.78,41.936,41.701,40.949,40.753,40.725,40.581,40.652,40.688,39.394,38.025,36.979,35.491,33.705,32.376,31.552,30.764,30.121,29.851,29.79,29.789,29.989,30.076,30.057,29.96,29.445,28.863,28.484,28.121,27.812,27.758,27.442,27.266,27.36,27.814,27.745,27.561,27.567,27.703,28.121,29.905,30.079,30.39,30.563,30.752,30.817,30.822,30.879,30.824,30.751,30.519,30.33,30.016,29.831,30.321,30.759,31.682,31.987,32.107,33.028,33.88,35.905,37.575,38.379,38.233,38.871,39.227,39.603,40.575,41.441,42.188,43.221,43.702,44.626,45.37,46.794,47.507,48.39,49.377,50.556,51.704,52.974,54.485,55.737,56.782,57.46,58.092,58.592,59.2,60.126,60.536,61.022,61.69,61.847,61.557,61.601,61.788,62.266,62.684,61.692,62.109,62.071,62.4,62.474,62.513,62.657,62.679,62.395,63.34,63.485,63.67,63.823,63.901,64.197,64.863,65.834,66.895,67.658,68.411,68.846,69.85,70.73,71.523,71.715,72.2,72.838,73.532,73.808,74.149,74.728,74.873,74.925,75.209,75.415,76.234,76.882,78.31,79.53,80.456,82.703,84.144,84.993,87.124,89.495,90.02,89.981,91.391,92.095,92.579,93.155,93.553,93.718,94.313,94.618,94.822
"40","32","    Dormitories","B295RG3",15.867,15.859,15.859,15.89,15.935,16.001,16.01,16.007,15.944,15.998,16.004,16.018,16.069,16.072,16.076,16.084,16.073,16.003,15.739,15.872,15.681,16.008,16.008,16.465,16.403,16.468,16.401,17.063,16.726,17.509,17.31,17.78,17.712,17.78,17.84,18.25,18.574,18.762,18.688,19.618,19.879,20.078,20.081,20.376,20.275,21.245,20.399,20.503,21.12,21.584,22.061,22.471,22.805,22.844,23.319,24.311,24.553,25.216,26.18,26.574,27.233,27.839,28.523,29.264,29.989,30.599,30.912,31.443,31.403,32.586,33.172,33.721,34.78,35.823,37.111,38.243,39.49,40.823,41.827,42.988,43.815,45.627,47.316,48.474,49.77,50.761,52.07,53.705,54.758,55.534,56.083,56.694,57.289,57.871,58.248,58.271,58.255,58.174,58.221,58.617,59.264,59.545,60.209,60.439,60.631,60.701,61.071,61.689,62.27,63.142,63.943,64.855,65.493,66.102,66.524,67.154,68.136,68.466,68.861,69.563,70.179,71.261,71.53,71.859,72.673,73.083,73.638,73.63,73.62,73.655,74.03,73.522,73.231,73.757,74.306,75.379,76.678,77.403,78.476,79.51,80.229,80.736,81.992,83.48,84.513,84.815,85.169,85.462,85.636,85.868,87.101,87.515,88.137,88.408,89.515,90.303
"41","33","    Improvements","B946RG3",15.536,15.598,15.611,15.672,15.734,15.794,15.811,15.872,15.886,15.946,16.008,15.962,15.962,16.023,16.084,16.04,16.102,16.101,16.182,16.301,16.288,16.393,16.482,16.6,16.655,16.646,16.754,16.943,16.987,17.283,17.434,17.734,17.943,18.012,18.206,18.399,18.818,19.036,19.28,19.668,20.322,20.774,21.046,21.474,21.706,22.159,22.252,22.648,23.166,23.59,24.006,24.409,24.661,24.882,25.149,25.679,26.156,26.891,27.584,28.041,28.98,30.095,31.274,32.178,32.887,33.217,33.486,34.1,34.651,35.279,35.835,36.583,37.734,38.507,39.502,40.355,41.358,42.335,43.403,44.686,45.575,46.771,48.248,49.563,50.845,52.519,53.598,54.947,56.224,57.501,58.68,59.275,60.196,60.999,61.466,61.868,62.154,62.459,62.826,63.808,63.854,64.85,65.43,65.673,66.192,66.257,66.481,67.072,68.048,67.513,68.456,69.244,69.518,69.847,70.771,71.128,71.436,72.709,72.871,73.392,74.156,74.814,75.186,75.646,76.629,77.034,77.582,78.183,78.599,79.274,79.75,80.121,79.702,80.347,80.721,81.751,82.64,82.981,83.32,82.791,83.298,83.303,83.716,84.266,85.559,86.036,86.454,87.01,87.315,88.101,88.997,89.677,90.036,90.775,91.106,91.44
"42","34","    Brokers' commissions on sale of structures","B758RG3",14.393,14.386,14.387,14.391,14.44,14.493,14.504,14.491,14.441,14.49,14.494,14.493,14.544,14.54,14.54,14.543,14.596,14.492,14.29,14.392,14.233,14.39,14.592,14.694,14.694,14.542,14.803,14.801,14.854,15.315,15.219,15.47,15.63,15.524,15.574,15.625,16.141,16.143,16.249,16.812,17.692,17.793,18.049,18.31,18.31,18.879,18.313,18.465,18.981,19.445,19.648,20.012,20.217,20.424,20.835,21.509,21.663,22.538,23.313,23.619,24.238,24.913,25.532,26.047,26.768,27.129,27.329,27.899,28.263,29.039,29.554,30.431,31.542,32.259,33.309,34.984,35.475,36.471,38.184,39.177,40.454,41.697,42.72,43.87,45.118,46.17,47.109,46.93,48.987,49.221,48.938,51.134,51.409,52.501,52.36,52.56,53.374,53.674,54.711,54.912,55.281,56.143,56.509,58.93,58.806,59.083,60.021,61.524,62.854,64.308,65.395,65.724,67.399,69.06,70.594,72.2,70.867,71.577,73.043,74.099,73.957,74.918,75.271,77.055,76.722,76.977,76.365,76.186,76.981,77.68,77.957,77.25,76.786,78.291,79.084,80.107,80.239,82.697,83.062,82.198,84.957,86.277,86.526,86.854,87.241,88.195,88.588,89.44,90.153,90.519,90.321,90.193,90.122,90.682,90.916,91.481
"43","35","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
