"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KP42170",4801,4886,4938,5003,5083,5118,5163,5219,5319,5357,5393,5389,5538,5654,5597,5613,5463,5209,5278,5429,5528,5407,5363,5235,5340,5393,5467,5449,5547,5688,5637,5712,5783,5710,5771,6199,6151,6324,6172,6104,6008,6126,6130,6111,5880,5849,5535
"47","39","D     Machinery, equipment, and supplies wholesalers","KP42180",18553,18892,19367,19678,20648,20819,20411,20259,20325,20586,20761,20739,20852,21069,21245,21052,21001,20159,20121,18776,18278,18867,18360,17903,17860,18224,18660,18337,19087,19583,19848,20756,20461,21158,21106,21782,22049,22227,22351,22100,22334,22599,23322,23642,24023,24723,24163
"48","40","D     Miscellaneous durable goods wholesalers","KP42190",12714,12555,12893,12717,12732,12631,12340,12600,13306,13651,13790,14041,14177,14638,14428,14816,14475,14177,14361,13508,14228,14212,14530,13917,13712,13744,13744,14196,14187,15005,14894,15873,16289,15710,15554,16099,15902,15565,15790,15613,15326,15967,16268,15817,16354,16914,16738
"49","41","A   Nondurable goods merchant wholesale industries","KP42WN0",96841,96539,97164,97622,99751,100643,102637,105073,104800,106564,107267,108593,107671,109644,111067,111949,111849,110907,113029,114816,115096,116593,116892,118012,116319,116604,118155,117877,118103,117433,118659,119248,120752,120734,121208,122324,123396,123369,125314,125242,124843,128242,130921,130096,127049,127338,126340
"50","42","D     Paper and paper products wholesalers","KP42210",6328,6212,6204,6184,6189,6332,6440,6702,6787,6906,6940,6909,6918,6590,6607,6585,6516,6473,6356,6397,6421,6516,6537,6512,6558,6459,6507,6714,6852,7041,6929,7050,6966,6947,7376,7391,7312,7237,6974,6873,6902,6969,6985,6905,6762,6946,6810
"51","43","D     Drugs and druggists' sundries wholesalers","KP42220",9476,9851,10199,10284,10923,10424,10762,11237,11798,12399,12557,12921,13121,13885,14356,14877,15517,15856,16929,18008,18638,19018,18875,19403,19781,20515,21098,21088,20905,21252,21920,22291,22980,23082,23101,23628,23912,24177,24011,23603,23649,23922,24031,24387,24365,23927,24483
"52","44","D     Apparel, piece goods, and notions wholesalers","KP42230",6893,6946,7128,7032,7251,6901,6790,6887,7055,7181,7143,7217,7285,7500,7354,7483,7388,7551,7452,7728,7845,8170,8315,8055,7913,7756,8007,8163,8314,8220,8211,8284,8344,8702,8464,8842,8908,9106,9407,9582,9463,9518,9811,9677,9660,9995,10143
"53","45","D     Grocery and related products wholesalers","KP42240",27938,27985,27766,27589,28539,28923,29261,29346,29272,29783,30277,31199,31335,31646,31947,32375,31584,31406,31324,31489,31578,32126,32897,33175,33200,33322,33351,32019,32353,31400,31971,31702,31660,32154,32865,32790,32967,32966,33436,33876,34880,35270,35500,35759,35649,35276,34746
"54","46","D     Farm product raw material wholesalers","KP42250",7764,7483,7732,8337,7609,7520,8277,8487,8176,8592,9007,8952,8321,8810,9682,8970,9179,8916,8758,8566,8632,8975,8257,8904,8561,8332,8672,8990,8394,8126,8850,9634,9128,9257,9586,9925,9676,9943,10219,8665,8686,9706,11098,10166,9823,9688,10252
"55","47","D     Chemical and allied products wholesalers","KP42260",4682,4855,4952,4843,4857,4780,4789,4876,4754,4883,4898,4945,4910,5050,5080,5151,5052,4978,5089,5110,5211,5348,5298,5132,5001,5037,5033,5081,5026,5030,5040,5061,5187,5367,5323,5106,4956,4974,5031,5117,5203,5110,5142,5190,4942,4948,4866
"56","48","D     Petroleum and petroleum products wholesalers","KP42270",16014,15678,15979,15796,16832,17739,18480,19381,19507,17873,17120,16184,15062,15336,15798,15949,16346,15834,16510,17699,16976,16888,16778,16958,15482,15976,15584,15533,15949,15624,14651,14196,14911,14442,14305,14403,14909,14405,15091,15984,15216,15711,16273,16163,15679,16017,15584
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",4923,4920,5113,5219,5171,5259,5438,5489,5583,5704,5799,5956,5922,5934,5947,6040,6026,5992,5967,6099,6324,6398,6389,6369,6387,6349,6568,6570,6345,6552,6562,6703,6755,6799,6698,6671,6887,6971,7187,7371,7443,7634,7708,7787,7668,7827,7832
"58","50","D     Miscellaneous nondurable goods wholesalers","KP42290",13197,13077,12534,12499,13018,13738,13412,13915,13179,13709,13728,14267,14741,14876,14334,14551,14232,13893,14658,13952,13576,13234,13640,13501,13503,12899,13287,13609,13950,14259,14686,14684,15044,14481,14161,14373,14374,14568,14565,14273,14040,14824,14414,14536,13378,13337,12535
"59","51","A Retail trade industries","KP440",216417,216696,222024,223917,227166,233493,234224,241751,247953,251111,255238,260276,265545,263910,266709,267268,269089,271851,271139,283916,281483,282943,286245,287486,288507,293513,302465,304881,308792,309122,314189,319254,321314,327089,328381,329588,340554,340342,341118,346605,351702,354177,355634,356841,355179,356022,346924
"60","52","A   Motor vehicle and parts dealers","KP4410",56547,55560,58024,58371,58572,61784,59728,63261,65168,66892,68799,69202,72373,69667,70111,68503,69608,70895,69604,78038,72579,72665,75582,74062,74501,75685,78733,78953,79548,78612,80868,82012,80551,81930,81697,77742,81746,79866,80304,82168,83714,83918,82989,83014,81126,77170,72203
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",9855,10229,10655,11009,11419,11611,12180,12666,13071,13613,14272,14756,15415,15690,15886,15755,16214,16416,16855,17690,18478,18761,18821,19351,19373,20523,21786,22590,23098,23792,24793,25344,26050,26772,27843,28564,29942,30598,31322,31849,32731,32982,33902,34602,34432,35371,34529
"62","54","A   Building material and garden equipment and supplies dealers","KP4440",19223,19412,19779,20076,20372,20885,21292,22190,22550,22425,22594,23729,24472,23700,24053,24489,25146,25760,25174,25546,26109,26929,26706,26758,26865,27765,28755,29008,29368,30181,30332,30989,31314,32338,32420,33289,35150,33918,33212,33204,33174,33224,32938,32446,31592,32116,31497
"63","55","A   Food and beverage stores","KP4450",37640,37495,37647,37635,37569,37816,38178,38298,38363,38731,38914,39340,38808,39538,39432,39629,39650,39845,39905,40137,39664,39253,39165,39381,39584,39516,39905,39634,39969,39957,40146,40497,40913,40929,41103,41199,41238,41603,41710,42278,42288,42235,42393,42618,42651,42658,42295
"64","56","A   Clothing and clothing accessories stores","KP4480",11527,11454,11878,12104,12449,12703,12691,13072,13563,13860,13965,14062,14351,14676,15006,14993,14861,14869,14772,15106,15486,15603,15488,16082,16070,16521,17051,17258,17830,17574,17793,18255,18593,19116,18974,19680,20057,20116,20490,20639,21112,21245,21517,21274,21476,21832,21259
"65","57","A   General merchandise stores","KP4520",28698,28804,29491,29714,30394,30924,31172,31947,33130,33442,34086,34688,35010,35514,36351,36820,37020,37562,38187,39290,39721,40126,40119,41002,41713,42507,44091,44269,45316,45515,46262,47156,47891,48993,49693,50818,51667,52334,52871,53672,54706,55111,56302,56592,57278,58675,58437
"66","58","D     Department stores","KP45210",18716,18748,19138,19265,19324,19432,19402,19765,20314,20257,20449,20416,20523,20616,20735,20903,20628,20454,20584,20704,20566,20453,20054,20182,20021,20279,20810,20492,20658,20475,20788,20912,20892,21082,20889,21220,21325,21213,21155,21280,21485,21271,21521,21325,21096,21314,20771
"67","59","D     Other general merchandise stores","KP45290",9907,9985,10282,10379,11021,11453,11740,12157,12797,13173,13629,14272,14487,14899,15617,15916,16388,17096,17586,18555,19110,19616,19989,20729,21571,22097,23133,23602,24459,24821,25250,25995,26722,27605,28457,29231,29949,30692,31260,31913,32714,33297,34205,34657,35516,36648,36904
"68","60","A   Other retail stores","KP44X0",53537,54270,54963,55333,56658,58038,59241,60484,62249,62205,62606,64510,65103,65126,65877,67087,66617,66528,66698,68113,69701,69896,70626,71199,70734,71535,72895,74107,74695,74604,75395,76501,77596,78780,78737,80423,83150,84467,84169,85825,87333,88818,89342,90217,90509,92233,90411
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2000 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
