"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"37","29","Wholesale less motor vehicle","PS5WX3",31.573,31.499,31.437,31.326,31.518,31.726,31.798,31.657,31.716,31.56,31.526,31.708,31.863,32.098,32.133,32.193,32.322,32.397,32.536,32.422,32.549,32.5,32.644,32.756,33.018,33.223,33.407,33.391,33.676,33.83,33.883,33.806,33.863,33.922,34.083,34.235,34.527,34.687,34.707,34.624,34.737,34.851,35.062,34.897,35.158,35.002,34.944,35.025,35.337,35.686,35.714,35.785,35.997,36.145,36.293,36.388,36.248,36.163,36.152,36.383,36.607,36.955,36.993,36.962,37.202,37.416,37.762,37.824,37.943,37.864,38.077,38.793,39.364,40.303,41.179,41.387,42.389,43.324,42.753,45.283,44.489,44.077,44.338,45.065,46.63,47.798,48.482,49.007,48.897,49.058,51.105,52.652,52.521,53.342,53.766,53.35,53.549,53.43,53.071,53.635,54.085,54.197,54.8,55.21,55.678,55.659,55.275,55.462,55.627,55.613,55.602,56.089,56.148,56.652,56.977,56.403,56.636,56.312,56.268,57.141,57.73,58.038,58.679,58.788,58.539,57.691,57.687,57.594,57.873,58.188,59.067,59.06,59.498,59.89,60.492,61.883,61.905,62.462,62.624,62.715,63.207,63.825,64.392,64.973,65.655,66.605,67.149,68.059,68.808,69.769,71.577,72.224,73.256,74.264,74.99,75.738,77.026,78.713,79.283,79.129,79.543,80.251,82.107,83.373,84.061,84.383,84.849,85.386,86.451,87.118,88.294,88.783,88.361,88.212,88.193,88.288,87.991,87.787,87.75,87.669,88.112,88.386,87.821,87.258,87.136,87.734,87.863,87.134,86.758,86.578,86.605,86.908,86.39,86.707,86.612,87.134,87.48,88.474,88.71,89.83,90.441,90.945,90.507,90.35
"38","30"," Durable goods","PS5WD3",33.689,33.773,33.805,33.805,33.782,33.852,33.852,33.935,34.046,34.12,34.211,34.367,34.582,34.753,34.79,34.853,34.881,34.869,34.915,34.95,35.114,35.355,35.47,35.696,35.963,36.289,36.439,36.301,36.316,36.223,36.159,36.208,36.399,36.604,36.754,36.862,37.099,37.316,37.414,37.361,37.55,37.647,37.652,37.638,37.88,38.264,38.128,38.178,38.529,38.78,38.907,39.08,39.19,39.25,39.487,39.755,39.644,39.679,39.615,39.846,40.054,40.355,40.477,40.557,40.654,40.804,40.911,41.022,41.056,41.023,41.086,41.251,41.508,42.063,42.529,42.929,43.401,43.446,43.388,43.486,43.684,44.032,44.741,45.089,45.555,46.499,47.671,49.152,48.937,50.086,51.605,52.373,52.889,53.586,53.886,53.485,53.811,54.465,54.665,54.814,54.996,54.718,54.368,54.657,55.164,55.508,55.572,55.841,56.495,57.002,57.619,57.933,57.806,58.043,58.404,58.427,58.546,58.895,59.017,59.509,60.012,60.024,60.585,60.733,60.885,61.081,61.429,61.86,62.368,62.45,62.694,62.969,63.255,63.583,63.915,64.578,65.016,65.551,65.998,66.517,66.918,67.241,67.736,68.16,68.74,69.326,69.874,70.526,71.086,71.498,72.215,72.551,73.38,74.19,74.553,75.155,77.039,78.299,78.039,77.952,77.966,79.008,79.877,80.459,80.864,81.322,81.699,82.673,83.089,83.504,83.977,84.488,84.903,85.068,85.314,85.841,86.224,86.681,87.058,87.249,87.297,87.347,87.365,87.305,87.316,87.224,87.557,87.09,87.748,87.778,87.771,87.932,88.265,88.727,88.615,88.87,89.203,90.048,90.263,90.454,90.662,90.935,91.057,91.359
"39","31","  Motor vehicles","PS5013",28.865,28.865,28.865,28.865,28.676,28.77,28.676,28.865,28.865,29.619,29.619,29.619,29.714,29.714,29.714,29.714,29.619,29.808,29.714,29.714,29.714,30.374,30.374,30.374,30.28,30.28,30.185,30.28,30.28,30.374,30.28,30.185,30.185,30.846,31.034,31.034,31.034,31.034,31.223,31.034,31.223,31.223,31.223,31.223,31.317,32.826,32.921,32.921,33.109,33.298,33.392,33.487,33.487,33.581,33.675,33.675,33.298,33.77,33.77,34.43,34.43,34.524,34.43,34.524,34.524,34.713,34.619,34.619,34.619,34.147,34.241,34.619,34.524,34.619,34.713,34.902,34.902,34.807,34.902,34.902,34.713,35.185,35.279,35.656,36.128,36.222,36.222,36.317,36.788,37.166,37.826,38.298,38.486,40.75,40.939,41.505,41.316,41.693,42.165,42.165,42.165,42.259,42.165,42.354,42.542,44.335,44.523,44.618,44.806,44.806,44.995,44.995,44.901,44.995,44.995,45.278,45.467,47.07,47.164,47.259,47.207,47.037,47.718,48.059,48.23,48.485,48.656,49.082,49.763,49.763,50.019,50.189,50.445,50.701,50.871,51.212,51.723,51.979,52.32,52.49,53.001,53.087,53.513,53.854,54.365,54.791,55.132,55.899,56.239,56.666,57.177,57.006,57.859,58.199,58.625,59.137,59.648,60.074,60.585,61.352,61.523,62.204,63.056,64.164,64.249,64.846,65.101,69.021,69.788,70.896,71.407,72.089,72.685,72.941,73.367,74.134,74.475,75.582,76.009,76.349,76.775,76.52,76.52,76.775,77.116,77.457,77.542,77.713,77.883,78.48,78.565,78.82,78.649,78.236,78.076,78.09,78.188,78.127,78.15,78.261,78.196,78.293,78.419,78.557
"40","32","  Furniture & furnishings","PS5023",32.524,32.524,32.524,32.615,32.706,32.706,32.706,32.796,32.887,32.978,33.069,33.16,33.342,33.432,33.523,33.614,33.705,33.614,33.705,33.796,33.796,33.887,33.887,33.978,34.159,34.159,34.25,34.25,34.25,34.25,34.341,34.432,34.523,34.613,34.704,34.886,35.068,35.159,35.159,35.249,35.159,35.249,35.431,35.431,35.522,35.613,35.704,35.795,35.976,36.067,36.067,36.067,36.158,36.158,36.34,36.34,36.34,36.34,36.249,36.249,36.34,36.43,36.521,36.521,36.612,36.612,36.703,36.794,36.885,36.885,36.976,36.976,37.066,37.248,37.339,37.521,37.884,37.975,37.975,38.157,38.247,38.429,38.611,38.702,39.156,39.61,39.974,40.519,41.064,41.518,42.245,42.699,43.698,44.607,45.061,45.243,45.606,45.697,45.515,45.515,45.606,45.697,45.788,45.97,46.06,46.424,46.606,46.787,47.241,47.332,47.423,47.605,47.696,47.877,48.059,48.241,48.423,48.604,48.786,48.968,49.239,49.628,49.862,49.939,50.017,50.251,50.328,50.639,50.873,51.106,51.262,51.573,51.651,51.651,51.962,52.195,52.351,52.818,53.129,53.206,53.284,53.907,53.984,54.451,54.529,55.073,55.618,55.851,56.551,56.785,57.407,57.718,58.107,58.807,59.118,60.518,61.374,61.841,62.152,62.541,62.774,63.085,63.708,64.486,64.875,65.263,65.575,66.197,66.275,66.353,66.664,67.053,67.519,67.83,68.297,68.764,68.842,68.919,69.62,69.697,70.32,70.631,70.709,70.942,70.942,71.098,71.175,70.864,71.564,71.175,71.253,71.098,71.387,71.448,71.525,71.673,71.839,72.042,72.587,72.9,72.911,72.722,72.814,73.641
"41","33","  Lumber & construction","PS5033",20.972,21.233,21.146,21.233,21.233,21.32,21.407,21.581,22.103,21.755,21.668,21.929,22.103,22.712,23.234,23.582,23.844,23.931,24.279,24.54,25.062,25.584,25.932,27.237,28.108,29.5,30.457,29.239,28.108,26.541,25.584,25.236,25.149,25.062,25.323,24.975,24.801,24.453,24.279,24.453,24.627,24.453,24.366,24.453,24.453,24.192,23.931,23.757,24.018,25.149,26.454,26.715,26.802,27.063,28.021,28.978,28.891,28.369,28.282,28.63,29.065,29.674,30.022,30.37,30.718,31.066,31.501,31.936,32.023,32.197,32.285,32.372,32.633,34.808,37.419,39.333,40.377,39.594,38.463,38.724,39.42,39.072,40.029,40.377,39.855,39.942,41.509,43.423,42.901,41.683,40.9,39.855,39.159,36.723,35.939,35.852,35.765,36.723,36.81,37.941,39.768,39.333,38.985,38.985,39.072,38.898,38.724,39.768,41.422,42.553,43.945,44.119,43.945,43.423,44.206,45.076,46.208,46.382,46.556,47.774,48.316,48.099,49.11,48.605,48.677,49.182,50.699,51.638,53.299,52.938,52.938,53.588,54.31,55.177,55.61,56.043,56.838,58.499,57.705,58.282,58.788,59.582,60.954,60.738,61.532,61.821,62.11,62.616,62.688,62.327,62.977,63.916,64.999,65.071,63.699,61.893,62.543,63.41,63.41,61.243,61.027,62.11,63.699,64.421,63.843,64.132,65.36,66.01,65.504,65.216,65.504,66.516,66.66,66.66,66.299,65.866,65.216,65.143,65.071,65.288,65.288,65.143,65.432,65.071,65.216,65.938,66.01,65.793,66.299,66.154,66.082,66.732,67.58,68.438,69.061,69.341,69.956,70.842,70.639,70.402,69.625,70.225,70.17,70.515
"42","34","  Professional & commercial","PS5043",77.927,78.086,78.086,77.927,77.927,78.563,78.722,78.881,78.881,78.881,79.04,79.04,79.04,78.881,79.199,79.199,79.358,79.358,79.517,78.881,78.881,79.199,79.358,79.517,79.199,79.199,79.199,78.881,79.199,79.517,79.517,79.835,79.517,79.994,79.994,80.471,80.471,80.789,81.107,82.22,81.743,81.743,81.425,81.266,81.107,81.266,81.743,82.22,82.698,81.743,81.743,83.016,83.016,83.016,83.175,83.652,83.016,83.175,83.175,83.175,83.175,83.493,83.652,83.811,83.97,84.288,84.129,84.129,83.97,84.129,84.129,83.97,83.97,83.97,84.288,84.606,85.56,85.401,85.401,85.401,85.878,85.719,85.878,85.878,86.037,86.196,86.832,86.991,87.469,88.582,89.377,90.013,90.331,91.921,93.512,93.671,93.194,93.194,94.307,94.148,94.784,94.943,94.784,94.784,94.943,94.148,94.466,94.307,94.625,95.261,95.579,95.42,95.261,95.261,95.261,94.466,94.625,95.261,94.943,95.102,95.413,95.551,95.964,96.239,96.377,96.652,96.79,97.066,97.203,97.203,97.616,97.892,98.029,98.305,98.58,98.718,99.131,99.681,100.232,100.645,101.196,101.747,102.297,102.848,103.261,103.812,104.5,105.051,105.602,105.877,106.566,106.979,107.667,108.493,108.906,109.732,110.696,111.797,112.073,113.174,113.587,114.138,114.826,115.239,116.066,117.305,117.855,118.682,119.645,120.747,121.711,122.537,123.225,123.913,125.153,125.841,126.667,127.08,127.769,128.457,128.595,129.421,129.834,130.247,130.384,130.522,130.935,131.073,131.348,131.486,131.486,131.761,135.662,139.031,142.479,145.639,148.867,151.627,154.438,157.043,159.606,162.705,165.596,167.598
"43","35","  Metals & minerals","PS5053",25.386,25.386,25.476,25.476,25.476,25.476,25.476,25.476,25.565,25.565,25.654,25.744,25.922,25.922,25.833,26.012,26.012,26.012,26.012,26.012,26.28,26.369,26.28,26.28,26.548,26.727,26.816,26.906,27.085,27.174,27.263,27.531,27.621,27.8,27.8,27.889,27.978,28.693,28.872,28.872,29.23,29.498,29.587,29.587,29.766,30.213,30.034,30.034,30.213,30.302,30.302,30.928,31.196,31.286,31.554,32.269,32.358,32.358,32.269,32.358,32.627,33.073,33.163,33.073,33.073,33.163,33.252,33.342,33.431,33.431,33.52,33.61,34.057,34.236,34.593,34.772,35.04,35.129,35.129,35.129,35.308,35.576,36.202,36.381,37.096,37.9,39.599,41.744,42.906,45.498,48.269,50.147,50.683,51.13,51.309,51.04,51.487,52.292,52.113,52.202,51.845,51.577,51.219,51.309,51.666,52.471,52.381,52.56,52.828,53.454,54.527,54.795,54.795,55.689,56.046,56.046,55.778,55.778,55.867,56.582,56.875,57.037,57.525,57.85,58.012,57.931,58.337,58.581,59.231,59.231,59.637,59.8,59.718,60.45,60.856,61.831,62.156,62.481,62.968,63.943,64.268,64.593,64.837,65.487,66.787,67.437,67.924,69.062,69.874,70.281,71.824,71.987,72.637,73.531,74.181,74.831,76.049,77.024,77.024,77.106,77.024,77.106,77.268,77.431,77.674,78.162,78.731,79.218,80.356,80.762,81.656,82.468,82.631,82.956,84.418,84.743,85.149,85.962,86.206,86.368,86.206,85.881,85.474,85.149,84.987,83.524,84.662,84.499,84.581,84.012,84.012,83.118,82.607,82.608,82.443,81.915,81.956,81.91,82.25,82.466,82.946,83.091,83.291,83.413
"44","36","  Electrical goods","PS5063",47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.82,47.82,47.72,47.82,48.12,48.22,48.32,48.32,48.32,48.42,48.42,48.42,48.42,48.62,48.62,48.72,48.62,48.62,48.92,48.92,48.92,49.021,49.121,49.121,49.121,49.421,49.521,49.721,49.821,50.021,49.921,50.121,50.221,50.321,50.621,50.821,50.921,51.121,51.121,51.321,51.422,51.622,51.822,51.922,51.822,51.822,51.822,51.922,52.022,51.922,51.922,51.822,51.822,52.022,52.222,52.322,52.322,52.422,52.522,52.522,52.522,52.422,52.422,52.522,52.522,52.622,52.622,52.822,52.922,53.222,53.422,53.422,53.422,53.422,53.522,53.622,53.923,54.423,54.723,55.223,56.023,57.024,58.324,59.625,60.725,61.626,62.626,64.027,64.527,65.227,65.527,65.728,65.828,66.128,66.228,66.428,66.528,66.828,67.128,67.428,67.428,67.928,68.129,68.229,68.329,68.429,68.729,68.829,68.929,69.729,70.129,70.329,70.53,70.893,70.987,71.081,70.987,71.268,71.455,71.549,71.923,72.111,72.298,72.579,72.766,73.609,73.796,74.358,74.546,74.827,75.014,75.763,76.044,76.325,76.793,77.261,77.542,77.636,78.011,78.385,78.947,79.509,79.884,80.352,80.727,81.007,81.757,82.225,82.88,83.723,84.753,85.409,86.158,86.814,87.282,87.844,88.125,88.593,88.687,89.061,89.342,89.904,90.279,90.747,90.934,91.122,90.653,91.309,91.684,92.152,92.339,92.62,93.182,93.182,93.369,93.369,93.182,93.182,93.276,92.995,92.995,92.714,92.807,92.714,92.62,92.618,92.902,92.816,92.996,92.83,92.941,92.841,92.596,92.974,92.803,92.503,92.44
"45","37","  Hardware & plumbing","PS5073",25.18,25.361,25.361,25.361,25.361,25.451,25.451,25.451,25.451,25.451,25.451,25.541,25.631,25.992,25.992,26.083,26.083,25.992,25.992,26.083,26.083,26.083,26.263,26.353,26.444,26.534,26.534,26.534,26.624,26.805,26.985,26.985,27.256,27.346,27.527,27.617,27.617,27.617,27.617,27.978,27.888,28.068,28.249,28.249,28.61,28.79,28.79,28.881,28.971,28.971,28.971,29.151,29.332,29.603,29.783,29.783,29.783,29.783,29.783,29.873,29.873,29.964,30.054,30.144,30.144,30.234,30.325,30.325,30.415,30.505,30.505,30.505,30.595,30.686,30.956,31.227,31.408,31.498,31.498,31.859,32.039,32.13,32.4,32.671,33.122,33.303,33.574,34.657,35.559,36.101,37.003,38.267,38.989,39.44,39.711,39.981,40.342,40.794,40.884,40.884,40.884,40.884,40.794,40.794,41.064,41.425,41.516,41.696,41.877,42.418,42.508,42.869,43.14,43.682,44.043,44.133,44.404,44.584,44.855,45.126,45.247,45.396,45.694,45.843,46.067,46.291,46.812,46.961,47.11,47.26,47.409,47.632,48.154,48.378,48.527,48.75,49.123,49.272,49.645,50.018,50.241,50.763,51.285,51.658,51.956,52.328,52.85,53.372,53.67,54.117,54.639,55.086,55.683,56.055,56.503,57.025,57.695,58.292,59.037,59.633,59.932,60.23,60.752,60.975,61.423,61.497,62.019,62.466,62.839,63.212,63.286,63.584,63.882,64.106,64.702,65.001,65.448,65.82,66.044,66.193,66.342,66.417,66.715,66.79,66.939,67.162,67.46,67.088,67.311,67.535,67.609,67.908,68.129,68.413,68.473,69.124,69.186,69.517,69.665,69.643,69.903,69.952,69.817,69.889
"46","38","  Machinery equipment","PS5083",29.573,29.573,29.573,29.662,29.662,29.662,29.662,29.751,29.751,29.841,30.019,30.109,30.377,30.466,30.466,30.645,30.734,30.734,30.823,30.823,30.913,31.002,31.091,31.181,31.27,31.359,31.449,31.538,31.627,31.717,31.806,31.806,32.074,32.253,32.432,32.61,32.878,32.878,32.968,33.057,33.146,33.236,33.414,33.414,33.593,33.772,33.95,34.129,34.308,34.397,34.486,34.576,34.665,34.665,34.844,34.933,34.844,34.844,34.844,34.933,35.023,35.201,35.291,35.38,35.469,35.559,35.559,35.559,35.559,35.648,35.648,35.648,35.737,35.916,36.095,36.363,36.631,36.72,36.809,36.899,36.988,37.167,37.345,37.613,38.06,38.418,39.043,39.579,40.562,41.455,42.349,43.599,44.314,45.208,46.012,46.369,47.173,47.531,47.888,48.156,48.335,48.513,48.781,48.96,49.228,49.585,49.943,50.122,50.568,50.747,50.926,51.194,51.372,51.551,51.819,51.998,52.355,52.712,52.891,53.159,53.602,53.679,53.911,54.066,54.143,54.298,54.375,54.53,54.608,54.608,54.84,54.994,55.072,55.226,55.381,55.458,55.69,56,56.309,56.541,56.851,57.16,57.469,57.779,58.011,58.32,58.707,59.016,59.326,59.48,59.867,60.099,60.486,60.95,61.182,61.646,62.188,62.806,62.961,63.58,63.812,64.121,64.508,64.74,65.204,65.9,66.21,66.674,67.215,67.834,68.375,68.84,69.226,69.613,70.309,70.696,71.16,71.392,71.779,72.165,72.243,72.707,72.939,73.171,73.248,73.326,73.558,73.635,73.79,73.867,73.867,74.022,73.989,73.812,73.781,73.613,73.598,73.502,73.397,73.319,73.292,73.333,73.319,73.252
"47","39","  Other durable goods","PS5093",26.732,26.732,26.825,26.639,26.639,26.732,26.732,26.732,26.825,26.639,26.825,27.105,27.477,27.571,27.384,26.919,26.732,26.453,26.36,26.36,26.453,26.453,26.639,26.732,27.291,27.664,27.664,27.571,28.129,28.316,28.409,28.781,29.247,29.154,29.154,29.527,30.551,31.483,31.576,30.644,31.11,31.203,30.737,30.551,31.203,31.017,29.899,29.899,30.924,31.11,30.458,30.179,30.272,29.992,29.806,29.806,29.992,29.899,29.713,29.62,30.179,30.551,30.831,30.737,30.831,30.831,31.203,31.483,31.576,31.669,31.762,32.228,33.252,34.37,34.184,34.091,35.208,35.86,36.047,36.14,36.699,37.91,40.611,41.263,41.915,46.013,49.18,53.092,47.038,48.994,52.254,51.415,52.067,51.788,51.136,47.038,46.851,48.155,47.876,47.597,47.317,45.361,43.126,44.336,46.292,44.243,43.591,43.871,45.175,46.292,47.69,48.807,47.597,47.783,48.528,47.317,45.92,44.523,44.43,45.175,46.769,46.69,47.412,47.575,47.652,47.571,47.636,48.235,48.314,48.909,49.008,49.311,49.474,49.46,49.933,52.28,52.662,53.377,54.611,55.681,55.957,55.739,55.972,56.688,57.373,58.652,59.651,60.169,61.3,62.49,63.11,63.793,65.422,67.793,68.829,70.701,79.787,84.159,79.738,76.546,75.316,79.734,81.667,82.272,83.368,82.915,82.311,80.609,79.469,78.394,78.042,77.649,78.031,77.585,74.741,75.775,76.223,76.177,76.497,75.532,74.887,74.459,73.914,73.048,72.335,71.468,72.298,69.3,72.655,72.312,72.318,72.939,73.651,75.41,73.182,73.495,74.013,78.285,78.733,79.261,79.626,79.909,79.55,80.236
"48","40"," Nondurable goods","PS5WN3",28.658,28.513,28.415,28.25,28.541,28.827,28.932,28.685,28.702,28.507,28.392,28.563,28.654,28.893,28.918,28.965,29.132,29.28,29.449,29.244,29.323,29.158,29.298,29.31,29.518,29.598,29.767,29.857,30.292,30.617,30.732,30.559,30.51,30.544,30.711,30.871,31.153,31.242,31.23,31.112,31.18,31.283,31.606,31.362,31.606,31.315,31.336,31.424,31.683,32.065,32.032,32.033,32.279,32.478,32.55,32.503,32.307,32.229,32.258,32.556,32.749,33.08,33.035,32.943,33.24,33.492,33.932,33.945,34.103,33.927,34.224,35.28,35.961,37.025,38.067,38.115,39.33,40.77,39.931,43.909,42.43,41.574,41.46,42.391,44.581,45.717,45.902,45.613,45.683,45.12,47.293,49.216,48.657,49.771,50.24,49.968,50.037,49.468,48.881,49.611,50.161,50.534,51.661,52.108,52.496,52.514,51.927,52.042,51.868,51.499,51.097,51.604,51.763,52.37,52.61,51.777,52.076,51.6,51.464,52.454,52.986,53.416,54.104,54.222,53.766,52.385,52.158,51.781,51.954,52.377,53.598,53.415,53.923,54.329,55.039,56.763,56.556,57.064,57.038,56.814,57.367,58.102,58.686,59.336,60.057,61.172,61.666,62.732,63.538,64.813,67.213,67.946,69.083,70.108,71.047,71.844,72.488,74.253,75.454,75.403,76.073,76.508,78.914,80.636,81.424,81.681,82.182,82.913,84.421,85.348,86.952,87.438,86.538,86.213,86.073,85.935,85.221,84.72,84.45,84.233,84.956,85.308,84.43,83.659,83.522,84.528,84.517,83.762,82.764,82.556,82.61,83,81.932,82.025,81.933,82.552,82.859,83.766,83.972,85.58,86.363,86.964,86.214,85.767
"49","41","  Paper products","PS5113",23.903,23.903,23.903,24.075,24.075,24.161,24.419,24.419,24.419,24.505,24.505,24.505,24.505,24.677,24.677,24.763,24.935,24.763,24.763,24.763,24.849,24.849,24.935,24.935,25.365,25.451,25.537,25.623,25.709,25.709,25.795,25.795,25.881,25.967,26.053,26.139,26.913,27.084,27.084,27.084,27.084,27.084,27.17,27.342,27.342,27.514,27.514,27.514,27.686,27.772,27.858,28.116,28.116,28.116,28.202,28.374,28.374,28.374,28.374,28.288,28.288,28.46,28.546,28.632,28.632,28.718,28.89,28.89,28.89,28.89,29.062,29.062,29.148,29.32,29.492,29.75,29.922,30.352,30.18,30.094,30.18,30.352,30.954,31.126,31.556,31.728,32.931,34.823,35.339,35.511,37.23,39.896,40.326,41.1,41.358,41.616,43.077,43.077,43.077,43.077,42.905,42.819,42.819,42.819,42.819,42.991,42.991,43.163,43.765,43.937,44.195,44.711,45.141,45.227,45.829,46.001,46.087,46.259,46.345,46.517,47.093,47.171,47.326,47.48,47.48,47.713,47.79,47.635,47.635,47.713,47.868,47.868,47.868,47.945,48.023,48.642,48.875,49.03,49.339,49.649,50.269,50.501,51.276,51.741,52.36,53.29,53.677,53.909,54.529,54.684,55.458,56.156,56.156,57.705,58.169,58.944,59.486,59.796,60.183,61.035,61.5,62.352,62.197,62.507,62.662,62.894,62.507,62.894,63.204,64.908,65.14,65.295,65.683,66.225,66.999,67.542,67.851,68.006,68.239,68.471,68.394,68.781,68.703,68.394,68.858,69.633,69.4,69.478,69.323,69.478,69.246,69.323,69.14,68.957,68.861,68.485,68.693,69.724,69.134,69.4,69.408,69.75,69.867,69.979
"50","42","  Drugs & sundries","PS5123",22.625,22.625,22.625,22.716,22.716,22.716,22.716,22.716,22.716,22.716,22.716,22.716,22.625,22.716,22.807,22.807,22.807,22.897,22.897,22.897,22.897,22.897,22.897,22.897,22.897,22.988,22.988,23.079,23.17,23.17,23.17,23.17,23.261,23.352,23.443,23.533,23.533,23.533,23.715,23.715,23.806,23.897,23.988,23.988,23.897,23.897,23.897,23.897,24.17,24.26,24.351,24.351,24.442,24.533,24.533,24.533,24.533,24.533,24.533,24.533,24.533,24.533,24.533,24.624,24.715,24.715,24.624,24.715,24.715,24.806,24.806,24.806,24.806,24.806,24.896,25.078,25.26,25.351,25.351,25.351,25.351,25.805,25.896,26.259,26.623,26.714,26.895,27.441,28.985,29.712,30.348,32.256,32.711,33.347,33.619,33.71,34.346,34.528,34.528,34.255,34.164,34.255,34.255,34.255,34.255,34.346,34.619,34.8,35.164,35.164,35.346,35.437,35.527,35.618,35.164,35.255,35.346,35.437,35.437,35.437,35.962,36.306,36.375,36.513,36.719,36.857,36.995,37.064,37.271,37.339,37.546,37.753,37.822,37.96,38.235,38.58,38.855,38.924,39.131,39.268,39.544,39.613,39.957,40.164,40.44,40.853,40.922,41.06,41.335,41.473,41.611,41.886,42.3,42.713,42.92,43.264,43.815,44.091,44.435,45.469,45.951,46.295,46.778,46.02,47.053,47.673,48.776,48.431,49.533,49.258,50.291,48.982,49.809,50.429,50.498,51.807,52.427,52.427,52.909,53.116,54.011,54.494,54.149,55.183,54.011,55.734,55.734,56.216,55.871,55.389,56.147,56.285,56.097,57.646,57.731,58.31,58.085,58.517,59.636,59.063,59.294,59.529,59.73,60.432
"51","43","  Apparel & piece goods","PS5133",38.263,38.263,38.263,38.263,38.263,38.453,38.643,38.643,38.739,38.834,39.024,39.024,39.214,39.405,39.5,39.595,39.69,40.071,40.166,40.261,40.452,40.642,40.833,40.833,41.118,41.213,41.213,41.213,41.404,41.594,41.975,41.975,42.165,42.26,42.355,42.355,42.546,42.641,42.736,42.927,42.831,43.022,43.212,43.212,43.402,43.498,43.593,43.688,43.878,43.973,44.069,43.973,43.973,44.449,44.64,44.83,44.83,44.83,44.83,44.83,44.64,44.735,44.735,44.735,44.83,44.925,45.116,45.116,45.211,45.401,45.496,45.592,45.782,45.877,45.972,46.258,46.448,46.639,46.639,46.829,46.924,47.686,47.876,48.066,48.637,48.923,49.113,49.78,50.16,50.922,51.112,51.873,52.064,52.159,52.349,52.349,52.445,52.254,52.159,51.969,51.683,51.873,51.778,51.969,52.159,52.349,52.825,53.016,53.872,53.682,53.872,54.158,54.348,54.919,55.11,55.586,55.49,55.871,56.061,56.061,57.012,57.264,57.433,57.601,57.348,57.517,57.685,57.769,59.117,59.201,59.285,59.538,59.791,60.464,60.717,60.97,61.138,61.306,61.643,61.812,61.812,62.317,62.738,63.075,63.833,64.17,64.506,65.18,65.601,66.696,66.949,67.538,67.875,67.959,68.296,68.464,68.885,69.307,70.822,71.412,71.749,72.17,72.675,72.843,73.096,73.517,74.865,74.949,75.37,75.875,76.044,76.212,76.717,76.97,77.054,77.222,77.644,77.559,77.812,78.065,77.728,78.401,78.654,79.075,79.328,79.412,79.412,79.496,79.58,79.58,79.496,79.58,79.853,79.871,79.899,79.776,79.881,80.023,80.203,80.417,80.535,80.542,80.723,80.822
