"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","      Gross investment \2\","A782RG3",81.144,81.772,82.117,82.731,83.401,82.548,82.748,82.921,82.801,83.285,83.451,83.931,83.638,83.668,83.961,84.33,84.744,85.224,85.483,86.101,86.624,87.334,87.93,88.439,88.55,88.769,88.916,89.09,89.385,89.736,89.962,90.145,90.709,90.784,90.856,91.034,91.659,93.161,95.125,97.023,97.912,99.27,100.842,101.976,102.577,104.403,105.656,107.353,109.217,109.961,110.825,111.862,112.92,113.94,115.454,117.196,117.879,117.238
"12","4","        Structures","A760RG3",66.051,66.663,67.232,67.804,68.318,68.594,69.145,69.543,69.979,70.64,71.129,72.046,72.369,72.608,73.341,74.04,74.592,75.465,76.039,76.931,77.714,78.887,79.676,80.537,81.232,81.595,82.069,82.896,83.441,84.14,84.616,84.925,85.89,86.106,86.329,86.736,87.567,89.586,92.599,95.366,96.489,98.762,101.42,103.328,104.207,106.966,108.91,111.797,114.797,116.027,117.398,119.102,120.705,122.064,124.243,127.147,128.686,127.568
"13","5","        Equipment and software","A871RG3",113.712,114.355,114.149,114.811,115.779,112.384,111.766,111.401,109.887,109.898,109.258,108.68,106.962,106.495,105.769,105.385,105.492,105.097,104.695,104.725,104.66,104.332,104.494,104.229,103.059,102.948,102.373,101.119,100.85,100.435,100.134,100.054,99.752,99.529,99.277,98.971,99.154,99.6,99.539,99.862,100.336,100.102,99.853,99.709,99.856,100.205,100.356,100.181,100.25,100.223,100.294,100.291,100.52,101.04,101.588,101.685,101.167,101.213
"14","6","Federal","B823RG3",73.157,73.252,73.521,74.938,75.968,75.335,75.63,76.118,76.846,76.924,77.012,77.407,77.683,77.822,78.042,78.177,79.179,79.636,80.089,80.642,82.08,81.833,82.901,83.283,83.661,83.895,84.378,84.871,86.909,87.094,87.129,88.14,90.63,90.869,91.144,91.454,93.996,95.18,95.755,96.408,99.173,99.68,100.42,100.728,103.101,104.187,104.502,104.637,106.808,107.737,107.896,108.577,110.077,111.265,111.784,110.628,111.084,111.256
"15","7","    Consumption expenditures","B957RG3",69.909,69.904,70.183,71.644,72.593,72.302,72.681,73.257,74.106,74.193,74.343,74.803,75.19,75.329,75.601,75.729,76.762,77.264,77.784,78.368,79.97,79.711,80.872,81.298,81.813,82.057,82.646,83.314,85.636,85.865,85.901,87.022,89.833,90.096,90.419,90.786,93.602,94.831,95.421,96.057,99.082,99.654,100.491,100.774,103.419,104.56,104.813,104.964,107.429,108.473,108.595,109.336,111.011,112.3,112.805,111.453,112.046,112.267
"16","8","    Gross investment","B787RG3",97.428,98.306,98.478,99.505,101.119,97.947,97.619,97.405,97.131,97.144,96.743,96.627,96.02,96.166,95.998,96.182,96.947,97.077,97.052,97.374,97.618,97.448,97.793,97.847,97.179,97.341,97.023,96.201,96.1,95.961,96.001,96.218,96.345,96.402,96.332,96.223,96.771,97.627,98.101,98.892,99.804,99.855,99.929,100.411,100.964,101.69,102.408,102.432,102.694,102.901,103.296,103.607,104.03,104.624,105.23,105.219,104.885,104.767
"17","9","      Structures","B801RG3",66.923,67.563,68.209,68.784,69.276,69.549,70.016,70.188,70.477,70.894,71.479,72.364,72.561,72.97,73.747,74.431,75.031,75.878,76.514,77.275,78.068,78.997,79.745,80.445,81.321,81.938,82.716,83.384,83.536,84.019,84.412,85.033,86.118,86.313,86.661,87.344,88.355,90.08,92.584,95,96.957,98.82,101.257,102.966,104.913,106.959,108.594,110.633,112.314,113.415,114.577,115.901,116.813,117.522,118.454,119.169,121.023,119.908
"18","10","      Equipment and software","B872RG3",106.098,107.039,106.987,108.163,110.181,105.667,105.012,104.653,104.161,104.004,103.207,102.714,101.812,101.845,101.316,101.32,102.129,102.001,101.766,101.948,102.028,101.554,101.784,101.668,100.625,100.672,100.09,98.91,98.745,98.453,98.408,98.526,98.409,98.43,98.251,97.942,98.373,99.028,99.073,99.559,100.281,100.022,99.711,99.986,100.314,100.835,101.41,101.101,101.117,101.164,101.421,101.551,101.891,102.466,103.018,102.878,102.124,102.199
"19","11","  National defense","B824RG3",72.657,72.851,73.165,73.972,75.388,75.1,75.398,75.84,76.462,76.445,76.443,76.716,77.098,77.217,77.365,77.63,78.645,79.043,79.397,79.815,81.421,81.361,82.141,82.361,83.037,83.175,83.677,84.046,85.848,86.244,86.471,87.932,90.201,90.473,90.796,91.165,93.453,94.651,95.316,96.159,99.135,99.669,100.397,100.799,103.336,104.499,104.883,104.965,107.089,108.172,108.493,109.389,110.857,112.402,113.059,111.334,111.584,111.719
"20","12","    Consumption expenditures","B997RG3",69.538,69.63,69.964,70.692,71.936,72.184,72.562,73.066,73.776,73.753,73.812,74.13,74.615,74.715,74.915,75.148,76.149,76.579,76.993,77.423,79.209,79.2,80.05,80.299,81.157,81.3,81.913,82.495,84.529,84.973,85.209,86.819,89.384,89.679,90.052,90.477,92.997,94.222,94.918,95.758,99.024,99.645,100.482,100.849,103.685,104.904,105.213,105.314,107.716,108.925,109.208,110.195,111.809,113.491,114.144,112.12,112.502,112.691
"21","13","    Gross investment","B788RG3",97.031,98.026,98.174,99.583,102.312,97.852,97.493,97.383,97.184,97.235,96.701,96.586,96.071,96.344,96.049,96.552,97.665,97.785,97.665,97.981,98.101,97.617,97.81,97.801,96.992,97.101,96.747,95.473,95.446,95.472,95.649,96.012,96.069,96.151,96.103,96.069,96.657,97.66,98.115,98.98,99.896,99.83,99.809,100.464,100.987,101.789,102.663,102.618,102.942,103.229,103.792,104.131,104.723,105.485,106.17,106.14,105.65,105.489
"22","14","      Structures","B808RG3",65.66,66.285,66.843,67.31,67.559,67.978,68.753,68.923,69.452,70.076,70.723,71.509,71.56,71.897,72.775,73.381,73.889,75.016,75.757,76.573,77.086,78.291,79.146,79.802,80.7,81.267,82.113,82.933,83.016,83.653,84.116,84.721,86.033,86.191,86.503,87.108,88.087,89.954,92.873,95.232,96.619,98.506,101.445,103.43,105.03,107.476,108.949,111.089,112.859,114.017,115.064,116.06,116.818,117.228,117.337,116.775,119.518,118.672
"23","15","      Equipment and software","B873RG3",101.991,103.047,103.092,104.677,107.884,102.461,101.87,101.702,101.348,101.27,100.485,100.181,99.559,99.813,99.278,99.766,100.985,100.911,100.646,100.882,100.937,100.194,100.277,100.161,99.104,99.146,98.624,97.068,97.025,96.969,97.109,97.441,97.321,97.391,97.288,97.156,97.681,98.566,98.715,99.405,100.266,99.973,99.625,100.136,100.546,101.179,101.991,101.714,101.872,102.049,102.552,102.81,103.384,104.189,104.945,104.985,104.024,103.965
"24","16","  Nondefense","B825RG3",74.149,74.042,74.217,76.913,77.13,75.773,76.067,76.654,77.601,77.87,78.136,78.771,78.838,79.013,79.378,79.252,80.236,80.807,81.449,82.26,83.379,82.785,84.387,85.075,84.897,85.311,85.758,86.481,88.956,88.754,88.435,88.611,91.508,91.68,91.858,92.05,95.108,96.264,96.651,96.915,99.255,99.702,100.466,100.577,102.622,103.551,103.728,103.972,106.243,106.858,106.678,106.908,108.469,108.922,109.149,109.198,110.085,110.332
"25","17","    Consumption expenditures","B542RG3",70.619,70.409,70.577,73.592,73.912,72.472,72.856,73.591,74.733,75.049,75.382,76.126,76.316,76.527,76.952,76.862,77.961,78.607,79.339,80.235,81.47,80.732,82.485,83.252,83.114,83.552,84.097,84.925,87.784,87.612,87.278,87.487,90.754,90.951,91.171,91.425,94.839,96.077,96.449,96.665,99.204,99.674,100.508,100.614,102.878,103.858,103.999,104.254,106.854,107.558,107.345,107.574,109.367,109.858,110.057,110.109,111.136,111.423
"26","18","    Gross investment","B798RG3",98.225,98.877,99.113,99.436,98.987,98.2,97.921,97.515,97.105,97.047,96.851,96.73,95.975,95.95,95.978,95.648,95.939,96.084,96.201,96.528,96.952,97.27,97.859,98.017,97.581,97.832,97.573,97.529,97.302,96.887,96.684,96.635,96.886,96.898,96.787,96.535,97.003,97.566,98.073,98.706,99.606,99.905,100.177,100.312,100.918,101.489,101.886,102.055,102.188,102.23,102.266,102.52,102.573,102.785,103.207,103.237,103.258,103.242
"27","19","      Structures","B830RG3",67.719,68.367,69.067,69.706,70.346,70.53,70.817,70.986,71.128,71.419,71.966,72.923,73.2,73.652,74.37,75.098,75.747,76.448,77.03,77.766,78.702,79.474,80.157,80.889,81.741,82.388,83.119,83.69,83.883,84.278,84.627,85.256,86.191,86.409,86.779,87.522,88.558,90.18,92.37,94.825,97.287,99.108,101.055,102.55,104.794,106.511,108.292,110.251,111.853,112.893,114.15,115.76,116.812,117.835,119.653,121.801,122.58,121.123
"28","20","      Equipment and software","B880RG3",116.476,117.025,116.691,116.627,115.1,113.373,112.514,111.599,110.744,110.394,109.563,108.591,107.071,106.67,106.172,105.055,105.097,104.881,104.718,104.794,104.916,104.982,105.506,105.388,104.372,104.432,103.719,103.377,102.95,102.131,101.653,101.254,101.141,101.045,100.682,99.928,100.123,100.196,99.971,99.928,100.312,100.14,99.916,99.632,99.766,100.018,100.019,99.641,99.307,99.039,98.676,98.486,98.236,98.213,98.208,97.585,97.369,97.821
"29","21","State and local","B829RG3",71.633,72.171,72.469,72.735,73.425,73.493,73.911,74.397,74.795,74.99,75.269,75.821,75.785,76.003,76.466,77.025,77.659,78.644,79.514,80.328,81.299,82.038,82.821,83.771,84.548,85.013,85.256,85.259,85.602,86.385,87.133,88.12,89.822,90.061,90.661,91.155,92.053,93.139,94.624,96.432,97.578,98.993,100.842,102.588,103.307,104.916,105.99,106.892,108.527,109.949,111.009,112.975,114.803,116.877,118.493,116.396,115.587,115.755
"30","22","  Consumption expenditures","B991RG3",70.735,71.273,71.547,71.775,72.547,72.611,73.031,73.555,74.058,74.152,74.415,74.938,74.936,75.203,75.669,76.257,76.965,78.037,79.023,79.858,80.915,81.597,82.406,83.428,84.306,84.827,85.059,84.95,85.274,86.123,86.98,88.161,90.103,90.381,91.097,91.645,92.604,93.534,94.772,96.461,97.669,98.983,100.76,102.588,103.331,104.782,105.762,106.315,107.739,109.266,110.324,112.435,114.379,116.655,118.193,115.003,113.738,114.15
"31","23","  Gross investment","B799RG3",75.537,76.071,76.485,76.937,77.226,77.312,77.719,78.027,77.958,78.591,78.948,79.634,79.448,79.436,79.887,80.313,80.614,81.207,81.563,82.281,82.892,83.872,84.544,85.19,85.532,85.768,86.057,86.538,86.954,87.46,87.749,87.922,88.63,88.711,88.83,89.104,89.75,91.475,93.979,96.294,97.176,99.032,101.197,102.594,103.213,105.493,106.965,109.355,111.887,112.856,113.92,115.266,116.598,117.808,119.75,122.372,123.579,122.674
"32","24","    Structures","B842RG3",65.959,66.566,67.124,67.697,68.216,68.492,69.055,69.48,69.935,70.626,71.103,72.026,72.363,72.581,73.309,74.011,74.557,75.433,76.001,76.906,77.69,78.882,79.675,80.546,81.228,81.572,82.025,82.863,83.437,84.152,84.635,84.919,85.874,86.092,86.306,86.69,87.509,89.551,92.602,95.393,96.459,98.758,101.43,103.352,104.158,106.965,108.931,111.88,114.981,116.22,117.607,119.341,120.999,122.41,124.695,127.808,129.312,128.196
"33","25","    Equipment and software","B881RG3",126.502,126.533,126.023,125.68,124.533,123.462,122.905,122.502,119.206,119.474,119.087,118.358,115.329,114.076,113.025,111.996,111.059,110.254,109.586,109.382,109.104,108.996,109.061,108.576,107.211,106.862,106.291,104.921,104.492,103.885,103.159,102.745,102.134,101.501,101.123,100.822,100.577,100.656,100.396,100.417,100.439,100.251,100.122,99.188,98.999,99.027,98.4,98.473,98.645,98.485,98.207,97.947,97.953,98.348,98.881,99.493,99.491,99.47
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
