"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","      Gross investment \2\","A782RA3",72.633,73.345,71.872,71.795,73.094,74.814,75.812,76.867,78.002,77.481,77.692,75.706,75.262,78.854,82.947,82.614,83.242,84.927,86.28,88.941,89.356,87.873,88.559,88.765,90.005,95.079,90.155,94.67,96.422,96.863,98.335,98.624,98.144,98.801,101.576,101.094,100.551,101.901,101.338,99.379,98.397,99.563,100.358,101.682,101.893,104.434,103.237,103.507,104.434,106.773,107.401,107.728,107.521,110.955,111.602,110.777,108.298,111.841
"12","4","        Structures","A760RA3",81.825,82.716,81.36,80.789,80.466,83.461,85.94,90.206,92.612,90.681,88.489,84.035,83.274,87.471,92.726,92.139,93.714,92.667,93.285,96.917,99.18,95.988,96.613,96.806,98.685,106.313,97.525,105.03,106.979,105.58,106.388,107.829,107.115,106.445,109.979,107.994,107.06,107.84,104.597,100.888,100.142,99.824,99.234,100.8,99.109,101.871,100.851,100.201,102.259,104.046,104.244,104.5,102.641,104.611,104.726,102.491,101.364,105.105
"13","5","        Equipment and software","A871RA3",59.104,59.596,58.113,58.567,61.465,61.802,61.182,58.759,58.417,59.411,62.225,63.086,63.081,65.877,68.482,68.451,67.893,72.792,74.986,76.363,74.464,75.2,75.959,76.19,76.57,78.132,78.516,78.844,80.282,83.303,85.701,84.334,84.203,86.791,88.42,90.15,90.171,92.362,95.959,96.809,95.465,99.098,102.258,103.179,106.755,108.912,107.401,109.387,108.143,111.541,113.007,113.46,116.58,122.957,124.684,126.819,121.488,124.55
"14","6","Federal","B823RA3",81.63,81.307,80.754,77.722,79.341,80.472,79.053,78.825,77.764,79.142,78.884,78.776,76.319,78.419,77.767,78.529,78.01,78.009,79.646,81.416,78.194,81.324,79.747,79.379,81.069,82.805,83.361,84.368,86.376,88.372,89.772,91.289,91.315,95.718,95.812,96.511,97.749,98.304,100.01,98.778,99.19,99.286,101.608,99.915,102.763,101.887,101.792,102.066,100.738,102.558,104.871,105.57,107.654,109.698,113.152,114.946,113.693,116.672
"15","7","    Consumption expenditures","B957RA3",82.796,82.598,82.395,78.928,79.82,80.979,79.699,80.491,79.656,81.184,80.123,80.4,77.52,79.487,78.124,79.515,79.152,78.217,79.801,81.624,78.705,82.464,80.484,80.319,82.324,83.848,84.33,85.311,87.336,88.929,89.986,91.93,92.026,96.506,96.379,97.058,98.547,98.827,100.235,99.094,99.754,99.425,101.426,99.394,102.313,100.957,101.292,101.024,99.804,101.119,103.511,104.322,106.25,107.351,110.659,111.933,111.206,113.963
"16","8","    Gross investment","B787RA3",74.349,73.413,71.153,70.361,75.605,76.599,74.497,68.982,66.725,67.277,71.271,69.096,68.955,71.751,74.977,72.297,70.918,76.049,77.963,79.433,74.563,74.105,74.853,73.314,73.152,76.11,77.084,78.23,80.12,84.596,88.114,86.959,86.542,90.434,91.964,92.787,92.354,94.754,98.452,96.596,95.299,98.315,102.86,103.527,105.875,108.431,105.276,109.41,107.319,112.805,114.534,114.398,117.6,126.61,131.123,136.747,131.612,136.224
"17","9","      Structures","B801RA3",172.742,162.352,165.633,155.114,163.436,169.728,160.841,145.95,147.237,144.519,152.112,128.072,144.721,144.907,149.361,136.127,140.86,135.519,131.653,130.208,116.131,111.062,110.989,100.499,99.173,103.515,104.213,109.511,115.141,117.346,121.323,123.233,126.88,131.122,133.625,126.485,120.999,118.029,114.294,97.469,100.52,93.638,101.298,104.544,97.745,102.749,100.412,113.731,113.107,122.426,123.577,122.043,119.108,125.729,136.339,149.567,152.558,153.743
"18","10","      Equipment and software","B872RA3",61.525,61.607,58.838,59.102,63.851,64.248,62.947,58.611,56.006,56.907,60.394,60.798,58.698,61.757,64.785,63.421,61.309,67.646,70.248,72.065,68.422,68.564,69.417,69.07,69.072,71.826,72.834,73.397,74.75,79.519,82.953,81.366,80.367,84.192,85.567,87.55,87.858,91.055,95.895,96.406,94.438,99.078,103.122,103.363,107.292,109.425,106.125,108.605,106.238,111.009,112.841,112.967,117.335,126.802,130.156,134.326,127.609,132.895
"19","11","  National defense","B824RA3",82.174,82.028,81.047,78.495,80.026,81.117,79.396,78.886,76.352,78.151,77.772,78.199,73.543,76.359,77.308,76.7,75.772,75.81,78.056,79.904,75.179,78.647,77.03,77.09,78.447,79.544,80.267,81.374,83.128,85.041,86.482,88.476,87.785,95.191,94.066,95.929,97.359,97.871,100.708,98.201,99.068,99.826,102.492,98.614,101.115,101.384,100.892,102.963,100.952,103.059,105.546,105.668,107.76,109.597,114.668,115.732,114.219,117.84
"20","12","    Consumption expenditures","B997RA3",83.528,83.297,82.954,80.05,80.922,82.161,80.748,81.347,79.212,81.218,79.668,80.19,75.843,78.594,78.671,78.634,78.21,77.287,79.31,81.857,76.407,80.486,78.36,78.529,80.282,80.872,81.428,82.601,84.633,85.772,86.719,89.262,88.456,96.38,94.719,96.552,98.203,98.485,100.79,98.265,99.548,99.751,102.339,98.362,100.843,100.214,100.367,101.869,99.958,101.436,104.084,104.248,105.927,106.525,111.499,112.401,111.005,114.179
"21","13","    Gross investment","B788RA3",73.123,73.399,69.306,68.607,73.381,73.749,70.507,64.253,59.655,60.305,66.1,66.016,59.804,62.927,68.576,64.903,61.253,66.495,69.92,67.918,67.282,67.279,68.56,67.994,67.048,71.062,72.745,73.439,73.485,80.149,84.629,83.206,83.268,87.325,89.681,91.733,91.684,93.724,100.116,97.726,95.764,100.344,103.543,100.348,102.97,109.641,104.551,110.675,107.966,114.652,115.949,115.744,120.844,131.867,137.614,139.865,137.493,144.409
"22","14","      Structures","B808RA3",140.055,132.87,135.91,131.447,129.132,128.418,120.035,116.485,114.458,114.754,122.966,113.95,107.854,113.153,114.717,96.785,102.558,99.939,94.515,86.881,88.019,89.916,99.203,91.451,83.825,92.146,85.374,88.805,86.789,91.851,97.928,97.675,108.731,111.883,118.399,115.068,111.173,103.821,106.89,97.096,104.1,98.541,102.966,94.393,95.41,100.068,96.56,107.848,113.218,128.339,122.949,126.274,132.153,139.009,149.119,170.56,177.604,185.02
"23","15","      Equipment and software","B873RA3",67.268,68.077,63.531,63.12,68.334,68.784,65.965,59.577,54.829,55.496,61.045,61.666,55.493,58.416,64.358,61.87,57.464,63.321,67.468,65.959,65.186,65.025,65.602,65.673,65.324,68.931,71.387,71.822,72.067,78.875,83.193,81.659,80.646,84.786,86.725,89.309,89.645,92.635,99.369,97.767,94.845,100.532,103.598,101.025,103.84,110.752,105.479,110.981,107.282,112.92,115.052,114.403,119.402,130.947,136.145,136.004,132.443,139.299
"24","16","  Nondefense","B825RA3",80.565,79.878,80.19,76.197,77.99,79.198,78.389,78.73,80.646,81.173,81.154,79.976,81.924,82.594,78.732,82.245,82.544,82.461,82.879,84.496,84.278,86.733,85.239,84.015,86.369,89.387,89.607,90.416,92.933,95.098,96.42,96.976,98.458,96.789,99.352,97.687,98.537,99.178,98.599,99.955,99.436,98.176,99.796,102.592,106.163,102.927,103.653,100.203,100.282,101.505,103.457,105.367,107.442,109.925,109.956,113.288,112.576,114.221
"25","17","    Consumption expenditures","B542RA3",81.37,81.232,81.312,76.713,77.644,78.638,77.627,78.807,80.61,81.169,81.09,80.879,80.935,81.337,77.086,81.338,81.093,80.131,80.843,81.233,83.345,86.471,84.783,83.953,86.459,89.847,90.181,90.781,92.797,95.295,96.574,97.314,99.241,96.765,99.744,98.081,99.242,99.517,99.117,100.781,100.171,98.753,99.555,101.521,105.35,102.491,103.205,99.266,99.471,100.447,102.306,104.475,106.933,109.1,108.873,110.931,111.598,113.489
"26","18","    Gross investment","B798RA3",76.834,73.434,74.883,73.897,80.099,82.395,82.62,78.621,81.158,81.513,81.813,75.365,87.66,89.776,88.027,87.412,90.719,95.591,94.347,103.03,89.393,87.995,87.644,84.115,85.549,86.359,85.9,87.963,93.564,93.645,95.223,94.61,93.215,96.769,96.616,94.936,93.724,96.86,95.046,94.286,94.351,94.161,101.46,110.028,111.827,105.95,106.779,106.809,105.984,108.99,111.61,111.617,110.864,115.662,117.586,130.316,119.377,119.171
"27","19","      Structures","B830RA3",202.179,188.941,192.459,176.618,194.239,206.658,197.313,172.451,176.664,171.28,178.339,140.922,177.721,173.411,180.43,171.288,175.115,167.348,164.852,168.897,141.327,130.078,121.685,108.734,113.003,113.811,121.16,128.132,140.6,140.26,142.364,146.215,143.213,148.437,147.335,136.781,129.872,130.83,120.963,97.78,97.267,89.199,99.778,113.756,99.855,105.169,103.893,119.049,112.978,117.022,124.132,118.21,107.328,113.747,124.798,130.805,130.25,125.936
"28","20","      Equipment and software","B880RA3",49.21,47.758,48.725,50.415,54.144,54.45,56.443,56.577,58.645,60.064,59.048,58.984,65.88,69.237,65.75,66.926,69.986,77.39,76.43,85.878,75.662,76.504,77.983,76.687,77.474,78.291,76.018,76.877,80.721,80.891,82.311,80.601,79.63,82.718,82.789,83.373,83.612,87.289,87.67,93.168,93.46,95.602,101.98,108.959,115.599,106.239,107.726,102.841,103.701,106.331,107.414,109.461,112.253,116.497,115.176,130.38,115.581,116.887
"29","21","State and local","B829RA3",78.659,79.279,79.329,79.72,79.556,80.706,81.434,82.662,83.534,83.832,84.135,84.419,85.101,86.686,88.313,89.063,90.065,90.636,91.435,92.579,93.332,93.347,93.827,94.47,95.564,97.518,96.931,98.931,100.03,100.302,100.711,100.848,100.511,100.201,100.608,100.31,100.325,100.575,100.14,99.895,99.806,99.922,99.995,100.277,100.205,100.851,101.149,101.437,102.203,102.875,103.11,103.356,103.234,103.549,103.576,103.061,102.66,103.281
"30","22","  Consumption expenditures","B991RA3",80.548,80.939,81.261,81.674,81.642,82.561,82.844,83.323,83.731,84.36,85.136,85.949,86.941,87.945,88.874,89.618,90.485,91.184,91.916,92.569,92.817,93.299,93.737,94.296,95.21,96.214,97.257,98.32,99.282,99.926,100.293,100.25,99.95,99.733,99.481,99.349,99.501,99.602,99.6,99.761,99.849,99.893,100.14,100.118,100.167,100.372,100.848,101.481,101.948,102.494,102.73,102.919,103.103,103.144,103.341,103.431,103.323,103.305
"31","23","  Gross investment","B799RA3",71.003,72.546,71.497,71.801,71.105,73.186,75.701,79.964,82.736,81.688,80.062,78.188,77.616,81.564,86.037,86.814,88.377,88.424,89.503,92.699,95.563,93.62,94.275,95.268,97.128,103.122,95.598,101.575,103.259,101.954,102.543,103.452,102.947,102.224,105.525,104.488,103.897,104.802,102.476,100.475,99.619,100.047,99.376,100.957,100.353,102.892,102.435,101.27,103.293,104.496,104.727,105.211,103.799,105.273,104.575,101.554,99.976,103.144
"32","24","    Structures","B842RA3",75.58,77.254,75.577,75.694,74.776,77.543,80.806,86.393,88.876,86.996,84.132,81.02,79.068,83.54,88.85,89.129,90.488,89.735,90.66,94.64,98.021,94.957,95.63,96.551,98.65,106.503,97.066,104.723,106.42,104.775,105.367,106.777,105.765,104.759,108.363,106.73,106.108,107.145,103.936,101.12,100.115,100.245,99.094,100.545,99.201,101.809,100.878,99.286,101.526,102.812,102.946,103.318,101.527,103.189,102.62,99.395,98.008,101.908
"33","25","    Equipment and software","B881RA3",55.964,57.1,57.638,58.415,58.366,58.636,59.109,59.717,63.018,64.181,65.942,67.557,70.973,73.366,75.301,77.532,79.623,82.091,83.593,84.206,85.326,87.09,87.685,88.926,89.974,89.455,88.751,88.668,90.261,90.201,90.764,89.782,91.206,91.563,93.651,94.922,94.426,94.779,96.095,97.573,97.383,99.138,100.647,102.831,105.733,107.928,109.831,110.866,111.775,112.548,113.315,114.41,115.125,115.514,114.088,112.291,109.625,108.426
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
