"","Table 1#7#4# Price Indexes for Gross Domestic Product, Gross Nat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","Less: Income payments to the rest of the world","A655RG3",80.405,80.774,81.092,81.442,81.886,82.089,82.501,83,83.539,83.771,83.967,84.317,84.364,84.546,84.791,85.029,85.371,85.803,86.208,86.655,87.498,87.976,88.4,88.86,89.429,89.939,90.109,90.213,90.553,91.207,91.614,92.125,93.045,93.197,93.712,94.151,95.164,96.155,96.839,97.701,98.593,99.334,100.561,101.512,102.209,103.109,103.825,103.989,104.877,105.752,106.354,107.407,108.36,109.557,110.733,109.596,109.378,NA
"12","4","Equals: Gross national product","A001RG3",80.988,81.352,81.698,82.118,82.562,82.868,83.276,83.656,84.08,84.452,84.689,85.007,85.133,85.342,85.66,85.887,86.25,86.614,86.917,87.275,87.937,88.383,88.907,89.358,89.975,90.601,90.89,91.143,91.466,91.868,92.277,92.822,93.497,93.775,94.3,94.809,95.621,96.438,97.142,97.861,98.771,99.442,100.471,101.316,102.075,102.983,103.766,104.237,105.329,106.028,106.46,107.075,107.581,108.067,109.138,109.149,109.647,NA
"13","5","Less: Consumption of fixed capital","A262RG3",91.546,91.868,92.015,92.064,91.914,91.785,91.739,91.725,91.762,91.757,91.636,91.528,91.258,91.092,91.005,90.973,90.987,91.118,91.293,91.579,91.949,92.25,92.51,92.703,92.858,92.984,93.055,93.092,93.118,93.173,93.25,93.366,93.532,93.748,94.061,94.458,95.029,95.788,96.663,97.601,98.465,99.436,100.513,101.586,102.589,103.61,104.369,105.008,105.549,105.9,106.19,106.455,106.663,107.171,107.95,108.969,108.706,108.009
"14","6","        Private","A024RG3",93.222,93.518,93.637,93.586,93.37,93.215,93.118,93.076,93.084,93.015,92.87,92.651,92.362,92.139,91.978,91.877,91.832,91.879,92.014,92.231,92.525,92.775,92.986,93.164,93.313,93.419,93.487,93.518,93.517,93.549,93.612,93.708,93.835,94.076,94.429,94.891,95.458,96.105,96.828,97.627,98.498,99.45,100.477,101.574,102.633,103.504,104.191,104.7,105.034,105.298,105.495,105.627,105.697,106.082,106.777,107.783,107.396,106.677
"15","7","        Government","A264RG3",83.916,84.337,84.586,85.027,85.139,85.116,85.276,85.378,85.531,85.791,85.775,86.14,85.953,86.036,86.278,86.552,86.831,87.347,87.708,88.318,89.043,89.588,90.084,90.357,90.544,90.763,90.851,90.919,91.082,91.251,91.397,91.617,91.983,92.066,92.177,92.242,92.835,94.164,95.816,97.465,98.291,99.366,100.695,101.648,102.358,104.162,105.287,106.611,108.234,109.043,109.82,110.785,111.724,112.871,114.089,115.174,115.561,114.981
"16","8","          General government","A265RG3",85.03,85.425,85.621,86.034,86.155,86.116,86.264,86.343,86.472,86.69,86.632,86.98,86.719,86.815,87.059,87.31,87.584,88.125,88.488,89.053,89.775,90.254,90.739,90.963,91.141,91.362,91.421,91.447,91.531,91.648,91.766,92.005,92.375,92.424,92.512,92.488,93.027,94.267,95.867,97.455,98.327,99.352,100.673,101.648,102.363,104.119,105.245,106.539,108.193,108.934,109.619,110.534,111.394,112.543,113.692,114.679,115.012,114.448
"17","9","          Government enterprises","A266RG3",78.11,78.678,79.221,79.816,79.882,79.945,80.167,80.397,80.682,81.175,81.38,81.834,82.041,82.052,82.284,82.683,82.988,83.375,83.721,84.571,85.313,86.207,86.756,87.283,87.516,87.726,87.962,88.246,88.817,89.253,89.547,89.666,90.016,90.271,90.5,91.009,91.876,93.645,95.564,97.513,98.113,99.436,100.802,101.649,102.332,104.378,105.496,106.975,108.438,109.593,110.838,112.052,113.404,114.538,116.115,117.705,118.373,117.706
"18","10","Equals: Net national product","A027RG3",79.672,80.041,80.408,80.871,81.384,81.74,82.202,82.628,83.096,83.513,83.793,84.161,84.335,84.589,84.957,85.215,85.621,86.014,86.334,86.7,87.398,87.864,88.421,88.905,89.582,90.275,90.594,90.876,91.24,91.689,92.143,92.747,93.493,93.779,94.333,94.858,95.702,96.527,97.208,97.897,98.813,99.443,100.466,101.278,102.004,102.896,103.683,104.13,105.299,106.047,106.5,107.164,107.714,108.197,109.312,109.174,109.787,NA
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RG3",79.663,80.028,80.395,80.857,81.37,81.725,82.189,82.616,83.087,83.506,83.786,84.158,84.332,84.588,84.957,85.214,85.621,86.013,86.333,86.698,87.398,87.864,88.419,88.904,89.583,90.277,90.593,90.876,91.242,91.694,92.148,92.754,93.497,93.785,94.337,94.862,95.706,96.531,97.213,97.901,98.817,99.446,100.464,101.274,101.999,102.892,103.678,104.129,105.296,106.045,106.5,107.162,107.711,108.192,109.304,109.181,109.804,109.987
