"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"30","21","State and local","A829RZ2",1.62,1.45,2.24,2.52,2.91,1.86,2.49,2.22,-0.04,-0.11,-0.15,0.57,1.24,0.29
"31","22","  Consumption expenditures","A991RZ2",1.15,0.93,1.37,2.17,1.92,1.17,1.85,1.77,-0.16,-0.01,0.2,0.37,0.91,0.37
"32","23","  Gross investment","A799RZ2",0.47,0.51,0.87,0.35,0.99,0.69,0.64,0.45,0.12,-0.1,-0.34,0.21,0.32,-0.08
"33","24","    Structures","A842RZ2",0.28,0.43,0.6,-0.01,0.69,0.53,0.58,0.42,0.06,-0.17,-0.44,0.03,0.24,-0.1
"34","25","    Equipment and software","B881RZ2",0.19,0.08,0.27,0.36,0.3,0.16,0.06,0.03,0.07,0.07,0.1,0.18,0.09,0.02
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
