"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Structures","B009RA3",95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,116.327,122.437,129.869,133.348,135.559,140.215,140.191,137.603,119.243,116.495
"12","4","    Commercial and health care","W001RA3",92.546,93.871,93.645,92.835,93.139,99.106,102.295,107.133,111.751,107.234,113.139,111.748,113.039,118.967,117.459,122.038,121.112,122.148,122.648,122.782,123.681,129.371,133.536,134.844,133.715,128.748,120.168,113.534,111.453,106.369,102.635,99.758,96.201,97.315,99.741,100.467,98.993,102.849,102.633,99.032,100.721,100.304,98.942,100.034,102.313,105.632,108.525,107.778,112.9,116.493,118.398,118.639,118.135,118.552,115.201,105.965,95.029,91.984
"13","5","    Manufacturing","C307RA3",164.561,178.023,176.777,172.941,182.199,178.367,174.742,192.601,174.307,168.186,179.28,173.466,183.276,182.024,177.494,175.852,163.934,149.763,146.274,139.455,145.204,158.493,156.426,158.104,168.526,158.946,152.436,121.154,101.561,90.903,80.132,78.338,75.73,82.607,83.18,83.625,81.68,79.391,83.351,96.704,100.754,97.754,99.688,101.804,103.347,111.213,116.593,109.864,115.488,123.659,145.564,155.391,155.041,163.201,171.014,187.969,211.321,233.884
"14","6","    Power and communication","W003RA3",102.788,103.195,100.738,95.175,90.645,86.39,83.21,85.555,80.44,81.697,84.594,86.597,86.514,99.845,106.616,98.329,113.516,105.022,118.024,125.021,125.552,124.562,139.75,142.414,118.502,140.842,139.653,150.053,152.637,135.969,122.495,124.662,134.403,128.004,117.695,113.258,111.427,95.41,98.486,104.064,102.948,99.954,97.759,99.339,107.741,103.957,108.171,111.478,124.31,137.723,150.606,165.458,172.84,178.018,171.116,162.439,158.762,172.735
"15","7","    Mining exploration, shafts, and wells","E318RA3",73.913,67.241,65.961,66.114,68.727,73.74,73.868,74.84,84.419,87.141,84.908,86.036,77.958,77.784,75.989,67.831,61.129,64.929,60.621,66.822,70.448,78.113,82.124,85.717,93.018,95.637,99.264,85.142,67.191,65.007,70.754,69.918,70.175,78.709,81.176,81.387,85.343,91.611,93.03,92.609,99.375,105.309,98.75,96.566,104.496,115.932,117.987,119.749,120.701,122.556,130.742,129.977,134.278,144.038,150.567,156.288,101.231,75.957
"16","8","    Other structures \1\","W004RA3",86.035,89.287,96.313,99.852,105.454,106.383,110.01,115.027,117.54,122.394,124.225,131.388,123.003,131.495,133.079,134.439,132.68,133.973,127.421,128.67,132.767,135.316,137.606,132.6,124.39,124.023,146.634,117.949,111.823,111.105,105.526,104.161,100.829,106.961,105.541,104.377,103.08,107.296,107.444,105.536,102.983,98.537,98.288,100.192,103.075,109.889,110.877,112.949,112.714,124.638,132.071,137.953,140.201,144.154,142.623,136.817,124.402,128.543
"17","9","  Equipment and software","B010RA3",48.895,49.018,49.337,50.827,52.211,53.834,56.015,57.069,58.861,61.025,64.415,64.96,68.262,70.354,71.781,75.033,77.474,80.698,83.799,83.833,87.455,90.561,90.774,91.116,90.82,87.473,85.295,84.704,83.663,83.42,84.101,82.405,82.19,84.323,86.955,88.594,87.831,90.653,93.669,96.41,96.994,99.041,101.697,102.268,106.542,107.101,107.681,108.414,108.285,110.007,110.615,111.829,111.685,110.258,107.577,99.808,89.143,87.076
"18","10","    Information processing equipment and software","B679RA3",29.556,31.024,31.696,33.54,35.319,36.859,38.617,39.943,42.464,44.884,48.315,50.184,53.532,55.816,57.65,61.14,64.502,69.308,72.501,73.128,78.029,82.037,83.531,86.2,86.081,82.501,80.311,79.47,79.063,79.741,81.187,79.277,81.217,82.288,86.791,90.554,90.77,92.288,93.984,95.869,97.202,99.142,101.313,102.344,106.404,107.078,109.489,110.269,113.657,115.081,117.454,121.506,124.495,126.519,125.088,119.436,113.092,111.788
"19","11","      Computers and peripheral equipment \2\","B935RA3",10.785,12.508,13.501,15.536,16.811,18.084,19.704,20.959,23.32,26.037,29.395,30.817,35.258,38.506,40.573,44.945,51.002,57.048,59.515,58.743,61.997,68.828,71.206,72.391,75.265,70.601,65.676,69.726,73.416,71.932,75.416,74.104,76.449,76.869,81.277,86.645,84.779,87.1,90.678,95.408,93.424,96.614,101.152,108.81,115.862,120.198,128.085,128.366,137.537,138.655,145.717,157.662,164.896,166.978,154.508,141.747,136.221,137.862
"20","12","      Software \3\","B985RA3",29.187,30.063,31.149,32.38,33.686,35.096,36.59,38.68,42.745,45.026,47.889,50.867,52.778,54.645,57.326,60.631,63.578,68.179,71.96,74.255,76.83,78.943,79.108,81.519,82.142,80.278,79.331,76.924,77.626,79.681,81.482,79.453,81.3,82.163,86.857,90.18,91.307,91.92,94.747,97.468,97.881,100.279,100.866,100.973,102.024,103.129,104.821,106.764,107.778,109.574,111.281,114.49,118.018,119.412,118.466,115.688,108.007,104.447
"21","13","      Other \4\","B937RA3",52.348,52.805,51.935,53.028,55.489,57.06,58.715,58.93,59.379,60.935,64.351,65.325,68.377,69.774,70.335,72.954,74.177,77.919,80.919,80.755,89.33,93.186,95.526,99.563,96.576,91.755,89.85,87.867,83.619,83.866,83.689,81.597,83.428,85.095,89.406,92.865,93.036,95.239,94.594,94.049,98.048,98.838,101.89,101.223,107.752,106.424,107.586,107.075,111.225,112.269,113.837,116.285,117.256,120.071,121.503,114.554,109.792,110.475
"22","14","    Industrial equipment","B680RA3",89.948,91.343,91.994,91.199,93.354,95.117,94.221,95.316,94.856,96.666,97.205,97.439,102.362,101.471,99.39,99.753,99.571,101.005,102.337,102.549,107.439,110.272,112.247,110.522,110.77,102.907,98.576,95.747,96.573,94.1,95.239,94.683,94.207,97.812,95.237,92.688,88.876,90.974,93.799,95.638,97.862,96.733,100.683,104.722,103.425,110.363,109.443,109.986,107.972,117.067,116.426,111.899,112.336,111.86,108.778,104.733,88.186,84.539
"23","15","    Transportation equipment","B681RA3",78.377,70.666,69.276,71.214,70.307,72.501,79.223,79.132,79.341,81.19,85.418,80.31,81.84,85.51,90.115,99.188,100.111,103.315,109.686,105.781,104.97,106.252,102.041,96.601,93.792,94.396,90.516,94.536,89.734,85.38,84.025,80.305,72.357,78.403,79.253,79.103,78.41,86.274,93.027,99.652,95.931,99.119,104.398,100.552,111.504,106.815,106.606,107.612,103.584,98.018,94.525,94.373,89.112,77.618,66.981,50.037,32.912,35.408
"24","16","    Other equipment \5\","B862RA3",62.116,61.668,61.388,62.015,62.564,63.367,65.047,65.627,67.196,68.295,72.535,73.382,76.44,78.605,78.194,76.939,79.602,78.427,79.317,81.008,83.308,85.247,83.874,83.817,85.037,82.688,84.171,81.782,80.753,83.608,83.454,83.368,84.491,84.683,88.172,89.216,88.38,90.365,93.442,95.36,96.808,100.762,100.865,101.565,104.66,104.477,102.508,102.991,99.637,102.651,104.148,105.051,101.849,101.098,103.582,96.467,87.888,81.094
"25","17","Residential","B011RA3",59.06,57.161,58.929,60.265,61.85,64.462,64.284,63.62,63.835,64.643,64.939,65.606,66.775,68.782,70.847,72.544,72.975,73.76,74.373,75.283,75.872,75.355,74.032,74.096,74.435,75.482,75.89,75.245,77.254,79.149,79.61,80.826,81.607,83.465,87.722,90.101,90.904,94.324,95.284,96.032,97.773,100.049,101.073,101.105,100.031,95.502,89.988,85.194,81.521,78.764,73.932,67.745,62.355,59.738,57.208,53.549,47.478,43.541
"26","18","  Structures","B012RA3",59.022,57.104,58.893,60.26,61.897,64.534,64.375,63.684,63.931,64.747,65.042,65.714,66.884,68.887,70.968,72.669,73.073,73.83,74.416,75.333,75.894,75.358,74.007,74.055,74.4,75.46,75.866,75.18,77.206,79.119,79.599,80.823,81.615,83.451,87.711,90.091,90.881,94.321,95.264,95.995,97.766,100.057,101.092,101.084,99.97,95.399,89.818,84.973,81.239,78.469,73.571,67.299,61.859,59.199,56.684,53.032,46.904,42.949
"27","19","    Permanent site","B943RA3",57.24,54.001,55.12,57.162,59.179,62.424,61.889,61.01,60.872,61.658,61.101,62.195,63.672,65.804,68.78,70.911,71.641,71.534,72.125,73.868,74.712,73.799,71.451,71.546,72.523,73.817,74.147,72.732,73.898,76.245,77.005,77.879,79.524,80.595,84.908,89.841,90.392,93.354,94.902,94.979,97.684,99.323,100.651,102.342,101.968,95.035,87.652,80.412,75.288,71.947,66.412,58.502,51.306,47.381,43.634,38.557,30.483,25.72
"28","20","      Single family","B944RA3",57.144,53.606,54.382,56.492,58.416,61.423,61.722,60.557,59.866,60.447,60.154,60.874,62.747,65.497,68.596,70.859,71.409,71.131,71.387,73.5,74.712,73.544,71.322,71.055,71.991,73.388,73.723,71.951,73.041,75.467,76.364,77.457,79.109,80.311,84.807,90.334,90.861,93.772,95.039,95.037,97.772,99.242,100.543,102.443,102.06,94.442,86.405,77.977,72.425,69.576,64.105,55.84,48.129,43.627,39.619,34.472,26.035,21.424
"29","21","      Multifamily","B292RA3",57.725,57.277,61.577,62.962,65.807,71.227,63.029,64.785,69.728,72.369,69.41,73.827,71.757,68.519,70.427,71.438,73.719,75.092,78.585,77.119,74.79,76.078,72.65,75.876,77.217,77.607,77.897,79.64,81.458,83.108,82.657,81.626,83.213,83.123,85.804,85.381,86.132,89.538,93.639,94.414,96.817,100.026,101.644,101.513,101.349,100.511,98.842,101.918,100.445,92.782,86.72,81.813,78.768,79.322,77.422,72.545,66.645,60.383
"30","22","    Other structures \6\","B863RA3",62.015,62.148,64.983,65.303,66.357,68.061,68.486,68.081,68.93,69.797,71.425,71.44,72.131,73.938,74.609,75.624,75.502,77.643,78.222,77.81,77.916,77.988,78.241,78.214,77.541,78.225,78.75,79.245,82.672,83.88,83.908,85.706,85.1,88.199,92.371,90.548,91.718,95.945,95.869,97.704,97.915,101.306,101.841,98.938,96.535,96.007,93.511,92.794,91.467,89.678,85.867,82.401,79.963,79.45,79.002,77.724,74.862,72.279
"31","23","  Equipment","B013RA3",60.576,59.642,60.364,60.201,59.233,60.666,59.531,60.201,58.828,59.201,59.622,59.957,61.159,63.371,64.524,66.037,67.854,70.193,72.234,72.776,74.948,75.496,75.804,76.76,76.766,77.049,77.631,79.458,80.438,81.22,80.484,81.193,81.265,84.558,88.531,90.909,92.601,94.591,96.816,98.875,98.29,99.462,99.563,102.686,104.793,103.649,103.582,102.98,104.314,102.637,103.266,104.049,102.736,103.664,99.921,95.593,93.839,91.178
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RA3",70.202,69.417,70.893,71.609,73.282,75.79,76.053,77.128,77.588,77.873,79.305,80.009,80.458,83.679,85.141,86.268,86.403,86.502,86.886,87.945,89.02,90.133,90.597,90.793,89.96,90.837,91.336,87.214,86.731,86.266,85.204,85.614,85.876,88.026,90.929,92.447,92.822,95.562,96.521,97.063,98.847,100.305,100.341,100.507,101.136,99.768,96.888,93.778,92.678,92.918,92.247,89.364,86.617,86.518,84.913,81.715,71.4,67.959
"34","25","  Private fixed investment in equipment and software","A327RA3",48.992,49.106,49.429,50.904,52.268,53.89,56.041,57.091,58.855,61.003,64.366,64.908,68.191,70.283,71.708,74.943,77.378,80.594,83.684,83.723,87.331,90.412,90.627,90.974,90.681,87.369,85.218,84.651,83.631,83.398,84.065,82.393,82.18,84.325,86.971,88.617,87.877,90.691,93.7,96.434,97.007,99.045,101.676,102.272,106.525,107.067,107.641,108.36,108.246,109.935,110.543,111.753,111.597,110.193,107.501,99.767,89.188,87.115
"35","26","  Private fixed investment in new structures \7\","W040RA3",73.847,72.958,73.954,74.884,76.658,79.13,79.38,80.706,81.032,81.197,82.382,82.736,83.516,86.645,88.217,89.356,89.663,89.206,89.555,91.018,92.112,93.204,93.607,93.72,92.975,93.824,92.82,89.969,88.742,88.144,87.287,87.317,87.697,89.408,91.701,93.93,93.985,95.725,96.786,97.139,99.268,99.951,99.833,100.948,102.161,100.678,98.12,94.759,93.756,94.365,94.471,91.992,89.418,89.138,87.308,84.434,73.497,69.764
"36","27","    Nonresidential structures","A771RA3",96.104,98.009,98.712,97.86,99.56,101.695,102.901,108.062,108.981,108.037,112.098,111.51,111.724,117.766,117.83,117.611,117.117,115.726,115.649,117.034,119.251,124.172,128.833,129.396,125.87,126.325,122.329,115.029,108.777,102.978,98.526,97.174,96.173,98.991,98.727,98.197,97.568,98.635,99.546,99.56,101.241,100.806,98.668,99.285,103.73,109.168,111.936,112.427,116.617,122.742,130.169,133.588,135.781,140.408,140.355,137.753,119.377,116.612
"37","28","    Residential structures","A756RA3",62.438,60.177,61.31,63.119,64.92,67.546,67.32,66.737,66.764,67.481,67.222,68.046,69.111,70.754,73.094,74.923,75.637,75.65,76.212,77.709,78.233,77.402,75.663,75.544,76.197,77.24,77.752,77.157,78.489,80.561,81.557,82.295,83.372,84.517,88.107,91.737,92.144,94.22,95.352,95.866,98.208,99.478,100.448,101.866,101.353,96.065,90.526,84.968,80.945,78.289,73.995,67.9,62.36,59.045,56.057,52.906,46.403,41.914
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Annual chain-type quantity indexes for computers and peripheral equipment:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","7. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
