"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","      Gross investment \2\","A782RC1",231,235.1,231.4,233,239.3,242.4,245.9,249.3,253.8,253,253.9,248.8,246.6,258.6,273,273.2,276.5,283.7,289.1,300.2,303.4,300.9,305.3,307.8,312.4,330.9,314.2,330.6,337.9,340.7,346.8,348.5,349,351.6,361.8,360.8,361.3,372.2,377.9,378,377.6,387.4,396.6,406.4,409.7,427.4,427.6,435.6,447.1,460.2,466.6,472.3,475.9,495.5,505,508.9,500.4,513.9
"12","4","        Structures","A760RC1",133.1,135.9,134.8,135.1,135.7,141.3,146.4,154.1,160.3,158,154.9,149,148.4,156.5,167.6,168.2,172.3,172.3,174.8,183.8,190,186.7,189.8,192.2,197.6,213.8,197.2,214.6,220,219,221.9,225.7,226.7,225.9,234,230.9,231.2,238.3,238.9,237.3,238.2,243,248,256.7,254.5,268.6,270.7,276.1,289.3,297.5,301.6,306.7,305.4,314.7,320.7,321.2,321.5,330.5
"13","5","        Equipment and software","A871RC1",97.8,99.2,96.5,97.9,103.6,101.1,99.5,95.3,93.4,95,99,99.8,98.2,102.1,105.4,105,104.3,111.4,114.3,116.4,113.4,114.2,115.5,115.6,114.9,117.1,117,116,117.8,121.8,124.9,122.8,122.3,125.7,127.8,129.9,130.1,133.9,139,140.7,139.4,144.4,148.6,149.7,155.2,158.8,156.9,159.5,157.8,162.7,165,165.6,170.5,180.8,184.3,187.6,178.8,183.4
"14","6","Federal","A823RC1",523.1,521.7,520.1,510.2,527.9,530.9,523.6,525.5,523.6,533.5,532.4,534.4,519.5,534.8,531.8,537.9,541.2,544.3,558.9,575.3,562.4,583.2,579.4,579.3,594.3,608.7,616.3,627.4,657.8,674.4,685.4,705,725.2,762.1,765.2,773.4,805.1,819.9,839.1,834.5,862,867.2,894.1,881.9,928.5,930.3,932.2,935.9,942.8,968.1,991.4,1004.3,1038.3,1069.5,1108.3,1114.3,1106.7,1137.4
"15","7","    Consumption expenditures","A957RC1",443.1,442,442.7,432.8,443.5,448.1,443.3,451.3,452,461.3,456.2,460.6,446.4,458.6,452.3,461.1,465.3,462.8,475.3,489.9,482,503.4,498.5,500.1,515.8,526.9,533.7,544.3,572.7,584.7,591.9,612.6,633.1,665.8,667.3,674.8,706.4,717.7,732.5,729,756.9,758.8,780.6,767.1,810.4,808.5,813.1,812.1,821.1,839.9,860.8,873.4,903.2,923.2,956,955.4,954.2,979.8
"16","8","    Gross investment","A787RC1",80,79.7,77.4,77.3,84.4,82.9,80.3,74.2,71.6,72.2,76.2,73.8,73.1,76.2,79.5,76.8,75.9,81.5,83.6,85.4,80.4,79.8,80.9,79.2,78.5,81.8,82.6,83.1,85.1,89.7,93.4,92.4,92.1,96.3,97.9,98.6,98.7,102.2,106.7,105.5,105.1,108.4,113.5,114.8,118.1,121.8,119.1,123.8,121.7,128.2,130.7,130.9,135.1,146.3,152.4,158.9,152.4,157.6
"17","9","      Structures","A801RC1",18.2,17.2,17.8,16.8,17.8,18.6,17.7,16.1,16.3,16.1,17.1,14.6,16.5,16.6,17.3,15.9,16.6,16.2,15.8,15.8,14.3,13.8,13.9,12.7,12.7,13.3,13.5,14.3,15.1,15.5,16.1,16.5,17.2,17.8,18.2,17.4,16.8,16.8,16.7,14.6,15.3,14.5,16.1,16.9,16.1,17.3,17.1,19.8,20,21.8,22.3,22.2,21.9,23.2,25.4,28,29,29
"18","10","      Equipment and software","A872RC1",61.9,62.5,59.6,60.6,66.6,64.3,62.6,58.1,55.3,56.1,59.1,59.2,56.6,59.6,62.2,60.9,59.3,65.4,67.7,69.6,66.1,66,66.9,66.5,65.9,68.5,69.1,68.8,69.9,74.2,77.3,76,74.9,78.5,79.7,81.2,81.9,85.4,90,90.9,89.7,93.9,97.4,97.9,102,104.5,102,104,101.8,106.4,108.4,108.7,113.3,123.1,127,130.9,123.4,128.6
"19","11","  National defense","A824RC1",351.7,352.1,349.3,342.1,355.4,358.9,352.6,352.4,343.9,351.9,350.2,353.4,334,347.3,352.3,350.7,351,352.9,365,375.6,360.6,376.9,372.7,374,383.7,389.7,395.6,402.8,420.3,431.9,440.4,458.2,466.4,507.2,503.1,515.1,535.9,545.6,565.4,556.2,578.5,586.1,606.1,585.5,615.5,624.1,623.3,636.6,636.7,656.6,674.4,680.8,703.6,725.6,763.6,758.9,750.7,775.4
"20","12","    Consumption expenditures","A997RC1",299.1,298.6,298.8,291.4,299.7,305.3,301.7,306,300.9,308.4,302.7,306,291.3,302.3,303.4,304.2,306.6,304.7,314.3,326.3,311.6,328.2,322.9,324.7,335.4,338.5,343.4,350.8,368.2,375.2,380.3,398.9,407,444.9,439.1,449.7,470.2,477.7,492.5,484.4,507.5,511.7,529.4,510.7,538.3,541.2,543.7,552.3,554.3,568.8,585.1,591.4,609.7,622.4,655.2,648.8,642.9,662.4
"21","13","    Gross investment","A788RC1",52.7,53.4,50.5,50.7,55.7,53.5,51,46.4,43,43.5,47.4,47.3,42.6,45,48.9,46.5,44.4,48.3,50.7,49.4,49,48.7,49.8,49.4,48.3,51.2,52.2,52,52,56.8,60.1,59.3,59.4,62.3,64,65.4,65.8,67.9,72.9,71.8,71,74.3,76.7,74.8,77.2,82.8,79.6,84.3,82.5,87.8,89.3,89.4,93.9,103.2,108.4,110.1,107.8,113
"22","14","      Structures","A808RC1",6.9,6.6,6.8,6.6,6.5,6.5,6.2,6,5.9,6,6.5,6.1,5.8,6.1,6.2,5.3,5.7,5.6,5.3,5,5.1,5.2,5.8,5.4,5,5.6,5.2,5.5,5.4,5.7,6.1,6.2,7,7.2,7.6,7.5,7.3,7,7.4,6.9,7.5,7.2,7.8,7.3,7.5,8,7.8,8.9,9.5,10.9,10.5,10.9,11.5,12.1,13,14.8,15.8,16.4
"23","15","      Equipment and software","A873RC1",45.8,46.8,43.7,44.1,49.2,47,44.8,40.4,37.1,37.5,41,41.3,36.9,38.9,42.7,41.2,38.7,42.7,45.3,44.4,43.9,43.5,43.9,43.9,43.2,45.6,47,46.5,46.7,51.1,53.9,53.1,52.4,55.1,56.3,57.9,58.4,60.9,65.5,64.9,63.5,67.1,68.9,67.5,69.7,74.8,71.8,75.4,73,76.9,78.8,78.5,82.4,91.1,95.3,95.3,91.9,96.6
"24","16","  Nondefense","A825RC1",171.4,169.7,170.7,168.1,172.5,172.1,171,173.1,179.7,181.6,182.2,181,185.5,187.5,179.5,187.2,190.2,191.4,193.9,199.7,201.9,206.3,206.6,205.3,210.6,219,220.7,224.6,237.5,242.5,245,246.9,258.8,254.9,262.2,258.3,269.2,274.2,273.7,278.3,283.5,281.1,288,296.4,313,306.2,308.9,299.3,306.1,311.6,317,323.6,334.8,343.9,344.7,355.3,356,362
"25","17","    Consumption expenditures","A542RC1",144,143.3,143.8,141.5,143.8,142.8,141.7,145.3,151.2,152.9,153.4,154.6,155,156.2,148.9,156.9,158.7,158.1,161,163.6,170.4,175.2,175.6,175.4,180.4,188.4,190.3,193.5,204.5,209.6,211.6,213.7,226.1,220.9,228.3,225.1,236.2,240,239.9,244.5,249.4,247.1,251.1,256.4,272.1,267.2,269.4,259.8,266.8,271.2,275.6,282.1,293.5,300.8,300.7,306.6,311.3,317.4
"26","18","    Gross investment","A798RC1",27.4,26.3,26.9,26.6,28.7,29.3,29.3,27.8,28.6,28.7,28.7,26.4,30.5,31.2,30.6,30.3,31.5,33.3,32.9,36.1,31.4,31,31.1,29.9,30.3,30.6,30.4,31.1,33,32.9,33.4,33.1,32.7,34,33.9,33.2,33,34.3,33.8,33.7,34.1,34.1,36.8,40,40.9,39,39.4,39.5,39.3,40.4,41.4,41.5,41.2,43.1,44,48.8,44.7,44.6
"27","19","      Structures","A830RC1",11.3,10.7,11,10.2,11.3,12.1,11.6,10.1,10.4,10.1,10.6,8.5,10.8,10.6,11.1,10.6,11,10.6,10.5,10.9,9.2,8.6,8.1,7.3,7.6,7.7,8.3,8.9,9.7,9.8,10,10.3,10.2,10.6,10.6,9.9,9.5,9.8,9.3,7.7,7.8,7.3,8.3,9.6,8.6,9.2,9.3,10.8,10.4,10.9,11.7,11.3,10.4,11.1,12.3,13.2,13.2,12.6
"28","20","      Equipment and software","B880RC1",16,15.6,15.9,16.5,17.4,17.3,17.8,17.7,18.2,18.6,18.1,17.9,19.7,20.7,19.5,19.7,20.6,22.7,22.4,25.2,22.2,22.5,23,22.6,22.6,22.9,22.1,22.2,23.3,23.1,23.4,22.8,22.5,23.4,23.3,23.3,23.4,24.5,24.5,26.1,26.2,26.8,28.5,30.4,32.3,29.7,30.2,28.7,28.8,29.5,29.7,30.2,30.9,32,31.7,35.6,31.5,32
"29","21","State and local","A829RC1",841.5,854.6,858.7,866.2,872.8,886.2,898.9,918,933.7,939,945.6,955.6,963.1,983.9,1008.6,1024.6,1044.6,1064.5,1085.7,1110.6,1133.2,1143.7,1160.6,1182,1206.7,1238.2,1234.2,1259.8,1278.9,1294.1,1310.6,1327.3,1348.4,1347.8,1362.3,1365.7,1379.4,1399.2,1415.3,1438.8,1454.6,1477.3,1506,1536.4,1546.1,1580.2,1601.2,1619.4,1656.5,1689.3,1709.5,1743.9,1770.1,1807.6,1833.1,1791.7,1772.3,1785.6
"30","22","  Consumption expenditures","A991RC1",690.6,699.2,704.7,710.6,717.9,726.6,733.3,742.9,751.6,758.2,767.8,780.6,789.6,801.6,815,828.2,844,862.3,880.2,895.9,910.2,922.6,936.2,953.5,972.8,989.2,1002.6,1012.3,1026.1,1043,1057.3,1071.2,1091.5,1092.5,1098.4,1103.6,1116.8,1129.1,1144,1166.3,1182,1198.4,1222.9,1244.8,1254.5,1274.6,1292.7,1307.6,1331.2,1357.3,1373.6,1402.5,1429.3,1458.3,1480.4,1441.7,1424.4,1429.3
"31","23","  Gross investment","A799RC1",150.9,155.3,154,155.6,154.9,159.5,165.6,175.1,182.2,180.8,177.7,175,173.5,182.4,193.5,196.3,200.6,202.1,205.5,214.7,223,221.1,224.4,228.5,233.9,249,231.6,247.5,252.8,251.1,253.3,256.1,256.9,255.3,263.9,262.2,262.6,270,271.3,272.5,272.6,278.9,283.1,291.6,291.6,305.6,308.5,311.8,325.4,332,335.9,341.4,340.8,349.2,352.7,350,347.9,356.3
"32","24","    Structures","A842RC1",115,118.6,117.1,118.4,117.9,122.7,128.7,138,144,141.9,137.8,134.4,131.9,139.9,150.3,152.2,155.7,156.2,159,167.9,175.7,172.9,175.8,179.5,184.9,200.5,183.7,200.2,204.9,203.5,205.8,209.2,209.6,208.1,215.8,213.6,214.4,221.6,222.3,222.7,222.9,228.5,231.9,239.8,238.4,251.3,253.6,256.3,269.4,275.7,279.4,284.5,283.5,291.5,295.4,293.2,292.5,301.5
"33","25","    Equipment and software","B881RC1",36,36.7,36.9,37.3,36.9,36.8,36.9,37.2,38.2,39,39.9,40.6,41.6,42.5,43.2,44.1,44.9,46,46.5,46.8,47.3,48.2,48.6,49,49,48.6,47.9,47.3,47.9,47.6,47.6,46.9,47.3,47.2,48.1,48.6,48.2,48.5,49,49.8,49.7,50.5,51.2,51.8,53.2,54.3,54.9,55.5,56,56.3,56.5,56.9,57.3,57.7,57.3,56.8,55.4,54.8
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
