"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Goods","DGDSRA3",60.938,61.349,62.092,62.679,63.181,64.413,64.871,65.657,66.543,66.492,68.231,69.163,69.701,71.533,72.624,74.842,75.77,77.563,78.497,79.863,81.082,81.526,82.397,83.132,83.349,83.589,84.218,87.287,87.114,87.529,88.654,88.903,89.54,91.09,93.575,94.035,94.975,95.375,96.502,97.711,98.657,100.038,100.797,100.508,102.335,102.501,103.334,104.835,105.854,105.904,106.724,107.513,106.121,105.983,103.895,101.186,101.817,100.78
"12","4","    Durable goods","DDURRA3",45.091,45.55,46.836,47.649,48.167,49.699,50.051,51.028,52.411,52.242,54.571,55.964,56.433,59.31,61.022,64.644,64.804,67.921,69.575,70.44,74.402,73.063,74.327,74.873,76.143,76.105,77.026,83.497,82.541,83.409,85.851,84.719,84.8,88.116,91.652,92.244,93.265,93.919,95.768,97.34,97.992,100.733,101.917,99.359,103.327,103.064,104.216,105.647,107.074,107.634,109.001,110.464,107.931,106.354,103.083,97.401,98.345,96.56
"13","5","      Motor vehicles and parts","DMOTRA3",61.408,61.359,62.878,63.948,64.608,65.615,65.463,66.01,68.959,66.607,70.966,72.864,70.749,76.205,77.244,84.412,80.466,86.197,86.455,83.899,91.028,84.49,85.988,86.236,88.641,87.147,88.188,101.537,94.304,94.828,100.796,94.829,94.911,98.951,101.913,99.963,99.896,99.472,100.649,101.616,99.801,103.425,104.373,92.401,95.998,95.997,97.729,97.569,98.223,98.636,97.771,98.269,93.842,88.233,82.459,74.747,75.971,73.595
"14","6","      Furnishings and durable household equipment","DFDHRA3",49.566,50.007,50.74,51.336,50.921,52.752,52.78,53.933,54.114,54.324,55.534,56.27,57.757,58.664,60.018,61.965,63.77,65.28,67.436,69.558,71.306,72.678,73.642,74.075,75.182,75.857,76.587,78.906,81.403,82.101,81.982,83.388,83,86.044,89.513,91.021,92.23,93.488,95.607,96.57,97.389,98.905,100.563,103.144,105.833,104.655,105.178,105.64,107.649,106.565,107.451,108.237,106.436,107.088,103.967,100.103,98.3,96.302
"15","7","      Recreational goods and vehicles","DREQRA3",23.489,24.206,25.663,26.332,26.987,28.479,29.305,30.347,31.309,32.617,33.966,35.131,36.857,38.684,41.177,43.079,45.055,47.247,49.621,51.967,55.275,56.069,57.52,58.802,59.786,61.476,62.906,66.117,68.516,69.613,70.549,72.014,72.878,76.031,80.594,82.953,85.268,87.12,90.126,92.759,96.119,98.82,100.655,104.406,110.281,110.961,113.057,118.28,120.946,122.984,127.949,132.402,131.804,135.239,134.371,129.982,132.895,131.537
"16","8","      Other durable goods","DODGRA3",53.957,54.471,54.676,55.311,56.402,58.191,58.581,59.753,60.018,60.007,61.468,63.093,64.463,66.701,67.993,69.456,72.366,73.339,75.541,79.422,79.827,82.38,82.85,82.326,81.205,79.255,78.718,81.172,83.404,84.995,85.605,87.528,86.455,88.399,91.166,93.28,94.032,93.816,94.325,96.379,97.892,100.38,99.774,101.954,105.385,104.059,102.602,102.801,102.868,104.038,105.847,105.612,103.667,100.455,99.769,94.384,96.05,95.633
"17","9","    Nondurable goods","DNDGRA3",72.553,72.909,73.168,73.546,74.022,74.973,75.506,76.118,76.581,76.623,77.856,78.404,78.983,79.959,80.548,81.65,83.158,83.939,84.338,86.066,85.323,87.027,87.619,88.475,87.959,88.379,88.807,89.576,89.94,90.055,90.311,91.455,92.435,92.864,94.686,95.066,95.962,96.217,96.921,97.925,99.045,99.65,100.174,101.132,101.793,102.191,102.851,104.383,105.177,104.961,105.507,105.973,105.165,105.738,104.219,102.929,103.405,102.74
"18","10","      Food and beverages purchased for off-premises consumption","DFXARA3",82.69,82.286,82.296,82.654,83.029,83.42,83.263,83.528,84.117,83.677,84.174,84.175,84.097,84.778,85.352,85.945,86.957,87.824,88.58,89.945,89.047,90.364,90.482,91.365,91.038,91.639,91.319,91.475,91.095,91.243,91.601,92.384,93.626,92.806,94.207,93.733,95.414,95.585,96.106,97.385,98.738,99.04,100.74,101.482,101.752,102.879,103.247,104.892,105.38,104.685,105.138,106.248,106.468,106.602,105.199,103.214,103.371,104.522
"19","11","      Clothing and footwear","DCLORA3",62.633,63.296,64.432,64.494,64.936,66.539,67.657,68.084,68.114,67.506,69.75,70.633,72.142,73.354,72.821,74.512,77.205,77.871,78.389,78.591,79.872,81.602,82.493,83.191,81.856,82.39,82.293,83.712,84.66,84.699,84.184,86.818,86.904,89.305,91.529,91.544,93.935,92.814,94.079,96.013,97.429,99.719,99.845,103.007,104.42,103.683,105.126,106.971,108.986,108.812,110.063,110.658,110.208,112.058,108.808,106.292,105.841,103.983
"20","12","      Gasoline and other energy goods","DGOERA3",86.63,87.331,86.355,86.542,87.713,88.275,88.302,88.054,88.633,89.867,90.263,90.691,91.462,92.923,93.8,94.185,94.819,96.936,95.767,96.249,92.8,94.578,94.985,94.412,94.827,93.625,95.375,95.667,95.333,96.466,97.014,96.962,97.139,98.211,100.04,101.107,100.667,100.891,100.253,100.425,101.649,100.519,99.302,98.53,97.245,97.509,98.414,98.373,98.899,98.829,98.902,97.942,95.981,95.103,91.883,94.226,96.186,95.874
"21","13","      Other nondurable goods","DONGRA3",63.983,64.758,65.023,65.657,66.051,67.218,68.184,69.474,70.043,70.607,72.141,73.036,73.63,74.611,75.796,77.182,78.647,79.088,79.474,82.69,81.763,83.772,84.693,86.055,85.5,86.199,87.185,88.326,89.272,89.133,89.588,90.669,92.081,92.529,94.543,95.693,95.56,96.559,97.656,98.271,98.981,99.785,100.116,101.118,102.759,103.03,103.496,105.568,106.263,106.428,106.979,107.483,106.117,107.441,107.662,105.524,106.094,103.95
"22","14","  Services","DSERRA3",72.394,73.048,73.569,73.985,74.709,75.206,75.608,76.053,76.671,77.191,78.109,78.904,79.782,80.755,81.736,82.305,83.001,83.939,84.947,85.988,87.289,88.303,89.122,89.904,90.327,90.71,90.954,91.359,91.951,92.436,92.761,93.125,93.503,93.971,94.614,95.168,96.052,96.633,97.294,98.359,98.978,99.7,100.384,100.937,101.67,102.421,102.945,103.731,104.641,105.068,105.403,105.477,105.953,106.047,105.697,105.837,105.761,105.783
"23","15","    Household consumption expenditures (for services)","DHCERA3",72.707,73.363,73.893,74.274,74.939,75.422,75.819,76.351,77.141,77.7,78.656,79.447,80.275,81.201,82.119,82.611,83.313,84.266,85.291,86.337,87.589,88.632,89.36,90.073,90.495,90.82,91.013,91.356,91.903,92.318,92.503,92.782,93.185,93.619,94.298,94.888,95.792,96.431,97.137,98.222,98.95,99.696,100.422,100.931,101.577,102.19,102.538,103.345,104.335,104.848,105.04,104.949,105.357,105.427,104.957,104.983,105.174,105.276
"24","16","      Housing and utilities","DHUTRA3",76.912,77.839,78.614,78.699,79.499,79.654,79.488,80.2,80.468,81.178,81.675,82.776,82.908,83.935,84.614,84.587,85.557,86.439,87.348,87.317,87.699,88.845,89.625,91.081,91.575,91.503,91.895,91.836,91.843,92.241,92.406,92.973,93.219,93.404,93.408,94.031,94.54,95.05,95.569,97.132,98.342,99.677,100.721,101.26,101.017,102.211,102.825,102.509,102.938,102.989,103.268,103.178,103.853,104.072,103.71,104.64,104.676,104.46
"25","17","      Health care","DHLCRA3",71.452,71.782,72.214,72.555,72.587,73.301,73.574,74.496,74.897,75.301,76.082,76.805,77.763,78.133,78.491,78.543,78.712,79.024,79.665,80.419,80.888,81.957,82.514,83.384,84.587,85.546,86.807,88.194,89.932,91.213,91.918,92.398,92.828,93.077,93.638,94.154,94.792,95.816,97.085,97.927,99.126,99.63,100.408,100.836,101.624,101.77,101.506,102.412,103.735,104.238,104.682,105.441,107.071,107.77,107.614,108.088,108.993,109.583
"26","18","      Transportation services","DTRSRA3",72.993,73.81,75.379,77,78.916,80.154,81.499,83.133,85.499,86.54,87.858,88.222,89.022,90.122,91.146,92.318,93.606,94.738,96.612,97.681,98.952,100,100.608,100.892,100.921,100.425,98.544,96.874,97.143,96.309,96.206,96.27,96.479,96.015,97.138,97.545,98.233,99.046,99.218,99.764,99.755,100.074,100.457,99.714,99.044,99.585,99.522,100.57,101.095,101.24,100.927,100.152,98.182,96.42,95.19,93.268,91.592,91.59
"27","19","      Recreation services","DRCARA3",72.76,74.659,75.794,76.986,77.194,78.008,79.203,79.364,80.135,80.703,81.029,81.863,82.87,82.944,83.977,84.725,85.476,86.85,88.742,89.768,89.72,90.513,90.665,90.469,91.197,90.267,89.781,89.716,90.323,90.466,90.708,91.726,91.513,92.77,94.144,95.487,97.09,98.093,98.595,98.783,99.764,99.813,99.917,100.506,101.721,102.221,103.467,105.647,106.4,106.802,107.582,107.592,107.436,107.839,106.983,105.922,106.402,106.172
"28","20","      Food services and accommodations","DFSARA3",79.083,79.215,79.324,79.171,79.185,79.582,79.697,80.418,81.213,81.188,82.051,81.483,82.392,83.41,83.726,84.897,84.612,85.124,85.468,87.476,88.902,89.685,90.002,89.712,90.381,89.504,89.021,88.894,90.197,90.899,91.071,91.222,91.875,93.263,95.028,95.661,96.338,96.355,96.893,97.805,98.326,99.84,100.36,101.474,103.684,102.548,102.542,103.632,103.808,104.027,104.322,104.856,104.225,104.88,104.179,102.017,101.598,101.074
"29","21","      Financial services and insurance","DIFSRA3",67.645,68.43,69.09,69.552,70.708,71.375,71.083,71.844,72.571,72.728,74.559,74.957,75.823,77.605,79.22,80.918,81.792,83.908,85.661,88.581,92.952,93.204,93.528,93.8,92.494,92.456,92.132,93.792,92.942,92.32,92.527,91.739,90.914,91.66,92.735,93.917,95.863,96.364,96.915,99.158,98.678,99.738,100.642,100.942,101.882,102.623,103.229,105.073,107.043,108.986,109.329,108.128,107.511,107.178,106.436,105.336,105.444,106.155
"30","22","      Other services","DOTSRA3",66.849,67.187,66.888,67.38,68.537,68.739,70.599,69.476,71.413,72.519,74.052,75.799,77.66,78.727,80.739,81.022,82.342,83.481,84.486,85.787,87.637,89.465,91.338,91.925,92.285,94.387,94.371,93.886,94.326,94.619,94.048,94.197,96.133,96.451,97.161,96.996,98.154,98.729,99.396,99.552,99.922,99.526,99.881,100.671,101.819,103.157,103.767,104.922,106.427,106.991,106.305,105.582,106.136,105.354,104.984,106.087,106.472,106.467
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",65.528,66.143,66.439,67.766,70.047,70.897,71.44,69.626,65.803,65.332,65.273,66.223,68.377,70.549,73.097,75.585,76.119,76.68,77.273,78.216,80.715,81.074,84.048,86.461,86.921,88.665,90.106,91.95,93.592,95.758,99.397,101.86,101.654,103,102.778,102.413,102.788,101.869,101.356,101.905,99.699,99.807,99.391,101.103,104.068,108.42,113.574,113.778,112.58,110.718,114.867,119.365,121.711,122.472,125.383,128.65,121.155,118.952
"32","24","      Gross output of nonprofit institutions \2\","DNPERA3",72.33,72.577,72.824,73.334,73.657,74.49,74.95,75.733,75.211,75.418,76.09,76.859,78.312,79.113,80.195,81.018,81.558,81.998,82.64,83.527,84.258,85.082,86.048,87.152,88.141,89.083,90.301,91.622,93.215,94.666,95.856,96.359,96.254,96.422,96.547,96.775,97.355,97.91,98.797,99.522,99.655,99.72,99.98,100.645,101.926,102.788,103.328,104.023,105.128,105.165,105.633,106.908,108.564,109.191,109.438,110.338,109.511,109.24
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",74.994,75.119,75.351,75.585,75.25,76.079,76.513,78.176,78.772,79.213,80.142,80.858,82.077,82.397,82.957,83.182,83.722,84.118,84.778,85.647,85.734,86.734,86.959,87.58,88.77,89.41,90.545,91.671,93.245,94.434,94.735,94.545,94.486,94.257,94.507,94.938,95.589,96.625,97.97,98.754,99.64,99.692,100.172,100.497,101.231,100.974,100.05,100.902,102.731,103.365,102.686,102.966,104.409,104.994,104.429,104.612,105.775,106.074
"34","26","Gross private domestic investment","B006RA3",59.022,57.435,56.882,58.483,59.254,62.323,65.466,65.288,66.812,71.078,72.342,73.497,77.005,76.084,78.264,80.781,83.324,83.033,85.118,88.138,86.908,92.924,91.471,91.512,86.671,86.393,84.571,79.696,82.373,83.36,83.533,83.473,83.469,83.955,87.002,90.22,90.691,94.63,95.857,97.833,99.911,98.124,99.205,102.761,104.258,104.098,102.643,99.712,98.176,99.539,99.736,97.753,95.887,93.292,91.643,85.519,71.746,67.76
"35","27","  Fixed investment","B007RA3",57.707,57.488,58.247,59.461,60.964,62.947,64.403,65.479,66.758,68.196,70.823,71.431,73.582,76.146,77.595,79.967,81.449,83.356,85.295,85.777,88.286,90.505,90.824,91.097,90.552,89.137,88.203,85.988,85.225,84.887,84.739,84.054,84.066,86.215,88.992,90.584,90.404,93.189,95.166,96.779,97.968,99.704,100.975,101.352,103.67,103.186,101.88,100.499,99.838,100.726,100.626,99.564,97.969,97.291,95.199,89.964,79.514,76.687
"36","28","    Nonresidential","B008RA3",58.007,58.41,58.801,59.984,61.473,63.24,65.345,67.112,68.825,70.533,74.129,74.725,77.309,80.139,81.347,84.031,85.98,88.39,90.931,91.216,94.608,98.098,99.182,99.566,98.619,96.029,94.445,91.453,89.315,87.869,87.417,85.771,85.385,87.682,89.679,90.845,90.124,92.555,95.095,97.197,98.086,99.516,100.919,101.479,105.759,107.643,108.811,109.44,110.561,113.579,116.219,118.109,118.674,119.083,117.21,111.04,98.061,95.791
"37","29","      Structures","B009RA3",95.652,97.565,98.275,97.447,99.185,101.358,102.607,107.828,108.777,107.813,111.88,112.649,111.433,117.435,117.481,117.294,116.811,115.395,115.306,116.684,118.937,123.869,128.533,129.064,125.506,125.954,126.665,114.639,108.414,102.546,97.994,96.553,95.591,98.449,98.237,97.78,97.21,98.337,99.325,99.414,101.195,100.812,98.696,99.297,103.696,109.068,111.771,112.185,116.327,122.437,129.869,133.348,135.559,140.215,140.191,137.603,119.243,116.495
"38","30","      Equipment and software","B010RA3",48.895,49.018,49.337,50.827,52.211,53.834,56.015,57.069,58.861,61.025,64.415,64.96,68.262,70.354,71.781,75.033,77.474,80.698,83.799,83.833,87.455,90.561,90.774,91.116,90.82,87.473,85.295,84.704,83.663,83.42,84.101,82.405,82.19,84.323,86.955,88.594,87.831,90.653,93.669,96.41,96.994,99.041,101.697,102.268,106.542,107.101,107.681,108.414,108.285,110.007,110.615,111.829,111.685,110.258,107.577,99.808,89.143,87.076
"39","31","        Information processing equipment and software","A679RA3",29.556,31.024,31.696,33.54,35.319,36.859,38.617,39.943,42.464,44.884,48.315,50.184,53.532,55.816,57.65,61.14,64.502,69.308,72.501,73.128,78.029,82.037,83.531,86.2,86.081,82.501,80.311,79.47,79.063,79.741,81.187,79.277,81.217,82.288,86.791,90.554,90.77,92.288,93.984,95.869,97.202,99.142,101.313,102.344,106.404,107.078,109.489,110.269,113.657,115.081,117.454,121.506,124.495,126.519,125.088,119.436,113.092,111.788
"40","32","          Computers and peripheral equipment","B935RA3",10.785,12.508,13.501,15.536,16.811,18.084,19.704,20.959,23.32,26.037,29.395,30.817,35.258,38.506,40.573,44.945,51.002,57.048,59.515,58.743,61.997,68.828,71.206,72.391,75.265,70.601,65.676,69.726,73.416,71.932,75.416,74.104,76.449,76.869,81.277,86.645,84.779,87.1,90.678,95.408,93.424,96.614,101.152,108.81,115.862,120.198,128.085,128.366,137.537,138.655,145.717,157.662,164.896,166.978,154.508,141.747,136.221,137.862
"41","33","          Software \4\","B985RA3",29.187,30.063,31.149,32.38,33.686,35.096,36.59,38.68,42.745,45.026,47.889,50.867,52.778,54.645,57.326,60.631,63.578,68.179,71.96,74.255,76.83,78.943,79.108,81.519,82.142,80.278,79.331,76.924,77.626,79.681,81.482,79.453,81.3,82.163,86.857,90.18,91.307,91.92,94.747,97.468,97.881,100.279,100.866,100.973,102.024,103.129,104.821,106.764,107.778,109.574,111.281,114.49,118.018,119.412,118.466,115.688,108.007,104.447
"42","34","          Other","A937RA3",52.348,52.805,51.935,53.028,55.489,57.06,58.715,58.93,59.379,60.935,64.351,65.325,68.377,69.774,70.335,72.954,74.177,77.919,80.919,80.755,89.33,93.186,95.526,99.563,96.576,91.755,89.85,87.867,83.619,83.866,83.689,81.597,83.428,85.095,89.406,92.865,93.036,95.239,94.594,94.049,98.048,98.838,101.89,101.223,107.752,106.424,107.586,107.075,111.225,112.269,113.837,116.285,117.256,120.071,121.503,114.554,109.792,110.475
"43","35","        Industrial equipment","A680RA3",89.948,91.343,91.994,91.199,93.354,95.117,94.221,95.316,94.856,96.666,97.205,97.439,102.362,101.471,99.39,99.753,99.571,101.005,102.337,102.549,107.439,110.272,112.247,110.522,110.77,102.907,98.576,95.747,96.573,94.1,95.239,94.683,94.207,97.812,95.237,92.688,88.876,90.974,93.799,95.638,97.862,96.733,100.683,104.722,103.425,110.363,109.443,109.986,107.972,117.067,116.426,111.899,112.336,111.86,108.778,104.733,88.186,84.539
"44","36","        Transportation equipment","A681RA3",78.377,70.666,69.276,71.214,70.307,72.501,79.223,79.132,79.341,81.19,85.418,80.31,81.84,85.51,90.115,99.188,100.111,103.315,109.686,105.781,104.97,106.252,102.041,96.601,93.792,94.396,90.516,94.536,89.734,85.38,84.025,80.305,72.357,78.403,79.253,79.103,78.41,86.274,93.027,99.652,95.931,99.119,104.398,100.552,111.504,106.815,106.606,107.612,103.584,98.018,94.525,94.373,89.112,77.618,66.981,50.037,32.912,35.408
"45","37","        Other equipment","A862RA3",62.116,61.668,61.388,62.015,62.564,63.367,65.047,65.627,67.196,68.295,72.535,73.382,76.44,78.605,78.194,76.939,79.602,78.427,79.317,81.008,83.308,85.247,83.874,83.817,85.037,82.688,84.171,81.782,80.753,83.608,83.454,83.368,84.491,84.683,88.172,89.216,88.38,90.365,93.442,95.36,96.808,100.762,100.865,101.565,104.66,104.477,102.508,102.991,99.637,102.651,104.148,105.051,101.849,101.098,103.582,96.467,87.888,81.094
"46","38","    Residential","B011RA3",59.06,57.161,58.929,60.265,61.85,64.462,64.284,63.62,63.835,64.643,64.939,65.606,66.775,68.782,70.847,72.544,72.975,73.76,74.373,75.283,75.872,75.355,74.032,74.096,74.435,75.482,75.89,75.245,77.254,79.149,79.61,80.826,81.607,83.465,87.722,90.101,90.904,94.324,95.284,96.032,97.773,100.049,101.073,101.105,100.031,95.502,89.988,85.194,81.521,78.764,73.932,67.745,62.355,59.738,57.208,53.549,47.478,43.541
"47","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Exports","B020RA3",62.541,63.403,66.16,67.115,67.96,69.1,69.659,74.025,75.435,78.423,80.245,80.099,80.476,79.549,79.18,82.166,81.534,82.472,84.635,86.756,88.251,90.757,92.971,92.239,91.029,88.058,83.525,81.17,82.468,84.706,85.296,84.427,83.647,83.384,85.636,89.629,91.743,93.175,93.869,96.006,97.788,99.88,99.908,102.424,106.415,108.2,108.353,112.882,113.856,115.302,120.293,124.436,124.395,127.997,126.828,120.149,109.922,107.954
"52","44","    Goods","B253RA3",61.315,62.343,64.735,65.63,67.008,67.721,68.978,72.718,75.234,78.736,81.04,81.158,81.379,79.457,79.601,82.784,81.164,82.077,84.748,87.531,89.481,92.282,96.201,94.766,93.505,89.278,84.401,82.474,82.415,85.3,85.692,83.666,84.02,83.984,85.593,89.498,90.938,92.454,93.619,95.09,97.036,100.224,99.956,102.784,107.085,109.021,109.069,112.488,113.311,115.048,119.075,122.613,123.873,128.016,127.446,118.407,105.52,102.97
"53","45","    Services","B646RA3",65.855,66.257,70.015,71.136,70.545,72.82,71.53,77.509,76.082,77.753,78.356,77.551,78.335,79.871,78.249,80.757,82.5,83.493,84.445,84.989,85.405,87.216,85.437,86.35,85.265,85.229,81.497,78.146,82.584,83.326,84.373,86.177,82.783,82,85.725,89.921,93.587,94.828,94.433,98.1,99.508,99.094,99.795,101.603,104.897,106.339,106.729,113.773,115.087,115.871,123.05,128.568,125.587,127.965,125.429,124.054,119.619,118.912
"54","46","  Imports","B021RA3",46.023,46.46,46.62,47.216,48.751,49.842,51.458,52.473,54.714,56.551,58.635,59.9,62.147,63.571,64.428,66.512,68.206,70.38,72.933,74.682,77.711,80.08,82.877,82.815,81.607,79.177,77.26,76.339,78.252,80.894,82.229,83.707,82.696,83.881,84.856,87.996,90.235,93.849,95.213,97.626,98.187,99.266,99.874,102.673,104.613,105.774,107.04,106.917,108.041,107.907,108.904,107.901,107.225,105.853,105.259,100.547,89.804,86.21
"55","47","    Goods","B255RA3",44.223,44.833,44.929,45.435,47.052,48.235,49.87,51.082,53.281,55.307,57.321,58.611,60.778,62.203,62.913,65.227,67.005,69.357,72.072,73.999,76.863,79.286,82.087,82.109,80.873,77.635,76.148,75.466,76.952,80.222,81.704,82.758,81.848,83.985,84.326,87.293,89.369,93.263,94.778,97.23,98.071,99.234,99.901,102.794,104.376,105.665,107.1,106.476,107.792,107.527,108.277,107.239,106.29,105.035,104.045,98.517,86.326,82.658
"56","48","    Services","B656RA3",56.524,55.801,56.371,57.529,58.486,58.955,60.417,60.197,62.666,63.336,65.819,66.928,69.63,71.037,72.724,73.493,74.695,75.855,77.492,78.236,82.182,84.23,86.983,86.424,85.375,87.568,83.234,80.989,85.198,84.434,84.976,88.739,87.206,83.371,87.636,91.684,94.787,96.949,97.531,99.741,98.816,99.441,99.73,102.012,105.888,106.358,106.715,109.276,109.381,109.95,112.25,111.435,112.249,110.211,111.849,111.605,108.238,104.974
