"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Structures","B009RC1",201.4,206.7,210.5,210.5,214.4,219.9,225.5,238.6,243,243.1,255.1,259.9,260.7,277.7,280.1,282,282.8,281.2,283,288.8,297.8,313,328.2,333.5,329,335.3,342.6,312,297.8,284.8,274.6,273.7,274.2,282.6,284.1,286.6,290.8,300.9,312.4,322.4,338.4,346.5,352.3,369.7,396.8,428.6,447.6,461.7,489.5,519.9,556.1,575.9,586.3,610.6,620.4,620.7,533.1,508.6
"12","4","    Commercial and health care","W001RC1",81.8,83.4,83.7,83.3,84,89.8,93.6,98.6,103.6,100.1,106.8,106.6,109.3,116.2,116.2,122.2,122.6,124.9,126.5,127.7,130.5,137.6,143.3,145.9,146,141.7,133.9,127.6,125.6,120.6,116.7,114.8,112.2,113.3,116.3,118.5,118.9,126.1,128.9,127.4,132.2,134.5,136.2,140.8,146.7,153.9,161,163.9,173.9,180.1,185,188.4,188.2,189.7,186.5,176.3,159.2,152.5
"13","5","    Manufacturing","C307RC1",33.5,36.4,36.4,35.7,37.8,37.2,36.8,40.8,37.3,36.2,39,38.1,40.6,40.8,40.2,40.3,38,35,34.4,33.1,34.9,38.4,38.2,38.9,41.8,39.8,38.6,31,26.1,23.5,20.8,20.5,20,21.7,21.8,22.1,22,21.8,23.3,27.6,29.3,28.9,30.1,31.3,32.3,35.2,37.2,35.7,38,41,48.9,53.4,53.8,57.1,61.5,70.7,80.3,87.8
"14","6","    Power and communication","W003RC1",33.4,33.8,33.4,31.8,30.4,29.1,28.2,29.2,27.5,28.2,29.3,30.1,30.2,34.8,37.3,34.4,39.6,36.6,41.4,44.2,44.8,44.9,50.7,52.2,43.6,52.2,52.2,56.3,57.6,51.6,46.9,47.9,51.9,49.7,46,44.7,44.7,39.5,41.9,45.3,45.3,44.7,44.4,46.3,51.6,51,54,56.7,63.4,70.7,78.2,86.9,91.9,96.5,95.9,93.2,90.9,97.4
"15","7","    Mining exploration, shafts, and wells","E318RC1",15.5,14.2,14.9,15.6,15.4,16.4,17.4,17.9,21.1,22.4,22.4,23.6,22.8,23.6,22.7,20,17.9,18.7,17.3,19.3,20.3,22.7,24.9,27.2,31.7,35.4,38.5,32.8,27.6,28.3,32.3,32.8,33.5,37.9,40.5,41.9,45.7,50.4,53.9,57.7,67.9,76.3,78.3,85.7,97.4,114,119.2,126.3,134,139.2,149.3,147.5,150.8,162,171.6,179.2,110.7,76.7
"16","8","    Other structures \1\","W004RC1",37.2,38.9,42.2,44,46.8,47.4,49.5,52,53.5,56.1,57.5,61.5,57.8,62.3,63.7,65,64.8,66,63.3,64.5,67.4,69.4,71.2,69.4,65.8,66.2,79.3,64.3,61,60.8,57.9,57.7,56.6,60,59.4,59.4,59.6,63.1,64.4,64.5,63.8,62.1,63.3,65.7,68.7,74.5,76.1,79.1,80.2,88.9,94.8,99.7,101.7,105.3,104.9,101.3,92,94.1
"17","9","  Equipment and software","B010RC1",596.3,598.7,600.6,615.4,627,640.6,663.5,672,687.1,706.9,740.5,738.9,764.3,778.1,786.5,815.1,837.9,866.2,891.5,888.2,925.7,957.1,960.2,959.2,944.7,905.4,877.1,865.3,851.7,843.5,846,829.5,823.4,841.2,866.8,883.9,873.8,903.5,931.5,956.7,966.8,988.4,1010.6,1016.5,1060.5,1066.7,1075.1,1084.4,1084.6,1103.5,1109.1,1122,1118.7,1109.2,1090.6,1018,909.5,887.4
"18","10","    Information processing equipment and software","A679RC1",252.3,262.5,263.7,273.5,281.5,285.9,294.2,299,311.5,323.2,340.6,345.9,357.1,362.5,365.7,379.1,393.6,416.2,429.5,429,455.7,476.6,484.6,496,484.3,459.1,438.4,428.3,422.1,420.5,424.9,411.6,416.9,419.5,437.3,449.9,447.8,452.4,458.3,462.7,466.8,473,479.7,481.6,498.7,500.5,510.1,511.6,525.1,530.1,538.4,555.8,566.3,576.2,568.8,540.2,508.3,499.6
"19","11","      Computers and peripheral equipment","B935RC1",59.1,65.8,67,72.5,72.5,71.5,73.5,73.7,76.5,80.4,84.9,83.7,87.7,88.6,86.4,88.8,94.5,99.9,99.5,95.1,97.6,104.9,105.8,104.5,99.7,90,79.8,80.8,82.5,79.3,80.5,76.7,76.4,75.1,77.8,81.3,78.5,79.3,80.5,82.5,77.9,77.8,78.5,81.3,84,84.1,86.7,84.8,88.8,86.9,88.2,93.1,93.7,92.9,84.3,75.8,71.1,70.1
"20","12","      Software \2\","B985RC1",71,73.3,75.8,78.4,81,83.7,86.5,90.7,99.5,104.5,110.1,115.8,118.5,122.3,128.1,135.1,142.8,154,163.4,169.1,176.3,183.1,186.2,192.2,193,189.3,184.7,179.4,180.3,182.8,187.1,182,184.4,186.2,195.1,199.4,201.1,201.8,208,211.8,213.5,218.8,219.7,220,223.3,227.5,232.1,236.2,238.3,242.6,246.7,254.8,263.2,268,266.4,258.7,240.5,231.7
"21","13","      Other \3\","A937RC1",122.2,123.3,120.9,122.6,128,130.7,134.2,134.6,135.4,138.3,145.6,146.4,150.8,151.7,151.1,155.2,156.3,162.3,166.7,164.9,181.9,188.6,192.6,199.4,191.7,179.8,173.9,168.2,159.3,158.5,157.3,153,156.2,158.2,164.4,169.2,168.2,171.3,169.8,168.4,175.4,176.3,181.6,180.3,191.4,188.9,191.4,190.5,197.9,200.6,203.6,208,209.5,215.3,218.1,205.6,196.7,197.8
"22","14","    Industrial equipment","A680RC1",125.3,129.1,131,130.5,134.3,137.1,136.3,138.4,137.9,140.5,141.4,141.9,149.3,148.2,145.5,146.3,146.4,148.4,150.5,151.2,158.6,163,166.2,163.8,164.7,153.3,146.8,142.7,143.6,139.9,142,141.4,140.9,146.6,143.1,139.6,134.9,139.4,144.8,149,154.3,154.2,161.2,168.9,168,180.7,181.4,183.7,182.1,198.8,199,192.9,195.3,197.3,194.8,187.9,157.8,151.3
"23","15","    Transportation equipment","A681RC1",124.6,112.9,111.6,115.2,113.5,118.3,130.4,130.5,130.8,134.4,143.1,133.9,135.1,140.7,148.5,164.3,167.7,173.1,181.5,175.2,174.6,177,170.9,160.6,154.1,154.9,151.1,156.8,150,142.6,138.2,135.4,122.2,131,136.1,142.3,141.2,156.6,167.4,179.3,174.8,181.1,188.1,182.8,203.8,195.5,195.3,198.2,192.3,183,176.5,175.1,164.3,143.8,125.9,95.3,65.4,72.5
"24","16","    Other equipment \4\","A862RC1",94.1,94.3,94.3,96.2,97.7,99.3,102.6,104.2,106.9,108.8,115.5,117.2,122.7,126.7,126.8,125.5,130.2,128.5,130,132.7,136.7,140.4,138.5,138.8,141.6,138,140.8,137.5,135.9,140.5,140.8,141.1,143.3,144.1,150.3,152.1,149.9,155.2,161,165.6,170.9,180.1,181.5,183.3,190,190,188.2,191,185.2,191.6,195.2,198.2,192.7,192,201.1,194.7,178,163.9
"25","17","Residential","A011RC1",301.8,293.5,303.8,312.4,321.8,336.9,339.7,337.9,340.7,346.7,351.3,357.5,364.9,378.4,393.6,406.8,413.3,422.3,429.4,438.1,449.2,450.5,446,450.2,458.3,470.4,480.9,480.1,491.9,506.6,511.5,528.1,545.2,557.9,590.1,617.4,637.6,675.6,696.6,712.6,734.8,764.5,792.6,807.9,813.3,784.4,741.7,708.1,680,655.1,615.6,565.2,518.1,494.2,468.6,427.8,374.6,345.6
"26","18","  Structures","A012RC1",295.4,287.2,297.4,306,315.5,330.5,333.4,331.5,334.4,340.4,345,351.2,358.4,371.8,386.8,399.9,406.2,415.1,422,430.6,441.5,442.7,438.2,442.3,450.4,462.5,472.9,471.9,483.6,498.3,503.3,519.8,537,549.5,581.4,608.6,628.6,666.5,687.4,703.3,725.3,754.7,782.9,797.8,803,774.2,731.4,697.8,669.6,644.8,605.3,554.8,507.9,484,458.7,418.3,365.2,336.6
"27","19","    Permanent site","A943RC1",174.6,165.3,169.4,176.3,183,193.6,194.8,193,193.9,197.1,197.8,203.4,208.9,217.4,229.9,239.8,245.2,247.7,252,260.3,268.5,267.6,260.8,263.3,270.5,278.4,285.5,283.1,286.6,297.1,301,310.7,326.2,329.7,349.1,377.7,390.9,413.4,429.2,436.5,454.2,470.5,490.1,508.3,517.5,487.8,450.8,419,393.5,373.5,345,304.6,265.5,243.3,220.7,190.3,149.4,127.1
"28","20","      Single family","A944RC1",157.4,148.2,151,157.4,163.1,172,175.3,172.8,172,174.2,175.5,179.1,184.6,193.7,205,214.3,218.8,220.7,223.6,232.2,240.6,238.9,233.3,234.4,241,248.6,255.1,251.7,254.4,264,267.8,277.4,291.5,295.3,313.7,341.9,354.1,374.5,387.7,394,410.2,424.1,441.4,458.3,465.6,435.2,398.7,364.5,339.8,324,298,259.1,220.5,197.4,176,149.1,111.8,92.8
"29","21","      Multifamily","C292RC1",17.2,17.1,18.4,18.9,19.9,21.7,19.5,20.2,21.9,22.9,22.4,24.3,24.2,23.7,24.8,25.5,26.4,27,28.3,28,27.9,28.7,27.5,28.9,29.5,29.8,30.4,31.4,32.2,33.2,33.1,33.3,34.8,34.4,35.5,35.8,36.8,39,41.5,42.5,44,46.4,48.7,50.1,51.9,52.6,52.1,54.5,53.7,49.6,47,45.5,44.9,45.9,44.7,41.1,37.5,34.3
"30","22","    Other structures \5\","A863RC1",120.8,121.9,128,129.7,132.5,136.9,138.6,138.5,140.5,143.4,147.2,147.8,149.6,154.4,157,160.1,161,167.4,170,170.4,173,175.1,177.4,179,179.8,184.1,187.4,188.8,197,201.2,202.3,209.2,210.8,219.8,232.3,230.9,237.7,253.1,258.2,266.8,271.1,284.2,292.7,289.4,285.4,286.4,280.5,278.8,276.1,271.2,260.3,250.2,242.4,240.7,238,228,215.9,209.5
"31","23","  Equipment","B013RC1",6.4,6.3,6.3,6.3,6.3,6.4,6.3,6.4,6.3,6.3,6.3,6.3,6.4,6.6,6.8,6.9,7,7.2,7.4,7.5,7.7,7.8,7.8,7.9,7.9,7.9,8,8.1,8.3,8.3,8.2,8.2,8.1,8.3,8.7,8.9,9,9.1,9.2,9.4,9.5,9.7,9.8,10.1,10.4,10.3,10.3,10.3,10.4,10.3,10.3,10.4,10.2,10.2,10,9.5,9.4,9.1
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RC1",496.8,493.9,508,516.5,529.9,550.4,558.9,570,577.5,583.5,600.1,611.1,619.2,649.5,667,681.9,689.1,696.3,705,719.4,739.4,755.7,766.5,775.8,779.4,797.7,815.5,783.9,781.4,783.1,777.9,793.6,811.3,832.1,865.5,895.1,919.5,967.4,999.8,1025.7,1063.7,1101.3,1135.2,1167.5,1199.7,1202.7,1179,1159.5,1159.1,1164.7,1161.4,1130.7,1094.2,1094.5,1079.1,1039,898.3,845.1
"34","25","  Private fixed investment in equipment and software","A327RC1",602.7,605,607,621.7,633.3,646.9,669.8,678.4,693.3,713.1,746.8,745.2,770.7,784.7,793.3,822,845,873.4,899,895.7,933.4,964.9,968,967.1,952.6,913.3,885,873.5,859.9,851.8,854.2,837.8,831.6,849.6,875.5,892.7,882.8,912.6,940.7,966.1,976.3,998.1,1020.4,1026.6,1070.8,1077,1085.4,1094.7,1095,1113.9,1119.4,1132.3,1128.9,1119.4,1100.6,1027.5,918.9,896.4
"35","26","  Private fixed investment in new structures \6\","W040RC1",467,463.8,473.5,482.5,495,513.2,521.4,533.5,539.7,544.5,558.2,566.1,575.8,602.6,619.2,633.1,641.3,644,651.7,667.8,686.4,700.8,709.9,717.6,721.4,737.4,742.3,725.2,716.9,717.3,714.1,725.5,743.5,757.5,781.7,815.4,836.2,871.8,902.9,924.3,962.1,989.3,1018.6,1058.9,1096.4,1099.8,1082.4,1064.3,1066,1075.5,1081.7,1059.7,1028.7,1028.4,1014.4,983.2,847.3,794.1
"36","27","    Nonresidential structures","A771RC1",201,206.4,210.1,210,213.9,219.3,224.7,237.6,242,242.1,254,255.7,259.8,276.8,279.3,281.1,281.9,280.4,282.2,288,297,312.1,327.2,332.5,328.2,334.4,329.1,311.4,297.3,284.5,274.7,274.1,274.5,282.7,284,286.4,290.5,300.4,311.7,321.5,337.1,345.1,350.9,368.3,395.5,427.5,446.8,461.2,489.2,519.6,555.7,575.2,585.5,609.7,619.5,619.8,532.4,507.7
"37","28","    Residential structures","A756RC1",266,257.4,263.3,272.5,281.1,293.9,296.7,295.9,297.7,302.4,304.2,310.3,316,325.7,339.9,352,359.4,363.5,369.5,379.8,389.4,388.7,382.6,385.1,393.2,403,413.1,413.8,419.6,432.8,439.4,451.5,469,474.8,497.7,529,545.7,571.4,591.2,602.8,625,644.2,667.8,690.5,700.9,672.3,635.6,603.1,576.8,555.9,526.1,484.5,443.1,418.8,394.9,363.3,315,286.4
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
