"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","Less: Income payments to the rest of the world","A655RX1",235.4,243.5,257.4,250.3,246.1,254.3,265,274.6,295.1,300.3,312.4,312.9,312.8,319.2,320.7,317.4,316.8,327.7,352.3,359.6,377.8,397.5,392.4,387.1,355.2,317.8,311.8,221.2,272.4,305.8,306.2,273.1,300.4,297.3,308.5,311.1,323.4,362.8,371.6,424,435.3,458.5,473,536.7,566.4,621.9,654.9,668.9,690.4,733.7,713.7,675,632.3,649.5,600.3,554.2,438.5,NA
"12","4","Equals: Gross national product","A001RX1",9063.8,9086.4,9145,9222.5,9292.9,9442.1,9520,9629.6,9693.2,9845.8,9959.7,10028.3,10133.3,10221.2,10340.3,10521.2,10628,10716.6,10848.9,11055,11078.6,11297.8,11302.4,11396.4,11343.3,11426.4,11369.9,11479,11534,11575.1,11648.5,11669.9,11701.8,11809.3,12005.6,12140.2,12243.7,12303,12403.5,12483.7,12642.6,12684.5,12789.5,12825.6,12994.2,13035.4,13025.1,13129.5,13160.5,13275.9,13451.5,13563.3,13525.4,13533.7,13470.7,13240.5,13018.1,NA
"13","5","Less: Consumption of fixed capital","A262RX1",930.6,941.2,952.3,963.8,975.7,988,1001,1014.4,1028.2,1043.1,1058.8,1075.4,1092.8,1110.9,1129.5,1148.7,1168.5,1188.8,1209.5,1230.8,1252.5,1273.2,1292.7,1311.2,1328.4,1344.3,1358.8,1371.9,1383.5,1394.7,1405.4,1415.6,1425.4,1435.7,1446.4,1457.6,1469.8,1482.1,1494.4,1506.8,1519.2,1533,1548.3,1565,1577.3,1590.9,1605.2,1620.3,1636,1652,1668,1684.1,1700.4,1712.8,1721.4,1726.2,1732.8,1735.2
"14","6","        Private","A024RX1",738.6,748.4,758.6,769.1,780,791.4,803.3,815.7,828.6,842.3,856.9,872.2,888.4,905.1,922.2,939.8,957.9,976.5,995.5,1015.1,1035.1,1054.2,1072.2,1089.2,1105.1,1119.6,1132.8,1144.5,1154.7,1164.5,1173.8,1182.6,1190.9,1199.7,1208.9,1218.6,1228.7,1239,1249.5,1260.2,1271.1,1283.3,1296.9,1311.9,1322.8,1334.4,1346.8,1360,1374,1387.9,1401.7,1415.5,1429.3,1439.6,1446.4,1449.8,1453.9,1453.2
"15","7","        Government","A264RX1",194.7,195.4,196.2,197,197.9,198.7,199.6,200.5,201.3,202.3,203.4,204.5,205.6,206.9,208.3,209.7,211.4,213,214.6,216.2,217.8,219.3,220.8,222.2,223.4,224.8,226.1,227.5,228.9,230.2,231.7,233.1,234.5,236,237.5,239.1,241.1,243.1,244.9,246.5,248.1,249.7,251.4,253.2,254.6,256.5,258.4,260.3,262.1,264.1,266.3,268.7,271.2,273.4,275.1,276.4,278.9,281.7
"16","8","          General government","A265RX1",164.5,165.1,165.7,166.2,166.9,167.5,168.2,168.9,169.6,170.4,171.3,172.1,173,174,175.1,176.3,177.6,178.9,180.1,181.4,182.7,183.9,185.1,186.2,187.2,188.3,189.4,190.5,191.6,192.7,193.8,194.9,196,197.1,198.2,199.4,201.1,202.6,204,205.4,206.6,207.9,209.4,210.9,212.4,214.1,215.7,217.3,218.9,220.6,222.6,224.7,227,228.9,230.5,231.7,233.9,236.5
"17","9","          Government enterprises","A266RX1",30,30.2,30.5,30.7,30.9,31.1,31.3,31.5,31.6,31.8,32,32.3,32.5,32.8,33.1,33.4,33.7,34.1,34.4,34.7,35.1,35.4,35.7,35.9,36.2,36.4,36.7,37,37.2,37.5,37.8,38.2,38.5,38.9,39.3,39.7,40.1,40.5,40.8,41.2,41.5,41.7,42,42.3,42.2,42.4,42.7,43,43.3,43.5,43.8,44,44.2,44.4,44.6,44.8,45,45.2
"18","10","Equals: Net national product","A027RX1",8144.1,8155,8201.9,8267.5,8325.5,8462.9,8527.3,8623.4,8672.4,8810.4,8908.3,8959.6,9046.7,9115.8,9216,9377.7,9464.2,9531.9,9643.2,9828.2,9829.1,10027.9,10012,10087.2,10015.9,10082.9,10011.4,10107.3,10150.7,10180.4,10243.2,10254.3,10276.4,10373.6,10559.2,10682.5,10773.8,10820.9,10909.1,10976.9,11123.4,11151.5,11241.2,11260.5,11416.9,11444.4,11419.7,11509.2,11524.3,11623.8,11783.4,11879,11824.9,11820.9,11749.4,11514.6,11285.8,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",8931.1,8973.9,9078.2,9133.7,9219,9362.8,9453.8,9575.2,9677.2,9789.2,9948.9,10067.8,10174.9,10318.4,10469,10570.9,10712.3,10784.1,10881.8,11069.1,11294.3,11356.9,11440.6,11418,11532.4,11491.6,11438.7,11383.7,11525.2,11588,11574.2,11620.8,11653.5,11770.2,11870.4,11998.8,12096.4,12213.8,12343.4,12433.3,12563.5,12655.6,12750.4,12901.3,13104.3,13147.6,13210.1,13296.6,13215,13295.5,13260,13303.5,13301.9,13298,13262,13014.3,12786.7,NA
"21","12","  Gross national income \2\","A023RX1",8969.5,9015.6,9102.5,9172,9264.6,9397.9,9484.9,9612.3,9704.1,9825.5,9975.9,10087.3,10204.8,10345.3,10480.6,10584.4,10739.1,10816.7,10910.8,11109.8,11329.8,11396.2,11475.2,11479.9,11578.5,11546.8,11468.5,11482.5,11581.3,11624.5,11626.2,11692,11709.4,11840.8,11940.4,12096.2,12212.4,12303.1,12443.4,12506.8,12671.9,12752.5,12856.7,12978.1,13182.5,13220.6,13269.3,13365.6,13275.6,13367.4,13390.5,13475.5,13460.5,13416.4,13408.2,13112.9,12879.3,NA
"22","13","  Net domestic product","A362RX1",8105.6,8113.1,8177.7,8229.3,8279.6,8427.8,8496.3,8586.2,8645.6,8774.2,8881.4,8940.3,9016.9,9089,9204.7,9364.4,9437.6,9499.5,9614.4,9787.6,9793.6,9988.6,9977.6,10025.3,9969.9,10027.8,9981.6,10008.4,10094.5,10144.1,10191.1,10183.2,10220.4,10303.1,10489.1,10585.2,10657.8,10731.7,10809.1,10903.5,11014.9,11054.5,11134.9,11183.7,11338.6,11371.5,11360.6,11440.3,11463.7,11551.9,11653,11707,11666.4,11702.4,11603.3,11416,11193.2,11157.9
"23","14","  Net domestic income \3\","W256RX1",8009.8,8041.2,8134.5,8178,8251,8383,8460.7,8568.7,8656.6,8753.6,8897.8,8999.9,9089,9214.4,9346.1,9428.2,9549.5,9600.3,9676.7,9842.8,10046.3,10087.6,10151.3,10109.3,10206.1,10148.6,10080.5,10012,10141.9,10193.5,10168.7,10205.1,10228.1,10334.6,10424,10541.2,10626.6,10731.7,10848.9,10926.5,11044.2,11122.6,11202.1,11336.3,11527,11556.9,11605.1,11676.5,11578.8,11643.4,11592,11619.3,11601.7,11585.4,11541,11288.3,11054.7,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
