"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Foods, feeds, and beverages","B638RA3",93.461,93.732,95.698,86.766,92.398,89.232,88.817,93.321,90.675,89.503,89.93,95.929,95.021,89.397,84.573,93.314,87.5,92.388,97.66,95.344,95.404,97.258,104.486,97.465,101.278,102.925,99.681,101.534,101.027,101.509,98.893,95.806,100.332,99.309,102.562,101.804,94.249,87.794,94.113,102.817,99.153,102.096,97.348,101.402,104.464,108.751,110.122,108.477,108.272,113.084,123.697,124.409,127.025,128.201,125.627,119.968,113.436,119.146
"12","4","  Industrial supplies and materials","B639RA3",72.343,72.528,75.218,76.105,76.659,76.058,77.709,80.793,81.535,84.961,86.241,85.61,85.51,83.323,82.293,83.503,81.303,83.254,84.278,88.707,90.692,90.805,94.837,94.307,91.824,89.058,87.653,87.279,86.986,90.454,89.805,89.621,91.693,90.362,91.05,92.833,96.259,97.747,97.113,98.568,99.619,102.598,99.966,97.817,104.595,107.973,106.6,110.886,109.753,111.704,114.19,118.028,123.088,129.941,130.061,121.419,109.198,109.735
"13","5","    Durable goods","B686RA3",68.226,69.27,72.752,70.466,71.14,73.782,75.752,76.883,78.17,81.376,82.068,83.227,85.708,81.74,80.302,82.545,81.722,83.668,85.377,90.509,96.338,97.676,98.774,99.317,95.487,90.493,86.873,84.953,80.472,85.263,84.736,84.101,85.048,86.532,85.168,86.462,92.692,93.641,92.396,93.164,94.388,98.486,102.372,104.754,107.812,108.802,108.028,113.465,112.266,113.237,116.853,120.554,122.284,132.462,132.43,124.42,105.676,104.593
"14","6","    Nondurable goods","B687RA3",74.856,74.532,76.76,79.568,80.058,77.467,78.932,83.199,83.616,87.178,88.811,87.092,85.425,84.316,83.537,84.108,81.058,83.022,83.637,87.654,87.412,86.83,92.517,91.399,89.686,88.174,88.033,88.559,90.779,93.429,92.699,92.774,95.493,92.571,94.432,96.5,98.305,100.104,99.822,101.666,102.599,104.91,98.593,93.898,102.753,107.503,105.767,109.364,108.285,110.83,112.653,116.55,123.431,128.479,128.66,119.711,111.044,112.479
"15","7","  Capital goods, except automotive","B640RA3",49.709,52.801,55.585,58.229,59.81,61.373,62.059,67.476,71.639,76.409,79.859,79.428,79.859,77.931,79.691,82.917,81.59,81.629,86,88.904,90.132,97.424,101.885,100.2,99.005,90.248,82.618,79.252,78.332,80.933,82.106,79.282,78.633,78.835,82.083,88.633,90.181,91.321,92.352,92.84,95.334,99.761,99.64,105.264,109.229,111.916,111.586,114.912,115.951,117.183,122.318,125.703,126.423,129.318,130.182,119.923,110.363,103.942
"16","8","    Civilian aircraft, engines, and parts","B688RA3",63.408,71.801,67.021,62.727,64.944,74.531,72.923,87.881,93.563,99.427,100.738,96.256,112.798,111.425,131.105,143.194,129.792,113.923,119.552,118.753,97.972,113.046,104.832,101.841,117.681,112.98,103.784,97.942,99.895,101.491,106.884,95.046,90.213,84.901,87.744,98.601,89.094,83.744,86.266,85.222,93.745,107.764,95.497,102.994,108.922,110.377,107.855,116.255,115.332,113.808,124.392,126.931,122.213,121.891,122.334,98.448,118.653,106.75
"17","9","    Computers, peripherals, and parts","B850RA3",33.834,35.649,39.91,44.299,48.391,48.962,50.627,53.906,60.608,66.33,69.817,68.204,66.217,67.52,69.485,73.149,73.253,77.404,81.118,82.951,89.119,98.06,104.601,101.642,99.028,88.668,82.548,77.746,73.279,75.83,74.675,76.929,76.486,75.476,81.306,85.658,84.107,84.458,87.789,90.601,94.194,100.167,102.174,103.466,107.857,110.178,107.427,112.202,115.311,110.583,113.622,113.622,116.008,124.689,125.101,110.887,106.781,103.097
"18","10","    Other","B689RA3",51.374,54.112,57.288,60.207,60.882,61.623,62.337,66.833,69.912,74.127,77.822,78.353,76.884,74.091,72.922,74.571,74.853,76.545,80.81,84.544,88.401,93.981,100.188,99.027,95.103,85.993,78.371,75.767,75.015,77.801,78.619,76.561,76.698,78.231,81.053,87.145,91.58,94.217,94.486,94.863,95.872,97.956,100.102,106.07,109.525,112.554,113.13,115.088,116.257,119.069,123.249,127.338,129.084,131.895,132.908,126.537,108.673,103.31
"19","11","  Automotive vehicles, engines, and parts","B641RA3",69.302,64.827,66.996,66.251,66.811,67.655,72.562,70.22,74.824,77.581,80.996,80.425,81.977,76.556,71.74,79.281,77.882,79.348,80.56,81.517,88.083,84.422,83.194,82.437,77.211,80.439,80.147,78.548,78.452,84.679,84.116,82.142,82.721,85.002,81.09,85.258,86.567,90.233,94.574,95.354,96.851,97.191,100.307,105.651,107.725,106.149,106.719,110.154,115.043,118.84,121.555,125.957,122.649,122.449,124.817,106.394,68.362,65.676
"20","12","  Consumer goods, except automotive","B642RA3",56.742,57.309,58.644,58.673,60.149,60.967,61.638,64.001,66.04,68.537,68.496,69.101,68.667,70.389,71.019,70.338,69.887,70.462,71.853,74.687,77.331,78.307,80.756,79.175,82.073,81.262,75.403,74.254,73.577,75.24,76.092,75.535,77.106,77.858,80.618,82.819,86.007,90.295,91.168,94.715,96.879,99.024,100.678,103.419,107.055,109.037,110.396,115.736,119.518,120.303,123.842,126.139,130.508,134.213,136.955,128.192,119.777,119.44
"21","13","    Durable goods","B690RA3",53.931,54.221,54.302,54.521,55.364,56.751,58.206,60.621,61.575,65.464,65.867,65.415,65.162,66.825,67.87,67.281,64.877,67.521,69.367,73.801,76.529,75.261,78.042,75.937,80.482,79.461,73.099,70.228,71.178,72.372,73.417,71.076,71.069,73.067,76.329,80.352,81.523,86.79,89.698,92.867,96.087,98.113,101.952,103.848,108.28,112.507,113.334,119.7,123.83,127.313,131.903,139.548,142.423,146.163,145.522,127.775,111.696,110.488
"22","14","    Nondurable goods","B691RA3",60.013,60.905,63.709,63.516,65.732,65.883,65.636,67.938,71.25,72.107,71.546,73.391,72.744,74.536,74.681,73.89,75.715,73.884,74.741,75.712,78.253,81.85,83.906,82.939,83.899,83.338,78.077,78.97,76.361,78.582,79.207,80.764,84.202,83.477,85.641,85.684,91.246,94.387,92.886,96.873,97.804,100.087,99.19,102.92,105.63,105.009,106.98,111.121,114.486,112.19,114.53,110.815,116.853,120.512,127.032,128.508,128.891,129.548
"23","15","  Other","B643RA3",73.717,70.619,70.92,73.377,72.035,75.332,76.429,82.784,81.107,83.725,86.122,86.854,86.883,88.885,95.294,99.667,99.305,98.646,96.375,100.936,98.722,94.25,104.192,106.322,101.789,98.45,93.88,91.065,101.587,102.637,104.938,99.468,92.199,89.547,88.607,89.515,89.254,93.079,90.198,86.454,95.54,99.009,102.904,102.547,105.018,98.579,102.981,104.683,100.261,98.473,97.276,105.351,89.647,101.248,78.385,86.758,77.878,70.789
"24","16","Exports of services \1\","B646RA3",65.855,66.257,70.015,71.136,70.545,72.82,71.53,77.509,76.082,77.753,78.356,77.551,78.335,79.871,78.249,80.757,82.5,83.493,84.445,84.989,85.405,87.216,85.437,86.35,85.265,85.229,81.497,78.146,82.584,83.326,84.373,86.177,82.783,82,85.725,89.921,93.587,94.828,94.433,98.1,99.508,99.094,99.795,101.603,104.897,106.339,106.729,113.773,115.087,115.871,123.05,128.568,125.587,127.965,125.429,124.054,119.619,118.912
"25","17","  Transfers under U.S. military agency sales contracts","B267RA3",74.801,76.887,87.506,79.275,75.254,86.191,94.596,102.521,86.572,105.415,98.611,85.557,104.265,103.103,91.259,99.963,87.822,99.75,85.74,74.334,70.468,81.501,68.553,75.174,58.538,78.003,73.934,66.198,62.405,60.229,76.483,66.311,63.288,64.888,85.698,77.341,89.068,88.017,84.595,76.26,100.375,98.85,108.99,91.784,113.611,124.644,120.447,129.193,140.718,102.482,107.961,154.654,122.191,114.08,95.41,100.033,98.881,105.244
"26","18","  Travel","B493RA3",92.107,92.066,99.917,104.338,101.466,106.303,96.557,113.42,108.445,107.155,108.599,105.492,104.349,105.534,99.973,102.81,103.977,103.817,105.37,108.307,111.715,113.514,108.949,109.254,110.24,104.18,93.234,77.16,87.902,87.196,87.909,96.412,83.926,76.652,85.373,94.427,92.765,95.889,95.267,96.954,99.301,103.666,98.917,98.116,98.556,99.249,100.035,104.121,101.188,104.814,113.858,119.229,118.079,120.44,121.322,116.216,108.768,103.743
"27","19","  Passenger fares","B533RA3",125.606,120.199,132.957,137.588,137.668,141.039,133.413,145.33,151.913,146.526,146.721,153.048,145.139,152.016,150.748,138.281,133.043,132.994,138.181,130.967,132.32,139.675,136.271,136.558,131.936,127.895,118.03,90.378,111.283,109.925,104.796,106.38,92.261,83.08,91.187,93.953,95.016,97.885,100.657,94.153,91.929,98.98,104.033,105.057,105.183,104.051,105.912,103.317,106.769,106.304,116.103,121.883,123.814,128.666,125.685,124.97,118.985,121.179
"28","20","  Other transportation","B683RA3",77.888,80.001,80.372,83.068,76.092,78.122,77.15,81.259,79.316,80.91,80.679,82.023,78.876,77.604,78.208,82.409,82.7,82.461,81.053,84.609,83.961,85.082,82.165,80.899,83.016,81.419,79.095,76.824,81.478,81.901,83.602,86.221,83.004,85.994,86.363,91.451,97.405,99.261,96.998,99.669,101.162,101.031,97.54,100.267,103.251,105.894,106.279,109.586,111.225,113.308,116.297,118.451,119.352,120.167,114.932,109.311,96.707,96.981
"29","21","  Royalties and license fees","B684RA3",55.9,57.184,59.929,59.608,59.906,59.561,61.459,63.074,61.036,61.8,61.847,60.655,63.006,64.596,63.813,69.477,70.878,70.264,72.69,72.323,75.725,76.631,76.623,75.177,70.163,70.607,68,71.759,71.297,76.799,78.566,75.682,75.574,77.06,78.353,80.992,88.502,88.411,90.112,98.19,99.926,99.143,100.149,100.783,101.275,102.908,105.856,114.911,114.572,116.579,126.257,132.61,129.646,131.573,129.322,128.565,124.581,123.3
"30","22","  Other private services","B720RA3",43.177,43.829,45.025,45.836,47.199,48.535,49.175,51.665,52.815,55.166,56.721,57.552,58.392,60.827,61.422,62.667,67.895,69.072,71.059,72.385,70.642,71.734,72.518,74.915,75.539,76.734,76.154,78.788,81.512,82.084,82.153,84.155,84.958,86.223,87.04,91.018,94.898,95.535,94.806,100.897,99.817,96.309,99.049,104.825,109.247,109.973,109.44,119.45,122.354,125.365,131.87,133.595,130.641,134.526,132.594,132.089,130.733,130.465
"31","23","  Other","B980RA3",122.725,117.233,121.772,118.848,126.66,122.112,123.714,124.316,127.623,123.749,123.147,119.518,118.336,114.395,112.243,118.43,112.314,113.778,114.51,113.789,116.683,112.518,109.218,105.487,106.408,108.779,110.415,111.715,111.564,107.244,103.318,98.932,97.768,97.923,98.095,99.445,100.251,102.693,102.386,102.258,100.671,98.825,100.223,100.28,101.72,102.577,103.387,107.45,105.488,106.181,108.899,112.47,116.023,117.507,116.469,130.986,129.735,135.758
"32","24","    Imports of goods and services","B021RA3",46.023,46.46,46.62,47.216,48.751,49.842,51.458,52.473,54.714,56.551,58.635,59.9,62.147,63.571,64.428,66.512,68.206,70.38,72.933,74.682,77.711,80.08,82.877,82.815,81.607,79.177,77.26,76.339,78.252,80.894,82.229,83.707,82.696,83.881,84.856,87.996,90.235,93.849,95.213,97.626,98.187,99.266,99.874,102.673,104.613,105.774,107.04,106.917,108.041,107.907,108.904,107.901,107.225,105.853,105.259,100.547,89.804,86.21
"33","25","Imports of goods \1\","B255RA3",44.223,44.833,44.929,45.435,47.052,48.235,49.87,51.082,53.281,55.307,57.321,58.611,60.778,62.203,62.913,65.227,67.005,69.357,72.072,73.999,76.863,79.286,82.087,82.109,80.873,77.635,76.148,75.466,76.952,80.222,81.704,82.758,81.848,83.985,84.326,87.293,89.369,93.263,94.778,97.23,98.071,99.234,99.901,102.794,104.376,105.665,107.1,106.476,107.792,107.527,108.277,107.239,106.29,105.035,104.045,98.517,86.326,82.658
"34","26","  Foods, feeds, and beverages","B647RA3",50.811,49.918,50.722,51.231,53.712,54.613,56.996,57.611,58.48,60.426,63.459,63.139,65.274,65.494,66.143,66.574,69.261,72.051,72.811,73.807,74.404,76.382,78.413,78.429,77.32,78.883,83.638,81.865,82.306,84.267,86.092,86.008,88.425,90.12,92.068,94.315,95.182,97.32,96.093,97.407,96.954,98.842,101.553,102.651,105.679,104.846,106.009,107.699,108.722,106.71,107.746,106.434,106.023,105.587,105.184,107.134,101.026,100.316
"35","27","  Industrial supplies and materials, except petroleum and products","B649RA3",57.26,57.793,55.515,55.665,57.364,58.673,60.685,62.382,62.385,64.205,65.316,66.929,69.87,72.233,72.492,72.856,71.978,74.084,76.086,79.252,80.272,80.309,81.174,80.009,80.675,76.727,76.898,76.351,77.191,79.025,80.67,82.622,78.966,80.312,82.639,82.677,85.953,93.111,97.575,98.43,99.254,98.879,98.32,103.547,104.334,104.456,106.308,101.99,100.018,101.463,102.069,97.148,95.07,92.951,94.81,88.054,73.451,65.86
"36","28","    Durable goods","B820RA3",54.73,53.887,50.458,51.081,53.563,55.376,57.234,58.897,58.456,59.919,60.63,63.351,66.961,70.008,70.777,71.994,70.614,71.542,72.096,76.801,78.563,77.749,77.005,76.932,76.296,72.203,71.995,71.697,75.438,75.599,77.074,79.306,77.344,75.849,76.594,80.787,83.628,91.28,97.342,101.398,100.292,100.069,96.197,103.442,111.491,109.361,111.114,105.417,102.412,100.891,97.768,93.798,93.936,90.577,90.501,86.07,69.724,60.349
"37","29","    Nondurable goods","B696RA3",60.117,62.257,61.313,60.912,61.706,62.426,64.611,66.344,66.866,69.108,70.707,70.974,73.1,74.623,74.256,73.582,73.304,76.844,80.628,81.887,81.984,83.057,85.791,83.477,85.466,81.665,82.291,81.492,78.948,82.771,84.642,86.306,80.925,85.101,89.087,84.722,88.519,95.173,97.843,95.099,98.243,97.674,100.528,103.554,96.829,99.075,100.841,98.112,97.443,102.44,107.618,101.503,96.858,96.044,100.015,90.694,77.838,72.118
"38","30","  Petroleum and products","B648RA3",66.992,64.056,67.767,68.211,70.315,71.731,72.927,74.575,74.812,73.84,74.878,78.003,79.394,79.696,81.169,82.058,82.887,81.427,81.679,78.921,84.861,84.028,85.746,88.278,92.795,88.194,84.178,87.851,83.551,85.478,85.292,90.411,86.709,94.218,95.229,91.598,98.358,95.773,96.59,101.388,99.492,98.896,98.872,102.741,96.928,98.112,103.136,94.3,94.499,97.802,96.953,94.326,93.981,91.716,92.326,94.622,90.616,82.922
"39","31","  Capital goods, except automotive","B650RA3",32.51,34.597,36.636,38.433,39.491,40.385,42.258,44.943,48.053,51.385,54.294,55.942,58.572,59.87,60.432,62.267,63.713,67.88,71.066,73.773,76.112,82.51,86.683,86.714,82.409,73.711,69.542,68.547,70.458,72.727,72.907,73.361,73.703,75.49,76.042,80.923,84.239,88.994,91.866,94.637,95.297,99.926,100.763,104.014,107.968,110.271,112.639,113.577,116.36,116.423,117.816,119.421,120.954,121.539,119.169,110.948,95.962,90.897
"40","32","    Civilian aircraft, engines, and parts","B932RA3",56.425,58.123,54.289,55.431,55.944,63.477,65.421,69.348,67.978,74.412,91.442,87.057,86.052,107.468,106.871,114.276,104.915,107.818,119.535,111.701,107.185,113.593,120.381,135.981,137.171,135.668,133.342,139.999,122.531,105.746,95.036,111.076,98.392,100.039,94.98,107.713,86.098,99.312,96.197,109.802,100.796,109.676,92.916,96.611,106.954,103.188,101.315,112.828,119.664,124.077,123.033,122.573,126.994,127.931,114.038,105.695,97.519,102.582
"41","33","    Computers, peripherals, and parts","B852RA3",17.655,19.233,21.258,23.595,24.368,25.466,26.487,27.756,30.846,33.714,35.954,36.875,40.158,41.895,42.539,46.562,50.184,54.95,56.841,58.697,58.435,64.105,69.087,66.656,62.509,58.487,56.414,57.561,63.947,64.776,65.218,65.185,66.959,68.697,70.528,76.302,79.976,85.411,90.425,94.035,94.776,97.418,102.039,105.768,111.787,115.266,119.966,120.892,131.259,125.891,125.208,131.472,135.456,138.279,132.43,116.606,109.493,112.211
"42","34","    Other","B853RA3",38.9,41.159,43.297,44.547,45.749,46.036,48.363,51.775,54.919,58.068,60.178,62.647,64.914,64.295,64.86,64.848,65.824,69.61,72.73,76.677,80.921,87.539,90.96,90.942,86.158,74.626,69.321,66.637,68.21,72.854,73.907,73.124,74.044,75.859,76.396,80.156,85.693,89.362,91.965,93.356,94.93,99.867,101.081,104.122,106.73,109.253,111.292,111.169,111.157,112.451,114.734,115.171,115.691,115.612,115.443,109.33,91.606,83.408
"43","35","  Automotive vehicles, engines, and parts","B651RA3",57.89,56.275,53.027,51.986,54.29,57.346,58.76,56.213,61.051,61.175,61.694,61,63.134,63.819,62.819,70.982,74.405,76.333,79.849,81.227,85.598,84.504,85.25,83.554,81.723,82.491,83.128,81.259,83.721,87.942,90.132,89.926,88.406,90.989,88.126,93.28,93.967,97.177,97.001,97.059,96.949,98.016,100.235,104.801,107.233,106.869,104.459,108.495,105.638,104.374,109.381,107.668,102.872,99.724,93.155,79.792,51.769,49.713
"44","36","  Consumer goods, except automotive","B652RA3",37.182,37.359,37.467,36.613,38.352,38.895,40.754,42.031,43.049,45.092,46.78,48.387,50.182,51.955,52.767,53.109,55.163,56.582,59.6,62.165,64.651,68.112,69.806,71.835,71.077,70.076,69.315,68.43,71.005,75.943,78.87,79.851,81.243,81.599,83.273,86.853,88.027,93.072,92.469,96.322,99.261,100.279,99.445,101.014,104.577,106.21,108.679,112.529,115.655,113.479,112.295,115.429,114.742,115.324,114.79,106.959,99.446,99.962
"45","37","    Durable goods","B697RA3",33.651,33.677,33.647,33.265,35.013,35.598,37.452,37.793,38.959,40.629,42.029,43.82,45.921,47.678,48.42,49.441,50.336,53.425,56.171,58.337,62.312,64.499,65.83,68.34,66.409,64.252,64.078,63.988,67.285,72.852,74.64,74.466,74.187,75.208,78.896,83.62,84.551,90.152,90.549,95.723,98.076,98.559,101.327,102.038,105.707,105.114,108.2,113.653,115.71,113.039,114.646,119.083,115.67,116.882,117.066,106.325,96.501,98.491
"46","38","    Nondurable goods","B698RA3",41.576,41.957,42.254,40.766,42.476,42.955,44.801,47.33,48.137,50.659,52.715,54.067,55.449,57.231,58.128,57.595,61.128,60.402,63.756,66.82,67.403,72.474,74.623,76.029,76.763,77.235,75.73,73.848,75.514,79.654,83.999,86.408,89.862,89.39,88.577,90.748,92.222,96.593,94.778,97.03,100.674,102.333,97.202,99.791,103.228,107.528,109.253,111.171,115.579,113.994,109.482,111.068,113.619,113.462,112.081,107.69,102.874,101.682
"47","39","  Other","B653RA3",50.86,53.079,49.259,52.296,53.649,54.406,52.483,52.528,56.523,59.565,64.14,65.52,65.819,67.659,73.845,79.05,82.318,83.803,85.588,85.258,90.031,88.711,103.155,97.195,95.8,98.463,96.157,96.677,97.219,100.437,100.888,100.82,93.997,97.786,92.282,96.587,90.635,92.367,97.892,99.173,101.494,97.107,103.641,97.759,103.171,108.269,97.706,95.259,107.523,101.613,103.56,94.646,93.884,90.765,88.271,85.815,83.184,81.74
"48","40","Imports of services \1\","B656RA3",56.524,55.801,56.371,57.529,58.486,58.955,60.417,60.197,62.666,63.336,65.819,66.928,69.63,71.037,72.724,73.493,74.695,75.855,77.492,78.236,82.182,84.23,86.983,86.424,85.375,87.568,83.234,80.989,85.198,84.434,84.976,88.739,87.206,83.371,87.636,91.684,94.787,96.949,97.531,99.741,98.816,99.441,99.73,102.012,105.888,106.358,106.715,109.276,109.381,109.95,112.25,111.435,112.249,110.211,111.849,111.605,108.238,104.974
"49","41","  Direct defense expenditures","B752RA3",46.858,41.105,41.572,43.611,47.811,47.21,48.129,48.327,52.391,51.075,57.108,60.169,59.413,56.534,61.406,59.181,60.339,64.247,67.883,62.063,63.264,67.589,70.26,65.071,66.932,67.956,71.398,84.501,88.414,89.851,90.391,92.414,94.947,100.113,104.607,110.393,106.771,111.628,109.131,100.553,99.18,101.145,99.746,99.929,102.655,97.153,98.163,94.184,97.064,94.041,91.788,91.461,88.531,84.033,88.765,92.116,96.668,91.214
"50","42","  Travel","B768RA3",82.149,80.159,78.323,82.761,85.063,82.492,84.092,84.44,89.635,88.765,92.418,94.253,101.273,103.14,104.412,103.86,102.142,104.413,105.878,108.239,115.253,116.416,116.588,120.104,117.475,124.532,107.98,96.092,106.826,103.883,101.117,106.809,100.562,84.461,96.019,100.564,101.522,102.772,101.769,101.145,102.341,100.15,97.402,100.107,100.873,100.901,99.408,101.13,100.225,97.993,98.271,97.624,97.354,92.811,92.961,104.412,101.379,92.978
"51","43","  Passenger fares","B769RA3",74.89,78.929,81.445,82.788,82.636,83.928,86.597,85.306,88.916,93.241,94.817,89.292,92.602,99.894,102.913,102.8,102.322,101.964,103.281,106.413,109.482,113.575,115.614,107.119,98.575,103.615,98.243,79.796,79.915,78.449,75.019,85.985,78.957,75.851,85.23,88.857,93.983,101.87,100.303,97.702,96.383,98.938,103.145,101.535,99.835,101.303,99.577,98.002,92.87,97.433,99.585,97.402,101.186,97.349,95.839,91.812,86.471,85.397
"52","44","  Other transportation","B770RA3",66.293,64.995,65.52,63.178,61.295,65.226,65.555,64.161,66.746,68.935,68.491,72.534,73.548,72.697,73.095,76.309,75.239,72.734,74.085,74.959,78.56,82.03,85.358,83.769,82.454,79.712,73.904,76.553,75.751,81.156,81.443,84.346,87.039,83.606,81.609,82.594,91.049,91.652,93.697,97.501,103.283,99.899,96.169,100.649,100.773,104.006,108.795,110.705,107.899,111.073,112.847,112.267,113.413,108.826,106.086,100.8,93.237,88.184
"53","45","  Royalties and license fees","B908RA3",31.79,33.312,35.543,38.358,35.546,35.755,44.94,37.851,42.815,42.293,46.994,44.861,52.492,51.042,54.291,57.473,58.883,61.056,62.206,65.183,69.745,70.879,84.997,77.425,74.664,73.333,73.47,76.808,87.685,84.532,89.057,82.756,78.563,80.51,85.356,86.214,90.223,94.244,104.171,103.293,96.285,100.514,105.383,97.818,95.179,87.775,86.726,100.145,97.054,94.939,94.937,90.457,96.328,96.953,112.123,89.078,82.236,80.172
"54","46","  Other private services","B909RA3",37.039,37.589,38.88,39.149,40.735,41.608,41.656,43.192,42.958,43.737,45.696,46.969,47.512,50.074,50.906,51.893,56.389,58.229,59.554,60.013,63.059,64.108,65.641,67.767,69.22,71.721,72.411,72.506,75.225,73.063,75.883,80.035,80.066,79.497,81.349,87.425,89.818,90.883,90.726,99.35,94.398,98.069,101.297,106.237,118.562,121.141,120.844,125.15,128.973,130.976,137.212,137.171,137.946,140.171,142.126,141.002,138.202,138.716
"55","47","  Other","B910RA3",82.224,76.754,77.778,77.143,78.756,79.145,81.102,80.875,81.122,82.758,84.948,83.539,84.679,83.884,89.096,87.509,85.299,84.364,89.019,86.373,88.667,90.627,92.536,92.315,93.47,94.199,94.599,94.787,95.47,93.527,92.848,93.459,93.932,92.767,94.119,96.075,99.431,101.061,102.115,100.995,102.127,98.624,99.653,99.596,98.641,98.662,98.912,98.857,99.829,98.766,100.216,99.477,98.219,96.164,96.932,106.09,106.844,107.714
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
