"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","Unit nonlabor cost","A467RD3",0.211,0.211,0.21,0.209,0.209,0.21,0.209,0.209,0.21,0.21,0.208,0.207,0.209,0.209,0.209,0.212,0.211,0.214,0.217,0.218,0.218,0.222,0.223,0.226,0.231,0.235,0.237,0.243,0.24,0.236,0.238,0.236,0.241,0.236,0.237,0.234,0.234,0.234,0.232,0.235,0.239,0.24,0.246,0.245,0.245,0.25,0.25,0.253,0.258,0.263,0.268,0.268,0.271,0.272,0.274,0.282,0.291,NA
"12","4","  Consumption of fixed capital","A456RD3",0.094,0.095,0.095,0.095,0.096,0.096,0.095,0.096,0.096,0.097,0.096,0.096,0.097,0.097,0.097,0.098,0.098,0.099,0.1,0.101,0.1,0.103,0.104,0.106,0.109,0.112,0.114,0.116,0.116,0.116,0.117,0.116,0.117,0.116,0.116,0.115,0.115,0.115,0.114,0.116,0.116,0.116,0.119,0.119,0.12,0.123,0.123,0.124,0.126,0.127,0.129,0.129,0.132,0.132,0.135,0.139,0.145,NA
"13","5","  Taxes on production and imports less subsidies plus business current transfer payments (net)","W330RD3",0.091,0.09,0.089,0.088,0.089,0.089,0.089,0.088,0.088,0.088,0.086,0.085,0.084,0.083,0.083,0.085,0.084,0.085,0.086,0.085,0.085,0.085,0.085,0.086,0.087,0.087,0.087,0.092,0.091,0.091,0.093,0.093,0.095,0.094,0.096,0.096,0.096,0.096,0.096,0.098,0.1,0.101,0.103,0.102,0.102,0.103,0.102,0.102,0.102,0.102,0.103,0.102,0.103,0.103,0.104,0.105,0.108,NA
"14","6","  Net interest and miscellaneous payments","A471RD3",0.026,0.026,0.026,0.026,0.024,0.025,0.025,0.025,0.026,0.025,0.026,0.026,0.028,0.029,0.029,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.034,0.034,0.035,0.036,0.036,0.035,0.033,0.029,0.028,0.027,0.029,0.026,0.025,0.023,0.023,0.023,0.022,0.021,0.023,0.023,0.024,0.024,0.023,0.024,0.025,0.027,0.03,0.034,0.036,0.037,0.036,0.037,0.035,0.038,0.038,NA
"15","7","Corporate profits with IVA and CCAdj (unit profits from current production)","A463RD3",0.106,0.106,0.112,0.113,0.117,0.118,0.118,0.12,0.121,0.12,0.124,0.119,0.108,0.107,0.108,0.102,0.104,0.102,0.096,0.092,0.088,0.087,0.081,0.072,0.069,0.071,0.067,0.058,0.07,0.074,0.076,0.083,0.08,0.082,0.086,0.089,0.105,0.112,0.117,0.115,0.121,0.128,0.121,0.136,0.139,0.138,0.15,0.138,0.135,0.135,0.122,0.118,0.105,0.106,0.114,0.102,0.1,NA
"16","8","  Taxes on corporate income","A465RD3",0.033,0.032,0.033,0.032,0.033,0.034,0.034,0.034,0.033,0.033,0.035,0.033,0.032,0.031,0.031,0.029,0.032,0.031,0.031,0.032,0.032,0.032,0.028,0.028,0.022,0.021,0.02,0.016,0.015,0.017,0.018,0.019,0.022,0.021,0.023,0.026,0.028,0.031,0.033,0.032,0.043,0.042,0.041,0.047,0.045,0.048,0.05,0.045,0.047,0.046,0.043,0.044,0.038,0.039,0.038,0.027,0.031,NA
"17","9","  Profits after tax with IVA and CCAdj","A466RD3",0.072,0.074,0.079,0.081,0.084,0.084,0.084,0.086,0.088,0.087,0.089,0.086,0.075,0.076,0.077,0.073,0.072,0.071,0.065,0.06,0.056,0.055,0.053,0.044,0.047,0.05,0.047,0.041,0.054,0.058,0.058,0.064,0.058,0.061,0.063,0.063,0.077,0.081,0.084,0.082,0.078,0.086,0.08,0.09,0.093,0.09,0.1,0.093,0.087,0.089,0.079,0.074,0.066,0.067,0.076,0.075,0.068,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. The implicit price deflator for gross value added of nonfinancial corporate business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","divided by 100. Estimates for nonfinancial corporate business for 2000 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","are based on the 1987 Standard Industrial Classification (SIC); later estimates for these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","industries are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
