"","Table 7#2#4B# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","  Final sales of motor vehicles to domestic purchasers","AB75RG3",98.78,100.898,101.817,100.785,101.377,101.323,100.679,100.271,98.504,99.048,100,99.793,99.352,97.836
"51","43","  Private fixed investment in new autos and new light trucks","AB76RG3",104.119,105.44,105.058,103.437,103.829,103.828,102.749,100.603,99.577,99.456,100,99.493,98.461,97.124
"52","44","  Domestic output of new autos \2\","B148RG3",101.498,102.495,102.994,102.507,101.767,101.9,101.554,100.665,99.314,99.17,100,100.869,100.845,100.89
"53","45","  Sales of imported new autos \3\","B149RG3",103.149,104.76,104.849,104.045,103.191,103.2,102.736,101.528,99.618,99.057,100,100.899,100.487,100.168
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of final sales and change in private inventories of new autos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
