"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253"
"11","3","  Goods","DGDSRD3",23.501,23.727,24.09,24.725,25.081,25.351,25.744,25.556,25.244,24.959,24.67,24.521,24.383,24.515,25.117,25.65,26.699,26.931,26.896,27.218,27.282,27.123,27.223,27.151,27.128,27.05,27.047,27.055,27.18,27.077,26.884,26.747,26.783,26.758,26.846,26.854,26.929,27.13,27.425,27.58,27.826,28.038,28.257,28.356,28.821,28.835,28.762,28.626,28.816,28.851,28.941,29.017,28.976,29.121,29.163,29.273,29.309,29.188,29.263,29.212,29.299,29.366,29.412,29.493,29.527,29.53,29.71,29.78,29.921,29.912,29.968,30.039,30.105,30.279,30.354,30.355,30.632,30.854,31.049,31.229,31.204,31.278,31.61,31.852,32.144,32.417,32.715,33.045,33.277,33.678,34.058,34.375,34.707,34.99,35.233,35.626,35.814,36.154,36.35,36.452,36.819,36.936,37.222,37.483,38.085,38.967,39.713,40.603,42.209,43.615,44.966,46.27,46.933,47.282,48.175,48.829,49.076,49.244,49.854,50.564,51.378,52.104,52.644,53.287,54.012,55.154,56.056,57.022,58.403,60.089,61.653,63.161,65.429,67.019,68.388,69.78,71.501,72.387,73.096,73.707,74.126,74.282,75.044,75.132,75.132,75.875,76.4,76.525,77.145,77.335,77.505,77.742,78.235,78.617,78.678,79.162,78.907,77.785,78.145,78.412,79.769,80.556,81.254,81.7,81.823,82.515,83.428,84.043,84.935,86.412,86.434,86.799,88.401,88.741,89.996,91.623,91.561,91.737,91.902,92.279,92.386,92.777,93.252,93.481,93.651,93.733,93.626,94.125,94.023,94.35,95.218,95.341,95.457,95.655,95.681,95.703,96.338,96.762,96.58,97.011,97.127,96.605,96.334,96.206,95.458,95.076,95.045,94.868,94.761,95.445,95.917,96.248,97.011,97.474,97.739,97.847,97.842,98.012,97.497,96.412,95.958,96.606,96.581,96.569,97.193,95.79,96.295,96.262,97.108,97.647,97.742,98.943,98.837,99.095,100.84,101.2,101.117,101.767,102.333,100.823,101.611,102.543,102.62,104.36,105.675,106.662,108.434,103.767,102.169,102.836
"12","4","    Durable goods","DDURRD3",41.268,41.651,41.882,42.427,42.755,43.317,44.831,44.919,44.778,44.5,43.962,43.895,43.734,44.054,44.642,45.4,47.114,47.44,47.462,47.925,48.259,47.689,48.18,47.035,47.477,47.526,47.222,47.325,47.726,46.535,45.772,45.493,45.759,45.969,46.401,46.525,46.707,46.812,47.493,48.115,48.504,49.174,49.169,49.265,50.141,49.936,49.885,49.706,50.573,50.764,50.755,50.733,50.661,50.6,50.447,50.354,50.362,50.599,50.83,50.767,50.777,50.845,51.012,50.81,50.824,50.98,51.122,51.283,51.358,51.331,51.276,51.179,51.19,51.031,50.777,50.497,50.424,50.638,50.86,51.093,50.987,51.208,51.772,52.292,52.628,52.948,53.388,53.879,54.197,54.608,54.874,55.216,55.315,55.537,55.943,56.873,57.672,58.077,57.945,57.646,58.142,58.439,58.735,58.545,58.784,59.253,59.559,59.773,60.466,62.01,64.365,66.346,67.329,68.504,69.238,70.308,71.283,72.094,72.981,74.221,75.054,75.434,76.213,77.229,78.33,79.523,80.815,82.238,83.588,85.071,86.056,87.61,90.178,92.309,93.997,95.615,96.839,98.667,100.122,101.411,102.243,103.024,103.38,103.672,104.398,104.786,105.363,106.025,106.066,106.733,106.951,107.152,107.702,107.951,107.762,108.032,108.042,108.53,109.432,110.053,110.989,111.865,112.672,113.136,112.944,113.573,114.383,115.234,115.817,115.911,116.173,116.554,117.176,117.189,117.24,117.476,118.479,118.775,119.214,119.471,119.466,119.792,119.888,120.072,120.006,120.635,121.22,122.02,122.303,123.036,123.907,124.124,124.628,124.497,124.099,123.825,123.918,123.101,122.782,122.251,121.782,120.613,119.81,119.15,118.283,117.406,116.507,115.632,114.645,114.06,113.516,112.823,112.283,112.046,111.363,111.09,110.594,109.813,109.082,108.522,107.542,106.98,106.46,105.736,104.478,103.407,102.398,101.491,101.437,101.351,100.598,100.656,100.549,100.388,99.626,99.448,99.144,98.746,98.285,97.796,97.405,97.061,96.381,96.033,96.026,95.814,95.514,94.718,94.301,94.374
"13","5","    Nondurable goods","DNDGRD3",17.641,17.814,18.135,18.684,18.991,19.181,19.369,19.17,18.88,18.637,18.427,18.288,18.172,18.256,18.779,19.21,20.019,20.201,20.158,20.412,20.434,20.357,20.394,20.478,20.389,20.304,20.347,20.341,20.41,20.478,20.397,20.302,20.301,20.242,20.262,20.25,20.299,20.488,20.684,20.746,20.937,21.051,21.275,21.361,21.701,21.743,21.678,21.567,21.632,21.638,21.732,21.812,21.782,21.939,22.003,22.128,22.161,22.007,22.048,22.005,22.092,22.149,22.171,22.286,22.318,22.297,22.46,22.506,22.641,22.636,22.704,22.795,22.863,23.079,23.205,23.258,23.571,23.771,23.939,24.089,24.083,24.121,24.373,24.536,24.789,25.024,25.263,25.527,25.718,26.077,26.442,26.723,27.067,27.333,27.518,27.764,27.81,28.101,28.345,28.525,28.833,28.9,29.155,29.492,30.124,31.035,31.827,32.808,34.503,35.764,36.77,37.808,38.34,38.474,39.329,39.834,39.887,39.886,40.382,40.907,41.654,42.418,42.857,43.358,43.935,44.989,45.727,46.507,47.804,49.426,51.031,52.419,54.444,55.779,56.962,58.192,59.906,60.496,60.971,61.373,61.66,61.657,62.452,62.486,62.309,63.088,63.564,63.536,64.279,64.321,64.467,64.7,65.15,65.55,65.682,66.203,65.873,64.304,64.47,64.61,66.048,66.772,67.406,67.826,68.045,68.728,69.635,70.147,71.108,72.984,72.925,73.267,75.123,75.555,77.144,79.142,78.747,78.875,78.945,79.342,79.478,79.873,80.449,80.684,80.927,80.824,80.489,80.865,80.633,80.806,81.641,81.727,81.704,82.01,82.186,82.314,83.124,83.992,83.867,84.647,84.986,84.729,84.676,84.766,84.086,83.916,84.251,84.379,84.659,85.893,86.82,87.611,88.974,89.765,90.478,90.772,91.016,91.653,91.25,89.901,89.712,90.981,91.219,91.587,93.193,91.624,92.946,93.388,94.718,95.593,96.15,97.981,97.871,98.36,101.528,102.187,102.226,103.473,104.624,102.54,104.008,105.673,106.18,109.118,111.175,112.828,115.748,108.961,106.729,107.713
"14","6","  Services","DSERRD3",9.016,9.066,9.283,9.492,9.547,9.641,9.787,9.823,9.817,9.838,9.869,9.939,9.98,10.017,10.17,10.301,10.49,10.567,10.624,10.785,10.86,10.946,11.062,11.147,11.265,11.351,11.5,11.614,11.68,11.703,11.723,11.775,11.843,11.886,11.944,12.016,12.086,12.156,12.258,12.333,12.446,12.504,12.61,12.702,12.795,12.838,12.899,12.963,13.057,13.152,13.276,13.393,13.454,13.528,13.617,13.689,13.724,13.784,13.85,13.909,13.992,14.06,14.112,14.157,14.223,14.264,14.311,14.385,14.455,14.528,14.601,14.666,14.728,14.79,14.865,14.959,15.053,15.193,15.332,15.484,15.591,15.704,15.826,15.975,16.165,16.358,16.546,16.748,16.962,17.194,17.424,17.666,17.905,18.154,18.38,18.651,18.902,19.152,19.42,19.603,19.817,19.982,20.179,20.369,20.539,20.863,21.226,21.624,22.068,22.59,23.114,23.624,24.163,24.565,25.021,25.514,25.937,26.272,26.738,27.198,27.736,28.285,28.831,29.297,29.861,30.461,31.032,31.664,32.11,32.942,33.723,34.531,35.389,36.261,37.197,38.251,39.202,39.996,40.868,41.715,42.472,43.123,43.984,44.805,45.481,45.88,46.7,47.185,47.787,48.511,49.088,49.51,50.193,50.662,51.189,51.662,52.424,53.013,53.507,54.046,54.609,55.052,55.683,56.283,57.032,57.752,58.515,59.17,59.94,60.567,61.107,61.742,62.545,63.502,64.259,64.918,65.62,66.182,66.92,67.603,68.398,68.98,69.49,70.066,70.527,71.125,71.567,71.957,72.453,72.917,73.468,73.968,74.549,75.145,75.632,76.137,76.549,77.139,77.78,78.429,79.012,79.587,80.065,80.579,80.992,81.468,81.907,82.388,82.843,83.244,83.693,84.251,85.05,85.41,86.056,86.751,87.706,88.275,88.553,89.171,89.717,90.464,91.182,91.851,92.553,93.387,94.057,94.748,95.506,96.306,97.168,97.741,98.697,99.512,100.299,101.462,102.164,102.99,103.838,104.624,105.663,106.429,107.325,108.426,109.213,110.297,111.276,111.543,111.75,111.945
"15","7","Gross private domestic investment","A006RD3",17.805,18.592,19.413,20.165,19.943,20.011,20.683,21.265,20.999,20.305,20.472,20.391,20.576,20.79,21.476,22.255,23.427,23.891,23.71,23.724,23.54,23.196,23.794,23.546,23.382,23.41,23.659,23.426,23.265,23.206,23.568,23.806,23.91,23.836,24.151,24.951,25.513,25.258,25.938,25.782,26.416,26.501,26.361,25.49,25.675,25.515,26.281,26.97,26.555,26.451,26.43,26.483,26.854,26.726,26.552,26.22,26.386,26.466,26.545,26.703,26.738,26.554,26.498,26.396,26.323,26.429,26.377,26.718,26.521,26.62,26.49,26.818,26.957,26.996,26.922,27.276,27.203,27.488,27.652,28.047,28.112,28.084,28.364,28.713,29.012,29.15,29.35,30.011,30.372,30.605,30.813,31.293,31.592,32.17,32.073,32.48,33.065,33.489,33.891,34.199,34.423,34.683,35.161,35.97,36.012,36.406,37.23,38.208,38.665,40.171,41.412,42.762,44.333,45.532,46.052,46.672,46.93,47.757,48.482,49.513,50.539,50.982,51.544,54.04,54.539,55.422,56.319,57.679,58.704,60.29,62.098,63.487,64.674,66.199,67.554,68.847,70.825,72.816,73.705,75.316,76.029,76.716,77.311,77.528,76.978,76.654,76.521,76.781,76.992,77.149,77.278,77.608,77.64,77.944,77.948,78.621,78.953,79.6,79.942,80.279,80.881,81.047,81.164,81.976,82.702,83.049,83.051,83.645,84.52,84.95,85.191,85.772,86.183,86.404,86.913,87.193,87.916,87.929,88.112,87.928,87.33,87.511,87.76,87.961,88.276,88.625,88.785,89.078,89.441,89.64,90.123,90.271,90.526,90.787,91.149,91.047,90.903,90.696,89.995,90.475,90.996,89.706,90.038,89.826,89.371,89.036,88.98,89.127,89.355,88.97,88.942,88.766,89.458,89.716,90.174,90.418,90.365,90.556,90.928,91.069,90.983,91.017,90.954,91.623,92.186,92.041,92.339,93.054,94.091,95.157,96.114,97.087,98.177,99.239,100.542,101.976,103.171,104.019,104.658,105.567,106.309,106.467,106.71,107.037,106.333,106.815,107.637,108.85,108.43,107.718
"16","8","  Fixed investment","A007RD3",16.779,17.438,17.883,18.251,18.448,18.864,19.455,19.681,19.641,19.608,19.378,19.295,19.281,19.59,20.144,20.532,21.247,21.578,21.751,21.978,22.081,22.183,22.212,22.163,22.177,22.293,22.475,22.431,22.438,22.532,22.529,22.548,22.539,22.695,22.978,23.286,23.777,24.035,24.456,24.64,24.875,24.987,25.158,25.26,25.028,25.131,25.159,25.214,25.259,25.355,25.424,25.462,25.493,25.543,25.53,25.48,25.426,25.444,25.427,25.426,25.443,25.463,25.456,25.426,25.44,25.395,25.303,25.361,25.274,25.498,25.526,25.806,25.819,25.873,25.915,26.227,26.091,26.547,26.542,26.873,26.985,27.108,27.278,27.612,27.894,28.163,28.332,28.973,29.282,29.601,29.854,30.247,30.473,31.161,31.06,31.418,31.963,32.42,32.806,33.107,33.52,33.737,34.074,34.566,34.907,35.523,36.279,36.744,37.459,38.555,40.076,41.695,43.148,44.153,44.659,45.324,45.775,46.565,47.216,47.951,49.002,49.937,51.071,52.17,53.159,54.275,55.324,56.442,57.651,59.157,60.62,61.85,63.287,64.755,66.151,67.582,69.385,70.942,72.134,73.535,74.548,75.414,75.822,75.93,75.569,75.256,75.144,75.238,75.309,75.64,75.876,76.085,76.317,76.428,76.751,77.251,77.607,78.199,78.877,79.412,79.665,79.763,79.908,80.565,81.284,81.782,82.159,82.958,83.371,83.879,84.229,84.673,85.148,85.424,85.965,86.496,87.124,87.109,87.071,86.777,86.614,86.651,86.785,87.01,87.491,87.76,87.972,88.1,88.588,88.864,89.206,89.407,89.775,90.072,90.194,90.195,89.903,89.63,89.893,89.841,89.697,89.588,89.61,89.47,89.003,88.749,88.676,88.615,88.744,88.731,88.605,88.725,89.278,89.576,89.984,90.15,90.123,90.447,90.843,90.819,90.748,90.75,90.753,91.452,92.081,91.909,92.178,92.999,93.933,95.059,96.082,96.975,98.118,99.214,100.589,102.006,103.2,104.101,104.727,105.689,106.383,106.59,106.802,107.098,106.918,107.225,107.885,108.238,107.689,107.007
"17","9","    Nonresidential","A008RD3",21.388,22.071,22.666,23.063,23.194,23.864,24.719,25.088,24.902,24.857,24.743,24.578,24.595,24.825,25.346,26.218,27.145,27.62,27.875,28.188,28.327,28.4,28.305,28.308,28.32,28.535,28.759,28.739,28.848,28.996,28.787,28.831,28.716,28.883,29.354,29.983,30.842,31.108,31.921,32.357,32.862,33.041,33.269,33.527,33.153,33.339,33.396,33.491,33.552,33.743,33.894,33.958,33.966,33.997,33.966,33.845,33.792,33.758,33.718,33.733,33.735,33.779,33.77,33.733,33.756,33.735,33.76,33.752,33.75,33.907,33.915,34.099,34.148,34.235,34.33,34.5,34.447,34.786,34.858,35.179,35.363,35.547,35.782,36.126,36.391,36.746,37.054,37.632,37.897,38.249,38.652,39.135,39.555,40.243,40.469,41.003,41.574,42.072,42.444,42.702,43.185,43.503,43.776,44.021,44.37,44.988,45.666,46.15,46.984,48.482,50.548,52.862,54.915,56.331,57.037,57.828,58.496,59.211,59.987,60.869,62.152,63.106,64.22,65.344,66.264,67.38,68.476,69.653,71.178,72.774,74.342,75.741,77.432,79.23,80.904,82.569,84.892,86.973,88.538,90.371,91.61,92.614,93.054,93.113,92.411,91.832,91.486,91.344,91.257,91.538,91.605,91.696,91.907,92.016,92.319,92.748,92.915,93.55,94.194,94.635,94.635,94.487,94.379,95.127,95.973,96.441,96.819,97.775,98.171,98.53,98.974,99.467,99.925,100.219,100.915,101.697,102.585,102.414,102.141,101.808,101.679,101.385,101.329,101.179,101.499,101.559,101.535,101.563,101.877,102.085,102.184,101.966,102.064,102.351,102.388,102.184,101.591,100.987,100.972,100.707,100.3,99.959,99.685,99.208,98.404,97.784,97.323,96.901,96.746,96.346,95.866,95.771,95.988,96.092,96.417,96.366,95.858,95.889,95.848,95.546,95.523,95.307,95.148,95.473,95.414,95.128,95.245,95.625,95.912,96.584,97.091,97.677,98.765,99.559,100.237,101.391,102.269,103.1,103.866,104.854,105.67,106.09,106.346,106.695,106.633,107.187,108.348,109.536,109.191,108.158
"18","10","      Structures","A009RD3",7.5,7.596,7.861,8.122,8.335,8.563,8.784,8.867,8.72,8.6,8.555,8.568,8.547,8.519,8.703,9.075,9.445,9.679,9.842,9.934,10.014,9.981,9.959,9.98,10.01,10.151,10.281,10.266,10.126,10.025,10.029,10.042,10.066,10.146,10.282,10.511,10.979,10.946,11.245,11.358,11.48,11.624,11.685,11.657,11.341,11.413,11.457,11.493,11.413,11.478,11.521,11.531,11.572,11.502,11.45,11.372,11.372,11.393,11.404,11.445,11.462,11.5,11.489,11.523,11.558,11.581,11.61,11.62,11.602,11.733,11.748,11.931,11.952,12.039,12.069,12.309,12.282,12.554,12.571,12.732,12.784,12.853,12.941,13.121,13.306,13.473,13.58,13.921,14.116,14.348,14.546,14.824,14.977,15.447,15.492,15.75,16.074,16.439,16.803,17.097,17.432,17.648,17.876,18.219,18.484,18.879,19.408,19.892,20.445,21.347,22.346,23.283,23.951,24.375,24.586,24.874,25.027,25.478,25.853,26.212,27.042,27.525,28.137,28.715,29.312,30.118,30.853,31.699,32.596,33.61,34.665,35.418,36.045,36.783,37.56,38.714,40.34,41.724,42.905,44.378,45.382,45.862,46.004,45.802,45.004,44.542,44.44,44.368,44.418,44.865,45.155,45.425,45.775,45.885,46.129,46.401,46.6,46.84,47.046,47.283,47.285,47.479,47.733,48.2,48.964,49.455,49.942,50.474,50.899,51.497,51.899,52.303,52.748,53.121,53.562,53.888,54.364,54.45,54.425,53.883,53.866,54.087,54.38,54.847,55.328,55.863,56.35,56.852,57.27,57.604,58.304,59.127,59.844,60.241,60.899,61.403,61.454,61.68,62.467,62.898,63.511,64.094,64.815,65.593,66.516,67.231,67.784,68.34,68.831,69.281,69.764,70.36,71.188,71.834,72.596,73.467,74.525,75.67,76.889,77.368,78.101,78.958,79.668,80.601,81.561,81.602,82.205,83.319,85.052,86.992,89.425,92.206,95.073,97.72,101.491,105.853,108.78,111.706,113.855,117.002,119.626,120.725,121.735,122.77,122.957,123.793,125.815,128.243,127.097,124.105
"19","11","      Equipment and software","A010RD3",33.446,34.855,35.642,35.966,35.785,36.841,38.373,39.062,38.977,39.177,39.011,38.56,38.66,39.3,40.108,41.313,42.648,43.205,43.409,43.943,44.077,44.346,44.171,44.122,44.074,44.228,44.43,44.411,45.093,45.789,45.226,45.304,44.936,45.134,45.951,46.911,47.778,48.561,49.785,50.583,51.546,51.585,51.997,52.753,52.755,53.028,53.04,53.183,53.593,53.901,54.164,54.305,54.203,54.498,54.58,54.506,54.365,54.206,54.063,53.974,53.925,53.923,53.933,53.733,53.691,53.577,53.557,53.512,53.556,53.59,53.567,53.529,53.594,53.577,53.736,53.524,53.47,53.617,53.755,54.137,54.454,54.728,55.083,55.48,55.677,56.132,56.613,57.196,57.375,57.679,58.18,58.686,59.33,59.888,60.323,61.001,61.614,61.967,62.029,61.994,62.397,62.677,62.828,62.695,62.95,63.562,64.064,64.232,65.05,66.678,69.366,72.691,75.927,78.224,79.369,80.562,81.726,82.475,83.489,84.752,86.097,87.312,88.653,90.067,91.044,92.109,93.226,94.332,96.087,97.814,99.405,101.115,103.643,106.212,108.443,109.991,112.131,114.189,115.498,116.834,117.7,119.037,119.75,120.24,120.119,119.65,119.085,118.898,118.652,118.552,118.254,118.037,117.933,117.987,118.241,118.713,118.771,119.697,120.672,121.213,121.202,120.674,120.154,120.997,121.667,121.962,122.096,123.256,123.497,123.483,123.85,124.3,124.641,124.759,125.545,126.621,127.726,127.325,126.865,126.808,126.594,125.875,125.513,124.846,124.979,124.641,124.21,123.859,124.061,124.153,123.792,122.846,122.503,122.688,122.285,121.609,120.626,119.516,118.98,118.284,117.245,116.346,115.474,114.254,112.458,111.089,110.064,109.119,108.635,107.812,106.863,106.422,106.321,106.152,106.25,105.741,104.479,103.964,103.285,102.611,102.249,101.565,101.044,101.115,100.63,100.206,100.122,100.208,99.929,100.11,99.891,99.674,100.119,100.238,99.815,99.842,99.978,100.042,100.283,100.468,100.606,100.762,100.712,100.777,100.609,101.046,101.83,102.45,102.485,102.36
"20","12","    Residential","A011RD3",9.19,9.703,9.923,10.18,10.376,10.5,10.749,10.811,10.896,10.882,10.623,10.621,10.595,10.862,11.276,11.262,11.644,11.786,11.852,11.958,12.012,12.112,12.225,12.151,12.162,12.177,12.283,12.232,12.161,12.194,12.336,12.333,12.393,12.499,12.585,12.592,12.694,12.888,12.909,12.852,12.814,12.846,12.933,12.884,12.823,12.837,12.837,12.847,12.867,12.877,12.873,12.883,12.922,12.971,12.973,12.988,12.946,12.996,13,12.988,13.011,13.009,13.005,12.987,12.991,12.941,12.797,12.883,12.765,12.972,13.008,13.29,13.272,13.288,13.278,13.655,13.473,13.968,13.883,14.183,14.194,14.233,14.309,14.58,14.836,14.978,14.986,15.581,15.882,16.118,16.18,16.424,16.41,17.021,16.562,16.69,17.122,17.463,17.788,18.062,18.325,18.415,18.729,19.313,19.582,20.075,20.767,21.141,21.627,22.134,22.842,23.446,24.009,24.41,24.626,25.064,25.215,25.958,26.377,26.844,27.486,28.231,29.166,30.045,30.929,31.858,32.689,33.566,34.245,35.434,36.58,37.467,38.442,39.345,40.25,41.247,42.165,42.833,43.371,43.996,44.62,45.263,45.632,45.835,46.053,46.165,46.394,46.811,47.103,47.486,47.948,48.314,48.556,48.657,48.985,49.55,50.141,50.622,51.275,51.878,52.43,52.833,53.287,53.763,54.243,54.733,55.073,55.59,55.996,56.677,56.871,57.217,57.691,57.925,58.194,58.286,58.445,58.702,59.061,58.852,58.658,59.2,59.619,60.402,61.093,61.664,62.225,62.504,63.235,63.605,64.295,65.141,65.941,66.25,66.521,66.884,67.132,67.442,68.19,68.529,68.877,69.207,69.802,70.319,70.512,70.989,71.694,72.365,73.08,73.878,74.51,75.102,76.403,77.142,77.747,78.397,79.446,80.416,81.764,82.329,82.156,82.592,82.904,84.308,86.203,86.248,86.806,88.427,90.507,92.425,94.338,95.76,96.981,98.6,101.198,103.107,104.921,105.992,106.355,107.254,107.641,107.323,107.447,107.652,107.209,106.755,105.71,103.097,101.815,102.439
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","A020RD3",21.561,23.146,24.303,24.874,25,24.846,24.537,24.145,23.713,23.271,22.906,22.667,22.309,22.359,22.567,22.978,24.329,25.209,25.942,26.374,25.729,25.659,25.616,25.58,25.679,25.635,25.554,25.447,25.328,25.239,25.188,25.182,25.256,25.364,25.492,25.663,25.857,26.122,26.419,26.728,27.106,27.317,27.401,27.37,27.102,26.99,26.969,27.011,26.861,26.897,27.12,27.405,27.444,27.4,27.53,27.441,27.57,27.935,27.886,28.093,28.14,27.875,27.857,27.895,27.935,27.894,27.828,27.855,27.923,27.914,28.137,28.444,29.089,28.993,29.023,28.916,29.391,29.634,29.978,30.492,31.022,30.983,30.953,31.126,31.353,31.998,31.607,31.827,32.301,32.351,32.793,33.547,33.527,34.188,34.122,34.251,35.247,35.335,35.172,35.39,36.437,36.716,36.843,37.658,38.695,40.416,42.759,44.952,48.134,49.818,52.646,55.335,56.872,56.695,56.516,56.855,57.677,58.308,58.653,59.709,60.403,61.298,60.984,61.253,62.419,63.951,64.985,67.115,69.101,71.926,73.629,75.002,77.234,78.313,80.54,83.264,85.336,85.708,85.834,86.105,86.612,86.541,85.915,85.415,85.777,86.092,86.577,87.431,87.549,88.115,87.222,86.286,85.334,85.004,84.115,83.984,83.55,83.238,82.922,83.652,84.002,85.194,85.492,86.936,87.948,89.79,90.913,90.739,91.634,91.775,91.195,90.912,91.01,91.258,92.141,93.524,93.829,93.345,92.768,92.951,92.834,92.916,92.897,92.687,92.731,92.93,92.822,92.749,93.165,93.517,94.002,94.61,95.651,96.411,96.183,95.745,95.569,95.254,94.569,93.61,93.362,93.311,93.07,92.686,91.763,91.299,90.58,90.259,90.095,90.237,90.429,90.843,91.414,91.962,92.232,92.361,92.347,91.937,91.477,90.636,90.447,90.997,91.681,91.864,92.754,92.957,93.179,93.925,95.113,96.284,96.765,97.842,98.916,99.614,100.33,101.091,101.817,103.112,104.377,104.411,105.318,106.47,107.344,109.089,111.1,113.833,115.58,108.816,105.213,105.315
