"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"22","15","  Goods \1\","A255RC1",757.4,807.4,885.7,930.8,1047.7,1246.5,1171.7,1193.9,1289.3,1501.7,1708,1884.9,1987.7,2126.4
"23","16","    Durable","A333RC1",510.8,533.4,588.5,637.7,716.7,823.6,758.3,774.5,806.6,936.3,1025.4,1130.2,1175.1,1160.9
"24","17","    Nondurable","A340RC1",246.7,274.1,297.1,293,331,422.9,413.4,419.3,482.6,565.4,682.6,754.7,812.5,965.5
"25","18","  Services \1\","B656RC1",145.1,156.5,170.1,184.9,203.7,228.8,227,236.3,255.9,297.3,319.8,355.4,382.1,412.4
"26","19","Income payments","A655RC1",199.6,214.2,256.1,268.9,291.7,342.8,271.1,264.4,284.6,357.4,475.9,648.6,746,667.3
"27","20","  Wage and salary payments","B4189C1",6.3,6.3,6.7,7,8,7.5,8.1,8.4,8.5,9,9.3,9.5,10.1,10.4
"28","21","  Income payments on assets","W161RC1",193.3,207.9,249.4,261.9,283.7,335.2,263,256,276.1,348.4,466.6,639.1,736,656.9
"29","22","    Interest","B1869C1",158.9,170.5,201.4,217.9,228.4,278.4,250.1,209.5,192.7,225.2,322,461.5,579.2,489.9
"30","23","    Dividends","B3376C1",25.8,28.7,32.8,41,51,56.9,46.5,44.8,68.9,73.3,102.5,108.1,107.1,112.1
"31","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",8.6,8.7,15.2,3,4.3,-0.1,-33.7,1.8,14.5,49.8,42.1,69.5,49.7,55
"32","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1",44.1,49.5,51.4,60,57.6,66.1,72.6,73.5,80.7,97.1,115,101.5,126.6,141.4
"33","26","  From persons (net)","B070RC1",20.3,22.6,25.7,29.7,32.2,34.6,38.1,40.6,41.2,43.6,48.4,51.6,58.7,64.5
"34","27","  From government (net)","B088RC1",15.6,20,16.7,17.4,18,20,16.2,21.6,25.8,27.2,35.3,28.8,36.5,40.8
"35","28","  From business (net)","W164RC1",8.2,6.9,9.1,13,7.4,11.4,18.3,11.3,13.7,26.3,31.3,21.1,31.4,36.2
"36","29","    Balance on current account, NIPAs","A124RC1",-105.1,-114.1,-129.3,-204.5,-291.9,-410.4,-391.6,-451.6,-516.1,-624.6,-740.5,-798.4,-724.7,-707.2
"37",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","  Net lending or net borrowing (-), NIPAs \2\","W162RC1",-106.2,-115.1,-130.6,-205.5,-297.1,-411.7,-380,-453.4,-519.9,-623.5,-729.5,-802.6,-726.8,-706.8
"39","31","    Balance on current account, NIPAs","A124RC1",-105.1,-114.1,-129.3,-204.5,-291.9,-410.4,-391.6,-451.6,-516.1,-624.6,-740.5,-798.4,-724.7,-707.2
"40","32","    Less:Capital account transactions (net) \3\","W167RC1",1.1,0.9,1.2,1,5.2,1.4,-11.7,1.8,3.8,-1.1,-11.1,4.2,2.2,-0.4
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Prior to 1982, equals the balance on current account, NIPAs (line 31); estimates of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","capital account transactions (line 32) are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","nonfinancial assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
