"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","Less: Income payments to the rest of the world","A655RA3",49.47,51.159,54.095,52.595,51.712,53.439,55.693,57.697,62.01,63.108,65.654,65.751,65.732,67.079,67.395,66.704,66.568,68.861,74.033,75.571,79.398,83.52,82.447,81.337,74.636,66.78,65.522,46.482,57.233,64.251,64.338,57.389,63.13,62.465,64.833,65.369,67.961,76.244,78.084,89.091,91.461,96.353,99.402,112.785,119.009,130.681,137.613,140.567,145.066,154.177,149.963,141.833,132.874,136.471,126.147,116.451,92.143,NA
"12","4","Equals: Gross national product","B001RA3",71.169,71.347,71.807,72.415,72.968,74.14,74.751,75.612,76.112,77.31,78.204,78.743,79.567,80.257,81.193,82.613,83.451,84.147,85.186,86.804,86.99,88.711,88.747,89.485,89.068,89.721,89.277,90.133,90.566,90.888,91.465,91.633,91.883,92.727,94.269,95.325,96.138,96.604,97.393,98.023,99.27,99.599,100.424,100.707,102.032,102.354,102.274,103.094,103.337,104.243,105.622,106.5,106.202,106.267,105.773,103.965,102.219,NA
"13","5","Less: Consumption of fixed capital","A262RA3",60.376,61.065,61.782,62.525,63.299,64.101,64.94,65.81,66.71,67.673,68.692,69.766,70.898,72.07,73.279,74.525,75.809,77.126,78.471,79.849,81.259,82.598,83.869,85.064,86.18,87.214,88.154,89.002,89.758,90.483,91.177,91.84,92.473,93.141,93.836,94.567,95.358,96.153,96.953,97.754,98.56,99.458,100.449,101.533,102.334,103.213,104.143,105.119,106.142,107.174,108.214,109.261,110.317,111.123,111.68,111.994,112.421,112.573
"14","6","        Private","A024RA3",57.224,57.98,58.766,59.582,60.429,61.313,62.235,63.196,64.196,65.257,66.382,67.571,68.825,70.115,71.443,72.807,74.208,75.648,77.125,78.64,80.192,81.668,83.065,84.381,85.614,86.74,87.756,88.662,89.456,90.213,90.933,91.615,92.259,92.938,93.653,94.403,95.188,95.988,96.802,97.631,98.474,99.422,100.474,101.63,102.475,103.378,104.341,105.363,106.442,107.519,108.592,109.661,110.726,111.523,112.054,112.319,112.631,112.583
"15","7","        Government","A264RA3",77.709,77.997,78.312,78.632,78.985,79.309,79.67,80.024,80.35,80.752,81.178,81.607,82.053,82.566,83.116,83.71,84.352,85.003,85.63,86.266,86.913,87.522,88.115,88.668,89.157,89.706,90.24,90.783,91.335,91.891,92.451,93.016,93.591,94.199,94.788,95.423,96.242,97.014,97.736,98.393,99.006,99.641,100.321,101.032,101.609,102.364,103.125,103.871,104.607,105.419,106.295,107.23,108.244,109.093,109.783,110.33,111.308,112.418
"16","8","          General government","A265RA3",78.847,79.101,79.378,79.662,79.974,80.267,80.609,80.946,81.289,81.676,82.076,82.486,82.91,83.4,83.919,84.484,85.09,85.706,86.308,86.915,87.533,88.118,88.694,89.227,89.696,90.235,90.755,91.278,91.817,92.351,92.873,93.389,93.902,94.452,94.983,95.562,96.345,97.079,97.776,98.412,99.006,99.637,100.32,101.038,101.795,102.571,103.355,104.121,104.873,105.723,106.655,107.668,108.778,109.699,110.433,111.009,112.094,113.332
"17","9","          Government enterprises","A266RA3",71.757,72.234,72.749,73.271,73.849,74.346,74.806,75.254,75.496,75.972,76.535,77.072,77.635,78.272,78.986,79.731,80.56,81.401,82.162,82.948,83.743,84.476,85.16,85.818,86.414,87.016,87.62,88.267,88.885,89.558,90.313,91.13,92.017,92.921,93.805,94.723,95.728,96.69,97.538,98.299,99.007,99.661,100.329,101.003,100.681,101.332,101.982,102.63,103.283,103.908,104.503,105.054,105.6,106.094,106.568,106.976,107.431,107.92
"18","10","Equals: Net national product","A027RA3",72.753,72.85,73.27,73.856,74.373,75.601,76.176,77.035,77.473,78.706,79.58,80.038,80.816,81.434,82.328,83.773,84.546,85.151,86.145,87.798,87.806,89.581,89.44,90.111,89.475,90.073,89.434,90.291,90.678,90.944,91.505,91.604,91.802,92.67,94.328,95.43,96.245,96.666,97.454,98.06,99.368,99.619,100.42,100.593,101.99,102.236,102.015,102.814,102.95,103.838,105.264,106.118,105.635,105.599,104.96,102.863,100.819,NA
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",73.043,73.111,73.693,74.158,74.611,75.947,76.564,77.374,77.909,79.068,80.034,80.565,81.255,81.905,82.948,84.387,85.046,85.604,86.639,88.2,88.255,90.012,89.912,90.343,89.843,90.365,89.949,90.19,90.966,91.413,91.836,91.765,92.101,92.845,94.522,95.388,96.042,96.708,97.406,98.256,99.26,99.617,100.341,100.781,102.177,102.474,102.375,103.094,103.305,104.099,105.01,105.497,105.132,105.456,104.563,102.875,100.867,100.549
