"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Wage and salary accruals","A034RC1",3377,3411.6,3454.6,3494.4,3529.5,3594.2,3650.2,3706.2,3774.2,3832.3,3900.5,3987.6,4075.2,4145.2,4216.2,4287.1,4375.5,4417.9,4479.5,4587.8,4755,4781.9,4874.4,4899.5,4988.1,4961.4,4932.4,4926.8,4963.6,5003,5006.3,5016.4,5061,5123.5,5184.6,5249.4,5275.9,5363.6,5468.9,5534.4,5584.2,5651.7,5758.3,5829.7,5958.9,6018.6,6075.4,6227.6,6318.6,6372.2,6412.5,6507.3,6533,6539.2,6567.7,6523.5,6358.9,6258.1
"12","4","    Government","A553RC1",624.9,627.6,630.2,633.4,641.5,646.3,650.1,654.4,663.2,667.8,674.7,681.5,691.1,698,705,710.8,721.3,728,737.5,748,765.8,778.6,784.1,790.4,804.4,815.4,828.4,839.3,861.6,870.4,877.8,882.7,904.8,912.4,915.6,920.4,941.9,950.7,955.8,962.7,982.4,987.6,994.5,1001.4,1019,1028.3,1041,1052.3,1073.2,1084.2,1093.2,1105.8,1125.3,1136.4,1148.5,1154.9,1171.8,1184.4
"13","5","    Other","B203RC1",2752.1,2784.1,2824.4,2860.9,2888,2947.9,3000.1,3051.8,3111,3164.6,3225.7,3306,3384.1,3447.2,3511.3,3576.2,3654.3,3689.9,3742,3839.8,3989.2,4003.4,4090.2,4109.1,4183.7,4146,4104,4087.6,4102,4132.6,4128.5,4133.7,4156.1,4211,4269,4328.9,4334,4412.9,4513.1,4571.6,4601.7,4664.1,4763.9,4828.3,4939.9,4990.3,5034.5,5175.4,5245.3,5288,5319.4,5401.4,5407.7,5402.8,5419.2,5368.6,5187.1,5073.7
"14","6","  Supplements to wages and salaries","A038RC1",758.5,759.7,761.8,763.1,766.1,770.1,773.2,776.1,780.5,785.6,794.8,807.1,823.2,836.8,849.2,860.1,870.9,880,892.5,911.6,937,949.5,971.5,986.6,1005.8,1018.5,1033.3,1050.8,1074.9,1098.4,1122.6,1158.3,1194.9,1222.9,1241,1253.2,1263.9,1272.8,1287.4,1306.8,1336.9,1351.9,1370.1,1377.4,1394.8,1401.3,1408.7,1422.6,1438.6,1447.5,1457.1,1472.1,1484.5,1493.5,1501.4,1506.8,1500.2,1498.4
"15","7","    Employer contributions for employee pension and insurance funds","B040RC1",497.7,496.8,496.5,495.6,496.5,496.7,496.7,496.4,496.7,498.5,503.7,510.6,522.1,531.6,539.9,546.8,551.6,559,568.9,582.2,595.8,607.9,623.6,636.4,646.5,660.1,676.3,693.6,711.5,731.9,755.7,790.5,819.3,842.6,856.9,863.4,863.1,867.3,876.4,891.7,914.3,927.7,939.7,944.6,950.7,956.8,962.7,970.4,980.5,989.4,996.9,1005.2,1014,1021.7,1026.7,1033.2,1037.8,1041.7
"16","8","    Employer contributions for government social insurance","B039RC1",260.8,262.9,265.3,267.5,269.6,273.4,276.5,279.7,283.8,287.1,291,296.5,301.1,305.2,309.3,313.3,319.3,321,323.6,329.4,341.2,341.6,347.9,350.2,359.3,358.4,357,357.2,363.3,366.5,366.8,367.8,375.6,380.2,384.1,389.7,400.8,405.5,411,415.1,422.6,424.2,430.4,432.8,444.1,444.5,445.9,452.2,458.1,458.2,460.2,466.9,470.5,471.8,474.7,473.6,462.4,456.6
"17","9","Proprietors' income with IVA and CCAdj","A041RC1",500.4,506.3,520,537.4,560.2,586.5,588.6,599.4,619.6,619.4,632.8,641.1,663.6,677,692.9,716.6,729.6,738.9,750.6,768.1,783.7,819.4,826.7,840.1,867.4,871.6,878.1,865.8,880.5,884.2,893.3,903.2,889.6,919.1,945.8,968.1,1002.1,1029.8,1040.1,1063.1,1046.8,1054,1082.6,1095.8,1126.9,1133.2,1131.2,1140.6,1094.2,1096,1093.2,1102.1,1115.2,1111.9,1114.4,1083.6,1037.8,1023.4
"18","10","  Farm","B042RC1",21.6,19.8,22.8,29.5,38.2,45.4,34.6,35.6,38.2,28.3,32.5,31.4,28.2,26.8,27.1,33.4,34.3,28.7,26.6,24.3,25.8,31.6,29.7,31.5,32.1,30.8,31.1,28.1,16.3,11.6,20.1,25.8,29.9,37.5,38.3,40.4,54.2,52,44,48.5,43.7,46.4,45.6,39.9,28.4,28.4,28.4,32.2,36.7,35.7,37.5,47.9,57.2,49.4,49.3,39,27.3,27.2
"19","11","  Nonfarm","A045RC1",478.8,486.5,497.2,507.9,522,541.1,554,563.8,581.5,591.1,600.3,609.7,635.5,650.2,665.8,683.1,695.3,710.1,724.1,743.7,758,787.8,796.9,808.6,835.4,840.8,846.9,837.7,864.3,872.6,873.2,877.4,859.7,881.6,907.4,927.7,947.9,977.8,996.1,1014.6,1003.1,1007.6,1037,1055.9,1098.5,1104.8,1102.8,1108.4,1057.5,1060.3,1055.7,1054.2,1057.9,1062.5,1065.1,1044.5,1010.5,996.2
"20","12","Rental income of persons with CCAdj","A048RC1",151,153,152.8,161.5,166.7,168.4,172.1,174.5,174.9,175.9,176.4,178.9,182.7,188.6,195.7,198.8,203,206.9,209.2,213.5,214.6,212.1,213.3,221.1,225.3,230.6,239.5,234.1,229.2,231.7,212.7,201.4,209.7,204.2,186.2,216.6,204.2,197.1,196.8,195.4,190.7,181.5,168.4,172.3,161.3,153.2,140.3,131.2,121.1,140.3,150.2,168,179.9,202.8,222.2,236.7,245.9,255.2
"21","13","Corporate profits with IVA and CCAdj","A051RC1",674.8,702.2,737.7,750,783.2,795.9,802.1,824.8,855.7,878.8,912,892.9,817.7,811.5,820.1,800.3,859.7,859.4,848.4,857.6,840.5,831.7,814.7,790,782.8,812.3,765,776.6,830.3,852,869.8,936.7,917.5,950.1,992.7,1050.9,1187.2,1226.9,1292.2,1281.4,1408.2,1429,1454.7,1532.5,1590.9,1597.7,1655.1,1589.6,1535.4,1594.9,1537.1,1499.4,1459.7,1403.7,1454.6,1123.6,1182.7,NA
"22","14","  Taxes on corporate income","A054RC1",217.6,214.8,221.7,217.3,221.6,233.4,233.8,237.1,238.2,242.9,255.1,245.5,248.5,245.5,252.2,247.2,256.2,254.1,259.2,265.7,274.3,273.1,254.7,258.3,224.5,216.6,195,177,179.3,186,193.7,210.4,231.5,227,247.2,269.3,277.6,298.2,320.4,328.1,405.1,395.6,403.1,445.7,460.7,475.1,496.6,460.7,469.5,466.5,440,430.1,323.2,317.5,304.8,223.3,270.3,NA
"23","15","  Profits after tax with IVA and CCAdj","A551RC1",457.3,487.4,516.1,532.7,561.6,562.5,568.3,587.7,617.5,635.8,656.9,647.5,569.2,566,567.9,553.1,603.5,605.4,589.2,591.9,566.2,558.6,560,531.8,558.3,595.6,569.9,599.6,651.1,666,676,726.3,685.9,723.1,745.5,781.6,909.6,928.7,971.8,953.3,1003.1,1033.3,1051.6,1086.8,1130.2,1122.6,1158.5,1128.8,1065.9,1128.4,1097.1,1069.3,1136.4,1086.3,1149.8,900.4,912.4,NA
"24","16","    Net dividends","B056RC1",244.9,248.9,256.4,267.4,280.9,293.4,304,312.6,319.6,327,334.9,343.3,351.4,355.1,353.3,346,335.3,331,335.3,348,366.7,379.5,384.2,381.1,371.9,366.9,368.5,376.4,389.2,399,404.2,404.6,402.8,409.8,428.4,458.4,496.1,524.4,539.5,641.3,534.1,538.8,559.7,596.7,646.4,691.1,727.1,754.5,772.6,778.1,770.6,749.9,719.4,693.7,676.6,669.9,618.1,558.3
"25","17","    Undistributed profits with IVA and CCAdj","A127RC1",212.3,238.5,259.6,265.3,280.8,269.1,264.3,275.1,297.9,308.8,322,304.1,217.8,210.9,214.6,207.1,268.2,274.3,253.9,243.9,199.6,179.1,175.7,150.7,186.4,228.8,201.4,223.2,261.8,267,271.8,321.8,283.1,313.3,317,323.2,413.5,404.3,432.3,312,469,494.5,492,490,483.9,431.5,431.4,374.3,293.3,350.3,326.5,319.4,417.1,392.6,473.2,230.5,294.2,NA
"26","18","Net interest and miscellaneous payments","W255RC1",371,358.1,351.9,352.3,354.1,366.4,375.3,388.6,397.3,401.6,408.5,422.8,458.5,480.8,491.2,486.8,469,477,483.6,495.9,532.1,543.9,543.2,537.8,541.8,547.7,544.3,543.6,529.1,505.7,494.2,496.5,511.9,511.5,501,492.1,467.7,460.6,454,464.2,509.4,528,558,576.9,608.9,654.4,661.6,684,690.6,711.3,756,798.9,790.7,809,806.1,854.7,826.2,805.2
"27","19","Taxes on production and imports","W056RC1",554.9,553.7,559.2,563.9,570.8,577.7,581.6,592.9,595.6,610.3,616.6,624,629.1,635.5,643,650.3,657.5,667.1,679,690.8,698.6,707.3,711.3,717.1,724.1,724.1,725.4,737.2,745.2,756.9,772.1,777,787.9,799.5,813,826.9,843.5,855.7,867.9,886.5,905.6,925.1,939.6,950.3,971.5,983.3,991.6,1000.7,1015.3,1025.2,1032.2,1042.3,1042.5,1050.8,1058.5,1037.3,1018.8,1026.5
"28","20","Less: Subsidies \1\","A107RC1",34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.4,41.7,44.9,57.1,47,47.3,44.8,43.6,44.9,52.2,56.9,61,62.1,63.7,55.6,51.4,49.8,48.7,49.2,58.3,56,55.4,53.1,52.9,52.9,55.2,55.5,55.1
"29","21","Business current transfer payments (net)","B029RC1",44.7,45.7,46.8,46.2,48.1,49.2,49.9,67.8,48.4,48.6,54.5,53.7,60.3,61.4,63.8,75.3,66.3,67.2,69.1,73.2,80.8,84.6,88.9,93.5,99.9,102.8,102.6,99.8,90.3,84.2,79.4,75.6,77.3,75.8,75.8,75.7,77.8,80,79,89.9,96.5,99.6,95.2,92.3,82.8,79.3,83.6,86.1,97.8,99,105,107,114.8,112.6,116,131.8,137.9,145.2
"30","22","  To persons (net)","B931RC1",16,17.8,19.6,21.4,22.8,23.5,23.2,21.9,19.7,18.7,19,20.4,22.8,25.1,27.1,28.9,31.2,32.8,34.8,37.1,39.8,41.5,43.3,45.2,46.7,48,47.4,44.9,40.8,36.1,31.8,28.2,28.8,26.8,24.7,22.4,17.6,16.2,16.1,17.9,23.8,26.5,27.3,25.8,21.7,19.8,20.6,23.3,27.1,29.8,31.6,32.4,32.6,32.6,32.6,32.7,32.5,32.7
"31","23","  To government (net)","W061RC1",26.9,25.9,25.5,24.6,26,26.8,27.8,46.7,29.3,29.7,34.4,30.8,32.5,31.4,33,44.8,36.7,37,37.4,39.2,42.7,43.2,43.7,44.7,45.4,45.8,46.2,46.5,47.4,47.8,48.2,48.3,47.5,48.3,49.2,49.9,51.3,52.3,53.2,53.4,53.9,55.2,55.4,56.4,57.8,58.9,60.1,61.6,63,63.8,65.4,69.3,73.3,74.6,76,91.5,100.3,107.9
"32","24","  To the rest of the world (net)","W237RC1",1.7,1.9,1.6,0.2,-0.7,-1.1,-1.2,-0.8,-0.6,0.1,1.2,2.5,5,4.9,3.7,1.6,-1.6,-2.6,-3.1,-3.1,-1.7,0,1.9,3.7,7.8,8.9,8.9,8.3,2.1,0.4,-0.6,-0.9,0.9,0.7,1.8,3.3,8.9,11.6,9.8,18.6,18.9,17.9,12.4,10,3.3,0.6,2.8,1.2,7.7,5.4,8,5.2,8.8,5.4,7.4,7.6,5,4.6
"33","25","Current surplus of government enterprises \1\","A108RC1",13.2,13,13.1,13.2,13.9,14,14.6,14.9,13.9,14.7,14,13.8,12.9,13.5,13.7,13,15.1,14.7,14.2,12.4,12.5,11,7.7,5.3,4.4,3,7.9,0.9,4.3,4.4,9.1,7.6,9.4,7.9,6.3,4.3,3.7,1.9,0.3,-0.9,-1.8,-3.1,-4.5,-4.5,-2.4,-3.8,-4.7,-6,-8.4,-6.9,-4.9,-6,-5.6,-6.3,-6.9,-8.9,-10.7,-8.9
"34",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Net cash flow with IVA","A904RC1",677.3,711.8,740.6,747.4,775.3,770.8,773.8,793.2,825.1,845.2,867.4,858.5,781.1,783.8,797.7,801.1,873.7,892.6,882.7,891.3,863.2,857.8,868.3,855.9,903.1,943.1,968.2,965.7,1010.2,1020.7,1030.4,1084.8,1050,1085.3,1095.2,1108.6,1207.3,1207.6,1207.8,1137.9,1307.9,1348.2,1308.8,1383.2,1388,1350.5,1364.6,1321.5,1253.8,1324.3,1314.3,1321,1432.8,1422.4,1499.4,1559.2,1575.4,NA
"36","27","    Undistributed profits with IVA and CCAdj","A127RC1",212.3,238.5,259.6,265.3,280.8,269.1,264.3,275.1,297.9,308.8,322,304.1,217.8,210.9,214.6,207.1,268.2,274.3,253.9,243.9,199.6,179.1,175.7,150.7,186.4,228.8,201.4,223.2,261.8,267,271.8,321.8,283.1,313.3,317,323.2,413.5,404.3,432.3,312,469,494.5,492,490,483.9,431.5,431.4,374.3,293.3,350.3,326.5,319.4,417.1,392.6,473.2,230.5,294.2,NA
"37","28","    Consumption of fixed capital","A438RC1",464.9,473.3,481,488.1,494.6,501.7,509.6,518.1,527.3,536.4,545.4,554.4,563.3,572.9,583.1,594,605.5,618.2,632.2,647.3,663.7,678.8,692.6,705.2,716.6,726.6,735.3,742.5,748.3,753.7,758.6,763,766.9,771.9,778,785.3,793.7,803.2,813.9,825.8,838.8,853.6,870.3,888.7,904.1,918.9,933.3,947.1,960.5,974,987.7,1001.6,1015.7,1029.7,1043.9,1058.1,1058.2,1046.2
"38","29","    Less: Capital transfers paid (net)","W976RC1",0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,12.3,-31.5,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,38.5,-0.1,-0.1,-0.1,53.4,-4.4,0,0,0,0,0,0,0,0,0,0,17.7,-270.7,-223,NA
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","30","  Proprietors' income with IVA and CCAdj","A041RC1",500.4,506.3,520,537.4,560.2,586.5,588.6,599.4,619.6,619.4,632.8,641.1,663.6,677,692.9,716.6,729.6,738.9,750.6,768.1,783.7,819.4,826.7,840.1,867.4,871.6,878.1,865.8,880.5,884.2,893.3,903.2,889.6,919.1,945.8,968.1,1002.1,1029.8,1040.1,1063.1,1046.8,1054,1082.6,1095.8,1126.9,1133.2,1131.2,1140.6,1094.2,1096,1093.2,1102.1,1115.2,1111.9,1114.4,1083.6,1037.8,1023.4
"41","31","    Farm","B042RC1",21.6,19.8,22.8,29.5,38.2,45.4,34.6,35.6,38.2,28.3,32.5,31.4,28.2,26.8,27.1,33.4,34.3,28.7,26.6,24.3,25.8,31.6,29.7,31.5,32.1,30.8,31.1,28.1,16.3,11.6,20.1,25.8,29.9,37.5,38.3,40.4,54.2,52,44,48.5,43.7,46.4,45.6,39.9,28.4,28.4,28.4,32.2,36.7,35.7,37.5,47.9,57.2,49.4,49.3,39,27.3,27.2
"42","32","      Proprietors' income with IVA","A043RC1",26.9,25.1,28.1,34.7,43.4,50.5,39.7,40.6,43.1,33.1,37.3,36.1,32.8,31.4,31.6,38,38.9,33.3,31.1,28.8,30.3,36,34.2,35.9,36.5,35.2,35.6,32.5,20.6,16,24.5,30.2,34.3,41.9,42.8,45,58.8,56.8,48.9,53.7,49,51.8,51.2,45.6,34.3,34.3,34.4,38.3,42.9,42,43.9,54.4,63.9,56.1,56.2,46,34.4,34
"43","33","      Capital consumption adjustment","B044RC1",-5.3,-5.3,-5.2,-5.2,-5.2,-5.2,-5.1,-5,-4.9,-4.8,-4.8,-4.7,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.5,-4.6,-4.7,-4.8,-5,-5.1,-5.3,-5.5,-5.6,-5.8,-5.9,-6,-6.1,-6.1,-6.2,-6.3,-6.4,-6.5,-6.7,-6.8,-6.9,-7,-7.1,-6.8
"44","34","    Nonfarm","A045RC1",478.8,486.5,497.2,507.9,522,541.1,554,563.8,581.5,591.1,600.3,609.7,635.5,650.2,665.8,683.1,695.3,710.1,724.1,743.7,758,787.8,796.9,808.6,835.4,840.8,846.9,837.7,864.3,872.6,873.2,877.4,859.7,881.6,907.4,927.7,947.9,977.8,996.1,1014.6,1003.1,1007.6,1037,1055.9,1098.5,1104.8,1102.8,1108.4,1057.5,1060.3,1055.7,1054.2,1057.9,1062.5,1065.1,1044.5,1010.5,996.2
"45","35","      Proprietors' income (without IVA and CCAdj)","B046RC1",453.5,460.5,469.4,478.3,491.5,508.9,519,526.3,539.7,546.8,554.7,563.6,588,602.1,615.1,630.2,636.9,650.1,662.5,681.3,694.2,720.4,724,730.7,751,751,748.6,729,752.6,763,766.8,772.2,753.5,761,782.6,802.6,825.8,856.2,872.7,892.3,916.5,917,947.4,964.4,1005.5,1007.9,1000.5,1003.1,951.8,952.6,946.8,950.3,902.4,907,896.7,846,842.7,834.6
"46","36","      Inventory valuation adjustment","B179RC1",-2.1,-2.1,-1.2,-0.4,-0.7,-0.7,0,-0.2,1,1.3,1,0.6,1.8,1.2,1.6,0.5,1.6,-0.4,-1.7,-2.9,-2.9,-2,-0.7,-1.3,-1.1,-0.4,1.7,3.7,2.3,0.2,-2.1,-2,-3.1,0.5,-1.4,-2.1,-2.2,-4.4,-4.1,-6.2,-4.8,-2,-4.7,-4.8,-3.9,-5.4,-3.5,-1.8,-5.8,-4,-4,-11.1,-14.8,-17.7,-7.6,19.8,10,2.2
"47","37","      Capital consumption adjustment","B047RC1",27.4,28.1,29,30,31.2,32.9,35.1,37.7,40.7,43,44.6,45.5,45.7,46.9,49.1,52.5,56.8,60.4,63.3,65.4,66.7,69.4,73.6,79.2,85.4,90.2,96.7,105,109.5,109.3,108.5,107.1,109.3,120.2,126.2,127.2,124.3,126,127.4,128.5,91.5,92.6,94.2,96.3,96.8,102.3,105.7,107.1,111.5,111.8,112.9,115,170.4,173.2,176,178.8,157.7,159.4
"48","38","  Rental income of persons with CCAdj","A048RC1",151,153,152.8,161.5,166.7,168.4,172.1,174.5,174.9,175.9,176.4,178.9,182.7,188.6,195.7,198.8,203,206.9,209.2,213.5,214.6,212.1,213.3,221.1,225.3,230.6,239.5,234.1,229.2,231.7,212.7,201.4,209.7,204.2,186.2,216.6,204.2,197.1,196.8,195.4,190.7,181.5,168.4,172.3,161.3,153.2,140.3,131.2,121.1,140.3,150.2,168,179.9,202.8,222.2,236.7,245.9,255.2
"49","39","    Rental income of persons (without CCAdj)","B049RC1",159.3,161.4,161.2,170,175.3,177,180.7,183.2,183.7,184.8,185.4,188,191.8,197.8,205,208.2,212.5,216.6,219,223.5,224.7,222.4,223.7,231.7,236.1,241.5,250.6,245.2,240.3,242.9,224,212.8,221.3,216,198.3,229,217.1,210.3,210.4,209.3,204.9,196.1,183.4,187.7,177.2,169.3,156.7,147.8,137.8,156.9,166.7,184.4,195.9,218.7,237.9,252.3,261,270.4
"50","40","    Capital consumption adjustment","B050RC1",-8.3,-8.4,-8.5,-8.5,-8.5,-8.6,-8.6,-8.7,-8.8,-8.9,-9,-9,-9.1,-9.2,-9.3,-9.4,-9.5,-9.7,-9.8,-9.9,-10.1,-10.3,-10.4,-10.6,-10.8,-10.9,-11.1,-11.1,-11.2,-11.2,-11.3,-11.4,-11.6,-11.8,-12.1,-12.4,-12.8,-13.2,-13.6,-13.9,-14.2,-14.6,-15,-15.4,-15.8,-16.2,-16.4,-16.6,-16.7,-16.7,-16.6,-16.4,-16.1,-15.8,-15.7,-15.6,-15.1,-15.1
"51","41","  Corporate profits with IVA and CCAdj","A051RC1",674.8,702.2,737.7,750,783.2,795.9,802.1,824.8,855.7,878.8,912,892.9,817.7,811.5,820.1,800.3,859.7,859.4,848.4,857.6,840.5,831.7,814.7,790,782.8,812.3,765,776.6,830.3,852,869.8,936.7,917.5,950.1,992.7,1050.9,1187.2,1226.9,1292.2,1281.4,1408.2,1429,1454.7,1532.5,1590.9,1597.7,1655.1,1589.6,1535.4,1594.9,1537.1,1499.4,1459.7,1403.7,1454.6,1123.6,1182.7,NA
"52","42","    Corporate profits with IVA","A052RC1",627,652.8,686.7,697.5,729.2,739.8,743.4,762.9,790,810.3,841.6,821.5,746.2,739,745.9,723.4,779.4,778,768.1,780.8,769.6,766.1,753.7,733.2,730.2,762.6,708,682.2,713.3,737.7,761.8,838.4,837.9,853.5,903.1,974.3,1120.5,1171.3,1246,1242.8,1542.9,1573.5,1613,1708.5,1781.9,1771.4,1822.8,1762.7,1705.4,1779.1,1732.9,1704.1,1512.9,1463.8,1522.2,1199.3,1327.6,NA
"53","43","      Profits before tax (without IVA and CCAdj)","A053RC1",659.6,681,696.6,700,727.1,741.4,738.7,755.8,771.5,794.6,826.5,814.5,731.8,723.7,726.8,709.3,755.2,774.2,782.6,810.1,794.9,787.1,762.8,745.1,748.5,763.7,691.3,647.4,684.3,734.3,783.5,859.2,858.6,848.2,910.4,996.7,1137.3,1209.7,1281,1289.7,1581.1,1591.6,1641.4,1746.5,1815.3,1819.8,1865.1,1790.7,1747.6,1808.6,1758.2,1783.1,1620.8,1593.5,1576.6,1060.1,1246.5,NA
"54","44","        Taxes on corporate income","A054RC1",217.6,214.8,221.7,217.3,221.6,233.4,233.8,237.1,238.2,242.9,255.1,245.5,248.5,245.5,252.2,247.2,256.2,254.1,259.2,265.7,274.3,273.1,254.7,258.3,224.5,216.6,195,177,179.3,186,193.7,210.4,231.5,227,247.2,269.3,277.6,298.2,320.4,328.1,405.1,395.6,403.1,445.7,460.7,475.1,496.6,460.7,469.5,466.5,440,430.1,323.2,317.5,304.8,223.3,270.3,NA
"55","45","        Profits after tax (without IVA and CCAdj)","A055RC1",442,466.2,474.9,482.7,505.5,508,504.9,518.7,533.3,551.6,571.4,569,483.2,478.2,474.6,462.1,499,520.1,523.4,544.4,520.6,514,508.1,486.8,524,547.1,496.2,470.4,505,548.4,589.8,648.8,627.1,621.2,663.2,727.4,859.7,911.5,960.5,961.5,1176,1196,1238.3,1300.8,1354.6,1344.7,1368.5,1330,1278.1,1342.1,1318.2,1353,1297.6,1276,1271.9,836.8,976.1,NA
