"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","4","  Nondurable goods","B004RA3",15.102,14.394,14.323,13.153,12.956,14.066,14.907,16.655,17.251,17.492,18.397,19.218,20.512,20.867,21.559,22.413,24.02,25.331,24.643,24.726,25.108,25.892,26.572,27.627,28.494,28.853,30.25,31.281,31.857,32.164,33.491,33.994,34.621,35.71,36.463,38.248,40.277,42.487,43.157,45.126,46.326,47.436,48.294,50.422,52.068,51.02,51.771,54.301,55.609,57.687,59.226,59.137,59.839,60.409,62.417,64.898,66.665,69.06,70.715,73.016,75.044,76.209,76.033,77.553,79.619,82.369,84.152,86.3,88.605,92.154,96.374,100,102.027,104.614,107.938,113,118.008
"12","5","  Services","B005RA3",8.399,8.19,7.93,7.431,7.213,7.488,7.721,8.104,8.38,8.289,8.541,8.848,9.296,9.716,10.252,10.598,10.947,11.947,12.451,12.927,13.26,13.925,14.639,15.283,15.933,16.578,17.448,18.323,19.03,19.752,20.794,21.72,22.626,23.747,24.83,26.345,27.749,29.129,30.552,32.148,33.691,35.038,36.4,38.469,40.274,41.216,42.743,44.475,46.392,48.558,50.044,50.921,51.773,52.865,55.76,58.026,61.303,63.111,65.843,68.506,70.555,72.583,73.812,76.379,78.54,80.854,82.973,85.42,88.27,92.011,95.652,100,102.403,104.366,106.493,109.725,112.919
"13","6","Gross private domestic investment","B006RA3",5.259,3.508,2.204,0.665,0.981,1.771,3.279,4.203,5.249,3.469,4.461,6.215,7.59,4.011,2.368,2.926,3.863,9.914,9.525,12.168,9.29,13.118,13.156,11.896,12.457,11.878,14.764,14.562,13.929,12.776,15.367,15.362,15.261,17.197,18.351,19.863,22.65,24.644,23.517,24.887,26.338,24.608,27.413,30.658,34.249,31.729,26.111,31.387,36.13,40.486,41.776,37.182,40.615,34.918,38.172,49.42,48.963,48.629,50.13,51.309,53.369,51.574,47.378,51.223,55.795,63.358,65.34,71.123,79.961,87.821,94.647,100,92.103,89.724,93.195,104.286,110.621
"14","7","  Fixed investment","B007RA3",7.12,5.456,3.784,2.202,1.946,2.516,3.26,4.34,5.088,4.031,4.838,5.812,6.632,3.743,2.889,3.547,4.856,8.971,10.792,11.885,10.865,12.976,12.429,12.195,13.048,13.251,14.977,15.034,14.872,13.806,15.736,15.87,15.82,17.248,18.584,20.378,22.459,23.745,23.306,24.935,26.486,25.931,27.894,31.246,34.101,31.971,28.541,31.356,35.863,40.205,42.473,39.708,40.591,37.737,40.491,47.331,49.823,50.403,50.682,52.352,53.928,52.803,49.379,52.312,56.788,62.079,66.09,72.018,78.657,86.657,93.884,100,97.047,91.997,95.297,104.534,112.99
"15","8","    Nonresidential","B008RA3",5.742,4.732,3.1,1.857,1.676,2.134,2.703,3.654,4.377,3.209,3.581,4.433,5.219,3.072,2.568,3.41,4.791,7.065,8.222,8.652,7.858,8.581,8.977,8.803,9.595,9.389,10.43,11.025,11.193,9.964,10.76,11.371,11.299,12.284,12.966,14.504,17.031,19.16,18.9,19.746,21.246,21.134,21.135,23.072,26.429,26.653,24.022,25.2,28.045,32.243,35.489,35.388,37.398,35.981,35.518,41.788,44.561,43.287,43.259,45.52,48.063,48.302,45.712,47.179,51.287,55.999,61.885,67.661,75.82,84.232,91.98,100,95.817,86.969,88.063,96.314,104.622
"16","9","      Structures","B009RA3",27.415,23.456,15.098,9.257,7.193,8.101,8.978,11.773,14.932,11.942,12.599,14.312,16.994,10.506,7.635,9.998,13.48,26.624,24.223,25.483,24.638,26.406,28.421,28.313,30.831,31.886,34.176,37.76,37.743,35.68,36.53,39.433,39.966,41.775,42.239,46.626,54.058,57.751,56.284,57.102,60.189,60.364,59.37,61.201,66.2,64.785,57.984,59.39,61.841,70.769,79.731,84.35,91.074,89.528,79.865,91.016,97.502,86.817,84.34,84.885,86.583,87.867,78.091,73.423,72.891,74.18,78.903,83.354,89.432,94.019,93.619,100,97.737,81.029,77.621,79.314,80.925
"17","10","      Equipment and software","B010RA3",2.597,2.059,1.374,0.805,0.824,1.139,1.552,2.129,2.475,1.723,1.989,2.577,3.022,1.733,1.557,2.082,2.982,3.718,5.055,5.32,4.663,5.147,5.297,5.144,5.611,5.296,6.022,6.182,6.343,5.418,6.065,6.322,6.2,6.917,7.5,8.457,10.007,11.609,11.532,12.25,13.334,13.201,13.332,15.052,17.812,18.268,16.529,17.562,20.208,23.284,25.318,24.407,25.445,24.122,25.42,30.462,32.397,33.011,33.463,35.987,38.624,38.636,37.643,40.387,45.428,50.846,56.93,62.981,71.641,81.137,91.437,100,95.136,89.265,92.154,103.126,114.355
"18","11","    Residential","B011RA3",13.092,7.958,6.656,3.515,2.871,3.931,5.499,6.964,7.573,7.614,10.786,12.164,12.925,6.538,3.884,3.345,3.933,16.564,21.348,25.543,23.613,32.308,27.046,26.562,27.502,29.782,34.607,31.79,29.846,30.159,37.82,35.129,35.227,38.604,43.154,45.662,44.329,40.362,39.092,44.421,45.733,42.998,54.789,64.526,64.112,50.877,44.271,54.698,66.44,70.623,68.032,53.636,49.336,40.378,57.093,65.566,66.604,74.776,76.269,75.496,73.204,66.887,60.46,68.825,74.446,81.621,79.005,85.331,86.947,93.597,99.254,100,100.357,105.149,113.989,125.714,134.678
"19","12","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  Exports","B020RA3",3.185,2.632,2.188,1.714,1.725,1.917,2.021,2.123,2.675,2.646,2.793,3.177,3.258,2.152,1.814,1.948,2.729,5.895,6.721,5.294,5.244,4.592,5.627,5.384,5.023,5.266,5.829,6.791,7.383,6.385,7.043,8.266,8.309,8.729,9.353,10.454,10.747,11.492,11.757,12.681,13.294,14.723,14.973,16.096,19.131,20.643,20.512,21.408,21.923,24.234,26.637,29.506,29.868,27.586,26.875,29.068,29.951,32.259,35.742,41.469,46.233,50.394,53.736,57.439,59.291,64.447,70.982,76.93,86.082,88.164,91.969,100,94.565,92.43,94.064,101.97,109.028
"22","15","    Goods","B253RA3",3.346,2.748,2.273,1.762,1.754,1.933,2.027,2.132,2.681,2.723,2.873,3.301,3.386,2.079,1.625,1.744,2.617,6.047,6.954,5.384,5.35,4.623,5.629,5.339,4.978,5.26,5.813,6.817,7.357,6.241,6.198,7.651,7.689,8.031,8.662,9.849,9.901,10.589,10.638,11.481,12.082,13.46,13.408,14.849,18.259,19.709,19.252,20.165,20.429,22.712,25.396,28.422,28.114,25.573,24.838,26.801,27.79,29.217,32.456,38.572,43.172,46.81,50.042,53.785,55.534,60.937,68.07,74.086,84.717,86.614,89.907,100,93.871,90.143,91.763,99.899,107.232
"23","16","    Services","B646RA3",2.177,1.893,1.626,1.355,1.456,1.718,1.881,1.958,2.494,2.121,2.243,2.419,2.477,2.19,2.313,2.489,2.795,4.54,4.936,4.309,4.195,3.928,4.964,4.949,4.631,4.692,5.226,5.912,6.647,6.228,9.641,9.797,9.857,10.535,11.07,11.733,12.926,13.814,14.905,16.049,16.646,18.128,19.527,19.404,20.775,22.396,23.773,24.476,26.055,28.234,29.103,30.919,34.211,33.263,32.71,35.627,36.051,41.325,45.502,49.616,54.723,60.48,64.082,67.59,69.726,74.097,78.793,84.483,89.509,92.077,97.207,100,96.302,98.104,99.776,107.119,113.528
"24","17","  Imports","B021RA3",3.002,2.611,2.278,1.89,1.969,2.012,2.636,2.605,2.932,2.279,2.393,2.451,3.014,2.736,3.45,3.611,3.839,3.182,3.021,3.525,3.401,4.02,4.178,4.545,4.972,4.727,5.297,5.727,5.967,6.251,6.908,7,6.953,7.742,7.951,8.374,9.265,10.642,11.417,13.118,13.866,14.457,15.229,16.943,17.729,17.327,15.402,18.413,20.426,22.196,22.565,21.066,21.62,21.348,24.041,29.893,31.833,34.561,36.602,38.039,39.706,41.139,40.905,43.748,47.576,53.256,57.539,62.544,71.037,79.299,88.391,100,97.291,100.601,105.205,116.495,123.892
"25","18","    Goods","B255RA3",2.847,2.4,2.096,1.694,1.904,1.947,2.675,2.577,2.881,2.196,2.391,2.509,2.962,2.054,2.376,2.464,2.456,2.838,2.724,3.121,2.999,3.663,3.59,3.662,3.875,3.578,3.995,4.352,4.478,4.603,5.403,5.314,5.307,6.092,6.339,6.757,7.714,8.93,9.4,11.342,11.963,12.432,13.474,15.307,16.388,15.932,13.924,17.073,19.153,20.871,21.229,19.653,20.058,19.554,22.21,27.584,29.31,32.314,33.812,35.181,36.686,37.77,37.741,41.263,45.423,51.466,56.104,61.337,70.172,78.364,88.078,100,96.833,100.377,105.288,116.83,124.894
"26","19","    Services","B656RA3",3.966,3.854,3.35,2.966,2.493,2.538,2.725,3.021,3.491,2.914,2.718,2.558,3.631,5.92,8.37,8.855,10.141,4.846,4.458,5.499,5.366,5.707,7.261,9.47,11.188,11.308,12.765,13.589,14.529,15.774,15.462,16.669,16.385,17.15,17.137,17.579,18.096,20.395,22.887,23.298,24.767,26.059,25.317,26.39,25.5,25.472,24.367,26.049,27.347,29.297,29.7,29.037,30.711,32.346,34.958,43.724,47.05,47.638,53.205,55.01,57.678,61.43,59.849,58.321,60.026,63.421,65.492,69.094,75.6,84.222,90.038,100,99.706,101.824,104.921,114.991,119.108
"27","20","Government consumption expenditures and gross investment","B822RA3",7.005,7.719,8.042,7.774,7.503,8.463,8.694,10.147,9.718,10.465,11.387,11.707,19.465,45.806,68.151,76.701,66.969,23.046,19.584,21.01,23.518,23.542,32.15,38.7,41.466,38.631,37.213,37.235,38.89,40.133,41.489,41.553,43.639,46.329,47.522,48.563,50.028,54.43,58.604,60.436,60.29,58.833,57.553,57.128,56.926,58.36,59.675,59.94,60.598,62.383,63.549,64.79,65.381,66.53,68.964,71.273,76.24,80.885,82.873,83.94,86.11,88.869,89.872,90.342,89.513,89.525,90.015,90.896,92.588,94.354,97.987,100,103.412,107.969,111.009,113.398,115.42
"28","21","  Federal","B823RA3",3.562,3.945,4.084,4.174,5.162,6.925,7.046,10.638,9.579,10.58,11.345,12.701,33.52,102.955,162.866,185.91,159.7,42.998,31.776,34.286,37.627,35.565,59.001,76.755,82.937,72.04,65.507,64.343,66.624,66.579,68.666,66.779,69.564,75.492,75.54,74.53,74.508,82.737,90.96,91.681,88.525,81.997,75.686,72.574,69.519,70.134,70.36,70.388,71.88,73.681,75.465,79.043,82.818,86.018,91.726,94.55,101.957,107.754,111.674,109.898,111.594,113.873,113.679,111.713,107.056,103.05,100.254,99.091,98.066,96.97,99.122,100,103.908,111.169,118.839,125.038,127.945
"29","22","    National defense","B824RA3",2.886,3.097,3.113,3.122,3.024,2.677,3.269,3.885,3.914,4.089,4.505,7.874,42.58,155.519,253.393,289.284,249.224,59.708,40.251,40.604,42.653,42.086,81.17,107.809,114.677,98.186,88.746,88.054,91.757,91.269,89.447,87.977,91.851,97.412,95.085,91.304,89.403,102.205,115.571,117.416,111.604,101.477,89.98,82.921,78.322,77.714,76.977,76.706,77.597,78.259,80.648,84.16,89.486,96.244,103.158,108.186,117.355,124.871,130.779,130.161,129.518,129.472,128.05,121.708,114.86,109.259,105.093,103.648,100.733,98.65,100.515,100,103.936,111.578,121.447,129.97,133.307
"30","23","    Nondefense","B825RA3",4.647,5.329,5.687,5.925,8.902,14.432,13.7,22.54,19.59,22.033,23.421,21.439,19.086,15.228,11.983,13.593,10.46,15.044,17.597,24.11,29.897,25.128,21.365,23.944,28.921,27.535,25.965,23.941,23.742,24.486,33.305,30.672,31.599,38.144,42.217,45.88,48.995,49.501,49.059,47.912,49.186,48.674,50.961,54.551,54.213,57.023,58.965,59.523,62.089,65.947,66.64,70.373,71.31,67.888,71.398,70.035,74.169,76.764,76.984,73.037,79.075,85.651,87.7,93.749,93.087,91.957,91.613,90.955,93.32,93.985,96.646,100,103.859,110.441,114.159,116.166,118.31
"31","24","  State and local","B829RA3",11.386,12.534,13.077,12.466,11.142,11.714,12.088,12.158,12.157,12.868,14.145,13.679,12.81,11.618,10.557,10.183,10.534,11.584,13.197,14.036,16.173,17.499,17.635,17.927,18.816,20.461,21.936,22.645,23.986,26.022,26.999,28.182,29.918,30.839,32.696,34.913,37.252,39.59,41.589,44.048,45.534,46.797,48.232,49.291,50.694,52.603,54.536,54.937,55.137,56.938,57.775,57.736,56.577,56.607,57.268,59.322,63.003,67.064,68.041,70.582,72.994,75.991,77.6,79.318,80.459,82.543,84.728,86.668,89.77,93.014,97.409,100,103.162,106.354,107.042,107.487,109.058
