"","Table 3#11#4# Price Indexes for National Defense Consumption Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140"
"11","3","  Gross output of general government","W085RG3",25.013,25.229,25.377,26.084,26.545,27.025,27.697,28.276,28.788,29.405,30.536,31.811,32.433,32.778,33.4,34.349,34.787,35.211,35.756,36.853,37.56,38.003,38.202,39.703,40.138,40.58,41.2,42.371,43.019,43.697,44.707,46.794,47.776,48.981,49.76,52.528,53.296,54.236,54.808,56.948,57.694,58.383,58.857,59.88,60.187,60.709,61.125,61.432,65.108,65.779,66.29,66.309,67.459,67.498,67.409,68.424,68.323,68.114,68.32,68.722,69.361,69.68,70.031,70.085,70.891,71.458,71.564,71.832,73.165,73.286,73.697,73.535,74.937,75.509,76.161,77.528,78.289,78.363,79.271,80.204,81.605,82.263,82.928,82.02,82.921,83.533,84.156,84.529,84.982,85.702,85.872,86.501,87.363,87.525,87.963,88.735,90.435,90.689,91.154,91.832,92.675,92.701,92.794,93.201,93.778,93.892,94.118,94.366,95.614,96.138,96.654,97.192,99.416,99.416,100.442,100.725,101.83,102.054,102.851,103.322,105.908,106.26,106.978,109.002,111.796,112.13,112.533,113.014,115.355,116.968,117.832,118.568,120.642,121.158,122.316,122.54,124.351
"12","4","    Value added","W086RG3",23.083,23.259,23.38,24.241,24.545,24.888,25.378,26.074,26.394,26.762,27.467,28.605,29.198,29.532,30.034,31.153,31.421,31.846,32.208,33.269,33.917,34.305,34.414,35.925,36.235,36.594,37.001,38.203,38.627,39.208,39.758,41.594,42.083,42.825,43.367,46.68,47.251,47.866,48.137,50.836,51.481,52.201,52.555,53.736,53.899,54.518,54.882,55.08,60.312,60.841,61.333,61.552,63.315,63.218,62.927,64.032,64.063,64.307,64.412,64.722,65.669,65.736,65.706,65.785,67.145,67.874,68.169,68.2,70.038,70.272,70.447,69.811,71.356,71.925,72.104,72.864,74.51,75.037,76.077,76.972,79.399,80.317,80.485,79.067,80.539,81.086,81.773,82.164,82.935,83.658,83.568,84.269,85.528,85.406,85.813,86.81,89.243,89.424,89.914,90.549,91.722,91.825,91.808,92.122,93.272,93.356,93.504,93.71,95.822,96.298,96.556,96.798,99.766,99.469,100.466,100.299,101.973,102.205,103.27,104.486,108.892,109.073,108.94,111.896,115.78,116.64,117.002,117.426,121.605,123.156,123.587,124.018,126.854,127.168,127.652,127.764,131.073
"13","5","      Compensation of general government employees","B237RG3",19.743,19.915,19.961,20.809,21.053,21.316,21.741,22.524,22.719,22.945,23.443,24.537,25.137,25.434,25.808,26.893,27.021,27.334,27.557,28.579,29.072,29.381,29.523,31.014,31.043,31.268,31.538,32.876,33.29,33.704,34.058,35.982,36.417,36.874,37.317,40.833,41.156,41.572,41.62,44.524,44.941,45.505,45.7,47.037,47.133,47.747,47.828,48.01,53.965,54.508,55.12,55.251,57.431,57.491,57.076,58.451,58.72,58.914,59.039,59.495,60.599,60.914,60.927,60.981,62.559,63.382,63.683,63.502,65.734,65.962,66.045,65.038,66.852,67.489,67.552,68.223,70.146,70.763,71.884,72.955,76.213,77.286,77.438,75.176,76.708,77.25,77.947,78.272,79.12,79.687,79.28,79.613,81.136,80.907,81.455,82.727,86.169,86.355,86.966,87.847,89.563,89.692,89.734,89.98,91.719,91.672,91.865,92.091,94.96,95.449,95.6,95.734,99.68,99.247,100.628,100.445,102.738,102.943,104.378,106.34,112.431,112.726,112.455,116.361,121.88,122.724,123.297,124.037,129.46,130.948,131.383,131.34,135.135,135.452,135.853,135.917,140.167
"14","6","        Military","B4080G3",20.034,20.264,20.279,21.178,21.453,21.787,22.273,23.139,23.489,23.653,24.275,25.245,25.766,25.998,26.381,27.509,27.713,28.01,28.169,29,29.159,29.399,29.51,31.191,31.284,31.611,31.941,33.411,33.767,34.309,34.718,36.818,37.109,37.618,38.098,42.255,42.362,42.837,42.718,46.759,47.028,47.851,47.967,49.494,49.322,49.951,50.051,50.248,59.081,59.837,60.479,60.519,63.255,63.155,62.864,64.828,64.921,64.85,64.668,65.178,66.359,66.671,66.657,66.518,68.077,68.474,68.511,68.086,70.693,70.925,70.857,68.98,71.611,71.788,71.631,71.362,72.722,73.444,75.014,76.945,81.234,82.451,81.855,78.282,80.317,80.587,80.688,80.746,81.336,81.173,81.043,80.856,81.88,82.045,82.859,83.113,86.957,88.318,88.996,89.539,90.915,90.933,90.673,90.247,92.133,92.465,92.373,92.696,95.93,95.963,95.62,96.677,99.873,99.937,100.587,99.602,103.406,103.259,104.813,106.86,112.554,113.578,113.791,119.44,124.891,125.752,126.475,127.44,131.903,133.682,134.548,134.332,138.495,138.522,138.558,138.567,143.161
"15","7","        Civilian","W090RG3",19.272,19.335,19.441,20.198,20.382,20.509,20.824,21.454,21.373,21.711,21.992,23.304,24.042,24.453,24.811,25.821,25.82,26.158,26.49,27.836,28.904,29.329,29.524,30.691,30.613,30.67,30.84,31.96,32.468,32.674,32.941,34.579,35.246,35.618,36,38.469,39.143,39.463,39.781,40.831,41.49,41.64,41.96,42.99,43.514,44.103,44.156,44.317,45.613,45.816,46.384,46.66,47.94,48.254,47.643,48.079,48.623,49.239,49.858,50.228,51.207,51.527,51.585,51.952,53.562,55.086,55.819,56.045,57.66,57.884,58.213,58.62,59.104,60.493,60.911,63.176,66.107,66.532,66.881,66.525,68.117,68.972,70.319,70.153,70.884,71.846,73.467,74.209,75.464,77.186,76.34,77.492,79.798,78.947,79.076,81.976,84.766,83.065,83.565,84.992,87.253,87.559,88.1,89.474,90.968,90.284,90.965,91.026,93.269,94.54,95.543,94.063,99.316,97.998,100.693,101.993,101.485,102.361,103.586,105.4,112.267,111.153,109.946,110.487,116.103,116.89,117.135,117.405,124.806,125.704,125.288,125.587,128.659,129.545,130.65,130.821,134.41
"16","8","      Consumption of general government fixed capital \2\","B432RG3",35.081,35.239,35.727,36.454,36.996,37.681,38.386,38.475,39.369,40.394,42.015,43.108,43.521,43.971,45.024,46.057,46.989,47.901,48.902,49.923,51.218,51.923,51.843,53.126,54.798,55.763,56.781,57.031,57.414,58.716,60.135,61.161,61.823,63.827,64.755,66.401,68.088,69.567,70.9,72.029,73.68,75.028,76.105,76.303,76.762,77.298,78.948,79.189,80.212,80.591,80.458,81.04,80.722,79.956,80.235,80.078,79.137,79.561,79.579,79.289,79.55,78.678,78.49,78.66,79.151,79.509,79.769,80.527,80.943,81.181,81.654,82.271,82.862,83.183,83.726,84.735,85.441,85.665,86.426,86.771,86.709,87.157,87.367,88.352,89.614,90.163,90.811,91.379,91.948,93.074,93.812,95.449,96.017,96.157,96.2,96.505,96.466,96.629,96.82,96.858,96.737,96.778,96.622,97.096,96.859,97.251,97.291,97.45,97.812,98.255,98.76,99.251,99.964,99.983,100.089,99.964,100.206,100.502,100.703,100.18,100.614,100.515,100.701,101.379,101.312,102.21,102.053,101.704,102.84,104.557,104.982,106.58,107.076,107.382,108.069,108.295,109.373
"17","9","    Intermediate goods and services purchased \3\","W087RG3",27.737,28.031,28.235,28.455,29.297,30.091,31.18,31.379,32.367,33.589,35.761,37.288,37.937,38.283,39.18,39.514,40.399,40.765,41.778,42.842,43.641,44.193,44.617,45.926,46.666,47.293,48.433,49.394,50.596,51.471,53.601,56.156,58.294,60.535,61.826,63.104,64.308,65.951,67.181,67.988,68.922,69.527,70.236,70.936,71.519,71.848,72.353,72.856,73.56,74.486,75.026,74.673,74.704,74.996,75.267,76.129,75.783,74.805,75.179,75.739,75.876,76.616,77.594,77.605,77.519,77.828,77.623,78.276,78.784,78.719,79.526,80.158,81.327,81.902,83.38,85.811,85.021,84.307,84.989,86.001,85.53,85.72,87.309,87.312,87.167,87.904,88.408,88.749,88.598,89.31,89.964,90.46,90.56,91.263,91.763,92.118,92.443,92.839,93.267,94.027,94.27,94.167,94.448,95.027,94.593,94.772,95.138,95.461,95.282,95.89,96.819,97.801,98.874,99.34,100.402,101.384,101.597,101.801,102.197,101.611,101.728,102.322,104.17,105.024,106.444,106.152,106.593,107.132,107.502,109.165,110.462,111.504,112.768,113.479,115.278,115.607,115.92
"18","10","      Durable goods","B998RG3",35.038,34.903,34.76,34.795,35.748,36.621,37.107,37.166,37.842,38.588,40.303,41.746,43.133,43.566,44.359,45.685,45.907,46.901,49.04,50.304,51.155,51.26,50.638,53.924,54.165,55.084,56.239,57.855,59.038,60.031,61.955,63.369,64.094,65.215,66.061,67.4,69.079,70.502,72.748,73.729,76.471,77.784,79.092,81.237,83.399,84.636,85.963,87.142,89.236,91.715,92.292,91.527,91.326,91.547,91.825,92.57,92.443,93.15,93.821,94.704,93.539,93.587,93.532,92.695,90.503,90.157,89.661,89.645,89.393,89.487,89.599,90.247,90.937,91.47,91.889,92.471,93.889,93.851,94.423,94.871,95.371,95.7,96.302,96.615,97.391,97.796,98.467,99.112,99.465,99.302,99.126,99.388,99.588,99.705,99.734,100.213,100.464,100.146,99.61,99.834,100.106,100.027,99.817,99.394,99.426,99.416,99.066,99.306,99.47,99.254,99.163,99.616,100.126,100.016,99.956,99.902,100.021,100.167,100.007,100.01,100.31,100.34,100.247,100.443,100.9,100.994,100.843,100.954,101.353,101.944,102.206,102.817,103.309,103.612,103.863,103.903,104.287
"19","11","        Aircraft","B999RG3",32.771,32.524,32.596,32.739,34.099,35.012,35.221,35.176,35.715,36.122,37.261,39.033,40.67,42.173,43.548,44.719,47.533,48.267,48.914,52.479,52.814,52.365,52.37,54.19,54.007,54.552,55.165,56.568,58.608,59.625,60.995,62.541,63.511,64.28,65.023,66.1,66.886,68.808,71.929,72.752,75.413,77.943,79.788,82.285,84.752,85.479,87.418,88.639,90.864,94.707,96.026,95.29,94.702,95.915,96.796,97.563,96.923,97.415,97.842,97.393,96.868,96.896,95.843,94.435,92.773,91.674,90.558,89.427,88.655,88.46,88.435,89.107,90.193,90.694,91.239,91.879,93.153,93.566,94.383,94.67,95.652,96.043,96.04,96.187,96.913,97.369,97.355,97.985,98.747,98.826,98.71,98.878,99.385,99.493,99.698,99.915,100.314,100.137,99.891,99.959,100.069,99.673,99.231,98.726,98.954,99.047,98.777,98.945,99.175,98.977,98.893,99.314,99.598,99.858,100.23,100.314,100.693,100.722,100.489,100.524,100.676,100.629,100.641,100.847,101.853,102.229,102.49,102.58,103.121,103.585,103.795,104.176,104.54,104.484,104.995,104.717,104.975
"20","12","        Missiles","B277RG3",32.078,30.945,30.059,29.768,30.831,31.763,32.038,32.311,32.489,33.43,35.625,36.804,38.01,37.85,39.215,39.462,38.098,37.806,42.275,41.555,43.49,45.022,41.421,49.845,50.247,50.894,52.546,53.997,53.765,55.848,58.092,60.403,58.596,59.097,60.144,60.385,62.489,63.027,64.208,64.116,64.826,65.484,66.15,68.416,73.469,76.736,79.253,81.988,87.313,92.019,92.415,94.074,94.96,94.56,97.761,97.769,95.816,95.248,94.495,95.161,95.348,95.245,95.593,94.587,90.423,90.819,91.268,91.743,91.794,92.626,92.746,92.709,93.717,92.78,92.765,93.597,97.109,96.355,96.192,97.371,96.724,97.291,99.621,99.834,100.824,101.555,106.27,106.894,106.336,104.424,103.529,103.566,101.461,101.305,100.444,103.14,102.475,101.341,98.9,99.491,99.982,100.04,100.704,100.13,99.102,99.112,99.043,100.499,100.565,99.309,99.435,100.661,101.642,100.822,98.863,98.674,98.483,99.249,100.062,100.25,100.919,101.39,102.334,102.828,103.078,103.466,102.221,102.249,102.872,103.535,104.236,105.141,106.084,106.679,106.428,106.592,107.536
"21","13","        Ships","B278RG3",28.428,36.007,36.946,36.53,34.955,34.428,38.291,41.196,43.233,42.767,47.002,45.683,45.495,45.506,47.62,48.424,47.579,50.689,50.264,50.693,50.181,49.248,49.102,52.376,54.002,55.038,54.46,55.708,56.446,57.605,58.502,57.898,62.056,63.422,65.615,66.359,67.752,71.104,71.099,66.237,78.237,77.19,76.6,74.641,74.363,74.392,72.87,76.3,74.987,75.449,78.043,77.817,81.901,81.045,82.731,83.419,84.328,84.554,83.753,83.788,84.49,84.564,82.121,84.062,84.889,85.642,86.939,90.691,88.645,91.069,91.834,93.944,95.129,95.849,95.694,95.471,96.021,96.864,96.933,96.279,98.108,98.076,98.12,98.174,98.413,99.035,98.481,99.068,99.679,99.496,99.758,99.939,100.724,99.23,100.354,100.63,100.757,100.566,100.243,100.595,100.617,100.968,101.05,100.684,100.696,100.629,100.448,100.167,99.915,99.858,99.765,99.938,100.007,99.533,100.115,100.344,100.594,100.577,100.43,100.452,100.448,100.4,100.447,100.73,100.867,100.881,100.908,101.597,102.933,104.169,104.945,105.766,106.548,106.825,107.019,108.157,108.48
"22","14","        Vehicles","B288RG3",25.387,24.963,25.041,25.069,25.474,25.61,25.238,25.392,26.516,26.939,28.734,28.878,30.453,29.592,28.761,30.758,30.678,33.367,33.302,33.57,34.589,33.82,34.491,36.181,36.028,35.836,37.858,39.82,41.558,38.816,42.094,42.788,44.451,45.86,46.424,47.842,50.986,53.166,55.065,58.649,60.853,61.48,63.507,65.814,64.141,65.547,65.663,65.291,65.195,64.285,60.554,57.38,54.228,52.949,51.559,52.788,55.062,57.675,61.38,65.46,60.874,61.245,64.014,65.07,56.677,56.795,56.875,57.702,58.178,56.775,55.564,56.056,55.36,58.365,60.555,60.871,61.019,61.323,62.291,63.137,63.053,63.135,64.872,67.109,68.318,68.646,68.089,70.301,70.607,70.777,70.533,72.421,73.12,73.845,73.563,74.071,75.985,75.825,75.537,77.464,80.322,82.149,82.445,81.982,84.127,84.185,83.624,85.622,87.546,90.885,92.447,96.718,104.765,99.968,97.823,97.445,98.359,100.336,100.05,100.842,104.509,106.631,103.682,107.384,108.41,107.338,106.252,109.551,112.524,114.243,114.596,118.266,118.572,118.328,117.392,118.858,118.573
"23","15","        Electronics","B388RG3",58.243,58.442,57.548,57.455,58.968,61.259,61.742,61.013,62.104,64.202,68.79,72.866,71.298,70.276,71.617,76.092,74.431,73.582,75.388,77.576,78.201,78.492,78.721,79.987,79.347,82.864,82.974,84.721,85.272,91.407,93.54,92.944,95.655,95.35,94.366,100.624,101.702,102.294,105.241,104.365,107.176,106.576,104.642,107.288,108.585,108.864,107.83,106.893,108.013,107.452,108.676,107.538,109.859,108.244,107.174,107.218,106.934,107.176,107.181,108.715,107.699,107.223,108.776,108.433,108.438,108.556,108.79,109.251,110.681,111.171,111.907,112.548,112.758,113.495,113.99,114.225,114.359,114.384,113.933,113.907,113.973,113.948,113.714,113.813,114.14,113.897,113.609,113.727,114.004,114.241,114.095,113.855,114.038,113.961,113.702,113.551,112.453,111.112,110.524,109.749,108.961,108.363,107.377,106.671,105.908,104.74,103.572,102.86,102.135,101.315,100.879,100.681,100.288,100.139,100.042,99.532,98.69,98.316,97.66,97.246,97.014,96.699,96.054,95.708,95.054,94.717,94.386,93.979,93.641,93.836,93.734,93.876,94.214,94.022,94.025,93.966,94.218
"24","16","        Other durable goods","B389RG3",33.563,34.042,34.301,34.54,34.269,34.646,36.401,36.289,37.394,38.004,37.568,38.101,40.548,41.642,40.774,41.712,40.775,43.105,46.267,45.881,46.409,46.816,47.402,48.723,49.608,51.432,52.977,54.487,55.176,55.351,57.233,59.535,58.635,62.039,63.497,63.855,66.826,65.716,66.427,70.658,73.268,71.925,73.491,74.045,75.211,76.384,76.602,76.5,77.397,77.58,79.319,78.651,79.739,80.244,78.239,79.165,79.698,80.191,79.949,82.193,80.877,81.332,81.357,80.963,83.01,84.685,84.497,86.738,86.946,87.615,88.521,89.476,89.198,89.675,89.123,89.83,91.226,90.09,91.33,91.927,92.238,92.65,93.295,93.508,94.531,94.869,95.346,95.869,95.999,96.327,96.428,96.94,97.6,98.24,98.479,98.442,99.085,99.38,99.326,99.636,99.849,99.893,99.881,99.838,99.831,100.188,99.943,99.835,100.072,99.875,99.56,99.503,99.701,99.962,100.168,100.169,100.441,100.52,100.315,100.278,100.522,100.423,100.404,100.252,100.537,100.507,100.335,100.317,100.365,101.12,101.399,102.16,102.739,103.912,104.412,104.497,105.059
"25","17","      Nondurable goods","B725RG3",18.593,18.988,19.115,19.489,20.823,21.642,24.646,25.895,28.304,29.65,34.343,39.053,38.161,37.149,40.011,39.598,41.285,41.418,42.135,42.638,43.994,44.959,45.544,46.807,47.233,47.707,48.327,49.305,51.744,54.862,61.886,71.677,79.544,90.547,90.394,90.456,93.738,100.431,100.534,98.539,97.065,95.948,95.214,95.268,92.001,89.572,89.806,89.883,88.284,88.249,88.208,87.054,85.784,85.915,85.704,86.561,81.346,68.222,64.521,64.27,66.88,70.753,73.331,74.89,73.811,76.101,78.525,76.342,79.34,81.049,79.906,82.294,85.82,84.267,90.488,107.613,94.154,83.299,85.263,86.681,80.686,82.443,85.822,84.446,81.502,83.352,80.801,80.788,77.086,79.553,81.198,82.624,79.806,81.548,81.565,83.65,86.539,87.769,88.823,94.411,92.448,87.139,85.403,87.033,80.606,78.751,77.053,76.832,74.201,79.244,84.645,90.049,96.423,95.351,101.117,107.109,99.204,97.317,95.621,83.987,80.808,80.937,93.67,96.574,102.762,89.886,87.295,88.225,80.354,91.212,96.684,100.483,100.118,103.002,117.033,114.285,108.006
