"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",104429,106654,109583,111864,114260,120127,124689,129483,135238,137870,140034,145818,143804,148559,152384,154121,160435,161048,162308,164360,168096,164665,170963,171155,171728,179905,173992,185124,189238,194454,201533,203078,212208,204837,204513,201421,204648,207066,202839,228587,209475,207698,217757,212217,212182,216522,222132,218718,220108,219034,224818,230548,227985,233322,233204,222370,233084,229102,231660,235501,234881,233454,233190,234665,224810,211334,195384,176538,174886,172784,180661,185252,186625,192856,194836,209546,213579
"12","4","S4 EN4411ZZMA     Automobile dealers","T050040",89332,91218,94044,95444,97685,102993,107199,112146,117336,119052,121028,125493,124202,128429,131629,133355,139386,139474,140386,141917,145197,141834,147458,147664,147634,155522,149096,159771,163538,168142,174856,175520,183297,177047,176486,173272,177147,178703,174751,200068,180202,178584,188340,183173,182614,185786,190029,185985,186721,185527,191086,195919,192427,197087,197424,186217,195357,192121,194631,197201,196908,195133,194560,196278,187524,174220,158842,141634,139812,138405,145219,149350,151098,156746,158527,172653,176981
"13","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",4505,4498,4607,5190,5351,5529,5531,5463,5359,6137,6057,7229,6532,6738,7128,6816,6883,7168,7472,7630,7857,7721,8078,8193,8583,8826,9301,9607,9787,10233,10425,10897,12342,11449,11466,11771,11753,12334,12115,12647,13129,12741,12912,12742,13144,14073,15119,15548,16017,16111,16280,16665,17092,17792,17407,17129,18126,17712,17475,18631,18249,18335,18257,17956,17185,16595,15902,14124,14463,14140,15500,16116,15416,15696,15443,15680,15722
"14","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",10592,10937,10932,11230,11224,11606,11959,11874,12543,12681,12949,13096,13070,13392,13627,13950,14166,14406,14450,14813,15043,15110,15426,15298,15512,15558,15595,15746,15913,16079,16252,16661,16569,16341,16561,16378,15749,16030,15973,15872,16144,16373,16506,16302,16424,16664,16985,17185,17371,17396,17451,17963,18466,18443,18373,19024,19602,19269,19554,19669,19724,19987,20373,20430,20100,20519,20640,20779,20610,20238,19943,19786,20112,20415,20867,21213,20876
"15","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",24640,25243,25394,25619,26524,27274,28166,28477,29296,30689,31794,33081,33168,33479,34205,35198,35091,36176,36472,36566,36660,37501,38238,38784,39542,39689,40570,41163,41654,42691,44004,44543,46057,46335,46270,45327,45522,45062,45361,46655,47484,47521,46927,47433,46390,48128,49815,51163,51790,52778,53930,54575,55539,56188,57253,58199,60025,59589,60186,60656,60868,60115,60213,60551,58765,59063,57214,54223,53279,51078,50998,51622,53024,52917,53172,52516,53309
"16","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",13742,13911,13889,13937,14397,14637,14767,14917,15150,15835,16330,16641,16419,16509,16914,17345,17237,17885,18169,18373,18663,19030,19394,19778,20128,20237,20439,21054,21355,21877,22673,23157,23891,24322,24395,23774,24204,24012,24006,24372,24981,24924,24661,25039,24582,25576,26138,26742,27192,27446,28220,28588,28799,29253,29844,30387,31070,30821,31016,30761,31050,30545,30168,29795,28769,28363,27082,25619,24735,24095,24090,24232,24876,24512,24580,24417,24847
"17","9","S4 EN4421ZZMA       Furniture Stores","T050090",8328,8454,8417,8437,8678,8892,8889,9000,9047,9363,9637,9761,9619,9671,9961,10134,10068,10497,10538,10613,10805,11000,11213,11527,11657,11661,11707,11913,12128,12247,12694,12943,13334,13640,13657,13269,13416,13377,13366,13592,13790,13735,13385,13514,13290,13732,14035,14361,14600,14813,15182,15429,15461,15706,16136,16382,16480,16303,16537,16401,16492,16309,16016,15881,15416,15169,14405,13605,13351,12902,12967,13152,13460,13294,13313,13313,13401
"18","10","S4 EN4422ZZMA       Home furnishings stores","T050100",5414,5457,5471,5500,5719,5744,5878,5917,6102,6472,6693,6880,6799,6838,6953,7210,7168,7388,7631,7760,7858,8030,8182,8251,8471,8575,8731,9141,9227,9630,9979,10214,10557,10682,10739,10505,10789,10635,10640,10780,11191,11189,11276,11525,11292,11845,12103,12380,12593,12633,13038,13160,13338,13548,13708,14005,14590,14518,14480,14360,14558,14236,14152,13914,13354,13193,12678,12014,11384,11193,11123,11081,11416,11218,11268,11104,11446
"19","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",10899,11332,11505,11682,12127,12637,13399,13560,14146,14854,15464,16440,16749,16970,17291,17854,17855,18291,18303,18194,17996,18471,18844,19006,19414,19453,20131,20109,20299,20814,21331,21386,22165,22013,21875,21553,21318,21050,21354,22283,22503,22598,22266,22394,21809,22552,23677,24421,24597,25332,25710,25986,26740,26934,27409,27813,28954,28768,29170,29895,29818,29570,30045,30756,29995,30701,30132,28604,28545,26983,26908,27390,28148,28405,28592,28099,28462
"20","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",34634,34176,34554,34623,35769,36663,37334,38638,39370,41307,41944,42926,42996,42333,43170,44791,44573,46269,47358,47801,49108,49947,50756,51070,51876,52773,53271,54988,56247,56639,57516,59371,61606,59591,59738,60506,62199,64221,62841,62875,64497,66029,65793,65625,66318,68214,71942,73501,75720,79631,79988,81326,83750,86212,86329,89313,95606,91009,88219,88645,90145,88441,87760,86532,84739,85761,85247,80201,76536,75561,74058,73432,75181,80204,78471,82099,81732
"21","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",29005,28889,29396,29453,30716,31489,31968,33141,33676,35446,36369,37334,37181,36525,36969,38443,38280,39607,40400,40778,41866,42746,43169,43360,44087,44985,45805,47031,48457,48966,49811,51341,53028,52155,51844,52180,53522,55193,54964,55192,56415,57899,57724,57593,58055,59703,63283,65075,66800,70779,70959,72019,74592,76911,77046,79875,85969,81277,78546,78780,79875,78634,77453,75582,73997,74879,73419,68601,65461,64626,63457,62345,63049,66002,63657,65382,65447
"22","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",5629,5287,5158,5169,5053,5175,5366,5497,5694,5861,5575,5592,5815,5809,6201,6348,6294,6661,6958,7023,7242,7200,7587,7710,7789,7788,7466,7958,7790,7673,7705,8029,8578,7437,7894,8326,8676,9028,7877,7682,8082,8131,8069,8032,8263,8511,8659,8426,8920,8853,9030,9306,9158,9300,9283,9438,9637,9731,9672,9865,10270,9806,10308,10950,10742,10882,11828,11600,11075,10935,10601,11087,12133,14202,14815,16717,16284
"23","15","S1 EN445ZZZMA   Food and beverage stores","T050150",94397,95118,95927,96207,96130,96194,96333,96898,97712,98840,99396,99717,100250,100106,100382,101183,102093,102834,103661,104322,104968,104771,105556,105879,105835,106579,107557,108635,109835,110894,111753,113484,111939,114421,114833,116137,116966,118366,119321,120272,119860,118439,118672,119483,121015,120888,122956,123144,125256,126236,127338,129167,130517,131462,132715,134168,134988,136408,137512,140241,141110,141626,142861,145811,146931,148765,150607,148930,148333,149254,149549,150971,152922,152192,152993,155467,158447
"24","16","S1 EN4451ZZMA     Grocery stores","T050160",85984,86435,87029,87277,87287,87431,87611,88271,88970,89935,90444,90700,91370,91300,91419,92035,92742,93462,94281,94997,95452,95227,95761,96012,95846,96545,97443,98425,99627,100517,101441,102880,101131,103345,103514,104774,105377,106779,107670,108481,108064,106568,106774,107601,109131,108791,110446,110390,112292,113073,114142,115889,117125,117845,119002,120152,120541,122008,122929,125231,125961,126389,127502,130078,131413,132768,134063,132516,131741,132432,132776,134106,135685,134772,135502,137707,140407
"25","17","S3 EN4452ZZMA     Specialty food stores","T050170",2833,2982,3070,3017,3014,3061,3051,2985,2977,3024,3031,3143,3108,3041,3106,3192,3207,3217,3189,3252,3317,3210,3371,3317,3342,3393,3370,3345,3369,3384,3292,3416,3483,3580,3608,3594,3743,3766,3840,3850,3804,3902,3994,4008,4006,4130,4274,4366,4525,4581,4564,4540,4607,4748,4717,4743,4802,4723,4853,5118,5072,4965,5036,5414,5020,5268,5597,5516,5711,6052,5967,6042,6200,6367,6357,6520,6503
"26","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",5581,5701,5828,5913,5829,5702,5672,5642,5765,5882,5921,5875,5771,5765,5856,5957,6144,6156,6191,6073,6199,6334,6424,6551,6647,6641,6744,6865,6840,6993,7021,7188,7325,7496,7711,7768,7846,7821,7811,7941,7992,7969,7904,7873,7877,7968,8236,8389,8438,8581,8633,8738,8785,8869,8996,9274,9644,9678,9730,9892,10077,10272,10323,10318,10497,10729,10947,10898,10881,10770,10806,10823,11038,11052,11134,11240,11537
"27","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",31153,31606,32293,32512,32617,32969,33443,33335,33755,33753,34327,35122,34409,34756,34889,35311,35874,36380,36254,36399,36620,36380,37568,38084,38805,39487,39467,40326,41281,42416,42535,42952,43252,44264,44804,45084,44505,44220,43592,44228,45294,45339,44888,46337,45677,46590,48158,48700,50134,49809,50097,51419,52394,53377,52870,54826,55409,55865,56766,57646,59160,60843,62804,64417,65071,65280,63815,60794,62143,65589,67072,67126,68883,68025,70094,71358,72484
"28","20","S2 EN4481ZZMA     Clothing stores","T050200",21746,22502,23154,23227,23339,23349,23360,23418,23594,23719,23912,24397,24023,23894,24066,24232,24546,24895,24858,25084,25321,25340,26281,26555,26982,27597,27626,28106,28871,29778,29724,29828,30237,31104,31508,31970,31565,31507,31048,31607,32185,32272,32082,33218,32766,33508,34539,34869,36058,35847,36273,37318,38009,38777,38450,39770,39952,40541,41225,42003,43558,45187,47202,48531,48836,49101,47868,46164,47439,50164,51685,51976,53068,52581,54529,55284,56081
"29","21","S2 EN4482ZZMA     Shoe stores","T050210",5062,4884,4849,4927,4917,5001,5076,5143,5226,5137,5305,5402,5190,5460,5408,5476,5557,5681,5629,5608,5678,5558,5681,5761,5874,5813,5838,5994,6012,6055,6013,5946,6027,6011,6067,6063,5926,6077,6043,5968,6122,6100,5959,6025,5974,6016,6284,6263,6319,6252,6202,6297,6474,6651,6662,6974,7027,6989,7144,7208,7154,7294,7263,7308,7403,7352,7263,6264,6421,6654,6644,6635,6972,6979,6916,6905,6983
"30","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",4345,4220,4290,4358,4361,4619,5008,4774,4936,4897,5111,5324,5196,5401,5415,5603,5771,5804,5767,5707,5621,5482,5606,5769,5949,6078,6003,6226,6398,6584,6798,7178,6988,7149,7229,7052,7014,6636,6501,6652,6988,6966,6847,7094,6937,7066,7336,7567,7757,7710,7622,7804,7911,7949,7759,8082,8430,8335,8397,8435,8448,8362,8340,8578,8833,8827,8683,8365,8282,8771,8743,8515,8843,8465,8649,9169,9420
"31","23","S1 EN452ZZZMA   General merchandise stores","T050230",65068,65553,66244,68633,68904,70335,71923,73401,74390,75388,76766,78604,78835,79998,81354,81429,81892,84060,84983,86455,87331,87396,89414,89934,91767,93408,93966,96124,99562,100319,102090,104055,104642,106498,108409,110153,111053,112072,113708,116231,117080,118035,117517,119594,120742,122408,126468,126657,129207,129746,131001,133889,135666,138328,139496,142555,144677,145562,146524,149075,149374,148093,149038,151128,150139,151722,150911,147707,148927,149384,150788,153166,158529,158576,160005,161575,162960
"32","24","S1 EN4521ZZMA     Department stores","T050240",46627,47170,47537,48762,48944,49827,50840,51618,52431,52834,53605,54457,54486,54956,55892,55554,55508,56808,57169,58104,58436,58362,59405,59526,59594,59843,59502,60306,61782,61415,61736,61685,61546,61872,61629,62398,61345,60507,60483,60460,59809,59101,57631,57618,56506,56824,58029,56801,57056,56442,56803,57328,57252,57473,56486,57342,57408,56961,56367,56680,57107,55851,56047,55720,54444,54833,54016,52734,51981,51692,51413,51724,52248,51000,50747,50840,50614
"33","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",18441,18383,18707,19871,19961,20507,21082,21784,21959,22554,23161,24147,24349,25042,25462,25875,26384,27251,27814,28351,28894,29034,30009,30407,32173,33565,34464,35818,37780,38904,40354,42370,43096,44626,46780,47755,49708,51565,53225,55771,57271,58934,59886,61976,64236,65585,68438,69856,72151,73304,74198,76561,78414,80855,83010,85212,87269,88601,90157,92396,92267,92242,92991,95408,95695,96888,96895,94973,96946,97692,99375,101441,106281,107576,109258,110736,112345
"34","26","S1 EN44EZZZMA   Other retail stores","T050260",108340,109907,111901,114705,115836,117193,117784,120744,123053,125077,129696,131302,132249,134822,136800,138825,141643,147492,147735,152776,154971,153890,156017,157261,157418,159706,162758,165360,168908,173889,178785,186915,193476,196078,200154,204807,201910,204039,200738,197248,199321,206602,208617,212112,218335,214076,219604,223245,231314,236200,239005,248311,251648,255254,267148,273605,279352,286217,286981,281913,287615,295167,296989,307524,315426,327244,327068,281927,266724,268060,275946,283303,291733,290514,293323,306027,320402
"35","27","S1 EN446ZZZMA     Health and personal care stores","T050270",22966,23032,22877,23212,23396,23626,23839,24157,24098,24461,25042,25293,25523,25935,26130,26747,27039,27886,28395,29141,29719,30034,30781,31223,31960,32753,33721,34550,35322,36158,36632,38161,38323,39391,40194,41176,41567,42264,42734,43830,44919,45748,46271,46726,47424,48123,49630,50407,49918,50520,50772,51259,52357,52964,53609,54562,55623,56441,57262,58624,59044,59580,60408,60356,61201,61854,62399,62558,63249,63640,63940,64561,64777,65479,66581,67758,69047
"36","28","S1 EN447ZZZMA     Gasoline stations","T050280",39313,39756,40541,41417,41691,41743,41515,42198,42815,42905,44779,45734,46053,46840,46870,46650,48378,50713,49783,51210,52324,50684,51173,51186,49438,49091,48993,49690,50672,52816,55854,59328,62553,62902,64335,66530,65326,67821,64730,59794,60143,64588,65544,67510,72799,67677,69499,70609,77370,81292,81546,88038,88751,90448,100213,102101,103393,109126,108740,100529,105209,111800,111994,122234,128062,135592,135643,95630,82170,85146,93756,99510,104686,103482,104698,111149,119237
"37","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",12859,12941,13053,13474,13525,13944,13771,14286,14780,15085,15515,15632,15828,15939,16375,16472,16707,16702,17052,17464,17155,17166,17272,17852,17901,18348,18313,18476,18964,19268,19331,19564,19749,20502,20378,19787,20150,20142,20195,20776,20484,20340,20288,20797,20208,20449,20900,20931,21329,20871,21442,21393,21669,21582,21354,21973,22844,22361,22241,22242,22444,22587,22399,22249,21763,21908,21857,21527,21751,21997,21991,22296,22865,22865,23130,23758,24169
"38","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",9014,9026,8973,9241,9150,9563,9571,9897,10279,10334,10561,10637,10689,10799,10992,11218,11348,11179,11530,11888,11478,11609,11666,11912,11979,12403,12238,12339,12743,12933,13081,13140,13455,13897,13983,13529,13695,13748,13737,14277,14021,13889,13876,14397,13906,14077,14406,14610,14813,14415,14933,14957,15216,15277,15127,15658,16561,16084,16315,16358,16627,17007,16656,16724,16326,16349,16053,15823,16069,16189,16170,16306,17192,17351,17747,18459,18606
"39","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",3845,3915,4081,4233,4375,4381,4199,4389,4501,4751,4954,4995,5139,5140,5382,5254,5359,5523,5522,5576,5677,5557,5606,5940,5922,5945,6075,6137,6221,6336,6250,6424,6294,6605,6394,6258,6455,6394,6458,6498,6462,6451,6412,6400,6303,6373,6494,6321,6516,6456,6510,6435,6454,6305,6226,6315,6283,6277,5927,5883,5817,5580,5743,5525,5437,5559,5804,5704,5682,5808,5821,5991,5673,5514,5383,5299,5562
"40","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",14029,14148,14532,16080,16190,16175,16408,17045,17432,18115,19268,19383,19525,20223,20574,20798,20530,22521,22433,22889,24008,23482,24061,24664,25539,25555,26517,27126,27397,27339,27129,29034,29415,28407,28149,28020,27668,27684,27365,27102,27143,27532,27858,27160,26931,26923,27077,27220,27178,27546,27399,28223,28166,28305,28409,28841,30046,29823,29565,30501,30003,30830,30798,30320,30523,30059,30053,29057,29451,29657,29458,29775,29870,30908,31754,32354,33093
"41","33","S3 EN4531ZZMA       Florists","T050330",1531,1552,1633,2083,1836,1654,1643,1694,1717,1762,1759,1755,1730,1808,1770,1739,1833,1908,1880,1943,1925,1944,1936,1957,1974,1964,2055,2056,2083,2088,2052,2046,2114,2141,2220,2193,2169,2124,2060,1970,2086,2037,1944,1857,1884,1782,1809,1835,1716,1819,1808,1753,1728,1836,1867,1999,1963,1939,1814,1901,1841,1837,1854,1843,1793,1815,1803,1669,1684,1631,1628,1639,1652,1670,1640,1696,1776
"42","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",5475,5484,5775,6115,6178,6388,6369,6493,6937,7106,7419,7433,7340,7662,8002,8220,7634,8064,8529,8650,9189,8796,8826,8965,9572,9622,10019,10240,10600,10492,10462,10971,11281,11234,11139,11045,10739,10629,10438,10316,10407,10374,10525,10419,10155,10350,10295,10217,10531,10470,10453,10428,10438,10765,10695,10741,10885,10879,11178,11613,11156,10992,10890,10830,10834,10586,10328,10097,10601,10790,10541,10294,10269,10210,10269,10458,10614
"43","35","S4 EN4533ZZMA       Used merchandise stores","T050350",1443,1511,1522,1534,1525,1742,1680,1663,1701,1541,1623,1741,1705,1833,1821,1794,1773,2238,1904,1937,2220,1953,2152,2374,2347,2321,2483,2563,2462,2503,2435,2679,2653,2694,2669,2557,2573,2555,2560,2513,2670,2585,2567,2373,2622,2450,2460,2477,2411,2526,2632,2650,2565,2532,2594,2674,2877,2945,2862,2954,3052,3226,3264,3290,3347,3492,3618,3610,3741,3756,3765,3822,3981,4167,4284,4673,4852
"44","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",5581,5601,5602,6348,6652,6392,6716,7196,7077,7707,8467,8453,8750,8920,8981,9045,9289,10312,10120,10360,10675,10790,11147,11368,11646,11648,11960,12267,12251,12257,12181,13338,13368,12338,12122,12225,12187,12375,12306,12303,11979,12536,12822,12512,12271,12341,12514,12691,12520,12732,12507,13392,13436,13172,13254,13427,14320,14061,13712,14033,13955,14775,14790,14356,14549,14165,14304,13680,13425,13481,13524,14020,13968,14862,15561,15528,15851
"45","37","S1 EN454ZZZMA     Nonstore retailers","T050370",19173,20030,20899,20522,21034,21705,22252,23057,23928,24512,25093,25260,25320,25885,26852,28158,28990,29669,30071,32073,31765,32524,32730,32336,32580,33958,35215,35519,36554,38308,39838,40828,43436,44877,47099,49295,47199,46128,45714,45747,46633,48394,48656,49919,50973,50904,52497,54078,55519,55970,57845,59398,60704,61956,63562,66128,67446,68467,69173,70018,70914,70371,71391,72365,73877,77830,77116,73156,70104,67620,66800,67160,69536,67781,67158,71007,74856
"46","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",7973,8926,9715,9413,9989,9963,10311,11341,11616,12075,12066,12353,12467,13053,13833,14535,14866,15325,15781,16528,16888,17928,18254,18554,19456,20149,20976,21500,22383,23453,24761,25748,27277,28365,29563,30891,29045,29305,29137,29604,30461,30856,31312,31851,32209,32845,34009,34833,36437,37183,37816,38638,39987,41308,42563,44046,46040,45911,46632,48345,48223,47885,48759,47994,47307,48832,48171,47735,46996,45535,44977,42830,43245,42242,42025,43313,44540
"47","39","S4 EN4542ZZMA       Vending machine operators","T050390",1897,1720,1790,1849,1764,1792,1773,1742,1820,1827,1790,1745,1759,1762,1675,1780,1735,1847,2059,2070,2146,1955,1908,2013,1964,2020,2043,2088,2114,2130,2142,2112,2231,2300,2225,2118,1991,1966,2030,2123,2158,2069,2011,1972,1962,1935,1997,2102,2073,2123,2123,2128,2137,2079,1986,2102,2178,2092,2128,2051,2347,2241,2175,2514,2704,3007,2902,2418,2078,1907,1928,2211,2347,2146,2112,2190,2216
"48","40","S4 EN4543ZZMA       Direct selling establishments","T050400",9303,9384,9393,9261,9282,9950,10168,9974,10492,10610,11237,11161,11095,11071,11344,11843,12389,12498,12230,13475,12732,12641,12569,11769,11160,11790,12196,11930,12057,12725,12936,12968,13929,14212,15311,16286,16163,14857,14547,14020,14014,15469,15333,16097,16803,16124,16491,17143,17009,16663,17906,18632,18581,18569,19013,19980,19228,20464,20413,19623,20345,20245,20457,21857,23866,25992,26042,23002,21029,20179,19895,22120,23943,23392,23020,25504,28100
"49","41","S1 EN722ZZZMA Food services and drinking places","T050410",54126,52656,53117,55238,55648,56834,57890,57930,58048,59467,60237,60703,60689,61620,62267,62413,62809,63679,64395,65882,67133,67493,69010,68828,70162,71404,72150,73785,73639,74748,75268,77651,79599,80419,81248,81405,83164,83266,84095,84989,86580,87318,87903,88226,89160,91352,93526,94800,96544,97160,98740,100123,101611,103637,104357,105962,109541,109283,110410,112688,112441,114951,118902,117959,117085,117339,118144,116502,115964,115442,114395,115079,116606,116683,118091,119401,121936
"50","42","S4 EN7221ZZMA   Full-service restaurants","T050420",23492,22414,22451,23455,23439,24069,24709,24785,25207,25755,25965,26065,25939,26367,26696,26476,26682,27297,27955,28921,29883,29904,30845,30763,31151,31592,31782,32666,32648,33320,33473,34327,35144,35417,35713,36120,36653,36857,37585,38054,38929,39160,39207,39689,39694,40884,41768,41994,42870,42802,43706,44257,44791,45382,45598,46422,47550,47606,48374,49865,50622,51363,52652,53295,53261,54030,54936,55630,55469,55725,55312,55168,56457,55987,56939,57589,59224
"51","43","S4 EN7222ZZMA   Limited-service eating places","T050430",22598,22721,23222,24087,24574,24985,25324,25384,25085,25855,26395,26865,27021,27118,27384,27680,27881,28128,28070,28340,28470,28938,29122,29038,29795,30447,30887,31336,31137,31326,31594,32653,33242,33740,34019,34108,35039,34839,35028,35486,35986,36404,36971,36674,37478,38385,39105,40272,40995,41662,42271,42775,43633,44703,45002,45442,47308,46887,47315,47693,46715,48706,50563,49183,48746,48090,47301,46031,45548,44034,43418,44335,44522,45294,45718,46163,46906
