"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",103.152,103.733,104.388,104.889,104.68,105.298,105.679,106.395,106.942,107.048,107.067,107.699,108.549,109.507,110.9,111.187,111.981,112.466,112.981,113.443,114.117,114.845,114.926,114.824,114.895,115.068,115.06,114.861,114.005,113.706,113.28,112.403,112.303,112.073,111.337,111.145,110.724,110.037,109.558,108.708,108.014,107.857,106.999,106.399,105.821,104.524,103.354,102.152,101.741,101.321,101.029,100.967,100.394,100.413,99.763,99.429,99.313,98.803,98.429,97.992,98.168,98.426,98.3,98.591,99.117,99.25,99.832,97.98,97.319,97.48,97.345,97.468,97.393,96.418,96.254,95.997,95.898
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",106.56,107.057,107.23,107.646,107.479,107.463,107.49,107.885,107.624,108.115,108.507,108.199,107.92,107.611,107.897,107.959,108.454,108.308,107.776,107.916,107.963,108.19,107.516,107.146,106.485,106.459,106.501,106.121,105.503,105.871,105.65,105.652,105.811,105.597,105.485,105.443,105.451,104.942,104.223,103.432,102.873,102.932,102.55,102.134,101.587,100.531,100.557,100.212,100.378,100.622,100.161,100.53,100.18,100.041,99.956,99.831,99.514,99.999,99.93,99.233,100.074,100.281,101.643,103.569,105.468,108.049,112.202,115.508,117.429,118.003,117.929,117.454,117.678,116.923,115.624,115.001,115.405
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",75.717,76.024,76.447,76.898,77.76,78.241,78.167,78.332,79.194,79.93,80.458,81.054,81.779,82.075,82.316,82.945,83.645,84.101,84.342,84.88,85.192,85.377,85.373,85.577,85.485,85.846,86.229,86.902,88.521,89.132,89.744,90.178,90.768,91.371,91.643,91.628,91.758,92.519,92.893,92.502,92.287,93.269,93.844,93.604,93.912,93.251,93.906,94.323,95.269,96.547,97.287,98.36,98.909,99.372,100.548,101.171,101.569,102.64,103.158,102.553,104.013,104.848,105.249,106.331,107.711,109.1,111.111,108.81,109.434,114.761,116.767,117.43,118.394,118.269,119.453,119.989,121.381
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",90.524,91.158,92.012,92.164,92.052,92.471,92.374,92.462,92.771,92.877,93.418,93.136,93.126,93.346,93.818,93.758,95.566,96.521,96.099,97.915,97.761,96.923,96.264,95.97,95.214,95.04,94.785,94.04,93.402,94.319,95.31,96.343,99.236,98.853,99.721,100.927,100.042,99.204,98.682,97.045,95.638,96.197,96.137,96.214,98.389,96.247,95.386,95.237,96.603,97.118,97.505,99.012,98.758,99.37,100.758,101.114,100.541,100.632,100.41,99.189,100.382,102.404,103.792,107.673,111.514,117.315,119.659,111.782,106.683,105.959,106.696,108.726,111.298,111.135,110.295,111.881,114.567
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",108.573,109.419,109.769,110.275,110.522,110.61,111.03,111.438,111.685,112.207,112.474,112.562,112.397,112.224,112.687,112.954,113.332,113.299,113.201,113.304,113.409,113.447,112.916,112.608,112.544,112.669,112.469,112.128,111.664,111.918,111.674,111.517,111.333,111.191,110.86,110.742,110.611,109.96,109.383,108.733,108.034,107.794,107.209,106.288,105.449,104.311,103.463,102.927,102.799,102.845,102.145,101.534,100.83,100.388,99.701,99.187,98.556,97.949,97.385,96.789,98.076,99.354,100.374,101.541,102.907,105.018,107.419,108.276,108.214,107.903,107.265,107.289,108.011,108.56,108.601,108.199,107.23
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",73.313,73.513,74.026,74.286,74.576,75.171,75.252,75.599,75.863,76.207,76.666,76.742,77.172,77.871,78.19,78.652,79.346,80.177,81.125,82.007,82.221,82.38,82.704,83.102,83.528,83.941,84.454,85.137,85.92,86.067,86.456,86.958,87.336,88.019,88.848,89.265,90.148,90.912,91.718,92.12,92.691,92.904,92.944,93.066,93.668,94.216,95.152,96.212,96.722,97.726,98.294,99.085,98.988,99.955,100.226,100.878,101.385,101.502,102.351,102.88,102.439,107.897,110.967,124.33,136.144,155.269,158.738,116.204,96.482,96.601,104.103,111.447,118.104,116.223,114.168,115.582,117.344
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",65.508,65.976,67.035,66.926,66.546,67.074,66.655,66.483,66.787,66.558,67.197,66.673,66.707,67.092,67.509,67.145,69.854,71.429,70.637,73.728,73.375,71.777,70.983,70.662,69.107,68.548,68.143,66.826,65.837,67.475,69.854,72.33,79.499,78.604,81.103,84.225,82.107,80.856,80.28,76.998,74.355,76.131,76.873,78.476,85.365,81.456,80.404,80.703,84.539,85.77,88.089,93.595,94.223,97.008,103.184,105.584,105.096,106.965,107.481,104.438,105.626,109.169,111.288,121.142,130.261,143.841,145.831,120.556,105.711,104.009,107.134,112.963,118.89,117.488,115.035,120.464,130.244
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",72.008,72.342,72.618,72.908,73.285,73.687,73.991,74.227,74.507,74.839,75.095,75.528,75.961,76.46,76.872,77.271,77.664,78.234,78.761,79.501,80.034,80.395,80.915,81.51,82.032,82.403,82.944,83.498,84.067,84.533,85.066,85.55,86.137,86.655,87.356,87.972,88.689,89.447,90.217,90.904,91.516,91.94,92.495,92.988,93.364,93.839,94.354,95.01,95.813,96.547,97.478,98.101,98.962,99.607,100.343,101.088,101.924,102.796,103.598,104.272,105.358,106.237,107.534,108.599,109.696,110.922,112.836,114.528,115.746,116.304,116.689,117.044,116.996,117.239,117.713,118.207,118.84
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",71.807,72.177,72.462,72.761,73.139,73.552,73.865,74.096,74.399,74.733,74.977,75.417,75.846,76.37,76.792,77.189,77.591,78.178,78.694,79.437,79.979,80.352,80.888,81.484,82.016,82.497,83.046,83.689,84.359,84.781,85.296,85.721,86.243,86.839,87.626,88.187,88.968,89.76,90.52,91.129,91.644,92.174,92.673,93.194,93.644,94.105,94.63,95.22,95.967,96.626,97.516,98.215,99.076,99.607,100.284,101.017,101.913,102.964,103.818,104.505,105.55,106.429,107.741,108.836,109.967,111.224,113.231,115.025,116.304,116.836,117.24,117.585,117.486,117.709,118.185,118.661,119.393
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",72.663,72.887,73.132,73.386,73.756,74.121,74.414,74.667,74.895,75.221,75.503,75.927,76.369,76.809,77.192,77.592,77.957,78.479,79.032,79.77,80.291,80.627,81.116,81.711,82.209,82.464,82.972,83.403,83.833,84.348,84.893,85.461,86.133,86.561,87.111,87.796,88.435,89.134,89.916,90.709,91.452,91.717,92.35,92.776,93.032,93.532,94.034,94.758,95.65,96.454,97.434,97.946,98.814,99.605,100.419,101.162,101.903,102.53,103.244,103.921,105.056,105.929,107.224,108.289,109.372,110.592,112.581,114.397,115.717,116.269,116.691,117.039,116.934,117.155,117.628,118.126,118.628
"52","44","S4 PN7223ZZMG   Special food Services","T070443",72.754,73.015,73.289,73.555,73.918,74.312,74.611,74.867,75.097,75.434,75.713,76.141,76.579,77.055,77.452,77.852,78.23,78.774,79.33,80.063,80.576,80.928,81.419,82.016,82.516,83.092,83.583,84.236,84.903,85.302,85.777,86.215,86.722,87.357,88.031,88.57,89.366,90.105,90.829,91.373,91.891,92.39,92.892,93.341,93.764,94.233,94.779,95.314,96.074,96.686,97.536,98.228,99.088,99.618,100.292,101.001,101.851,102.824,103.618,104.339,105.391,106.261,107.489,108.433,109.455,110.57,111.83,112.616,113.17,113.839,114.014,114.402,114.755,115.187,115.64,116.063,116.816
"53","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",67.446,68.319,68.744,69.214,69.638,70.209,70.543,70.665,71.253,71.616,71.74,72.205,72.579,73.381,73.943,74.316,74.851,75.674,76.048,76.807,77.416,77.932,78.623,79.2,79.85,79.915,80.717,81.36,82.031,82.572,83.272,83.674,84.298,84.699,85.944,86.574,87.203,88.163,89.005,89.761,90.344,91.055,91.548,92.383,92.981,93.349,93.842,94.707,95.362,96.388,97.407,98.202,99.006,99.574,100.222,101.153,102.254,103.52,104.643,105.122,106.153,107.072,108.353,109.367,110.452,111.672,113.246,114.516,115.44,116.112,116.423,116.849,117.037,117.33,117.828,118.584,119.093
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",85.016,85.535,85.939,86.333,86.834,87.049,86.839,87.399,87.498,87.637,88.257,88.367,88.399,88.599,88.779,88.86,89.611,90.39,90.411,91.138,91.532,91.247,91.157,91.121,90.504,90.223,90.301,90.108,90.108,91.209,92.026,92.424,93.583,94.023,94.401,94.665,94.73,95.179,94.705,93.352,93.068,94.075,94.164,94.319,95.435,94.061,94.961,95.362,96.505,97.365,97.695,98.695,98.745,99.111,100.89,101.254,101.347,102.006,102.453,101.132,102.235,103.599,103.96,105.533,107.118,108.886,111.05,105.683,103.715,104.369,105.706,106.194,106.979,106.038,106.041,106.908,108.82
"56","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",87.071,87.622,88.048,88.46,88.982,89.162,88.86,89.476,89.543,89.648,90.33,90.384,90.346,90.494,90.635,90.661,91.471,92.284,92.222,92.945,93.316,92.924,92.733,92.593,91.791,91.405,91.409,91.099,91.011,92.211,93.073,93.457,94.704,95.131,95.458,95.668,95.632,96.033,95.37,93.711,93.294,94.388,94.408,94.514,95.738,94.091,95.048,95.412,96.604,97.483,97.725,98.781,98.714,99.04,100.969,101.277,101.265,101.893,102.291,100.691,101.797,103.228,103.457,105.1,106.751,108.593,110.794,104.457,102.06,102.731,104.197,104.705,105.599,104.504,104.446,105.36,107.436
"57","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores \1\","T070483",112.938,113.273,113.482,113.736,113.508,113.517,113.64,113.982,113.665,114.116,114.191,113.781,113.531,113.31,113.543,113.527,113.783,113.594,113.134,113.253,113.262,113.439,112.724,112.295,111.787,111.558,111.384,110.814,110.117,110.084,109.675,109.225,108.966,108.783,108.536,108.353,108.244,107.445,106.908,106.254,105.678,105.363,104.66,103.931,103.082,102.27,102.073,101.667,101.494,101.542,100.945,100.798,100.447,100.305,99.767,99.48,99.244,99.203,98.891,98.506,98.412,97.869,97.172,97.208,97.268,96.957,97.378,96.72,96.366,96.363,95.839,95.004,94.442,93.581,93.135,92.419,92.324
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries PN442ZZZMG, PN443ZZZMG, PN448ZZZMG, PN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","PN452ZZZMG, and PN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
