"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"15","7","      Autos","A136RX0",77631,79056,78990,82803,79981,78718,75801,77730,78593,72872,80276,82332,79306,86487,81124,87056,86480,92652,93445,97345,102281,98609,95888,91782,95264,91304,87688,110490,95909,92937,98511,91051,92974,90883,92667,90084,93844,91515,90496,95287,94220,99280,102031,94260,99408,98818,100752,97355,97490,96951,90770,97144,96531,98721,80920,66453,64499,63347,87236,70575,68297,65429,65599,73897,82990
"16","8","        Domestic","GAP510",52122,53175,54805,58678,57406,55785,51248,52754,51672,47831,52548,52604,50810,57365,53241,57737,57585,60500,60940,61307,68287,65069,62800,58397,64172,58745,56583,76824,63886,62058,66865,60323,60476,60796,61611,59931,61490,58362,58922,60427,61436,65254,66466,59659,65133,61939,63439,58660,61190,60843,55987,61501,61016,60724,48796,41161,39958,39465,58156,45325,42397,39867,37859,45102,52812
"17","9","        Foreign","GAP540",25510,25881,24186,24125,22576,22934,24553,24976,26921,25041,27728,29728,28496,29122,27883,29319,28895,32152,32505,36038,33994,33540,33088,33385,31092,32559,31105,33666,32023,30879,31647,30728,32498,30087,31056,30153,32354,33153,31574,34860,32785,34026,35565,34601,34275,36879,37313,38695,36300,36109,34784,35643,35515,37997,32124,25292,24540,23882,29081,25250,25901,25562,27741,28795,30178
"18","10","      Light trucks (including utility vehicles)","B704RX0",64788,64535,63796,66990,68859,68676,68272,70997,71468,72158,79144,83841,79819,92507,86482,97138,97055,100251,101386,101346,109133,102546,108202,103459,114638,116888,118106,156340,143915,135787,154192,146244,142748,163165,168630,163406,163026,159199,163093,158146,148008,164600,167286,125893,132602,133715,137513,137687,143530,143275,142420,137776,123057,102188,103704,91109,93909,93870,101306,101209,100646,108124,107393,124718,120958
"19","11","        Domestic","ETRPDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125550,118368,135857,127818,121491,139192,143856,140696,139903,136898,140683,135093,126836,141849,145012,106731,112106,111865,115759,113811,119568,119545,119326,114011,101750,83046,85855,73927,74682,78006,83091,85558,84154,91949,90280,105468,101516
"20","12","        Foreign","ETRPMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18365,17420,18335,18425,21257,23973,24774,22710,23123,22301,22410,23054,21172,22751,22274,19162,20496,21850,21754,23876,23963,23730,23094,23765,21307,19142,17849,17182,19228,15864,18215,15652,16492,16176,17113,19250,19442
"21","13","    Net purchases of used autos and used light trucks","W240RX0",73298,71182,77689,74291,77302,82479,85049,81915,92242,87776,90045,90688,89031,90790,107890,119842,103286,116643,115058,100234,116256,100436,103261,114133,110258,105162,112319,104897,103491,116247,116550,107927,109689,107028,110804,110541,106348,110855,112559,115642,119136,111662,110391,109637,111510,112423,113666,116066,111978,118399,122007,118024,115556,112664,108453,105086,115133,113738,110874,107799,108031,107905,111846,120541,127550
"22","14","      Used autos","A137RX0",52623,49745,54956,49745,50929,55160,56678,52128,59948,54658,54509,55895,53979,53525,64251,68802,58172,65230,64385,54237,64646,53752,54760,64601,59340,57714,59554,53356,54305,59911,59225,54498,55719,53924,55693,55527,52380,55180,55397,56806,58734,55444,54400,54117,54390,54482,54275,53838,51127,53440,54898,54063,53871,52533,49470,45636,49329,47995,47237,46760,46812,45665,47086,51333,54294
"23","15","        Margin","GAP570",27601,28001,27782,26379,27639,28162,27832,26668,27027,26851,27940,27004,25671,26435,27128,28414,25922,28090,28029,25643,28454,26079,27190,28478,28976,30367,28954,27950,27718,25853,23740,24056,25739,24233,25926,25616,23303,26291,26326,26350,28499,26282,24433,24708,25359,25359,26072,26110,24050,25063,26021,25905,26230,25008,23701,21426,22372,21762,21121,21561,22087,21495,22082,23379,24730
"24","16","        Net transactions","GAP600",27583,24863,29442,25947,26053,29369,30943,27796,34574,29884,28848,30899,30225,29179,38310,41434,33773,38448,37737,30339,37609,29567,29606,37429,32386,29910,32661,27765,28673,35508,36740,31977,31687,31295,31514,31633,30833,30626,30833,32249,32008,30918,31696,31089,30707,30808,29915,29366,28734,30078,30478,29749,29230,29049,27345,25843,28485,27710,27572,26662,26269,25734,26516,29384,31026
"25","17","        Employee reimbursement","GAP630",-1973,-1990,-1969,-1962,-1924,-1945,-1941,-1977,-1918,-1894,-1869,-1844,-1843,-1838,-1779,-1794,-1815,-1771,-1775,-1713,-1734,-1712,-1708,-1715,-1729,-1781,-1834,-1806,-1716,-1666,-1663,-1731,-1746,-1715,-1703,-1687,-1739,-1744,-1767,-1794,-1761,-1760,-1732,-1686,-1691,-1695,-1697,-1622,-1634,-1685,-1614,-1611,-1603,-1546,-1576,-1596,-1510,-1459,-1419,-1446,-1517,-1532,-1491,-1463,-1502
"26","18","      Used light trucks (including utility vehicles","W241RX0",20888,21631,22958,24699,26514,27493,28550,29955,32449,33293,35682,34958,35204,37402,43809,51201,45236,51544,50800,46082,51722,46748,48553,49705,50991,47553,52821,51541,49224,56360,57341,53441,53984,53112,55118,55022,53964,55674,57165,58838,60404,56221,55990,55517,57124,57945,59388,62214,60844,64958,67108,63958,61690,60127,58973,59450,65794,65725,63616,61025,61204,62218,64732,69193,73241
"27","19","        Margin","W491RX0",10267,10635,11002,11366,11729,12090,12449,12806,13792,13487,13932,13588,13394,14315,15267,16779,15133,16854,16815,15914,17417,16060,16827,16825,17125,17929,17403,17830,17654,17306,16250,16938,18072,17704,19226,18997,17511,19556,19958,19665,20942,19078,17843,18210,18671,18500,19294,20004,18790,19926,20831,19562,18869,17275,17271,16948,17821,18515,17822,18338,18656,19101,19618,20104,21517
"28","20","        Net transactions","W492RX0",11508,11916,12829,14110,15470,16091,16785,17794,19335,20312,22185,21785,22173,23490,28656,34304,30077,34593,33936,30267,34314,30765,31842,32908,33872,30093,35341,33789,31702,38844,40721,36322,35856,35346,35960,36075,36477,36106,37193,39165,39456,37142,38149,37312,38453,39442,40093,42208,42068,45057,46290,44426,42844,42887,41752,42558,48080,47283,45887,42683,42540,43108,45105,49078,51715
"29","21","  Private fixed investment","AB62RX0",104007,100063,102490,104534,102660,105548,110969,113632,116008,113425,115372,117299,114284,121202,117473,134588,131314,134587,144184,141605,144222,135737,129978,120918,123500,121613,111254,113178,112032,112730,118873,108876,102598,107919,113106,109967,113225,119524,132498,142064,138472,143306,156477,153589,170512,163039,160089,161139,155183,143557,140434,141039,136603,112193,94410,59453,34263,37966,35217,46957,69401,83901,92268,88999,100902
"30","22","    New motor vehicles","AB68RX0",139547,134619,140385,142415,144165,150840,157867,157366,161221,158871,164796,170101,169491,183076,170754,194788,194660,196219,208249,206549,212314,199749,195548,181027,188845,183720,174388,171296,168796,179872,187445,176206,164545,165367,177684,178843,177018,185603,200578,207680,200786,208178,223937,218924,237835,225894,225252,230044,228283,216350,219080,215197,209348,186913,171474,129844,103780,110599,118497,131571,143798,150496,158972,154003,171194
"31","23","      Autos","B139RX0",68370,65983,69413,67930,67765,72184,73983,68594,72442,70076,71492,71138,69053,73625,68413,80205,76587,79460,81867,80852,86273,80383,79426,78039,82106,80963,76043,70965,72766,80514,81251,76153,73337,69668,73115,70506,68729,73021,74060,77134,75170,75416,79456,81016,85034,79548,79290,81044,82593,82548,83946,82333,79630,77010,73847,54552,44843,51035,53216,59289,66988,68168,68379,61876,71219
"32","24","        Domestic","GAP660",59356,56838,60866,59407,60279,64579,65840,60313,64082,62299,62881,61905,60160,64235,59187,70318,64929,66319,68382,65644,69188,63207,62173,60330,62756,60325,55933,48707,47813,56059,55963,51571,48334,46625,49389,47472,45915,49611,51750,52498,52211,51597,54561,56798,60727,53393,52827,53600,53091,53204,55679,53368,51130,46517,48067,34255,25067,31791,29783,38941,46112,47565,46018,38665,46891
"33","25","        Foreign","GAP690",9015,9146,8547,8524,7487,7606,8143,8282,8361,7777,8611,9233,8893,9391,9226,9887,11658,13142,13485,15209,17085,17177,17254,17709,19351,20639,20112,22258,24952,24455,25288,24582,25003,23043,23726,23034,22814,23410,22310,24636,22958,23819,24894,24218,24307,26155,26463,27443,29501,29344,28266,28965,28500,30492,25780,20297,19776,19246,23435,20348,20875,20603,22361,23211,24326
"34","26","      Trucks","B705RX0",70742,68210,70513,74069,76005,78210,83462,88527,88452,88516,93058,98816,100375,109426,102330,114489,118091,116733,126403,125724,126014,119351,116087,102891,106616,102601,98212,100281,95904,99144,106078,99957,91068,95644,104548,108337,108285,112571,126520,130550,125626,132765,144482,137894,152804,146360,145979,149026,145696,133765,135092,132817,129664,109812,97491,75229,58861,59435,65156,72142,76646,82155,90380,91858,99716
"35","27","        Light trucks (including utility vehicles)","B196RX0",39241,38312,40660,43501,48120,50347,55501,61606,62983,63293,66585,70185,70408,78457,68925,78415,82158,81118,89478,88385,90167,85521,85542,76834,81284,78997,76421,79120,75991,76383,80974,75724,71661,73856,81105,83164,80798,83843,94864,96662,89556,96559,107923,101102,113368,106664,106546,109683,109905,105348,110386,109169,107274,87566,77182,55162,44363,46696,51159,56058,60661,66445,72550,73909,76323
"36","28","          Domestic","BTRLDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65876,66156,70886,65714,60408,62425,68472,71042,68708,71406,81245,82025,76126,82797,92905,85056,95106,88377,88822,89713,90717,86915,91520,89299,87654,70222,62721,43868,34323,38075,41041,46613,50148,55633,60130,61619,63372
"37","29","          Foreign","BTRLMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10114,10227,10089,10011,11253,11431,12633,12122,12090,12436,13619,14637,13430,13762,15018,16047,18262,18287,17724,19970,19188,18433,18866,19870,19620,17344,14461,11295,10040,8622,10118,9445,10513,10813,12420,12290,12951
"38","30","        Other trucks, buses, and truck trailers","B197RX0",34092,32297,32117,32777,29477,29341,29202,27687,25952,25667,26943,29237,30743,31554,34592,37217,36930,36615,37771,38265,36562,34488,30871,26213,25289,23480,21590,20849,19601,22645,25039,24204,19220,21655,23268,25031,27476,28714,31604,33850,36091,36192,36557,36788,39510,39709,39422,39319,35888,28890,25602,24653,23544,22846,20771,19681,14393,12943,14203,16215,16291,16261,18348,18504,23354
"39","31","    Net purchases of used autos and used light trucks","W242RX0",-38318,-37218,-40314,-40473,-43485,-46989,-48766,-46124,-47568,-47591,-51314,-54527,-56591,-63052,-54976,-62210,-64968,-63515,-66249,-66911,-69930,-65764,-66842,-61401,-66174,-63220,-63352,-59043,-57732,-67121,-68720,-66987,-61682,-57802,-64712,-69099,-63949,-66357,-68269,-65707,-62342,-64871,-67443,-65326,-67359,-62897,-65157,-68861,-73045,-72874,-79037,-74587,-73393,-75317,-77656,-71584,-72578,-75268,-87610,-88146,-78171,-71145,-71784,-69896,-75869
"40","32","      Used autos","B140RX0",-28590,-27259,-29530,-28300,-29206,-32016,-33226,-29869,-33671,-31829,-32816,-32543,-33559,-36716,-33525,-38327,-36126,-35923,-35805,-35421,-38117,-34570,-35016,-33520,-34240,-33636,-31919,-28354,-28924,-33306,-33633,-32870,-31302,-29374,-31810,-32995,-31266,-33813,-33149,-32701,-32214,-32081,-32698,-33947,-31829,-30905,-32328,-33655,-34680,-34224,-36569,-34207,-35430,-36468,-37962,-33496,-30519,-35087,-37772,-43263,-37958,-32542,-31354,-29014,-34358
"41","33","        Margin","GAP720",1068,1100,1106,1066,1139,1171,1164,1117,1186,1175,1219,1177,1122,1156,1186,1242,1133,1228,1226,1121,1244,1140,1188,1245,1271,1319,1244,1249,1194,1128,1046,1066,1127,1060,1133,1120,1018,1149,1151,1152,1246,1150,1068,1080,1108,1109,1140,1142,1051,1096,1138,1133,1147,1093,1036,937,978,951,923,943,966,940,965,1022,1081
"42","34","        Net transactions","GAP750",-29641,-28309,-30618,-29347,-30309,-33178,-34400,-30969,-34862,-32990,-34019,-33715,-34704,-37919,-34716,-39607,-37304,-37169,-37049,-36583,-39397,-35740,-36225,-34754,-35498,-34924,-33140,-29554,-30091,-34438,-34695,-33949,-32427,-30431,-32940,-34115,-32284,-34961,-34300,-33853,-33459,-33232,-33767,-35026,-32938,-32013,-33467,-34796,-35728,-35319,-37703,-35337,-36572,-37557,-38993,-34431,-31501,-36034,-38684,-44187,-38909,-33468,-32305,-30017,-35419
"43","35","      Used light trucks (including utility vehicles)","W243RX0",-9913,-10123,-10962,-12313,-14401,-15115,-15685,-16349,-14069,-15879,-18598,-22071,-23119,-26422,-21551,-24002,-28906,-27661,-30491,-31525,-31868,-31224,-31855,-27931,-31954,-29620,-31439,-30673,-28810,-33816,-35084,-34114,-30387,-28435,-32897,-36096,-32680,-32544,-35123,-33008,-30126,-32789,-34743,-31382,-35529,-31992,-32829,-35205,-38365,-38652,-42471,-40385,-37960,-38847,-39696,-38090,-42072,-40183,-49867,-44882,-40213,-38605,-40434,-40887,-41518
"44","36","        Margin","W493RX0",1803,1904,2008,2113,2222,2333,2446,2562,2885,2821,2914,2842,2801,2994,3193,3510,3165,3525,3517,3329,3643,3359,3519,3519,3554,3733,3606,3810,3716,3604,3419,3512,3780,3703,4022,3973,3663,4090,4175,4113,4380,3991,3733,3810,3906,3870,4036,4184,3931,4168,4357,4092,3947,3614,3613,3545,3728,3873,3728,3836,3902,3995,4103,4205,4501
"45","37","        Net transactions","W494RX0",-11547,-11830,-12776,-14256,-16500,-17319,-17995,-18778,-16638,-18491,-21367,-24853,-25899,-29447,-24591,-27356,-32113,-31129,-34022,-34937,-35535,-34653,-35423,-31388,-35549,-33284,-35060,-34447,-32484,-37469,-38597,-37708,-34165,-32109,-36918,-40092,-36347,-36638,-39291,-37117,-34507,-36779,-38477,-35190,-39435,-35863,-36864,-39391,-42288,-42817,-46811,-44455,-41888,-42437,-43288,-41619,-45784,-44068,-53495,-48668,-44079,-42567,-44502,-45057,-45980
"46","38","  Gross government investment","AB64RX0",9349,10832,10266,12222,11927,9808,9628,10848,10969,11220,12020,10279,10651,12847,11633,12876,11943,11036,12829,14620,13507,13185,12901,13030,14524,13454,13041,12960,13208,13541,14495,13858,15962,14048,14880,13078,14670,14204,14558,13598,14705,14217,16800,14667,14701,15912,17719,17899,15213,15131,19553,18243,17960,18085,19767,13840,14720,13091,14392,13487,12233,14136,14601,14767,15902
"47","39","    Autos","B144RX0",3332,4051,3644,4320,3866,3234,3233,4177,3481,3196,3070,3304,3175,3694,3314,3443,3449,3272,3413,3858,3201,3258,3769,3340,3074,3634,3842,3543,3271,3097,3288,3507,3567,3187,3054,3131,3262,3072,2921,3429,3765,3227,3516,3301,3366,3833,3945,3853,3617,4020,3564,4020,3783,3530,3643,3401,2975,2723,3040,2952,2526,3244,2951,2850,2643
"48","40","      New autos","GAP810",1823,2634,2143,2950,2499,1739,1771,2967,2129,1825,1891,2009,1845,2557,2126,2311,2195,2032,2193,3016,2051,2164,2759,2287,1822,2503,2694,2330,2164,1991,2215,2520,2546,2035,1900,2138,2292,2043,1755,2416,2949,2137,2550,2303,2383,2934,3085,3079,2704,3194,2650,3276,2922,2697,2887,2568,2152,1874,2507,2234,1421,2493,2065,1993,1623
"49","41","      Net transactions in used autos","GAP840",-449,-608,-481,-651,-583,-430,-456,-802,-562,-503,-657,-536,-496,-706,-589,-662,-565,-532,-560,-869,-585,-618,-701,-657,-481,-655,-693,-597,-609,-562,-591,-738,-719,-563,-550,-694,-770,-716,-598,-781,-950,-668,-765,-689,-708,-793,-833,-842,-721,-855,-699,-850,-731,-708,-816,-773,-716,-651,-912,-756,-471,-810,-645,-648,-543
"50","42","      Employee reimbursement","GAP870",1973,1990,1969,1962,1924,1945,1941,1977,1918,1894,1869,1844,1843,1838,1779,1794,1815,1771,1775,1713,1734,1712,1708,1715,1729,1781,1834,1806,1716,1666,1663,1731,1746,1715,1703,1687,1739,1744,1767,1794,1761,1760,1732,1686,1691,1695,1697,1622,1634,1685,1614,1611,1603,1546,1576,1596,1510,1459,1419,1446,1517,1532,1491,1463,1502
"51","43","    Trucks","B708RX0",5948,6694,6545,7812,7986,6512,6331,6575,7428,7983,8928,6907,7425,9103,8276,9402,8448,7718,9382,10726,10296,9911,9076,9662,11457,9782,9150,9377,9915,10440,11207,10326,12394,10858,11842,9936,11405,11133,11642,10170,10942,10990,13284,11365,11334,12078,13774,14048,11597,11116,15985,14221,14176,14555,16127,10438,11749,10368,11351,10529,9703,10896,11641,11904,13230
"52","44","      New trucks","W495RX0",6613,7329,7199,8473,8681,7227,7043,7289,8010,8666,9815,7623,8132,10021,8942,10211,9229,8448,10257,11653,11237,10703,9863,10548,12285,10611,9993,10254,10811,11400,12034,11250,13366,11654,12879,10917,12460,12387,12745,11173,12199,11962,14341,12482,12470,13188,14866,15167,12653,12409,17264,15445,15331,15543,17371,11456,12946,11523,12893,11800,10571,12309,12906,13239,14131
"53","45","        Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3553,3479,3741,3817,4106,3834,4713,4014,4266,4899,4282,4068,5013,3898,4514,4871,5068,5121,5275,5291,4910,6149,6040,6020,5990,5075,6322,4515,4643,3990,5018,4458,3055,5006,4549,4839,3218
"54","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7271,7954,8323,7447,9295,7837,8160,6897,8208,7471,8469,7102,7170,8065,9826,7627,7426,8084,9586,9860,7768,6405,11175,9441,9355,10357,11015,6977,8265,7476,7900,7346,7380,7366,8312,8382,10579
"55","47","      Net transactions in used light trucks","W496RX0",-640,-629,-642,-670,-700,-690,-684,-689,-594,-685,-870,-700,-698,-902,-675,-811,-775,-723,-868,-928,-936,-803,-788,-880,-857,-832,-835,-869,-892,-954,-848,-921,-982,-809,-1037,-978,-1051,-1260,-1104,-1003,-1258,-972,-1057,-1116,-1137,-1110,-1091,-1116,-1059,-1312,-1267,-1219,-1146,-966,-1228,-1027,-1211,-1181,-1624,-1322,-888,-1464,-1305,-1378,-908
"56","48","  Net exports","AB63RX0",-60717,-60944,-52416,-51484,-54170,-60029,-60026,-55601,-66184,-65621,-64827,-60887,-65287,-69705,-70365,-81569,-90299,-92381,-98269,-99154,-105085,-103958,-108087,-106462,-107447,-104028,-103704,-101014,-104383,-106441,-109502,-110019,-102508,-106652,-101171,-106610,-108581,-111866,-106589,-102960,-98076,-100386,-101852,-108050,-111525,-111583,-105478,-113262,-100971,-92994,-99161,-87593,-85870,-86673,-66302,-54282,-36453,-41347,-61094,-65142,-57119,-79591,-83505,-71288,-69545
"57","49","    Exports","AB69RX0",28758,26156,27657,26932,28446,26871,29661,29327,28618,29528,31259,31181,31925,28762,25694,28228,27331,28063,27085,27945,29690,28984,26842,26576,24417,27301,28608,27946,28338,30443,30863,31991,32712,34651,31289,35182,33048,35603,39523,40105,43205,42787,43585,46305,48658,47458,49608,49316,53417,60157,61212,64621,63435,67022,69511,54693,33517,32410,41184,47832,52247,53341,51729,53578,57132
"58","50","      Autos","B142RX0",14150,12800,13033,13333,14108,12707,14218,13726,13055,13673,13601,13246,13857,12550,11968,13373,12606,12955,12057,12629,13298,13230,12414,12346,11780,13647,15121,14497,14358,15836,15880,15581,16624,16189,15036,16590,15297,16441,16616,18032,20104,19650,19957,21950,23312,22714,24144,24875,27114,30555,32619,35073,35985,38553,40165,31566,17500,17329,21689,25085,26550,26962,26267,28567,30008
"59","51","      Trucks","B706RX0",14548,13307,14611,13533,14267,14149,15409,15600,15591,15868,17737,18033,18146,16275,13737,14853,14746,15130,15071,15351,16436,15785,14448,14246,12633,13630,13428,13403,13947,14559,14940,16391,16049,18458,16239,18583,17747,19157,22924,22080,23103,23137,23626,24353,25345,24744,25464,24443,26303,29603,28604,29567,27484,28512,29397,23167,16006,15079,19486,22734,25663,26341,25428,25015,27113
"60","52","    Imports","AB70RX0",89476,87100,80073,78416,82616,86900,89688,84928,94802,95149,96086,92068,97212,98467,96059,109797,117630,120444,125354,127099,134776,132942,134929,133038,131864,131329,132312,128961,132721,136885,140365,142011,135220,141303,132460,141792,141629,147469,146112,143065,141281,143173,145436,154355,160183,159041,155085,162579,154389,153151,160373,152214,149305,153695,135813,108974,69970,73758,102279,112974,109366,132931,135234,124866,126677
"61","53","      Autos","B143RX0",55438,54407,49738,48048,48266,48148,49288,47133,53744,54025,54325,52053,54177,55547,52856,60187,63613,64514,68006,67864,71151,71518,72795,72415,72575,70683,69974,67569,70664,76303,76193,75130,70078,72637,69881,75296,71275,70663,75436,71137,68181,67647,69277,73126,74033,73871,78198,81856,72597,74636,80560,75295,75720,78862,78207,67996,40866,44026,62281,66050,58502,74001,81253,73125,72879
