"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238"
"11","3","          Value added","W102RA3",36.885,35.327,34.843,34.126,34.014,33.474,33.742,33.988,33.92,33.893,33.747,33.186,32.754,33.274,33.944,36.628,37.629,40.387,42.379,42.778,43.593,44.22,44.559,44.494,44.827,45.047,45.21,45.037,44.946,44.945,45.117,45.226,45.181,44.955,45.259,45.475,45.542,45.773,46.295,46.591,46.735,46.986,47.328,46.99,46.879,47.191,47.78,48.018,47.767,47.948,48.197,48.515,49.004,49.8,49.957,50.261,50.748,51.037,51.661,52.573,53.019,53.412,53.762,53.892,54.317,54.875,55.5,55.779,56.219,56.789,57.276,57.735,57.83,58.474,59.265,60.158,60.925,61.924,63.186,64.401,65.154,65.496,66.318,66.751,67.672,68.44,68.963,68.943,69.496,70.04,70.587,70.842,70.434,70.452,70.537,70.593,70.685,70.553,70.589,70.649,70.238,70.214,70.528,70.932,70.703,70.652,70.707,71.104,71.812,72.076,72.328,72.708,73.209,73.329,73.49,73.568,73.736,73.833,74.135,74.428,74.491,74.581,74.961,75.201,75.67,75.883,76.465,76.951,77.045,76.873,76.86,77.445,77.872,78.33,78.335,78.118,78.19,78.322,78.807,79.049,79.219,79.44,79.407,79.507,79.784,79.889,80.026,79.917,80.14,80.613,81.223,81.598,82.187,82.792,83.741,84.116,84.517,84.952,85.42,86.14,86.441,86.811,87.156,88.076,88.82,89.039,89.497,90.179,90.643,91.175,91.872,92.372,93.263,93.649,94.164,94.34,95.008,94.909,94.712,94.696,95.018,95.105,95.294,95.165,95.418,95.381,95.409,95.182,95.329,95.427,95.489,95.192,95.515,95.642,95.631,94.883,94.837,95.849,95.808,95.762,95.969,96.169,96.492,96.562,96.87,97.176,97.518,97.746,98.016,98.057,98.33,98.804,99.382,100.319,100.009,100.29,100.881,101.628,102.248,102.622,103.232,103.677,104.023,104.343,104.94,105.287,105.409,105.561,105.785,105.905,106.263,106.774,106.951,107.015,107.335
"12","4","            Compensation of general government employees","A194RA3",32.914,31.641,31.758,31.487,31.95,31.801,32.743,33.629,33.902,34.23,34.355,33.938,33.659,34.606,35.739,39.653,41.14,45.007,47.71,48.042,48.857,49.435,49.595,49.162,49.316,49.306,49.298,48.771,48.38,48.237,48.293,48.352,48.193,47.816,48.16,48.441,48.497,48.733,49.357,49.751,49.878,50.181,50.595,50.063,49.866,50.247,51.001,51.257,50.786,50.883,51.119,51.411,51.962,52.951,53.039,53.347,53.937,54.216,54.96,56.062,56.459,56.873,57.191,57.213,57.638,58.271,58.982,59.198,59.692,60.339,60.891,61.41,61.437,62.213,63.164,64.251,65.162,66.364,67.896,69.368,70.194,70.492,71.425,71.848,72.931,73.842,74.402,74.311,74.955,75.621,76.274,76.565,75.994,76.002,76.091,76.181,76.325,76.203,76.32,76.496,76.012,76.037,76.475,77.038,76.796,76.749,76.836,77.345,78.262,78.597,78.896,79.349,79.97,80.076,80.231,80.272,80.434,80.509,80.842,81.169,81.195,81.252,81.682,81.928,82.487,82.694,83.384,83.939,83.987,83.68,83.578,84.249,84.685,85.172,85.078,84.689,84.682,84.757,85.271,85.473,85.577,85.737,85.572,85.563,85.767,85.75,85.761,85.437,85.534,85.933,86.492,86.74,87.242,87.756,88.694,88.906,89.154,89.449,89.777,90.424,90.553,90.775,90.978,91.899,92.609,92.675,93.04,93.675,94.048,94.497,95.149,95.551,96.429,96.698,97.133,97.156,97.793,97.507,97.103,96.935,97.19,97.171,97.281,97.017,97.222,97.087,97.038,96.695,96.811,96.868,96.885,96.467,96.8,96.896,96.821,95.848,95.725,96.866,96.744,96.616,96.781,96.921,97.208,97.194,97.476,97.737,98.031,98.176,98.361,98.282,98.471,98.902,99.454,100.438,99.945,100.163,100.728,101.489,102.098,102.427,103.013,103.415,103.712,103.994,104.618,104.932,104.983,105.061,105.216,105.247,105.549,106.029,106.108,106.071,106.347
"13","5","            Consumption of general government fixed capital \2\","A265RA3",37.8,35.953,34.404,32.993,31.842,30.663,29.64,28.663,27.966,27.267,26.62,25.874,25.23,24.814,24.456,24.307,24.194,24.361,24.661,25.099,25.768,26.372,26.992,27.646,28.267,28.896,29.365,29.923,30.45,30.736,31.113,31.304,31.504,31.628,31.803,31.847,31.924,32.106,32.335,32.379,32.531,32.634,32.775,32.894,32.988,33.105,33.245,33.405,33.673,34.012,34.249,34.579,34.853,35.091,35.384,35.633,35.809,36.08,36.327,36.655,37.153,37.438,37.813,38.185,38.551,38.848,39.177,39.572,39.822,40.118,40.375,40.616,40.875,41.09,41.366,41.633,41.918,42.252,42.63,43.002,43.461,43.877,44.293,44.702,45.063,45.343,45.699,45.887,46.119,46.251,46.43,46.551,46.668,46.713,46.778,46.723,46.651,46.501,46.282,45.976,45.833,45.648,45.536,45.391,45.221,45.16,45.111,45.109,45.09,45.111,45.196,45.316,45.399,45.55,45.712,45.898,46.069,46.231,46.404,46.566,46.74,46.932,47.119,47.319,47.458,47.674,47.859,48.08,48.316,48.606,48.886,49.141,49.506,49.833,50.164,50.526,50.848,51.158,51.511,51.865,52.238,52.642,53.042,53.492,53.991,54.504,55.064,55.702,56.364,57.078,57.847,58.675,59.562,60.485,61.441,62.432,63.414,64.383,65.391,66.382,67.367,68.33,69.245,70.14,71.004,71.86,72.696,73.564,74.403,75.279,76.162,77.072,78.002,78.896,79.757,80.606,81.405,82.153,82.896,83.58,84.212,84.805,85.368,85.877,86.355,86.789,87.185,87.519,87.811,88.108,88.385,88.677,88.948,89.223,89.529,89.873,90.21,90.582,90.944,91.308,91.725,92.223,92.73,93.229,93.668,94.205,94.799,95.456,96.171,96.846,97.565,98.268,98.99,99.674,100.352,100.984,101.717,102.39,103.073,103.698,104.44,105.136,105.759,106.308,106.738,107.286,107.844,108.445,109.099,109.776,110.471,111.178,111.971,112.664,113.264
"14","6","          Intermediate goods and services purchased \3\","W104RA3",5.682,7.12,7.048,6.67,6.816,8.575,9.039,10.141,10.688,11.814,11.468,10.828,11.561,12.313,9.396,10.302,14.435,15.43,18.448,18.902,20.981,23.343,23.592,24.683,26.04,26.814,25.846,26.604,23.612,21.788,20.936,20.891,21.108,21.519,21.681,20.526,19.574,21.336,18.727,20.805,22.508,22.455,22.423,24.191,22.418,25.045,22.772,24.166,22.164,23.85,24.941,25.036,22.488,22.57,23.541,23.942,22.713,23.895,24.246,24.457,25.85,26.476,28.002,28.335,28.228,27.369,29.938,29.492,29.496,29.238,28.94,28.066,28.441,29.028,31.293,32.945,33.292,35.707,35.899,35.703,39.746,39.791,39.911,40.656,42.817,42.4,42.353,43.481,42.116,43.047,42.751,42.657,41.687,40.476,40.706,40.952,41.015,41.301,41.239,41.234,43.622,44.759,42.36,41.78,42.164,42.597,41.213,41.387,42.843,42.25,42.574,43.009,43.499,44.277,43.737,43.901,43.192,44.106,43.48,43.25,44.337,45.527,46.313,45.905,46.066,47.116,47.276,47.455,48.057,48.811,47.11,48.206,48.429,49.946,49.091,48.914,50.118,51.58,51.621,51.958,52.845,52.489,54.268,56.151,56.978,58.034,60.021,56.511,56.591,59.177,59.601,61.087,62.425,64.08,66.712,67.954,69.081,72.29,74.353,73.226,72.972,72.897,72.066,74.106,73.205,72.705,72.14,74.767,72.917,75.458,75.54,75.945,76.676,76.425,75.94,77.755,78.947,79.006,78.904,77.801,78.555,78.955,81.075,81.525,80.123,79.64,79.992,80.707,80.579,81.403,83.242,82.974,82.861,83.085,83.649,82.489,83.134,84.175,83.776,85.706,85.613,87.941,87.719,89.013,87.947,90.669,91.971,93.193,94.222,95.165,97.935,100.248,97.735,100.385,100.186,101.694,103.833,105.523,106.807,110.681,112.04,114.14,115.504,118.563,117.43,122.232,121.969,122.956,125.459,126.311,128.589,127.849,130.376,130.636,133.483
"15","7","            Durable goods","W105RA3",7.021,6.752,7.026,6.718,11.737,10.899,11.818,14.088,12.595,14.005,15.713,14.599,20.015,20.309,23.651,25.512,33.603,45.115,53.63,66.7,76.089,84.521,88.685,94.823,100.401,106.863,91.111,85.511,74.843,76.848,65.97,66.407,63.026,65.449,59.896,53.785,54.674,61.613,56.027,58.691,59.229,62.872,61.089,60.295,62.589,66.159,60.837,61.686,44.423,45.956,47.779,46.785,40.673,39.219,40.894,39.869,32.989,33.741,35.24,35.498,41.237,42.041,43.079,42.473,43.989,42.989,42.91,43.514,39.412,38.867,37.784,38.528,39.002,42.848,40.326,42.571,48.143,57.434,54.755,65.075,56.634,55.582,55.237,55.003,63.816,62.394,63.358,63.616,58.46,55.097,55.111,52.501,52.082,51.133,50.923,51.457,45.193,41.997,41.221,38.88,51.735,52.665,50.924,49.215,50.387,50.181,46.787,49.207,45.942,49.229,40.824,45.157,46.966,46.49,47.496,46.518,43.592,47.456,42.13,45.386,49.359,57.607,50.901,52.424,56.33,59.232,57.104,56.738,57.862,62.872,59.857,64.114,63.363,64.03,65.059,60.781,67.763,72.593,69.193,73.932,71.362,74.816,76.642,81.558,85.591,89.033,88.154,89.152,91.713,91.958,85.323,91.01,90.317,93.836,101.361,98.55,93.983,105.051,108.493,103.369,103.505,106.502,113.325,111.221,111.388,110.044,109.867,115.564,109.051,112.966,111.349,106.327,109.519,107.83,106.844,108.794,106.88,108.366,105.771,102.754,100.555,98.05,100.352,100.478,95.134,104.646,89.979,89.397,87.31,86.514,91.011,85.956,86.216,82.009,91.446,81.527,82.51,89.045,89.061,84.691,86.642,91.513,88.543,90.326,89.217,90.846,96.206,94.141,91.347,98.539,102.995,98.527,100.059,100.085,100.924,98.932,99.048,104.261,108.445,102.508,104.045,106.664,110.186,106.559,105.15,113.824,112.727,112.474,114.6,120.036,120.614,122.115,119.446,123.095,125.662
"16","8","            Nondurable goods","W106RA3",6.533,8.962,8.409,7.976,6.599,10.355,11.698,13.473,16.615,16.151,16.799,16.406,14.558,16.349,7.935,10.493,14.635,14.198,15.226,14.347,15.876,18.032,18.027,19.912,29.108,31.524,29.163,29.363,24.827,22.632,21.84,27.559,17.973,22,21.465,18.799,16.013,16.214,12.785,14.239,17.712,12.962,13.482,20.504,13.449,18.431,17.759,20.69,22.495,27.841,28.824,27.084,18.971,20.541,21.803,23.032,17.439,21.302,22.661,22.493,21.275,25.676,30.267,29.221,25.929,22.732,29.063,25.158,26.917,27.184,28.269,25.45,25.097,25.577,32.162,32.841,30.095,35.852,30.052,28.632,42.145,42.123,41.038,42.11,47.284,47.695,47.487,49.292,48.916,50.462,52.157,47.793,44.619,42.231,42.041,43.641,41.169,42.953,44.529,43.451,46.492,46.729,43.7,43.244,41.375,40.552,40.266,42.131,42.358,39.781,42.45,42.419,43.022,44.236,40.911,42.987,44.076,44.294,44.9,45.297,45.895,46.134,48.706,48.907,47.124,48.15,49.56,49.781,48.944,48.222,48.649,48.313,48.306,50.793,48.261,49.737,50.471,54.259,53.379,52.946,51.547,51.368,51.188,52.011,52.19,56.01,63.139,45.934,45.719,54.06,54.686,55.313,56.264,57.621,57.703,57.909,61.138,65.656,68.15,70.339,64.6,62.623,57.149,64.74,57.988,57.151,55.526,61.163,64.026,66.246,66.604,64.865,64.325,64.861,65.429,68.775,71.039,68.637,68.38,67.646,68.997,71.767,72.313,72.382,73.225,73.25,74.393,73.789,74.953,75.768,75.879,78.23,77.873,77.524,78.633,78.396,79.422,80.051,80.645,80.769,82.638,83.143,84.596,85.789,87.36,88.782,91.165,92.041,92.292,94.417,96.701,96.438,98.996,99.533,100.065,101.405,103.346,107.275,106.977,110.424,112.466,114.928,113.367,114.296,114.088,116.006,114.873,115.91,118.35,118.201,118.492,119.285,122.73,120.709,121.577
"17","9","            Services","W107RA3",4.756,5.852,5.99,5.657,5.898,6.851,6.792,7.36,6.873,8.672,7.575,6.916,8.233,8.443,7.531,7.461,10.728,10.837,13.846,13.204,14.315,15.733,15.477,15.419,12.664,11.817,13.643,15.532,14.547,12.417,13.075,10.248,15.635,14.001,15.309,15.632,15.308,16.969,15.272,17.509,18.518,20.055,20.048,19.782,19.785,21.189,18.7,19.451,18.23,18.243,19.285,20.43,21.089,20.733,21.444,21.705,23.474,23.499,23.196,23.568,25.392,24.307,24.564,25.672,26.705,26.903,28.271,29.177,29.117,28.674,27.903,27.601,28.277,28.361,29.576,31.552,32.385,32.168,35.477,34.098,36.116,36.374,37.084,37.859,37.701,37.09,36.938,37.926,36.776,38.14,37.008,38.99,38.809,38.024,38.486,38.157,40.193,40.459,39.886,40.63,41.179,42.678,40.431,39.977,41.118,42.146,40.63,39.784,42.439,42.132,42.679,42.752,42.994,43.759,44.273,43.729,42.533,43.321,42.844,41.815,42.687,43.244,44.336,43.376,43.835,44.616,44.572,44.817,45.981,46.767,44.274,45.587,46.07,47.21,46.951,46.525,47.127,46.877,47.898,47.987,50.519,49.523,52.231,54.166,54.816,54.22,54.257,56.315,56.112,56.484,57.905,59.12,60.969,62.478,65.46,67.746,68.813,70.342,72.047,70.301,72.017,72.208,72.032,72.554,73.701,73.445,73.218,74.342,71.378,73.828,74.017,75.959,76.856,76.507,75.701,76.897,78.091,78.898,79.185,78.197,79.103,79.03,81.688,82.315,80.633,78.682,80.686,82.024,81.7,82.734,84.832,84.261,84.187,85.162,84.437,84.037,84.503,85.016,84.212,87.547,86.506,89.175,88.7,89.973,88.025,91.303,91.789,93.494,95.2,95.057,97.8,101.748,97.025,100.722,100.151,102.102,104.528,105.046,106.577,111.634,112.752,114.679,116.787,121.258,119.826,125.24,125.361,126.459,129.027,129.776,132.939,131.409,134.097,134.901,138.555
"18","10","        Less: Own-account investment \4\","W108RA3",10.253,10.633,11.027,11.451,12.273,14.006,16.121,17.501,17.128,19.25,21.281,21.152,19.37,19.625,23.573,23.92,24.551,28.659,31.621,31.461,35.925,37.53,38.843,39.025,39.694,37.5,37.073,36.041,36.968,36.589,35.828,34.142,33.673,33.015,32.856,32.169,33.465,35.506,36.723,34.971,36.194,36.632,37.09,37.909,37.573,38.255,40.498,43.35,48.296,51.102,50.274,48.687,45.857,47.931,47.018,47.399,51.367,44.652,47.176,53.632,49.543,45.885,54.078,55.357,52.245,54.051,55.468,52.742,52.046,52.781,52.926,52.873,51.089,53.921,55.844,56.033,57.153,59.117,57.388,58.565,57.851,52.976,51.781,51.754,53.762,56.022,53.195,53.546,53.188,53.438,54.206,53.486,53.263,53.72,56.284,54.153,55.502,55.55,53.569,55.02,55.475,55.37,52.116,55.604,53.334,51.087,51.407,54.027,52.13,56.141,55.299,52.627,54.016,49.77,51.401,51.772,44.879,47.685,49.424,45.721,42.841,44.446,43.545,39.366,36.908,43.894,49.555,54.183,47.728,52.317,55.225,56.607,56.402,55.41,54.882,55.769,53.615,53.846,53.467,54.787,53.858,56.114,56.295,56.497,54.212,55.242,58.801,58.682,58.035,60.919,65.899,67.379,66.197,68.513,70.294,71.146,69.177,72.491,75.124,74.714,74.803,74.883,77.225,77.151,76.912,78.997,79.525,81.316,82.994,86.491,89.984,93.323,94.314,91.954,90.7,92.038,93.056,95.763,96.8,97.829,99.757,96.197,93.989,90.919,92.069,94.828,95.365,93.638,90.032,90.812,94.906,93.7,93.908,93.547,94.077,90.832,90.965,92.392,93.23,92.744,102.801,99.908,95.286,92.08,95.898,101.938,102.076,95.814,92.241,102.958,101.16,102.213,99.841,97.812,101.369,100.978,108.865,114.439,111.253,111.603,113.018,111.72,112.234,111.451,108.393,108.375,109.107,109.541,106.454,109.212,108.932,108.542,110.753,113.793,114.196
"19","11","              Sales to other sectors","W109RA3",13.757,12.176,8.278,8.179,10.179,8.454,8.426,10.066,8.646,8.962,9.872,9.538,9.802,14.217,9.634,9.6,17.857,9.909,9.865,9.735,9.591,10.543,9.777,10.187,10.296,10.247,10.266,10.438,10.515,12.491,10.999,11.598,13.266,22.226,13.687,13.825,13.231,14.906,13.141,13.404,14.893,15.948,16.424,16.789,15.763,19.827,15.54,17.377,17.919,16.038,16.392,17.643,17.38,17.309,17.28,17.069,17.373,18.093,18.211,18.145,19.506,20.042,20.038,20.195,22.905,21.054,21.974,22.176,23.773,22.838,24.22,24.675,25.557,25.712,27.272,27.454,29.43,30.881,29.474,29.75,30.278,30.908,31.608,31.969,32.671,33.533,34.167,34.91,34.821,35.474,35.694,35.703,36.299,36.534,36.739,37.659,38.498,39.416,40.43,40.969,43.22,44.664,44.663,46.225,46.547,48.079,46.633,47.131,48.647,48.431,47.138,47.207,48.567,48.102,44.851,46.303,46.94,49.124,49.944,48.185,50.231,50.899,51.977,51.021,51.849,53.091,54.657,54.948,55.35,55.868,55.963,58.828,55.751,56.678,57.394,57.216,57.649,57.8,59.864,58.387,59.383,59.205,59.573,60.481,60.3,60.706,61.98,62.159,61.108,61.231,61.991,61.496,62.263,63.017,63.775,64.334,64.586,65.508,65.675,66.118,66.468,66.612,67.086,67.009,67.586,68.279,69.222,68.476,69.474,70.191,70.545,70.068,70.607,70.534,71.8,73.08,73.606,72.934,75.11,74.577,76.046,76.676,77.86,76.842,79.059,79.766,80.605,80.14,82.446,84.402,82.921,84.786,84.781,84.585,85.075,86.581,85.998,86.52,87.744,87.728,87.547,88.361,88.952,90.171,91.481,91.344,96.114,92.841,93.013,94.253,95.116,95.71,98.326,98.787,100.18,102.707,103.347,104.716,106.535,108.869,108.808,108.433,109.753,109.473,110.12,111.77,112.381,112.898,114.242,115.343,117.308,118.086,120.273,120.63,122.423
"20","12","Federal consumption expenditures \1\","A957RA3",38.64,38.74,38.741,36.934,36.652,39.312,40.368,41.715,42.229,43.317,41.523,39.209,39.086,39.713,37.043,42.761,49.01,57.393,65.615,66.933,72.18,75.861,77.923,79.154,81.42,83.315,81.222,82.291,76.338,72.276,70.911,70.613,69.296,66.542,69.719,67.717,66.336,68.582,65.018,68.509,70.965,70.393,69.955,71.589,67.955,70.735,68.546,70.119,65.943,69.125,70.675,70.456,66.772,67.236,68.762,69.3,66.946,68.579,70.147,71.385,73.96,74.962,77.184,77.25,76.597,76.06,79.76,78.838,78.104,78.134,77.321,75.69,75.47,76.178,79.323,82.362,82.705,86.678,88.81,89.432,96.521,96.435,96.687,97.445,100.63,100.178,99.661,99.879,97.726,98.711,98.044,97.066,93.53,90.862,89.833,88.876,87.84,86.913,85.675,84.546,85.606,85.76,82.52,81.301,80.921,80.207,77.68,77.398,79.146,77.813,78.156,78.355,77.575,78.01,77.688,77.604,76.907,77.377,76.217,76.515,77.085,78.311,79.005,78.817,79.116,80.201,80.084,80.17,81.002,82.03,80.057,80.966,82.925,85.8,84.755,84.529,86.654,88.773,88.374,89.264,90.033,89.49,91.724,93.859,94.612,96.208,98.554,93.571,94.094,97.299,97.354,99.007,100.378,101.727,104.257,104.429,104.223,107.157,109.378,107.933,109.001,109.34,108.818,111.741,109.947,108.531,107.561,111.495,108.68,111.566,111.615,111.981,113.13,112.826,111.654,113.047,114.965,114.334,112.261,110.311,110.072,109.735,111.115,111.463,108.248,106.834,106.104,106.162,104.039,103.114,105.042,102.719,101.991,101.89,101.685,97.32,98.353,99.688,97.959,99.255,98.464,100.164,98.974,98.655,95.891,97.902,96.208,98.251,97.989,96.737,98.913,101.113,97.843,102.065,99.925,100.167,102.215,103.806,104.011,106.41,107.805,110.217,111.077,114.704,114.588,120.09,119.818,120.893,123.732,123.995,125.766,124.873,126.665,126.436,128.691
"21","13","      Gross output of general government","W110RA3",40.129,39.722,38.506,36.68,37.101,39.094,40.138,41.933,41.852,42.927,41.421,38.982,38.813,40.755,36.832,42.442,51.311,57.019,65.16,66.419,71.516,75.482,77.272,78.583,80.879,82.623,80.534,81.525,75.737,72.303,70.361,70.125,69.254,69.288,69.669,67.662,66.117,68.861,64.833,68.234,71.09,70.806,70.463,72.097,68.065,71.923,68.448,70.496,66.482,69.045,70.604,70.774,66.9,67.38,68.827,69.305,67.001,68.631,70.108,71.265,73.858,74.95,77.13,77.178,76.92,75.835,79.704,78.613,78.283,77.815,77.29,75.659,75.456,76.103,79.512,82.358,83.231,87.378,88.873,89.383,96.177,96.031,96.361,96.939,100.023,99.6,99.101,99.431,97.147,98.273,97.596,96.552,93.184,90.486,89.361,88.481,87.406,86.545,85.423,84.266,85.859,86.155,82.809,81.872,81.36,81.046,78.322,77.929,80.049,78.818,78.86,79.038,78.521,78.758,77.681,77.737,76.892,77.842,76.853,76.368,77.47,78.883,79.793,79.007,79.431,80.756,80.957,80.922,81.693,82.695,80.714,82.372,83.434,86.487,85.595,85.119,87.118,89.051,89.143,89.435,90.393,89.75,91.968,94.222,94.673,96.154,98.797,93.989,94.327,97.558,97.874,99.209,100.597,101.97,104.588,104.715,104.396,107.468,109.621,108.285,109.386,109.713,109.333,112.096,110.417,109.156,108.441,111.854,109.242,112.217,112.333,112.413,113.688,113.205,112.409,114.072,115.935,114.85,113.449,110.984,111.07,110.612,112.091,111.55,108.87,107.558,106.89,106.347,104.941,104.694,105.665,103.791,102.649,102.166,101.998,98.057,98.688,100.154,98.885,99.784,98.64,100.32,98.883,98.54,95.974,97.623,97.708,97.739,97.342,96.821,99.003,100.829,97.91,101.779,99.804,100.507,102.1,103.414,103.63,106.227,107.513,109.58,110.906,114.079,113.963,119.717,119.322,120.215,122.91,123.26,125.392,124.307,126.513,125.968,128.503
"22","14","        Value added","W111RA3",81.056,75.758,73.758,71.083,70.709,68.909,69.439,69.64,68.588,67.609,66.292,63.827,62.217,63.752,65.796,74.54,77.563,86.417,92.726,93.598,96.078,97.861,98.528,97.735,98.297,98.414,98.225,96.968,96.065,95.492,95.446,95.054,94.39,92.972,93.026,92.771,92.343,91.79,92.473,92.517,92.456,92.521,92.6,90.299,89.131,88.904,89.742,89.643,88.438,88.527,88.59,88.843,89.381,90.975,90.297,90.346,90.56,91.076,92.177,94.635,95.841,96.148,96.185,95.531,95.923,96.755,97.336,97.142,97.051,97.623,98.175,98.072,97.467,97.676,98.538,99.979,101.492,103.377,106.14,108.465,111.062,111.23,112.256,112.141,112.867,114.051,114.337,112.91,113.341,113.901,114.42,113.726,110.912,109.524,108.314,107.083,106.116,104.559,103.222,101.872,100.123,98.543,98.366,98.436,96.743,95.408,94.284,94.237,95.116,94.922,94.66,94.762,94.583,94.285,94.217,94.237,94.412,94.419,94.499,94.582,94.47,94.611,94.947,94.936,95.528,95.965,96.244,95.999,95.852,95.799,95.929,95.79,96.395,97.712,97.885,97.438,98.234,98.606,99.154,99.414,99.644,100.161,100.749,101.271,102.071,102.607,103.244,103.308,104.03,104.843,105.597,106.027,106.914,107.841,108.776,108.933,109.491,109.734,110.236,110.678,111.677,112.239,113.44,114.299,114.304,113.795,114.193,114.955,115.022,115.38,116.034,116.438,117.459,117.664,118.112,118.058,119.935,119.011,117.945,117.245,116.914,116.341,115.796,115.136,115.184,114.383,113.548,112.127,111.76,110.645,109.776,108.222,107.507,107.131,106.409,102.766,102.902,103.888,103.305,102.073,101.778,101.423,101.168,100.038,100.036,99.907,99.975,99.893,99.879,99.065,98.826,98.827,99.526,101.559,99.714,99.201,100.178,100.651,100.81,100.487,101.596,102.278,102.928,103.268,104.559,105.415,105.47,105.434,105.926,105.805,106.22,106.876,106.999,106.692,106.561
"23","15","          Compensation of general government employees","B568RA3",77.221,71.594,71.196,69.378,71.296,70.625,74.029,76.775,76.491,76.306,75.393,72.614,71.166,74.964,79.621,96.393,102.424,118.686,129.962,130.66,133.877,135.947,135.899,133.037,132.793,131.727,130.456,127.022,124.331,122.829,122.091,121.13,119.682,117.015,116.942,116.585,115.847,114.642,115.613,115.829,115.603,115.76,115.853,111.614,109.557,109.162,110.627,110.363,107.904,107.622,107.507,107.533,108.184,110.787,109.257,109.097,109.367,110.005,111.715,115.662,117.118,117.364,116.971,115.384,115.646,116.824,117.508,116.745,116.432,117.183,117.982,117.682,116.508,116.8,118.107,120.417,122.822,125.768,130.126,133.77,137.745,137.667,139.052,138.517,139.468,141.324,141.554,139.2,139.869,140.884,141.76,140.709,136.186,134.118,132.312,130.64,129.423,127.369,125.739,124.203,121.816,119.756,119.813,120.293,118.029,116.206,114.706,114.844,116.466,116.352,116.049,116.271,116.095,115.663,115.548,115.531,115.765,115.746,115.814,115.893,115.647,115.771,116.204,116.086,116.965,117.52,117.869,117.368,117.007,116.74,116.767,116.398,117.1,118.914,118.947,117.978,118.975,119.305,119.86,119.964,120.01,120.438,120.979,121.371,122.143,122.493,122.968,122.481,123.013,123.648,124.164,124.142,124.779,125.454,126.109,125.585,125.685,125.324,125.317,125.243,126.002,126.144,127.276,127.936,127.366,126.096,126.186,126.809,126.457,126.522,127.022,127.15,128.182,128.037,128.281,127.792,130.135,128.489,126.642,125.369,124.677,123.673,122.728,121.66,121.621,120.408,119.177,117.162,116.672,115.132,113.956,111.8,110.866,110.408,109.435,104.322,104.538,105.925,105.144,103.471,103.1,102.58,102.21,100.658,100.73,100.553,100.615,100.43,100.298,99.114,98.69,98.601,99.456,102.132,99.571,98.841,100.044,100.605,100.729,100.242,101.671,102.508,103.298,103.685,105.302,106.316,106.294,106.137,106.65,106.356,106.741,107.425,107.423,106.859,106.554
