"","Table 5#4#6U# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"20","12","    Warehouses","W038RX0",11673,12603,13500,14448,15277,15692,16018,16903,17220,17585,17474,16054,15710,15941,17228,17786,17568,17250,17319,17885,18194,18150,18316,19042,19620,20119,18757,17440,16396,14345,12835,12766,13713,14322,14950,13904,12896,13078,13774,12527,12782,12876,12665,12984,13264,13067,13585,14009,14300,15739,14790,14601,14865,14738,14060,12454,9910,8046,7658,6393,5435,5106,4081,4509,4952,5327,5644,5162,5717,5319,5342,6096
"21","13","    Other commercial \2\","W039RX0",19426,18420,17947,18260,18936,18830,19210,20884,22416,22915,22324,21656,21767,22179,22195,22056,21191,22022,22331,24382,24407,25094,26384,24041,22524,21963,20884,22546,23535,22376,21598,19949,18583,19908,20508,18193,19158,20916,21073,21338,17972,18242,17451,16899,16020,15505,14735,16041,16966,17668,18952,17833,17160,16536,14984,12530,11553,10157,8092,7181,6831,6865,6664,6880,6115,7236,7313,6903,6002,6788,7767,8363
"22","14","  Manufacturing","C307RX0",49182,53206,52833,51687,54454,53308,52225,57563,52095,50266,53581,51844,54776,54402,53048,52557,48995,44760,43717,41679,43397,47369,46751,47253,50367,47504,45559,36209,30354,27168,23949,23413,22634,24689,24860,24993,24412,23728,24911,28902,30112,29216,29794,30426,30887,33238,34846,32835,33892,35591,41618,44719,45111,48628,49808,50878,55561,54262,49802,43816,41687,39813,35011,30715,29801,35492,40224,42261,41411,43892,42882,45288
"23","15","  Power and communication","W003RX0",46411,46594,45485,42974,40928,39007,37571,38630,36320,36888,38196,39100,39063,45082,48139,44397,51255,47420,53290,56449,56689,56242,63100,64303,53506,63593,63056,67752,68919,61393,55309,56287,60686,57796,53142,51138,50311,43079,44468,46987,46483,45131,44140,44853,48647,46938,48841,50334,56050,64015,71909,79093,79630,74502,69608,72119,72521,74867,78240,72214,58110,62459,60007,69382,52852,56199,58409,59728,70514,66795,65218,74454
"24","16","    Power","W028RX0",32471,32202,31295,29817,26747,25025,23626,22575,21799,21848,22601,23902,23459,30097,33766,29953,32709,25787,28400,30454,34532,34558,40278,40673,30542,39110,40502,46479,47036,39745,35004,36118,45379,41758,37017,35021,35198,27163,27738,29511,26926,26083,25601,26615,29257,28061,29432,30715,34365,41335,48890,55724,55640,51357,50011,53810,56609,58436,61872,56324,44230,48753,46506,56427,40249,43662,46117,48092,59203,55483,53831,63486
"25","17","      Electric","C571RX0",20521,19908,19021,17920,16050,15128,14522,14196,14637,14672,14804,14989,12704,17324,19834,16605,21450,16109,19282,21598,25518,25613,31109,31520,21916,29983,31077,36356,36304,29033,24268,25153,33883,30482,26177,24666,25642,18969,20151,22240,19872,19058,18440,19396,22116,20603,21248,21369,23393,27247,31452,34748,33271,30472,29457,31477,32702,33633,35866,32931,26074,28889,27292,32578,22965,24624,25584,26501,32703,30585,29425,34523
"26","18","      Other power","W029RX0",12591,13027,13059,12693,11419,10547,9662,8837,7388,7404,8117,9405,11706,13752,14938,14472,11731,10225,9391,8954,8906,8815,8755,8714,8679,8778,9053,9528,10230,10682,11012,11223,11319,11256,10994,10507,9503,8272,7597,7248,7052,7028,7162,7214,7123,7443,8179,9389,11060,14281,17750,21465,23021,21490,21147,22984,24636,25578,26809,24099,18689,20438,19784,24585,17827,19638,21178,22268,27332,25680,25173,29875
"27","19","    Communication","C314RX0",14308,14726,14504,13483,14312,14054,13957,15838,14395,14874,15425,15123,15489,15191,14766,14669,18601,21284,24449,25565,22021,21585,22816,23603,22730,24374,22551,21460,22040,21658,20276,20179,15645,16301,16298,16253,15289,15933,16734,17475,19560,19045,18534,18245,19419,18896,19446,19686,21770,22932,23466,23965,24542,23643,20058,18771,16320,16881,16840,16323,14203,14061,13833,13423,12864,12854,12653,12043,11872,11825,11876,11610
"28","20","  Mining exploration, shafts, and wells","E318RX0",56961,51819,50832,50950,52964,56827,56926,57675,65057,67155,65434,66303,60078,59944,58561,52274,47108,50037,46717,51496,54290,60197,63288,66057,71684,73702,76497,65614,51780,50097,54526,53882,54080,60656,62558,62720,65769,70599,71693,71368,76583,81156,76101,74418,80529,89342,90926,92284,89910,94032,97522,92980,92783,102215,105444,105574,88515,64735,55035,56297,63386,74844,83816,87183,85621,93045,97742,102618,100394,99343,100231,100696
"29","21","    Petroleum and natural gas","C319RX0",54722,49761,48949,49055,50564,54435,54451,55219,63070,65421,63873,65061,58959,59073,57862,51518,46325,49368,45811,50591,53093,59058,62173,65045,71030,73257,76271,65152,49961,47266,51053,50390,51901,58907,60812,60712,63281,67695,68440,67944,73251,77769,72538,70561,76256,84676,85996,87252,85609,90025,93625,89121,88899,98266,101551,101823,85191,61738,52120,53303,59997,71177,79932,83150,81492,88712,93239,97937,95344,94093,94896,95641
"30","22","    Mining","C320RX0",2115,1930,1836,1842,2095,2172,2209,2217,2159,2087,1975,1841,1664,1533,1420,1335,1255,1255,1305,1394,1583,1668,1716,1718,1640,1561,1479,1416,1977,2592,3087,3101,2197,1986,2013,2207,2593,2956,3234,3371,3317,3384,3557,3880,4314,4704,5009,5124,4253,3843,3671,3680,3707,3659,3545,3368,3075,2947,2946,3033,3441,3652,3813,3957,4102,4249,4397,4550,5104,5405,5505,5108
"31","23","  Other structures","W004RX0",54829,56901,61378,63634,67204,67796,70107,73305,74906,77999,79166,83731,78387,83799,84808,85675,84554,85378,81203,81999,84610,86234,87693,84503,79271,79037,93447,75167,71263,70805,67249,66380,64256,68164,67259,66517,65691,68377,68472,67256,65629,62796,62637,63850,65688,70030,70660,71980,71626,78972,83477,87078,88985,92218,92219,88313,80501,78952,72214,63971,57967,55441,52834,50523,47814,50447,51366,52652,53037,54740,54755,54655
"32","24","    Religious","C309RX0",5792,6593,6672,6163,6020,6501,6415,6915,7430,7999,7879,8602,8747,8122,8827,9645,9780,9629,9322,9336,10029,9908,10067,9930,9809,10062,10243,10067,10170,9983,9590,9654,9814,9921,10075,9449,8638,8970,8910,8735,8339,7784,7539,7198,7326,7249,6960,6980,6840,6687,6660,6277,6261,6045,6096,6396,6051,5598,5459,5088,5021,5108,4733,4831,4179,3823,3954,3680,3771,3537,3481,3431
"33","25","    Educational and vocational","W044RX0",8847,9363,9867,8859,9994,10086,11528,12590,12329,13509,14386,14824,15790,15437,13633,13687,12772,13816,13475,13706,14459,15571,16645,16206,15781,16021,16733,17776,17289,16985,15804,15953,15841,16506,16815,15849,15071,14378,14225,14653,14289,14049,13839,13000,13622,13483,13030,14037,13491,14240,15389,14602,14989,14946,15006,14376,13796,13869,13757,12322,12045,11364,10564,10199,10094,10722,11251,11754,12684,13008,12670,12403
"34","26","    Lodging","W045RX0",11943,11105,13277,16288,17517,18984,20626,21799,22105,23215,22797,22334,21017,24470,27442,27652,27400,26351,25182,24926,25795,26765,25401,23679,22076,22382,22511,19682,16380,16684,14486,13837,13760,15857,13605,13297,13881,15957,17168,17171,16084,15062,15334,16290,16717,20008,21354,22365,24031,28883,31833,35034,34163,38898,39953,37945,32887,32320,26593,21229,15268,13272,12407,11233,9337,9351,9301,9992,10827,11947,12237,12431
"35","27","    Amusement and recreation","W046RX0",11346,12156,12951,14482,14599,13309,12882,13447,14438,14666,14728,14139,12502,14176,14518,15254,15831,15564,14457,14342,14506,13795,13093,11532,11012,11591,11279,11355,11038,10869,10496,10027,9754,10883,10889,11319,10512,11232,11118,10898,9970,8706,8427,8936,9261,10366,10853,10751,9799,10494,11207,11538,11349,11138,10718,10247,9653,9777,9064,7742,7132,7765,7321,7038,6624,8134,8304,8202,7164,7264,7675,7584
"36","28","    Transportation","W047RX0",5564,5715,5912,6316,6703,6858,7039,7256,7390,7537,7736,7944,8611,8955,9082,8579,8037,7747,7557,7601,7603,7804,8069,8257,8164,8072,7631,7451,7151,7447,7474,7422,7254,6812,6858,6929,6868,7106,7017,7094,6946,7024,7101,7414,8010,8631,8570,8274,8256,8505,8532,8676,8945,9201,9123,9015,8400,8082,8022,8239,8617,8908,9035,8934,8640,8754,8631,8710,7589,8893,9281,9024
"37","29","      Air","W048RX0",1030,1081,1124,1339,1463,1357,1340,1427,1498,1421,1428,1350,1532,1595,1722,1508,1593,1709,1782,1979,2030,2274,2616,2914,2967,2891,2408,2151,1657,1816,1715,1640,1568,1130,1165,1201,1065,1228,1077,1118,973,953,847,856,837,1044,819,568,731,967,939,868,761,823,746,811,645,529,442,432,390,381,381,310,280,599,584,750,989,1069,1070,1069
"38","30","      Land \3\","W049RX0",4541,4645,4801,5008,5280,5523,5714,5850,5920,6129,6318,6590,7082,7364,7377,7074,6468,6081,5828,5694,5650,5627,5576,5489,5349,5327,5334,5391,5544,5692,5810,5827,5726,5690,5703,5741,5806,5891,5945,5982,5974,6071,6254,6557,7174,7581,7760,7730,7538,7534,7593,7815,8200,8392,8396,8218,7775,7575,7602,7829,8249,8548,8674,8641,8375,8187,8078,8000,6654,7881,8268,8013
"39","31","    Farm","C316RX0",4442,4487,4743,4435,5284,5438,5457,5311,5232,5289,5625,5570,5764,6257,5764,5726,6049,7241,6413,6942,7188,7058,7920,8033,6594,6319,6157,5721,6423,6397,6783,6993,5765,5855,5985,5870,6477,6218,5896,5236,5385,5722,5980,6328,5916,5362,5008,5144,5205,5718,5458,5755,7826,7249,6794,6476,6019,5926,5875,6029,6073,5630,5509,5301,6012,6329,6496,6670,7253,6394,5848,5893
"40","32","    Other \4\","W050RX0",6866,7408,7911,7014,6890,6279,5696,5286,5201,5143,5258,5284,5303,5824,5103,4672,4247,4722,4467,4818,4582,4759,5822,6220,5295,4078,3504,2851,2535,2459,2999,3186,2618,2793,3312,3845,4101,4172,3520,2582,3349,2997,2921,3236,3508,3747,3885,3689,3461,3887,3710,4273,4417,3634,3357,2794,2565,2283,2358,2477,2993,2659,2673,2354,2407,2554,2438,2479,2277,2166,2139,2374
"41","33","    Brokers' commissions on sale of structures","C321RX0",1849,1897,1910,1916,1971,2030,2086,2230,2249,2183,2296,2282,2344,2407,2411,2502,2533,2456,2429,2436,2543,2624,2666,2544,2497,2533,2407,2328,2269,2132,1997,1985,1995,2025,2017,2032,2032,2045,2119,2160,2200,2205,2229,2334,2462,2558,2654,2723,2884,3123,3353,3554,3612,3678,3756,3781,3609,3408,3138,2811,2537,2551,2458,2536,2283,2495,2652,2730,2917,2920,2881,3007
"42","34","    Net purchases of used structures","E322RX0",-1896,-1896,-1872,-1821,-1737,-1652,-1566,-1463,-1383,-1390,-1435,2971,-1724,-1811,-1874,-1888,-1899,-1913,-1918,-1920,-1888,-1861,-1827,-1788,-1919,-1991,13434,-2023,-1975,-2137,-2390,-2699,-2593,-2449,-2272,-2055,-1869,-1664,-1472,-1259,-929,-758,-736,-884,-1108,-1365,-1657,-2001,-2337,-2589,-2726,-2680,-2631,-2581,-2551,-2573,-2358,-2233,-2185,-2150,-2170,-2184,-2189,-2180,-2171,-2150,-2130,-2103,-2082,-2074,-2070,-2056
"43","35","Residential","A012RX0",451614,436938,450627,461092,473616,493789,492579,487286,489182,495425,497677,502824,511771,527096,543027,556035,559131,564921,569407,576423,580716,576612,566274,566643,569282,577393,580498,575248,590755,605390,609066,618432,624491,638536,671137,689342,695394,721712,728929,734525,748076,765602,773523,773464,764935,729959,687257,650188,621284,601510,560739,513457,471550,452988,428315,386912,346632,325237,338514,334133,323714,341160,312979,313975,312767,315902,316920,326211,342266,349523,360884,376072
"44","36","  Permanent site","A943RX0",275214,259640,265024,274841,284537,300141,297566,293342,292679,296454,293781,299040,306141,316390,330699,340944,344458,343942,346781,355163,359222,354831,343544,343999,348695,354918,356506,349702,355309,366591,370245,374449,382360,387505,408245,431962,434614,448855,456297,456666,469674,477553,483937,492068,490271,456935,421440,386629,361351,345159,318756,281235,248472,232655,207440,178784,142933,120978,128319,128159,128395,131935,122013,117089,118904,118209,120515,122984,131560,139220,148575,161398
"45","37","    Single-family structures","A944RX0",247724,232388,235751,244899,253241,266275,267570,262522,259526,262044,260775,263895,272015,283935,297371,307180,309565,308359,309471,318632,323882,318819,309186,308031,312087,318146,319597,311913,316642,327155,331047,335782,342947,348157,367648,391606,393891,406509,412002,411994,423853,430223,435863,444101,442438,409415,374576,338036,314035,301779,278030,242108,209644,193151,168402,142432,109639,93179,106861,112120,115813,121776,112767,107816,108774,107405,109338,111666,118523,123419,131477,142313
"46","38","    Multifamily structures","C292RX0",27303,27091,29125,29780,31126,33689,29811,30642,32980,34229,32830,34919,33940,32408,33310,33789,34868,35517,37169,36476,35374,35984,34362,35888,36522,36706,36843,37668,38528,39308,39095,38608,39358,39315,40584,40383,40739,42350,44289,44656,45792,47310,48076,48014,47936,47540,46750,48205,46783,42966,40319,38541,37960,38336,37454,34519,31055,25922,20876,16496,13739,11912,10933,10802,11520,12058,12417,12597,14205,16632,17939,19904
"47","39","  Other structures","A863RX0",176344,176723,184783,185695,188690,193537,194746,193595,196008,198475,203102,203145,205110,210250,212156,215044,214697,220785,222429,221260,221561,221766,222486,222407,220494,222438,223931,225339,235086,238519,238599,243711,241988,250800,262664,257480,260807,272829,272611,277828,278429,288073,289593,281338,274504,273004,265906,263867,260398,256886,242543,232928,223846,221092,221514,208649,204258,204861,210780,206542,195905,209803,191509,197397,194388,198167,196919,203740,211275,210969,213078,215586
"48","40","    Manufactured homes","A945RX0",15315,15203,16274,17260,17039,17884,18154,17696,17494,18291,18696,18701,18559,18848,19366,19776,19462,18462,17523,17112,16343,14475,13075,10982,10053,10370,11383,12031,11689,11509,11805,10888,9833,9099,9484,9059,9299,8544,8872,9676,10089,9369,9840,11143,9314,8369,7511,6812,6732,6553,6575,6387,6141,5604,5179,4476,3369,2817,3142,3130,3340,3273,2921,2604,2659,2673,2889,3442,3321,2927,2972,3020
"49","41","    Dormitories","C295RX0",678,748,803,842,813,852,898,969,1070,1159,1222,1272,1236,1365,1369,1601,1560,1653,1860,2034,2028,1774,1719,1708,2066,1858,1945,2022,1969,1873,1681,2020,2014,2056,2150,2016,1924,2043,1809,1436,1472,1361,1534,1781,1904,1948,1976,1950,2191,2551,2679,3403,3462,3453,3837,3824,3320,2962,2116,1616,1518,1595,1767,1864,1937,2239,2427,2256,2718,2797,2903,3083
"50","42","    Improvements","A946RX0",118098,118504,119393,120498,123019,124019,124662,125357,126261,126318,126704,126916,127145,127446,128187,129415,130962,132487,134137,135928,136189,137242,138431,139353,139587,140142,140791,142843,146358,149004,151762,153009,153269,156305,158756,159536,159411,159451,159370,161924,163870,165179,164526,164161,164247,163787,163758,162819,161044,160838,156707,154133,149025,145672,145839,142687,143225,143283,143538,137930,135242,141787,136842,138485,135096,136456,133444,139793,144484,139530,139171,141075
"51","43","    Brokers' commissions on sale of structures","A758RX0",44226,44373,50452,49373,50296,53378,53817,52613,54478,56211,60212,60209,62358,67029,67834,68911,67772,73195,73632,70620,70044,70636,71126,71524,70608,72252,72542,72254,79152,80554,78055,82100,81383,87826,96583,91500,93878,105830,104960,106011,104339,113491,115158,106434,101310,101463,95404,95106,93529,90311,80027,72470,69210,70664,71041,61229,56697,58446,65255,67601,59167,67172,52607,57402,57602,59725,61377,60762,63406,69731,72435,72703
"52","44","    Net purchases of used structures","A759RX0",-1709,-1836,-1984,-2147,-2317,-2520,-2733,-2977,-3229,-3487,-3722,-3957,-4191,-4442,-4632,-4685,-5103,-4956,-4583,-4265,-2767,-2015,-1471,-719,-1411,-1836,-2395,-3498,-3842,-4209,-4438,-4093,-4324,-4404,-4361,-4600,-3684,-3067,-2423,-1245,-1361,-1324,-1467,-2163,-2317,-2618,-2899,-2954,-3212,-3574,-3914,-4202,-4821,-4975,-5016,-4899,-4016,-4065,-4134,-4131,-4456,-4582,-4514,-4324,-4062,-3866,-3729,-3649,-3675,-3661,-3618,-3592
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","45","  Private fixed investment in new structures \5\","W040RX0",743811,734854,744882,754254,772118,797020,799537,812893,816174,817842,829779,833343,841200,872717,888551,900018,903114,898505,902026,916763,927778,938781,942836,943976,936471,945021,934907,906197,893837,887811,879181,879479,883304,900546,923635,946088,946646,964165,974859,978413,999852,1006735,1005545,1016780,1028991,1014059,988291,954444,939238,950867,947295,918278,883522,876505,848541,805338,728055,666090,641760,604986,580884,600732,584922,589246,560500,586285,602255,620825,644449,646614,654574,682963
"55","46","    Nonresidential structures","A771RX0",336689,343365,345825,342840,348798,356278,360503,378581,381804,378497,392722,390664,391413,412579,412806,412039,410306,405434,405162,410015,417783,435021,451351,453323,440973,442567,428566,402990,381089,360771,345174,340440,336930,346803,345877,344024,341817,345556,348748,348798,354685,353162,345674,347835,363405,382457,392155,393875,404230,429993,453986,461995,462874,473345,468775,456354,416546,379067,350842,322497,302304,311779,310147,317024,292033,314700,329684,338670,348956,349435,349449,363133
"56","47","    Residential structures","A756RX0",410147,395295,402736,414621,426451,443701,442215,438385,438563,443273,441572,446986,453981,464775,480150,492162,496850,496939,500631,510462,513902,508445,497023,496241,500528,507378,510742,506837,515589,529195,535740,540586,547663,555180,578768,602613,605282,618922,626355,629730,645118,653457,659834,669147,665779,631039,594659,558145,531220,515011,484645,445148,407240,387629,362943,330812,294372,271832,278858,272449,270032,280255,265262,261915,260302,261371,260847,270316,283765,285568,294337,308900
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
