"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"41","34","          Other","A937RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.227,45.817,46.818,47.152,48.168,51.047,50.141,49.968,50.459,51.043,52.492,55.035,55.672,56.208,56.279,56.311,56.124,56.446,56.829,56.886,57.549,59.294,60.845,62.881,65.173,67.5,69.177,70.539,75.024,82.06,85.87,86.563,90.109,92.728,99.552,106.474,111.503,114.609,117.099,118.841,121.84,124.801,126.49,128.104,129.647,131.271,132.624,132.322,131.608,130.479,128.467,126.856,121.284,116.155,113.2,109.273,105.805,103.552,100.794,100,99.647,100.112,100.487,100.542
"42","35","        Industrial equipment","A680RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.231,10.002,10.838,11.359,11.825,13.336,13.42,13.801,14.056,14.57,16.092,17.296,17.705,18.107,18.469,18.316,18.315,18.373,18.537,18.814,19.312,20.152,20.998,21.708,22.786,23.804,24.29,24.973,27.322,32.928,35.686,38.924,42.334,46.49,52.54,57.558,60.299,61.537,62.224,63.257,66.138,68.991,72.092,74.712,78.292,81.083,82.881,84.014,85.726,88.652,90.491,91.108,91.622,92.154,92.669,93.272,93.308,94.013,96.367,100,103.192,106.771,110.942,112.322
"43","36","        Transportation equipment","A681RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.974,17.362,18.602,19.463,19.809,21.066,22.325,21.487,22.435,21.995,24.146,25.231,25.596,26.132,26.091,26.034,25.754,25.634,25.409,25.341,25.315,25.726,26.438,27.241,28.547,29.963,30.606,30.938,33.817,37.594,40.291,43.42,47.333,51.394,56.79,61.021,63.782,64.739,65.413,67.388,71.606,72.735,73.851,76.448,79.17,83.181,85.373,86.192,88.64,88.251,90.013,91.441,90.818,91.624,91.723,90.951,91.803,94.635,99.243,100,100.872,102.425,102.641,109.493
"44","37","        Other equipment","A862RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.887,12.612,13.63,14.082,14.396,15.565,15.686,16.008,16.247,16.408,16.978,17.83,18.252,18.535,18.796,18.803,19.001,19.134,19.307,19.484,19.928,20.6,21.368,22.127,22.927,24.029,24.709,25.237,27.473,33.4,35.862,39.016,42.242,45.905,51.511,57.285,61.363,62.736,63.927,65.223,67.28,68.988,71.026,73.94,76.876,79.397,81.123,82.544,83.929,85.659,87.957,89.059,90.376,91.549,92.139,93.447,94.228,95.109,96.047,100,102.32,104.601,108.231,112.578
"45","38","    Residential","B011RG3",5.275,5.161,4.672,3.808,3.756,4.169,4.109,4.31,4.728,4.877,4.91,5.057,5.524,5.935,6.424,7.048,7.524,8.169,9.784,10.606,10.747,11.012,11.801,12.125,12.212,12.261,12.516,12.835,12.868,12.836,12.875,12.962,12.983,13.003,12.901,13.003,13.372,13.857,14.339,15.1,16.144,16.666,17.632,18.703,20.359,22.46,24.547,26.124,28.759,32.281,35.902,39.789,43.036,45.34,46.38,47.714,48.944,50.994,53.079,54.913,56.68,58.011,58.771,59.486,61.89,64.069,66.403,67.828,69.557,71.412,74.151,77.415,80.994,83.002,86.953,93.296,100,106.081,107.513,105.779,100.716
"46","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","B020RG3",15.647,14.166,11.146,9.667,9.667,11.209,11.494,11.882,12.671,12.086,11.923,12.932,14.119,17.06,18.662,21.019,20.846,20.148,23.395,24.642,23.173,22.565,25.496,25.651,25.579,25.231,25.447,26.298,27.295,27.019,27.073,27.453,27.871,27.94,27.877,28.107,29.001,29.877,31.022,31.698,32.771,34.027,35.283,36.928,41.784,51.478,56.738,58.6,60.987,64.703,72.49,79.843,85.744,86.138,86.478,87.28,84.609,83.342,85.451,89.876,91.373,91.993,93.212,92.833,92.808,93.842,95.997,94.727,93.103,90.972,90.408,91.999,91.627,91.253,93.216,96.517,100,103.447,107.103,112.389,106.25
"51","44","    Goods","B253RG3",18.901,16.908,12.978,11.189,11.706,13.694,14.029,14.367,15.227,14.088,13.778,14.775,15.835,19.279,21.255,24.34,24.246,23.009,27.378,29.142,26.998,26.102,29.924,29.792,29.49,29.071,29.346,30.459,31.45,31.106,31.408,31.619,32.22,31.969,31.866,32.082,33.198,34.332,35.771,36.325,37.453,39.142,40.188,41.256,47.884,60.598,67.352,69.075,71.59,75.717,85.713,93.955,100.587,99.436,98.711,99.568,94.588,91.487,93.853,99.897,101.197,100.238,100.133,98.526,97.97,99.016,101.367,98.749,96.021,92.992,91.733,92.897,92.321,91.719,93.522,96.926,100,103.328,107.015,112.366,104.916
"52","45","    Services","B646RG3",7.857,7.859,7.318,6.568,4.981,5.432,5.605,6.152,6.811,7.738,8.01,9.23,11.067,13.008,13.912,14.984,14.636,15.221,15.468,15.3,15.637,15.792,16.622,17.571,18.095,17.9,17.982,18.218,19.361,19.23,18.779,19.437,19.503,20.176,20.189,20.446,20.91,21.297,21.888,22.76,23.708,24.164,25.751,28.36,29.681,33.11,35.334,37.468,39.579,42.446,45.749,51.381,55.845,59.233,61.553,62.231,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.14,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.718,107.305,112.445,109.218
"53","46","  Imports","B021RG3",11.31,9.644,7.794,6.247,5.987,6.802,6.915,7.399,8.257,7.63,8.009,8.543,9.022,10.334,11.124,11.685,12.013,13.394,16.046,17.439,16.621,17.655,21.338,20.565,19.682,19.95,19.844,20.194,20.423,19.575,19.752,19.941,19.941,19.706,20.088,20.512,20.797,21.281,21.364,21.689,22.254,23.57,25.017,26.77,31.423,44.957,48.699,50.165,54.586,58.44,68.434,85.24,89.822,86.794,83.541,82.82,80.1,80.097,84.948,89.011,90.956,93.563,92.783,92.856,92.144,93.009,95.557,93.891,90.627,85.748,86.25,89.963,87.762,86.784,89.796,94.144,100,104.144,108.017,119.559,107.037
"54","47","    Goods","B255RG3",11.545,9.526,7.45,5.839,5.843,6.671,6.779,7.277,8.131,7.288,7.421,7.921,8.495,9.841,10.671,11.396,11.674,13.152,16.15,17.834,16.883,18.262,22.927,21.796,20.862,21.31,21.253,21.67,21.863,20.721,20.872,21.094,20.893,20.394,20.582,21.137,21.241,21.72,21.751,22.043,22.665,24.205,25.445,27.395,32.29,48.319,52.366,53.766,58.692,62.607,73.825,93.155,98.341,94.369,90.424,89.802,86.268,84.336,90.35,94.654,97.303,99.09,97.216,96.685,95.604,96.301,98.868,96.362,92.381,86.801,86.874,91.128,88.482,86.93,89.476,93.872,100,104.207,108.046,120.323,106.172
"55","48","    Services","B656RG3",9.883,9.462,8.402,7.121,6.026,6.724,6.843,7.217,8.013,8.271,9.591,10.205,10.203,11.405,12.16,12.517,12.921,14.113,15.766,16.324,15.872,15.903,16.842,16.878,16.151,16.106,15.934,16.15,16.416,16.075,16.276,16.394,16.71,16.928,17.624,17.773,18.393,18.855,19.038,19.409,19.805,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.094,42.645,48.16,55.892,58.318,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.072,71.019,73.612,75.673,76.313,77.806,80.235,82.234,82.233,80.629,83.185,84.209,84.219,86.088,91.469,95.573,100,103.806,107.863,115.682,110.911
"56","49","Government consumption expenditures and gross investment","B822RG3",6.389,6.192,5.88,5.352,5.511,5.929,5.979,6.159,6.29,6.303,6.201,6.129,6.507,6.539,6.645,6.559,6.633,8.213,8.875,9.218,9.482,9.488,10.118,10.321,10.429,10.65,11.093,11.716,12.234,12.602,12.653,12.809,13.065,13.398,13.69,14.07,14.444,15.044,15.671,16.52,17.517,18.945,20.421,21.989,23.594,25.977,28.586,30.469,32.583,34.67,37.575,41.669,45.768,48.775,50.717,53.319,54.974,55.977,57.541,59.074,60.924,63.405,65.606,67.276,68.949,70.819,72.753,74.488,75.854,76.879,79.337,82.513,84.764,87.003,90.65,94.531,100,104.842,109.552,114.502,114.281
"57","50","  Federal","B823RG3",6.924,6.617,6.566,6.253,6.321,6.755,6.834,7.463,7.584,7.713,7.568,7.27,7.651,7.506,7.577,7.444,7.512,9.584,10.168,10.074,10.503,10.442,10.898,11.005,11.08,11.337,11.947,12.562,13.125,13.663,13.564,13.677,13.908,14.202,14.506,14.995,15.379,15.914,16.386,17.287,18.226,19.699,21.383,23.471,25.08,27.315,30.158,32.302,34.742,36.888,39.727,43.9,48.165,51.434,53.218,56.358,57.635,57.938,58.642,59.884,61.504,63.548,66.07,68.101,69.83,71.725,73.717,75.763,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.754,110.938,111.513
"58","51","    National defense","B824RG3",7.046,6.803,6.716,6.577,6.428,6.773,6.974,7.133,7.37,7.4,7.345,6.984,7.457,7.297,7.371,7.251,7.298,9.36,10.037,9.986,10.322,10.313,10.737,10.779,10.825,11.114,11.732,12.397,12.957,13.45,13.34,13.44,13.633,13.897,14.209,14.62,15.024,15.535,15.994,16.834,17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.057,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.286,111.913,112.086
"59","52","      Consumption expenditures","B997RG3",5.885,5.696,5.663,5.585,5.449,5.698,5.867,6.009,6.093,6.127,6.087,5.637,5.888,5.713,5.778,5.903,6.187,8.159,8.706,8.614,8.918,8.877,9.151,9.152,9.279,9.579,10.187,10.681,11.138,11.631,11.462,11.577,11.753,12.004,12.323,12.771,13.193,13.696,14.133,14.942,15.764,16.979,18.535,20.357,21.928,24.113,26.591,28.52,30.696,32.855,35.642,39.812,43.864,46.969,48.694,52.712,54.173,54.706,55.839,57.134,58.713,60.804,63.185,65.704,66.723,68.314,69.956,72.437,73.868,74.848,76.786,79.69,81.716,85.382,89.898,94.474,100,104.779,109.011,112.891,113.126
"60","53","      Gross investment","B788RG3",15.934,14.682,13.316,12.028,11.999,13.373,13.775,13.973,15.392,15.377,15.216,15.544,17.143,16.92,17.044,15.872,14.68,16.4,19.05,20.208,20.686,21.174,23.092,23.463,22.922,23.167,23.858,25.938,27.354,27.72,28.154,28.143,28.471,28.844,29.084,29.067,29.15,29.545,30.056,30.842,32.506,34.86,37.085,49.4,51.249,53.203,56.45,60.768,65.158,69.704,73.283,77.747,84.061,89.758,92.18,93.848,92.067,87.935,85.002,84.75,86.191,87.933,89.786,90.595,93.058,95.841,98.204,98.76,96.927,96.254,97.774,97.832,96.578,95.645,96.098,97.853,100,102.014,103.524,105.63,105.478
"61","54","    Nondefense","B825RG3",6.975,6.591,6.576,6.089,6.321,6.802,6.834,7.635,7.719,7.883,7.707,7.428,7.654,7.875,7.666,7.185,8.018,9.788,10.052,9.815,10.475,10.262,10.807,11.375,11.671,11.679,12.181,12.421,12.942,13.739,13.775,13.946,14.359,14.783,15.037,15.798,16.104,16.708,17.215,18.327,19.284,21.143,22.746,23.892,25.231,27.245,30.505,32.549,34.993,36.514,39.1,42.906,46.917,49.825,51.501,52.779,54.574,55.915,56.953,58.679,60.497,62.568,65.672,67.034,70.002,72.267,74.83,76.406,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.672,108.935,110.358
"62","55","      Consumption expenditures","B542RG3",5.533,5.209,5.339,5.144,5.214,5.53,5.493,6.353,6.398,6.58,6.415,6.098,6.171,6.234,6.216,5.564,6.667,8.538,8.718,8.36,9.015,8.832,9.239,9.719,10.018,10.077,10.582,10.738,11.147,12.002,11.981,12.133,12.57,12.958,13.164,13.858,14.301,14.9,15.294,16.339,17.217,18.88,20.347,21.396,22.614,24.335,27.231,29.167,31.506,32.921,35.242,38.745,42.416,45.098,46.859,48.208,50.085,51.458,52.493,54.173,55.947,58.009,61.306,62.944,66.195,68.627,71.299,73.207,75.322,76.664,79.036,81.985,83.922,87.54,91.075,96.008,100,103.747,107.333,109.848,111.531
"63","56","      Gross investment","B798RG3",19.607,18.801,17.288,14.661,15.888,17.576,17.948,18.708,19.154,19.096,18.881,19.303,20.744,22.016,20.288,22.063,20.279,20.417,20.922,22.192,22.601,22.028,23.665,24.961,25.175,24.496,24.383,25.71,27.285,27.214,27.962,28.277,28.407,29.092,29.733,31.03,30.372,31.09,32.455,34.034,35.549,38.933,41.454,43.249,45.446,50.089,56.276,58.73,61.435,63.662,68.274,74.17,80.605,85.053,85.435,85.86,86.695,87.584,88.571,90.548,92.592,94.578,96.045,95.352,96.318,97.278,98.913,98.156,96.933,95.888,96.188,97.525,97.628,96.877,96.777,97.837,100,101.587,102.301,102.951,102.746
"64","57","  State and local","B829RG3",4.809,4.675,4.395,3.956,4.096,4.42,4.451,4.432,4.541,4.505,4.441,4.48,4.781,5.284,5.675,5.895,6.09,6.654,7.466,8.346,8.418,8.494,9.365,9.768,9.958,10.123,10.32,10.981,11.456,11.608,11.851,12.066,12.357,12.743,13.028,13.293,13.662,14.334,15.137,15.945,17.013,18.411,19.72,20.896,22.495,24.97,27.41,29.114,31.005,33.042,35.976,40.002,43.975,46.786,48.857,51.034,53.002,54.577,56.849,58.621,60.654,63.474,65.443,66.856,68.494,70.351,72.252,73.806,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,110.615,116.642,115.896
"65","58","    Consumption expenditures","B991RG3",4.13,4.087,3.94,3.699,3.718,3.924,4.005,3.851,3.952,3.917,3.885,3.94,4.143,4.507,4.844,5.061,5.248,5.735,6.376,7.131,7.256,7.445,8.07,8.476,8.735,9.056,9.292,9.751,10.2,10.485,10.812,11.158,11.528,11.952,12.258,12.554,12.915,13.602,14.505,15.321,16.346,17.679,18.909,20.068,21.596,23.565,25.791,27.652,29.617,31.596,34.359,38.137,41.83,44.508,46.786,49.268,51.419,52.951,55.247,57.026,59.15,62.152,64.322,65.975,67.65,69.518,71.333,72.936,74.391,75.516,78.471,82.087,84.786,86.635,90.807,94.343,100,105.047,109.941,116.057,114.498
"66","59","    Gross investment","B799RG3",7.401,6.961,6.238,5.071,5.792,6.742,6.487,7.015,7.167,7.122,6.949,6.938,7.679,8.965,9.578,9.391,9.331,10.207,11.947,13.336,13.122,12.691,14.579,14.967,14.878,14.478,14.555,15.953,16.546,16.27,16.259,16.046,16.084,16.375,16.611,16.795,17.222,17.905,18.462,19.31,20.612,22.345,24.049,25.339,27.31,32.304,35.854,36.705,38.131,40.445,44.265,49.575,55.017,58.508,59.192,59.503,60.423,62.202,64.31,66.018,67.569,69.47,70.464,70.715,72.158,73.945,76.258,77.571,78.783,79.771,81.416,84.124,85.974,87.521,88.819,92.875,100,106.257,113.482,119.132,121.96
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
