"","Table 3#5U# Taxes on Production and Imports","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197"
"11","3","  Excise taxes","B234RC0",10908,11028,11396,11424,12104,12076,12052,11916,11916,12100,12132,12524,12764,12784,13232,13112,13244,13496,13592,13712,13796,14104,14196,14536,15000,14088,13104,13292,12104,12780,12696,13004,13036,13340,13460,13488,14108,14568,14984,15144,15384,15328,15840,15604,15532,15780,15772,15692,16944,16120,15760,15128,15164,15588,15736,15948,16244,16676,16692,16996,16520,16652,16544,16468,15808,16312,16600,16772,16700,16984,17136,17276,17136,17420,17636,17920,17760,18536,18452,19072,18568,18660,18380,18564,20748,26988,29288,30392,43168,43844,40668,39144,34784,31672,32152,32392,33844,36660,36240,36060,36496,35828,35676,35484,34524,34352,35136,33108,32000,29824,29796,29720,29532,30272,31288,31832,33656,33616,34244,33928,34240,32192,32772,31764,33132,33480,34168,34960,43600,45572,45488,46692,46348,45488,43600,46096,43864,44880,45240,53504,55272,57772,58864,59840,56908,56080,56136,55132,52868,52184,52372,58592,53336,59636,60488,60808,60456,60928,61996,62564,63516,64228,64504,66532,66704,66952,66496,66492,65752,66300,64284,64432,66296,67976,67936,67240,68500,68320,67324,68780,71484,71340,71676,70968,71516,75480,74444,73164,72908,72032,71804,70796,69624,70348
"12","4","    Gasoline","B2000C0",1728,1756,1760,2300,2364,2372,2364,2336,2372,2356,2404,2440,2424,2472,2492,2492,2516,2592,2580,2676,2696,2688,2560,2732,2784,2772,2808,2816,2876,2888,2928,2932,2924,3000,3016,3060,3092,3148,3196,3200,3240,3312,3376,3448,3532,3532,3516,3592,3700,3584,3684,3732,3872,3788,3912,3988,4056,4276,4136,4028,3828,4024,4004,3956,4056,3932,4156,4136,4200,4296,4260,4300,4404,4404,4356,4384,4384,4448,4556,4692,4576,4436,4300,4252,4444,4040,3944,3960,4200,3912,4020,4076,4008,4080,4100,4028,5708,8644,8752,8688,8936,8928,8836,8780,8920,8916,8900,8912,9148,9156,9232,9240,8932,9044,8996,9016,9824,9704,9792,9868,9456,9472,9540,9412,10116,9908,10196,9972,15008,15304,15400,15240,15628,15500,15248,15796,14404,14280,14248,21060,19844,21084,21796,22472,21232,21192,21208,21112,22292,22332,22332,22244,21880,22244,22252,22196,23340,23204,23584,23584,23492,23416,23348,23492,23388,23504,23468,23368,22928,23664,23284,23328,23236,23296,23304,23284,23676,23868,24208,24372,24356,24060,23976,24380,26124,26080,25528,25552,25712,25868,26280,25752,25844,25980
"13","5","    Alcoholic beverages","B2001C0",2952,2944,3272,3016,3092,3132,3084,3124,3172,3216,3220,3268,3340,3260,3300,3440,3320,3404,3468,3396,3592,3564,3664,3716,3744,3660,3576,3736,3728,3852,3924,3904,3996,4112,4016,4284,4120,4340,4460,4308,4540,4488,4776,4476,4748,4632,4556,4712,4712,4740,5032,4940,4908,5064,4956,5044,5044,5064,5068,5256,5420,5300,5220,5148,5164,5480,5392,5360,5292,5240,5388,5216,5288,5308,5356,5444,5532,5548,5512,5644,5600,5540,5492,5716,5680,5232,5628,5520,5512,5708,5636,5432,5356,5308,5428,5476,5508,5760,5404,5484,5692,5184,4900,5112,4924,5188,5900,4576,6048,5444,5528,5344,5476,5604,5980,5640,5772,5616,5636,5632,5672,5656,5640,5592,5764,5604,5644,5952,7588,7316,7204,7688,7764,7556,7484,7492,7580,7860,7188,7472,7044,6964,6844,7152,7264,7280,7792,6940,7464,7484,7400,7472,7260,7384,7276,7280,7324,7320,7408,7532,7640,7720,7556,7864,7776,7984,7764,7732,7800,7852,7832,7920,8040,7748,8292,8136,8056,8152,8216,8240,8320,8424,8284,8548,8296,8568,8744,9020,8876,8780,8472,7924,7616,7504
"14","6","    Tobacco","B2002C0",1792,1792,1912,1904,1924,1956,1956,1932,2036,2024,1976,2044,2044,2016,2040,2072,2064,2124,2120,2104,1864,2100,2104,2196,2164,2116,2036,2032,2120,2068,2060,2040,2036,2164,2148,2112,2136,2076,2196,2132,2128,2088,2092,2060,2060,2148,2236,2268,2168,2148,2120,2188,2260,2236,2220,2216,2300,2352,2404,2544,2428,2356,2328,2280,2220,2416,2416,2456,2552,2528,2448,2440,2384,2344,2396,2392,2408,2596,2376,2488,2580,2464,2424,2408,2404,2476,2472,2592,2552,2532,2656,2488,2564,2496,2608,2316,5208,5184,4968,4632,4680,4644,4712,4544,4420,4216,4736,4496,4612,4656,4624,4488,4556,4604,4616,4628,4568,4332,4544,4324,4400,4172,4264,4300,4240,4396,4148,4084,4972,5052,5020,4956,5200,5248,5204,5784,5656,5752,5656,5788,5836,5828,5756,5892,5992,5896,5860,5928,5864,5804,5812,5804,5840,5900,5952,5760,5680,5680,5572,5292,5284,5320,5316,6492,6824,6668,6588,6884,7068,6948,6892,7612,7624,7748,7352,7040,7304,7236,7068,6960,7288,7224,7164,6800,7296,9008,8840,7928,7940,7972,7536,8216,7920,7040
"15","7","    Diesel fuel","B2003C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,416,420,436,436,468,472,464,480,512,500,576,432,524,504,536,504,504,528,580,552,552,596,588,576,632,564,624,964,1144,1324,1500,1640,1820,2008,2196,2436,2572,2660,2700,2680,2656,2624,2596,2420,2544,2792,3144,3940,4196,4252,4116,3472,3200,3016,2928,3016,3136,3332,3588,4024,4248,4392,4448,4396,4308,4184,4060,3608,3780,4220,4904,6424,7048,7388,7420,6572,6448,6488,6700,7504,7768,7892,7876,7472,7364,7312,7332,7528,7648,7784,7928,8080,8212,8332,8432,8512,8568,8600,8612,8584,8584,8616,8676,8796,8892,8956,8984,8972,8964,8972,9000,9016,9092,9208,9364,9664,9776,9840,9856,9828,9752,9632,9468,9724,9780
"16","8","    Air transport","B2004C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,924,908,976,904,1040,1060,1104,1056,1224,1188,1244,1208,1448,1476,1572,1536,1684,1736,1072,1092,1224,1136,1120,1140,1220,1348,1848,1860,2024,2156,2252,2276,2324,2360,2388,2404,2432,2460,2496,2564,2592,2608,2616,2568,2600,2664,2756,2940,3032,3104,3148,3136,3156,3192,3240,3240,3392,3624,3920,4440,4704,4872,4944,4772,4756,4760,4792,4888,4976,5084,5208,5388,5496,5572,5620,5584,5628,5684,5768,1500,700,856,6864,1760,7396,8160,8600,7808,8232,8540,8724,8536,8656,8840,9092,9568,9820,9996,10096,10084,10032,8532,7784,9336,11036,10712,10444,11200,10844,9492,10568,12536,12036,12276,11560,10932,13284,13148,12852,12984,12488,13180,13132,11756,12736
"17","9","    Crude oil windfall profits tax","B2005C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2688,9696,11640,13364,25840,26480,23140,21876,17888,14672,15088,15212,11088,9852,9424,9136,8944,8420,8348,7628,6248,5584,4872,4236,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Other \1\","B2006C0",4436,4536,4452,4204,4724,4616,4648,4524,4336,4504,4532,4772,4956,5036,5400,5108,5344,5376,5424,5536,5644,5752,5868,5892,6308,5540,4684,4708,3380,3972,3784,4128,4080,4064,4280,4032,4760,5004,5132,5504,5476,5440,5596,5620,5192,5468,5464,5120,6364,5648,4924,4268,4124,4500,4648,4700,4844,4984,5084,5168,4844,4972,4992,5084,4368,4484,4636,4820,3440,3580,3712,3908,3720,3856,3996,4132,3900,4208,4320,4428,4172,4248,4184,4080,3492,3356,3340,3304,3420,3436,3484,3564,3252,3264,3016,2888,3508,4052,4212,4368,4328,4508,4512,4836,5172,5444,5608,5692,5348,5320,5180,5436,5580,5876,6240,6648,6612,6736,6916,6840,8104,6536,7120,6292,6756,7044,7224,7444,7568,8948,8600,9416,8588,8120,6720,8172,7728,8232,8844,9072,10736,11352,11508,11284,10264,9636,9104,8684,8244,8096,8080,8332,9124,9348,9536,9640,8776,8844,9108,9504,10484,10904,11112,11160,10636,10408,10080,9800,9288,9220,9128,9112,9264,9256,9320,9352,9292,9256,9368,9640,9968,10504,10768,10316,9204,8764,8344,7956,7568,7172,6704,6304,6764,7308
"19","11","  Customs duties","B235RC0",952,1076,1092,1076,1176,1084,1016,988,976,956,1068,1120,1192,1212,1184,1220,1200,1228,1236,1244,1236,1288,1340,1408,1424,1624,1676,1728,1796,1888,1892,1900,1924,1892,1820,2000,2132,2220,2364,2316,1992,2600,2484,2404,2420,2424,2512,2580,2556,2708,3216,3968,3148,2800,2904,3136,3420,3296,3156,3212,3396,3564,3820,3852,4136,5172,6864,7284,4300,4564,4748,4628,5028,5312,5768,5504,6444,7100,7308,7548,7588,7584,7280,7364,7204,6912,7212,7312,7852,8344,8840,9320,9084,8700,8308,8344,7616,8992,9624,10132,10944,12124,12252,12292,12264,11696,12020,12652,12840,13432,14348,14168,14900,15872,15448,15912,16316,16144,16460,16728,17044,17520,17748,17612,17668,17812,17476,17004,16548,16160,16736,17900,17700,17988,18680,18940,18680,20200,20444,19916,20584,21264,22016,21904,19992,19976,19628,19680,20148,19364,19700,17672,18976,20424,19808,19260,19400,19556,19840,19548,18216,17856,19708,20948,19952,21960,21576,21004,21864,20584,19900,20196,18648,19736,20524,20768,21476,21228,21476,21548,22324,22924,23432,24380,24988,25248,25352,25668,25816,26952,27476,26428,28244,28148
"20","12","  Other","B036RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","13","State and local","W072RC0",27934,28216,29262,29952,30444,31219,31825,32412,32920,33443,34096,34769,35476,35958,36516,37054,37613,38266,39143,39778,40691,41406,42397,42886,43816,44688,45792,46832,47525,48223,49228,50072,50676,51672,53542,55202,57211,58720,60429,61780,63309,65073,66989,68805,70610,72431,74324,75963,78252,80227,82806,84719,86368,88526,90350,92544,95060,96333,98669,99622,101022,103992,106834,107504,109021,111683,114899,117257,120870,123516,126025,129645,132880,135500,138332,141052,142960,147695,144235,147590,150585,152557,155558,158968,161901,163344,168150,173273,180182,183668,188322,190688,193929,198298,201721,205960,209600,215983,222042,227967,234672,240280,244724,250216,254683,260049,265063,268529,273003,276559,282339,286799,291907,298533,305966,310014,315524,323271,327395,332358,340281,348136,353804,354283,369086,368737,375747,382742,384567,390279,399339,407119,412607,418002,424049,425666,427584,433188,439626,446670,456437,465531,469682,473398,478312,477949,483732,489407,498112,506536,509928,517024,523680,530547,536611,544274,549302,555323,561586,568861,576142,585418,595425,603675,610937,618000,624140,631207,637524,639426,641386,652948,661080,670185,683162,687521,697488,710684,724141,737675,750972,762860,772734,790134,802959,816998,830230,840321,854572,866867,871954,881639,892967,903317
"22","14","  Sales taxes","B248RC0",10703,10881,11402,11542,11787,12119,12278,12440,12554,12792,13174,13560,13909,13944,14047,14152,14296,14672,15284,15648,16066,16291,16746,16713,17230,17760,18513,19237,19541,19740,20168,20363,20391,20673,21755,22661,23847,24577,25564,26240,27095,28095,29125,29933,30587,31336,32099,32558,33557,34495,36139,37265,38075,39369,40312,41448,42951,43332,44925,45112,45708,47845,49733,49354,49534,50842,52608,53828,55915,57189,57966,59970,61844,63116,64675,66437,67291,70772,71973,73964,75393,76253,77906,79572,81164,80847,83457,85964,89554,89552,91754,92128,92949,95514,97041,99292,101492,106199,109851,113058,116787,119871,121993,125349,127272,130561,132827,133836,136075,137802,142044,143479,145133,148616,152891,154664,157811,162274,163723,165760,168673,172850,174553,173200,183732,181184,185337,186911,184795,187859,193068,196922,200641,201560,207369,207654,210945,214724,217447,222456,225725,230942,233128,235889,240359,239551,243727,247303,252409,255711,256763,259861,262845,266783,270497,274475,277524,281416,285444,291068,292870,298794,305397,309283,313325,315727,316978,320254,322808,320481,317694,323481,324220,328106,333863,334455,338250,344726,350501,357331,362845,367253,370013,379753,386846,393598,399957,400643,410148,415096,416540,419924,423936,428216
