"","Table 4#2# Real Exports and Imports of Goods and Services and Re","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"12","4","    Nondurable","A339RX",116.7,119.5,129,127,134.2,132.9,136.5,138.9,142,147.8,144.7,150.6,152.8,152.8,151.3,159.1,163.9,160.4,161.4,167.5,170.3,171.5,173.8,175.2,170.5,171.5,165.8,174.6,168.5,173.8,182.8,190.4,189.6,187.9,191.7,194.8,196.2,192.2,193.3,205.2,204.4,208.9,211.5,214.5,210,207.5,205.7,213.4,206.2,210,213.4,219.9,219.2,220.9,235.2,231.6,230.2,227.8,221.6,227.1,225.7,229.3,226.7,228.5,233.2,229.3
"13","5","  Services \1\","A646RX",134.5,139.6,140.4,141.7,147.5,151.6,155.4,153.6,162.8,163.8,168.8,171.5,178.1,182.3,184.8,188.6,179.5,192.4,196,203.4,203.1,201.7,202,199.9,207.5,210,210.1,211.9,219.4,225.6,226,229.3,230.8,232.5,245.3,249.5,247,254.6,249.8,271.6,267.6,273.7,277.7,275.4,277,282.4,276.3,283.3,282.3,284.6,287.9,292.4,299.6,307.6,303,306.3,301.6,299.7,288.7,278.2,292.2,299.7,304,310,303.5,304.1
"14","6","Income receipts","A645RX",149.2,159.9,164.5,172.9,187.1,186.5,193.3,203.4,211.2,218.9,215.9,216.7,217.3,215.9,213.3,230.4,210.9,188.6,180.1,173.9,169.5,171,161.2,158.5,162.1,163.7,166.2,166.4,172.6,183.2,198.3,213.4,230,239.2,235.3,241.3,240.5,238.4,245.3,258.1,264.8,278.5,284.5,279.2,284.2,286.9,271.3,274.8,282.2,294.2,311.4,329.9,344.6,366.7,358.1,366.6,336.4,306,278.1,247.4,242.8,251.8,261.3,257.5,252.5,253.8
"15","7","Imports of goods and services","A021RX",544.9,558.9,569.9,583,580.3,573.2,586.1,603,595.7,606.9,612.3,620.2,628.1,639.3,640.4,621,602.7,623.9,640.8,648.7,650.6,670.1,672.9,689.5,705.8,726.1,733.1,762.2,776.8,811.3,834.6,854.8,873.1,886.4,889.1,897.8,921.1,950.4,982.9,998.1,1034.3,1079.8,1123.8,1141.2,1184.2,1216.2,1228.9,1264.8,1290.7,1337.7,1383.7,1415.2,1464.6,1528.5,1578.6,1572.2,1540.3,1513.6,1467,1447.2,1477.1,1552.9,1565.7,1593.8,1568.4,1598.5
"16","8","  Goods \1\","A255RX",431.9,440.7,451.3,459.3,458,453.3,464.5,479.7,472.2,482.8,485.9,492.6,495.2,504.8,504.5,487.2,472.8,491.1,510.1,516.5,520.9,542.4,551.7,559.9,576.1,594.5,599.4,623.8,636.1,669.5,692.8,713.3,725.5,740.3,742.1,748.4,769.7,797.4,825.6,840.7,869.6,913,948,961.9,995.9,1024.9,1034.2,1070.6,1096.7,1140.7,1182.3,1210.2,1249.6,1308.8,1351.1,1345.1,1313.1,1281.1,1249.2,1238.7,1250,1329.2,1340.3,1360.8,1337.4,1379.8
"17","9","    Durable","A333RX",258.9,266,269,277.8,274.6,272.6,279.3,290,286.3,292.3,290.9,295.3,291.8,301.3,303.4,300.2,287.7,293.1,308.2,314.4,317.8,330,336.2,343.5,356.1,365.4,370.7,391.2,400.3,424.8,440.1,463.5,472.2,481.6,481.1,492,508,524.4,544.8,556,584.1,611.1,635,649.1,676.8,693.9,698.6,735.6,752.2,787.3,819.4,847.8,881.6,919.3,949.1,946.4,908.4,869.8,845.9,838.2,856,912.5,915.5,921.6,901.9,924.2
"18","10","    Nondurable","A340RX",176.7,178.1,186.3,184.9,187.2,184.4,189,193.2,189.2,194,199.1,201.4,208.1,207.7,204.8,190.3,188.4,202.3,205.8,205.6,206.5,216.1,219.2,220,223.3,232.8,232,235.1,238.2,246.6,254.6,250.4,253.7,259.2,261.7,256.5,261.7,273.1,280.8,284.7,285.8,302,313,313,319.3,331.3,335.9,335,344.5,353.4,363.1,363.6,370.1,391.2,404,401.1,404.3,408,399.9,397.1,391.5,414.3,421.7,434.5,430.1,448.6
"19","11","  Services \1\","B656RX",114.4,120.1,120.2,125.9,124.3,121.6,123.2,124.6,125.1,125.5,128,129,135.1,136.6,138.2,136.4,132.3,135,132.3,133.9,131.2,128.7,121.7,130.4,130.4,132.2,134.4,139.1,141.4,142.3,142.1,141.6,147.9,146.2,147.1,149.4,151.5,153,157.3,157.3,164.7,166.9,175.9,179.4,188.2,191.3,194.6,194.6,194.7,197.9,202.6,206.1,216,221,228.9,228.6,228.8,233.5,218.6,208.9,225.5,224.3,226,233,230.7,221.7
"20","12","Income payments","A655RX",134.9,141.1,146.8,153.2,160.8,163.4,173.6,181.2,189.4,198.6,193.2,186.8,189.8,186.7,190.1,181,174.6,164.8,160,145,141.5,143.7,137.3,133.8,129.6,138.7,135.5,152.8,152,167,183.3,198.5,208.6,214,224.3,218,213.9,220.8,233.8,241.5,256.1,264.8,275.9,275.1,275.1,281,282.3,280.7,260,267.9,291.8,298.6,321.8,338.8,337.9,335.9,324.2,274.8,264.9,213.1,239.2,268.2,269.5,264.2,260.4,251
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22"," 1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","in services.  Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","  Chain-type quantity indexes for the series in this table are shown in table 7.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
