"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"34","25","    Structures","K160251",3.5,3.7,3.9,3.9,4.1,4.6,5,5.2,5.4,5.5,5.8,6.1,6.4,6.8,7.2,7.8,8.4,9.2,10.2,11.5,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.6,40.4,41.3,42.8,45,47.7,49.9,52.2,54.9,56.8,58.5,61.2,64.2,68.2,71.5,75.8,79.4,83.8,89.4,94.2,99.1,103.5,111,124.2,136.5
"35","26","    Equipment and software","K160261",5.2,5.8,6.6,7.3,7.7,8.2,8.6,8.7,9.1,9.5,9.8,10.4,11,11.3,11.7,12.3,13.1,13.9,14.6,15.2,15.5,15.6,15.7,16.8,18.5,20.4,22.1,24.3,26.2,29.3,33.4,37.6,41.3,45.7,50,54.5,59,64.2,69.8,76.1,82.2,86.1,90.5,94,96.8,97.7,98.4,99.6,103.2,107.6,110.3,112.5,114.8,119.1,124.6,131.2
"36","27","Change in private inventories \7\","K160271",9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.1,30.8,72,70.8,66.9,56.5,-31.7,11.9,14.3,58.6,36.9,46.7
"37",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","Less: Other changes in volume of assets","K160281",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.5,1.6,1.1,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,8.8,0,2.2,18,4.1,21.5,2.4,0,0,0,3.5,0,15,0.4,1.2,29.8,110.9,0
"39","29","  Private fixed assets \8\","K160291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,7.8,0,1.5,17.9,4.1,19.5,2.4,0,0,0,3.5,0,12.8,0,0,29.5,99.2,0
"40","30","  Government fixed assets \9\","K160301",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,2,0,0,0,0,0,0,2.1,0.4,1.2,0.3,11.8,0
"41","31","    General government","K160311",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.7,0,0,1.7,0,0,0,0,0,0,0.6,0.4,1.2,0.3,8.1,0
"42","32","    Government enterprises","K160321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0,1.5,0,0,0,3.6,0
"43",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","33","Nominal holding gains or losses (-)","K160331",51.9,6.4,-7.9,10.3,48.1,60.9,21.9,7.8,3.8,-0.8,7.4,15.1,-4.1,41.8,49,82.1,77.7,135.9,137.4,157.4,217.9,226.3,386.4,670.9,287.7,344.2,512.1,663,902.5,978.8,716.6,372.2,155.5,282.7,243,389.5,439,532.4,486.4,397.2,84.4,434,564.8,736.6,518.1,460.4,535.4,555.1,822.2,908.4,834.5,751.9,1027.5,2548.9,2502.8,1778.8
"45","34","  Neutral holding gains or losses (-) \10\","K160341",41.7,16.4,13.4,9.2,32.5,50.6,42.4,23,18.6,25,15.5,23.9,24.2,30.4,42,68.7,79.8,115,147.6,154.8,158.8,157.3,307.9,522,358.8,331.4,430.3,530.6,812.5,943.6,749.9,502.4,379.7,403.6,350.9,333,453.5,582.8,591.7,745.3,414.4,416.9,380.1,455.5,400.6,397.2,197,213.5,595.9,635.5,437.2,695.6,718.8,1228.7,1399.3,1036
"46","35","    Fixed assets","K160351",36.4,14.5,12,8.4,29.4,46,38.8,21.1,16.9,22.9,14.2,21.9,22.1,27.9,38.5,62.7,73,105.5,135.7,142.7,146.6,145.5,284.1,478.6,331.9,306,397.7,491.3,751.5,875.2,692.8,468.7,355.1,374.4,326.7,311.4,425.2,546.4,553.6,698.6,389.1,391.9,357.7,427.9,377.2,374,185.2,201.1,563.1,600.6,415.2,662.1,684.7,1169.2,1333.2,987.8
"47","36","      Private","K160361",27.9,11,9,6.4,22.1,34.7,29.1,15.8,12.6,17.1,10.6,16.3,16.3,20.5,28.5,46.5,54,78,100.9,105.7,107.9,108.1,211.3,356.2,244,227.2,299.3,376.4,581.3,678.1,536.8,362.5,274.5,290.8,254.6,242.9,331.7,426.6,433.6,546.4,304.1,305.2,279.1,334.5,295.7,293.2,146.2,158.4,445,476.6,329.7,524.6,543.7,931,1061.4,787.1
"48","37","      Government","K160371",8.5,3.5,3,2,7.3,11.3,9.7,5.3,4.3,5.8,3.6,5.6,5.8,7.4,10,16.3,19,27.4,34.8,37,38.6,37.4,72.7,122.4,87.8,78.8,98.4,114.9,170.2,197,156,106.3,80.6,83.6,72,68.5,93.5,119.8,120.1,152.1,85,86.7,78.6,93.4,81.5,80.8,38.9,42.7,118.1,124,85.5,137.5,140.9,238.2,271.8,200.6
"49","38","    Private inventories \1\","K160381",5.3,1.9,1.4,0.9,3.1,4.5,3.6,1.9,1.6,2.1,1.3,2,2.1,2.5,3.5,6,6.8,9.5,11.9,12,12.2,11.8,23.8,43.4,26.9,25.4,32.6,39.3,61,68.5,57.1,33.7,24.5,29.2,24.3,21.6,28.3,36.4,38.1,46.7,25.3,24.9,22.4,27.5,23.4,23.2,11.9,12.3,32.8,34.9,22,33.5,34.2,59.5,66.1,48.3
"50","39","  Real holding gains or losses (-)","K160391",10.2,-10.1,-21.3,1,15.6,10.4,-20.6,-15.2,-14.7,-25.8,-8.1,-8.8,-28.3,11.4,7.1,13.4,-2.1,21,-10.2,2.6,59.2,69.1,78.5,148.9,-71.1,12.8,81.9,132.4,89.9,35.2,-33.3,-130.2,-224.2,-121,-107.9,56.5,-14.4,-50.4,-105.3,-348.1,-330,17.1,184.7,281.1,117.5,63.2,338.4,341.6,226.3,272.9,397.3,56.3,308.7,1320.2,1103.5,742.8
"51","40","    Fixed assets","K160401",12.5,3.7,-16.1,1.9,22.8,10.1,-19.3,-17.3,-10.9,-23.9,-7.1,-8.3,-23.1,14.1,4.9,16.6,5.5,26.2,-8.6,8.3,61.7,60,49.9,152.2,-53.5,24.6,94.4,108.5,72.1,25.7,14.1,-106.3,-229,-98.1,-68.6,102.8,-25.2,-70.6,-84.7,-324.8,-280,33.2,194.5,293.9,109.4,89.7,377.1,407.4,230.6,270.5,465.1,52.2,297.6,1290.6,1079.2,744.2
"52","41","      Private","K160411",4.5,2.5,-5.1,-0.8,17.9,-0.7,-12.9,-17.6,-2.1,-18.4,-7.2,-12.2,-22,15.9,1.2,11.3,1.8,23,-20.2,-17.8,47.9,34.4,22.2,57,-7.5,49.4,124.8,108.8,45.9,-12.3,-5.4,-95.7,-167.5,-62.2,-47.7,74.4,-11.5,-38.2,-67.8,-260.5,-236.4,34.1,159.8,216.7,50.7,76.2,275,333.5,150.4,188.1,400.8,35.9,332.5,964.2,781.4,292.1
"53","42","      Government","K160421",7.9,1.2,-11,2.7,4.9,10.8,-6.4,0.3,-8.8,-5.5,0,3.9,-1.1,-1.8,3.6,5.3,3.7,3.2,11.6,26.1,13.8,25.5,27.7,95.2,-46,-24.8,-30.4,-0.2,26.2,38,19.5,-10.6,-61.4,-35.9,-20.9,28.4,-13.7,-32.3,-16.9,-64.2,-43.7,-0.9,34.7,77.2,58.7,13.5,102.1,73.8,80.1,82.4,64.3,16.3,-34.9,326.5,297.8,452
"54","43","    Private inventories \1\","K160431",-2.2,-13.8,-5.2,-0.8,-7.2,0.3,-1.3,2.1,-3.8,-1.9,-1,-0.5,-5.2,-2.7,2.2,-3.1,-7.5,-5.3,-1.6,-5.7,-2.5,9.1,28.6,-3.3,-17.6,-11.8,-12.6,23.8,17.8,9.4,-47.4,-23.9,4.8,-22.9,-39.3,-46.3,10.8,20.2,-20.6,-23.3,-50,-16.1,-9.8,-12.8,8.1,-26.5,-38.8,-65.8,-4.3,2.4,-67.9,4.1,11.1,29.6,24.3,-1.4
"55",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","44","Produced assets \11\","K160441",1074,1120.1,1153.6,1199.1,1293.8,1401.9,1467.1,1513.1,1569.2,1618.2,1676,1751.2,1810.3,1921.6,2052.7,2227.6,2391.9,2619.8,2855.3,3096.8,3413,3757.9,4290.5,5098.6,5485.2,5973.9,6676.4,7583.6,8755.9,9956.5,10942.5,11494.4,11864.9,12530.8,13151.6,13904.2,14727.7,15642.1,16524.5,17293.8,17660,18406.3,19346.8,20546.3,21555.9,22584.3,23780,25068.4,26688.2,28438.1,29923,31296,32991.7,36351.9,39699.3,42492.8
"57","45","  Fixed assets","K160451",947.2,1001.7,1037,1084.4,1178.3,1277.6,1339.6,1381.9,1436.4,1481.9,1536.4,1604,1660.6,1767.2,1883.5,2041.8,2197,2411.6,2627.6,2860.8,3159.1,3474,3938.4,4692.4,5075.8,5533.8,6194,7012.2,8087.7,9216.7,10163.3,10720.3,11067.2,11661.4,12275.5,13046.3,13803.5,14642.9,15480.2,16211.5,16602.8,17323.9,18231,19352,20298.9,21299.9,22450.5,23721.6,25246.1,26902.2,28464.7,29788.3,31424.4,34637,37857.1,40556.9
"58","46","    Private","K160461",710.5,747.6,777.7,809.2,881.4,948.4,996.5,1020.6,1064.8,1096.8,1132,1173.3,1209,1293.6,1379.5,1496.9,1608.5,1772.7,1924.5,2078.4,2311.6,2550.6,2899.6,3415.8,3734.7,4115.7,4686.9,5364.2,6210.7,7067.8,7802.6,8229,8516.4,9011.2,9509,10110.1,10710.8,11391.6,12051.7,12610.9,12880.7,13438.8,14166.8,15056.7,15794.3,16618.1,17549.3,18620.5,19847.2,21189.5,22484.8,23522.7,24916.9,27422.8,29936.7,31818.5
"59","47","    Government","K160471",236.7,254.1,259.3,275.2,296.9,329.1,343.2,361.3,371.6,385.1,404.4,430.7,451.6,473.7,504,544.9,588.6,638.9,703.2,782.4,847.5,923.4,1038.8,1276.6,1341.1,1418.1,1507.1,1648,1877,2148.9,2360.7,2491.3,2550.9,2650.3,2766.5,2936.2,3092.6,3251.3,3428.5,3600.7,3722.1,3885.1,4064.3,4295.2,4504.7,4681.8,4901.2,5101.1,5398.9,5712.7,5979.9,6265.6,6507.5,7214.2,7920.3,8738.5
"60","48","  Private inventories \1\","K160481",126.8,118.4,116.6,114.6,115.6,124.3,127.5,131.2,132.9,136.2,139.6,147.2,149.7,154.3,169.3,185.7,194.9,208.2,227.7,236,253.9,283.9,352.2,406.3,409.3,440.1,482.4,571.4,668.2,739.8,779.2,774.1,797.6,869.3,876.1,858,924.2,999.2,1044.4,1082.3,1057.2,1082.4,1115.8,1194.3,1257,1284.4,1329.5,1346.8,1442.2,1535.9,1458.3,1507.8,1567.3,1715,1842.3,1935.8
