"","Table 5#7#9A# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","3","Nonfarm","A373RD3",22.349,22.685,23.038,23.815,24.342,24.593,25.208,25.253,24.835,24.118,23.853,23.997,23.969,24.223,25.405,26.651,27.859,27.816,27.375,27.378,27.279,27.044,27.12,26.98,27.019,27.178,27.45,27.363,27.383,27.393,27.488,27.513,27.623,27.75,28.11,28.42,28.742,29.084,29.232,29.545,29.776,29.804,29.976,30.004,30.063,29.99,30.068,30.226,30.298,30.331,30.382,30.396,30.421,30.405,30.43,30.422,30.403,30.3,30.29,30.286,30.217,30.183,30.252,30.198,30.144,30.105,30.101,30.176,30.196,30.206,30.29,30.386,30.443,30.556,30.643,30.801,30.906,31.012,31.154,31.287,31.316,31.36,31.463,31.694,31.915,31.944,32.034,32.234,32.586,32.758,33.092,33.452,33.837,34.105,34.36,34.602,34.965,35.242,35.368,35.454,35.775,36.049,36.32,36.66,37.738,38.916,39.665,40.939,42.908,45.421,48.055,49.379,49.694,49.98,50.698,51.047,51.609,52.388,53.196,53.753,54.859,55.388,55.787,56.638,57.792,59.193,60.294,61.703,63.835,66.073,68.37,70.69,74.122,75.447,77.647,79.45,81.681,82.807,83.543,83.665,84.484,84.726,84.937,85.178,85.001,85.478,86.603,86.989,87.998,88.622,88.723,88.739,88.605,88.385,87.982,88.396,86.963,86.529,86.495,86.76,87.176,88.117,88.841,89.724,90.482,91.74,92.669,93.528,94.877,95.215,95.099,95.482,95.623,95.493,97.242,97.702,96.641,96.021,95.954,96.073,95.945,96.482,96.729,96.643,96.871,97.149,97.075,97.373,97.561,98.186,98.945,99.795,101.242,102.005,101.919,102.046,102.009,101.972,101.96,102.035,101.532,100.652,100.239,99.929
"12","4","    Durable goods","A374RD3",20.615,20.984,21.411,21.868,22.406,22.802,23.997,24.573,24.626,23.997,23.723,24.132,23.931,24.218,25.044,26.289,27.187,27.246,27.113,27.229,27.313,27.222,27.369,27.427,27.624,27.969,28.288,28.236,28.187,28.244,28.463,28.632,28.823,29.075,29.856,30.5,30.905,31.217,31.492,32,32.161,32.123,32.369,32.512,32.593,32.509,32.628,32.806,32.973,33.092,33.115,33.161,33.198,33.202,33.195,33.18,33.139,33.131,33.077,33.014,32.916,32.868,32.87,32.818,32.755,32.716,32.71,32.789,32.872,32.974,33.046,33.122,33.135,33.192,33.256,33.342,33.438,33.546,33.655,33.871,33.987,33.959,34.216,34.583,34.874,34.859,35.054,35.331,35.759,35.758,36.106,36.562,36.892,37.257,37.531,37.9,38.264,38.605,38.918,39.023,39.391,39.645,39.813,39.859,40.663,41.419,41.719,42.675,44.394,47.5,49.863,51.289,52.136,52.444,52.964,53.671,54.404,55.148,56.178,56.886,57.708,58.427,59.312,60.045,61.318,62.837,64.256,65.776,68.005,69.905,71.678,74.022,76.991,78.01,79.899,81.872,83.445,84.704,86.031,86.847,88.167,88.359,88.807,89.277,89.657,90.22,91.251,91.889,93.079,93.963,94.473,94.856,95.09,94.903,94.679,94.926,94.866,95.064,95.533,95.537,95.157,95.738,96.6,97.735,98.741,99.737,100.685,101.673,102.602,102.582,102.736,102.573,102.435,102.52,103.035,103.308,103.275,102.648,102.301,102.514,102.474,102.554,102.664,102.64,103.022,103.404,103.634,103.965,104.271,104.861,105.533,106.244,107.217,107.453,107.064,106.678,105.931,105.822,105.74,105.432,104.874,103.979,103.202,102.589
"13","5","    Nondurable goods","A375RD3",23.828,24.129,24.405,25.484,25.994,26.105,26.165,25.714,24.86,24.07,23.817,23.721,23.849,24.074,25.568,26.81,28.303,28.169,27.433,27.326,27.041,26.661,26.664,26.322,26.199,26.163,26.384,26.261,26.352,26.31,26.276,26.155,26.186,26.186,26.121,26.09,26.325,26.694,26.711,26.829,27.128,27.221,27.318,27.229,27.264,27.202,27.239,27.324,27.299,27.249,27.325,27.309,27.321,27.285,27.342,27.34,27.343,27.152,27.185,27.236,27.196,27.175,27.308,27.251,27.208,27.168,27.166,27.237,27.197,27.117,27.211,27.327,27.424,27.591,27.703,27.933,28.045,28.151,28.325,28.37,28.304,28.425,28.358,28.44,28.584,28.661,28.637,28.751,29.018,29.382,29.7,29.954,30.398,30.557,30.791,30.894,31.254,31.463,31.389,31.454,31.725,32.019,32.396,33.045,34.414,36.053,37.313,38.958,41.222,43.052,46.002,47.208,46.889,47.149,48.108,48.039,48.401,49.221,49.774,50.153,51.592,51.9,51.736,52.722,53.741,55.004,55.731,57.011,59.027,61.695,64.659,66.958,70.993,72.702,75.295,76.9,79.949,80.919,80.929,80.211,80.441,80.746,80.677,80.651,79.832,80.212,81.444,81.544,82.347,82.673,82.298,81.883,81.316,81.057,80.449,81.057,78.053,76.909,76.319,76.887,78.189,79.534,80.104,80.703,81.186,82.738,83.645,84.362,86.202,86.96,86.528,87.548,88.018,87.637,90.841,91.522,89.272,88.665,88.918,88.94,88.715,89.747,90.141,89.99,90.052,90.219,89.82,90.08,90.14,90.801,91.653,92.655,94.629,95.983,96.239,96.947,97.725,97.771,97.841,98.364,91.609,90.715,90.655,90.731
"14","6","  Manufacturing","A376RD3",23.662,24.135,24.409,25.3,25.975,26.242,26.798,27.004,26.59,25.666,25.333,25.269,25.539,25.912,27.288,28.871,30.353,30.215,29.514,29.576,29.431,29.105,29.24,29.097,29.189,29.409,29.741,29.661,29.63,29.689,29.83,29.871,30.036,30.222,30.771,31.196,31.636,32.021,32.17,32.483,32.749,32.721,32.912,32.884,32.828,32.683,32.836,32.982,33.051,33.119,33.196,33.224,33.285,33.371,33.458,33.512,33.552,33.496,33.462,33.411,33.327,33.343,33.359,33.316,33.25,33.21,33.141,33.197,33.231,33.302,33.378,33.481,33.533,33.612,33.709,33.851,33.918,34.047,34.221,34.362,34.491,34.49,34.599,34.866,35.086,35.124,35.277,35.497,35.919,36.105,36.579,36.898,37.294,37.595,37.886,38.064,38.452,38.749,38.959,38.982,39.366,39.653,39.956,40.099,41.175,42.326,43.162,44.417,46.995,50.475,53.681,55.298,55.61,55.669,56.393,56.581,57.249,58.084,59.024,59.498,60.578,61.224,61.754,62.58,63.957,65.272,66.473,68.055,70.523,73.109,75.689,78.065,81.546,83.109,85.343,87.406,89.651,90.883,91.786,92.048,93.454,93.456,93.461,93.737,93.153,93.523,94.933,95.185,96.448,97.3,97.649,97.662,97.432,96.866,96.27,96.173,94.338,93.543,93.597,93.493,93.544,94.349,95.339,96.702,97.785,99.362,100.448,101.312,102.839,102.781,102.363,102.377,102.189,101.776,103.722,103.709,102.285,101.121,100.421,100.169,99.854,100.106,100.046,99.66,99.691,99.785,99.435,99.393,99.601,100.341,101.182,102.581,104.438,104.941,104.687,104.1,103.123,102.959,102.739,102.698,101.765,101.119,100.553,100.251
"15","7","    Durable goods","A377RD3",21.643,22.113,22.582,23.042,23.753,24.262,25.622,26.361,26.413,25.481,25.151,25.152,25.482,25.853,26.881,28.381,29.451,29.45,29.261,29.399,29.451,29.309,29.59,29.641,29.919,30.34,30.76,30.67,30.569,30.67,30.989,31.128,31.369,31.739,32.87,33.61,34.129,34.498,34.829,35.299,35.44,35.338,35.669,35.718,35.668,35.438,35.758,36.083,36.234,36.362,36.464,36.546,36.653,36.784,36.859,36.903,36.895,36.844,36.835,36.736,36.621,36.566,36.578,36.547,36.481,36.423,36.371,36.455,36.537,36.692,36.828,36.922,36.967,37.015,37.09,37.229,37.282,37.429,37.628,37.818,38.025,37.974,38.211,38.62,38.911,38.895,39.086,39.368,39.817,39.908,40.397,40.866,41.292,41.743,42.046,42.344,42.678,43.055,43.453,43.501,43.979,44.234,44.422,44.392,45.376,46.334,46.743,47.917,50.094,54.22,57.025,58.428,59.145,59.398,59.858,60.569,61.398,62.304,63.416,64.076,65.01,65.854,66.791,67.458,69.048,70.539,72.088,73.881,76.782,79.269,81.49,84.031,87.592,88.689,90.669,92.832,94.701,96.221,97.805,98.365,100.674,100.585,100.848,101.402,101.331,101.728,103.04,103.479,104.939,106.033,106.747,107.152,107.224,106.47,106.048,105.717,105.109,104.67,104.769,104.276,103.461,103.804,104.974,106.575,107.735,108.989,110.13,111.108,112.256,111.956,111.931,111.237,110.706,110.665,110.877,110.845,110.491,109.155,108.225,108.084,107.832,107.475,107.148,106.782,106.628,106.684,106.462,106.381,106.817,106.999,107.474,108.186,109.274,109.018,108.293,107.356,105.924,105.676,105.17,104.856,104.301,103.41,102.658,102.226
"16","8","    Nondurable goods","A378RD3",25.829,26.293,26.293,27.748,28.347,28.284,27.82,27.356,26.389,25.493,25.166,25.03,25.23,25.597,27.356,29.012,30.968,30.675,29.345,29.315,28.915,28.347,28.285,27.883,27.718,27.651,27.852,27.788,27.852,27.851,27.748,27.653,27.716,27.653,27.421,27.421,27.748,28.147,28.052,28.148,28.578,28.651,28.651,28.515,28.452,28.421,28.347,28.257,28.218,28.204,28.246,28.205,28.205,28.23,28.334,28.398,28.496,28.435,28.373,28.382,28.338,28.441,28.46,28.404,28.341,28.323,28.235,28.253,28.23,28.193,28.189,28.302,28.361,28.48,28.606,28.748,28.834,28.937,29.074,29.144,29.16,29.231,29.149,29.201,29.314,29.433,29.53,29.66,30.038,30.367,30.818,30.914,31.263,31.34,31.61,31.608,32.072,32.252,32.188,32.175,32.425,32.751,33.215,33.6,34.803,36.237,37.723,39.115,42.344,44.827,48.674,50.639,50.317,50.071,51.217,50.612,51.04,51.766,52.448,52.651,53.943,54.298,54.231,55.287,56.347,57.4,58.08,59.342,61.149,63.906,67.084,69.212,72.608,74.95,77.623,79.552,82.439,83.217,83.018,82.798,82.775,82.926,82.522,82.362,80.986,81.318,82.881,82.852,83.815,84.302,84.084,83.483,82.77,82.501,81.619,81.895,78.146,76.812,76.809,77.312,78.661,80.159,80.883,81.886,82.858,84.923,85.929,86.625,88.743,89.057,88.029,89.141,89.485,88.494,93.137,93.151,90.093,89.198,88.844,88.439,88.034,89.152,89.465,89.055,89.339,89.484,88.963,88.975,88.86,90.381,91.734,94.101,97.057,98.646,99.076,99.006,98.7,98.656,98.866,99.235,97.732,97.466,97.198,97.096
"17","9","  Wholesale trade","A379RD3",21.973,22.178,22.635,23.441,23.889,24.05,24.815,24.399,23.859,23.407,23.205,24.142,23.182,23.431,24.622,25.629,26.943,26.959,26.577,26.558,26.435,26.301,26.334,26.003,25.844,25.892,26.183,26.032,26.211,26.187,26.155,26.07,26.141,26.221,26.301,26.376,26.594,27.032,27.23,27.515,27.779,27.906,28.198,28.247,28.574,28.652,28.528,28.575,28.719,28.767,28.702,28.709,28.723,28.707,28.541,28.499,28.464,28.448,28.44,28.497,28.43,28.396,28.468,28.399,28.337,28.377,28.434,28.446,28.502,28.496,28.585,28.625,28.672,28.88,28.927,29.012,29.163,29.231,29.316,29.422,29.346,29.35,29.378,29.642,29.892,29.81,29.793,29.952,30.263,30.398,30.585,30.958,31.356,31.598,31.85,32.212,32.608,32.96,32.932,33.053,33.469,33.759,33.991,34.635,35.837,37.345,38.847,40.409,42.394,44.123,46.854,47.854,48.057,48.386,49.32,49.72,50.363,51.044,51.53,51.912,53.017,53.254,53.312,54.51,55.584,56.865,57.932,59.305,61.236,63.511,65.935,68.293,71.511,73.011,75.336,77.445,80.058,81.08,81.423,80.391,80.754,80.714,80.849,80.84,81.131,82.02,83.376,83.937,84.826,85.427,85.214,85.221,85.163,85.279,84.96,85.845,84.824,84.952,84.67,85.331,86.035,87.217,87.849,88.767,89.625,91.222,92.293,93.13,94.439,94.799,94.798,95.356,95.78,95.792,97.396,97.837,97.062,96.49,96.769,97.042,97.168,97.607,97.642,97.469,98.03,97.948,98.235,99.079,99.376,99.971,100.805,101.731,103.298,104.286,104.406,104.762,105.027,104.862,105.052,104.18,103.719,102.663,102.197,101.54
"18","10","    Durable goods","A380RD3",18.401,18.695,19.054,19.483,19.812,20.025,21.179,21.395,21.474,21.141,20.966,22.874,21.072,21.286,21.97,23.018,23.781,23.849,23.811,23.885,23.996,23.956,23.92,23.997,24.065,24.357,24.641,24.642,24.684,24.64,24.752,24.967,25.114,25.255,25.688,26.267,26.557,26.882,27.167,27.742,27.969,28.035,28.251,28.466,28.79,28.935,28.611,28.871,29.144,29.283,29.215,29.367,29.309,29.108,28.97,28.917,28.822,28.924,28.805,28.793,28.713,28.664,28.724,28.633,28.581,28.611,28.691,28.71,28.873,29.003,29.066,29.146,29.123,29.272,29.392,29.427,29.668,29.743,29.841,30.095,30.112,30.041,30.33,30.69,31.11,31.008,31.24,31.572,32.052,32.025,32.366,32.908,33.328,33.626,33.816,34.179,34.526,34.901,35.261,35.397,35.831,36.069,36.249,36.407,37.287,37.796,38.137,39.106,40.687,43.266,45.535,47.098,48.069,48.343,48.914,49.651,50.466,51.02,51.981,52.645,53.481,54.12,55.07,55.887,56.987,58.21,59.695,61.099,62.824,64.171,65.929,68.017,70.511,71.435,73.219,75.475,77.206,78.222,79.55,80.698,81.3,81.528,82.215,82.497,83.391,84.243,85.154,86.089,87.138,88.116,88.57,89.104,89.401,89.832,90.06,90.796,91.479,92.567,93.745,94.003,94.084,94.669,95.418,96.38,97.361,98.203,99.025,100.042,100.911,101.094,101.47,101.648,102.117,102.231,102.982,103.297,103.409,103.008,102.814,103.126,103.235,103.357,103.495,103.534,104.267,104.501,104.822,105.346,105.78,106.418,107.168,107.853,108.861,109.351,108.944,108.552,108.262,108.08,108.343,107.92,107.253,106.407,105.658,104.843
"19","11","    Nondurable goods","A381RD3",26.475,26.581,27.156,28.423,29.03,29.13,29.404,28.19,26.856,26.25,26.011,25.741,25.812,26.114,27.927,28.897,30.909,30.868,30.037,29.902,29.464,29.207,29.328,28.498,28.063,27.823,28.122,27.791,28.129,28.123,27.924,27.492,27.48,27.49,27.159,26.65,26.782,27.353,27.451,27.417,27.724,27.919,28.297,28.162,28.496,28.498,28.597,28.408,28.408,28.352,28.292,28.138,28.236,28.436,28.233,28.198,28.236,28.087,28.206,28.339,28.294,28.272,28.361,28.319,28.243,28.299,28.323,28.328,28.256,28.087,28.208,28.195,28.332,28.614,28.57,28.719,28.757,28.817,28.885,28.794,28.594,28.695,28.379,28.52,28.545,28.488,28.145,28.074,28.165,28.521,28.5,28.648,29.021,29.189,29.527,29.893,30.353,30.677,30.134,30.241,30.631,31.002,31.306,32.641,34.307,37.303,40.613,43.11,45.75,46.216,49.701,49.815,48.77,49.194,50.737,50.595,50.967,51.865,51.583,51.507,53.062,52.652,51.281,53.102,54.153,55.555,55.937,57.283,59.599,63.503,67.108,69.973,74.491,77.004,80.297,82.208,86.42,87.497,86.104,81.184,81.138,80.628,79.773,79.273,78.553,79.518,81.625,81.582,82.215,82.192,80.866,79.984,79.335,78.939,77.72,78.861,75.129,73.748,71.169,72.487,74.158,76.286,76.735,77.583,78.267,81.025,82.486,83.061,85.06,85.698,85.108,86.254,86.613,86.467,89.373,90.005,87.92,87.107,88.072,88.3,88.447,89.33,89.222,88.75,89.07,88.555,88.793,90.076,90.179,90.71,91.66,92.928,95.316,97.042,97.943,99.429,100.556,100.424,100.505,98.922,99.225,98.125,97.972,97.657
"20","12","      Merchant wholesalers","A802RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.981,28.116,28.169,28.07,28.036,28.044,27.955,27.791,27.782,27.765,27.766,27.841,27.868,27.805,27.792,27.826,27.782,27.765,27.829,27.854,27.888,27.918,27.875,27.987,28.045,28.149,28.328,28.382,28.533,28.729,28.777,28.833,28.901,28.822,28.833,28.893,29.197,29.555,29.576,29.665,29.896,30.251,30.446,30.662,31.053,31.484,31.765,32.091,32.455,32.854,33.23,33.151,33.297,33.714,34.015,34.249,34.964,36.164,37.811,39.625,41.203,43.01,44.546,47.303,48.226,48.286,48.561,49.548,49.916,50.622,51.329,51.748,52.071,53.134,53.218,53.166,54.467,55.58,56.878,57.92,59.276,61.091,63.091,64.987,66.991,69.644,70.863,73.289,75.236,77.05,77.997,78.413,78.976,79.412,79.486,79.546,79.564,80.067,80.958,82.365,82.951,83.785,84.435,84.22,84.179,84.157,84.249,83.9,84.785,84.456,84.855,84.5,85.147,85.721,86.95,87.543,88.537,89.532,91.237,92.461,93.223,94.43,94.716,94.799,95.267,95.738,95.925,96.919,97.274,97.045,96.546,96.802,97.106,97.323,97.659,97.669,97.543,98.086,98.062,98.482,99.539,99.848,100.345,101.123,102.148,103.786,104.807,105.019,105.41,105.674,105.407,105.504,104.375,104.112,103.199,102.697,102.093
"21","13","        Durable goods","A803RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.891,28.243,28.399,28.337,28.394,28.29,28.073,27.889,27.849,27.773,27.852,27.81,27.766,27.711,27.646,27.635,27.606,27.598,27.609,27.625,27.649,27.811,27.992,28.077,28.187,28.216,28.33,28.466,28.511,28.721,28.796,28.845,29.047,29.054,28.998,29.328,29.672,30.148,30.128,30.442,30.802,31.311,31.298,31.627,32.145,32.564,32.876,33.071,33.412,33.756,34.133,34.478,34.608,35.026,35.262,35.452,35.619,36.519,37.041,37.413,38.373,39.952,42.484,44.744,46.298,47.292,47.581,48.165,48.872,49.673,50.227,51.191,51.866,52.71,53.353,54.274,55.063,56.149,57.381,58.869,60.249,61.967,63.338,65.105,67.189,69.696,70.599,72.389,74.584,76.261,77.263,78.562,79.886,80.465,80.685,81.386,81.653,82.402,83.13,83.966,84.839,85.886,86.84,87.259,87.778,88.07,88.487,88.695,89.476,90.217,91.316,92.487,92.693,92.869,93.512,94.315,95.258,96.271,97.131,97.993,99.01,99.901,100.117,100.512,100.741,101.23,101.356,102.12,102.457,102.607,102.242,102.078,102.415,102.529,102.691,102.849,102.894,103.631,103.892,104.234,104.776,105.232,105.906,106.684,107.409,108.451,108.958,108.554,108.17,107.961,107.73,108.021,107.573,106.962,106.161,105.45,104.672
"22","14","        Nondurable goods","A804RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.579,28.419,28.332,28.181,28.029,28.19,28.282,28.14,28.175,28.237,28.135,28.371,28.497,28.423,28.486,28.583,28.52,28.487,28.63,28.668,28.719,28.563,28.207,28.354,28.336,28.552,28.829,28.762,29.075,29.251,29.261,29.331,29.193,28.981,29.093,28.751,29.001,29.192,29.271,29.031,29.072,29.205,29.718,29.766,29.971,30.429,30.666,31.194,31.596,32.087,32.467,31.75,31.919,32.344,32.759,33.064,34.679,36.375,39.945,44.345,47.049,49.284,49.099,52.786,52.536,50.812,51.068,52.839,52.574,53.104,54.122,53.499,53.162,54.653,53.692,51.852,54.111,55.292,56.731,56.95,58.281,60.31,63.518,65.693,67.578,70.551,72.39,76.047,77.556,79.677,80.547,79.228,78.33,78.504,78.305,77.116,76.676,76.742,77.939,80.373,80.467,80.933,81.049,79.685,78.627,78.044,77.57,76.256,77.327,75.215,74.454,71.564,72.954,74.174,76.37,76.617,77.685,78.665,81.717,83.52,83.88,85.601,86,85.57,86.424,86.868,87.152,88.502,88.884,88.08,87.386,88.268,88.53,88.895,89.479,89.272,88.899,89.159,88.729,89.256,91.039,91.133,91.365,92.134,93.596,96.116,97.919,99.074,100.67,101.692,101.38,101.17,98.937,99.239,98.144,97.99,97.676
"23","15","      Nonmerchant wholesalers","A805RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.426,30.59,30.629,30.634,30.726,30.758,30.899,30.722,30.604,30.534,30.481,30.295,30.415,30.343,30.258,30.415,30.291,30.136,30.13,30.246,30.214,30.329,30.408,30.448,30.449,30.366,30.645,30.679,30.6,30.648,30.761,30.92,31.126,31.058,31.04,30.99,31.152,31.117,30.765,30.467,30.438,30.638,30.615,30.723,31.051,31.364,31.495,31.541,31.906,32.292,32.576,32.703,32.757,33.168,33.428,33.66,34.072,35.298,36.364,36.851,38.378,40.994,43.414,46.091,47.367,48.051,48.556,49.335,49.842,50.296,50.895,51.613,52.189,53.455,54.225,54.672,55.524,56.469,57.702,58.882,60.346,62.77,66.225,70.895,74.771,80.421,83.145,85.108,88.001,94.214,95.562,95.578,87.377,87.421,86.862,87.339,87.208,86.544,87.428,88.561,89.016,90.162,90.533,90.334,90.562,90.335,90.569,90.401,91.28,86.7,85.418,85.51,86.246,87.642,88.575,89.423,89.923,90.019,90.996,91.195,92.466,94.338,95.116,94.651,95.706,95.871,94.911,99.926,100.859,96.969,95.969,96.376,96.466,96.052,97.103,97.291,96.832,97.504,97.081,96.544,96.074,96.295,97.496,98.68,98.977,100.116,100.895,100.44,100.585,100.868,101.32,102.072,102.752,101.095,99.166,98.91,97.92
"24","16","        Durable goods","A806RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.732,33.801,33.898,33.804,34.241,34.319,34.153,34.138,34.051,33.887,34.065,33.711,33.797,33.63,33.63,33.888,33.619,33.444,33.531,33.789,33.798,33.972,33.973,33.974,33.974,33.792,34.059,34.138,34.14,34.492,34.57,34.838,35.275,35.327,35.201,35.374,35.804,36.069,35.693,35.669,35.929,36.34,36.266,36.662,37.315,37.763,38.022,38.207,38.665,39.042,39.425,39.862,40.021,40.542,40.794,40.936,41.063,41.882,42.355,42.571,43.613,45.256,48.123,50.503,52.148,53.051,53.269,53.808,54.696,55.599,56.173,57.155,57.793,58.626,59.257,60.378,61.336,62.539,63.746,65.247,66.811,68.598,69.856,71.614,73.751,76.234,77.286,79.068,81.698,83.753,84.85,86.371,86.559,87.314,87.587,88.203,88.571,90.262,91.796,93.13,94.424,95.506,96.641,97.292,97.917,98.244,98.764,99.11,99.592,99.923,100.963,102.192,102.767,102.264,102.478,102.88,103.973,104.75,105.475,106.042,107.061,107.795,107.761,108.016,107.878,108.225,108.256,108.921,109.105,108.967,108.317,107.939,108.086,108.164,108.017,108.019,108.026,108.725,108.775,108.943,109.34,109.615,109.997,110.553,110.953,111.715,112.092,111.668,111.22,110.372,110.531,110.596,110.346,109.297,108.146,107.117,106.056
"25","17","        Nondurable goods","A807RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.236,26.447,26.447,26.52,26.375,26.376,26.72,26.441,26.309,26.308,26.1,26.039,26.177,26.176,26.033,26.107,26.099,25.968,25.894,25.894,25.831,25.895,26.028,26.098,26.1,26.098,26.373,26.372,26.232,26.029,26.168,26.23,26.229,26.059,26.14,25.895,25.815,25.519,25.202,24.679,24.398,24.405,24.432,24.28,24.305,24.485,24.498,24.419,24.688,25.063,25.251,25.113,25.076,25.372,25.628,25.921,26.558,28.078,29.624,30.337,32.252,35.665,37.6,40.435,41.332,41.79,42.544,43.521,43.653,43.676,44.272,44.712,45.206,46.859,47.723,47.523,48.244,48.909,50.138,50.957,52.282,55.241,61.077,68.875,74.453,83.398,87.822,90.013,93.203,103.829,105.496,103.928,86.44,85.695,84.174,84.489,83.788,80.459,80.576,81.463,80.99,82.163,81.678,80.549,80.318,79.463,79.371,78.6,79.931,69.859,66.053,64.922,65.857,69.315,71.034,72.368,72.194,71.517,72.75,72.535,74.065,77.214,78.893,77.638,80.036,79.99,77.922,87.787,89.546,81.578,80.211,81.484,81.501,80.559,82.862,83.243,82.315,82.929,82.024,80.788,79.431,79.581,81.628,83.475,83.653,85.191,86.408,85.928,86.764,88.367,89.164,90.722,92.512,90.136,87.259,87.963,87.068
"26","18","  Retail trade","A382RD3",26.041,26.089,26.435,27.129,27.606,27.76,28.382,28.346,27.793,27.246,27.05,27.013,27.024,27.071,28.139,29.173,30.1,30.174,30.061,29.927,29.9,29.727,29.69,29.556,29.593,29.696,29.884,29.829,29.866,29.848,29.909,29.948,29.967,30.007,30.163,30.382,30.576,30.822,30.965,31.328,31.536,31.612,31.728,31.904,32.055,32.077,32.139,32.173,32.193,32.228,32.212,32.096,32.176,32.157,32.128,32.084,31.987,31.849,31.824,31.873,31.855,31.741,31.809,31.687,31.579,31.644,31.642,31.78,31.789,31.777,31.774,31.766,31.853,31.975,31.99,32.19,32.305,32.3,32.409,32.514,32.346,32.559,32.709,32.87,33.071,33.298,33.4,33.563,33.819,33.974,34.045,34.406,34.687,34.849,34.954,35.328,35.772,35.998,36.044,36.17,36.398,36.731,36.964,37.396,38.581,39.803,39.79,40.643,41.252,42.358,44.004,45.145,45.868,46.633,47.372,47.862,48.194,49.009,49.597,50.376,51.319,51.836,52.135,52.823,53.801,55.491,56.49,57.65,59.379,60.786,61.977,64.132,66.872,68.098,70.08,70.375,71.382,72.234,72.902,73.566,73.757,74.467,74.921,75.269,75.932,76.467,77.104,77.749,78.527,78.745,78.827,79.02,79.252,79.465,79.314,80.11,79.758,80.193,80.677,81.055,81.4,82.402,82.862,83.472,84.078,85.014,85.881,86.647,87.564,88.138,88.276,88.807,89.173,89.53,90.682,91.38,91.353,91.528,91.954,92.575,92.833,93.534,94.136,94.439,94.953,95.582,95.725,96.111,96.079,96.869,97.532,97.922,98.718,99.442,99.622,100.074,100.274,100.494,100.717,100.814,100.548,99.876,99.495,99.118
