"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","  Nondurable goods","A004RD3",12.815,12.138,10.382,8.879,8.822,9.745,10.102,10.131,10.486,9.968,9.803,9.892,10.729,12.491,13.958,14.744,15.373,16.772,18.939,20.06,19.401,19.483,21.099,21.33,21.235,21.303,21.174,21.468,22.1,22.632,22.765,23.089,23.227,23.412,23.683,23.986,24.423,25.232,25.83,26.82,28.062,29.445,30.359,31.373,33.839,38.702,41.735,43.346,45.912,48.985,54.147,60.449,65.13,66.956,68.386,70.004,71.543,71.273,73.731,76.206,79.842,84.226,86.779,88.106,88.973,89.605,90.629,92.566,93.835,93.821,96.174,100,101.531,102.09,104.145,107.626,111.561,114.989
"12","5","  Services","A005RD3",9.23,8.997,8.421,7.65,7.136,6.985,7.082,7.224,7.494,7.564,7.571,7.621,7.816,8.221,8.632,9.032,9.328,9.763,10.359,10.939,11.245,11.562,12.082,12.563,13.186,13.579,13.894,14.275,14.687,15.076,15.485,15.887,16.173,16.466,16.701,17.016,17.334,17.81,18.349,19.128,20.106,21.175,22.34,23.304,24.381,26.345,28.596,30.603,32.932,35.464,38.316,42.331,46.746,50.528,53.799,56.68,59.295,62.04,64.298,67.492,70.708,74.197,77.497,80.684,83.344,85.748,88.32,90.844,93.304,95.318,97.393,100,103.256,106.019,109.379,112.929,116.725,120.725
"13","6","Gross private domestic investment","A006RD3",18.058,17.672,15.508,10.987,10.232,12.009,11.776,11.845,13.341,11.757,12.067,12.648,13.752,14.992,14.904,15.356,16.171,18.104,21.149,22.779,22.866,23.747,26.35,26.168,26.106,26.108,26.944,28.5,29.147,29.084,29.447,29.591,29.511,29.53,29.439,29.606,30.08,30.701,31.509,32.687,34.226,35.68,37.45,39.02,41.133,45.296,50.804,53.599,57.628,62.331,67.982,74.27,81.205,85.353,85.182,85.77,86.636,88.456,90.225,92.265,94.466,96.192,97.648,97.279,98.457,99.774,100.887,100.482,100.151,99.018,98.97,100,100.996,101.605,103.16,106.686,111.125,115.087
"14","7","  Fixed investment","A007RD3",12.498,11.988,11.087,9.789,9.626,10.111,10.16,10.264,11.154,11.308,11.246,11.528,12.38,13.573,14.165,14.646,15.107,16.689,19.598,21.27,21.685,22.167,24.081,24.669,24.873,25.061,25.47,26.97,27.906,27.978,28.242,28.395,28.306,28.327,28.246,28.42,28.905,29.515,30.343,31.56,33.117,34.54,36.28,37.838,39.929,43.859,49.348,52.206,56.303,61.058,66.594,72.835,79.613,83.988,83.851,84.339,85.397,87.438,89.055,91.366,93.574,95.474,96.891,96.602,97.805,99.133,100.291,100.028,99.785,98.861,98.888,100,101.023,101.659,103.312,106.845,111.404,115.352
"15","8","    Nonresidential","A008RD3",15.525,14.799,13.777,12.465,12.237,12.673,12.81,12.792,13.863,13.974,13.826,14.142,15.074,16.661,17.197,17.544,17.993,19.904,23.152,25.147,25.729,26.253,28.777,29.429,29.692,29.977,30.384,32.777,34.452,34.624,35.082,35.242,35.044,35.055,35.054,35.233,35.636,36.169,37.093,38.394,39.979,41.865,43.836,45.323,47.068,51.606,58.704,61.955,66.193,70.625,76.363,83.116,91.154,96.2,95.336,95.1,95.84,97.47,98.336,100.525,102.63,104.591,106.209,105.307,105.487,106.008,106.239,105.011,103.696,101.421,100.057,100,99.683,99.513,99.591,100.896,103.778,106.962
"16","9","      Structures","A009RD3",6.395,6.055,5.539,4.801,4.843,4.864,5.096,5.093,5.786,5.679,5.619,5.705,6.106,6.811,7.402,7.566,7.902,8.852,10.726,11.936,11.894,12.04,13.43,13.786,14.054,13.884,14.161,15.373,16.031,15.776,15.864,15.845,15.751,15.881,16.025,16.255,16.728,17.333,17.876,18.764,19.999,21.31,22.953,24.611,26.52,30.181,33.784,35.438,38.507,42.224,47.136,51.546,58.66,63.328,61.707,62.234,63.701,64.924,65.951,68.757,71.439,73.738,75.073,75.048,77.602,80.388,83.879,86.045,89.38,93.474,96.256,100,105.403,110.03,113.871,120.912,135.013,150.806
"17","10","      Equipment and software","A010RD3",23.014,22.093,20.933,19.738,18.965,20.046,19.865,19.838,20.973,21.482,21.245,21.82,23.202,25.528,25.659,26.146,26.587,29.11,32.973,35.348,36.716,37.634,40.831,41.665,41.76,42.767,43.17,46.374,49.002,49.969,50.886,51.308,51.028,50.782,50.496,50.476,50.521,50.653,51.776,53.17,54.644,56.656,58.339,59.043,60.048,64.474,74.001,78.355,83.01,87.392,92.93,100.869,108.077,112.293,112.532,111.548,111.413,113.178,113.798,115.215,116.657,118.168,119.853,118.442,117.244,116.571,115.224,112.451,109.121,104.259,101.366,100,97.708,95.956,94.912,94.601,94.526,94.485
"18","11","    Residential","A011RD3",6.765,6.619,5.991,4.883,4.816,5.345,5.27,5.527,6.063,6.254,6.296,6.484,7.084,7.612,8.238,9.037,9.649,10.552,12.638,13.699,13.881,14.224,15.243,15.662,15.775,15.837,16.167,16.578,16.621,16.58,16.63,16.743,16.769,16.796,16.663,16.796,17.272,17.899,18.521,19.504,20.853,21.526,22.774,24.158,26.297,29.011,31.706,33.743,37.147,41.696,46.374,51.394,55.587,58.565,59.907,61.63,63.218,65.868,68.56,70.928,73.211,74.93,75.912,76.836,79.941,82.754,85.77,87.609,89.843,92.239,95.78,100,104.633,107.24,112.372,120.587,128.653,134.287
"19","12","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","  Exports","A020RD3",17.009,15.402,12.115,10.511,10.507,12.186,12.498,12.92,13.773,13.138,12.963,14.06,15.348,18.544,20.285,22.851,22.665,21.904,25.434,26.788,25.194,24.533,27.719,27.885,27.808,27.431,27.663,28.589,29.673,29.372,29.432,29.845,30.302,30.373,30.307,30.556,31.529,32.48,33.724,34.461,35.627,36.994,38.358,40.148,45.425,55.964,61.683,63.707,66.302,70.344,78.807,86.801,93.218,93.646,94.013,94.888,91.982,90.638,92.874,97.687,99.31,99.982,101.313,100.893,100.899,102.034,104.376,102.987,101.233,98.905,98.313,100,99.625,99.272,101.429,104.997,108.803,112.537
"22","15","    Goods","A253RD3",20.374,18.229,13.989,12.062,12.619,14.762,15.12,15.489,16.411,15.184,14.853,15.928,17.068,20.784,22.909,26.237,26.138,24.803,29.512,31.412,29.105,28.138,32.26,32.116,31.789,31.338,31.636,32.834,33.901,33.531,33.854,34.083,34.733,34.462,34.351,34.583,35.785,37.007,38.56,39.158,40.376,42.195,43.32,44.472,51.618,65.324,72.601,74.461,77.171,81.622,92.394,101.281,108.429,107.19,106.405,107.334,101.96,98.621,101.171,107.685,109.078,108.031,107.907,106.185,105.592,106.718,109.249,106.409,103.495,100.222,98.868,100,99.315,98.661,100.64,104.323,107.532,111.117
"23","16","    Services","A646RD3",8.717,8.721,8.123,7.286,5.526,6.027,6.22,6.827,7.558,8.585,8.89,10.244,12.282,14.434,15.44,16.628,16.24,16.89,17.166,16.978,17.354,17.522,18.444,19.497,20.082,19.862,19.955,20.215,21.485,21.34,20.839,21.57,21.644,22.387,22.405,22.689,23.204,23.634,24.289,25.258,26.309,26.816,28.575,31.471,32.937,36.742,39.21,41.578,43.921,47.102,50.767,57.017,61.972,65.73,68.304,69.059,70.941,73.339,74.937,76.445,78.495,82.541,86.694,88.865,90.07,91.214,93.143,94.952,95.856,95.772,96.97,100.001,100.393,100.762,103.334,106.633,111.827,115.916
"24","17","  Imports","A021RD3",12.541,10.695,8.641,6.927,6.638,7.541,7.666,8.204,9.154,8.459,8.88,9.472,10.002,11.459,12.335,12.956,13.321,14.851,17.794,19.338,18.428,19.573,23.657,22.804,21.825,22.122,22.002,22.39,22.646,21.704,21.903,22.111,22.111,21.851,22.273,22.742,23.059,23.596,23.688,24.049,24.674,26.135,27.739,29.682,34.842,49.848,53.995,55.623,60.524,64.798,75.877,94.514,99.593,96.235,92.63,91.83,88.814,88.871,94.25,98.774,100.944,103.827,103.42,103.554,102.671,103.634,106.411,104.529,100.816,95.354,95.96,100,97.497,96.342,99.686,104.526,111.117,115.61
"25","18","    Goods","A255RD3",12.607,10.401,8.134,6.376,6.378,7.282,7.402,7.945,8.88,7.958,8.103,8.648,9.275,10.744,11.65,12.445,12.747,14.358,17.634,19.472,18.433,19.937,25.035,23.801,22.777,23.27,23.204,23.658,23.869,22.627,22.789,23.033,22.811,22.269,22.472,23.08,23.193,23.715,23.75,24.069,24.747,26.428,27.784,29.912,35.255,52.759,57.179,58.706,64.087,68.36,80.609,101.715,107.377,103.04,98.733,98.052,94.192,92.083,98.65,103.351,106.268,108.183,106.701,106.204,104.947,105.758,108.573,105.866,101.464,95.333,95.456,100,96.998,95.288,98.063,102.916,109.554,114.178
"26","19","    Services","A656RD3",11.864,11.361,10.087,8.549,7.235,8.075,8.215,8.665,9.619,9.928,11.514,12.252,12.248,13.694,14.597,15.027,15.512,16.941,18.928,19.594,19.053,19.092,20.218,20.261,19.39,19.336,19.129,19.388,19.707,19.298,19.54,19.682,20.06,20.323,21.157,21.338,22.082,22.634,22.856,23.301,23.775,24.623,26.853,28.192,32.61,38.779,41.923,43.818,46.932,51.197,57.816,67.1,70.01,70.062,68.915,67.73,67.648,75.248,76.324,80.105,79.659,85.676,88.876,91.26,91.874,93.456,96.058,98.044,97.687,95.551,98.63,100,100.128,101.878,108.29,113.048,119.333,123.039
"27","20","Government consumption expenditures and gross investment","A822RD3",7.754,7.515,7.137,6.497,6.702,7.211,7.273,7.492,7.65,7.667,7.543,7.457,7.916,7.953,8.082,7.978,8.07,9.993,10.796,11.214,11.531,11.539,12.303,12.551,12.685,12.955,13.498,14.259,14.89,15.34,15.404,15.597,15.909,16.313,16.669,17.131,17.588,18.33,19.098,20.128,21.341,23.078,24.874,26.787,28.743,31.645,34.822,37.117,39.692,42.234,45.773,50.759,55.75,59.412,61.776,64.953,66.968,68.172,70.053,71.897,74.137,77.135,79.784,81.716,83.785,85.999,88.354,90.487,92.14,93.47,96.079,100,102.544,105.506,109.849,114.754,121.435,127.335
"28","21","  Federal","A823RD3",8.387,8.015,7.949,7.571,7.651,8.178,8.273,9.038,9.185,9.339,9.165,8.804,9.264,9.087,9.172,9.012,9.097,11.605,12.316,12.203,12.716,12.642,13.193,13.323,13.417,13.733,14.476,15.226,15.91,16.565,16.446,16.586,16.867,17.223,17.592,18.186,18.653,19.325,19.907,20.989,22.124,23.909,25.95,28.488,30.441,33.153,36.605,39.207,42.168,44.773,48.219,53.285,58.461,62.429,64.595,68.407,69.956,70.334,71.182,72.685,74.658,77.122,80.211,82.58,84.766,87.037,89.479,91.957,93.533,94.512,96.883,100,101.908,105.632,110.095,115.322,120.914,125.622
"29","22","    National defense","A824RD3",8.571,8.275,8.163,7.992,7.814,8.232,8.476,8.682,8.969,9.001,8.944,8.502,9.076,8.88,8.969,8.823,8.883,11.392,12.219,12.156,12.559,12.547,13.061,13.114,13.172,13.53,14.286,15.102,15.786,16.389,16.257,16.383,16.619,16.94,17.32,17.822,18.314,18.95,19.518,20.539,21.664,23.321,25.387,28.319,30.396,33.217,36.46,39.117,42.079,45.036,48.628,53.908,59.229,63.392,65.618,70.29,71.621,71.554,72.281,73.63,75.528,78.01,80.822,83.628,85.313,87.412,89.598,92.379,93.716,94.643,96.886,100,102.002,105.792,110.751,115.932,122.034,127.026
"30","23","    Nondefense","A825RD3",8.392,7.93,7.912,7.327,7.603,8.183,8.221,9.185,9.285,9.483,9.269,8.934,9.206,9.472,9.219,8.642,9.644,11.775,12.098,11.812,12.606,12.349,13.006,13.689,14.045,14.055,14.657,14.949,15.577,16.536,16.579,16.785,17.282,17.794,18.102,19.022,19.393,20.175,20.8,22.099,23.233,25.459,27.379,28.758,30.37,32.794,36.718,39.179,42.12,43.949,47.063,51.644,56.472,59.974,61.991,63.529,65.69,67.343,68.564,70.555,72.77,75.202,79.039,80.35,83.664,86.309,89.282,91.146,93.192,94.269,96.88,100,101.738,105.345,108.898,114.218,118.807,122.959
"31","24","  State and local","A829RD3",5.858,5.695,5.354,4.819,5.003,5.4,5.438,5.414,5.547,5.505,5.425,5.474,5.843,6.456,6.935,7.204,7.442,8.133,9.116,10.192,10.278,10.372,11.436,11.928,12.16,12.361,12.602,13.409,13.988,14.175,14.477,14.739,15.094,15.565,15.912,16.235,16.688,17.509,18.491,19.478,20.784,22.491,24.09,25.526,27.48,30.503,33.483,35.566,37.875,40.364,43.948,48.862,53.714,57.145,59.671,62.342,64.744,66.631,69.367,71.491,73.946,77.363,79.688,81.306,83.301,85.48,87.785,89.717,91.414,92.935,95.667,100,102.868,105.434,109.712,114.431,121.758,128.37
"32",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Gross national product","A001RD3",11.96,11.521,10.326,9.112,8.867,9.362,9.55,9.655,10.07,9.778,9.681,9.793,10.449,11.262,11.865,12.143,12.468,13.968,15.488,16.362,16.332,16.511,17.693,17.997,18.218,18.394,18.721,19.369,20.013,20.474,20.727,21.018,21.255,21.547,21.777,22.111,22.516,23.158,23.874,24.893,26.127,27.512,28.889,30.145,31.83,34.699,37.976,40.175,42.731,45.737,49.527,54.015,59.095,62.699,65.184,67.631,69.695,71.227,73.181,75.679,78.549,81.589,84.44,86.375,88.382,90.262,92.114,93.863,95.42,96.475,97.869,100,102.396,104.179,106.396,109.455,112.994,116.558
