"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Dollars]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 23, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/22/2010 7:29:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","9","    Services","A797RC0",1482,1607,1731,1888,2054,2251,2512,2774,3075,3432,3790,4198,4653,5065,5611,6080,6625,7068,7580,8213,8774,9370,9792,10406,10916,11403,11898,12443,13056,13791,14509,15478,16173,16760,17455,18374,19394,20401,21351,22061,22019
"18",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Gross domestic product","A939RX0",21021,20820,21249,22140,23200,22861,22592,23575,24412,25503,26010,25640,26030,25282,26186,27823,28717,29443,30115,31069,31877,32112,31614,32255,32747,33671,34112,34977,36102,37238,38592,39750,39768,40096,40711,41784,42664,43391,43801,43397,41890
"20","11","  Gross national product","A791RX0",21168,20964,21407,22308,23424,23114,22786,23804,24666,25752,26344,25967,26314,25575,26468,28088,28904,29568,30234,31218,32031,32304,31774,32408,32900,33784,34245,35115,36202,37312,38708,39901,39969,40283,40964,42107,42992,43625,44183,43922,42327
"21","12","  Disposable personal income","A229RX0",14706,15158,15644,16228,17166,16878,17091,17600,18025,18670,18897,18863,19173,19406,19868,21105,21571,22083,22246,22997,23385,23568,23453,23958,24044,24517,24951,25475,26061,27299,27805,28899,29299,29976,30442,31193,31318,32271,32693,32946,32847
"22","13","  Personal consumption expenditures","A794RX0",13206,13361,13696,14384,14953,14693,14881,15558,16051,16583,16790,16538,16623,16694,17489,18256,19037,19630,20055,20675,21060,21249,21000,21430,21904,22466,22803,23325,23899,24861,25923,26939,27385,27841,28357,29072,29771,30341,30757,30394,29770
"23","14","    Goods","AGDSRX0",4440,4424,4551,4797,4998,4771,4757,5041,5205,5363,5389,5192,5201,5188,5468,5811,6062,6344,6400,6578,6681,6647,6429,6544,6728,6997,7122,7354,7614,8034,8575,8929,9115,9393,9730,10069,10377,10613,10799,10433,10139
"24","15","      Durable goods","A795RX0",816,785,853,949,1038,962,955,1064,1147,1194,1175,1069,1069,1057,1197,1356,1479,1606,1622,1700,1721,1694,1582,1651,1751,1868,1919,2039,2179,2416,2699,2903,3029,3228,3391,3581,3732,3847,3968,3728,3560
"25","16","      Nondurable goods","A796RX0",4026,4068,4093,4213,4293,4150,4145,4300,4354,4464,4529,4469,4481,4484,4588,4736,4836,4963,5003,5089,5177,5179,5095,5126,5188,5326,5393,5485,5579,5723,5946,6072,6118,6179,6346,6489,6645,6767,6835,6696,6561
"26","17","    Services","A797RX0",8559,8792,8981,9400,9752,9847,10119,10451,10774,11157,11371,11413,11503,11615,12113,12477,13007,13272,13678,14130,14421,14683,14706,15029,15310,15577,15785,16059,16358,16881,17373,18035,18290,18457,18630,19004,19394,19728,19960,19953,19619
"27","18","Population (midperiod, thousands)","B230RC0",202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234333,236394,238506,240683,242843,245061,247387,250181,253530,256922,260282,263455,266588,269714,272958,276154,279328,282418,285335,288133,290845,293502,296229,299052,302025,304831,307483
