"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"11","3","Plus: Imports of goods and services","B021RA3",9.834,11.774,11.622,11.494,11.456,11.683,11.656,11.837,11.697,12.58,12.858,11.986,13.738,13.25,13.526,14.135,14.788,14.362,13.965,14.069,13.592,14.312,14.062,13.922,12.526,11.523,12.481,13.147,13.971,14.576,15.171,15.673,16.415,16.566,16.335,16.567,17.679,17.735,17.966,18.213,18.163,18.261,17.982,18.375,18.389,17.054,15.828,16.677,17.389,17.416,17.217,17.711,17.206,16.925,17.71,17.015,17.405,18.743,20.203,21.194,22.897,23.857,24.474,25.191,24.635,25.846,25.596,26.599,26.575,27.707,28.475,28.694,28.522,29.234,29.802,30.487,30.345,29.996,30.704,31.64,31.786,31.937,31.893,32.471,33.5,33.444,33.31,32.416,32.047,32.617,33.535,34.275,34.525,35.092,35.646,36.499,37.289,38.06,38.561,40.11,41.045,42.574,43.772,45.003,45.99,46.427,46.587,47.182,48.716,49.806,51.421,52.436,54.675,56.511,58.593,59.858,62.103,63.526,64.382,66.465,68.158,70.33,72.881,74.629,77.656,80.023,82.818,82.757,81.55,79.121,77.205,76.285,78.196,80.837,82.17,83.647,82.638,83.817,84.803,87.966,90.207,93.828,95.199,97.613,98.181,99.265,99.876,102.677,104.622,105.792,107.058,106.924,108.48,109.019,109.282,107.828,108.203,107.511,105.698,101.518,91.526,87.652,91.196,95.312,97.689,102.286,105.672,105.68,106.787,106.816,108.037,109.345,110.179,110.936,110.766,109.593,110.11
"12","4","Equals: Gross domestic purchases","B712RA3",32.536,32.591,32.818,32.583,32.511,32.524,32.817,32.478,33.348,33.676,33.909,34.034,34.72,35.523,35.79,36.389,37.265,37.51,37.229,37.467,36.995,37.095,36.845,36.591,35.808,35.955,36.839,37.301,38.355,38.743,38.971,39.331,40.001,40.735,41.38,41.526,41.838,43.137,43.567,44.05,44.107,44.16,44.273,44.246,44.279,42.951,42.554,43.599,44.609,44.238,44.815,44.363,43.696,43.841,44.034,44.08,44.66,45.945,47.108,48.207,49.412,50.356,50.88,51.355,51.714,52.396,53.197,53.68,54.06,54.451,55.022,55.18,55.44,55.995,56.402,57.318,57.329,57.845,58.19,58.987,59.409,59.648,60.046,60.202,60.785,60.936,60.869,60.12,59.72,60.025,60.315,60.552,61.151,61.903,62.508,63.287,63.532,63.998,64.442,65.361,66.095,67.046,67.43,68.236,68.446,68.569,68.849,69.321,69.965,71.223,72.051,72.517,73.293,74.346,75.412,76.203,77.228,78.23,79.414,80.769,81.796,82.653,83.842,85.353,85.882,87.608,87.884,88.449,88.105,88.592,88.524,88.924,89.808,90.432,91.01,91.339,91.632,92.574,93.954,94.837,95.554,96.535,97.354,98.261,99.131,99.507,100.346,101.016,102.126,102.521,102.712,102.904,103.1,103.878,104.216,104.08,103.539,103.363,102.254,100.057,98.187,97.518,98.024,98.978,99.728,100.698,101.556,101.834,101.846,102.319,102.628,103.789,104.261,104.517,105.197,105.209,105.865
"13","5","Plus: Exports of goods and services, command basis \1\","C020RA3",15.23,18.424,17.974,18.786,18.666,19.6,19.317,19.316,19.662,19.41,19.897,18.188,20.39,19.813,20.877,21.986,23.933,25.719,26.807,29.025,30.662,32.351,31.378,32.882,33.306,31.757,30.594,31.964,31.84,32.164,32.823,33.207,32.442,33.241,32.827,31.372,32.197,35.736,36.086,38.021,38.435,39.116,40.453,42.755,44.046,44.41,44.563,44.609,45.386,45.021,43.457,43.051,40.888,40.666,38.078,35.757,36.264,36.257,36.653,37.545,37.911,38.76,38.945,39.102,38.331,37.83,36.693,37.441,38.215,38.409,38.863,40.357,40.16,42.048,43.645,45.688,48.374,50.274,51.365,52.365,53.84,55.667,55.619,55.925,57.65,58.052,58.382,59.013,59.223,60.763,61.367,62.521,63.161,62.827,63.81,63.672,63.502,64.062,63.536,65.206,65.802,67.861,70.333,71.995,73.701,74.913,77.701,78.112,78.536,79.322,79.039,82.68,83.666,86.772,88.36,87.553,87.138,85.575,84.265,86.884,85.721,86.374,88.408,90.551,91.841,94.612,96.588,95.437,93.612,89.751,84.578,81.379,82.226,84.431,85.292,84.071,83.301,83.166,85.131,89.356,91.703,93.448,93.865,96.165,98.144,100.176,99.714,101.967,105.969,108.177,108.888,113.199,114.691,116.951,121.485,125.472,128.262,134.091,133.533,119.373,106.928,107.008,111.401,118.496,121.037,125.134,127.934,133.256,137.584,140.602,142.524,141.345,142.963,144.72,144.882,143.816,144.215
"14","6","Less: Imports of goods and services, command basis \1\","C021RA3",9.765,11.586,11.358,11.378,11.298,11.495,11.641,11.788,11.769,12.532,12.825,12.029,13.801,13.562,13.934,14.721,15.662,16.112,16.117,17.129,18.655,21.27,21.309,21.161,18.939,17.217,17.924,18.582,19.831,20.773,21.694,22.279,23.716,24.19,23.809,23.979,25.595,25.797,26.113,26.427,26.863,27.707,28.598,30.429,32.132,30.153,28.133,29.37,30.579,30.249,28.673,29.053,27.781,26.566,27.109,25.584,25.46,27.23,29.123,30.187,32.317,33.561,33.583,33.958,32.097,33.624,33.096,34.793,34.646,34.936,35.897,36.338,36.678,38.3,39.112,40.343,40.394,40.261,40.381,41.577,41.97,42.174,41.174,41.847,43.263,42.042,42.61,43.228,41.144,40.537,40.78,41.624,41.855,42.441,43.408,43.872,44.318,45.143,45.158,46.556,47.371,49.326,51.21,52.594,53.893,54.906,54.554,54.511,55.867,56.631,57.624,58.415,60.187,60.804,62.49,63.131,63.916,64.486,64.317,66.162,67.377,69.962,73.025,75.428,79.212,81.273,84.169,84.083,81.974,77.66,74.48,71.901,73.31,76.934,78.347,79.772,80.285,80.219,81.08,84.171,87.343,91.288,92.831,96.564,97.075,98.756,100.196,103.973,105.634,107.002,108.35,106.702,107.79,109.207,110.74,112.589,116.244,119.8,119.593,103.497,86.241,83.853,89.628,95.91,99.708,103.683,105.936,107.858,112.786,115.263,115.368,116.506,118.281,117.712,115.178,114.972,115.7
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RA3",34.403,34.483,34.706,34.552,34.487,34.548,34.805,34.427,35.387,35.575,35.829,35.914,36.55,37.382,37.735,38.412,39.343,39.668,39.498,39.92,39.287,39.204,38.772,38.646,38.225,38.51,39.209,39.735,40.619,40.917,41.085,41.45,41.849,42.561,43.192,43.381,43.458,45.128,45.539,46.23,46.241,46.247,46.407,46.339,46.196,45.152,45.073,45.961,46.87,46.539,47.21,46.664,45.918,46.23,46.095,46.16,46.824,47.897,48.862,49.951,50.934,51.796,52.357,52.841,53.42,53.873,54.652,54.989,55.496,55.899,56.361,56.581,56.863,57.39,57.854,58.863,59.155,59.905,60.33,61.054,61.642,62.043,62.606,62.717,63.28,63.676,63.543,62.704,62.64,63.226,63.568,63.811,64.437,65.118,65.717,66.452,66.611,67.036,67.443,68.383,69.071,69.97,70.353,71.146,71.319,71.411,72.084,72.628,73.163,74.461,75.015,75.83,76.572,77.745,78.818,79.46,80.39,81.19,82.34,83.779,84.568,85.067,86.06,87.444,87.561,89.34,89.383,89.892,89.669,90.463,90.363,90.893,91.68,91.992,92.461,92.453,92.597,93.591,95.119,95.977,96.484,97.059,97.71,98.32,99.357,99.696,100.302,100.644,101.969,102.389,102.448,103.35,103.54,104.367,104.96,104.936,104.031,103.925,102.76,101.557,101.027,100.708,100.757,101.472,101.926,102.773,103.58,104.084,103.777,104.207,104.727,105.588,106.011,106.549,107.709,107.645,108.271
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",8.746,8.98,9.259,9.429,9.619,9.71,9.51,8.837,9.435,9.863,9.672,10.128,10.282,10.585,11.106,11.508,13.171,14.293,15.794,16.116,17.759,17.647,17.196,15.808,14.452,14.028,14.6,15.611,15.856,16.12,16.04,16.122,17.023,17.285,17.568,17.183,18.928,18.619,19.872,22.65,23.837,25.862,28.881,30.01,31.235,29.043,26.702,27.206,29.025,29.845,31.408,31.13,31.241,33.695,31.474,29.794,28.631,29.947,31.593,32.741,33.856,36.004,36.941,35.256,32.107,32.474,31.06,31.837,32.426,31.142,30.109,29.398,30.435,32.633,33.557,35.319,38.201,38.096,39.541,41.652,43.302,44.926,44.427,44.691,44.801,44.585,44.139,47.767,43.797,39.208,37.451,36.229,35.461,35.755,33.693,33.178,34.007,34.363,34.89,34.991,36.308,38.457,41.421,44.391,47.474,49.451,48.877,50.066,50.649,50.211,51.355,54.065,55.921,58.469,58.977,57.726,59.597,60.197,57.752,57.549,59.731,62.625,66.264,69.601,71.847,75.998,74.211,78.049,69.774,64.944,59.536,55.915,57.289,59.595,62.43,59.955,62.11,64.174,66.061,71.27,76.721,78.992,82.315,86.756,94.861,96.904,101.148,107.088,112.522,121.271,124.65,128.633,132.29,141.949,148.291,148.95,145.454,142.885,137.704,118.285,100.393,98.308,101.735,108.798,108.15,110.795,113.709,116.422,117.541,122.054,120.077,119.543,116.166,116.78,116.476,120.899,117.287
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",4.515,5.039,5.652,5.863,5.927,5.804,5.664,5.38,5.023,5.148,5.588,5.8,5.721,6.178,6.226,6.711,7.518,8.289,8.562,8.827,9.087,9.764,10.325,10.228,10.04,9.473,9.448,8.978,9.516,9.397,9.161,8.982,8.605,9.13,9.571,10.457,10.94,12.553,13.123,14.792,15.915,16.84,17.684,19.265,20.521,19.25,17.379,20.832,22.157,23.927,24.936,22.906,23.856,25.088,24.822,23.277,21.968,22.657,24.363,25.171,27.627,30.155,31.439,30.914,29.622,29.301,29.169,29.207,31.131,32.008,30.11,31.451,32.032,33.295,34.609,36.159,37.967,38.552,41.066,42.863,44.963,47.159,45.863,44.4,45.099,44.627,45.508,43.337,42.038,39.649,38.534,34.935,34.24,34.749,33.172,32.236,31.075,33.259,32.257,36.456,36.233,39.876,44.14,47.845,49.024,50.673,53.601,52.105,51.233,52.892,55.154,57.166,61.575,62.726,65.266,65.428,65.483,66.873,67.187,66.489,66.35,68.605,73.753,75.272,79.127,83.343,82.155,81.04,74.412,66.665,65.434,46.434,57.18,64.234,64.328,57.347,63.114,62.51,64.861,65.353,67.972,76.352,78.117,89.082,91.471,96.351,99.429,112.749,118.978,130.677,137.607,140.461,145.31,155.23,150.07,140.601,140.646,137.414,128.164,119.933,98.149,96.112,91.299,97.297,93.975,92.608,96.043,100.287,97.836,100.92,97.286,95.698,100.852,95.778,96.333,97.601,99.569
"18","10","Equals: Command-basis gross national product \1,3\","CB22RA3",34.365,34.435,34.646,34.493,34.435,34.504,34.755,34.361,35.353,35.555,35.782,35.879,36.52,37.342,37.713,38.386,39.354,39.698,39.587,40.011,39.447,39.334,38.864,38.68,38.208,38.493,39.214,39.799,40.667,40.979,41.151,41.523,41.974,42.672,43.295,43.432,43.569,45.152,45.595,46.344,46.366,46.429,46.691,46.616,46.482,45.395,45.281,46.055,46.991,46.633,47.331,46.853,46.081,46.456,46.232,46.279,46.934,48.032,49,50.102,51.036,51.894,52.445,52.869,53.35,53.828,54.542,54.911,55.368,55.678,56.16,56.296,56.601,57.176,57.629,58.652,59.004,59.721,60.114,60.86,61.44,61.829,62.413,62.59,63.127,63.529,63.343,62.755,62.562,63.026,63.328,63.648,64.262,64.932,65.491,66.233,66.472,66.827,67.293,68.073,68.824,69.676,70.03,70.812,71.079,71.197,71.73,72.38,72.969,74.176,74.692,75.547,76.203,77.438,78.431,79.006,80.011,80.78,81.799,83.244,84.131,84.672,85.629,87.095,87.168,88.964,88.97,89.69,89.344,90.204,89.907,90.98,91.421,91.571,92.16,92.302,92.326,93.428,94.942,96.009,96.66,97.019,97.749,98.144,99.449,99.696,100.373,100.482,101.808,102.181,102.134,103.101,103.274,104.158,105.225,105.585,104.528,104.428,103.384,101.624,101.106,100.771,101.155,101.958,102.503,103.514,104.318,104.781,104.619,105.134,105.697,106.586,106.661,107.412,108.529,108.617,109.002
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RA3",36.623,36.67,36.885,36.654,36.529,36.562,36.838,36.377,37.464,37.645,37.906,37.973,38.689,39.629,39.993,40.733,41.767,42.086,41.825,42.266,41.465,41.316,40.756,40.561,40.019,40.316,41.103,41.685,42.693,43.003,43.154,43.535,43.953,44.739,45.427,45.588,45.615,47.529,47.943,48.687,48.618,48.545,48.656,48.499,48.254,46.942,46.78,47.767,48.784,48.324,49.049,48.327,47.36,47.659,47.433,47.453,48.188,49.403,50.484,51.704,52.795,53.731,54.302,54.772,55.346,55.774,56.592,56.896,57.406,57.791,58.243,58.41,58.648,59.176,59.633,60.731,60.991,61.786,62.198,62.959,63.559,63.939,64.507,64.548,65.118,65.499,65.268,64.222,64.085,64.703,65.036,65.254,65.915,66.648,67.292,68.102,68.194,68.597,68.981,69.983,70.696,71.647,71.996,72.814,72.909,72.906,73.572,74.084,74.58,75.955,76.464,77.269,77.981,79.184,80.264,80.841,81.741,82.484,83.624,85.089,85.802,86.182,87.128,88.521,88.462,90.288,90.139,90.548,90.131,90.898,90.662,91.157,91.937,92.195,92.627,92.523,92.6,93.65,95.3,96.172,96.638,97.19,97.82,98.394,99.455,99.72,100.283,100.541,101.935,102.271,102.198,103.081,103.15,103.954,104.501,104.351,103.234,103.007,101.582,100.119,99.453,99.073,99.123,99.923,100.42,101.344,102.207,102.719,102.326,102.755,103.271,104.158,104.557,105.08,106.313,106.151,106.757
"21","12","  Net domestic product","A362RA3",35.694,35.763,35.967,35.731,35.622,35.657,35.984,35.543,36.593,36.785,37.074,37.156,37.864,38.824,39.188,39.848,40.918,41.382,41.077,41.457,40.998,41.065,40.561,40.336,39.74,40.041,40.764,41.326,42.348,42.664,42.852,43.153,43.663,44.585,45.424,45.351,45.462,47.415,47.866,48.503,48.513,48.484,48.799,48.875,48.977,47.764,47.593,48.533,49.621,49.101,49.712,48.928,47.926,48.153,47.873,47.858,48.493,49.69,50.752,51.884,52.959,53.918,54.421,54.824,55.301,55.728,56.619,57.013,57.549,57.723,58.265,58.491,58.765,59.385,59.882,60.961,61.237,62.046,62.323,63.181,63.764,64.216,64.703,64.774,65.453,65.665,65.587,64.866,64.446,64.877,65.123,65.348,66.096,66.835,67.566,68.328,68.377,68.782,69.104,70.051,70.738,71.743,72.17,72.976,73.073,73.141,73.724,74.189,74.643,75.979,76.596,77.407,77.941,79.101,80.068,80.599,81.29,81.941,82.982,84.42,85.077,85.636,86.676,88.245,88.312,90.052,89.939,90.368,89.867,90.396,89.992,90.241,90.999,91.449,91.873,91.813,92.158,92.966,94.617,95.483,96.085,96.685,97.393,98.18,99.211,99.595,100.368,100.826,102.165,102.495,102.369,103.021,103.03,103.95,104.688,105.069,104.442,104.725,103.507,100.684,99.067,98.955,99.353,100.476,101.125,101.735,102.434,103.07,103.045,103.713,104.019,105.136,105.64,105.934,106.786,106.81,107.433
"22","13","  Command-basis net national product \4\","C027RA3",36.57,36.606,36.807,36.578,36.461,36.504,36.773,36.292,37.418,37.615,37.844,37.925,38.646,39.574,39.961,40.694,41.771,42.113,41.922,42.365,41.647,41.463,40.86,40.597,39.997,40.294,41.106,41.757,42.746,43.072,43.229,43.619,44.098,44.868,45.545,45.645,45.744,47.553,48.005,48.817,48.763,48.758,48.991,48.825,48.591,47.231,47.028,47.881,48.927,48.437,49.195,48.554,47.56,47.933,47.601,47.599,48.323,49.566,50.649,51.884,52.915,53.846,54.404,54.804,55.262,55.72,56.462,56.803,57.254,57.53,58.007,58.075,58.341,58.925,59.368,60.482,60.812,61.569,61.944,62.73,63.32,63.686,64.28,64.398,64.938,65.325,65.034,64.281,63.994,64.47,64.756,65.064,65.709,66.428,67.027,67.844,68.029,68.352,68.803,69.621,70.406,71.302,71.618,72.423,72.627,72.656,73.159,73.793,74.353,75.621,76.087,76.939,77.551,78.826,79.814,80.314,81.3,82.008,82.999,84.471,85.296,85.725,86.63,88.117,88.01,89.853,89.664,90.314,89.758,90.601,90.141,91.257,91.642,91.714,92.284,92.352,92.293,93.465,95.097,96.207,96.836,97.144,97.863,98.194,99.559,99.72,100.364,100.358,101.753,102.037,101.843,102.801,102.85,103.72,104.806,105.093,103.803,103.583,102.298,100.206,99.556,99.158,99.584,100.483,101.083,102.191,103.048,103.514,103.284,103.809,104.373,105.293,105.298,106.063,107.246,107.257,107.591
"23","14","  Net national product","A027RA3",35.668,35.726,35.916,35.682,35.581,35.624,35.945,35.485,36.572,36.777,37.034,37.131,37.846,38.793,39.178,39.832,40.943,41.427,41.192,41.571,41.199,41.235,40.688,40.398,39.74,40.042,40.787,41.417,42.417,42.747,42.939,43.248,43.821,44.724,45.551,45.419,45.602,47.448,47.936,48.641,48.665,48.707,49.146,49.215,49.331,48.068,47.857,48.66,49.775,49.226,49.866,49.163,48.134,48.436,48.051,48.014,48.636,49.86,50.925,52.07,53.087,54.04,54.533,54.867,55.232,55.683,56.488,56.92,57.402,57.471,58.04,58.171,58.467,59.138,59.623,60.719,61.066,61.836,62.078,62.957,63.53,63.964,64.474,64.62,65.267,65.489,65.35,64.919,64.349,64.64,64.843,65.159,65.896,66.623,67.309,68.075,68.211,68.532,68.919,69.679,70.44,71.389,71.786,72.579,72.783,72.88,73.3,73.886,74.404,75.632,76.208,77.067,77.505,78.738,79.613,80.071,80.85,81.468,82.362,83.806,84.576,85.182,86.181,87.843,87.863,89.621,89.466,90.137,89.499,90.104,89.476,90.342,90.711,90.979,91.541,91.651,91.858,92.789,94.422,95.525,96.288,96.643,97.441,97.984,99.319,99.597,100.447,100.637,101.977,102.256,102.009,102.742,102.729,103.716,104.995,105.812,105.01,105.301,104.222,100.779,99.177,99.042,99.82,101.047,101.805,102.61,103.31,103.899,104.03,104.79,105.15,106.293,106.397,106.935,107.738,107.932,108.279
"24",NA,"  Percent change from preceding period (seasonally adjusted at annual rates):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Real gross domestic product","A191RL1",6.5,1.2,2.6,-1.9,-0.6,0.7,3.6,-4.2,11.5,2.3,3.2,1.1,7.3,9.8,3.9,6.8,10.6,4.7,-2.1,3.9,-3.5,1,-3.9,-1.6,-4.8,3.1,6.9,5.3,9.4,3,2,2.9,4.7,8.2,7.4,-0.1,1.4,16.7,4,5.4,0.7,0.4,2.9,1.1,1.3,-7.9,-0.7,7.6,8.6,-3.2,4.9,-4.9,-6.4,2.2,-1.5,0.3,5.1,9.3,8.1,8.5,8,7.1,3.9,3.3,3.8,3.4,6.4,3.1,3.9,1.6,3.9,1.9,2.2,4.3,3.5,7,2.1,5.2,2.1,5.5,3.8,3,3.2,0.9,4.2,1.6,0,-3.5,-1.9,2.7,1.7,1.6,4.5,4.3,4.2,4.3,0.7,2.6,2.1,5.4,4,5.6,2.6,4.5,1,0.9,3.4,2.8,2.8,7.1,3.5,4.4,3.1,6.1,5.1,3.1,3.8,3.6,5.4,7.1,3.6,3.2,5.2,7.4,1.1,8,0.3,2.4,-1.3,2.7,-1.1,1.4,3.5,2.1,2,0.1,1.7,3.4,6.7,3.7,2.7,2.6,3,3.3,4.2,1.8,3.2,2.1,5.1,1.6,0.1,2.7,0.5,3.6,3,1.7,-1.8,1.3,-3.7,-8.9,-5.3,-0.3,1.4,4,2.3,2.2,2.6,2.4,0.1,2.5,1.3,4.1,2,1.3,3.1,0.4,2.4
"26","16","    Command-basis gross domestic product","C191RL1",6.8,0.9,2.6,-1.8,-0.8,0.7,3,-4.3,11.6,2.1,2.9,1,7.3,9.4,3.8,7.4,10.1,3.3,-1.7,4.3,-6.2,-0.8,-4.3,-1.3,-4.3,3,7.5,5.5,9.2,3,1.7,3.6,3.9,7,6.1,1.8,0.7,16.3,3.7,6.2,0.1,0.1,1.4,-0.6,-1.2,-8.7,-0.7,8.1,8.1,-2.8,5.9,-4.5,-6.2,2.7,-1.2,0.6,5.9,9.5,8.3,9.2,8.1,6.9,4.4,3.7,4.5,3.4,5.9,2.5,3.7,2.9,3.3,1.6,2,3.8,3.3,7.2,2,5.2,2.9,4.9,3.9,2.6,3.7,0.7,3.6,2.5,-0.8,-5.2,-0.4,3.8,2.2,1.5,4,4.3,3.7,4.5,1,2.6,2.5,5.7,4.1,5.3,2.2,4.6,1,0.5,3.8,3.1,3,7.3,3,4.4,4,6.3,5.6,3.3,4.8,4,5.8,7.2,3.8,2.4,4.8,6.6,0.5,8.4,0.2,2.3,-1,3.6,-0.4,2.4,3.5,1.4,2.1,0,0.6,4.4,6.7,3.7,2.1,2.4,2.7,2.5,4.3,1.4,2.5,1.4,5.4,1.7,0.2,3.6,0.7,3.2,2.3,-0.1,-3.4,-0.4,-4.4,-4.6,-2.1,-1.3,0.2,2.9,1.8,3.4,3.2,2,-1.2,1.7,2,3.3,1.6,2,4.4,-0.2,2.3
"27","17","    Real gross national product","A001RL1",6.4,1.1,2.4,-1.9,-0.6,0.8,3.5,-4.4,11.9,2.4,2.9,1.3,7.4,9.7,4.1,6.7,11,4.9,-1.5,3.9,-2.7,0.8,-4.3,-2.1,-5.3,3.1,7.1,5.9,9.2,3.2,2,3,5.2,8,7.2,-0.5,1.9,15.7,4.3,5.9,0.8,0.9,3.8,1,1.4,-8.2,-1,6.5,8.8,-3.4,5.2,-4.3,-6.6,2.7,-2.3,0.2,5,9.5,8.1,8.6,7.6,7,3.9,2.8,3.1,3.6,5.8,3.3,3.6,1,4.1,1.4,2.4,4.7,3.5,7.1,2.5,5,1.9,5.6,3.8,2.9,3.3,1.3,4.1,1.7,-0.3,-1.9,-2.7,1.9,1.5,2.1,4.4,4.3,4,4.3,1.2,2.1,2.5,4.4,4.4,5.3,2.5,4.5,1.5,1,2.6,3.4,3.1,6.6,3.3,4.7,2.7,6.4,4.7,2.8,4.3,3.5,4.7,7.2,4.1,3.4,5,7.8,0.9,8.2,0.2,3.4,-1.8,3,-2,3.9,1.9,1.4,2.6,0.8,1.1,3.9,6.7,4.6,3.3,1.7,3.4,2.4,5.3,1.4,3.5,1.1,5.2,1.5,-0.4,3,0.5,3.9,4.8,3.2,-2.3,1.3,-3.2,-10.8,-5.2,-0.4,2.8,4.4,2.7,2.9,2.6,2.2,0.6,2.8,1.4,4.1,0.6,2.1,2.9,0.9,1.5
"28","18","    Command-basis gross national product","CB22RL1",6.8,0.8,2.5,-1.8,-0.7,0.8,2.9,-4.5,12.1,2.3,2.6,1.1,7.3,9.3,4,7.3,10.5,3.5,-1.1,4.4,-5.5,-1.1,-4.7,-1.9,-4.8,3,7.7,6.1,9,3.1,1.7,3.7,4.4,6.8,6,1.3,1.3,15.3,4,6.7,0.2,0.5,2.3,-0.6,-1.1,-9,-1,7,8.4,-3,6.1,-4,-6.4,3.3,-1.9,0.4,5.8,9.7,8.3,9.3,7.7,6.9,4.3,3.3,3.7,3.6,5.4,2.7,3.4,2.3,3.5,1,2.2,4.1,3.2,7.3,2.4,5,2.7,5.1,3.9,2.6,3.8,1.1,3.5,2.6,-1.2,-3.7,-1.2,3,1.9,2,3.9,4.2,3.5,4.6,1.5,2.2,2.8,4.7,4.5,5,2,4.5,1.5,0.7,3,3.7,3.3,6.8,2.8,4.7,3.5,6.6,5.2,3,5.2,3.9,5.1,7.3,4.3,2.6,4.6,7,0.3,8.5,0,3.3,-1.5,3.9,-1.3,4.9,2,0.7,2.6,0.6,0.1,4.9,6.6,4.6,2.7,1.5,3,1.6,5.4,1,2.7,0.4,5.4,1.5,-0.2,3.8,0.7,3.5,4.2,1.4,-3.9,-0.4,-3.9,-6.6,-2,-1.3,1.5,3.2,2.2,4,3.1,1.8,-0.6,2,2.2,3.4,0.3,2.8,4.2,0.3,1.4
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
