"","Table 7#2#5U# Motor Vehicle Output                              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"64","56","  Autos","A145RC0",-1418,-1524,-684,610,1361,2758,-44,1732,372,-625,2232,-710,-1249,1113,397,-3816,5306,1396,-767,421,2273,89,-4258,168,2884,-261,-483,2756,303,125,3252,4834,-5249,-267,1387,-534,1969,3310,-631,2252,1646,1499,2163,3356,4643,1312,-1226,2786,3597,3219,-4056,-2191,-5737,1479,-980,5090,-4129,10401,-1855,3920,-9787,3514,6942,-11072,3876,-5454,3512,7127,6493,-4854,-627,10633,1491,3682,-3331,16085,5524,4569,-6041,5042,20454,6729,-10433,11764,-10794,5940,4203,5319,11614,3510,-8519,4009,-8016,1174,3045,-5037,-5478,-404,5798,1295,-8260,3095,2843,1109,8307,538,-3172,1588,-2667,1034,698,5432,6547,7972,-9246,1004,-11093,7478,5717,-8330,-2778,6055,4867,494,6470,-2779,5068,2268,7138,-4404,-4282,11288,27,8766,9482,-1896,-8107,1475,1812,-11245,16090,7398,-4650,11314,-8526,5287,-5187,3343,-357,2619,1033,-6927,1015,-6415,-8618,5186,2568,540,-3805,4381,-597,-4512,292,-14317,-1875,-6496,12987,11676,-24456,-13284,-16618,12858,8388,11741,1642,-17158,-10065,-9722,-2461,-1364,6563,10050,11618,1929
"65","57","    New","B146RC0",-1160,-1576,-464,1040,992,2584,184,1280,872,-968,2056,-880,-1532,1160,16,-2724,4665,1448,-822,340,2678,197,-3727,327,2677,-504,-554,2768,527,620,3013,5494,-5587,-54,1146,-1161,1582,3348,-472,1922,1762,315,2062,3274,4890,923,-922,2908,3391,3429,-4484,-2172,-4643,2471,-492,5695,-5039,11070,-2254,4136,-9920,3360,7119,-11509,3403,-6342,3589,6637,5709,-5331,-609,9682,1318,2379,-6084,17311,5355,2637,-9035,5364,20407,5749,-11879,11329,-12745,6467,714,4531,11806,981,-12593,6439,-9471,2288,2918,-3968,-4766,-2230,5405,615,-6025,3071,3338,-68,10359,-1973,-3505,-1208,-1492,-288,642,3215,6088,5613,-8588,-1055,-13922,5310,4150,-10203,-1239,4660,1023,-595,3372,-10865,10222,5395,4535,-1844,-2696,4685,-1375,2376,2348,1449,-11211,-3874,1696,-12776,14889,8935,-2002,9422,-8891,7047,-5646,2294,-243,281,128,-5722,2616,-4943,-7227,4886,4479,3895,-2683,4618,-1525,-2418,500,-11410,384,-2458,13844,13983,-20809,-12970,-19131,4089,3663,12809,3946,-8396,-4121,-3900,1731,4380,7409,12270,13351,4163
"66","58","      Domestic","AB71RC0",-1236,-1248,64,936,812,2456,136,884,1136,-1516,1792,-760,-1752,1060,-60,-2700,4317,1188,-1546,-624,2162,-51,-3691,647,3120,-85,-385,3153,-922,-1345,1648,5492,-4179,1319,1490,-2162,466,1132,-324,1614,2106,2451,2312,1616,2013,-1326,-1622,1837,5347,6268,-4457,-2826,-3553,244,-1800,5872,-4393,11072,-932,3051,-10650,1146,7709,-9323,4889,-4212,3754,7255,4284,-3933,-1331,7783,802,1373,-6367,15774,5571,117,-11571,3625,17438,968,-12966,10785,-11488,5157,539,3525,10160,3053,-12637,8280,-11306,3063,3400,-5823,-6346,-1189,4665,137,-5739,3747,3142,988,7062,-1304,-1254,-1288,1752,1927,1170,3045,7935,2201,-3906,-1415,-7184,4416,4535,-9887,-1892,4265,1621,-845,1793,-11769,11466,2718,4203,-3189,-2839,1544,-2317,2456,1926,668,-12940,-3392,-231,-12122,14092,8074,201,4017,-5457,3960,-3319,520,350,649,-1649,-923,515,-4754,-5076,6466,2363,2268,-1356,2247,-271,721,-2669,-9214,-3565,-2416,10278,12966,-15894,-11117,-12387,3247,5150,5727,3110,-5527,-1503,1130,-939,4543,5628,7884,9493,6135
"67","59","      Foreign","AB72RC0",76,-328,-528,104,180,128,48,396,-264,548,264,-120,220,100,76,-24,348,260,724,964,516,248,-36,-320,-443,-419,-169,-385,1449,1966,1365,1,-1409,-1373,-344,1001,1116,2216,-148,308,-344,-2136,-249,1659,2877,2249,700,1070,-1956,-2840,-27,654,-1090,2227,1309,-177,-647,-2,-1323,1085,730,2214,-590,-2186,-1486,-2130,-165,-618,1425,-1398,722,1899,516,1006,283,1537,-216,2520,2536,1739,2969,4781,1087,544,-1257,1310,175,1006,1646,-2072,44,-1841,1835,-775,-482,1855,1580,-1041,740,478,-286,-676,196,-1056,3297,-669,-2251,80,-3243,-2216,-528,170,-1847,3412,-4682,360,-6738,894,-384,-315,652,395,-598,250,1578,904,-1244,2677,332,1346,144,3141,941,-79,422,780,1730,-482,1927,-653,798,861,-2203,5405,-3434,3087,-2327,1773,-593,-368,1777,-4798,2101,-188,-2151,-1580,2117,1627,-1327,2371,-1254,-3140,3169,-2196,3948,-42,3565,1017,-4914,-1853,-6744,842,-1487,7082,836,-2869,-2618,-5030,2670,-163,1780,4387,3858,-1972
"68","60","    Used","B147RC0",-258,52,-220,-430,369,174,-228,452,-500,343,176,170,283,-47,381,-1092,641,-52,55,81,-405,-108,-531,-159,207,243,71,-12,-224,-495,239,-660,338,-213,241,627,387,-38,-159,330,-116,1184,101,82,-247,389,-304,-122,206,-210,428,-19,-1094,-992,-488,-605,910,-669,399,-216,133,154,-177,437,473,888,-77,490,784,477,-18,951,173,1303,2753,-1226,169,1932,2994,-322,47,980,1446,435,1951,-527,3489,788,-192,2529,4074,-2430,1455,-1114,127,-1069,-712,1826,393,680,-2235,24,-495,1177,-2052,2511,333,2796,-1175,1322,56,2217,459,2359,-658,2059,2829,2168,1567,1873,-1539,1395,3844,1089,3098,8086,-5154,-3127,2603,-2560,-1586,6603,1402,6390,7134,-3345,3104,5349,116,1531,1201,-1537,-2648,1892,365,-1760,459,1049,-114,2338,905,-1205,-1601,-1472,-1391,300,-1911,-3355,-1122,-237,928,-2094,-208,-2907,-2259,-4038,-857,-2307,-3647,-314,2513,8769,4725,-1068,-2304,-8762,-5944,-5822,-4192,-5744,-846,-2220,-1733,-2234
"69","61","  Trucks","B709RC0",312,-40,-649,24,52,749,189,229,53,-435,535,363,-27,66,35,-443,1037,420,133,-691,161,449,-491,525,-300,469,568,-301,1026,-557,262,2587,109,-423,-906,-1343,-97,971,453,-358,-24,230,3442,1046,-1184,-1472,1114,2492,5164,2682,-2653,-4327,-2305,-2914,-4054,1252,-550,-207,-1992,1593,-1267,2708,939,-3556,-482,74,-548,2424,2649,1158,3016,4300,-2809,1640,813,2189,3764,1715,-5395,-217,5405,179,-1272,3361,-254,-631,-779,3922,5653,1276,-3638,2214,-7977,3656,2427,-1957,-9706,-505,534,2207,3948,-1152,-1801,2572,7049,-3420,-2445,-373,3284,3471,6801,3338,1953,4643,3585,2325,-3903,6186,4977,-3085,504,-1,996,8886,10361,-6107,-12613,-2735,12191,2638,8382,13639,5286,15827,346,4303,-17850,3609,2798,-26823,-4350,8786,5931,11982,18171,8627,-2138,11545,16276,6607,3300,-5020,-6190,-8755,-2353,11607,1062,-337,-3852,-15476,-6033,449,1955,-8374,-10067,4375,-26349,-22465,-35332,-35191,-738,11066,10027,10510,18302,-3548,3142,-5732,-3307,-6477,6110,12164,4040,-2940
"70","62","    New","W244RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-300,469,568,-301,1026,-557,262,2587,109,-423,-906,-1343,-97,971,453,-358,-24,230,3442,1046,-1184,-1472,1114,2492,5164,2682,-2653,-4327,-2305,-2914,-4054,1252,-550,-207,-1992,1593,-1267,2708,939,-3556,-639,-93,-675,2327,2621,1114,2951,4175,-3057,1389,544,2068,4058,2169,-4834,199,5466,-64,-1721,2843,-565,-870,-936,3822,5603,1250,-3716,2108,-8308,3370,2215,-2053,-9622,-359,693,2355,3939,-1292,-2087,2151,6599,-4047,-3181,-1329,2247,2405,5852,2476,1776,4610,3507,1986,-5536,4365,3197,-4606,3665,2045,1726,5635,6394,-12709,-8121,4787,10182,6591,8320,8431,3919,11614,-3538,6047,-19990,-216,2945,-27778,-5381,10071,8161,10343,19698,11976,-3399,7590,16094,5599,942,-3299,-1735,-8576,-2943,13413,-141,3091,-767,-12861,-6182,2441,1309,-8510,-8993,4890,-27642,-20828,-31483,-33730,-3483,2996,8806,11929,19697,707,9590,2642,1684,-1697,13369,17375,9137,-2224
"71","63","      Domestic","AB73RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-590,845,565,-618,1225,-496,168,2597,206,-395,-852,-1377,-207,812,367,-300,15,355,3512,934,-1400,-1571,985,2411,5450,2827,-2724,-4471,-2159,-3183,-4130,1193,-413,-185,-1890,1529,-1906,2252,1543,-2821,-497,39,340,1854,3070,630,3327,3090,-2337,1136,929,1156,3352,907,-5379,240,4380,-187,-47,2966,-409,-1271,-108,3523,5274,1822,-3135,1571,-6323,3775,2145,-2949,-10133,609,1869,1821,3298,-766,-1653,1763,7192,-3545,-2426,-1118,2159,2752,5418,1527,1184,4161,4147,3482,-5624,4240,3654,-5344,2473,1933,2325,4232,6083,-13631,-6431,4722,9100,7046,9307,6319,4101,9858,-2167,2701,-18457,629,3022,-28105,-5330,9982,6710,6115,18424,10906,-1379,7699,14441,3902,1185,92,-2057,-9201,-2484,11322,-930,2735,-1229,-14348,-4881,2887,1554,-7739,-10798,64,-31840,-14145,-23964,-27693,-353,1012,7236,9529,19144,90,8538,6946,-492,-1150,9527,15271,8114,312
"72","64","      Foreign","AB74RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,-376,3,317,-199,-61,94,-10,-97,-28,-54,34,110,159,86,-58,-39,-125,-70,112,216,99,129,81,-286,-145,71,144,-146,269,76,59,-137,-22,-102,64,639,456,-604,-735,-142,-132,-1015,473,-449,484,-376,1085,-720,253,-385,912,706,1262,545,-41,1086,123,-1674,-123,-156,401,-828,299,329,-572,-581,537,-1985,-405,70,896,511,-968,-1176,534,640,-526,-434,388,-593,-501,-755,-211,88,-347,434,949,592,449,-640,-1496,88,126,-456,738,1192,111,-600,1402,311,921,-1690,65,1082,-455,-987,2112,-182,1756,-1371,3346,-1533,-845,-78,327,-51,89,1451,4228,1274,1070,-2020,-109,1653,1697,-243,-3391,321,625,-459,2092,789,356,462,1487,-1301,-446,-245,-771,1804,4825,4198,-6684,-7519,-6037,-3130,1984,1571,2400,553,617,1052,-4304,2176,-547,3843,2105,1023,-2536
"73","65","    Used \1\","W245RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,167,127,97,28,44,65,125,248,251,269,121,-294,-454,-561,-416,-61,243,449,518,311,239,157,100,50,26,78,106,331,286,212,96,-84,-146,-159,-148,9,140,286,421,450,627,736,956,1037,1066,949,862,177,33,78,339,1633,1821,1780,1521,-3161,-2046,-730,3251,3967,6602,-4492,-7522,2009,-3953,62,5208,1367,4213,3884,-1744,2140,3825,-147,955,1030,-1286,-2230,1639,-1527,-3349,1262,3955,182,1008,2358,-1721,-4455,-179,590,-1806,1203,-3429,-3085,-2615,149,-1993,645,136,-1073,-515,1293,-1637,-3848,-1460,2745,8071,1221,-1420,-1395,-4255,-6448,-8374,-4991,-4780,-7260,-5211,-5097,-715
"74",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","66","  Final sales of motor vehicles to domestic purchasers","AB75RC0",34421,37299,37153,36405,41736,42570,45429,45849,46879,46469,47110,46447,42539,43581,43542,35069,48901,50861,52870,55715,56984,59160,59754,64388,70357,69042,67218,62780,59526,60929,65561,56995,56568,57168,66036,70188,78398,80560,84268,86816,98073,99546,100201,104879,103523,119566,117028,120262,120976,112620,118154,111815,112436,89850,102457,105244,116732,110597,120402,105521,117724,115754,116704,125358,125742,144527,155008,171277,179429,187590,185033,191768,204470,209011,230529,208711,210581,224097,253917,231951,207469,227268,245985,225813,245933,241402,235873,245964,245022,248762,256103,231458,253400,239026,239645,228221,218790,214276,227102,222976,233515,240243,242407,256605,252114,275819,274511,293808,310498,309082,317682,332807,320461,319176,326965,336317,338871,344696,350855,357805,373155,360221,380959,388473,373746,402667,404734,452609,432587,458133,469768,458147,487784,454314,453667,446448,459598,448861,444672,501482,470539,472435,501838,469098,459316,474244,491252,480343,485143,491783,506001,521775,515440,535920,548823,498453,530459,523726,527718,526927,519655,514636,512887,509167,481947,434888,398181,321229,305463,312781,351896,339090,359886,388770,407404,433730,453392,446281,466614,490113,509536,507841,516155,533967
"76","67","  Private fixed investment in new autos and new light trucks","AB76RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53201,57751,61553,58973,64323,64587,65539,66324,60236,65157,63322,57371,63267,63069,67526,66807,66885,69666,74103,71256,71144,76008,74162,80242,77753,90264,84419,93374,104979,104499,108735,116627,111339,108481,114540,116314,121474,128862,136927,137815,143441,140577,144946,147077,144366,156520,142075,164805,164933,166958,177663,175710,182555,172345,171733,160932,168327,163896,157397,153494,151418,158343,161491,152284,145174,141891,153050,153691,148868,156462,167011,173211,165778,172990,185791,181639,198267,185594,184794,188538,189508,185044,191277,188141,181900,161225,146333,106489,83615,94984,101056,119609,130642,138475,144054,146328,153564,150654,165960,165598,176423,178259,183060,194734
"77","68","  Domestic output of new autos \2\","B148RC0",22327,25081,25325,25326,29974,31552,30846,31455,32051,28659,31883,28130,24371,28503,27373,15921,36073,32701,30633,33282,35671,34747,32031,38866,44642,40573,38576,36241,30174,31557,37281,34145,26580,32256,38870,38409,46321,46351,44570,49223,54734,54597,54962,54975,54267,60997,58165,62619,66489,61311,56051,52840,53951,43272,48143,58110,57775,62503,61236,49168,41539,54811,60331,49272,62382,64324,76001,84441,88183,81996,83574,93388,93014,92536,99007,95405,96190,95974,100345,95620,100402,91639,86676,96153,88364,100614,96230,104353,106762,101181,89810,92127,87217,95599,98713,84487,83470,83759,94001,89377,85888,94138,95149,97973,97566,100211,91737,107145,117261,112691,113380,119190,114704,109245,106737,110045,106783,118780,118400,104159,110191,109995,111816,109744,105810,101530,112508,117738,113055,112073,113601,115386,120785,118807,115575,107859,105260,108818,106457,108096,113750,113272,110997,104333,95367,97455,95284,97527,94462,94487,95527,100708,106729,104748,107251,112430,115487,108663,106748,105973,105389,106992,103901,105820,109518,100849,108958,85273,41976,49982,70065,80939,78759,79499,77661,73940,79213,82017,86255,97735,113788,112571,120887,122737
"78","69","  Sales of imported new autos \3\","B149RC0",2271,2733,3015,3064,3444,3686,4153,4432,4277,4878,5196,5900,5657,5793,5387,6352,6561,7032,7634,6939,7184,7620,8184,8877,9007,9381,8655,9154,9406,8069,9459,8719,10218,9783,10959,10495,10340,10975,11869,12513,13655,16031,14915,15026,14800,16561,16954,17135,18505,19406,19269,19962,23127,18792,21795,23487,24654,24252,24773,25249,27487,26599,28470,31121,29690,32696,32559,37596,37110,38746,37557,40103,39948,43560,48906,46630,47709,51708,57675,59427,48123,52114,57628,54887,60021,58960,56360,55258,52387,54947,56375,50874,56654,54441,53978,52699,45145,49682,51117,47342,50273,52088,50186,52573,50020,55512,57515,55095,53321,57656,58032,58676,54824,55077,55578,58531,55037,54409,55962,55898,59935,56617,61682,62621,63628,68712,64515,71860,72226,76203,77548,83599,85566,82315,81240,80941,79452,80537,77566,84144,84555,85394,87832,85140,85066,82487,82659,79172,82658,86020,81530,87392,83145,84754,88373,89155,94569,94380,97264,98509,100317,101288,98407,98343,93965,103402,87958,70631,66924,70024,83422,77298,78895,81761,87366,88438,96857,94203,90579,95010,107041,102609,100454,113297
"79","70","    Imports from Canada","GAP890",689,943,1173,1141,1189,1499,1599,1894,1899,1980,2507,2727,2472,2578,2092,2050,2720,2637,2858,2835,2936,3087,2955,3358,3383,3408,3221,3139,3333,2951,3524,3604,2877,3121,3736,3598,3780,4371,4141,4041,4681,4985,4260,4310,4106,4742,4674,4540,4383,3451,3593,3498,3606,3336,3647,4891,3401,4659,4465,4667,4896,6738,7523,4896,6899,7447,7185,8186,8494,8073,8829,8277,7802,8662,11248,9329,9180,10132,10083,10601,8620,6837,6396,9332,11159,11913,9522,8700,10552,10196,10795,12111,11910,12364,13415,11094,10115,13400,14834,12091,10748,12871,12902,14268,15251,14980,18411,15033,13383,16146,14928,17385,17086,15543,17333,18130,15877,17761,18601,15862,19044,18295,19428,17268,20984,20234,22889,25318,24432,21899,23304,23793,23984,20520,18734,18016,15081,15927,14856,14542,17855,19300,20104,20086,18633,21315,19207,19233,20409,21549,19158,19005,18260,13789,15186,16652,16177,13650,14902,14406,16411,20280,17153,14794,15435,16037,13820,12585,9743,8495,12620,15495,16154,19844,19413,16154,22166,21630,19117,22061,27168,27069,24539,27536
"80","71","      Sales","GAP1080",727,990,1170,1099,1157,1384,1592,1842,1833,2081,2372,2797,2638,2487,2096,2368,2409,2545,2995,2885,2767,3091,3279,3304,3155,3415,3252,2875,3431,3074,3374,3042,3322,2996,3595,3799,3743,4267,4170,3910,4504,4766,4084,4185,3956,4844,4803,4407,4029,3088,3887,3694,3851,3317,3784,4397,3665,3833,4534,4382,6099,6604,6617,5789,6383,7914,6840,7505,8095,8447,8964,7606,7736,8537,11939,7832,8662,10120,11202,10219,7159,6765,7336,8313,12538,11332,9470,8410,9570,9899,12247,11062,13384,11987,12985,11801,10863,13578,14145,12073,11436,12391,12501,14132,14229,15161,18634,15201,13191,15890,14783,16983,15995,15255,17908,18337,16844,17167,17949,17258,19339,17655,19175,17389,20668,22265,20883,24820,23662,22438,23803,23522,24377,20154,18465,17920,16714,16371,14885,16021,15924,18101,20072,19413,19592,20569,19792,19141,20343,21422,19448,19159,18180,14362,15840,15795,15886,13396,15071,14133,16449,20157,17562,16041,15931,16401,12542,10802,12984,10043,14564,14962,15253,18653,18765,17212,22516,21381,19300,21162,25988,25398,22801,26341
"81","72","      Inventory change","GAP1100",-38,-47,3,42,32,115,7,52,66,-101,135,-69,-165,91,-4,-318,312,92,-137,-50,169,-4,-325,53,228,-7,-31,265,-98,-123,151,563,-446,126,141,-201,38,104,-29,131,177,219,177,124,150,-102,-129,133,355,362,-294,-196,-245,19,-137,494,-264,826,-69,285,-1203,134,907,-893,516,-467,345,681,399,-374,-135,671,66,125,-691,1497,518,12,-1119,382,1461,72,-940,1019,-1379,581,52,290,982,297,-1452,1049,-1474,377,430,-707,-748,-178,689,18,-688,480,401,136,1022,-180,-222,-168,192,257,144,402,1091,289,-575,-207,-967,594,652,-1397,-295,640,253,-121,315,-2031,2006,498,770,-538,-499,271,-393,367,269,96,-1633,-444,-29,-1479,1931,1199,32,672,-959,746,-585,92,66,127,-289,-155,80,-573,-654,857,290,255,-169,273,-38,123,-408,-1247,-496,-364,1278,1782,-3242,-1548,-1944,533,902,1191,648,-1057,-350,249,-183,898,1180,1670,1738,1196
"82","73","    Imports from Mexico","GAP1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,133,135,206,435,208,334,543,236,1349,1412,1452,1478,1476,1437,1471,1117,1679,1182,637,953,1659,2412,2742,2090,2107,2592,2674,2249,2992,3327,2249,1684,3025,2471,3486,2738,3568,3862,4943,3629,3756,3771,6300,6491,5517,3778,3327,3421,4639,4492,4537,4041,5835,5437,6458,6762,6868,6221,7378,8455,9890,10859,10452,9777,9196,10172,9683,11755,11870,10145,9995,7509,9237,8142,7358,7731,8456,8805,9114,9226,11955,11894,15120,19911,17788,17546,18031,17707,15491,17226,16202,13991,17634,18757,17165,8256,13896,13560,16633,17712,15613,16598,16323,18105,18625,17853,18115,19926,19282,18366,20910
"83","74","      Sales","GAP1290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,131,143,173,410,208,371,523,196,1335,1619,1293,1661,1404,1429,1422,1013,1630,1341,582,1071,1608,2334,2917,2245,2135,2472,2670,2393,2880,3223,2228,1571,3062,2500,3525,2698,3511,3824,4829,3397,3687,3896,6372,6886,5333,3646,3620,3474,4477,4433,4568,3980,6421,4960,6331,6549,7037,6355,7293,8593,9713,10703,10396,10835,9452,10192,10668,10484,11132,10129,9661,7896,8914,8390,7323,7706,8406,8938,9188,9185,12452,12406,14341,19554,17456,17745,17690,17748,15396,17636,17567,14440,18034,17023,14734,11003,16428,15648,16061,16723,14676,16044,17391,18391,18411,18023,17378,19060,18092,17065,20002
"84","75","      Inventory change","GAP1310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,-8,33,25,0,-37,20,40,14,-207,159,-183,72,8,49,104,49,-159,55,-118,51,78,-175,-155,-28,120,4,-144,112,104,21,113,-36,-30,-39,39,57,37,114,232,70,-125,-72,-395,185,132,-293,-53,162,58,-32,61,-586,476,127,213,-169,-133,84,-139,177,156,56,-1058,-256,-20,-985,1271,737,16,335,-386,323,-248,35,25,50,-133,-74,41,-497,-512,778,357,332,-199,342,-41,94,-410,-1365,-449,-400,1734,2431,-2747,-2532,-2088,572,989,937,554,-1068,-286,214,-171,738,866,1190,1301,908
"85","76","  Exports of used autos","GAP980",16,12,12,12,8,12,12,8,12,16,12,12,12,16,16,16,12,16,16,12,20,20,16,20,28,32,36,44,36,24,28,32,30,32,32,34,33,39,41,45,51,55,63,69,62,58,74,81,79,86,83,64,76,80,78,75,79,73,84,71,31,64,62,54,48,44,42,38,42,45,39,46,44,50,48,54,73,81,101,101,144,214,185,229,287,352,425,532,658,768,611,787,989,958,816,889,930,1171,1382,1133,1585,1426,1799,1579,1738,1572,1387,1235,956,981,1399,1452,1528,1456,1684,1688,1780,1642,1863,1591,1557,1676,1478,1504,1438,1337,1143,1117,1000,1052,861,851,794,772,739,747,688,751,816,765,724,797,837,790,770,981,1031,1247,1412,1781,2243,2704,3035,3541,3442,3477,3651,4182,4345,5251,5170,6602,6656,7958,8473,10822,10739,9041,5446,6046,6331,7462,7053,7683,6639,8268,8301,9931,8695,9419,8625,8900,7591,8489
"86","77","  Imports of used autos","GAP1010",3,4,7,10,12,14,15,14,15,15,13,13,12,13,12,7,9,6,5,4,4,5,7,8,9,10,10,7,7,8,8,9,9,10,14,15,16,20,21,23,27,25,24,24,24,28,30,30,30,28,31,27,37,35,45,52,54,46,65,56,61,47,84,144,128,145,187,268,281,338,360,476,508,626,568,462,320,242,211,143,104,95,107,82,81,69,113,188,199,82,146,149,128,178,243,263,89,60,61,50,42,42,43,53,72,79,76,77,88,96,101,103,111,112,104,93,84,87,85,72,143,125,114,94,297,346,380,393,503,586,712,851,928,972,1061,1079,1031,991,975,979,1014,1138,1111,1109,672,635,588,379,282,451,369,230,217,266,372,291,217,245,246,244,221,249,381,346,397,367,403,269,226,214,369,203,141,216,370,298,201,340,418,326,222,495,689,497
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
