"","Table 1AU2# Real Manufacturing and Trade Inventories, Seasonally","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"34","26","    Leather and leather products","WKS310",2490,2453,2472,2517,2543,2533,2685,2630,2773,2797,2588,2682,2690,2612,2472,2525,2448,2389,2429,2430,2415,2447,2350,2178,2436,2453,2456,2447,2457,2426,2415,2432,2353,2126,2218,2309,2281,2303,2265,2359,2263,2306,2251,2375,2471,2509,2456,2433,2303,2241,2345,2311,2459,2612,2351,2292,2322,2233,2434,2489,2257,2446,2419,2360,2407,2471,2449,2480,2448,2447,2470,2405,2243,2198,2305,2375,2472,2312,2294,2248,2265,2270,2183,2247,2309,2181,2403,2334,2297,2299,2258,2277,2210,2268,2285,2122,2013,1880,1784,1869,1867,1933,1904,1963,1899,1797,1770,1686,1709,1731,1782,1779,1819,1858,1800,1743,1781,1724,1757,1790,1729,1826,1813,1831
"35","27","Trade total","WKS50",178909,177565,179287,182276,185022,189312,189938,194194,197446,200807,206001,208638,209881,212985,216691,216594,223773,229644,237961,240565,242365,247373,251953,257063,262192,265727,265418,271718,274730,277952,275015,280516,270453,265614,267640,265401,271685,278617,283508,285338,290320,294782,301850,307767,318688,324649,326292,334186,339018,344176,343241,342425,341804,342942,344649,344571,348208,350241,354123,358233,351881,355434,357355,351996,352310,353088,359257,366073,379711,385874,393353,404432,408448,413309,418873,428859,438689,441538,443238,441076,452717,460579,458760,472606,475139,481115,486708,489233,496242,500406,500183,507532,504686,512186,515287,513848,509996,508548,512761,518911,518787,524017,525379,533111,544828,548384,551744,556093,559530,572383,580751,592776,603221,610801,614997,616581,612619,618411,622451,626537,633562,647865,656824,667901
"36","28","  Merchant wholesale","WKS5W0",74389,73932,77026,78638,78957,80856,81738,81339,83384,85581,87318,88020,90359,91683,94044,96528,96529,98986,100877,103804,103641,105877,108559,109551,111348,110417,110093,112143,116241,120107,119167,123236,119625,116801,117259,116043,116829,120947,123833,124463,127236,129642,134013,137618,144077,147541,148342,152678,157288,158506,160537,161000,162439,164748,167303,168127,170832,169178,169873,172119,170424,173550,172093,170088,168357,164612,167110,169616,173194,175552,182106,184143,186678,188413,190207,191745,194359,196521,201774,200058,200826,203305,202642,208471,213111,216029,218420,216619,215547,218902,218894,219332,220454,223961,226642,227091,229099,226477,227255,231423,232450,234896,235460,240391,241613,242928,245468,246534,245710,250395,254566,260692,264982,267696,270412,271067,271010,272550,270481,273008,278741,287249,291652,298517
"37","29","      Addendum: Wholesale less motor vehicle","WKS5WX0",67271,67056,70149,71684,72290,73738,74517,73617,75522,77439,79035,79420,81452,82789,85139,87646,87093,89171,89861,91025,91257,92897,94933,96044,97754,97045,96285,98104,100649,102926,101792,105211,102505,100895,101995,100688,101477,104768,107376,108616,111407,113613,117943,120939,126600,129616,130493,133390,137313,139724,141496,141967,143251,144875,148041,149232,153322,151884,153602,154619,151893,153690,151931,150906,149843,146487,148792,151379,154546,157223,161417,163312,165400,166216,168560,169741,172221,173657,177986,176390,177188,178772,178206,183386,187293,191335,191995,190647,189903,191746,192766,194539,194713,198428,200195,200813,202114,200954,202443,205140,207332,209740,209660,214207,215764,218150,220389,220962,221581,225317,229221,234825,238127,240250,243500,244494,245186,245779,244501,247114,252209,259348,263332,270802
"38","30","    Durable goods","WKS5WD0",43933,43995,44767,46087,46291,47225,47656,48024,49168,50882,51918,52336,53646,53864,55557,56369,56940,58279,59796,61999,62156,64044,65031,66960,68016,69152,69716,70889,72681,74620,76189,78640,78269,76212,74894,75397,75930,78533,80030,79545,81264,82881,85212,87648,91848,94406,95394,98292,100621,101009,103129,103375,104502,106324,106279,108398,109758,111189,110646,111794,112026,113227,111789,108703,105559,103209,104555,106401,108893,110591,114530,116165,116731,117141,117155,117500,118519,120195,122438,121137,121697,123700,121864,125576,128815,128043,131466,130165,129895,132518,131907,131091,131804,132979,134979,134065,135064,132012,131258,134091,133305,135535,136220,137910,138398,138553,140016,141147,140571,144717,147255,150638,154045,156092,157403,159997,160435,161099,162401,162617,166509,172768,174902,178605
"39","31","      Motor vehicles","WKS5010",6747,6527,6544,6621,6369,6781,6877,7317,7453,7713,7848,8134,8420,8416,8439,8435,8922,9271,10336,11894,11547,12087,12671,12571,12651,12439,12874,13082,14640,16252,16454,17053,16174,15002,14375,14463,14457,15240,15498,14922,14907,15098,15148,15718,16468,16888,16815,18164,18812,17674,17922,17914,18067,18737,18128,17783,16544,16360,15467,16568,17427,18582,18815,17967,17387,17021,17208,17155,17538,17263,19405,19541,19953,20783,20301,20627,20761,21416,22264,22146,22128,22924,22836,23446,24121,23126,24697,24279,23978,25370,24432,23217,24084,23903,24747,24592,25238,23913,23279,24613,23577,23621,24203,24568,24271,23315,23596,24042,22731,23606,23862,24354,25275,25831,25338,25024,24317,25215,24467,24385,24901,26123,26478,26005
"40","32","      Furniture and furnishings","WKS5020",1506,1497,1531,1522,1559,1580,1598,1679,1718,1745,1822,1852,1884,1931,1966,1954,2038,2118,2066,2014,1994,2026,2087,2294,2410,2416,2588,2558,2691,2675,2711,2647,2551,2508,2497,2588,2717,2852,2907,2938,2916,2920,3060,3188,3268,3444,3429,3403,3528,3581,3529,3576,3567,3569,3699,3744,3805,3818,3866,3627,3656,3543,3393,3493,3529,3535,3650,3640,3733,3923,3892,4072,4030,4161,4276,4452,4279,4030,4444,4646,4919,5219,5276,5177,5388,5512,5476,5379,5365,5329,5408,5289,5194,5399,5309,5245,5349,5066,5117,5135,5041,5084,4970,5155,5197,5218,5137,5232,5255,5208,5347,5406,5588,5974,5761,5676,5752,5742,5743,5672,5506,5716,5826,5893
"41","33","      Lumber and construction","WKS5030",3763,3907,3987,3890,3943,4024,4221,4229,4326,4663,4814,4770,4739,4810,4880,4883,4895,4821,4870,4784,5199,5230,5108,5424,5393,5797,5598,5560,5668,5840,5627,5460,5195,5000,5419,5283,5182,5145,5276,5397,5738,5419,5662,5722,5928,6161,6240,6193,6204,6600,6567,6559,6633,6382,6194,6162,6253,6688,6421,6056,5888,5546,5596,5917,6056,6206,6605,6733,6863,6857,6908,7038,7010,7043,7270,7202,7927,8316,7852,7764,7618,8026,8084,8131,8508,8341,8530,8454,8642,8547,8486,8507,8633,8725,8516,8450,8058,7987,8019,8115,7915,7941,8107,8137,8355,7981,8014,7792,7775,8192,8239,8434,8617,8318,8378,8589,8684,8673,8996,8761,8820,9125,9297,9310
"42","34","      Professional and commercial","WKS5040",6409,6421,6483,6468,6459,6494,6546,6556,6579,6597,6598,6611,6646,6694,6726,6760,6784,6836,6848,6906,6928,6948,6993,7058,7138,7132,7199,7217,7210,7187,7195,7183,7207,7221,7234,7196,7179,7177,7216,7301,7338,7373,7322,7336,7395,7416,7462,7494,7475,7518,7519,7455,7453,7496,7582,7633,7648,7685,7641,7687,7681,7746,7853,7856,7948,7971,8113,8275,8511,8690,8799,8982,9114,9228,9248,9493,9773,10039,10184,9868,9930,10026,10198,10127,10244,10249,10485,10483,10599,10682,10775,10996,11087,11196,11260,11339,11507,11627,11690,11853,11710,12002,12123,12137,12234,12328,12530,12643,12835,13087,13261,13626,13930,14067,14279,14620,14745,14829,15185,15277,15431,16333,16832,17375
"43","35","      Metals and minerals","WKS5050",6453,6446,6178,6484,6926,7318,7666,7496,6991,7016,7031,7253,7408,7293,7698,8144,8600,9062,8645,8208,8161,8153,8554,9309,8906,9072,9245,9173,8892,9348,9843,11468,12973,12325,11436,10912,10803,11083,11390,11562,11334,11454,11927,11993,13165,13614,13184,12737,13098,13494,14379,14769,14581,15330,15373,16109,16807,17436,18387,18486,18791,18806,18009,17537,16636,15781,16271,16017,16133,16729,16317,15931,15529,14316,14630,14342,13983,13950,13708,13837,13702,13884,13438,14320,15078,15819,15826,15565,15522,15505,15463,15327,14738,14495,15118,15270,15355,14978,15009,14987,15590,15569,15388,15300,15480,16116,16382,16677,16558,17315,17576,17891,17884,17498,17300,16920,16773,16592,17028,17952,18692,19068,19026,19095
"44","36","      Electrical goods","WKS5060",2928,2788,2816,2888,2956,2955,3003,3000,3098,3265,3293,3385,3355,3402,3493,3561,3508,3627,3754,3798,3939,3967,4072,4119,4267,4538,4466,4755,4807,4825,4761,4735,4550,4325,4209,4252,4364,4556,4612,4657,4839,5024,5241,5361,5595,5860,5994,6287,6498,6638,6712,6651,6839,6919,7084,7184,7378,7624,7781,8138,8472,8600,8439,8255,8035,7951,8131,8594,9303,10144,11078,11609,11751,11952,11851,11496,11548,11573,12252,11967,12389,12197,11769,12379,12450,12475,12759,13041,13448,13719,13888,13871,13819,14027,14123,14140,14357,14142,13846,14359,14307,14604,14810,15340,15647,15789,16249,15991,16338,17076,17927,18596,19264,20277,21212,22066,22156,21796,21289,21477,22228,22399,22423,22323
"45","37","      Hardware and plumbing","WKS5070",3814,3865,4006,4061,3976,3987,4056,4295,4336,4569,4560,4483,4661,4593,4713,4692,4741,4851,4909,5012,5170,5518,5565,5846,6048,6146,6200,6460,6465,6431,6482,6437,5982,5464,5564,5744,5633,5781,6049,6030,6171,6459,6493,6630,7042,7225,7283,7430,7672,7921,7887,7974,8100,7819,7901,8199,8327,8653,8390,8295,8000,7754,7864,7606,7494,7391,7408,7685,7818,7879,8352,8576,8947,9069,8717,8640,8897,9157,9039,9102,9011,8913,8969,9130,9067,9134,9541,9385,9709,10120,10462,10507,10630,10986,10405,10699,10552,10372,10344,10498,10554,10922,11104,10926,11084,10915,11029,11397,11727,12258,12859,13008,13252,12873,12917,13005,13089,13104,13296,13717,13531,13838,13955,13973
"46","38","      Machinery, equipment, and supplies","WKS5080",13030,13389,14097,14895,14898,14870,14312,13759,14642,14984,15260,15361,15959,15975,16607,16762,16285,16468,16902,17334,17213,17624,17503,18149,18715,18923,18796,19395,19622,19561,20699,21367,21764,22915,23061,23333,23855,24276,24462,23898,25316,26305,27224,28880,30388,31207,32390,34102,34935,36157,38357,38328,39914,40567,40675,41952,43256,44116,43608,44086,43343,43144,43021,40301,38706,37203,36569,37847,37720,38262,38109,37707,37140,36414,37084,37493,37193,37438,37212,36877,36600,36606,36051,38592,40500,40309,41235,40050,38337,39505,38858,38493,38548,39625,40789,39935,39526,37542,37076,36727,36736,36968,36479,36888,36687,36767,36281,36430,36812,37429,38981,39660,40441,41517,42362,43520,44281,44234,45628,44725,45640,47793,47215,49804
"47","39","      Other durable goods","WKS5090",5004,5240,5295,5523,5511,5645,5815,5952,6211,6428,6843,6543,6839,6984,7443,7687,7724,7764,7779,8241,8123,8706,8590,8660,8869,8925,9067,8841,8759,8636,8927,9075,8924,8850,8671,9205,9296,9978,10284,10486,10584,10819,11261,11178,11279,11328,11497,11482,11489,10763,10024,9976,9405,9652,9744,10098,10648,9979,10218,9679,9070,9535,8657,9381,9061,9084,9557,9478,10097,9527,9925,10730,11052,11475,11284,11135,11410,11476,12259,11964,12159,12846,11799,11588,11367,11078,11005,11181,11523,11134,11353,11888,11915,11571,11855,11307,11714,12489,12999,13796,14220,15172,15177,15601,15547,16439,17013,17315,16753,17016,15798,16260,16334,16049,16030,16632,16723,16944,17030,16982,17322,17002,17556,18330
"48","40","    Nondurable goods","WKS5WN0",29740,29222,31541,31805,31918,32876,33325,32523,33409,33836,34519,34797,35809,36952,37573,39271,38659,39761,40080,40725,40379,40650,42375,41333,42085,40084,39300,40162,42303,44133,41914,43492,40423,39665,41343,39706,39952,41428,42778,43877,44905,45675,47696,48825,51024,51887,51668,53061,55331,56158,56028,56234,56530,56992,59552,58275,59578,56529,57750,58822,56828,58761,58777,60029,61660,60286,61437,62051,63088,63708,66300,66631,68760,70199,72196,73512,75228,75592,78896,78564,78745,79063,80681,82738,83989,88391,86832,86381,85483,86063,86818,88349,88746,91314,91899,93550,94602,95412,97253,98495,100661,100687,100480,104042,104838,106168,107258,107062,106838,107023,108647,111467,112134,112699,114168,111790,111200,112113,108275,110827,112584,114613,116984,120230
"49","41","      Paper products","WKS5110",1737,1749,1703,1795,1776,1859,1810,1814,1825,1856,1882,1909,1949,1883,1931,1924,1898,1899,1891,1877,1945,1974,2019,2079,2217,2163,2248,2325,2338,2408,2264,2281,2078,2043,2071,2150,2172,2196,2235,2281,2400,2483,2483,2476,2513,2520,2604,2664,2777,2806,2906,2900,2956,2934,2909,3057,3136,3207,3271,3316,3236,3188,3240,3187,3321,3409,3679,3846,3866,3966,3988,4018,4160,4302,4364,4458,4462,4434,4417,4588,4401,4366,4377,4542,4700,4778,4906,4950,5259,5375,5460,5466,5510,5682,5937,6066,5997,6154,6408,6588,6760,6982,7177,7164,7302,7500,7567,8046,8204,8222,8038,8390,8471,8432,8154,8488,8570,9157,9297,9427,9685,9820,10321,10372
"50","42","      Drugs and sundries","WKS5120",1347,1337,1387,1407,1433,1513,1613,1608,1642,1706,1672,1756,1853,1785,1770,1741,1746,1765,1836,2003,1955,2041,2136,2188,2245,2292,2279,2489,2917,3219,2924,2844,2743,2709,2627,2601,2540,2677,2680,2797,2885,2950,3078,3250,3296,3539,3754,3628,3851,3803,3828,3516,3439,3359,3572,3710,3732,3951,4108,4349,4333,4636,4389,4504,4292,4374,4670,4691,4955,4760,4853,5035,5366,5513,5915,5799,6462,6408,6516,6725,6932,7098,7424,7901,7968,8203,8238,8387,8249,8494,8965,9040,9337,9336,9413,9577,9682,10707,10863,11030,11623,11854,12122,12731,13006,12734,13287,13729,13183,13348,13531,14163,14424,14782,14526,13729,13940,14233,14075,15475,15824,16168,17075,17412
"51","43","      Apparel and piece goods","WKS5130",2059,1931,1992,1992,2047,2195,2144,2056,2114,2042,2147,2227,2297,2330,2415,2592,2741,3024,3231,3561,3378,3374,3348,3310,3476,3383,3762,3408,3663,3656,3629,3755,3557,3530,3476,3534,3682,3645,3819,3658,3815,3887,3761,3900,3938,4233,4503,5036,5064,5205,5305,5462,5695,5231,5804,5812,6271,5999,6014,5933,5809,6023,6025,5991,6184,6117,5942,6452,6598,6952,7164,7195,7432,7178,7542,7571,7678,8147,8692,8453,8693,8636,8636,8727,8517,9008,8557,8863,9210,9551,9974,10314,10460,10751,10654,10412,10351,9859,9812,10008,10848,10856,10854,11033,10657,11321,12028,11676,11417,11019,11933,12330,12593,12282,12117,11525,11363,11577,11414,11626,12183,12567,12543,13045
"52","44","      Groceries","WKS5140",7023,7019,7301,7196,6992,7270,7304,7297,7615,7395,7345,7358,7531,7665,7717,7904,7757,7925,8286,8096,8305,8369,8680,8525,8388,8579,8535,9407,9871,10748,9539,9710,9306,8712,8701,9152,9706,10005,10499,10786,10722,11065,11572,11480,11381,11539,11702,11550,11506,11567,11399,11200,11185,11162,10969,11494,11868,11477,11551,11483,11162,11348,11510,11907,11941,11856,12251,12610,13023,13037,13787,13587,13948,14577,14706,15316,16488,16657,16421,16897,16406,16777,17374,17348,16955,16812,17553,17273,17693,17673,17233,18431,18410,18433,19003,18948,19141,19596,19498,20045,20202,20876,20777,20767,20688,20018,19857,19964,20346,19977,19903,19912,19771,19947,20260,19642,19999,19770,19651,19131,19123,19339,19260,20214
"53","45","      Farm products","WKS5150",3943,3742,4740,4456,4646,4839,4779,4397,4469,4555,4402,4571,4571,5082,5249,5800,5341,5575,5000,4895,4825,4762,5736,5448,5820,4814,4508,4634,5236,5080,5009,5240,4416,4606,5892,4657,4428,5099,5134,5272,5557,5587,5869,6534,7171,7025,6272,6215,6599,7205,7147,7117,6937,7071,7788,6787,6609,5825,5857,6225,6024,6477,6480,7508,7904,7417,8236,7522,7521,7354,7642,7920,8283,7998,9001,9584,9328,9148,10160,8820,8899,8952,8969,9083,9660,11763,10700,9848,8585,8194,8485,9055,8943,9175,9135,10468,10665,10403,11699,10914,11031,10545,10460,11525,12075,12895,11865,11997,11631,11702,11732,12569,12117,11786,12999,12387,12096,11641,9765,10683,10931,10922,11147,11918
"54","46","      Chemical and allied products","WKS5160",931,936,1029,1039,1112,1060,1127,1060,1065,1147,1162,1202,1212,1152,1182,1196,1226,1240,1226,1270,1376,1396,1391,1434,1477,1500,1538,1641,1524,1573,1610,1610,1592,1516,1508,1519,1611,1568,1638,1703,1773,1844,1886,1897,2080,2221,2306,2470,2488,2520,2413,2271,2239,2191,2281,2427,2316,2265,2424,2323,2448,2582,2589,2809,2772,2996,3053,3077,3247,3191,3493,3592,3603,3380,3609,3574,3606,3624,3571,3769,3764,3808,3817,3876,4040,4033,3886,4078,3693,3814,3880,3654,3995,3944,4098,4335,4069,4021,4257,4365,4661,4787,4561,4649,4853,4994,5212,5105,4953,5021,5165,5242,5455,5650,5774,5680,5791,5663,5798,6027,6180,6418,6430,6420
"55","47","      Petroleum products","WKS5170",1343,1205,1999,2754,2724,3139,3429,3236,3043,3302,3349,3661,3905,4185,4344,4576,5207,5239,5626,5580,4838,4781,4600,3969,5000,5530,4130,3284,2696,4920,4373,7087,6490,5762,4293,4235,4655,4049,4339,3832,4374,4540,4645,4904,5179,5276,5733,6044,7018,7027,7709,8311,9022,9661,10152,10141,11272,9912,10359,10350,8903,9423,9267,8667,9655,8689,7817,8475,7277,8568,8881,7687,8508,9504,8542,8991,9300,8688,10105,11121,9563,8952,9225,9336,10613,10419,10560,10134,10916,11494,10513,9359,10182,11208,10083,9398,10328,10922,10962,11709,11817,11605,11240,11828,11990,12439,12638,11642,13085,13057,13084,13440,13624,13659,13442,12990,12707,11824,11901,12077,11641,11871,11800,12239
"56","48","      Alcoholic beverages","WKS5180",1992,1985,1928,2093,2046,2049,2226,2233,2240,2243,2448,2366,2536,2597,2463,2618,2678,2709,3062,2883,2936,3027,2905,3030,2934,3188,3092,3147,3274,3419,3416,3416,3314,3102,3074,3222,2999,3084,3171,3428,3517,3833,3966,3813,3965,4047,4262,4634,5104,4857,4429,4795,4921,4836,5058,4917,4595,4874,5014,5117,5298,5146,5073,5133,4898,4935,4751,4701,4893,4562,4892,4956,4938,5268,5232,5242,5186,5272,5104,5188,5761,5458,5503,5298,5072,5032,5164,5281,5166,5208,5221,5358,5257,5323,5368,5443,5622,5517,5464,5551,5193,5251,5231,5201,5199,5156,5168,5329,5243,5479,5514,5553,5478,5507,5774,5623,5670,5869,5818,5750,5395,5649,5764,6146
"57","49","      Other nondurable goods","WKS5190",7337,7409,7401,7740,7664,7543,7781,7862,8261,8714,9365,9068,9432,9580,9820,9892,9722,9759,9831,10545,10395,10535,10299,9859,9456,8895,8840,8955,8697,8937,8587,8210,8069,8197,8130,8267,8184,8155,8472,9175,8902,8580,9536,9256,9945,10138,10003,10392,10854,10499,10397,10192,9835,10341,10351,10190,10141,10017,10294,10772,10677,10865,11033,10629,10819,10777,10716,10985,11995,11806,12111,12840,12735,13248,13375,12823,12814,12895,13928,13873,14435,14872,15380,16798,17100,17795,17393,17900,17915,17863,18026,17594,16928,18088,18336,18440,18561,18578,18244,18795,18885,18314,18263,19357,19372,19318,20076,19471,19665,20177,20555,20446,21117,21946,21712,22434,21724,22800,22099,21797,22582,22084,22900,23004
"58","50","  Retail trade","WKS5R0",97002,96191,95244,96570,98713,100947,100793,104825,106034,107214,110368,112115,111315,112974,114315,112188,118542,121716,127529,127417,129152,131740,133577,137301,140389,144376,144402,148361,147367,146741,144882,146157,140144,138286,139752,138808,143947,146544,148397,149513,151560,153465,155973,158120,162261,164580,165363,168668,168874,172546,169755,168555,166599,165470,164640,163760,164578,168124,171133,172846,168464,168804,172033,168903,170866,175198,178632,182673,192146,195709,196421,204975,206323,209257,212798,220791,227593,228194,224688,224307,234620,239684,238606,246095,243930,246751,249728,253946,261764,262410,262204,268834,264974,268683,268987,267162,261471,262685,265947,267720,266592,269180,269924,272472,282402,284500,285228,288322,292400,300058,303948,309405,315159,319734,321055,321924,318170,322198,328131,329538,330360,335617,339594,342424
"59","51","      Addendum: Retail less motor vehicle","WKS5RX0",71701,72504,72559,73066,74039,74727,75712,76689,77685,79139,80776,81580,81709,82650,83460,85027,87130,87837,89483,91636,93349,95843,97800,100176,101690,103523,102678,104971,104668,105222,104208,102725,100433,98084,97844,98815,102219,104361,104807,105505,106058,106889,107886,108334,111064,114098,115298,115461,114135,114799,114979,115270,115960,117566,118325,117643,124988,125733,128592,130622,128627,128406,128486,129251,130575,133823,136104,138362,144325,148210,150014,153566,154828,156158,159777,161407,164816,165196,167596,166441,168037,172032,173216,176549,179209,179730,181707,182238,184508,187778,190702,192117,193342,194694,193316,192030,191762,192180,193636,196513,195004,196550,197714,199795,204234,205351,208166,211446,212441,219309,221596,224662,226703,229435,232064,231230,231554,232324,234385,236180,237832,242515,245266,245831
"60","52","    Durable goods","WKS5RD0",42373,41215,40502,41232,42489,44551,43784,47089,47554,47458,49551,50673,49874,50537,51108,47950,52369,54962,59351,57743,58599,59587,60420,63176,65121,68394,69616,71077,71164,70147,68931,71996,67632,68010,69995,68815,70783,72217,74422,75471,77089,78187,80130,81644,84027,84268,84257,87255,88631,91484,88724,86906,84441,81729,79806,79277,78603,81358,81829,82117,78968,78837,81900,78665,79966,81957,83681,86005,90507,91404,90592,96541,97545,99421,100507,106655,111282,111887,107307,106749,114998,118145,116463,122051,118507,121087,123199,127222,132664,130801,129133,134112,130312,133176,134173,132880,126631,127135,129244,128123,127545,129040,128384,129342,135313,136776,136100,138290,141900,145000,147735,151333,155366,158242,158987,160122,157289,160858,164761,164825,165089,167843,170445,172893
"61","53","      Automotives","WKS550",23603,21746,20634,21518,22750,24422,23090,26432,26604,26202,27792,28792,27740,28481,29015,24899,29378,32005,36428,33851,33778,33741,33498,34833,36483,38795,39856,41585,40830,39439,38576,41799,37804,38496,40405,38236,39945,40323,41823,42238,43805,44913,46478,48261,49649,48741,48244,51591,53297,56505,53301,51684,48817,45776,44046,43919,41704,44683,44569,43975,42066,42177,45045,41326,41950,43217,44788,46494,49965,49577,48478,53303,53556,55109,55214,61576,64750,65196,59084,59980,68562,69459,67378,71573,66752,69056,70081,73701,79136,76584,73564,78694,73603,76046,77719,77393,71960,72494,74157,72918,72945,74106,73702,74312,79839,80753,78774,78455,81470,82387,84062,86470,90032,91833,90688,92347,88665,91973,95618,95465,95462,97078,98404,100217
"62","54","        Motor vehicle dealers","WKS55X0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37081,40009,40045,39636,37241,37819,41007,37061,37673,38693,39803,41544,44936,44546,43435,48333,48398,49957,49819,56097,59395,59612,53755,54537,63041,64037,61816,65843,61069,63322,64278,67887,73311,70668,67511,72674,67557,69891,71610,71091,65668,66458,68231,67093,67494,68496,68062,68489,73781,74702,72658,72444,75383,76111,77619,79860,83328,85056,83846,85429,81627,84672,88301,87934,86778,87525,89244,92238
"63","55","        Auto and home supply stores","WKS5530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4433,4531,4410,4252,4610,4234,4018,4148,4168,4393,4807,4795,4900,4898,4900,4876,5048,5054,5274,5397,5301,5514,5246,5355,5457,5364,5492,5661,5604,5658,5728,5746,5769,5850,5972,5956,5964,6076,6037,6219,6194,5952,5853,5753,5390,5544,5571,5751,5979,5969,6040,5932,5999,6192,6360,6522,6600,6666,6744,6815,6970,7230,7221,7453,7585,7816,7838,7867
"64","56","      Lumber and building stores","WKS520",10559,10809,10968,10943,10873,10791,10853,10753,10654,10800,10890,10766,10366,10302,10497,10860,11426,11746,11884,12509,12762,12935,13281,13799,14782,15489,16136,14220,15568,14989,14153,13419,12896,13090,13073,13367,13571,13696,14432,14548,14835,14953,15183,15422,15611,15924,15683,15772,15588,15836,15988,15727,15907,15707,15899,15882,16186,16297,16170,16030,15283,15240,14874,15336,15871,16046,16607,17235,17774,18285,18572,18835,18816,18853,19700,19858,20267,20058,20818,20085,20322,21238,20897,20890,21392,21123,21473,22231,22458,22495,22569,22654,22678,23005,22573,22262,21651,21341,21235,21423,21638,21681,21934,21490,21823,21509,21776,22341,22830,23587,23890,24466,24525,24770,25745,25799,26056,26446,25981,26396,26491,26922,27447,27638
"65","57","      Furniture and furnishings","WKS570",3498,3581,3619,3624,3704,3777,3803,3843,3896,3851,3958,4054,4057,4102,4147,4186,4224,4257,4306,4368,4614,4788,4980,5202,5279,5409,5370,5428,5532,5590,5631,5576,5263,5277,5424,5665,5609,5690,5772,5852,5959,5946,5890,6016,6216,6424,6637,6756,6944,6985,7203,7078,7065,7193,7117,7005,7249,7176,7098,7169,6903,6837,6987,6949,7399,7505,7693,7730,7810,8194,8100,8342,8580,8741,8782,9026,9165,9354,9383,9350,9074,9298,9569,9720,9965,10164,10517,10377,10527,10659,10797,10905,11231,11332,11423,11066,11035,11322,11338,11282,11293,11286,11159,11537,11553,12017,12417,13018,12890,13690,14209,14705,14821,15118,15473,15476,15681,15900,16192,15852,16147,16428,16588,16743
"66","58","      Other durable goods","WKS59X0",6033,6041,6062,6041,6083,6669,6969,7481,7776,8088,8537,8650,9084,9025,8853,8918,8924,8905,9264,9280,9408,9935,10294,11050,10558,11019,10900,12394,11756,12314,12431,13527,13809,13357,13349,13268,13767,14704,14819,15297,14999,15041,15587,14954,15605,15989,16200,15890,15520,15242,14738,14816,14747,14616,14238,14070,14664,14765,15594,16433,16105,16018,16433,16386,15851,16352,15802,15987,16729,16896,17088,17924,18283,18369,18661,18234,19412,19402,19937,19107,19645,20919,20971,22407,22582,22858,23124,23428,23315,23597,24482,24406,24788,24947,24567,24424,23796,23566,24173,24169,23373,23747,23472,23601,24037,24154,24521,25637,26182,26560,26649,26708,27092,27598,28137,27606,27833,27553,27899,28267,28767,29618,30371,30653
"67","59","    Nondurable goods","WKS5RN0",53577,53998,53802,54373,55205,55260,55929,56481,57214,58521,59497,60076,60112,61095,61853,63090,64806,65241,66435,68072,68920,70501,71480,72328,73410,74070,72886,75315,74272,74681,74078,72220,70715,68440,67849,68130,71264,72386,71936,71954,72313,73082,73560,74125,75804,77932,78756,78890,77603,78289,78413,79155,79842,81638,82887,82583,84184,84823,87439,88913,87864,88369,88298,88679,89267,91572,93233,94849,99720,102469,104163,106387,106661,107611,110123,111517,113390,113321,114918,115160,116561,118306,119104,120610,122400,122416,123143,122986,125024,127832,129512,130845,131074,131742,130946,130479,131508,132213,133259,136379,135849,136879,138399,139992,143661,144200,145752,146492,146619,151185,152128,153730,155132,156643,157183,156768,156084,156200,157970,159399,160075,162476,163883,164144
