"","Table 6#18B# Federal, State, and Local Corporate Profits Tax Lia","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"31","24","      Miscellaneous manufacturing industries","B3124C0B",145,110,199,219,173,165,153,195,201,183,166,202,165,186,205,202,193,209,226,225,282,300,192,280,337,395,338,448,540,576,604,688,618,733,533,431,851,647,674,784
"32","25","    Nondurable goods","A3125C0B",3453,2570,4531,5999,4568,4815,4092,5097,5230,4665,4240,5489,5121,5192,5119,5631,5881,6541,7446,6979,8555,8403,7744,8010,8666,10897,13249,13469,16896,17321,18223,21519,24104,20747,16665,19794,20367,19245,18009,25041
"33","26","      Food and kindred products","B3126C0B",668,631,849,899,887,942,890,1019,994,979,1058,1206,1173,1211,1163,1294,1300,1359,1572,1463,1752,1810,1827,1807,1726,2169,2612,3273,3341,3455,3471,3320,4032,3496,3269,3346,3368,4627,3870,5560
"34","27","      Tobacco manufactures","B3127C0B",96,103,137,173,168,204,174,207,219,235,276,304,313,345,338,354,327,320,334,358,420,437,477,502,482,443,427,587,724,821,922,997,926,991,1105,1296,2023,1272,1069,624
"35","28","      Textile mill products","B3128C0B",592,277,546,539,305,307,223,320,314,258,221,359,337,300,336,353,418,497,477,419,584,540,464,458,505,610,530,402,594,694,804,774,618,585,430,768,629,640,939,810
"36","29","      Apparel and other textile products","B3129C0B",125,83,136,105,100,100,96,122,120,105,111,143,143,170,189,201,230,263,299,342,429,398,363,396,424,512,434,530,644,808,692,707,820,864,796,1095,800,894,838,576
"37","30","      Paper and allied products","B3130C0B",308,221,462,824,549,532,479,584,680,533,469,573,507,490,468,438,450,504,598,478,591,622,483,442,615,988,1366,914,1185,1122,1294,1560,1140,1063,801,1105,1460,1168,1284,2284
"38","31","      Printing and publishing","B3131C0B",228,202,260,334,334,349,323,412,441,434,383,473,468,463,483,534,630,714,803,760,931,1007,831,930,1038,1159,1160,1296,1664,2032,2293,2183,2061,2055,1989,2606,3165,3231,4161,3770
"39","32","      Chemicals and allied products","B3132C0B",619,618,1279,1749,1297,1338,1158,1499,1488,1485,1272,1767,1608,1649,1652,1833,1944,2112,2248,2030,2639,2525,2196,2233,2548,3126,3706,3391,4033,4068,4162,4030,3508,3501,2769,3634,3687,3503,4356,7193
"40","33","      Petroleum and coal products","B3133C0B",657,326,574,958,625,742,517,606,652,340,165,303,277,238,174,295,240,405,679,687,611,514,737,726,762,1296,2528,2528,3979,3439,3629,7041,10175,7161,4666,4943,4221,2968,461,2931
"41","34","      Rubber and miscellaneous plastics products","B3134C0B",100,67,216,345,236,236,167,248,246,224,220,281,225,255,241,248,258,271,328,325,448,422,243,392,450,481,380,391,511,673,677,625,465,665,506,730,812,784,859,1110
"42","35","      Leather and leather products","B3135C0B",60,42,72,73,67,65,65,80,76,72,65,80,70,71,75,81,84,96,108,117,150,128,123,124,116,113,106,157,221,209,279,282,359,366,334,271,202,158,172,183
"43","36","  Transportation and public utilities","A3136C0B",1306,1157,1866,2482,2644,2703,2492,3028,3185,3122,3151,3740,3896,4197,4226,4596,4715,4833,5250,4906,5486,5478,4535,4109,3972,4065,4008,3339,4553,5334,6288,5740,6220,6248,5153,7675,11141,11068,13717,19370
"44","37","    Transportation","A3137C0B",680,461,901,1040,1007,911,596,840,839,714,556,710,584,647,550,683,704,850,928,624,627,597,425,619,853,874,1077,904,1151,1133,1386,1632,1676,1589,1027,1737,1990,1787,1573,3005
"45","38","      Railroad transportation","B3138C0B",465,267,570,597,615,543,266,446,440,361,269,313,226,276,179,249,200,209,249,82,92,122,41,59,114,129,210,106,166,26,178,358,399,105,2,132,295,240,9,851
"46","39","      Local and interurban passenger transit","B3139C0B",37,25,32,46,48,43,28,34,37,34,37,53,48,48,48,44,46,61,49,48,45,35,20,31,42,14,19,16,18,9,25,47,51,42,35,44,73,45,56,54
"47","40","      Trucking and warehousing","B3140C0B",63,59,104,100,94,100,91,116,104,107,97,141,110,132,137,134,149,203,200,170,265,261,238,367,462,441,415,405,500,512,577,504,561,780,512,886,623,755,1007,609
"48","41","      Water transportation","B3141C0B",64,58,75,129,88,72,54,76,91,93,49,60,64,59,52,71,82,73,94,80,102,72,61,45,53,74,182,137,96,121,112,162,196,149,-18,28,62,7,1,110
"49","42","      Transportation by air","B3142C0B",4,9,39,66,58,59,69,75,62,19,18,32,19,5,24,61,112,195,220,143,35,5,-41,14,65,72,85,15,83,125,152,83,48,27,-128,-41,348,160,47,838
"50","43","      Pipelines, except natural gas","B3143C0B",26,25,57,71,71,63,56,54,65,61,64,80,80,81,70,91,82,72,67,58,46,56,67,60,81,93,121,174,207,237,220,360,310,368,572,603,483,480,364,368
"51","44","      Transportation services","B3144C0B",21,18,24,31,33,31,32,39,40,39,22,31,37,46,40,33,33,37,49,43,42,46,39,43,36,51,45,51,81,103,122,118,111,118,52,85,106,100,89,175
"52","45","    Communication","A3145C0B",185,196,320,532,589,678,706,899,975,1071,1227,1456,1586,1672,1774,1937,1931,1949,2186,2207,2656,2720,2255,1789,1476,1633,1484,792,1516,1773,2491,1847,1915,1882,1498,1909,3622,3929,6009,7700
"53","46","      Telephone and telegraph","B3146C0B",168,181,297,488,543,623,645,814,886,974,1129,1340,1455,1552,1610,1744,1782,1788,2011,2074,2472,2517,2097,1634,1239,1368,1203,506,1015,1155,1777,1165,1277,1354,970,1314,2754,3403,5508,7015
"54","47","      Radio and television","B3147C0B",17,15,23,44,46,55,61,85,89,97,98,116,131,120,164,193,149,161,175,133,184,203,158,155,237,265,281,286,501,618,714,682,638,528,528,595,868,526,501,685
"55","48","    Electric, gas, and sanitary services","B3148C0B",441,500,645,910,1048,1114,1190,1289,1371,1337,1368,1574,1726,1878,1902,1976,2080,2034,2136,2075,2203,2161,1855,1701,1643,1558,1447,1643,1886,2428,2411,2261,2629,2777,2628,4029,5529,5352,6135,8665
"56","49","  Wholesale trade","B3149C0B",943,624,1256,1475,985,916,817,1119,1235,1170,1000,1254,1085,1136,1209,1215,1321,1538,1620,1607,2076,2255,2134,2334,2743,4051,5324,4255,4371,4842,5577,6764,6815,6566,5006,5885,7388,8771,8801,7755
"57","50","  Retail trade","B3150C0B",1259,903,1447,1343,1242,1169,1137,1379,1384,1330,1236,1493,1294,1194,1346,1448,1604,1719,1797,2120,2628,2795,2572,3020,3242,3564,3097,4117,4664,5273,6156,5984,5327,5264,5158,7229,8035,8198,9847,9795
"58","51","  Finance, insurance, and real estate","A3151C0B",970,1158,1455,1775,2030,2250,2463,2322,2441,2782,3290,3451,4043,3895,3947,4078,4663,4366,4800,5529,6661,7248,7992,8828,9250,10251,10402,10276,12555,14890,18501,20549,19821,19145,17922,19827,22809,29570,34869,37118
"59","52","    Banking","A3152C0B",452,521,637,848,1009,1121,1211,1009,1206,1582,1809,1759,2341,2053,2039,2062,2680,2265,2575,2977,3514,4275,5110,4720,4408,5583,6623,6317,6960,7352,9115,11598,13416,15436,15652,15910,18119,21178,21655,24102
"60","53","      Federal Reserve banks","B3153C0B",167,193,197,255,292,343,276,252,402,543,524,911,897,687,799,880,1582,1297,1649,1907,2464,3019,3494,3357,3231,4341,5550,5382,5870,5937,7006,9279,11706,14024,15205,14229,16054,17796,17804,17739
"61","54","      Commercial and mutual banks","B3154C0B",285,328,440,593,717,778,935,757,804,1039,1285,848,1444,1366,1240,1182,1098,968,926,1070,1050,1256,1616,1363,1177,1242,1073,935,1090,1415,2109,2319,1710,1412,447,1681,2065,3382,3851,6363
"62","55","    Credit agencies other than banks","B3155C0B",75,90,167,215,237,256,267,294,318,332,336,347,376,402,422,502,452,455,412,383,482,488,460,715,896,1013,813,834,1301,1763,2219,1709,86,-820,-1556,38,145,1321,2354,3384
"63","56","    Security and commodity brokers","B3156C0B",6,7,12,10,16,14,24,27,21,26,38,62,59,101,57,72,80,113,149,243,417,157,125,334,262,92,116,323,389,203,283,334,842,542,802,805,397,843,1706,1018
"64","57","    Insurance carriers","B3157C0B",116,255,235,254,332,412,474,487,392,386,599,740,722,772,823,818,814,854,1029,1196,1375,1412,1486,2028,2527,2435,2053,1989,2592,3805,4780,4750,3420,2097,1925,1044,1719,3228,5178,5106
"65","58","    Insurance agents, brokers, and service","B3158C0B",23,18,22,28,28,30,32,29,38,39,39,52,51,54,55,55,69,59,78,72,111,93,141,158,159,163,159,162,263,364,414,408,419,300,228,204,241,502,751,770
"66","59","    Real estate","B3159C0B",230,217,294,320,308,332,367,396,367,340,390,410,407,429,448,466,403,448,421,470,580,629,543,685,734,725,500,565,798,1074,1255,1222,970,973,457,1188,1482,1460,1767,1264
"67","60","    Holding and other investment offices","B3160C0B",68,50,88,100,100,85,88,80,99,77,79,81,87,84,103,103,165,172,136,188,182,194,127,188,264,240,138,86,252,329,435,528,668,617,414,638,706,1038,1458,1474
"68","61","  Services","A3161C0B",252,219,248,330,319,318,329,367,418,438,398,486,478,503,494,554,566,654,747,820,971,1031,999,1011,1147,1273,1248,1436,1728,2103,2613,2942,3007,3305,2421,3346,3616,3896,4203,5238
"69","62","    Hotels and other lodging places","B3162C0B",46,38,44,52,50,46,46,46,51,49,35,46,37,34,30,26,20,39,54,73,119,120,102,80,122,96,46,79,96,182,315,410,344,358,222,321,225,245,271,255
"70","63","    Personal services","B3163C0B",24,23,24,31,30,32,32,37,42,47,47,51,50,46,49,53,63,63,67,81,96,88,91,88,102,115,129,113,121,132,156,179,179,202,162,199,224,222,230,263
"71","64","    Business services","B3164C0B",52,52,68,100,94,101,98,122,141,167,162,190,193,197,216,224,223,264,312,321,367,413,380,366,370,468,407,495,551,739,865,969,894,1028,800,978,1393,1428,1656,1800
"72","65","    Auto repair, services, and parking","B3165C0B",10,7,10,14,15,15,12,17,20,17,23,36,30,32,31,40,40,38,43,42,56,62,53,77,66,72,83,71,114,131,126,112,86,84,52,97,104,107,134,205
"73","66","    Miscellaneous repair services","B3166C0B",5,4,6,9,7,8,5,10,16,18,6,6,6,8,9,8,13,15,15,13,18,18,17,15,23,21,36,43,51,46,52,59,88,100,53,57,81,79,102,79
"74","67","    Motion pictures","B3167C0B",71,59,52,59,51,45,65,63,59,39,34,44,48,70,53,52,64,65,85,65,82,57,84,44,51,50,70,100,103,146,175,174,131,129,95,136,67,73,130,155
"75","68","    Amusement and recreation services","B3168C0B",27,23,25,35,38,37,39,38,43,50,47,58,55,61,58,64,69,68,78,81,96,116,105,114,118,142,149,180,209,232,263,314,346,313,199,170,113,173,218,269
"76","69","    Other services","A3169C0B",17,13,19,30,34,34,32,34,46,51,44,55,59,55,48,87,74,102,93,144,137,157,167,227,295,309,328,355,483,495,661,725,939,1091,838,1388,1409,1569,1462,2212
"77","70","      Health services","B3170C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,23,21,19,44,61,73,91,123,135,164,179,206,259,276,343,389,506,622,541,918,935,1073,922,1451
"78","71","      Legal services","B3171C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,6,0,0,0,2,8,9,9,11,10,15,15,17,27,40,38,49,61,129,97,127,155,231
"79","72","      Educational services","B3172C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,9,8,14,8,0,4,8,20,6,22,20,16,41,38,48,43,21,45,56,55,39,67
"80","73","      Other \1\","B3173C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,42,68,65,92,62,74,68,91,143,114,133,112,189,186,250,258,347,377,215,296,321,314,346,463
"81","74","Rest of the world","B3174C0B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83"," 1. Consists of social services, membership organizations, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","  Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
