"","Table 6#6C# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"47","40","        Local and interurban passenger transit","B4440C0C",15716,16337,16638,17517,18088,18976,19057,19639,20112,20811,21201,22086,22785,23663,24439
"48","41","        Trucking and warehousing \2\","B4441C0C",23602,24508,25034,26180,26905,28337,28302,29171,29591,30351,31740,32948,33977,35014,35744
"49","42","        Water transportation","B4442C0C",29793,30720,32006,33855,34703,36311,36822,37335,37856,38934,40524,42260,43114,44751,46883
"50","43","        Transportation by air \2\","B4443C0C",32497,30727,31483,32747,34407,35931,35660,36189,36365,37238,38693,40402,42520,43817,45715
"51","44","        Pipelines, except natural gas","B4444C0C",40167,43000,42722,46167,47000,51526,50421,54647,57867,58286,59071,64923,65385,66538,66071
"52","45","        Transportation services","B4445C0C",22031,23380,24327,26058,27126,28541,28783,29577,30869,31523,32796,34581,36178,38549,39641
"53","46","      Communications","A4446C0C",35110,36331,37280,38751,40131,42158,43805,46968,48979,50496,53425,55855,62336,64057,62157
"54","47","        Telephone and telegraph","B4447C0C",37172,38771,40095,41395,43044,45308,47147,50854,52274,54581,57315,58960,66079,67661,64683
"55","48","        Radio and television","B4448C0C",29225,29565,29897,31832,32500,34177,35509,37500,41287,41195,44053,48309,53020,54868,55718
"56","49","      Electric, gas, and sanitary services","B4449C0C",35402,36664,38420,39557,41245,43182,45436,46681,48751,50367,52444,54969,57965,62365,64399
"57","50","    Wholesale trade","B4450C0C",27303,29244,30085,31499,32815,34358,35402,36665,37808,39283,41224,43604,45986,48738,49701
"58","51","    Retail trade","B4451C0C",14591,15150,15484,15990,16713,17428,17529,17966,18246,18774,19495,20603,21445,22264,23009
"59","52","    Finance, insurance, and real estate","A4452C0C",28096,29972,30690,31982,33329,36392,38958,39567,41661,45268,48170,52415,55374,60817,63738
"60","53","      Depository institutions","B4453C0C",22962,24582,25543,26534,27490,29405,30870,32406,33891,36201,38279,41492,43370,44473,47440
"61","54","      Nondepository institutions","B4454C0C",28604,30373,31341,32736,34223,37523,40865,38645,40991,43226,46444,52326,51999,54997,62849
"62","55","      Security and commodity brokers","B4455C0C",65171,68155,65000,67860,73979,88664,100903,91814,97570,114948,118661,129678,139608,161541,161879
"63","56","      Insurance carriers","B4456C0C",27476,29249,30605,32265,34145,36238,38053,39591,41467,43732,45984,48961,50876,53623,56409
"64","57","      Insurance agents, brokers, and service","B4457C0C",27120,29028,30148,31734,32463,33974,35036,36437,37819,39652,41982,43120,45358,48118,51325
"65","58","      Real estate","B4458C0C",22249,23873,24843,25100,24928,26046,26669,27448,28288,29810,31924,34649,36492,39115,41364
"66","59","      Holding and other investment offices","B4459C0C",39947,45284,46376,49983,50025,55931,58602,58771,63899,68357,75643,82384,87678,99372,96588
"67","60","    Services","A4460C0C",21001,22358,23220,24697,25577,26933,27436,27912,29084,29791,31116,32730,34236,36396,37647
"68","61","      Hotels and other lodging places","B4461C0C",14691,15371,15977,16839,17566,18460,19069,19538,20049,20705,21569,22629,23657,24727,25229
"69","62","      Personal services","B4462C0C",13340,14606,15173,15750,16261,16824,17077,17144,17704,18267,19360,20313,21024,21811,22759
"70","63","      Business services","B4463C0C",18868,19719,20729,21907,22832,23636,24260,24722,25927,27724,29647,32340,35235,38706,39444
"71","64","      Auto repair, services, and parking","B4464C0C",17690,18385,18876,19785,20325,21102,21399,22004,22512,23073,23801,24902,25685,26788,27321
"72","65","      Miscellaneous repair services","B4465C0C",21770,22769,23856,24655,25306,26546,26859,27209,28117,29170,30194,31565,32482,34235,35383
"73","66","      Motion pictures","B4466C0C",25989,26722,27158,30274,30670,31571,34323,34388,36571,37052,39669,41011,40781,43406,45413
"74","67","      Amusement and recreation services","B4467C0C",17042,18439,18570,20172,21005,22407,23249,22896,23678,24474,25531,27167,28513,29446,30763
"75","68","      Health services","B4468C0C",23911,25892,27070,28974,30354,31808,32190,32775,34088,34598,35541,36789,37765,39256,41022
"76","69","      Legal services","B4469C0C",37120,40203,41506,46147,47451,50177,50471,51469,57289,50636,57042,60232,62580,67484,71019
"77","70","      Educational services","B4470C0C",17360,18739,19693,20772,21773,22333,22955,23637,24339,25213,26092,27115,28104,29356,30538
"78","71","      Social services and membership organizations","A4471C0C",14814,15630,16150,16794,16726,18310,18772,19299,19849,20373,20739,21131,21901,22786,23729
"79","72","        Social services","B4472C0C",13000,13642,14370,15257,15973,16763,17067,17381,17927,18403,18926,19656,20228,21139,22071
"80","73","        Membership organizations","B4473C0C",16553,17528,17865,18280,17418,19979,20641,21466,22092,22696,22896,22896,23920,24829,25952
"81","74","      Other services \3\","B4474C0C",33608,34658,35917,38095,39805,42255,43099,43974,45637,47098,49044,51544,53951,57447,58682
"82","75","      Private households","B4475C0C",10331,11433,10592,11312,11093,11505,12273,13143,13848,14112,14060,15465,14372,15887,14975
"83","76","  Government","A4476C0C",24495,25557,26583,28176,29678,30975,32029,33094,33962,34974,36032,37235,38628,40379,41700
"84","77","    Federal","A4477C0C",26022,27375,28212,29989,32067,34266,36142,37529,38541,40101,41493,42666,44210,46593,47919
"85","78","      General government","A4478C0C",25284,26621,27494,29108,31261,33158,35171,36534,37650,39190,40571,41719,43464,45329,47308
"86","79","        Civilian","B4479C0C",28941,30457,31389,32554,34798,36506,39070,41254,42619,44587,46079,47487,49519,51364,53413
"87","80","        Military \4\","B4480C0C",22009,23072,23845,25729,27748,29611,30810,31199,31977,32978,34166,34945,36347,38038,40249
"88","81","      Government enterprises","B4481C0C",30034,31363,31985,34588,36258,39998,41160,42370,42646,44156,45532,46755,47361,52114,50530
"89","82","    State and local","A4482C0C",23815,24768,25896,27431,28720,29719,30550,31572,32460,33365,34387,35648,37033,38622,40028
"90","83","      General government","A4483C0C",23703,24628,25757,27302,28593,29613,30448,31454,32338,33242,34252,35517,36895,38462,39931
"91","84","        Education","B4484C0C",24291,24911,26022,27613,28989,29868,30690,31459,32221,33176,34077,35346,36586,37958,39205
"92","85","        Other \1\","B4485C0C",23097,24327,25475,26973,28175,29343,30190,31449,32467,33314,34450,35713,37253,39059,40794
"93","86","      Government enterprises \1\","B4486C0C",25379,26773,27882,29281,30555,31248,32041,33282,34248,35220,36477,37684,39206,41150,41427
"94","87","Rest of the world"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96"," 1. Beginning with 2001, reflects the reclassification of employees of Indian tribal governments from the private sector in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","accordance with the Consolidated Appropriations Act of 2001.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98"," 2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99"," 3. Consists of museums, botanical and zoological gardens; engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","and management services; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101"," 4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
